tandus.siuisum	tandus . si uisum
.pascitetiamsacramentorumparticipatione:	. pascit etiam sacramentorum participatione :
etprecipuesacracorporisetsanguinissuicomunione	et precipue sacra corporis et sanguinis sui comunione
.undeipse	. unde ipse
.Egosumpanisuiuusquidecelo	. Ego sum panis uiuus qui de celo
descendi.siquismanducaueritexhoc	descendi . si quis manducauerit ex hoc
pane:uiuetineternum.adextremumpascit.	pane : uiuet in eternum . ad extremum pascit .
eternasuediuinitatisuisione.undebeatus.gregoriusait	eterna sue diuinitatis uisione . unde beatus . gregorius ait
pascuaelectorumsunt:uultus	pascua e lectorum sunt : uultus
presensdei.quidum	presens dei . qui dum
sinedefectuconspicitursinefinemenscibouitefaciatur.	sine defectu conspicitur sine fine mens cibo uite faciatur .
sequitur.etproouibusmeisponoanimam	sequitur . et pro ouibus meis pono animam
meam.Eccediuinebonitatiseffectusinenarrabilis.maioremenim	meam . Ecce diuine bonitatis effectus inenarrabilis . maiorem enim
caritatemnemohabet:	caritatem nemo habet :
quamutanimam	quam ut animam
suamponatquisproamicis	suam ponat quis pro amicis
suis.christusuerolargiorecaritatishabundantia.	suis . christus uero largiore caritatis habundantia .
etiamproinimicis.crucissuppliciumpertulit:etin	etiam pro inimicis . crucis supplicium pertulit : et in
talimortisimperiumdestruens.serpentemcallidum	tali mortis imperium destruens . serpentem callidum
quiineoescamcorporisappetiit.aculeodiuinitatis	qui in eo escam corporis appetiit . aculeo diuinitatis
suetransfixit.tres	sue transfixit . tres
autemrationabilescausaspossumusassignare.	autem rationabiles causas possumus assignare .
quareredemptor	quare redemptor
nosterprosalutehumani	noster pro salute humani
generis.calicemgustaueritpassionis:cumtamentestante	generis . calicem gustauerit passionis : cum tamen testante
scriptura.aliusmodusredemptionisnostre.	scriptura . alius modus redemptionis nostre .
eiutpote	ei ut pote
omnipotenti:fueritpossibilis.primacausafuit.hu	omnipotenti : fuerit possibilis . prima causa fuit . hu
humanigenerismiseria:	humani generis miseria :
dequaminpsalmodicitur.proptermiseriaminopum	de quam in psalmo dicitur . propter miseriam in opum
.etgemitumpauperum:necexurgam.idestmanifestabor	. et gemitum pauperum : nec exurgam . idest manifestabor
.dicitdominus.ponaminsalutari	. dicit dominus . ponam in salutari
.hocestinchristo.	. hoc est in christo .
salutemgenerishumani:etfiducialiteragamin	salutem generis humani : et fiducialiter agam in
eo.secundacausafuit	eo . secunda causa fuit
.filialisquampatriexhibuitobedentia:de	. filialis quam patri exhibuit obedentia : de
quadicitapostolus.christusfratresestobediensdeopatri	qua dicit apostolus . christus fratres est obediens deo patri
usqueadmortem:mortem	usque ad mortem : mortem
autemcrucis.Etipsefiliusad	autem crucis . Et ipse filius ad
patrem.clarificauiteinquitsuperterram:	patrem . clarificaui te inquit super terram :
opusconsummaui:quoddedistimihiutfaciam.tercia	opus consummaui : quod dedisti mihi ut faciam . tercia
causafuit:singularisdehosteuictoria.consonumenim	causa fuit : singularis de hoste uictoria . consonum enim
eratequitatidiuine	erat equitati diuine
.etsuperne	. et superne
dispositioni:utsapientiaqueattingit	dispositioni : ut sapientia que attingit
afineusqueadfinem	a fine usque ad finem
fortiter.etdisponitomniasuauiter.hostisantiquimalitiam	fortiter . et disponit omnia suauiter . hostis antiqui malitiam
.nonpotentia.sediustitia	. non potentia . sed iustitia
deuinceret.etomninoconueniensfuit.ut	deuinceret . et omnino conueniens fuit . ut
quiinlignouicerat:inlignoquoque	qui in ligno uicerat : in ligno quoque
iuctus.etinlaqeumquem	iuctus . et in laqeum quem
paraueratprecipitatus:instrumentosue	parauerat precipitatus : instrumento sue
fraudisinteriret	fraudis interiret
.nequeenimlexequiorulla.quamnecis	. neque enim lex equior ulla . quam necis
artificemarteperiresua.	artificem arte perire sua .
insuper	in super
nosinconflictutemptationum	nos in conflictu temptationum
positos.dominus	positos . dominus
suauictoriaad	sua uictoria ad
iuncendumroborauit:utexemplo	iuncendum roborauit : ut exemplo
ipsius.patientiamin	ipsius . patientiam in
tribulationibusamplectentes.cumprobatifuerimus.	tribulationibus amplectentes . cum probati fuerimus .
coronamuiteprecipiamus	coronam uite precipiamus
.nuncitaquequi	. nunc itaque qui
cumquepastorestanimarum.uideatut	cumque pastor est animarum . uideat ut
faciatomniaiuxtaexemplar	faciat omnia iuxta exemplar
.quodeiin	. quod ei in
montemonstratumest.uideatinquamnesitmercennarius.	monte monstratum est . uideat inquam ne sit mercennarius .
quilupouenientedimittitoues	qui lupo ueniente dimittit oues
etfugit:sedueripastorisfungensofficio	et fugit : sed ueri pastoris fungens officio
.curamdebitam	. curam debitam
susceptisinpendatouibus.	susceptis inpendat ouibus .
