mout fu irie z	---|-|----⌫|
uoi rcarma s uerne	---⌫|--|-|-⌫--|-|
chaut demoi. et	----|-|--||-|
cele respontie	---|------|-|
s auoie bie n encorlen	-⌫----|---⌫|----||-|
chauroitil	-------|-|
mainsseeleauoi t la	----|-|--|----⌫|-|
s o ueioien e	-⌫-⌫-|---|-⌫|
somes por nule	----|--|---|
f aitesquepor a uoirioie	-⌫----|--|--|-⌫---|---|
ielaur aimolt	-||---⌫-|---|
uolentiers seiene	---------|-|-|-|
cremoieq uelenm	------|-⌫-|--||
oceis t.e te le	-----⌫||-⌫|-⌫-|
len uosocirroitse	--|--|-------|-|
uoslefaisiez aus i	--|-|------|---⌫|
f olementco m me	-⌫------|--⌫-⌫-|
suerl efist	---|-⌫|---|
uosense ingneraicomentuos	--|----⌫-------|-----|--|
lefer oiz.	-|---⌫--||
etcelerespontdites	-|---|------|----|
le m oiet iecrerai	-|-⌫-|-|-|-----|
uost reensein gnement . et la	----⌫-|------⌫------||-|-|
f e m elidi st u osuos	-⌫-⌫-⌫|-|--⌫-|-⌫-|--|
abandoneroiz	-----------|
ashomes et	-|----|-|
enfuiroizdeceans	--------|-|----|
diroiz qu e uosne	-----|--⌫|--|-|
porr ez gari r	----⌫-|----⌫|
a uostre seur .einsisi	|-----|---||----|-|
fe roizde uostrecor s	--⌫---|-|-----|---⌫|
u ost reuolente	-⌫---⌫-|------|
neiane trouerez	-|-|-|-------|
iustic eq uienparot.	------⌫|-⌫-|-|----||
einsi seroizh ors	----|-----|-⌫--|
detozdan gie rs. et qu ant	-|--|---⌫---⌫-||-|--⌫--|
u osauroizceste	-⌫-|-----|----|
menees isera	----|-⌫|---|
tozl iezun sprod om	--|-⌫--|--⌫|----⌫-|
iluospuetauoi r	-|--|---|----⌫|
poruosgr a nz	--|--|--⌫-⌫-|
h erit a ig es	-⌫----⌫-⌫--⌫-|
ei nsiaureztoute	--⌫--|----|----|
ioiedec est	---|-|-⌫--|
cele lios troie	---|-|--⌫----|
quel elefera	-|--⌫|-|---|
et sen aladechies	-||-|--|-|----|
etaba ndon ason	-|---⌫----⌫|--|
corsashomes	---|-|----|
parleconseildecel e	--|-|------|-|---⌫|
li dea bles	-|---⌫---|
q uan tilotengingnié	-⌫---⌫|-|-|---------|
autre se ur	----|--⌫-|
ainzn eeuit	-----⌫-|--|
quesas u er	--|-|-⌫-⌫-|
en fualeesiui nt	-|-|---|-|--⌫-|
a uprodome	-⌫|------|
celui qu ili a preno it sa	----|--⌫|-|-⌫-----⌫-|-|
droitecreancemoltiri ee	-----|------|---|---⌫-|
et moltfaisan t	-|---|------⌫|
dueldesase ror qu	---|-|-|--⌫--|-|
elea u oit e ntel	--|-⌫-⌫--|-⌫|--|
meni erepe rdue.etli	----⌫--|--⌫---||-|-|
p rodomqua ntil laui t	-⌫----|---⌫-|-|-|--⌫|
tel duelfaire	--|---|----|
sie notm outgrant	-|-⌫|-|-⌫--|----|
pitiesi lidist	----|-|-|---|
seingn e toietcomende	------⌫|--|-|------|
ad ieu cariet e uoi	|-⌫--|--|-|-⌫|--|
mol tesfraee.	---⌫|------||
respo ntie ai	-----⌫-|-|-|
droitcar ie a i ma	----|--|-|-⌫|-|
serorperd ueet li	----|----⌫-|-|-|
cont eente l emeniere	----⌫|-|--⌫-⌫|------|
ceque sau oir en p ot	-|--|---⌫--|-|-⌫-|
maisced ite llebien	---|-|-⌫-|-⌫--|---|
queelesest	--|--||--|
l iu reeatozhomes.e t	-⌫--⌫--||--|----||-⌫|
bo nshomo i	--⌫-|--|-⌫|
cest e nouele	----⌫|-----|
molt esfreezet d i st	---|------|-|-⌫-⌫-|
deablesestencor	------|--|----|
auraiapais	---|-|---|
tantqu eil uosa it	------⌫|-|--|-⌫-|
toutese ngingniees	-----|-⌫---------|
s e d iexneu os garde.	-⌫|-⌫--|-|-⌫-|----||
demande sire	------|---|
porroieiegarder ian	------|-|-----|-||
estil riens don tie	--|-|----|---⌫|-|
aiesi g rant	--|-|-⌫---|
paor comiai	---|--||-|
quilne mengint.	-|-|-||-----||
e tilrespont	-⌫|-|------|
s e tume cr oiz il	-⌫|-|-|--⌫--|-|
n etengingn eramie.e t	-⌫||-------⌫--|--||-⌫|
e lle respont	-⌫--|------|
ieuos crerai de	-|--|-----|-|
qua nqueu os mediroiz.	---⌫---|-⌫-|-|-----||
li d ist don	-|-⌫--|--|
tubien lepereetle	-|---|-|---|-|-|
filet lesaintesperit	--|-|-|----|------|
et qu ecesyyu ertuz	-|--⌫|--|-|-⌫----|
son tunemeisme choseen	---⌫|--|-----|----|-|
d ieu e t la trinite que	-⌫--|-⌫|-|------|--|
sir euint en terre por	---⌫|---|-|----|--|
sauuerlespecheorsqui	-----|--|-------|--|
uou droientcroire	---⌫------|-----|
baptesmee tles autres	-------|-⌫|--|-----|
c omendemenz d esainteeglis e	-⌫---------|-⌫|-----|-----⌫|
ministresqueill aiss a	--------|--|-|-⌫----⌫|
porenseingnier	--|----------|
s on nonetelerespo nt	-⌫-|--|-|--|-----⌫-|
touteinsi comuosl	---|----|--|--||
ielai entendule	-||-|------|-|
croi ie et	---|-|-|
ue r ai ement	--⌫-⌫--⌫----|
megartil que de ables	-|---|-|--|--⌫----|
neme puiss eenging nier.	-|-|-----⌫|------⌫---||
li prodomlidistse	-|-----|-|---|-|
tulecroiteinsis	-|-|----|-----|
ia deabl esne	-|-----⌫-|-|
engingner et sitepr i	--------|-|-|-|--⌫|
quet u te gardesde	--|-⌫|-|-----|-|
chaoir engrantire	-----|-|----|--|
car ce es tlachose	--|-|--⌫|-|----|
oudeablesrepa ir eplus	-|------|----⌫--⌫|---|
uolentiers	---------|
queen h omeeten	--|-|-⌫--|-|-|
femme p l ainde	----|-⌫-⌫--|-|
etporc e t edoiz	-|--|-⌫|-⌫|---|
detouzlesmesfezque	-|---|--|-----|--|
tuferas etde	-|----|-|-|
lese ncombri er squi	--|-⌫-------⌫--⌫|--|
teu enront.ui enamoi	-|-⌫-----||--⌫-||--|
coupaleanost re seing n or	------||----⌫-|-----⌫-⌫-|
et f orfai teet atouz	-|-⌫-----⌫-|-||---|
tou tessainteset	---⌫--|------|-|
les creature s	--|--------⌫|
q ui dieuc roient	-⌫-|---|-⌫-----|
e tqui dieuseruentn e	-⌫|--|---|------|-⌫|
aime nt et	----⌫-|-|
d i eu.ettouteslesfoiz	-⌫-⌫-||-|-----|--|---|
q u etul eueras et	-⌫-⌫|-|-⌫-----|-|
coucheras s i te	--------|-⌫|-|
saingne senn ondoupere	-------⌫|-|-⌫-|--|---|
etdoufiletdou	-|--|--|-|--|
sain tesp eri t	----⌫|---⌫---⌫|
e t faicroiz desor	-⌫|--|----|----|
en nond ecele queil	-|--|-⌫|---|--|-|
so nsaint corset el	--⌫|----|---|-|-|
nondece le	--|-|--⌫-|
s oufri mortporpech eors	-⌫----|---|--|----⌫---|
garderde s poines	-----|--⌫|-----|
e t dou pooirdoudeable.	-⌫|--|----|--|-----||
setulefaiz	-|-|-|---|
einsi comiet ecomende	----|--|-|-⌫|------|
asg a rded	-|-⌫-⌫--||
etgardelaou tu	-|----|-|-|-|
girraslanuitait	-----|-|---|--|
cl artecar	--⌫---|--|
deab les hetmolt toutes	----⌫--|--|---|-----|
cez choses ne ilne	--|-----|-|-|-|
pasu olent ierslaouil	--|-⌫-----⌫---|-|-|-|
le sse t. einsi sapra nt	--⌫|--⌫||-----⌫|----⌫-|
le prod o me	-|----⌫-⌫-|
l apu celequi	-⌫|--⌫---|--|
grantp aor	----|-⌫--|
que deables	--|------|
ensi s en reuintla	---||-|-----|-|
damoiseleasa maison	--------||-|-----|
moltbien creant et	---|---|-----|-|
m out humil ieusement u ers	-⌫--|-----⌫--------|-⌫--|
dieuetuersle spoures	---|-|---|--⌫|-----|
et lesgenz do u	-|--|---|--⌫|
pais.liprodomeu i nrent	---||-|------|-⌫-⌫----|
li distrent	-|-------|
maintesfoizbele amie	------|---|---|---|
moltdeuezestreesf raee	---|----|----|---⌫---|
tor mentquiest auenuz	---⌫---|--|--|-----|
d e uostrepereetde	-⌫|-----|---|-|-|
uostrefrereetde	-----|----|-|-|
uozser o rsqui einsi	--|---⌫-⌫-|--|----|
sontmen e es.or	---|---⌫-⌫-||-|
uos car uos es tesmolt	--|--|--|--⌫--|---|
etmoltauez	-|---|---|
bonsherita igesetmolt	---|------⌫---|-|---|
ser aliezzz p ro domse	---⌫|---|-|-⌫--⌫--|-|
e nbie nquiau oir	-⌫|---⌫|--|--⌫--|
eteler espont	-|--|-⌫-----|
nostresires	-----|----|
metie ngne s icom il	-|---⌫---|-⌫|--|-|
se t qu e mestiersm est .	--⌫|--⌫|-------||--||
cele damoi seleungr ant	---|-----⌫---|-|--⌫--|
tens yyanzoupl us c	---|-|--|-|--⌫-||
onquesdeables	-----|------|
engingnier ne	---------|-|
nesotnulemauuese	-|--|---|------|
quele feist.	-|--|----||
sil en pe samoltet	-||-|--⌫-|---|-|
sot bien quil nela	--|---|-|-|-|-|
engingniercar ne uoit	---------|--|-|---|
coment il sep oist	-----|-|-|-⌫---|
mest re en nule	----⌫-|-|---|
des esour estantque il	-|-⌫-|---⌫-|------|-|
seporpen saquilne	-|------⌫-|-|-|-|
la porroitengingnier	-|------|---------|
nefaireoubl ierceque	-|----|----⌫--|-|--|
seilne lac orrocoit	-|-|-|-|-⌫-------|
carel enauo i t cure	--|--⌫||---⌫-⌫|---|
des o ures ferequ i li	--|-⌫---|---|--⌫|-|
a belis s oient.	-⌫-----⌫-⌫----||
lorspri st sase ror si	---|---⌫-|-|--⌫--|-|
liamena u nsamedi au	-|----|-⌫|-----|-|
luicorreci eretpor	--|-------⌫-|-|--|
ueo i rseillapoist	---⌫-⌫|-|-|-|----|
engingnier .et quant	---------||-|----|
ost el sonperesiestoit	---⌫-|--|---|-|-----|
i a grant piecede	-⌫|----|----|-|
eta men a zz grant	-|-⌫---⌫|-|----|
tr opia ude garcons et	--⌫----⌫|-|------|-|
uindrenttuit dedanzl	-------|---|-----||
etquantsasue rles	-|----|-|---⌫|--|
uit si enfu molt	--|-|-|-|---|
irieeetdist	----|-|---|
uosuoilloiz	--|-------|
celeuiemenernede uez	---|--|----|-|--⌫--|
pascea n z	--|---⌫-⌫|
uenirca r uosme ferez	----|--⌫|--|-|----|
auoirblasme dont ien	----|-----|---|-||
eu ssemestier.	--⌫--|------||
quantceleoid ireque	----|---|-|-⌫--|--|
porliauroit blasme s	--|-|-----|-----||
en fu molt	-|-|---|
iriee etp a llaco mme	----|-|-⌫-⌫--|--⌫--|
celleoudeablesestoit	----|-|------|-----|
s imesa m a sa	-⌫|----⌫-⌫|-|
et dist quele faisoi t	-|---|-|--|------⌫|
mielzque eleetse li	----|--|--|-|-|-|
mi stsusque	--⌫-|--|--|
lib on shom la	-|-⌫--⌫|--|-|
en mauue stieetseles	-|-----⌫---|-|-|--|
genz lesauo ient	---|-|----⌫---|
queleseroitar s e.quant	-|--|-----|--⌫-⌫||----|
celleo i que sa suer	----|-⌫|--|-|---|
tel d eablie sussise	--|-⌫-----|--|-|-|
corrocae td istqu e	------|-⌫|-⌫--|--⌫|
h orsde sa	-⌫--|-|-|
celle dis t queaus is	----|---⌫|--|---⌫-|
a uoiteleestéson	-⌫---|--|----|--|
com ausuen et que ele	--|-|---|-|--|--|
nenistr oitp as .	|-|----⌫--|-⌫-||
etquantce lle oiqu	-|----|--⌫--|-|-|
en uoloi t	-|-----⌫|
silapris tp arles	-|-|----⌫|-⌫-|--|
esp auless ilauoloi t	---⌫----|-⌫|-|-----⌫|
giterhors. etce llese	----|---||-|--⌫--|-|
reuengaetli	------|-|-|
garconquiestoientauec	-----|--|-------|---|
lapristren t	-|--------⌫|
silab atir ent	-|-|-⌫----⌫--|
dur ement.	---⌫----||
etquantelle	-|----|---|
l or pot esc haper	-⌫-|--|---⌫----|
etil lorentbatue	-|-||----|----|
tantc omi luostrentsi	---|-⌫-|-⌫|-------|-|
s enentra ensa	|-|----|-|-|
chambre etfermalui s	------|-|----||--⌫|
desorli.e le	----|-||-⌫-|
lai enz que sa	---⌫--|--|-|
bai ssell e	---⌫-----⌫|
et sonse ria ntporcui	-|--|--⌫---⌫-|--|--|
il nelais sieren trien	-|-|----⌫------⌫|---|
c elefuensa chambre	-⌫--|-|-|-|------|
t outes eulee t	-⌫---|-⌫---|-⌫|
couch ie een	-----⌫--⌫|-|
touteuestueetplora	----|-----|-|----|
dure mentet otmol t	----⌫---|-|-|---⌫|
grantduel .	----|---||
et q u antdeablesla u it	-|-⌫-⌫--|------|-|-⌫-|
co rreci eeet	--⌫-----⌫-|-|
u itgo utesienf u	-⌫-|--⌫--|-|-|-⌫|
molt liez.si	---|---||-|
le dueldesonpere et	-|---|-|--|---|-|
desamer e etde son	-|-|---⌫|-|-|--|
totcelui de	--|----|-|
sessero rs	--|----⌫-|
dece stequieinsis	-|--⌫--|--|-----|
l ors plorequa ntil li	-⌫--|----|---⌫-|-|-|
remem br ede toutes	-----⌫--⌫|-|-----|
ch oses siot	--⌫---|-|-|
mol tgrantdu el eten	---⌫|----|--⌫-|-|-|
celedolorsen dormi.	---|----||--⌫----||
quantdeables	----|------|
uitqu el eottout	--|-|--⌫|-|---|
oublié qua nqu e	------|---⌫---⌫|
liotcommendépor	-|-|--------|--|
lagrant ire ou e le	-|----|--|-|-⌫-|
estoitsienfu	-----|-|-|-|
liez etdist	---|-|---|
orestceste bi en	-|--|----|--⌫-|
ator neeettoute	----⌫--|-|----|
la g ardede	-|-⌫---|-|
son mestre . o rporroit	--|-----||-⌫|------|
enbien e n limest re	-|---|-⌫|-|----⌫-|
nostre hom e.	-----|---⌫||
icis tdeablesqu iot	----⌫|------|--⌫|-|
pooirdeconuerseretde	----|-|--------|-|-|
gesirafemmefu	----||----|-|
tost apareilli ez et uient	---|---------⌫-|-|----|
a l iendor mant si	|-⌫|-|---⌫---|-|
concoit .et	------||-|
quantilotconceu elle	----|-|-|-----|---|
esueil lier	------⌫---|
lisouuint dou prod om e	-|------|--|----⌫--⌫|
sisesein gnaetdist	-|-|----⌫--|-|---|
sai nte marie	---⌫--|----|
auenu iesuis	----|-|---|
comie s toiequantie	--||-⌫-⌫---|----|-|
meco uch ai .	-|--⌫---⌫-||
beleglorieuse	---|--------|
meredieu dame	---|---|---|
filleetmereihesucri st	----|-|---|----|---⌫-|
de prie zle	--⌫----⌫|-|
uostrebo neure	-----|--⌫----|
et chi e rfilque i l	-|---⌫-⌫|--|--|-⌫|
ga rdelanme demoi	--⌫--||---|-|--|
etdesfandedoupooir	-|-------|--|----|
delannemi. lorss e	-||-----||---|-⌫|
lieueet quiert	----|-|-----|
faitq uele	---|-⌫|--|
lec uidoit	-|-⌫-----|
etquant e leuit	-|----|-⌫-|--|
p ot tr ouersicorta	-⌫-|--⌫---|-|---||
s on huissiletre uue	-⌫-|---|-|-|---⌫--|
fermésico m	-----|-|--⌫|
elemei smesl	--|---⌫---||
fermé.et qu antele uit	-----||-|--⌫--|--|--|
queli hu is	--|-|--⌫-|
d e lacham bre fubien	-⌫|-|----⌫--|-|---|
cercha par	-----|--|
to ute sach ambre	--⌫--|-|--⌫----|
sinetro uarien .	-|-|---⌫-|---||
s et elebien queele	-⌫-|--|---|--|--|
e ngingnieedannemi . lor s	-⌫--------||-----||---⌫|
sadolou sa etreclama	|------⌫-|-|------|
molt doucement	---|--------|
nostrese ingnor et dist	-----|--⌫-----|-|---|
quilnelasoufrist	-|-|-|-|-------|
ahonirencest	|----|-|---|
siecle . la nu izpassa et	-----||-|--⌫-|----|-|
liiorzuin t	-|---|---⌫|
dea bles enre menasa	---⌫---|-|--⌫---|-|
femmecar ilotbien	----|--|-|-|---|
fait ce por quoi	---|-|--|---|
illot amenee.quant	-||-|-----||----|
enf ualeeet	-|-⌫|---|-|
li garconce lleissi	-|-----|--⌫--|---|
desachambremolt	-|-|------|---|
plorantetmo lt ir iee et	------|-|--⌫-|--⌫--|-|
quil liapelast	-|-|-|------|
femm es.etquant	----⌫-||-|----|
furent uenue s sise	-----|-----⌫|-|-|
sonco nfessor.	--|--⌫------||
s ialata ntqueleuint	-⌫|--|--⌫---|--|---|
l aet quant	-⌫|-|----|
uitsilidist	--|-|-|---|
tuas b esoing queie	-|-|-⌫-----|--|-|
moltesfraee.et	---|------||-|
el e re spont	--⌫|--⌫----|
ie d oibienestre	-|-⌫-|---|----|
esfraeecarc em est	------|--|-⌫||--|
auenuq ui onques	----|-⌫-|-----|
et ieuienga uos que	-|-|----||--|--|
uosmeconsei lloiz	--|-|------⌫----|
caruosmauezdi t	--|--||---|--⌫|
quenus nepuet	--|--|-|---|
grantpech ie	----|----⌫-|
faire seilenest	----|-|-|-|--|
confesetrepentanz e t il	-----|-|--------|-⌫|-|
qu el icon fessor	--⌫|-⌫|---⌫-----|
e n s eignerontqu illi	-⌫-⌫-⌫--------|-|-|-|
pardonné.	--------||
sire e tie	---|-⌫|-|
pechiéetbiensachiez	------|-|---|------|
q ue ie aiest e ́	-⌫-|-|-|---⌫-⌫|
engingnieepa renne mi.lors	---------|--⌫|----⌫-||---|
li conteco mentsa suer	-|----|--⌫---|-|---|
uinta sa maison	---||-|-----|
c o rrocaa li e t com ent	-⌫-⌫----||-|-⌫|---⌫--|
entrelietl es	----|-|-|-⌫-|
garconslab at irent et	------|-|-⌫--⌫----|-|
comenteleentrae nla	-----|--|----|-⌫|-|
chambretoute	------|----|
iriee etfe rma bienl	----|-|--⌫--|---||
uissorluie tpar	--|--|--|-⌫|--|
le grantduelet pa r	-|----|---|-|--⌫|
lagra ntire	-|---⌫-|--|
mo u bliai	|-⌫-⌫----|
asei ngnie r et	|---⌫-----⌫|-|
oubliaitozles	------|--|--|
c ome ndemens qu euosm	-⌫---⌫------|--⌫|--||
a uoiezfaizetquan ti e	-⌫----|---|-|----⌫|-⌫|
mesueil laisi	|------⌫--|-|
met rouaihonnieet	-|-⌫----|-----|-|
despuc elee .sir eie fermai	------⌫---||---⌫|-|-----|
ma chamb re	-|-----⌫-|
ettrouai monhuisferme ́	-|-----|--|---|-----⌫|
einsis com i e	-----|--|-⌫|
r ien sneesine soi	-⌫---⌫|--|-|-|--|
quicem otfait	--|-||-|---|
siree ins is	---|-⌫---⌫-|
fuengingniee	-|---------|
siuos cri merci	-|--|--|----|
se le cors demoiest	-|-|---|-|--|--|
tormentezqu e ien i	--------|--⌫|-|||
liprodom abienescouté	-|-----||---|-------|
quanqueele	------|--|
merueillem olt	--------|-⌫--|
lacroitpas de	-|----|--|-|
quelelidie caril	-|--|-|--|--|-|
no i o n ques pallerde	|-⌫|-⌫-⌫---|-----|-|
te lmerueille	--⌫|--------|
si l ir esponttu	-|-⌫|-⌫-----|-|
touteplainedede able	----|-----|-|--⌫---|
deable s conuerse encor	------⌫|-------|----|
en tortoi.comentte	--⌫--|--||-----|-|
confesseraige	----------|-|
etenchargeraipe nitenc ede	-|----------|--⌫------⌫|-|
cequeie cuit	-|--|-|---|
uer a i ementque	---⌫-⌫-⌫----|--|
tumentesonques	-|-----|-----|
femmene fudespucelee	----|-|-|---------|
n eseustbie n de	-⌫|----|---⌫|-|
aumoins quele ne	-|----|-|--|-|
s eust quiladespucelo i t	-⌫---|--|-|---------⌫-⌫|
ettu uiausfairecroire	-|-|----|----|-----|
queceste meru eille	--|----|----⌫----|
et eleres p ont sire	-|--|---⌫-⌫--|---|
mefacedi ex sauueet	-|---|--⌫-|----|-|
detormen tcom ie u oir	-|------⌫|--|-|-⌫--|
uos di.et liprodom	--|-||-|-|-----|
seil esteinsisuoirs	-|-|--|-----|----|
com tu mediztu	--|-|-|--|-|
uerras bien	-----|---|
ent oeuremeismes.tu	-||----|------||-|
a sfaitmolt	-⌫|---|---|
del obediencequeie	-||--------|--|-|
tauoiecomend e ́etpor	|----|------⌫-⌫|-|--|
trespass as etpor ceque	--------⌫-|-|--|-|--|
tulas trespas see t	-||-|-------⌫--||
encharg era iie	-------⌫---⌫|-|
tapenitance quetozles	-|--------|--|--|--|
iorzmaisquetuuiuras	---|---|--|-|-----|
ne mengeras au	-|-------|-|
uendredicu ne foiz.et	-------||-⌫-|---||-|
de ce que tu d izde	-|-|--|-|-⌫-|-|
dontiene tecroi	---|-|-|-|---|
miem ecoui entil que	--|-⌫|----⌫--|-|--|
uo sdoingne	--⌫|------|
pe nitanceseuosl a	--⌫------|-|--|-⌫|
uoulezfaire tel comie	-----|----|--|--|-|
la uo s donr ai .	-|--⌫|----⌫-||
e ll erespont uos ne me	-⌫--⌫|------|--|-|-|
comend e roiziasifort	------⌫-⌫---|-|-|---|
ch osequ eiene	--⌫--|--⌫|-|-|
face. et ilrespont	---||-|-|------|
dexle doint diztu	--|-|----|--|-|
u iens au conseilde	-⌫---|-|------|-|
sai n tee gli se etala	---⌫-⌫-|-⌫---⌫-|-||-|
merciihesucristqui	----|----|----|--|
rachata de si	------|-|-|
achatco mme desamo rt	----|--⌫--|-|-|--⌫-|
- cest uoireconfession	||--|----|---------|
etbo nnerep antanceet	-|--⌫--|---⌫------|-|
sim pleet b ie n	---⌫--|-|-⌫--⌫|
du cuer- et	-|---||-|
toutein sicomtu lem	---|---⌫-|--|-|-||
asd it de laboic he	-|-⌫-|-|-|----⌫-|
que tuletenras	--|-|-|-----|
doucueretdou cors	--|---|-|--|---|
e tdefaireet	-⌫|-|----|-|
atonpooiren	|--|----|-|
tout es manierese te le	----⌫-|-------|-⌫|-⌫-|
respontsire einsico m	------|---|----|--⌫|
le ten rai iem olt	-|---⌫--|-|-⌫--|
uol entierss edieuplaist.	---⌫------|-⌫|---|-----||
et ilr espont	-|-|-⌫-----|
iecroi endieuse	-|---|-|---|-|
cepue testreuo irsque	-|---⌫|----|--⌫--|--|
n i aur as	||---⌫-|
garde. -siref aitelle	----|||---|-⌫--|---|
