orescotezpor	-|------|--|
totquant nosaueronsour é	--|----|--|------|---⌫-|
e bien emalpuisr eceuron	|---||--|---|-⌫------|
selonc lefait	-----|-|---|
leg ueredon	-|-⌫------|
tantauo n sfa itquene	---|---⌫-⌫|--⌫-|--|-|
queiac l erzquice	--|-|-⌫-⌫--|--|-|
quiia poi ssons	--|-|---⌫----|
ne la pen itence	-|-|---⌫-----|
parla poissa ncedeldeable	--|-|------⌫--|--|-----|
sen osensi	-|-⌫-|---|
fait l eusson	---||-----|
qua escientlefeisson	-||------|-|------|
orniarien de	-||||---|-|
desesperers n	----------||
i amestier	||------|
quantdes nos rapeleasei	----|--|--|-----||--|
eilnosfaits igrant otrei	|-|--|---|-⌫|----|----|
que cono issomnostre peche	--|----⌫----|-----|----|
etot e nostremal u azt e	|---⌫|-----|---⌫-⌫---⌫|
b i enuolt que aliretornon	-⌫-⌫-|---|--||-|-------|
eilnos farabon pardon	|-|--|---|--|-----|
silueitlabon erepentance	|-|---|-|---⌫|---------|
nosdenostrefoleia nce	--|-|-----|------⌫--|
amis dis t ele	---|---⌫|--|
or uei tresb i en	-|--|---|-⌫-⌫-|
quenauons mestierdautrerien	--||----|------||----|---|
f or sdequerre	-⌫--⌫|-|-----|
edeporchaci er	|-|--------⌫-|
mecinequinosaitmestier	-----|--|--|--|------|
eresanerlamort el plaie	|------|-|----⌫-|----|
dontch ascu ndenosmolt	---|--⌫----⌫|-|--|---|
oru os pri med oct rine z	-|-⌫-|--|-|-⌫---⌫----⌫|
que desescripturessau ez	--|--|----------|---⌫-|
am e idites	|-⌫-⌫|----|
porbie n estr uire	--|---⌫|----⌫---|
c umfaitementme dei	-⌫-|--------|-|--|
enquelguise e n s emblant	-|---|----|-⌫|-⌫------|
mec ontendraidore	-|-⌫--------||--|
mabele mer e	-|---|---⌫|
entamais o n	-|-|----⌫-⌫|
fa idetoncors	--⌫|-|--|---|
aflic ci on	-----⌫--⌫-|
deieunerde deuprier	-|-----|-|--|----|
t essaumesuersi lier	-⌫-|-----|-----⌫---|
esitet ienench astee	|-|-|-⌫--|-|--⌫----|
tr estozlesiorsde to nhae e	--⌫----|--|---|-|--⌫|---⌫|
l ahaireuest enpreston	-⌫|----|---|-----|--|
elesbel espailesde dehors	|--|---⌫-|-----|-|-----|
lesfameilous faisaol er	--|--------|--|----⌫-|
les nu z ues tir econ reer	--|--⌫|---⌫--||---⌫---|
morzseueilir e enter rer	---|-------||-----⌫--|
e les n uzuestir echauc ier	|--|-⌫-|-----||-----⌫--|
m oin eshermites u is iter	-⌫---⌫-|-------|-⌫--⌫---|
e eigli ses faire	|-----⌫--|----|
quar quan t lii ugemenzuendra	---|----⌫|-|-⌫------|-----|
echascuns s a raisonrendra	|-------|-⌫|-----|-----|
e serafaitlipar le ment	|---|---|-|---⌫--⌫---|
delbi ene delm alensement	--|--⌫-||--|-⌫-|-------|
que ne se it lab al a nce	--|-|--⌫-|-|-⌫--⌫-⌫--|
maisqu e l i	---|--⌫|-⌫|
biens traie	----|----|
ie menraiautr esi moncors	-|-----|----⌫--|--|---|
iraide lregne hors	---|--⌫|----|---|
endementresqueilced it	-------------|-|-|-⌫-|
toz se sgarnime nz	--|--⌫|-------⌫-|
puisseuestidepoures	---|-|----|-|-----|
esisemis t de haut enbas	|-|-|---⌫|-|---|-|--|
sicu nuers	-|--⌫|---|
la n uitu int	-|-⌫--|-⌫--|
o nques de rienne t int	-⌫----|-|---|-|-⌫--|
mais a la lei de mend iant	---||-|--|-|----⌫---|
alez al c oc chantant	---|-|-⌫-|-------|
delachambre	-|-|------|
istqui fusamere	--|--|-|-|---|
edelpalai zqui	|--|-----⌫|--|
fu son pere	-|--|---|
mo ltagrantdue legrantpite	--⌫-||----|---⌫||----|---|
qui ensisenu aiteissellé	--|---||-|-⌫--|--------|
mai s gr antconfort	---⌫|--⌫--|------|
cequil lefa i tporamorde	-|-|-|-|--⌫-⌫|--|---|-|
d el cuerli is sentlisospir	-⌫-|---|-|--⌫---|-|-----|
qu arnese_	--⌫-|-|-||
pasa bsten ir	--|-⌫-----⌫-|
agr antespleit fuiant senuait	|--⌫--|------|-----||-|---|
la terr eregardeq uil	-|----⌫|------|-⌫|-|
sou entli membredesesp ose	---⌫--|-|-----|-||---⌫--|
quire mainttr is te e	--|--⌫----|--⌫--⌫-||
porson pecheeporsahonte	--|--|----||--|-|----|
epor pitequiladelconte	|--|---|-|-||--|----|
hastiuementpassalaterre	----------|----|-|----|
dontilo staiadizlaguerre	---|-|-⌫--|----|-|-----|
quiat o z ses ancessors	--||-⌫-⌫|--|--------|
eilm eisme s cuens en fu	|-|-⌫-----⌫|----|-|-|
orguerpistotesisen	-|------|--||-||-|
la o fortuneleconduit	-||------|-|------|
tanta erré que a lamer	---||----|--||-|--|
uintal tierz ioruolstlapass er	---|-|----|--|----|-|----⌫-|
al portdroituint	-|---|----|---|
al auesprer	||-------|
maisn enipuetmaisontroue r	---|-⌫-||---|-----|-----⌫|
fors lama ison d unpecheo r	---|-|--⌫---||-|------⌫|
qui molt saueit petit denor	--|---|-----|----||---|
gregoire sui n t	--------⌫|--⌫-⌫|
al marinant	-|-------|
silipriapor	-|-|---|--|
deu legrant	--|-|----|
que enson o stel	--|-|--|-⌫---|
le he rberia st	-|--⌫------⌫-|
equefo rsgesirnellaissast	|--|--⌫-|----|-||-------|
g uerredon	-⌫-------|
consent el e ensa mai son	-------⌫|-⌫|-|-|---⌫--|
q u el z h omeil _iertcilliconta	-⌫-⌫--⌫|-⌫--|-||---|--|-|----|
queil unpenea n zeste it	--|-|-|-----⌫-⌫|----⌫-|
epor gr ant malquefait aueit	|--|--⌫--|--|--|---|----|
s i l estouei t ensialer	-⌫||-------⌫|---|---|
s a destineedemener	-⌫|-------|------|
cille c ome nceaga b er	--|-|-⌫---⌫--||--⌫-⌫-|
e ue rssa femear egarder	|--⌫-|-|---||-⌫------|
cumi lestgras	--|-⌫|--|---|
eblans etend ressor lesdras	|----||----⌫--|--|--|---|
gairesquilfuchauciez	-----|-|-|-|-------|
molt ate ndr es eblansle spiez	---||--⌫---⌫-||----|--⌫|---|
bien resemb le marchaant	---|------⌫-|--------|
qu autru iaueir uait e spiant	-|-----⌫|----|---|-⌫-----|
ilneierraen m a ma ison	-|-|----|-|-⌫|--⌫---|
parlabarb equeaiel menton	--|-|----⌫|--|-|-|-----|
naur eie anui tpaizne repos	|---⌫--|----⌫|---|-|----|
seilgise itdeden zmonclos	-|-|----⌫-|-----⌫|--|---|
gregoi resn	------⌫--||
ot pas cel	-|--|--|
istuolstsen aler	--|----||-|---|
li uintforment a gre	-|---|------||--|
ill ot sideuilé	-||-|-|------|
quantla dame len ueital er	----|-|---||-|---|--⌫-|
sicomencamoltaplorer	-|------|---||-----|
siredistelenamais on	---|---|--|||----⌫-|
a grantpi ecesecesten on	|----|--⌫--|-|----|-⌫-|
i lne set mai s qu elpart aler	-⌫|-|--|---⌫|--⌫-|---|---|
quantpordeut efaile reclaim	----|--|--|-⌫|--|-|------|
failegesirsor	--|-|----|--|
celestraim	--|------|
d ele zt esr ezlelaisse au al	-⌫---⌫|-⌫-|-⌫-|-|-----|--⌫-|
assezl estuetsofri rgrant	----||-----|-----⌫|----|
ne ldeue zpasporuil	-||----⌫|--|--|--|
porc e sil	--|-⌫||-|
uoltespeneir	---|-------|
son pechee safor fait ur e	--|----||-|---⌫----⌫--⌫|
edepar do n	|-|---⌫--⌫|
dreit u re	-----⌫-⌫-|
que ilfac ebien uolentiers	--|-|---⌫|---|---------|
esiliestmolt granzmestiers	|-|-|--|---|----|-------|
quantdexlialebienprest e ́	----|--|-||-|---|-----⌫-⌫|
fac egrantbonte	---⌫|----|----|
a e nchauciés amoi l er	|-⌫--------|-⌫|---⌫-⌫-|
otre iaaherbergier	----⌫-||---------|
elecorutsi lapela	--|----|-||----|
e iluol entiers retorna	|-|---⌫------|------|
nosapasuers	|--|--|---|
lefueuenir	-|--|----|
enun angle seuait	-|-|----|-|---|
illi fi stsonlitderosel	-|-|--⌫-|--|--|-|----|
quipo uresfue	--|--⌫---|-||
s ensdrapel	-⌫--|-----|
as istg regoiresius	--⌫--|-⌫-------|--|
nelidemandemainsneplu s	-|-|------|----|-|---⌫|
apre squant ilfuauespré	----⌫|----|-|-|-------|
e liostesotapresté	|-|----|-|-------|
esonmangier	|--|------|
lorssilipr ia samoiler	---|-|-|--⌫-|-|-----|
quefac e son	--|---⌫|--|
o steuenir	-⌫--|----|
puisque el ele fistretenir	------|--⌫|-|---|------|
s e i soper	-⌫-⌫|----|
eun petital	|-|----|-|
feuchaufer	--|------|
quedexbon guerredonl	--|--|--|--------||
corsde maldefende	---|-|--|------|
l i priedocem e nt	-⌫|---|-----⌫-⌫-|
il li otreie	-|-|-----|
sifaitemen t	-|--------⌫|
laigue a sesmains l ido na	|----||--|----|-⌫|--⌫-|
del fe u s eir lefist	--|--⌫|-⌫--|-|---|
uneb eletoaille p r ist	--|-⌫--|------|-⌫-⌫--|
sil entend i enu n bel	-||------⌫|-|-⌫|--|
bienpre s d e l u i e	---|---⌫|-⌫|-⌫-⌫||
pres del fue	---|--|--|
ason soperleserui	|--|----|-|----|
peisson e delgastel	------||--|-----|
dona deson bon uin	---|-|--|--|--|
trestu itrazéunmazelin	------⌫-|----|-|------|
gre goi res ueit sonbels eruise	---⌫---⌫--|---|--|--|-⌫-----|
m oltsenes t entr e mise	-⌫--||-|--⌫|----⌫-⌫---|
delbo n corage la mercie	--|--⌫|-----|-|-----|
liditmachie reamie	-|--|-|----⌫-|---|
n ai s oing	|-|-⌫---|
d e si fai teuiande	-⌫|-|---⌫-|-----|
quarmicors autre me de ma nde	---|-|---|----|-|--⌫--⌫--|
peneanz sui n	------|--||
estpasraisons	--|--|------|
de uin n edepei ssons	-|--|-⌫|-|---⌫----|
se tu me uousfaire bont e	-|-|-|---|----|----⌫|
s i me doneparc harite	-⌫|-|---|--|-⌫-----|
de tonpaindorgeunpetite t	-|--|---||---|-|------⌫|
edeleigue enunuai sselet	|-||----|-|-|---⌫-----|
donsleregardelep echer re	---|-|------|-|-⌫-----⌫-|
haifaitilcum estri cherr e	--|---|-|--|-|---⌫-----⌫|
siorni aueit	-|-|||----|
tumanieroies to tle	-|---------|--⌫|-|
de chi efenchiefius quenlar este	-|---⌫-|-|----|---⌫-|-||--⌫---|
p arlesdous	-⌫-|--|---|
oilzdecesteteste	---|-|----|----|
e si be ureie sunsestier	|-|--⌫-----⌫|-|------|
delme iloruin demoncel ier	--|--⌫---|--|-|--|---⌫--|
gr eg oiresaasonhostedit	--⌫--⌫----|||--|----|--|
tro ppar auez encorp oidit	---⌫|--|---|----|-⌫-|--|
assezsuiie grant masse pi re	----|--|-|----|----|--⌫-|
uos oiencore	--|-|-----|
la da meueitde	-|--⌫-|---|-|
sonseignor	--|------|
q ueporpitie	-⌫-|--|----|
neispordeune	---|--|--|-|
de luidiresigrantlaidure	-|--|---|-|----|------|
des on seig nor_lamaniere	-|-⌫-|----⌫--||-|------|
bienconois	---|-----|
soncorsesachiere	--|---||-|-----|
es ei tque fel	|-⌫--⌫|--|--|
esteculuert	--||------|
emolt het pres seenson	|---|--|----⌫-|-|--|
sire f aite leceque mon te	---|-⌫--|-⌫-|-|--|---⌫-|
moltenpoez	---|-|---|
au ergranthonte	--⌫-|----|----|
epouresacon trelier	|-----||---⌫------|
gard ezde denz	----⌫-|--⌫---|
uost re ma ison	----⌫-|--⌫---|
que ne lidi ezse biennon	--|-|-|--⌫-|-|---|--|
entr ue squeuie ngeamat in	----⌫--⌫---|---⌫--||---⌫-|
quantalezsen	----|---||-|
_iertunefeiz	|---|--|---|
iapuis i ci	-|---|-⌫-|
maisn eluerrez	---|-⌫||-----|
d elpe issongo ster	-⌫-|--⌫----|--⌫---|
que aue zdeceaparler	--|---⌫|-|-||-----|
ne nen demand e	-||-|------⌫|
enluedeceau tre uiande	-|--|-|-|--⌫--|-----|
quiuosgri etderienatorn er	--|--|---⌫-|-|---|-----⌫-|
cequ euose stusseacheter	-|--⌫|--|-⌫-----|------|
s il ne b eitu inqueuosen	|-|-|-⌫--|-⌫-|--|--|-|
qu an tlafontainemielzli	--⌫--⌫|-|-------|----|-|
epluis liuien t	|----|-|----⌫|
as ontalent	|-⌫-|-----|
uos coste deneient	--|----|-|-----|
sofrez q uiil	-----|-⌫-|-|
e nf aitez sigr antp lait	-⌫|-⌫----|-|--⌫--|-⌫---|
quant u osen luineper dez	----|-⌫-|-|--|-|---⌫--|
consentezle sif erez bien	--------|-|-|-⌫---|---|
d emainquantdecip arti ra	-⌫----|----|-|-|-⌫----⌫-|
r ien deluostre	-⌫--|--|-----|
nenportera	|-|------|
li pecherr eque quel edie	-|-------⌫|--|-|--⌫|--|
ne _celer safelonie	-||----|-|------|
gr egoiressest retorné	--⌫------||--|-------|
uers luia demal	---|--||-|--|
cue rparlé	---⌫|-----|
sirefaitilmoltmemer ueil	---|---|-|---|-|---⌫---|
quenau ezprisautreconsei l	--||--⌫-|---|----|------⌫|
deuostr e ui ed em ener	-|-----⌫|--⌫|-⌫--⌫---|
quelong esp erp aisaler	--|----⌫-|-⌫-|-⌫--|---|
fait molttost	---|---|---|
rese mblertruant	----⌫----|-----|
ebienpr odome ebien uai llant	|---|--⌫----||---|---⌫----|
longesteluie	-----|--|--|
asezes tqui en	---|--⌫|--|-|
di tlafolie	--⌫|-|----|
en osueon sadessouent	|-⌫-|----⌫|---|-----|
quene _mie longement	--|-||--|--------|
ho meco n uers er	--⌫-|--⌫-⌫----⌫-|
quenelestuesseesc haufer	--|-||-------|---⌫-----|
e resen tiral	|-----⌫--|-|
delfue laforce e	--|--|-|----||
de uosest poors	-|--|--|----|
uos demoreze ntrelagent	--|------|-⌫---|-|---|
e uo sueez	|--⌫|---|
l urmales ueies	-⌫-|----|----|
eoez lurgriesfelon ies	|--|--|----|-----⌫--|
cre meestquache fdefiee	---⌫-|--|-||---⌫|-|---|
uostrecoragesienchee	-----|------||-----|
iahomedesi sai n tisme	-|---|-|-|---⌫-⌫----|
nedeust estre	-|----|----|
mais estreen un hermitage	---|----|-|-|--------|
oen deserto enbosc hage	|-|-----||-|----⌫---|
gregoiresentente	--------|-----||
molt humlem ent	---|------⌫--|
li respon di	-|------⌫-|
queditesu eri te	--|----|-⌫---⌫-|
maisnaiencore	---||-|-----|
lue troué	--|-----|
quimesei t	--|-|---⌫|
uenuzencorage	----|-|-----|
nabeenedermitage	|---|-||-------|
ma isseiea lcun lue	--⌫-|-|-|-⌫---|--|
otoz solz abiter	|--|---|-----|
e demenerenp aiz maui e	|------|-|-⌫--|-|--⌫|
nequeisse au tremanentie	-|------|--⌫--|-------|
nene queis secompaignon	-|-|-----⌫-|---------|
se deusolemen te i einon	-|--|-------⌫||-⌫-|--|
haifait ilquel	--|---|-|---|
ie en s a i	-|-|-⌫-⌫|
encelemerun t iel	-|---|--|-|-⌫--|
laosoleiealerpescher	-||-----|---|------|
dedenzungrantd i smerocher	-----|-|------⌫-⌫--|-----|
iequitqueplu sdea nz	-|---|--|---⌫|-|-⌫-|
queh ome ne	--|-⌫--|-|
se ie meismes	-|-|------|
pl us n ensai	--⌫-||-|--|
deloin g mol tl esgard ai	-|----⌫|---⌫||------⌫-|
quel arocheens icrusee	--|-⌫|----|---⌫|-----|
cumune m aison bienour ee	--|--|-⌫----|---|---⌫-|
ilu ecsiuos uientencorage	---⌫-|-|--|----|-|-----|
poez trouerbon hermi tage	---|-----|--|-----⌫---|
lueso l t ifdeman dez	--|--⌫-⌫-⌫-|-----⌫--|
iamar enser ezesga r ez	-|--|-|---⌫-|----⌫-⌫-|
tosti porrez	---||-----|
estre chenuz	----|-----|
ainz queuos iserez seu z	----⌫--|--||----|---⌫|
irahomep arm ilamer	--|---|-⌫---⌫|-|--|
quitalen t ait d	--|-----⌫|--||
il uec torner	--⌫--|-----|
qu iln e liauenistd amage	-|-|-⌫|-|------|-⌫----|
esiuo s ipleiseit	|-|--⌫||-------|
menraiu osip ar mil amer	-----|-⌫-||-⌫--⌫-|-⌫|--|
sede xmeuoltma nefga rir	-|--⌫|-|---|-|--|--⌫--|
demon c orsn epoet failir	-|--|-⌫--|-⌫|---|-----|
unautre choseuosdirai	-|----|----|--|----|
ce sache zqunes ferges	-|-----⌫||---|-----|
s euosuolezbienenfer ger	-⌫|--|----|---|-----⌫--|
ieluosotreiacel me stier	-||--|----||--|--⌫----|
g re goiresrespont iel otrei	-⌫--⌫-----|------|-||----|
s ire grez e mercis demei	-⌫--|---||-----|-|--|
quant q ue u o s dites mo ltme plaist	-----⌫-⌫-|-⌫-⌫|----|--⌫-|-|-----|
liostes lententsi	-|----||-----|-|
l ongement on t	-⌫-------|--⌫|
e n trelzp arlé	-⌫-⌫-|--|-⌫----|
epuis sesontcoucheralé	|---|-|---|------|---|
grego iresalaal	-----⌫---|--|-|
reposaseisorlerosel	-----|--|--|-|----|
ainzquildor mistmolt	-----|-|---⌫---|---|
rep riadeuomni po tent	---⌫--|--|----⌫--⌫---|
pri ere fist affliccions	---⌫--|---|----------|
edist saumese	|---|-----||
p ar matine tquant iorfucler	-⌫-|------⌫|----|--|-|---|
cil alasanefaprester	--|--|-|--|-------|
lesfer gesauocseiporta	--|---⌫--|---|--|----|
e greg oiresenpres ala	|----⌫----|-----|--|
dela grant hasteq ueil	-|-|----|----|-⌫-|-|
quarlepesch errel e asto t	---|-|-----⌫---|-⌫|----⌫|
lesta blesqu im o lt ot	--|--⌫---|--⌫|-⌫-⌫-|-|
aen lamaisonoblieez	|-|-|-----|------|
alanef uindrent enzentrer en t	|-|--|-------|--|------⌫--⌫|
enp eintrenttant	---⌫-------|---|
quealaroch e	--||-|----⌫|
oil esteient esmeu	|-|-------|----|
quantue nufurentalr ocher	----|--⌫-|-----|-|-⌫----|
ni otpasfaitgrant demorer	||-|--|---|----|------|
pescherres liferm a	---------|-|----⌫|
otfaitretraitlaclef	-|---|------|-|---|
r etor n er s	-⌫----⌫-⌫-||
en uoltasanef	-|---||-|--|
assezpe nsaquilenfereit	----|--⌫--|-|-|-|-----|
e en qu el lue la	|-|--⌫-|--|-|
rep ondre it	---⌫-----⌫-|
nelauolst long ementporter	-|-|----|----⌫----|-----|
ueia ntluilageta enmer	----⌫-|--|-|---|-|--|
epui s lidist	|---⌫|-|---|
ensieste z	---|----⌫|
een c esterochemanez	|-|-⌫---|----|----|
tantque laclef seittrouee	------|-|---|---|-----|
quicid euantuosestgetee	--|-|-⌫----|--|--|----|
cilestremes	--|--|----|
sansco npaig nie	---|--⌫-----⌫--|
formentuersdeus enhumilie	------|---|--||-|------|
quile terri ene	--|-|-----⌫--|
o seinenan edemande	|--|--||-⌫|------|
me r cicrier	--⌫-⌫-|----|
e deupri er	|--|---⌫-|
cestetso n	|----|--⌫|
deduit eso nmangi er	-----||--⌫|-----⌫-|
ios telui enlapie rredure	---⌫-|--|-|-|---⌫--|---|
otu npetitd etroueure	-|-⌫|----|-⌫|-------|
qu an til plouei tla i gue colo t	--⌫--⌫|-|------⌫||-⌫-⌫--|----⌫|
ceiert tr estot quantquil	-|---|--⌫----|------|-|
se fainso se if le destreigneit	-|----||--⌫-|-|-----------|
d e ce sa uie	-⌫|-|-|--|
deluinosrecon teles toire	-|--|--|-----⌫-||--⌫----|
a nsifugregoire	-⌫-||-|-------|
queonquesnuil zhome ne	--|-----|----⌫|---|-|
n eisicilq uimisliot	-⌫--|---|-⌫-|--|||-|
l i pescherres	-⌫|---------|
quant lifaill isauestu re	----|-|-----⌫|-|-----⌫-|
sa chars remes	-|----|----|
a la freidure	|-|-------|
toz l es drasqui	--|-⌫-|---|--|
ilotporté	-|-|-----|
furentsi porrieusé	-----|-|----||---|
que n el poeientsolcourir	--|-⌫||------|--|-----|
ne en uironsonc orst e n ir	-|--⌫----|--|-⌫--|-⌫-⌫-⌫-|
tozn uz sensdrasoboncor ag e	--|-⌫-|---|---||--|---⌫--⌫|
sofri l e solailel orage	----|-⌫|-----|||----|
co mentquei l	--⌫------|-⌫|
menastsauie	-----|-|--|
ded euprierpasne soblie	-|-⌫-|----|--|-||----|
que un euie li doinstmener	--|--⌫|--|-|-----|----|
luisepuisseacorder	--|-|-----|------|
or lei ronsunpoidegregoir e	-|---⌫---|-|--|-|-------⌫|
siparleronsdelapost oile	-|--------|-||-----⌫---|
d e l a postoile biensauez	-⌫||-⌫-------|---|----|
q uemolt es tgrant	-⌫-|---|--⌫|----|
ladignite z	-|-------⌫|
gard e estdelacrest i ente	----⌫|--|-|-|-----⌫-⌫---|
c ure s ozd amed e	-⌫--|-⌫-|-⌫----⌫|
loresauinte n	----|----|-⌫|
celte rmine	--|--⌫----|
se loncsa uolente deuine	--⌫---|-|------|-----|
q uecilapos toile s f ina	-⌫-|--|----⌫-----⌫|-⌫--|
gran tp laintegrantdue len me na	----⌫|-⌫----||----|---⌫|-|--⌫-|
t u it liclergieeliautrehome	-⌫-⌫-|-|------||-|----|---|
quiaceltensierent arome	--||--|---|-----||---|
triste descon fortéesteient	----||------⌫-----|-------|
d elurpastor	-⌫|--|-----|
l ec orsdeluimolt enorrerent	-⌫|-⌫--|-|--|---|---------|
erichementleconreerent	|--------|-|---------|
e nsicum costumeestei t	-⌫--|--|------|-----⌫|
parsone des onendreit	------|-|-⌫-|------|
e apre s so nenterrement	|----⌫|--⌫|----------|
ne d emorapaslongement	-|-⌫----|--|--------|
qu etuit li legatsasemb lerent	--⌫|---|-|----||-----⌫-----|
e leromainclerge mand erent	|-|-----|-----|----⌫----|
e lesbori eis de	|--|----⌫--|-|
ceu x degreignorautorite	---⌫|-|-------|-------|
el e seuesques	|-⌫-⌫|-------|
po rf aire entr	--⌫|-⌫---|---|
eaus ele ction	---|---⌫----|
de cuiapostoil e fereient	-|--|--------⌫|-------|
so rcuicele cure metrei ent	--⌫|--|---|---|------⌫--|
unlegat ilueques	-|----|-------|
qu im ol treligi os	--⌫|-⌫--⌫|------⌫-|
quan til furenttuit	----⌫|-|-----|---|
asem b lé	----⌫-⌫--|
cilapre m ie rsatoz p arlé	--||---⌫-⌫--⌫-||--|-⌫----|
seignorsfaitilue uauez	-------|---|-|--⌫|---|
lapo stoiles est deui ez	|---⌫------|--|----⌫-|
etre sp asse z d ece s teuie	|---⌫--⌫----⌫|-⌫|--⌫-⌫-|--|
dexlio t reit	--|-|-⌫-⌫---|
saconpa ignie	-|-----⌫----|
no snepoonspas longe me nt	--⌫|-|----|--|-----⌫--⌫-|
estr e sensbon m aintenement	----⌫|---|--|-⌫----------|
que seinteeglise	--|-----|-----|
seits ensdo ctoresensiustise	---|-⌫--|--⌫---||---|------|
uosestesiciasemblé	--|----|--|-------|
en lenor delcr estiant e	-||---|--|--⌫-------⌫|
eque rre eeslir e pastor	|---⌫--||-----⌫|-----|
quedig nes seitditielenor	--|---⌫--|---||----|---|
e dex lenos	|--|-|--|
doinstsi afai re	-----|-||---⌫-|
qu e a b on	--⌫||-⌫-|
chief enpoissonstraire	----|-|-------|-----|
queilas auo le nteseit	--|-||-⌫|--⌫--⌫--|---|
quetotg ou e rneet ot ueit	--|--|-⌫--⌫-⌫--||-⌫-|---|
granzestlifais qu ecilauera	----|--|-|---|--⌫|--|----|
s ei la cureen p rendra	-⌫-|-|---|-|-⌫-----|
quar cesache z	---|-|-----⌫|
t otueire ment	-⌫-|-----⌫---|
sicumdexfutempora um ent	-|--|--|-|-------⌫--⌫--|
entres es se inz	----|-⌫-|--⌫--|
en se mentestli maist re	--⌫--⌫---|--|-|-----⌫-|
mol tlecouientestrepredome	---⌫|-|------|----|------|
qui e stapostoiled erom e	--|-⌫-|--------|-⌫|---⌫|
nosquin omsde legatauomes	--|--|-⌫--|-|----|-----|
oulue deapos tr esomes	-|--|-|----⌫--⌫|----|
ilfurent e	-|-----||
au t re si	--⌫-⌫--⌫-|
somesnoslega z	----|--|----⌫|
isi cumdex fulit ressime s	--|--|--|-|-|-⌫-------⌫|
siestlapostoilesme ismes	-|--||---------|--⌫----|
de sur no sestaposé	--⌫--|--⌫|--|-----|
luede damed e	--|-|-----⌫|
or uosp ritoz euos req uier	-|--|-⌫-|--||--|---⌫---|
queu os maidezadeu	--|-⌫-||----||--|
fai sons ieunee oreison	---⌫---|----||------|
e seionsenaffliccion	|-----|-|---------|
quedesporsapiedoucor	--|--|--|-|--|-----|
nostramet eitielpastor	--|------⌫|----|-----|
quesonluepoissemaintenir	--|--|--|-----|--------|
e se i tdignesdel i	|--⌫-⌫|-----|-|-⌫|
quant atozo t e nsipar lé	----||--|-⌫|-⌫--|---⌫--|
moltuolent i ersl ontcraa nté	---|------⌫-⌫--||--|----⌫---|
ieuneren te	--------⌫||
deuprie rent	--|----⌫---|
emolthu mlementlireq ui erent	|---|--⌫------|-|---⌫--⌫----|
que ildemonstr an celu r	--|-|--------⌫--⌫-|--⌫|
q uidig n es se it d	-⌫-|---⌫-⌫-|--⌫-||
au ersagrac e	--⌫-|-|----⌫|
u niorqu ant almost ieroroent	-⌫|--|--⌫--|-|----⌫--|-----|
edoc eme nt deu apeloe nt	|---⌫---⌫-|--|------⌫-|
un angel e dexlurenue ia	-|-----⌫|--|--|----⌫-|
l ur distenonca	-⌫-|---||----|
edis td es	|---⌫|-⌫-|
ue u auos tre bonefei	--⌫||---⌫--|---|--|
quaren uees tostquerre	---|--⌫---|---|-----|
useit pa r	|---|--⌫|
meroseit par terre	--||---|--|----|
unpe neant sansdemo rer	-|--⌫----|---|----⌫--|
en unr ochelde m er	-|-|-⌫----|-|-⌫-|
ecil apeleom g regoire	|-||----|-|-⌫------|
quecil seit apostoile	--|--|---|--------|
ans ia esté	--|||----|
tant d istepui ssen estalé	---|-⌫--||---⌫||-|--|---|
tres tuit co muneme ntloierent	----⌫---|--⌫------⌫-||------|
a dame d eugraces	|----⌫-⌫-|-----|
eneslep asapareilerent	-------⌫-|-----------|
partotlemont	--|--|-|---|
cerchent equierent	-------||-------|
truesqua uniorsi	------||-|--|-|
cumdeu plot	--|--|---|
qui dreiteueie les me not	--|-----|---|--|--⌫--|
quito t eiororentalé	--|--⌫-⌫|--|----|---|
trau aillé elassé	----⌫-----||-----|
quenuizl espri st	--|---|-⌫-|---⌫-|
e nu nriuage	-⌫|-⌫|-----|
m estieraueientdelharberiage	-⌫-----|------|--|---------|
nep oeientmaisont rouer	-|-⌫-----|-----|-⌫----|
oil poussent osteler	|-|-------|------|
tant ont par tot	---|--|---⌫--|
par fin ont troué	---⌫--|--|-----|
lebo r del a un	-|--⌫-⌫--||-|
pes cheo r	---⌫----⌫|
pe tiz est eitedemalt or	--⌫--|---⌫--||-|--|-⌫-|
peinededenz	----|-----|
icelenuit siostelerent	----|---|||---------|
alpesc heor que ieuosdis	-|----⌫---|--|-|--|--|
qui otgrego ire	--|-|-----⌫--|
elro cher mis	-|--⌫---|--|
quantilse furen therbergé	----|-|-|-----⌫|--------|
porsoperonta pareilé	--|----|--|-⌫-------|
lip escherres ensa mai so n	-|-⌫--------|-|-|---⌫--⌫|
otmoltgrantplentedepeiss on	-|---|----|-----|-|-----⌫-|
que ilaueit	--|-|----|
peché le ior	-----|-|--|
choisirlurroua del mei lor	------|--|---|--|---⌫--|
cilonteslittotleplus	--|--|----|--|-|---|
e legreignoralurmange r	|-|-------||--|-----⌫|
prie ntquelour ist	----⌫-|--||---⌫--|
e cild euolente lefist	|--|-⌫|------|-|---|
ioiosesteitc esachezbi en	----|-----|-⌫|-----|--⌫-|
entrea u zostesneperdreitrien	---|--⌫-⌫|----|-|-------|---|
le peiss onour epu is a	-|-----⌫-|---⌫|--⌫-||
deden z lentraille	-----⌫||--------|
la clefd esferge s	-|---|-⌫-|-----⌫|
qu il geta	-|-|---|
elfonzde merla	-|---|-|--|-|
