f ormchdouai01 20Sacent	-⌫--|---------⌫-|-----|
dite pooté lidiza bbesetlicouue nzni	---|-----|-|--|-⌫---|-|-|-----⌫-|||
pen rront neant	---⌫----|----|
etuu el e t outr oyquil puiss et traire	-|--⌫-|-⌫|----⌫-|-|-|-----⌫-|-----|
freinchement la d itemoiti éet reciuoirle compe des	-----------|-|-⌫--|-----⌫-|-|-------|-|----|--|
gaan naorsou	----⌫----|-|
amo eseneràundemes h onmesdeBuxeres et	---⌫-----|-|-|-|--|-⌫----|-|------|-|
quantli diz a bb esetli conuen ztrairontouf eront	----|-|--|-⌫--⌫-|-|-|------⌫|-------|-|-⌫----|
tra ire ladauan tdite moty e ́ie etmui	---⌫--|-|-----⌫|---|----⌫-⌫|-|-|--|
hoirlo r d euons prest ermaysonsuffisant	---|--⌫|-⌫----|-----⌫-|-----|--------|
en lauile de Buxeres p or let rai re .	-|-|---|-|------|-⌫-|-|-⌫---⌫-||
Apréscum li dauantdiz abbes	-----|--|-|-----|--|----|
et licouuenzaientetdoient au oirlauenepa sture	-|-|------|----|-|-----|--⌫--|-|---|--⌫----|
p ortotesmenieres debiautes	-⌫-|----|-------|-|------|
menues entotelapootéde Buxerespa r le	-----|-|---|-|-----|-|------|--⌫|-|
damaigerendantsenz	------|------|---|
encusonetsenzpaiier	------|-|---|-----|
ame ndeiedoenetuue letoutroipar	---⌫--|-|---|-|---⌫|-|-----|--|
lelox etpar le conssentementdel ad iteMarguerite	-|--|-|--|-|------------|-|-⌫|-⌫--|---------|
mafenmeque	-|----|--|
lipas toretli	-|---⌫--|-|-|
conuersàlabbéetaucouuen taient	------|-||----|-|-|------⌫|----|
à -toziorzmai s lorusaigeentoz	-||--|---|---⌫|--|-----|-|--|
lesb oisde	--|-⌫--|-|
ladite pootéeten	-|---|-----|-|-|
tot es meniere sde	---⌫-|-------⌫|-|
boi sporparguesetporbordefairesu ffisant	---⌫|--|------|-|--|----|----|--⌫------|
por lorp ators	--|--|-⌫----|
et porlorbiaut es	-|--|--|-----⌫-|
et por ardoir etportotesa u tresaiisancesdespas tors	-|--|-----|-|--|----|-⌫-⌫---|--------|--|---⌫---|
et d esbiautesqui seront	-|-⌫-|------|--|-----|
ou dit l uifors	-|--|-⌫-|---|
leboçdeual Mo rig né	-|---|-|--|--⌫---⌫--|
où ilnepenrrontmes -	--|-|-|-------|--||
queleboç g esant tantcumieetm uihoi r	--|-|---|-⌫----|---|--|-|-|-⌫-|---⌫|
le tienrrons en	-|--------|-|
bancetquanti l-sera des bann iz il-i	---|-|----|-⌫||---|---⌫----⌫-|-|||
- pourront use r	|-------|---⌫|
cume sautres.	--|-⌫|-----||
E t totesc eschosesdauantdit espromot	-⌫|----|-⌫-|-----|-----|---⌫-|-----|
iep orm oie t por	-|-⌫-|-⌫-|-⌫|--|
meshoirsà -tenir	--|----|-||----|
-garder en-	|-----|-||
bonefoietqueienen iraiencontrepar	---|--|-|--|-|--|---|-------|--|
moi neparau t rune	--|-|--|--⌫-⌫-|-|
sufferraiquau t resi	--------|-|--⌫-⌫--||
Etpromotparma foi	-|-----|--|-|--|
f iancieesdizabbéetau	-⌫-----|-|--|----|-|-|
couuentporter garantiedetotes ceschosesdauantdit e s	------|-----|-------|-|----|--|-----|-----|---⌫-⌫|
eniuge m en tetforsiugementuerstotesge nz	-|----⌫-⌫--⌫|-|---|-------|---|----|--⌫-|
et espicialmentcontrele si gnordou	-|-----------|-----|-|--⌫---|--|
Ets il auenoitqueli	-||-|------|--|-|
fié trob lestou trauail lestles diz abbéet	---|----⌫---|-|-------⌫---|--|--|----|-|
lecouuent sui sla ditemoitie ́d estierces	-|------|---⌫|-|---|------⌫|-⌫-|------|
d imesou qu il la	-⌫---|-|-|-|-|
sasissestieet mui hoir	--------|-|-|--|---|
quit enr rontChauuirés umes tenud oudeliur er	--|-⌫---⌫---|--------|-⌫---|---|-⌫-|------⌫-|
etdefaireq uit er	-|-|----|-⌫---⌫-|
àlabbé etaucouuent	-||----|-|-|------|
desuis nomm ezdedanz	-----|----⌫-|-----|
d ou smo is	-⌫--⌫|--⌫-|
apr és larequate	---⌫--|-|------|
moitiédesuisditeetseieou lid it	------|-----|---|-|-|-|-|-|-⌫-|
hoi rnepouie nsce	---⌫|-|-----⌫-|-|
fa ireieuue l etoutroiquelia bbes	--⌫--|-|---⌫|-|-----|--|-|-⌫---|
etlico uuenz preignentquit em e ntet	-|-|--⌫----|--------|----⌫--⌫-⌫-|-|
f rainchement lesdauant dites aumorne sesdiz dime s	-⌫----------|--|-----|----|-------⌫|-|--|----⌫|
deChauuiréet d eGr enant etqueie	-|--------|-|-⌫|--⌫----|-|--|-|
et muihoirlorsoiins tenu	-|--|---|--|-----|---|
de paiier les	-|-----|--|
dite saumorneses	----⌫|-------|-|
diz dimeset derendrelesdamaigeset les	--|----|-|-|-----|--|-------|-|--|
d espens qu elidizabbes etli couuenzferoient ou	-⌫-----|--⌫|-|--|----|-|-|------|-------|-|
auroientaprés lesdauant dizd ousmoisporenchié	-------|-----|--|-----|--|-⌫--|---|--|------|
chosesseie oumuihoirne	-----|-|-|-|--|---|-|
l orpoiens garantirdesquex damaigesetdespens	-⌫-|-----|-------|--|---|-------|-|------|
l abbesdeBiau Luiseroitcraüzparsonsairement	|----|-|---|--|-----|-----|--|--|--------|
senzautre pruou e.	---|----|-----⌫||
Etcou mentq uela chosea ill e lesdauant	-|---⌫---|-⌫-|-|----|-⌫---⌫|--|-----|
d itesp atures etliusa ig edesbos si	-⌫---|-⌫-----|-|-|---⌫--⌫|--|--|-|
cu m ils unt de suisdeu isé	--⌫|-|-⌫--|--⌫---|---⌫---|
doiuentdemorerp armaignablementà - l abbéet	------|------|-⌫--------------|-|||----|-|
aucouu entdesuisnonmez.	-|----⌫--|-----|-----||
E t medeuiés deladitemoitié	-⌫|-|------|-|-|---|------|
destierces	--|------|
et d esdimes	-|-⌫-|----|
e tles diz abbéetle couuentenreuiéspar	-⌫|--|--|----|-|-|------|-|------|--|
c es lettres .	-⌫-|------||
Et renon çoisence faitàtote	-|-----⌫----|-|-|---|-|---|
aiidedecanonetdeloisa ̀t otestaub liss ementà	----|-|----|-|-|---|-⌫|-⌫-|------⌫----⌫----|-|
totecotumeà tot priuiligeetà	---|-----|-|--|--------|-|-|
tote gr aceet	---|--⌫--|-|
àtoteautrerai sonqui	-|---|----|---⌫--|--|
mepourroitaiidier	-|-------|------|
poru enir encontreceschoseset	--|-⌫---|-------|--|-----|-|
esdizabbe ́e taucouuentnuere.	-|--|----⌫|-⌫|-|------|----||
En tesmoignaige des q uex	-|-----------|--|-⌫--|
cho se siehaimi smon seelences presanteslettres	---⌫--⌫|-|--|--⌫|--|---|-|--|--------|------|
seel l ereli giousho nme	---|-⌫|----⌫----|--⌫--|
labbédeFauerné	|----|-|-------|
queg ihai priéà motre.	--|||--|----|-|----||
Et iedauant	-|-|-----|
diteMargueritequitote s	---|---------|--|----⌫|
c eschosesloetoutroi	-⌫-|-----|-|-|-----|
etp romot par ma	-|-⌫----|--|-|
f oifi anciequi nen -	-⌫-|--⌫----|--|--||
irai encontreporraison	---|-------|--|-----|
dedou aireneporau t r era is onquexquale	-|---⌫---|-|--|--⌫-⌫-⌫|--⌫--⌫-|---|-|--|
soit po rce	---|--⌫|-|
nai proprese el hai priéled auantd it	|-|-----|--⌫-|--|----|-|-⌫----|-⌫-|
re ligioushonme quilmote por	--⌫------|----|-|-|---|--|
moisonsee lences	--|--|---⌫|-|--|
presantesl et tres.	--------|-⌫--⌫---||
Etnosf reresCaulesdauant diz	-|--|-⌫----|-----|-----|--|
abbes d eF auernéàla	----|-⌫|-⌫------|-|-|
prier eet à-larequatedoudauantdit	-----⌫|-|-||-|------|--|-----|--|
signordeChauuiré	-----|-|--------|
etde dameMa rgueritesa	-|-|---|--⌫-------|-|
fenme au ons	----|--⌫--|
mis no tres eelencesp resanteslettresen	--|--⌫--|-⌫--|-|--|-⌫-------|------|-|
t esmoignaiged e t otesleschosesdes uis	-⌫----------|-⌫|-⌫---|--|-----|---⌫--|
Cefui faite nl	-|--|---|-⌫||
LXX.// oumoi sd	--|--|-|---⌫||
ChHM 275In nominePatriset	----⌫--|-|-----|-----|-|
SpiritusSa n ctiamen .	-------|--⌫-⌫--|---||
I eGuillaum es deM auo illéch eualiersdeuaudrimont	-⌫|--------⌫-|-|-⌫---⌫----|--⌫-------|-|---------|
etmad a me L uqu emafe me	-|-|-⌫-⌫-|-⌫---⌫|-|--⌫-|
po r lous alut	--⌫|--|-⌫---|
etporl ouprofitdenosame s	-|--|-⌫-|-----|-|--|---⌫|
lai ssons etotroio nsan pr o pe	---⌫----|-|------⌫-|-|--⌫-⌫-|
san té etan	---⌫--|-|-|
b one uolan té Premiere mantasfreresdou	-⌫--|-----⌫--|--------⌫---|-|-----|--|
ual d esEscoliers.	--|-⌫-|--------||
moiteonsdef romant p erpetuemantpornosanni uersa ires à	-------|-|-⌫-----|-⌫----------|--|--|----⌫-----⌫---|-|
ra ndre leiorde la	--⌫---|-|--|-|-|
q uex R icharzou sioi rsunttenuà	-⌫--|-⌫-----|-|-|--⌫|---|---|-|
randrea ̀ ceda uan	-----|-⌫|-|--⌫--|
ditioret suntassigneisuslauigne	--|--|-|---|-------|--|-|----|
dou ualotdeBa rbeinualquie stseloncla uigneSe bilo te	--|----|-|--⌫-------|--|-⌫-|-----|-|----|--⌫----⌫-|
etsus l aterrequiest	-|--|-⌫|----|--|--|
desozetsus	----|-|--|
lesaubres etsus laterre darriersC h a snoic	--|-----|-|--|-|----|-------|-⌫-⌫-⌫---||
onditlEss ar tBernartet sus lan cingeda rri ers	-|--||---⌫--⌫|------|-|--||--⌫----|--⌫---⌫--|
Chasnoidel ezLiebodel.	------|---⌫-|-------||
Etau freresd o u Tanple	-|-|-----|-⌫-⌫|-----|
a nCorgebuin .	-⌫|--------||
m eteonsdef roman tchac unanp ornoa nniuersa ires	-⌫-----|-|-⌫-----⌫|----⌫-|-|-⌫-|-|-⌫--------⌫---|
à laSei nt Re milesque z Iehanz li	-|-|---⌫-|--⌫-|--|---⌫|-----|-|
fizBertranetMa rie	--|------|-|--⌫--|
sa feme etloroirsun t	-|---|-|--|--|---⌫|
tenuàrandrech a cunan	---|-|-----|--⌫-⌫--|-|
laS eint Remi	-|-⌫---|---|
ass eneisus.	---⌫---|--||
pieced et e rr eanOrse inualdelez Wgie r etsus	----|-⌫|-⌫-⌫--⌫|-|----⌫----|----|----⌫|-|--|
lo upréquipart àLorantqu ilontd e	--⌫|---|--|---|-|-----|-|-|--|-⌫|
m onsei gnor Guillaume quisiet presdou parie r	-⌫-|---⌫---|--------|--|---|---|--|-----⌫|
monsignorIoifroypar deça etsus un ior nel	--|-----|------|--|----|-|--|-|---⌫--|
au B rueldelezuuillaume.	-|-⌫---|----|--------||
Aucurie ́de uaudrimo nt.	-|-----⌫|-|--------⌫-||
meteonsperpetuemantà	------|-----------|-|
laSeintRemi les quex Bertranzou	-|----|---|--|---|-------|-|
si oir d oie ntrandreà	-|--|-⌫---⌫-|-----|-|
ceditioretsun ta ssen ei	-|--|--|-|---⌫|-⌫----⌫-|
iorn e x deterre	----⌫-⌫|-|----|
Barbeinualselon monsignor Guilla ume	---------|----|--|-----|------⌫--|
etsusleualdeMeriual etsusso nu alot	-|--|-|--|-|------|-|--|--⌫|-⌫---|
douchampC oillart .	--|----|-⌫------||
muide uin por	--|-|--|--|
chante rm e ssestoiorz et	------⌫|-⌫-⌫---|-----|-|
àpanre anla uignedeGruo t .	-|----|-|-|----|-|----⌫||
meteon s de fromantdesquexHumbelozli	------⌫|-|------|--|---|-------|-|
Rouiers ou sioir doit	------|-|-|--|---|
randretoiorza u	-----|-----|-⌫|
- dauan -dit term e	|----||--|----⌫|
sussoniornel à laRuelleetM arguarite	--|--|-----|-|-|-----|-|-⌫--------|
l afemeIehanRag uin.	-⌫|---|----|---⌫--||
meteon sousioir	------⌫|-|-|--|
sus te rr equeleaa u -Marchex	--|--⌫--⌫|-|--||-⌫||------|
ualdesozDe ffoisetsussaterredesozle	--|----|--⌫----|-|--|-|----|----|-|
costé de Chasnoy et	-----|-|------|-|
sussacheneuierequi sietdarr ierslamaison	--|-|---------|--|---|----⌫---|-|-----|
M a rielE sg aree etsuss aui gnede	-⌫-⌫--||-⌫--⌫---|-|--|-⌫|--⌫--|-|
Faillonu al qui fuceleMariee t Bert ranz ou si	--------⌫-|--|-|---|----|-⌫|----⌫---|-|-|
oir demi met eo ns uscesta ssen emant et	--|---|---⌫--⌫|-⌫-|---|-⌫----⌫----|-|
meteo nsetdou d emi no s uolon sq ue il	-----⌫-|-|--|-⌫--|--⌫|-----⌫|-⌫-|-|
nando ient	|-|--⌫---|
cuneamande.	|--|-----||
Asfreres deMormant	-|-----|-|------|
meteonschascunana ̀ laSei ntRemi	------|------|-|-⌫|-|---⌫-|---|
Lietozrandr edeus meteonssussa	-----|-----⌫|---|------|--|-|
terre qui sietauMoli nel ou sioir et	----|--|---|-|----⌫--|-|-|--|-|
sussaterrequ	--|-|----|-|
il a anlaLo u iereet sus	-||-|-|--⌫-⌫---|-|--|
iornelquila	-----|-|-||
an laRuelle	-|-|-----|
etHarioz liPe letiers	-|-----|-|--⌫------|
meteon etsi	-----|-|-|
uniornelquilaà-la	-|-----|-|-||-||-|
- FontenelleselonP arisonl ou fil	|---------|----|-⌫-----|-⌫-|--|
L iegenot.	-⌫------||
Aus f reresdeBia ur oilezBar .	--|-⌫----|-|---⌫--⌫-|--|--||
meteons àrandre audauandi ttermedesquexTiebaudés	------|-|-----|-|-------⌫|----|--|---|---------|
etsio ira n doientrand re unmeteon s us un	-|-|-⌫-|-⌫|-----|----⌫-|-|-----|-⌫-|-|
iorneldarrierslesiardinsdelez	-----|-------|--|------|----|
l a t erre quifu mon si gnorAnseriet	-⌫|-⌫---|--|-|--|--⌫---|-----|-|
Iobelésetsi oir un meteon sus.	-------|-|-|--|-|-----|--||
Ro sselsel on laterrequifu PinceHastee t	--⌫---|---⌫-|-|----|--|-|----|----|-⌫|
Hu mbeléslifizBo illotunmoiteon	--⌫------|-|--|--⌫----|-|------|
ior nelqu i siet an	---⌫--|--⌫|---|-|
Betonual selonla ter reH um belotle	-------|----|-|---⌫-|-⌫--⌫----|-|
Rou i e r etsussa	---⌫-⌫-⌫|-|--|-|
cheneuierequis iet delezla Ioueno t	---------|--|-⌫--|----|-|------⌫|
etsus sa plante qu iparta ̀	-|--|-|-----|--⌫|---|-⌫|
Bleinchart a n Meriu al et susl e qua rtdune	---------|-⌫|-----⌫-|-|--|-⌫|---⌫-||--|
forre requi l	-----⌫-|-|-⌫|
aanOrsei nu alquipar tà	|-|-----⌫--⌫-|--|---⌫|-|
mon signor Guillaum e uautierl i fizH umbert	--|-----|--------⌫|------|-⌫|--|-⌫-----|
oirunmoiteon	--|-|------|
iorne lqui si e ta n Betonual qui cont orne sus la terre	-----⌫|--|--⌫-⌫|-⌫|-------|--|----⌫---|--|-|----|
LorantCommart .	-----|------||
Au priousdeSaixefont einne.	-|-----|-|---------⌫----||
mo iteonsdauoinesustexpartiescom nosauons	--⌫-----||-----|--|--|------|--|--|----|
aust ier cesdeSaixefonteinneà ran drechacunandedanzle	--|-⌫---⌫--|-|-------------|-|---⌫--|-----|-|-----|-|
Aupre uoire de Maruoi llé.	-|---⌫----|-|------⌫---||
d e to rnoischacu nanàlaSeintRemisur	-⌫|--⌫----|-----⌫|-|-|-|----|---|--|
quan qu enosau onsàMauoillé.	----⌫--⌫|--|--⌫--|-|--------||
Aupre uoi rede Lonchampetau [pre] uoirede	-|---⌫---⌫-|-|-------|-|-|-----⌫----|-|
Malanuilleet aupreuoire	---------|-|-|-------|
deS iref onteinnechasc un.	-|-⌫----⌫-------|-----⌫-||
chacunan àlaSeint	-----|-|-|-|----|
Remi siles panr ontàArrenepontau	---|-|--|----⌫--|-|---------|-|
Baufle ouàsesoirs	-----|-|-|--|---|
Aupreuoire d	-|-------||
AupreuoiredO rges.	-|-------||-⌫---||
Etliprestes dAissé	-|-|------||-----|
pa nra ses.	--⌫--|--||
annos censesde ua udr imont .	-|--|-----|-|--⌫---⌫----||
Aupreuoi redeSeint Martin	-|------⌫-|-|----|-----|
preuoi redAutr euille.	------⌫-||----⌫-----||
Au pr euoi re deMonterie.	-|--⌫----⌫-|-|-------||
d .//lesquexdenie rs Humbelés et	|--|--|---|-----⌫-|--------|-|
Bleincharzoulo r	---------|-|--⌫|
oi rdoientrandreà la	--⌫|-----|-----|-|-|
SeintMartinanyuer susunior nel qui	----|-----|-|---|--|-|---⌫--|--|
siet anBetonual delezlaterreMarti n	---|-|-------|----|-|----|-----⌫|
lef il Iaquot.	-|-⌫-|-----||
Aupreu oiredeGil lancort .xii.	-|----⌫---|-|---⌫------|----|
d.//sespanraà - uaudrimont	|--|--|----|-||---------|
susles oi rsHumbelot	--|--|--⌫-|-------|
leFornier.	-|------||
À Clereuaus.	-|--------||
liures d et ornoiset ma	-----|-⌫|-⌫-----|-|-|
litetmonp ale f roi et	--|-|--|-⌫---⌫-⌫--|-|
l e harnois	-⌫|------|
te lco m ielaurai	--⌫|--⌫|-||----|
dem ondecé s.	-|-⌫-|-----⌫||
Etaumal adesdel	-|-|---⌫---|-||
an fermerie.	--⌫-------||
m oiteonsd e	-⌫------|-⌫|
fr om ant.	--⌫--⌫--||
Eta u portierdeleanz.	-|-⌫|------|-|----||
moit e ons d efromantpor les	----⌫-⌫--|-⌫|------|--|--|
pou res t re spassanz.	---⌫--|-⌫--⌫-------||
Et aus fillesdeB ar.	-|--|-----|-|-⌫-||
moiteons defromant.	-------|-|------||
Et aucouantde	-|-|-----|-|
SeintNicholasde	----|-------|-|
moiteon s de	-------⌫|-|
Et auprio lé dela Fert é	-|-|----⌫--|-|-|----⌫-|
moiteo nsdefr o mant	------⌫-|-|--⌫-⌫---|
perpetuemant.	-----------||
Àlue u reNostreDame	-||--⌫-⌫-|-----|---|
d eCh asteluilei n	-⌫|--⌫----------⌫|
moiteo ns de fromant .	------⌫-|-|------||
Auf reresde	-|-⌫----|-|
la Geneur oie	-|------⌫--|
m o ite onsde fromant	-⌫-⌫---⌫--|-|------|
À l oste ldeMormant un setier defr omant	-||----⌫|-|------|-|-----|-|--⌫----|
li tporles poures an-	--⌫|--|--|-----|-||
tel meniere	--|------|
q ue liliz	-⌫-|-|--|
deplumedemorraà-l osteletlesdras	-|----|------|-|||----|-|--|---|
dou litauec.	--|--|---||
E tausf reresdeSeint Ias que de L a ngres	-⌫|--|-⌫----|-|----|---⌫--|-|-⌫-⌫----|
mu is deuin.	--⌫-|-|--||
Etau pr euoiredeuaudrimont	-|-|--⌫-----|-|---------|
s exa nte s.	-⌫---⌫--|||
por monl ai s .	--|--|-⌫--⌫||
l u eured oumostier.	|-⌫---|-⌫-|------||
libresde t orn oisselan	-----|-|-⌫---⌫--|-||-|
autelseintIaq ue et	----|----|---⌫-|-|
app aroillecomme porchante rm esseetselanne	---⌫------|----|--|------⌫|-⌫---|-|-||-|-|
lefa isoitilniauroit qu e .	-|--⌫----|-|||-----|--⌫||
Etdonons etot roions	-|-----|-|--⌫-----|
une lampequ iardrad auantlautelse int	--|----|--⌫|----|-⌫----||----|--⌫--|
Iaque àtoiorzet	----|-|-----|-|
se li autexn estoitsit ost faiz e lle ardroit	-|-|----||-----|-|-⌫--|---|-⌫--|------|
dau ant Nostr eDameiusque li autex	---⌫--|-----⌫|---|-----|-|----|
se roitfaiz	--⌫---|---|
et quantlan	-|----||-|
i c hanter a	|-⌫------⌫|
on lamerr adauan tseintIaqueetnos	-|-|----⌫|-----⌫|----|----|-|--|
asseno n s cesteaum osne susno strech ampdel a	------⌫-⌫|----|---⌫---|--|--⌫---|--⌫--|-|-⌫|
Fontenelle.	---------||
Etie messi reGuillaumes	-|-|--|--⌫-|---------|
uuele totroiq uelouior de	---|-⌫|----|-⌫-|--|--|-|
m asepostureoulandemeinc ondo i nt a ̀-	-⌫|--------|-||-------||-|--⌫-⌫-|-⌫||
mangier à.	------|-||
pre uoiresetau de part quechascu nsai t.	---⌫-----|-|-|--⌫---|--|------⌫-|--⌫||
ilnepuent tuit ch anteran cesteuille que	-|-|----|---|--⌫----|-|----|----|--|
c hacu ns f ace monseruisea n	-⌫----⌫-|-⌫--|--|------|-⌫|
sa par oche	-|---⌫---|
dia cres ques odi acresc ha scun.	---⌫---|--|-⌫---⌫----|-⌫--⌫---||
por lir esautierspo rmoi.	--|---⌫|-------|--⌫|--||
Etse u uele totroi quelan	-|-|-⌫--|-⌫|----|--||-|
doine à-mangierà.	----|-||------|-||
mesiaux e taprésman gier	------|-⌫|-----|---⌫---|
d./ / et sil ni	|--⌫|-||-|||
-atantdem esiauxco n	||---|-|-⌫-----||-⌫|
preinned esmesaiaisiez .	------|-⌫-|----------||
E t quel anfacelepaind e .	-⌫|--||-|---|-|---|-⌫||
moiteonsd e	-------|-⌫|
fromantcondoigneà-poures gen zqua nt	------||-|-----|-||-----|---⌫|---⌫-|
il sera plusgranzmestier s de danzl	-|---|---|----|-------⌫|--⌫---||
to zmesfaizde quoiie	--⌫|------|-|---|-|
nesuiremambranz iedoin s.	-|--|---------|-|----⌫||
li ures à-poures	--⌫---|-||-----|
gentisho mes porro b esache ter	-----|--⌫--|--|--⌫-⌫-|----⌫--|
oùilseraplusgranzmes tiersa ̀- l	--|-|---|---|----|---⌫----|-⌫|||
antrédeliueret .	-----|-||---|-||
àunelanpeaidier a ̀	-|--|----|-----|-⌫|
soigner a ̀ Seint	------|-⌫|----|
Ni cholas dAisanuill e.	--⌫-----||---------⌫||
Et an - a présnosuolonset otroi onsque	-|-||-⌫----|--|-----|-|-----⌫--|--|
tuitcilàcuinos auon slai ssiéces fromanz por	---|--|-|--|--|----⌫|---⌫----|--|------|--|
nosan niuersairesqueilo uau tre	--|--⌫----------|--|-|-⌫|--⌫--|
p oraus soient àreceuoirdeces blexdauandiz	-⌫-|--|-----|-|-------|-|--|---|----|--|
auior queilestdeuiséetque	-|--|--|-|--|------|-|--|
preinnent etreçoiuenta nnos	--------|-|---------|-⌫|--|
censes c om	-----||-|
nos i doit.	--||---||
Etcilquid oiuentcestda uant	-|--|--|-⌫-----|---|--⌫---|
-ditfr omantille	|--|--⌫----|-|-|
paie rontà ces	----⌫---|-|--|
tan tcom ilest	---⌫|--|-|--|
de uiséetnonpas	--⌫----|-|--|--|
E tsei lauenoitchosequeci lq uidoientces	-⌫|-|-⌫|------|----|--|--⌫|-⌫-|-----|--|
censesd efromanzetdedenie rsdefaussissient de paiem ant	-----|-⌫|------|-|-|-----⌫-|-------------|-|-----⌫--|
au - ditiordela S eint Remia ̀	-||--|--|-|-|-⌫---|---|-⌫|
ceausàc uiceste aumosneest fai tequilpuissent	----|-|-⌫-|----|------|--|---⌫-|-|-|-------|
ausibieng uagie r	---|---|-⌫-----⌫|
desa man deet deschatexausicom ie messire	--|-⌫---⌫-|-|--|-----|---|--|-|--|---|
Guill aum esfeisseseie fu sse an ma pr ope santé	-----⌫---⌫-|-----|-|-|--⌫--|-|-|--⌫--|-----|
san midefaillist.	|-|-|---------||
Etsil aueno it queieG uillaumesnal a sseoutreme r	-||-|-----⌫-|--|-|-⌫--------||--⌫-⌫--|-------⌫|
ie doinse t	-|----|-⌫|
detornois condanroita ̀ .	-|------||-|------|-⌫||
pouure gentil homequif eroitle	-----|-----|---|--|-⌫----|-|
pel erinaige pormoiporacheter une	---⌫-------|--|--|--|------|--|
armeurefustcheualiersfus t escui ers	------|---|---------|---⌫|-----⌫--|
Et sidoinget	-|-|----|-|
otroià- l Ospital	----|-|||------|
deIh e rusalem.	-|--⌫-⌫------||
met eonsdefroman tà-toiorzsil epanra	---⌫---|-|------⌫|-||-----|-|-⌫|----|
licommandemanzdEscurric h ascun	-|-----------||------|-⌫-⌫----|
uaud rimont surnos cens es àla-	----⌫-----|--|--|----⌫-|-|-||
SeintR emi .	----|-⌫--||
etLuquemafemedeuisonsces	-|----|-|---|-------|--|
nos anniue rs aire s etpor	--|------⌫--⌫----⌫|-|--|
no saumo sn esetsimeton setaco mpeing no ns	--⌫|----⌫--⌫-|-|-|-----⌫|-|---⌫------⌫--⌫-|
Margueritela femeIehan nostrefil.	---------|-|---|----|-----|--||
Etsifaisonsà sauoir queIehanz	-|-|------|-|-----|--|-----|
n efuonquesp artiz denosetque seil	-⌫|-|-----|-⌫----|-|--|-|--|-|-|
sefus tpar tizdenos ilanportast la moitie ́de	-|---⌫|---⌫--|-|--|-|--------|-|------⌫|-|
m oblesetdes	-⌫----|-|--|
ac aizquisontfa itdesqueil	--⌫--|--|---|--⌫-|--|--|-|
prissafeme	---|-|---|
mesilneuue tmie lapartieainzu uetque	--|-|-|---⌫|--|-|-----|---|-⌫--|--|
fa cie ns tot es nos uolantez.	--⌫---⌫-|---⌫-|--|-------||
E tsirequer o nsp or Deu	-⌫|-|------⌫-⌫-|-⌫-|--|
quetantos t qu e l ianniuersaire serontreceuchascunan c	--|------⌫|--⌫|-⌫|-----------|-----|----|------|-||
onfacenostre	-|---|-----|
seruisededan zle	------|-----⌫|-|
tierzioraprés .	----|--|-----||
Etsi faisonsàs auoirqueaprésnostredece ́s que	-|-|------|-|-⌫----|--|-----|-----|----⌫-|--|
tot ela remenance seraàI ehan nostrefil s anz	---⌫|-|--------|---|-|-⌫---|-----|--|-⌫--|
autr econtred itetsanzpartiedes esserors.	----⌫|-------⌫-|-|---|-----|-|-⌫-|-----||
Guillaumesuuelqueseiemui rdauan tma	---------|---|--|-|-|---⌫|-----⌫|-|
feme totesceschosesserient depa rties sanz cont redit	---|----|--|-----|------|----⌫----|---|----⌫----|
ets em afememoroitdauant moi	-|-⌫|-⌫|---|-----|-----|--|
elles ne serie ntdeparties quelamoitié.	----|-|-----⌫-|--------|--|-|------||
Etdeces choses no sf aisons	-|-|--|-----|--⌫|-⌫-----|
executors douprio us dou - u aldes	--------|--|----⌫-|--||-⌫-|--|
Escolierse t	--------|-⌫|
doupriousdeBiauroi.	--|-----|-|------||
Outi em o igna igedelaquel chose	-|--⌫--⌫-⌫----⌫--|-|-|---|----|
ie dauandizGuillaumes	-|-------|---------|
etEstienes cure zde uaudrimontauonsmisnos seaux	-|-------|----⌫|-|---------|----|--|--|----|
àcesteexecuci on .	-|----|-------⌫-||
C hMa00 1 Ie/.	-⌫-----⌫|-|||
Huesc h atelainsdeuitreifa zsa uoi ràceusqu i	---|-⌫-⌫-------|-|-----|--⌫|--⌫---⌫|-|---|--⌫|
sunteàceusqu i	---||-|---|--⌫|
sunt à auenir	---|-|-----|
quices lettresuerrunt queie pa r	--|--|------|------|--|-|--⌫|
l a_s an temantdelanobledame Aalait	|---⌫--⌫-----|-|-|----|---|-----|
mafameetpar	-|---|-|--|
le lausdemesanf anzcheualiers	-|---|-|--|---⌫--|---------|
aidenépuremantporDeu	-|----|-------|--|--|
an alm one	-|---⌫--|
par menable auc hap elain e	---⌫------|-|-⌫---⌫----||
aspouresmaladeseas confrer es delaMaisonde	-|-----|------||-|-------⌫-|-|-|-----|-|
la- Mer lam oitiéd	-||--|-|-⌫-----||
unboisq ue i	-|---|-⌫-||
sozMella uquelanapel eue Marinp ré /	--|-----⌫|--||-|----⌫--|------⌫--||
boi sdiçoit commune renom ee quil -i	---⌫|------|------|-----⌫-|-|-|||
-pooi tauoir / .	|----⌫|----|||
a rpanz.//.	-⌫----|---|
/Ce stealmo n e lo rfisie	|--⌫--|----⌫-⌫|--⌫|--|-|
paritel c ondicionqueil po rl	--|---|-⌫-------|--|-|--⌫||
au ancemant delaMa ison	--⌫-------|-|-|--⌫---|
le boisafruiteroient	-|---|------------|
Et porceq ueceste	-|--|-|-⌫-|----|
