Acesteestoiredi reme	|----|------|--⌫-|-|
Carpuisqu e	--|---|--⌫|
uingentre gentpaiennie	---|----|---|-------|
Ne fui.uii .io rz sanzma broineuesti e	-|--|----⌫|--⌫-|---|-|-----|-----⌫|
Mespar lapostre quelenrequ iert	--|--||------|--||-|----⌫---|
S eges toieorearri ersenNormendie	-⌫||--⌫---|--|----⌫--|-|--------|
Ia en Espangnenauroie mene ntie	-|-|-------||-----|----⌫---|
NedeN e r bo nena uroi e seignorie	-|-|-⌫-⌫-⌫--⌫-||-⌫----⌫|--------|
Donezlaautrecarge ne	----|-|----|--|-|-|
laquier mie	-|----|--|
Demaufeusoit	-|--|--|---|
Li enperere tint moltle	-|-------|---|---|-|
chief en c li n	----|--⌫-⌫--⌫|
Porces .iii . contes	--|--|----⌫|-----|
quisisont de fierlin	--|-|---|-|---|--|
Qui s erefussent N erbone	--|-⌫|--------|-⌫-----|
tot en fin	--|-|--|
Ilenapel eHoelde	-|-|----⌫|---|-|
Costenti n	--------⌫|
Hautc heualieretcont pala tin	---|-⌫-------|-|---|----⌫--|
uenez auan t gen tisc uensd efranclin	----|----⌫|---⌫--|-⌫---|-⌫|----|--|
T enezNe rboneet	-⌫---|--⌫----|-|
Au osser ontmilcheua lierenclin	|-⌫-|---⌫--|--|-----⌫---|-----|
Ia s e Deupl est qui de	-|-⌫|--|--⌫--|--|-|
l euefis tuin	|--|---⌫|--|
Ne l aurontmespaienneSarrazin	-||-----|--|----|-|-------|
Qan t cil l antant	---⌫|--||-----|
sil irespontenclin	-|-⌫|------|-----|
Droiz enpererefoiquedoisaintMa rtin	----|-------|--|--|--|----|--⌫---|
IaNerbonoisnenaurontauoisin	-|--------|-||-----||-----|
po rtem onhaubercdoblentin	--⌫--|-⌫-|------|--------|
Etco uchietartet leueparmatin	-|--⌫----|---|-|---|--|----|
tai nt pardesozmonh ermin	---⌫-|--|----|--|-⌫----|
Or m e roffrezNerboneet sontrain	-|-⌫|------|------|-|--|----|
Q ueencort ienent.xx .mileS ar razin	-⌫-|----|-⌫-----|---⌫|---|-⌫--⌫----|
Qui neuos doutentuaillis ant.i.	--|-|--|------|-------⌫--|--|
Quimedonroit totletresor Pepin	--|-|------|--|-|-----|----|
Netandro ieNe rbon e	-|------⌫-|--⌫----⌫|
Ch arlesli	--⌫----|-|
roi sfuengrant	---⌫|-|-|----|
Qan ts ilifaillent	---⌫|-⌫|-|-------|
siconteetsi	-|----|-|-|
Ilen apeleGirar t deR osi llon	-|-|----|-----⌫|-|-⌫---⌫---|
uenezauan tdistli roisge n t is	----|----⌫|---|-|---|--⌫-⌫-⌫-|
Tenez Ne rbon e ie uo s	----|--⌫----⌫|-|--⌫|
Dem oi tendroizcesteterreenu iron	-|-⌫-|-------|----|----|---⌫---|
Qa ntcillantant si bessale	--⌫-|--||-----|-|----|-|
P uisli respon tb elementsanztancon	-⌫--|-|------⌫|-⌫------|---|-----|
Droiz enperereuo sparlez	----|-------|--⌫|-----|
Bienaun anetplus	---||-|-|-|---|
bien lesauo n	---|-|----⌫|
Que nosuenimese nce ste region	--|--|------|-⌫|--⌫--|-----|
Puis neiui	---|-|--|
guierese nsale ne n mes on	------|-⌫|---||-⌫|---⌫-|
Forsparces c han sdedanz monpaueillon	---|--|--|-⌫---⌫|-----|--|--------|
Toz iorz ues tu mon hau bercfremil lon	--|---|---⌫-|--|---⌫---|------⌫--|
Parchautpar	--|----|--|
fr oit e tento tesesson	--⌫--|-⌫|-|--⌫-|-----|
uosa lseruia	--|-⌫|----||
co i tedespe ro n	--⌫-⌫-||----⌫--⌫|
Lacharenai tainte comme	-|---|-|-|-----|----|
Or merof frez N erbone et	-|-|---⌫---|-⌫-----|-|
Queenco rtienent .xx.mil paien felon	--|----⌫|------|---|--|----|----|
Quine uosdoutentlamonted	--|-|--|------|-|----||
Aa utre fetesdeNerbonele do n	|-⌫---|----|-|------|-|--⌫|
remandroieportotlor	---------|--|--||-|
As sezaiaillors te rre	--⌫--|-|------|--⌫--|
Ir iez fuChar le s	--⌫--|-|----⌫--⌫|
al afie re personne	|-⌫|---⌫-|-------|
Qanttuitrefusse nt laci tede Nerbone	---|---|-------⌫-|-|--⌫-|-|------|
Leduc Huedonapres enareson ne	-|--|-----|----|-|------⌫-|
uenez au ant sire du s	----|--⌫--|---|--⌫|
de Borgongne	-|--------|
S ireceu ez	-⌫|-----⌫-|
la ci t e de	-|--⌫-⌫|-|
Sire fetil	---|--|-|
ia ne lam abandone	-|-|-||-------|
Ne maimepasqui de	-||---|--|--|-|
ce mare sonne	-||---⌫----|
Iaiteleterre qui moltestbele	|-|---|----|--|---|--|---|
Sim e fetguerre	-|-⌫|--|-----|
.i.cuensdou treSeonne	--|----||--⌫--|-----|
Ia apassedemat erre la bone	-||----|-|-|-⌫---|-|---|
Plusmat ol uque neuaut Ter asconne	---|||-⌫--⌫|--|-|---|---⌫------|
men uindrent ier matindeuant	|-|-------|--|----|-----|
Or men iraicele	-||-|---|---|
partsanzessone	---|---|-----|
S acqui teraimesmarches	|-----⌫----|--|------|
EnCharlemainen en otqu eai rier	-|----------|-⌫-|-|--⌫|--⌫---|
Qantsi l ifaillentsibaron	---|-|-⌫|-------|-|----|
cheualie r	--------⌫|
IlenapeledeDanemarc he Ogier	-|-|----|-|--------⌫-|----|
ue n ezauant distC harlesauu isfi er	--⌫-⌫-|----|---|-⌫-----|-|-⌫-|--⌫-|
Te nezNerboneuosla uei l	--⌫--|------|--|-|---⌫|
puis mieuza nului enploier	---|----||----|-------|
Demoiauroizl a terr ea	-|--|-----|-⌫|----⌫||
io stissier	--⌫-------|
Qan t ci l l	---⌫|--⌫||
antantl e sanscui d echangier	-----|-⌫|---|---⌫-⌫|-------|
Si re fet il mie neuos	--⌫-|--|-|--|-|--|
e nq u ier	-⌫|-⌫-⌫--|
Ass ez ait err eienela	---⌫-|-|-⌫---⌫|-|-|-|
ueil changier	---|-------|
Traueilliezsu isimeueilaessier	----------|--⌫|-|-|---|------|
E n Da nemarche	-⌫|--⌫-------|
segipuisrepe rier	-|||---|----⌫---|
Ia de N erbone	-|-|-⌫-----|
ne mequierench argier	-|-|----|----⌫-----|
Don e zlaautr eacuielea it mestier	---⌫-⌫|-|----⌫||--|--|-⌫-|------|
Car ge n ipuisentendre	--|-|||---|-------|
Molt fu lirois	---|-|-|---|
co r rociezetpansis	--⌫-⌫-----|-|-----|
Qan t deN erboneli	---⌫|-|-⌫-----|-|
estc hascuns e schis	--|-⌫------|-⌫----|
apeleSalem onl ema rch is	----|-----⌫-|-⌫|--⌫---⌫-|
uenez au antfr ansch eualiersgentis	----|--⌫--|--⌫--|--⌫-------|-----|
T enez Nerbo ne etlepales uo tis	-⌫---|-----⌫-|-|-|----|--⌫--|
Demoitandroizla	-|--|-------|-|
Qantcil l antan t sienbroncheleui s	---|--||-----⌫|-|--------|-|--⌫|
P uislires p ontcomhommautal antis	-⌫--|-|---⌫-⌫--|--|--|------⌫----|
Dro izenpe rereparle	---⌫-|----⌫---|--|-|
Ceneseraiusqu aui or	-|-|---|----|-|-⌫-|
Quecidemeureen	--|-|------|-|
Nerbone entrepri s	------|--------⌫|
iraiarrier en	---|-----|-|
Sen remenraimes	|-|-------|--|
cheualiersdepris	---------|-|---|
peti t menestceuospleuis	----⌫||-|--|-|--|-----|
Cepoisemoide	-|----|--|-|
ceus quisont o cis	---|--|---|-⌫--|
Lesamesde us	--|---||-⌫-|
soie nten para dis	----⌫-|-|----⌫--|
Car recourern espuis cemest auis	--|-------|-⌫-|---|-||--|---|
Mesdunerienpo ezest reto zfis	--||--|---|--⌫-|---⌫-|--⌫|--|
Queia Nerbonenetendr ai. xu.di s	--|-|------|-|-----⌫-|-⌫--|--⌫|
Donezla autreenpereregentis	----|-|----|-------|-----|
C ariane ser amoie	-⌫-|-|-|---⌫|---|
Plainsfu li roisd emolt f ier	-----|-|-|---|-⌫|---|-⌫--|
mautalan t	--------⌫|
Q an tsili	-⌫--⌫|-|-|
faille nts ih om epluspuisant	------⌫-|-⌫|-⌫--⌫|---|------|
Il e n ape leG ondebuef lAlemant	-|-⌫|---⌫-|-⌫-------||------|
uenezauan t franc ch eual i er	----|----⌫|----|--⌫----⌫-⌫-|
Tenez Ner bone receuezen leg ant	----|---⌫---|------|-|-|-⌫--|
Qantcill oinotdech an ter	---|--||-||-|-|--⌫--⌫--|
I l lire spo nthautemente n oiant	-⌫|-|--⌫---⌫-|--------|-⌫|----|
Dr oiz enperereme ru eille ditesgra nt	--⌫--|-------|--⌫--⌫----|----|---⌫-|
Plus adunan pa r le mien escient	---|||-|-|--⌫|-|---|------|
ne fameneenfant	-|---|-|-----|
Delretornersui forme ntdesirant	--|-------|--|-----⌫-|-------|
CarenEspangne	--|-|-------|
aiso fertp oi neg rant	-|--⌫---|-⌫--⌫-|-⌫---|
N emepuis m esaid i e rne tant	-⌫|-|---|-⌫-|---⌫-⌫-⌫|-|---|
De tozm eshomesnaipa s	-|--|-⌫-|----||-|--⌫|
d eremen ant	-⌫|-----⌫--|
L atiercep artsen	-⌫|-----|-⌫--||-|
aile cuerdolant	-|-|---|-----|
Tozle sontmorz Sarrazi n et Persan t	--|--⌫|--|---|-------⌫|-|------⌫|
enremengpalefroinauferra nt	-|-----|-------||-------⌫-|
Quitu it nesoie nt las seet	--|--⌫-|-|----⌫-|---⌫-|-|
re cre ant	--⌫---⌫--|
Or malezciNe rb onepr esantant	-||---|-|--⌫--⌫--|--⌫-------|
enc oren aue zuaillant .i.g ant	---⌫--||---⌫|-------|--|-⌫--|
Mes parlapostr e	--|--||------⌫|
q uequierent penean t	-⌫-|-------|------⌫|
Ia nel aurainul	-|-||----|--|
iord em o nuiuant	--|-⌫|-⌫-⌫|-----|
Donezlaautre	----|-|----|
aumaufelaconment	-|----|-|------|
tote q uit e	---|-⌫---⌫|
Auan tuenezdusN aim es de Baiuiere	----⌫|----|--|-⌫---⌫-|-|-------|
Dis t l enp erereal ahardie chiere	---⌫||---⌫----||-⌫|-----|-----|
A u be songmestuostreenseng neprem iere	-⌫|--⌫---||--|-----|------⌫-|----⌫---|
Lauostreaide doi ge	-|-----|---|--|-|
auoir moltchiere	----|---|-----|
Onques u ersmoine f ustesior	-----|-⌫--|--|-|-⌫----|--|
bois i ere	----⌫-⌫--|
Tenez Nerb one e ttote la costiere	----|----⌫--|-⌫|---|-|-------|
T otelacitetla gr anttorpleniere	-⌫--|-|--|-|-|--⌫--|--|-------|
Tandroizdemoi d eci aPor te	-------|-|--|-⌫|-||---⌫-|
Iase Deupl e stcelegent	-|-|--|--⌫-⌫-|---|---|
Nenta ndrontmesuai llisant	|-|--⌫-----|--|---⌫------|
un e osie re	--⌫|----⌫-|
antantsi dist	-----|-|---|
parolefier e	-----|----⌫|
Droizen pererenemenfete sproiere	----|--⌫-----|-||-|----⌫|------|
Rale rmenueil en monpaisarriere	----⌫||-|---|-|--|---|------|
delregnedeBaiu iere	--|----|-|----⌫---|
Neiuiun mo issanzmabroine	-|--|-|--⌫-|---|-|-----|
Lespeecei nteetlacie	|----|---⌫--|-|----|
la coif iere	-|----⌫---|
Morteestm agent	----|--|-⌫|---|
que i auoie molt chiere	--||----|---|-----|
.c.ho me scauoieama	--|--⌫--⌫||----||-|
N enaipas.c.qui nesoient en	|-|-|--|--|--|-|-----|-|
Tozlesontmor zcelegen t	--|--|--|---⌫|---|---⌫|
pa utoniere	--⌫-------|
Ormofrezc icestecitepleniere	-||----|-⌫|----|---|-------|
Mes bienuos dique en nulemaniere	--|---|--|-|--|-|---|------|
Nelaprandraipornu l	-|-|-------|--|--⌫|
enr equiere	-|-⌫------|
Don ez laautrecu ie lemie u zafier e	---⌫-|-|----|--⌫|-⌫-|---⌫-⌫|-----⌫|
Carian eser a moie	--|-|-⌫|---⌫|---|
uenezauantAns eisde	----|----|---⌫--|-|
TenezNerboneet lemestre mena ie	----|------|-|-|-----|----⌫-|
Ch eualiersestesesprouez dec or aie	--⌫-------|----|-------|-|-⌫--⌫--|
Sigarderoizlepor tetle riuaie	-|--------|-|---⌫|-|-|-----|
Queniariuentla pute	--|||------|-|---|
gentsauuaie	---|------|
Seu osasi ent	-|-⌫-|---⌫--|
li Sarrazina ufa ge	-|-------|-⌫---⌫-|
Qu iluosenfacentcontraire ne	-|-|--|-|-----|--------|-|
Simenuoiezquerrepar.i.mesaie	-||------|-----|--|--|-----|
Ia nelera ipo r ue nt nepor	-|-|----⌫|--⌫|--⌫-|-|--|
Ne uosse correamonr ichebarnaie	-|--|--⌫----||--|-⌫---|------|
a ntant a poud	-⌫----||--||
irenenrag e	--||-----⌫|
Dr oiz enperere ienen ai	--⌫--|-------|-||-|-|
n ulco rage	-⌫-|--⌫---|
Quegere me ngneenla	--|-|--⌫--⌫---|-|-|
terresau uaie	----|---⌫---|
Foiquedoi uosgefe roiefol aie	--|--|--|--|-|--⌫---|---⌫--|
Se guerpisoiemater re	-|---------|-|---⌫-|
Ou gene truisquimeface dom aie	-|-|-|----|--|-|---|---⌫--|
Biendiroitenc auroisel corsla	---|-----|-||-----|-|---|-|
SeanNerbone prenoiem o nestaie	-|-|------|------|-⌫-⌫|-----|
Ausins eroiecome liois iaus	----|-⌫----|---|-|---⌫---|
Mauditesoit late r re	------|---|-|--⌫-⌫-|
Nostreenpererese	-----|-------|-|
pr istadementer	--⌫--||-------|
Ets onne ueuRol lant a regre ter	-|-⌫-|--⌫--|---⌫---||-----⌫--|
Etse s baronsquetant	-|--⌫|-----|--|---|
sol oit amer	---⌫--|---|
Biausnie sdistCharlesco mmaruosui fin er	----|---⌫|---|------|--⌫|--|--|-|---⌫-|
Neporraimes telamirecour er	-|-----|--|--|--|------⌫-|
Nesaien cuime porrai m esfier	-|--|-|--|-|-----|-⌫-|---|
Acebesonglepuisb ien esprouer	|-|-----|-|---|-⌫--|-------|
Ainsidist Ch arlesouil	----|---|--⌫----|-|-|
Puisreconmence N erbonea presanter	---|---------|-⌫-----||--------|
Silaroffri aDoon	-|-|-----||---|
de ualcler	-|------|
Et aGira rtdeuiennelebe r	-||----⌫-|-|-----|-|--⌫|
Me s n i anulquile nuei lle	--⌫||||--|--||-⌫|---⌫--|
re doutentle spai ensdotremer	--⌫------|--⌫|---⌫--||------|
Dolant fuCharlesqant lor ot refusser	-----|-|------|---|--|-|-------|
Car n esetmes	--|-⌫|--|--|
cui ladoiedon e r	--|-|---|---⌫-⌫|
For s aHernau tq uim oltfeta	---⌫||------⌫|-⌫-|-⌫--|--||
Legenti lco nt e deBiaulande sormer	-|-----⌫|--⌫--⌫|-|--------|--|--|
Cel u i enpris t Char le sa	---⌫-⌫|-|----⌫|----⌫--⌫||
Sili offri	-|-|----|
Bi auss i reHern a usdistChar lesau uis	--⌫--|-⌫-⌫-|----⌫-⌫-|---|----⌫--|-|--|
PrenezNerboneieuos	-----|------|-|--|
enueilproier	-|---|-----|
couantcomuosmorroiznoncier	-----|--|--||-----|------|
S euosassaillent li paienauersier	-⌫|--|---------|-|----|-------|
Sec orraiuos omoimaintcheual ier	---⌫----|--||--|----|------⌫--|
Enno nDeusire	-|--⌫|--|---|
distHern autle	---|----⌫--|-|
guer ri er	----⌫--⌫-|
uieuz s ui etf reilles ne	----|-⌫-|-|-⌫------|-|
m e puisme s	-⌫|---|--⌫|
N eporterarmes	-⌫|-----|----|
nemo ntersor des trier	-|--⌫---|--|---⌫----|
D e menerguerrenaur oie mes m est ier	-⌫|----|-----||---⌫--|--|-⌫---⌫--|
Porcenenossig rantf esencharg ier	--|-|--|-|-|-⌫---|-⌫-|-------⌫--|
Carqui au raNer bone aiostis sier	--|--|--⌫-|---⌫---||------⌫---|
M ai ntfort assautetmai nt	-⌫--⌫-|---|-----|-|---⌫-|
estor plenier	----|------|
Licouendr amaintes foiz	-|-------⌫|------|---|
Aun danzel fortetiu enneetlegier	|-|-----|---|-|--⌫---|-|-----|
uosco uend roitlac iteabailli er	--|--⌫----⌫---|-|-⌫--||------⌫-|
Quibienpo istsofrir	--|---|--⌫--|-----|
le gu erroier	-|--⌫------|
E tlespai ensconfondre	-⌫|--|---⌫--|--------|
ete ssillier	-|-⌫-------|
les aufereta laci er	--|-|--|-|||---⌫-|
Tex hom s idoit Nerbon eiostissie r	--|--|-⌫|---|------⌫|---------⌫|
S ehomnela ia celer nel	-⌫|--|-|||-|----|--|
Quiso itpuisanset	--|--⌫-|------|-|
deling n aie fier	-|----⌫-⌫--|---|
Ia n e tandr al a te r re	-|-⌫|-----⌫|-⌫|--⌫-⌫-|
uoitCharles	---|------|
NeuellentestredeNerbone	-|------|----|-|------|
For me ntregre teRollan tsonch ier	---⌫--⌫-|-----⌫-|------⌫|--|--⌫--|
E tOl iu ier son c on pangnon hardi	-⌫|--⌫--⌫--|--|-⌫--⌫------|----|
EtlesbaronsqueGanelons	-|--|-----|--|-------|
Biausniesfist ilcilD e x q uine	----|---|---|-|--|-⌫-⌫|-⌫-|-|
Aitd e uo streameetpitieet	--|-⌫|--⌫---|--|-|----|-|
Et des ba rons	-|--|--⌫---|
quip orluis ontfeni	--|-⌫-|--|-⌫--|---|
Se fussiezui s tres bien lesaidefi	-|------|--⌫|---|---|-|--|-|-|
Neremeinsistmie	-|---------|--|
Nerbone ai nsi	------|--⌫--|
Puis quemortsont limien	---|--|---|---|-|---|
Crest ientena mes nul	-----⌫----|||--|--|
Mesparceluiqui	--|--|----|--|
deuirgenasqui	-|----|-----|
Ne partiraimesdecest siegeci	-|-------|--|-|---|----|-|
Tantcom paienenest e rontsessi	---|--|----|-|---⌫-⌫---|----|
Seignor baronuosqui	------|----|--|--|
m auezse rui	|---|--⌫--|
Ralezuos en deuertele	----|--|-|-|----|-|
En uospaisouuos	-|--|---|-|--|
fus tesno r ri	---⌫--|--⌫-⌫-|
ceD euqui onque snementi	-|-⌫-|--|-----⌫|-|----|
Puisqueieuo iqu etu itmeste s failli	---|--|-|--⌫|--⌫|--⌫-||----⌫|-----|
Quiqu esenaut	--|--⌫||-|--|
ieremendr aiici	-|-------⌫-|--|
SigarderaiNerb o ne	-|-------|----⌫-⌫-|
Sei gnorbaroncedist	---⌫---|----|-|---|
Char les l irois	----⌫--|-⌫|---|
Rale zuo sen BorguignonetFra ncois	----⌫|--⌫|-|---------|-|---⌫----|
Et H ennuierFlamencetAua lo is	-|-⌫------|------|-|---⌫--⌫-|
EtAngeuin Poiteu inetMan sois	-|------|------⌫-|-|---⌫---|
EtLoherain Bre tonetHerupoi s	-|-------|---⌫--|-|-------⌫|
C ildeBerri et tuitli Chanpenois	-⌫-|-|----|-|---|-|---------|
Necuidiezmiequeg eudieagabo is	-|------|--|--|-⌫-|--||----⌫-|
Ettrestozceus qui uodrontdemenois	-|------|---|--|------|-------|
e ntendrai.i.seu l d eso r	-⌫|------|--|---⌫|-⌫---⌫|
Que fo i que	--|--⌫|--|
d oisaintFremin dAminois	-⌫-|----|-----||------|
Ieremendr ai ici	-|-------⌫-|--|
enNe rbonois	-|--⌫------|
SigarderaiNerbone et le	-|-------|------|-|-|
Foiquedoiuos ainzi serai	--|--|--|--|---||----|
Quegenenaie	--|-||-|--|
lepalesmaginois	-|----|-------|
uendroiz el pais	-------|-|---|
d Orlenois	|-------|
E ndo uceFrance tot droitenLoonois	-⌫|--⌫--|-----|--|----|-|------|
S an uo sd emendeouest Ch arle s lirois	|-|--⌫|-⌫-----|-|--|--⌫----⌫|-|---|
Sire s ponezpor	-|--⌫-⌫----|--|
Deuseignor Francois	--|------|-------|
QuelelesastesausiegeaN erbono is	--|-|-------|-|----||-⌫------⌫-|
Mesiu gemen zten draicie tmeslois	--|--⌫-----⌫|---⌫---|-|-⌫|--|---|
f e rachosedeso rs onpois	-⌫-⌫-|----|----⌫|-⌫-|---|
A moi senuien gne ciclamerdemenois	|--||-|----⌫--|-|-----|-------|
Car ia aillors nelenserafez droiz	--|-|------|-||-|---|--|----|
Dexc eadi t Hernausde	--|-⌫||--⌫|------|-|
Biaula ndo is	------⌫---⌫-|
Comsuiiriez glori eussirerois	--|--|----|-----⌫--|---|---|
Dem o n seignor queuoien	-|-⌫-⌫|------|--|--|-|
texeffrois	--|------|
Onquesce croi ne fumes	-----|-|---|-|-|--|
sidestroiz	-|-------|
Moltsuihonnizse gede	---|--|-----|-|-|-|
S eneli f az sauo len t eaincois	-⌫|-|-|-⌫-|-|--⌫---⌫-⌫|------|
I aaige u nfil	-⌫|-|-|-⌫|--|
quipreuz estet	--|----|--|-|
Nouel ementaporte se sconrois	-----⌫----||----|--⌫|------|
pasen core.ii.anz et .i iii.mo is	--|--⌫---|---|--|-|--⌫---|--⌫-|
Q ueladouba Girarsde uiennois	-⌫-||-----|-----|-|-------|
Soruoloitprendr e	|-|-----|------⌫|
engard eNerbon o is	-|----⌫|------⌫-⌫-|
Bien por r oitdire Charle maine lirois	---|---⌫-⌫--|---|------⌫----|-|---|
Quil naur oitteldecien uermendois	-|-||---⌫--|--|-|-|-|---------|
Pormai ntenir ses marches	--|---⌫-----|--|------|
Deuant C har lon en estHernausuenuz	-----|-⌫---⌫--|-|--|------|----|
Silenapelecom	-||-|----|--|
ho maperc eu z	--⌫|-----⌫--⌫|
Droiz enperer en e soi ezesperduz	----|-------⌫|-⌫|---⌫-|-------|
Ned euez estrederien siir a sc u	-|-⌫---|----|-|---|-|--⌫-⌫--⌫|
Se cistdomai esu os estor e	-|---|-----⌫-|-⌫-|--|--⌫|
Deuoz baronsqu e uosauezperduz	-|--|-----|--⌫|--|---|-----|
Nestesporce nemorznerecreuz	|----|--|-|-|---|-|------|
Encoreest D ex plains	-----|--|-⌫-|-----|
demoltgra nzuertuz	-|---|---⌫-|-----|
Pa r cuiseroiz	--⌫|--|-----|
aidiezet se coru z	-----|-|--⌫----⌫|
Segene fussesiuieuz	-|-|-|----|-|----|
et sichen uz	-|-|----⌫-|
Parmoifust bien cist	--|--|---|---|---|
paismaintenuz	---|--------|
De uoseus setozlesfie z	-|--|---⌫-|--|--|---⌫|
Ialonguementnenfustliplezten uz	-|---------||-|---|-|---|---⌫-|
.i.fil qui fiersestetmenbruz	--|--|--|----|--|-|------|
Cheualiersesthardiz	---------|--|-----|
Sifet es tantqueil soit uostredruz	-|---⌫-|---|--|-|---|-----|---|
Ie croi enDeuq uiel cielfetuertuz	-|---|-|--|-⌫-|-|---|--|-----|
