telzco ustumance danferuient	---|--⌫--------||----|----|
bien peuz direamest oi t	---|---|---|||---⌫--⌫|
mesiacouuenirni estoit	--|-|-------|||-----|
dist thi ebert genecroiraimie	---|---⌫----|-|-|------|--|
renart c est	-----||--|
gr antf olie	--⌫--|-⌫---|
pl u sorontestém is a	--⌫-⌫--|--|----|-⌫-||
p ar leurouuraigeetparleurtort	-⌫-|---|-------|-|--|---|---|
etpluseursontehuscont rai re	-|-------|--|---|----⌫---⌫-|
par folou rquilorfasoit	--|-----⌫|--|--|-----|
sei ltre s biense gardis sien t	-|-⌫|---⌫|---|-|------⌫----⌫|
mort nec o ntraire	---|-|-⌫-⌫------|
neussie nt	|------⌫-|
roydefrancetesouuaigne	--|-|-----|-|--------|
quau intp orquoi	-|--⌫--|-⌫-|---|
airoier te	------|-|
q uichilperic fu	-⌫-|--------|-|
sesestazn e t ie rtpascelez	--|----|-⌫||--⌫-|--|----|
mesauan torras dontil uint	--|----⌫|----|---|-|---|
etpourcoiler oy aumet int	-|---|--|-|-⌫--⌫---|-⌫--|
do ntil ui nt	--⌫-|-|--⌫-|
or rastireatire	--⌫--|---||---|
conbi encunpo	-----⌫--|-|-|
imetea di re	|---||--⌫-|
con mant li	---⌫---|-|
royanfranc euin dren t	--|-|-----⌫|---⌫----⌫|
quelf inq ue lchief et quel loytindrent	---|-⌫-|-⌫--⌫|----|-|---|--|-------|
qu el furentetde que l	--⌫-|-----|-|-|---⌫|
me st i ers	--⌫--⌫-⌫--|
dou premier roysecontet tiers	--|------|--|-----|-|----|
etderoy anroymainta ndrai	-|-|--|-|--|------⌫----|
iusquacelchi lperic	----||--|---⌫-----|
don t il u indrentt e uodrailir e	---⌫|-|-⌫------|-⌫|-----|---⌫|
oranta n q ueg eteueuildire	-|----⌫|-⌫-|-⌫|-|----|---|
apre squefeudest ruite troye	----⌫---|--|----⌫----|----|
qu antene asse mist anuo ie	--⌫--|---⌫-|-|---|-|--⌫-|
ge n tassam blaet gent porquist	--⌫-⌫|-----⌫--|-|---|-------|
ded anslonbardiesemist	---⌫--|--------|-|---|
ounulleuilleancor n	-|----|----|----||
o u paisnab itoit	-⌫|---||--⌫----|
ch astiaxhabitationsfir ent	--⌫-----|----------|---⌫--|
ouleurs cors	-|----|---|
asauu ete mirent	|----⌫--|-----|
quantquerommefondee fust	-------|----|-----|---|
n e quen ulzrenomsdelifust	-⌫|--|-⌫--|-----|-|-|---|
unecitefir entsicambr e	--|---|---⌫--|-------⌫|
si co n lestoiremeremamb re	-|--⌫||------|-|------⌫-|
puisaprezfu rommebastie	---|----|-|----|-----|
q uifulichiesdelom bardi e	-⌫-|-|-|----|-|---⌫-----⌫|
apre z ce maintes	----⌫|-|------|
citezf iren t	----|-⌫----⌫|
anlombardieet	-|--------|-|
loisymirent	---||-----|
des ouzrommeanclin t o uzestoient	---⌫--|----|-----|-⌫-⌫-|-------|
etletrehuy tr ametoient	-|-|----||--⌫--------|
asaus qui souuerainen	|---|--|--------|-|
tantleur peuplemonteplierent	---|---|-----|------------|
etleurg eneracionti nt	-|---|-⌫--------|--⌫-|
iusqueautempsq ueua lantins ui nt	-----|-|----|-⌫-|--⌫------|--⌫-|
apreslecruc efiemant	----|-|----⌫-------|
enlantrois cenzsi ssante six	-||-|----|---|--⌫-----|--|
fu ycilz ualant ins assis	-|----|------⌫--|----|
cil z ualantin sli am perere	---⌫|--------⌫|-|--⌫-----|
an tr eprin t guerre mo ntan mere	--⌫--⌫-----⌫|-----|--⌫-|--⌫---|
au negent c ondist alai ns	|-⌫-|---||-|---|----⌫-|
mont ytraueillalesromains	---||--------|--|------|
mestraua uspoualueu st	--|-----⌫-|-|---|--⌫-|
seautresa ntier quisn eus t	-|----|--⌫----|---||---⌫|
mesilconsaiges	--|-|--|-----|
c estd une	|--||--|
uoiepourueh us	---|-------⌫-|
de ceulzqui si cam bre fonderent	-|----|--|--⌫---⌫--|--------|
gr ant peupleha biterent	--⌫--|-----|--⌫-------|
quidetro ye furentue nu	--|-|---⌫-|-----|--⌫-|
quiaus romai nsesto ien t tenu	--|--|-----⌫-|----⌫---⌫|---|
aunt rehucha cunanr ambre	|-|-⌫---|---⌫--|-|-⌫----|
por toutlepaisde sica mbre	--|---|-|---|-|----⌫---|
ualant i nspa rletresmandans	------⌫-⌫-|--⌫|-----|------|
lifusentaida ns	-|-----|----⌫-|
contrealainsetilquiteestoient	-----|-----|-|-|----|-------|
yyans d outrehu que d euoient	-|--|-⌫-|----|--|-⌫------|
yya ns quite se roient	-|-⌫-|----|--⌫-----|
sauecluiam bataillealoien t	|---|--|-|-------|------⌫|
quantcilla paro lean tandi re nt	----|--|-|----⌫-|--⌫-----⌫--⌫-|
decuer porcesecou rslifir ent	-|---|--|-|-----⌫-|-|---⌫--|
l ors furental ainsdes com fis	-⌫--|-----|--⌫---|---⌫---⌫--|
dechaciéetpri nsetoccis	--------|-|---⌫-|-|----|
celle gentzzse igneur	----|---|-|--⌫-----|
h a uthommefrancoislape l oient	-⌫-⌫-|----|-------||---⌫-⌫----|
francois ot	-------|-|
non asondroit non	--||--|----|--|
pour cege ntfranc oisoren t non	---|-|--⌫-|-----⌫--|----⌫|--|
cilz francoispartoutfranch isoi t	---|-------|--|---|------⌫----⌫|
marchisoit	---------|
forsf ucourageuse thardi z	---|-⌫|--------|-⌫|-----⌫|
pour leurs eigneurfransfu rent di z	---|---|-⌫------|----|--⌫---|--⌫|
que p orue rite	--|-⌫-|--⌫---|
fr ancestoient	--⌫--|-------|
pourceque touz sozeus	---|-|--|---|--|--|
dontoi e nt	------⌫-⌫-|
n enelui ne uoloientcr ie mbre	-⌫|----|-|-------|--⌫--⌫---|
mes trestout seurmarcher	--|-------|----------|
etcaim bre	-|----⌫--|
cil francquant	--|----|----|
celleuitoi re orent	----|-----⌫-|----|
et ilfrancdetrehusesorent	-|-|----|-|----|-|-----|
cuerprintrent conqueste ra lerent	---|--------|---------⌫|-⌫-----|
uerslad ynoe	---|-|-⌫---|
cheminer ent	--------⌫--|
ri nla terreprintrent	--⌫|-|----|--------|
etl a seigno ri epartout	-|-⌫|------⌫--⌫|--|---|
enleur f aiz sem onteplierent	-|---|-⌫--|-|-⌫-----------|
n oblesces sef ierent	-⌫-------|-|-⌫-----|
si quegr antterretenirporent	-|--|--⌫--|----|----|-----|
nedautr u i ten i r	-||----⌫-⌫|---⌫-⌫|
franc sedirentetfranccero n s	----|-|-----|-|----|----⌫-⌫|
iadessusnous seign eur	-|-----|---|-----⌫--|
nedeuons mieauoi rseigneur	-|-----|--|----⌫|-------|
car atrait sonme s delanne ur	--|-----|-----⌫|-||----⌫-|
desnoblesgensde s troyens	--|-----|---|--⌫|------|
d on tsireset roysfu prians	-⌫--⌫|----|-|---|-|-----|
qu ains dautruin edaigna teni r	-|---||-----|-⌫|-----|----⌫|
biend euon s	---|-⌫----⌫|
sanneurmainteni r	|-----|--------⌫|
c ellege nttuitpaienest oient	-⌫---|--⌫-|---|----|---⌫----|
pointcrestianteneteno ient	----|---------|-|----⌫---|
apresseconquistrentgaulin	----|-|-----------|-----|
quiest dit gau laanlatin	--|--|--|---⌫-|-|----|
por cefu cilzpais diz fr an s	--|-|-|---|---|--|--⌫--⌫|
au ec t out sefran cfu	--⌫-|-⌫--|-|----⌫|-|
sanuo drentdoucef ran cedire	|-|--⌫----|----|-⌫---⌫-|---|
ainsinc dou poetedit	------|--|----|--|
parco inousde gaulac he i	--|--⌫|---|-|----|-⌫--⌫|
et linonsd e	-|-|---|-⌫|
fr anceo tnon	--⌫---|-⌫|--|
ga ulea premiers	--⌫--||-------|
o ru o us arriers	-⌫|-⌫-⌫-|------|
qu anticil yy	--⌫--|---|-|
a ns paséfure nt	-⌫-|----|----⌫-|
qual e mpereu r leurtrehu	-|||-⌫------⌫|---|----|
sicondeuant ai	-|--|-----|-|
ans leur estoitquite	--|---|-----|----|
porl aide que fait lioren t	--||---|--|---|-|----⌫|
plusdetrehu	---|-|----|
p aier neuorent	-⌫---|-|-----|
ualantinsles	--------|--|
etseureusso ntreh u aquis	-|---|--|--⌫|----⌫||---|
c ildirent	-⌫-|-----|
quepoi ntnandeu oient	--|---⌫-||-|---⌫----|
sa n cache t é	--⌫-⌫|----⌫-⌫-|
iamesiourtrehu	----|---|----|
nede ur ont	-|--⌫--⌫--|
ancoislamort tu itreceuront	-----|-|---|--⌫-|--------|
al ampereur despit anprint	||-------|-----|-|----|
ost as sambl ezprint	--|--⌫-----⌫-|----|
ets ussicam b relemena	-|-⌫-|-----⌫-⌫-|-|---|
etmontdurementles pena	-|---|-------|--|---|
c il desica mbreyydux firent	-⌫-|-|----⌫---|-|--|-----|
ancuigardet restuit se m irent	-|--|----|-⌫------|-|-⌫----|
et parcuiserontesmeus	-|--|--|-----|-----|
liunsot nonmachomeus	-|--|-|--|--------|
liautresot nongenebaut	-|-----|-|--|-------|
lautre signo i m es	|----|-----⌫-⌫-⌫-|
saigeetbaut	----|-|---|
lorsd esicambresan	---|-⌫|-------||-|
i ssiren t	-⌫------⌫|
etan a lem aignesemirent	-|-|-⌫---⌫----|-|-----|
pordespitdeselaestoit	--|-----|-|-|-|-----|
trehu l eurdem andoit	----|-⌫--|---⌫-----|
assezprintrentuilleschastiax	----|--------|-----|-------|
enlad inoe grans et	-|-|-⌫---|----|-|
etpar susl erinsanale ren t	-|--|--|-⌫|--||-|---⌫---⌫|
parlepa isse	--|-|--⌫-|-|
hesb ergerent	----⌫-------|
caria si gr antplante estoient	--|-|-|--⌫--|-----|-------|
quenulle rienilnedo u toient	--|----|---|-|-|--⌫-⌫-----|
nenulzn esosoi tcont redire	-|---||-|----⌫|----⌫-----|
na nnul l emani eredespire	|-⌫|---⌫-⌫|----⌫--|------|
n onques ne lesp ot ualan tin	|-----|-|--|-⌫-|-----⌫--|
menerparguerre a nullefin	----|--|-----||----|--|
lors tuitliplusgrantsasanblerent	---|---|-|---|----||----------|
descheu al i ersquide ro me	--|----⌫--⌫-⌫--|--|-|--⌫-|
ef fo rsderomeprintren t	--⌫--⌫-|-|---|--------⌫|
et susicelz	-|--|----|
franco isanuindrent	------⌫-|-|-------|
e rac le s ettheodosiens	-⌫---⌫--⌫|-|----------|
quiestoientdes	--|-------|--|
plus anciens	---|------|
desplusgransdesplus s eurmontez	--|---|----|--|---|-⌫--------|
parc uituitautreest oientdontez	--|-⌫-|---|----|---⌫----|-----|
ya lerentagr ant	|-⌫-----||--⌫--|
etlesc uider entcha cierfors	-|--|-⌫-----⌫--|---⌫---|---|
montgranto ccision yorent	---|----|-⌫------||----|
mesonqueschacierne lesporent	--|-----|------|-|--|-----|
ancoisquiuss entgr anma ntsis	-------||---⌫--|--⌫----⌫-|--|
de s romainsyot	--⌫|------||-|
mainsoccis	----|----|
lape rde touteanuintsu s	-|--⌫--|----|-|---|--⌫|
p ou rcet ou rne renta nl eurleus	-⌫--⌫|-|-⌫--⌫---⌫---|-⌫|-⌫--|---|
tuitmatet tuit desconforté	---|--|-|---|-----------|
carle pio ur an	--|-|---⌫-|-|
ont porté	--|-----|
m ont fususrom ai ns	-⌫--|-|--|---⌫--⌫-|
gr ant morie	--⌫--|----|
lifranc ore ntla seignorie	-|----|---⌫-|-|--------|
lire nonsdausdura	-|--⌫---||--|---|
ne nu scontre	-|--⌫|-----|
eusnemurmura	--|-|------|
ne n u sne fu	-|-⌫-⌫|-|-|
sigransne fors	-|----|-|---|
quecontre eu smontrasteffors	--|-----|--⌫|-------|-----|
nequi contreeussosastbougier	-|--|-----|--||----|------|
me smiren t le s g ransan dongier	--⌫|-----⌫|--⌫|-⌫---|-|------|
mes cilgrantpaoran auoient	--|--|----|---|-|------|
qui desfran coispa rlerooient	--|--|----⌫---|--⌫---|-----|
siforsseilotguerre	-|---|-|-|-|-----|
quipeustson uoul oiraqu erre	--|----|--|----⌫--|---⌫---|
ne uange nceauoirnan sauoi t	-|-----⌫--|----||-|-----⌫|
separ lesfr ancois ne lauoit	-|--|--|--⌫-----|-||----|
hon n epouuoitsa terre	--|-⌫|------|-|----|
rec ou urerpar	---⌫--⌫---|--|
force deguerre	----|-|-----|
selifrancoisne l	-|-|-------|-||
ana idoien t	-|-⌫------⌫|
cestoientcilquiafinmetoient	|-------|--|--||--|-------|
to utesgu erres	--⌫---|--⌫----|
e ttoutde sroy	-⌫|---|--⌫---|
par con munconsoilfirentroy	--|---⌫--|------|-----|--|
q uifu d aus fara mo ntclam ez	-⌫-|-||--|----⌫--⌫-|----⌫-|
d austouz fu cheriz etanmez	|--|---|-|-----|-|----|
filzleducma c homen es fu	---|-|--|--⌫-⌫-----⌫-|-|
i cilztouzlip re miers roisfu	-⌫---|---|-|-⌫--⌫----|---|-|
laseignorie d auslidonnerent	-|--------||--|-|--------|
d esfran cois le nonm erent	-⌫-|----⌫---|-|----⌫----|
lipremie rsroisdefranceestoit	-|------⌫-|---|-|-----|-----|
morirestoit	----|-----|
pourlep erequ ilhonoreren t	---|-|-⌫--|-|-|---------⌫|
sonfi ls apr es luiqueron nerent	--|--⌫-|---⌫-|--|------⌫-----|
ontpointesleu	--|----|----|
roy c lodyo lecheu e lu	--|-⌫----|-|----⌫-⌫-|
cheuelusfu co n	-------|-|--⌫|
seeusttrece s	-|---|-----⌫|
cil zfudemon tfieres	---⌫|-|-|---⌫|-----|
etmai nte schos esantreprist	-|---⌫---⌫|----⌫-|---------|
cil z la cit ede	---⌫|-|---⌫|-|
quambraiprist	-------|----|
etl es r oma ins tou z en ch asa	-|-⌫-|-⌫---⌫--|---⌫|-|--⌫--|
etleurseignorie	-|---|--------|
iu squa l a	--⌫--||-⌫|
acr utsater reparsapoyne	---⌫-|-|---⌫-|--|-|----|
ap res qua ntclodiomor s	--⌫--|---⌫-|-----|---⌫|
daustouzu nsroi sesl eusfu	|--|---|-⌫-|---⌫|---⌫--|-|
q u iauoitan o n	-⌫-⌫|----||-⌫-⌫|
do u lign aige cl odioné	--⌫|----⌫---|--⌫---|--|
ancel tempsquiestanciens	-|--|----|--|--|------|
furentnommé meroniens	-----|-----|--------|
cilquior sedientfrancois	--|--|-|-|----|-------|
pour ceque me r onnefuroi s	---|-|--|--⌫-⌫---|-|---⌫|
q uantmeronnefudefeus	-⌫---|------|-|-----|
c hilpericfu rois esleus	-⌫-------|-|---|-----|
qui fufilzleroy	--|-|---|-|--|
celuif irent royquero nné	----|-⌫----|--|-----⌫---|
mesmauuesconmance ma ntpr it	--|-----|--------⌫--⌫-|--⌫-|
carmaintes damoiselles prit	--|------|----------|---|
a f or ce etle s ef forcoit	|-⌫--⌫-|-|--⌫|--⌫------|
p ucelles ra uissoit	-⌫------|--⌫------|
etpource fu	-|---|-|-|
sie ffaciez	-|-⌫------|
q ueilfu doroyaume	-⌫-|-|-|-|------|
car tu it li f urentmaluesin	--|--⌫-|-|-⌫----|--|----|
lorssanala a u	---||-|--|-⌫|
roy bissin	--|-----|
quide looraignerois	--|-|--------|---|
mainzpa i s sozli	----|--⌫-⌫|--|-|
s o uzmetoit	-⌫-⌫-------|
cilz roisagrantho nnor letint	---|---||----|--⌫---|-|---|
et t ant so nbo nuoloir m aintint	-|-⌫--|--⌫|--⌫|-----|-⌫------|
et tantde poineanu ostauoir	-|---|-|----|-|-⌫--|----|
potasfrancoi s paizauoir	--|-|-------⌫|---|----|
et quefr ancois	-|--|--⌫-----|
lerapelerent	-|---------|
et tozme ffaiz l i pardo nneren t	-|--|--⌫----|-⌫|-----⌫------⌫|
etilleur promis t estrea mis	-|-|---|------⌫|----|-⌫--|
bis sin eotsoncuermis	---⌫---⌫|-|--|---|--|
quifa me le	--|--⌫-|-|
roybissinestoit	--|-----|-----|
quecome samante ym etoit	--|---||-----||-⌫----|
ne uitpasala	-|--|--||-|
co urtoissie	--⌫--------|
quebissin li	--|-----|-|
otpou rchacie	-|---⌫------|
q uitoutesa pai zlirefist	-⌫-|----|-|---⌫|-|-----|
quan tsaf ame a lui	----⌫|-|-⌫--||--|
uen i rfist	---⌫-⌫|---|
et lespoussaa	-||-------||
granthonnour	----|------|
combienqueell e eust seign or	---------|---⌫|---|-----⌫-|
conmepaien bienle potfaire	----|----|---|-|--|----|
ci lzconquistorliens su sloire	--⌫-|-------|------|--⌫|----|
un conte rom a in anchassa	-|----|---⌫-⌫-|-|-----|
apresselamortlanchaussa	----|-|-|---||--------|
an son regne dans	-|--|----||--|
uint ettrois	---|-|----|
apresf usesfilzcloouis	----|-⌫|--|---|------|
de la roynebissineuint	-|-|----|------|---|
pou rc e looraine	---⌫|-⌫|-------|
plusfugra nsetplus	---|-|---⌫-|-|---|
detouzceul z qui orent este ́	-|---|----⌫|--|----|----⌫|
biaux sag es hardiz courageus	----|---⌫-|-----|--------|
debonsfaiz plai ns et	-|---|---|----⌫-|-|
de biaxgeus	-|---|---|
gra nt fi erteans on uis auoit	---⌫-|--⌫---|-|-⌫-|--|----|
toutehonnourettoutbiensauoit	----|------|-|---|---|-----|
lesmauuesetlesfoxdont o it	--|-----|-|--|--|----⌫-⌫-|
etles preudon mesamo ntoit	-|--|-------⌫--|---⌫----|
a touz mo ntroitbo n edoctrine	|---|--⌫-----|--⌫-⌫|-------|
a sontem psprint i lagripine	|--|---⌫-|----|-⌫|-------|
grantrenon	----|----|
qui orandroitcouloignea non	--|--------|--------||--|
ett r euesprint ilmeime mant	-|-⌫-⌫---|----|-|-----⌫---|
ueraizescr izne mant	-----|----⌫-|-|---|
quac eltemp srom ainsmain ten oient	-||-⌫-|----⌫|---⌫---|----⌫---⌫----|
detoutle ri nse i gneure stoient	-|---|-|--⌫|--⌫-⌫----|-⌫------|
fors tantque dec haci é anfurent	---|------|---⌫----⌫-|-|-----|
des francoisqui	--|-------|--|
deua ntestur ent	----⌫-|-----⌫--|
unsprinces alorslatenoi t	--|------|----|-|-----⌫|
quigi lle snommezanestoit	--|--⌫---⌫|-----|-|-----|
l iro ysclouisaceluitemps	-⌫|--⌫-|-----||----|----|
estoitmo n tf ort	-----|--⌫-⌫|-⌫--|
antremet ans	--------⌫--|
p arlu i etpar main t soudoie r	-⌫-|--⌫|-|--|----⌫|-------⌫|
desa inte ygliss eguerroier	-|--⌫---|------⌫|--------|
etsainte y glisse	-|-----|-⌫-----|
destruissoit	-----------|
etquanque il p o uoi tnuissoit	-|------|-|-⌫-⌫---⌫|-------|
n eriensnanestoitesmaians	-⌫|----||-|-----|-------|
po urcequ eil estoi t paie ns	--⌫-|-|--⌫|-|-----⌫|----⌫-|
paiensfusinel i chalo it	-----|-|-|-|-⌫|-----⌫-|
s esainte yg l isse sedoloit	-⌫|-----|--⌫-⌫---|-|-----|
de l i ncarnacion	-||-⌫---------|
celu iquisouffri	----⌫|--|------|
droit qu a tre cen z etquarante	----|--⌫-⌫--|---⌫|-|-------|
ot estéroyscloouisyyans	-|----|---|------|-|--|
lor sune tres	---⌫|--|---|
bonne pucele	----|-----|
qu idie ufua mie	--⌫|---⌫|-|-⌫--|
etanc ell e	-|---⌫---⌫|
fi l leauroy	--⌫-⌫-|-|--|
debregoigneesto it	-|--------|----⌫-|
a nceltempspointmeilleur nestoit	-⌫|--|----|----|-------||-----|
lapucellegoheutot non	-|------|-----|-|--|
o t andie ubon renon	-⌫|-|---⌫|--|----|
l auera iecreancean	-⌫|----⌫-|------|-|
lima inti nt	-|--⌫----⌫-|
an cest si egle setint	-|---|--⌫---|-|---|
ilconmepa iens larequist	-|----|--⌫---|-|------|
sag rant san teetso nbienquist	-|-⌫---|---⌫-|-|--⌫|---|----|
ca rilprintcelleoudieuxotpart	--⌫|-|----|----|-|----|-|---|
qu i p uisle	--⌫|-⌫--|-|
tourna asapart	-----||-|---|
pai e nsestoitqua ntlespousa	---⌫-⌫-|-----|---⌫-||------|
i lq uimai nthardementosa	-⌫|-⌫-|---⌫-|--------|--|
loorai g neprouan ceconquist	------⌫-⌫-|------⌫-|-------|
aur o yaumede france aquis t	-|-⌫-⌫----|-|-----|-----⌫|
dec o nquer irneq uistessoine	-|-⌫-⌫-----⌫-|-|-⌫---|------|
tout conq ues ta iusqu esa sayne	---|----⌫---⌫-|-----⌫-||----|
un sienme streauoit	-|---|--⌫---|----|
conseillier	----------|
quip o rgraceauoir uost ue illier	--|-⌫-⌫|----|----|---|--⌫-----|
sontem psmetrea honnor	--|---⌫-|----||-----|
ni regardagrantne m enour	||------|----|-|-⌫----|
m eleunprintetconquesta	-⌫----|----|-|--------|
et tresto uzles	-|------⌫-|--|
felonso sta	-----|-⌫--|
a n du c heele tintd e	-⌫|--⌫-⌫--|-|---|-⌫|
ancel temps queie uous deuis	-|--|----|--|-|---|----|
g oheustde cleouis	-⌫-----|-|------|
decors et deuis	-|---|-|-|--|
laroynelefist bautisie r	-|----|-|---|--------⌫|
mes roycl oouis	--|--|--⌫----|
neles ot mie	-|-|-⌫-|--|
cellequ iordonnasa	----|--⌫|------|-|
aantandre etapr eschier	|-------|-||--⌫------|
as onseigneurq uelleottan tchier	|-⌫-|-------|-⌫|---|-|---⌫|----|
quil rech eustla	-|-|----⌫---|-|
bau tesme recehust an foy	---⌫----|-------|-|--|
