mesireno bles	-|---|--⌫---|
ot moultgranttalentdemeng ier	-|----|----|-----|-|----⌫--|
leueconmanda ahuchier	|--|-------||------|
at ostaportee	|-⌫--|------|
sifilontlatab le posee	-|--|--|-|---⌫-|----|
renart menga moultuolentiers	-----|----|----|---------|
agra n tplenteotdedaintiez	|---⌫-⌫|-----|-|-|-------|
asse z menia et	----⌫|----|-|
enc orm etraenm alaise	---⌫-|-⌫---|-|-⌫-----|
monse igno r ysengrinle leu	--|--⌫----⌫|-------|-|--|
seilen puet	-|-|-|---|
uenirenleu	----|-|--|
ors egartbiendant ysengrin	-|-⌫|---|---|---|-------|
etr ooniauxettiecelin	-|-⌫------|-|-------|
brui ant lit ors ty bert le chat	----⌫--|-|-⌫--|--⌫---|-|---|
serenartsoto nques barat	-|-----|--|-⌫----|----|
il lorferaquequeilta rde	-|--|---|--|--|-|--⌫--|
tels autdontne seprandront	--|-⌫--|---|-|-|--------|
