enl enornostre	-||---|-----|
g r an tpiecee	-⌫-⌫--⌫|----||
suf fertles penes eles	---⌫---|--|----||--|
tra uuaus etuhientreras	---⌫----||-|-|-------|
damainenenferdonti e soiissuz e	-----|-|----|---|-⌫|--|----||
cellom eisme	--|-|-⌫----|
qu an tcoo itli morzsis	--⌫--⌫|-|-⌫-|-|---|-||
esuanui e li uiss esuellia qui	------||-|--||-------|--|
espaonteza umatins ico m enca	--------|-⌫|----|-⌫|--⌫-⌫---|
comenca aparler	------||-----|
autre e molt	----||---|
meruelleirent de	------------|-|
celauision e	---|-----||
lorssio irent sodamen t clamorsenl	---|-|-⌫----|-------⌫|------|-||
ae rsorlecha itifecil	--⌫|--|-|---⌫---||--|
crizre semblotb raizd e lions o	---|--⌫------|-⌫---|-⌫|----||
lopsodautre sbeste s	---|||-----⌫|-----⌫|
salu agiesmaintenant sifurabizli	----⌫----|---------|-|-|----|-|
c haiti s dentrala gente	-⌫-----⌫||----|-|---||
sile nportarent diable totulla nt	-||-⌫---------|-----|--|----⌫-|
paryy io rzpar	--|-|--⌫-|--|
le smonze par le s	--⌫|---||--|--⌫|
ualeesde gen tapie	-----|-|---⌫||--|
e degenta cheual	|-|---||-----|
porenttro u eren lafi nquantill	-----|---⌫-⌫-|-|-|--⌫|----|-||
orentquis par	----|---|--|
les des ersl os	--|---⌫--|-⌫-|
denauarresi q uetota	-|------|-|-⌫-|---|
p ary yio rssifu troue z	-⌫-|-⌫|--⌫-|-|-|-----⌫|
licors deuc haitif	-|---|--|-⌫-----|
tozdepecez	--|------|
rochemoltaute	----|---|---|
bientreslieuesdeuoieesorl a me r	---|---|-----|-|---||--|-⌫|--⌫|
estetcela rochel oncd ela	----|---|----|-⌫--|-⌫|-|
yyior neesi locauientdiable	-|---⌫---|-⌫--|-----|-----|
laisse ́ lecorsdelchaitif e	------⌫|-|---|--|------||
cu m ila uient l arme portea en enfer	--⌫|-|-⌫----||---|-----|-|----|
parcestuisachiant	--|-----|-------|
tuit cil q ui a	---|--|-⌫-||
tortretenentles	---|-------|--|
aumonesdesmors	------|--|---|
homlo r halaissees pard epartir	--|--⌫|-|-------|--|-⌫------|
qu ei len ou rontoutretal	--⌫|-⌫|-|--⌫---|-------|
loiercumcilo ce qu e nostr e	----|--|--|-⌫||--⌫|-----⌫|
uengiance cumilf itdecestu i	--------|--|-|-⌫-|-|-----⌫|
apr e scestamerueillekarlesligra nz	---⌫-⌫|----|--------|-----|-|---⌫-|
rei semilesl i duxob	---⌫||----|-⌫|--|-|
ozcome nceren ta	-|----⌫------⌫||
quere aigola nt	----|------⌫-|
esp aign eta nt que il	---⌫----⌫|--⌫-|--|-|
let r o u er ent	-|-⌫-⌫-⌫-⌫--⌫--|
en unate rraqui	-|--|--⌫--|--|
estapeleechains	--|-----|-----|
sorunaaigue	--|--|----|
logiéen molt	-----|-|---|
beauspreze enmolt deleitosloe	----|---||-|---|-------|-||
mo ltbeaupl ainlorsapres si	--⌫-|---|--⌫--|---|----|-|
fitkarlun amol tbel a ygli se	--|---|--⌫|---⌫|---⌫|----⌫-|
moltgra n tenlenordau gl orios	---|---⌫-⌫|-||---|--|--⌫----|
mart irsaint faguntesaintprimitif qui	----⌫-|----|-----||----|-------|--|
hiloc reposente siestablit	----|-------||-|-------|
li bons reis unaabaiede moi n esquant	-|---|---|--|----|-|---⌫-⌫-|----|
aiguolanzsocque li	--------|--|--|-|
karle ueneite que	----|-----||--|
il esteent bi en	-|------|--⌫-|
conbatrets iil uoleity ycheua lers	--------|-⌫|-|-----|-⌫|-----⌫---|
cont r ayy	----⌫-⌫|-|
yyo yy contre	-||-|-----|
cento milcontre	---||--|-----|
milozzcontre un o yy	--||-|-----|-||-|
c ontreyy karl p ristcent	-⌫----|-|---|-⌫---|---|
daussons contrelesyyaiguolant	---|---|-----|--|-|--------|
e sifurent ocisli sarrazin	|-|-----|---|-|-------|
lors r ep rist	---|-⌫--⌫---|
aiguolanzy ycontre	--------|-⌫|-----|
yyd aunozsifurent	-|-⌫-|--|-|-----|
oc is lisarrazinencora	--⌫-|-|-------|-----|
en reprist	-|------|
aiguol anzyymireco ntre	------⌫--|-|---|--⌫---|
do s miresienfu	--⌫|---|-|-|-|
ocisel une	----||--|
l autrapa rtie sisen	|----|--⌫---|-||-|
fuiauters ior sigitasonsort	--|-|---|--|-|---|--|---|
aiguo lans esi uit que	-----⌫---||-|--|--|
au eitgran tdamageen laba talies ili	--⌫--|----⌫|-----|-|-|--⌫----|-⌫|-|
ilse uendreit	-|-|-------|
lendemainconbatr e ot l uien planeire	|-------|-------⌫|-|-⌫-|-|-------|
batalieei l l otroche	------||-⌫||------|
eissilorsiotteus denoz	----|---||-|---|-|--|
crestiensquileserdeuant	--------|--|-|--|-----|
de labatailleapa relarentlor	-|-|-------|---⌫-------|--|
lorlancesfi c haren t	--|-----|--⌫-⌫-----⌫|
en terr ad eua nt l orarbergestotes	-|----⌫|-⌫---⌫-|-⌫-|-------|----|
dreites aumat in lestro uare nt	------|-|---⌫-|--|---⌫----⌫-|
t otesue rsplene s descors es e	-⌫---|--⌫-|-----⌫||------⌫-||
debranchesco fusignefiance	-|-------|-|-|----------|
qu e cilreceureentmarti r ep or	--⌫|--|---------|-----⌫-⌫|-⌫-|
nostreseignore ceauio r tuit	-----|------||---|--⌫|---|
s em eru elierentc il quicouirent	-⌫|-⌫---⌫-------|-⌫-|--|-|-----|
plusquelomneporoit	---|--|--|-|-----|
desigrant mi racle cum des	-|-|----|--⌫----|--|--|
demostréesifuescrizli	--------||-|-|-----|-|
miraclescilquitrenchere ntlor	-------|--|--|---------⌫-|--|
lancespresde	-----|---|-|
te rrale sracin es	--⌫--|--⌫|-----⌫-|
qui rem edrent si gi ta rentpuisgra nz	--|---⌫-----|-|--⌫--⌫---|---|---⌫-|
encora sunt	-----|---|
l aterramolthiaueitde	-⌫|----|---|-|----|-|
de fra i neil	-|---⌫-⌫-|-|
uindrentenla	-------|-|-|
b atailleesarrazin e cres tiensi oct	-⌫------||-------||----⌫---|-|--|
ocisdecrestiens yy mire	---|-|--------|-|---|
eli duxdemile lipeiresr ol lant	|-|--|-|---|-|-----|-⌫--⌫---|
re cut auec eaus ma rtyr eco	--⌫--|---|---|--⌫----⌫|-|
es t assauerobceuslescui	--⌫|-|----|-|---|--|--|
la nce sfl orirente	--⌫---⌫|--⌫------||
licheuauskarla	-|------|----|
desozluien	----|--|-|
celabataliekarlsecontinc	---|------|---|-|------|
se mist apieobyy	-|---||--|-|-|
miredeseshomes	---|-|--|----|
queplusn e	--|---|-⌫|
l enf uremese s eferit	|-|-⌫|----||-⌫|----|
entrales sarrazinsdont tant	----|--|--------|---|---|
niaueitquenus ne los	||----|--|--|-|--|
nu mb re r qu ilassalirent	--⌫--⌫--⌫|-|-|---------|
sagentde to tes parsei ltrait	-|---|-|--⌫--|---||-⌫|----|
espeee un sarrazinpar	----||-|-------|--|
lomielo qu a nt	-|----|--⌫-⌫-|
hoc ome ncaaues prer	-|-⌫---⌫--||---⌫---|
si seretraidrent	-|-|----------|
enlor ar bergieselisa rr azin	-|--|--⌫------||-|--⌫--⌫---|
elicrestienle ndemain	|-|-------||-⌫------|
u indrentenl	-⌫------|-||
aiekarle yyducsiuindrent	--|----|-|--|-|-------|
de ue rslombardieesi li amenar ent yy	--⌫--⌫-|--------||-|-|------⌫--|-|
mirech eualiers molt bonse	---|--⌫-------|---|---||
mo lt ardizequant	--⌫-|----||----|
aigol anzl es oc	-----⌫--|-⌫|-⌫-|
s i torn a enfuie eal a s en	-⌫|----⌫|-|---||--⌫||-|
en le mozin ekarls	-|--⌫----||---||
ord euomentendre	-|-⌫---|-------|
se nefient qui morirent enla	--⌫------|--|-------|-|-|
bataillesi cummelicheualierkarl qui	-------|-|----|-|--------|---|--|
se deuoentconbat r e	-|------|------⌫-⌫|
ap parell arent lo rar m es daua ntla	--⌫------⌫----|--⌫|--⌫-⌫-|----⌫-|-|
bat ailleautre si deuom n o s	---⌫----|-----⌫-|----|-⌫-⌫|
aparelliernosarmes coes tadire	---------|--|----|-|--⌫||---|
bonesuertuz	----|-----|
deuom auer	----|---|
c ontr elesuicescontrelestemptac ions	-⌫----⌫|--|----|-----|--|-------⌫---|
dela charnquic onq ues aura	-|-|----|----⌫---⌫--|---|
c ontr emau uaizehe resieo	-⌫----⌫|---⌫----|--⌫----||
cha riteco ntr e oc h arite	---⌫---|--⌫---⌫||-⌫-⌫----|
auarice e bone ore izon contrel a	------||---|---⌫---|-----|-⌫|
tem ptaciona lene mio p o uurete	---⌫------|||---⌫-||-⌫-⌫-----|
contre richeseep erseuerance con tre	-----|------||-⌫----------|---⌫--|
estabilite e qui setairacontre	---------||--|-|----|-----|
tes tenconsequimetra o bedience	--|------||--|----|-⌫-------|
con trecharnau delei t	---⌫--|------|-----⌫|
lasoaastasera fl orieesarma	-|--|---|---|--⌫---|||---|
seracoronea	---|------|
once lestia u	-|--⌫------⌫|
re gnecosera	--⌫--|-|---|
lo ngi amentcontre	--⌫---⌫----|-----|
l esuices e con tre	-⌫-|----||---⌫--|
leuo lerde lacharnenterra	-|--⌫--|-|-|----|-|----|
distli apostres nu shom	---|-|-------|--⌫|--|
coron ezne	-----⌫-|-|
leiaumentseconba trant	--------|-|-----⌫----|
cumliconbateorche ualier	--|-|--------|---⌫-----|
en labataillepar la feixm cris t	-|-|-------|--|-|--|-|----⌫|
au tr esideuom nosmorirausuizes	--⌫--⌫--|----|--|----|--|----|
oumondeob saintes	-|----|-|------|
uertuz e quenos	-----||--|--|
pochia mauerpar lo	------⌫|---|--|-|
nostra loierla coron ef lo rie	-----|----|-|-----⌫|-⌫--⌫--|
r egnedau sceus	-⌫---|---⌫|---|
olt reitame n	---⌫---|---⌫|
aprescoque	----|-|--|
dit uos aiasemblance	--|--|-||--------|
aiguolanzoguit sigranz	--------|----|-|----|
genzque n en fus imer ueille	---|--||-|-|-⌫|---⌫-----|
sarrazinsemors emoabites epersans	--------||---||-------||------|
te raphinlo reid earabi e	--⌫-----|-|--|-⌫|-----⌫|
burrabellorei dealixandri emucion	-------|-|--|-|---------⌫|-----|
re idebugiee ospin elle	--⌫|-|----||-----⌫-|-|
fa tur lerei	--⌫--|-|--|
debarb ariee	-|----⌫---||
ais lereidemarro ce	--|-|--|-|-----⌫||
alphinorlereide maiorieemucio nle	-------|-|--|-|------||-----⌫|-|
reidemequeehebrain l oreide	--|-|----||------|-⌫|--|-|
sebillee lam ancorlo	------||---⌫----|-|
lorss enuinc	---||-|---|
enguascoingne a una	-|----------||--|
citeque hom apelaage ntesi	---|--|--|----|---⌫-||-|
prist d il ocm andaakarlaqueil	----||--⌫-|-⌫---||----|--|-|
uenistalui	-----||--|
to t enpaisesin	--⌫|-|---||-||
amen astgai re	----⌫--|---⌫-|
de g entq uaril	-|-⌫--|-⌫--|-|
lid onere itas se z or e argen teau tres	-|-⌫-----⌫-|--⌫--⌫|-||-----⌫||--⌫---|
richezes yy somerschargiezsi	-------|-|-----|-------|-|
il deuenait	-|-------|
sishome f eistses	--|--||-⌫---|--|
comand e men z etuincs en enbeusse	------⌫-⌫---⌫|-|---||-|-|-----|
auna iornea de	|--|-----|-|
par ise arbergia tota	---⌫-||-------|---|
soz en unat erralo ngd aigue	|-|-|--|-⌫---|--⌫-||----|
equant il furent	|----|-|-----|
ar bergié li	--⌫------|-|
cheualie r e licheuaumuriandese	--------⌫||-|-----|-----|-|-|
qua r ilnauiant poi nt d	---⌫|-||-----|---⌫-||
aig ueeka rl	---⌫-||--⌫-|
fitor eizonan os traseignorqu	--|--⌫----||-⌫--⌫--|------|-|
illor donas taigueeildo na lor	-|--|-----⌫|----||-|--⌫-|--|
aigueque deuantchascunearbergi e	----|--|-----|-------|-------⌫|
baronsorsit una fontainelame lior	----|-----|--|-------|-|--⌫---|
quiunquesfuste	--|-----|---||
li franceis	-|-------|
esioirent molteparcetmiracle	--------|---||--|--|------|
lesegu erent	-|----⌫----|
de france t uit	-|-----|-⌫--|
c ilquionquesarmespogrentporter	-⌫-|--|-----|----|------|-----|
eadoncse mog uit libo ns re i s e	|----|-|---⌫--|-|--⌫-|--⌫-⌫||
uin csenasainte c roizd o rliens e	---⌫||-||-----|-⌫---||-⌫-----||
dequisen alaasaintmartin a	|---||-|--||----|-----||
torseue lia efit	---||--⌫--||--|
oreizonanostre	------||-----|
sei gnor eas ai ntmartin q u il	---⌫---|||-⌫--⌫-|-----|-⌫|-|
lidonessan tu e in tr ale ssarraz ins ed	-|--------⌫|-⌫-⌫--⌫--⌫|--⌫|------⌫--|||
e qui s enuinc as ainthylaire	-⌫--||-|---||-⌫---|------|
a peltiers e uelia ecomandaquelom	|-------||----||------|--|--|
m onseignor sainthyl aire	-⌫-|------|----|---⌫---|
chescuns yyd eniersparicoquil	-------|-|-⌫-----|--|--|-|-|
desfendet t otaaguiaine dal er	--------|-⌫--|-------||--⌫-|
enessi lepuissenalaa lemogies	-|----⌫||---||-|--||-------|
m onseignorsain tmarcau	-⌫-|------|----⌫|-----|
do nagra nz donsedeq uis en ui nct	--⌫-|---⌫-|---|||--⌫-||-|--⌫--|
sa rlat or i l fit moltriche	--⌫---|-|-⌫|--|---|----|
ygliseemolt r iche	-----||---|-⌫---|
abaie edonahi	----||---|-|
legueesde terraentoz	------|-|----|-|--|
epu issenu inctenpeireg or ca	|--⌫-||-|-⌫---|-|------⌫--⌫||
fo ntaine arbe rgiaretroua	--⌫-----|----⌫----||----|
equizz bon home e d emanda	---|-|--|---||-⌫-----|
auoitui nqu e	----|--⌫|--⌫|
leu donas t	--|-----⌫|
e illi distquenaueituin	|-|-|---|--||----|--|
tr amistl idel	--⌫----|-⌫|-||
mi el d re uinsdau monteau matin q uant	--⌫--⌫-⌫-|---|--|---||-|----|-⌫---|
l ireisseleuasi	-⌫|---|-|---|-|
salan ceflorieebele e	-|---⌫-|-----||---||
equi fitunariche abaie	---|--|--|----|----|
quianompaon ace hidona moltdau	--||--|----⌫-||-|---|---|--|
ueraie croiz	-----|----|
edequialaa genteomunz	||---|--||---||----|
karl equilli	----⌫|-|-|-|
rendis t treu	------⌫|---|
e teng uis ttota	|----⌫---⌫|---|
francede luios en	-----|-|--|||-|
fu i stekarl li mandaque	--⌫-⌫-||---|-|----|--|
serei tiaadon quesalaomunzen contre	-----⌫|-|----⌫---|--|----|--⌫-----|
karleoyymiresarrazins	----||-|---|--------|
par combatr eotl ui eissi	--|-------⌫|-|-⌫-||---|
cum karles	--|-----|
feritenlost	----|-||--|
omun tde luna	----⌫|-||--|
partgi r ar z	---|--⌫-⌫--⌫|
daufrada duxdel umb ard ie	--|----|--|-|-⌫---⌫---⌫-|
f eritd e l autrep art	-⌫---|-⌫||----|-⌫--|
ot yy mire cheua lie rs qu ilauoit	-|-|---|-----⌫---⌫-|-|-|----|
ecestabatail lefuentrad oes	|----|------⌫-|-|----|-⌫--|
mo ntaignes lunaapelentaspre m onte	--⌫-------||--|------|-----⌫-⌫--||
lautreca l ab ra	|----|--⌫-⌫--⌫-|
cesta b atai lla d uradau matiniusqu	----|-⌫----⌫--|-⌫--|--|----|----|
l anuitadonc	-⌫|---|----|
o reizo n anostre	-⌫-----⌫||-----|
s eignorsi	-⌫-----|-|
que liiorz	--|-|---|
l ialon g iaequiuinct girarz	-⌫|----⌫-⌫-|---|----|-----|
e sipristlo tref omun t	|-|----|-|---|----⌫|
lessar razins qui estoi ent	--|---⌫-----|--|-----⌫--|
en fuito mun z	-|---|-⌫---⌫|
ebalanzmeso cgiers	|-----|--|-⌫-----|
prist balantekarles	----|-----||-----|
seg uet omunte si	---⌫--|----||-|
leconseguita un a	-|--------||--⌫|
fontaineor ilbeuoit	-------|-|-|-----|
equantiluit	|----|-|--|
karlasioc tuergoniee	----|-|--⌫|-------||
karl eslidistpoez	----⌫-|-|---|---|
queconbat re	--|------⌫-|
uo s e stoitotm eie	--⌫|-⌫----|-|-⌫-||
omunzmont a achiuaue oguit	----|----⌫||-----||----|
molt gr antio ieeomunz	---|--⌫--|--⌫-||----|
g reiat ant	-⌫---|-⌫--|
laterra lo	-|----|-|
e sidesla ic o tl	|-|-----⌫--⌫-⌫||
eaumequantro llanz	----|----|--⌫----|
pau efe r i tomu nt	--||--⌫-⌫-⌫|---⌫-|
sus lobrazdestre	--|-|---|-----|
que le spee lifit	--||-⌫---|-|--|
uoler d au	----|-⌫-|
po ig epristl espe e	--⌫-||----||----⌫|
meismeetolitli	-----||----|-|
l atestaelobra z	-⌫|----||-|---⌫|
cobleepuiss	----||---||
charles a sesarbergiese fit	------||--|--------||--|
abai equehomapele t clairac	----⌫|--|--|-----⌫|------|
e pa r co apeletlom clairacque	|--⌫|-|-----|--|------|--|
esc larzitleiore fit hi	---⌫-----|-|--||--|-|
sebeliryy mireconpaigonsquierent	------|-|---|---------|--|----|
mort en l a b atailleefit seu elir	---|-|-⌫|-⌫------||--|---⌫---|
g andabodaua ntlauter ef itmetraenl	-⌫-----|----⌫-||----||-⌫-|----|-||
auterma inte saintuaire	----|--⌫---|---------|
paramordeceau squie re nt	--|---|-|----⌫|--|-⌫--⌫-|
labatalieedona	-|------||---|
ter ra en toz	---⌫-|-|--|
senz alabaie ede	---|||----||-|
sa u oitrie nsaigu olanz	--⌫-⌫--|---⌫-|----⌫----|
anceislimand aa	-----|-|----⌫||
charlequilli	-----|-|-|-|
enueias ttreu e co ma nd apar	-------⌫|---||--⌫--⌫--⌫|--|
non fuissan tde	--|-------⌫|-|
char lestram istlilatest a	----⌫--|----⌫--|-|-|----⌫|
omuntetlobrazot totl a nele	----|-|-|---|-|--||-⌫--||
aigolanzouits iotmolt	-------||--|-⌫|-|---|
grantduel puisuinctkarlpres	----|---|---|----|---|---|
agentef it unachapele	----||-⌫-|--|------|
de aacr o iz	-|-|--⌫-⌫-|
efi tequir ol lant	|--⌫|---|-⌫--⌫---|
che ua liereturpin s	---⌫--⌫---||------⌫|
establiequi yy	------|---|-|
conpaignons	----------|
n elifalis sant puisuinc	-⌫|-|-----⌫---|---|---|
karlaagent esila sist	---||----||-|-|---|
ento rl apasquedesismei se	----⌫|-⌫|-----|-|--|---⌫||
sis meiss iotfei tfe re	--|---|-⌫|-|---⌫|--⌫-|
les e ngiens si lesfitdrece rmurs	--|-⌫-----|-|--|--|-----⌫|---|
sesperr eires	--|----⌫----|
esei mangareletruies	|--|-------||-----|
assezautr ese ngiengs	----|----⌫-|-⌫------|
don tlompuetprendre chasteu	---⌫|--|---|------|------|
aiguolanzu in ca	--------|-⌫--⌫||
bordeaueauna	------||---|
gr a ntosteaiosta quant	--⌫-⌫-|--||-----|----|
puetepuisach astelion	---||---||--⌫-------|
girond e eala	------⌫||--|
s en a xancte se	|-||------⌫||
mandaa karla batalliee karle s	----||----|-------||-----⌫|
fiteues que aagent	--|----⌫--||----|
e chenoines a	|--------||
cab ra isadonqu esc onqui s t	---⌫--⌫-|------⌫-|-⌫-----⌫-⌫|
karle sagenesepuis s enuin ct a	-----⌫|-----||---||-|---⌫-||
sain tmelionefiteq ui	----⌫|-----||--|--⌫-|
enuincatale borceeco	-|---||----⌫---||--|
diz eiti l por	---⌫--|-⌫|--|
co queille uoleit	-|--|-|-|-----|
conoitr ee queil lepog uistfaire	-------⌫||--|-|-|---⌫---|----|
o sc ireapresco enbataille karle s	-⌫--⌫--|----|-|-|-------|-----⌫|
oitcosipristdosmire	--|-|-|----|--|---|
c heualiersdausmeli orsd esaterra	-⌫--------|---|----⌫--|-⌫|-|----|
ealauers aiguo lan tsiq ueil	|--|---|-----⌫---⌫|-|-⌫-|-|
e il oc leissases genzforssolem enty y	|--⌫-|-----|--|---|---|-----⌫--|-⌫|
chiualier s cezm e naoblui	---------⌫|--|-⌫-⌫-|-|--|
tresquau na m ontagnie	-----||-⌫-|-⌫-------|
delacitequeh om	-|-|---|--|-⌫-|
benuer il o c leslaissal ors	--|--|--⌫-⌫|--|-----|-⌫--|
sa ro ub equa rtropes tet b ona	-|--⌫--⌫|---⌫|---|--⌫--|-⌫--|
esi pr ist plus	|-|--⌫--|---|
malua ize e issi sen	-----⌫--|-⌫---||-|
lac ite obzzs ol	-|-⌫--|-|-|-⌫-|
chiualier sanz lanceesenz escuqua ri l	--------|---|----||---|---|---⌫|-⌫|
