formCicom mence li seconzliures.	---|-|---⌫----|-|-----|-----||
Liempere res I ustinia nsdit	-|------⌫--|-⌫-------⌫-|--|
rec o noistquantil escritl	---⌫-⌫----|----|-|-----||
ins trumen tdau cunec ouen anceque ila	---⌫------⌫||--⌫---|-⌫----⌫---|--|-||
fet e queil	---⌫|--|-|
ne refu serapasàrespondre	-|----⌫---|--|-|--------|
entotescorzpor cheuale rie	-|----|---|--|-------⌫--|
nepordi gn iténeporordre de p rouoire	-|--|--⌫--⌫---|-|--|----|-|-⌫------|
iasoitcequ e lon	-|---|-|--⌫||-|
do toitauantsauoirmon se illi	--⌫---|----|-----|--|-|-|-|
couen i sttenir	-----⌫-⌫-|----|
escritetsecil quicecouenança nedeuo it	-----|-|-|--|--|-|---------|-|----⌫-|
p a sue nircontresacouenance	-⌫-⌫|--⌫--|-----|-|--------|
ou sauoi rmonsel	-|-----⌫|--|-||
onli deustdonnerc ongiéque il	-|-|----|-----|-⌫-----|--|-|
separtistdece queil	-|------|-|-|--|-|
escristet usastde sa droiture	------|-|----|-|-|-------|
nosestab lissons	--|-----⌫------|
lise a ̀nulàal ercontre	---|-⌫|--|-|--⌫-|-----|
ses couenanz n eàdeceuoirc e l s quiolui	--|-------|-⌫|-|-------|-⌫-⌫-⌫|--||--|
fontmarchie ́.	---|-------⌫||
Et selicouenantsont fetpa r	-|-|-|-------|---|--|--⌫|
deuantl epre uost	-----|-⌫|---⌫---|
quin e soientfetcontre	--|-⌫|-----|--|-----|
lesloisne partricherieil	--|---|-|--|--------|-|
do iu entestre gar dé entotesmanieres	--⌫--⌫--|----|---⌫--|-|----|-------|
querporquoi	---|--|---|
neu ailent pas	-|-⌫-----|--|
l icouenantquisontfe ten c este maniere.	-⌫|-------|--|---|--⌫|-|-⌫---|------||
Eceestuneau tre riuledanc i en droit	|-|--|--|--⌫--|----||---⌫-⌫-|----|
quec hascu ns a	--|-⌫-----⌫-||
congié dequit erlesc hoses	------|-|----⌫-|--|-⌫----|
qu i s ont	--⌫|-⌫--|
establiesporlui.	--------|--|--||
Tui tno stre iugegardent donccees ple z	---⌫|--⌫---|---|------|---|-|-|---⌫|
etceseste ndeàtozles	-|-||----⌫--|-|--|--|
iuiges et àtozlesarbitres esleu z.	-----|-|-|--|--|-------|-----⌫||
Cilmeis meempereresdi t.	--|----⌫-|--------|--⌫||
] Unetel question	|--|--|-------|
no sfudeman dee delauocatiede Cesai re	--⌫|-|-----⌫--|-||-------|-|-----⌫-|
Deus pers on es oupluseur sestoient quiauoientesperanced	---|----⌫--⌫-|-|-------⌫|-------|--|------|--------||
auoirl e ri tag eàu n	----||-⌫--⌫---⌫|-|-⌫|
autrep orceque illor p ooit	----|-⌫---|--|-|--|-⌫---|
eschaerparl ignages i fi rententreel s	------|--|-⌫-----|-⌫|--⌫---|----|--⌫|
conuenanzoùil out telsconditionsqueli	--------|--|-|--|---|---------|--|-|
coue n antseroientt enusec ilmoro it etse li	----⌫-⌫--|-------|-⌫--|-|-⌫-|----⌫-|-|-|-|
heritagesuenoitàels ousea ucuns d els	--------|-----|-|--|-|-|-⌫----||--|
enauo ientp a rauentureaucun preu .	-|---⌫---|-⌫-⌫|-------|----|---||
Etlon dotoi t sauo irmons eil coueno it	-||-|-----⌫|----⌫-|--|-⌫|-|------⌫-|
ga rder lesco uenanzetcefesoit la	--⌫---|--|--⌫-----|-|-|-----|-|
do tequ ecil uiuoit e nc oredequiheritagei l	--⌫-|--⌫|--|-----|-⌫--⌫--|-|--|-------|-⌫|
auoient esperan ceetlico uena nt ne furent	------|-------⌫-|-|-|--⌫----⌫-|-|-----|
p asfetautresicomme se	-⌫-|--|------|----|-|
ilne peustestre autrementquelih e ritagesne	-|-|----|----|--------|--|-|-⌫-⌫------|-|
uenista ̀elsainz iauo itdeuscon di tions	-----|-⌫|--|---||---⌫-|---|---⌫--⌫----|
se cilmoroit ets ec il	-|--|-----|-|-⌫|-⌫-|
quifire nt le couenantestoient apele ́à	--|----⌫-|-|-------|-------|-----⌫|-|
Mesilnossenb lequetotescescouenanc e s sontmauuese s	--|-|--|----⌫-|--|----|--|--------⌫-⌫|---|-------⌫|
et ontperilleusefin quer porquoi	-|--|---------|--|---|--|---|
fontau cun coue nant	---|--⌫--|----⌫---|
desc hoses àcelui qui enc or ui te t qui	--|-⌫----|-|----|--|---⌫-|--⌫|-⌫|--|
ri e n n enseitNosestabl i ssonsdoncsol oncles	--⌫-⌫||-|---|--|------⌫-⌫----|---|---⌫--|--|
ancienes riules	-------|-----|
quecouen ant qui son t fetenc ontreboen esmorssoi ent	--|-----⌫--|--|---⌫|--|---⌫----|----⌫-|---|---⌫--|
ref uséentotesm anieres etquerien	---⌫---|-|----|-⌫------|-|--|---|
n ensoi tgardése	|-|---⌫|-----|-|
ci lde quih eritagelicouenanze stne	--⌫|-|--|-⌫------|-|-------|-⌫-|-|
s iacordepar	||-----|--|
a ue nture ets itien t iusquà	-⌫--⌫----|-|||----⌫|----|-|
q uerl orsen ser a	-⌫--|-⌫--|-|---⌫|
osteetotemauuese esperanc eetillorl iraà	----|---|------|--------⌫|-|-|--|-⌫--|-|
gardercelsconuena cesquiserontfete s	-----|---|-------⌫--|--|-----|----⌫|
àso nseuet p arsoncommande ment.	-|--⌫|--|-|-⌫-|--|--------⌫---||
Noscommandonsdoncquedons detels chos es ne	--|---------|---|--|---|-|---|----⌫-|-|
engag e menzne soient pa s	-----⌫-⌫---|-|-----|--⌫|
receune nus	----|-|--|
autresma rchiezquien	-----|--⌫-----|--|-|
Q uernosne souff erron spasen noz	-⌫--|--|-|-----⌫-----⌫|--|-|--|
tens queaucun echosesoit feteou couenancieeesch ose s	---|--|-----⌫|----|---|---|-|----------|-|--⌫---⌫|
quisontà a utruic on trelauolonté	--|---|-|-⌫----|-⌫--⌫--|-|-------|
àceluiqui elesso nt.	-|----|--|---|--⌫-||
Cisttitreses tdun e manier e de	---|-----|--⌫||--⌫|------⌫|-|
couenancequiestfete parc oncordequ i est apel ee t r ansaction	--------|--|--|---|--|-⌫------|--⌫|--|----⌫-|-⌫-⌫--------|
Liempere resAnto inesdit.	-|------⌫--|----⌫---|--||
Couenanc enetransactionqui	--------⌫|-|----------|--|
soitf eteoles uns procureeurs	---|-⌫--||--|--|----------|
oud esdefendeeurs eschose squeil firent	-|-⌫-|----------|-|-----⌫|--|-|-----|
c ommunementoudure ntferenaidepasasa utr es.	-⌫---------|-|----⌫-|---||---|--|-|-⌫---⌫-||
Ep orce que tueusdonctrois procure eurs	|-⌫---|--|-|--|---|----|-------⌫---|
transac tio n o les deusilnetestpas deu ee	-------⌫---⌫||--|---|-|-||--|--|---⌫-|
que tun enpledesletierz .	--|-||-------|-|----||
Cilmeismeempereeurdi t.	--|-----|--------|--⌫||
tuproposes	-|-------|
qu etu feistr ansactionde tonerit ageo	--⌫|-|---|--⌫--------|-|--|----⌫--||
tasuer porquoi tu	-|---|--|---|-|
lidoi zunesomme d edenierset	-|---⌫|--|----|-⌫|------|-|
ia soitcequeelenepledas t pas	-|---|-|--|--|-|------⌫|--|
eritagenepor quant latransa cti onfu fetepor	------|-----⌫----|-|------⌫---⌫-|-|---|--|
poor de pletlonente nt	---|-|---||-|----⌫-|
que li d enie r furent conuenanciépar droi t.	--|-|-⌫----⌫|-----|-----------|--|----⌫||
Epo rcesetul esausse s	|--⌫|-|-|-|-⌫-|-----⌫|
paieztu ne l espeussespasdeman deret se	----|-|-|-⌫-|------|--|-----⌫--|-|-|
tu neles eusses	-|-|--|-----|
t e npeusseses tret rezen plet.	|-⌫|------|--⌫--|-⌫--|-|---||
LiempereresAlixan dresdit.	-|--------|------⌫---|--||
Pled e o Gini an	----⌫||----⌫-|
p orcequesesperes	-⌫---|--|--|----|
fute s pr ocurierrese t procurat esbesoin gesetse il	-|--⌫|--⌫---------|-⌫|------|-⌫-|------⌫--|-|-|-|
ni epa rd e ua nt leiugequ eil	--⌫|--⌫|-⌫-⌫--⌫-|-|---|--⌫|-|
t enuzàtoip orcequetransactio nen	-⌫---|-|--|-⌫---|--|----------⌫|-|
f ufeteliiug es dema ndera en	-⌫|---|-|---⌫-|----⌫----|-|
iugement deboen e foidecombiendedeniers	-------|-|----⌫|--|-|------|-|------|
latr anslaction	-|--⌫---------|
s eilapertque	-⌫|-|----|--|
ele fustfetede	--|---|---|-|
mai n sdedeniersqueilne	---⌫-⌫|-|------|--|-|-|
seraprou é queil	---|----⌫-|--|-|
tedeuoitdel aprocuracionil	-|-----|-|-⌫|----------|-|
commandera queilterende	---------|--|-|-|----|
les eurpl us.	-|-⌫-----⌫-||
Cilmeism esempereresdit.	--|-----⌫-|--------|--||
Quantcil quiesten	----|--|--|--|-|
loialaage ameu pletcont recelu iquiotla	----|---||--|---|----⌫-|----⌫|--|-|-|
baillie de	------|-|
procurerle etcil	-------|-|-|--|
pl eze s testainzil	--⌫-|-⌫-⌫|------|-|
n estpasdote	|--|--|---|
que ilremai gne	--|-|-----⌫--|
nuleautreauction	---|----|------|
forssanzplus	---|---|---|
de tricherie setransacti on	-|--------|-|---------⌫-|
nestfeteesp icia l mentdetriche r ie	|--|---|---⌫----⌫-⌫---|-|------⌫-⌫-|
Cilmeismes emp ereresdit .	--|------|---⌫-----|--||
Porcequetu re con o ist quetu feis	----|--|-|--⌫---⌫-⌫--|--|-|---|
transaction olo iràceluiqui iadisfutes	----------|||-⌫-|-|----|--|----|-|--|
defend erressetu f eiscepuisq uet ufus en	------⌫----|-|-|-⌫--|-|---|-⌫-|-⌫|--|-|
aagetudesierres por n ientqueli	---|-|--------|--|-⌫---|--|-|
couena nzs oientd epeci é.	------⌫-|-⌫----|-⌫-----⌫-||
Etiasoitceq uenusescriznen	-|-|---|-|-⌫-|--|-----||-|
fu stfez sicommetupropos es	--⌫-|--|-|----|-|------⌫-|
nep orquant secertaineté estfetedescouenan ces pa rta	---⌫------|-|----------|--|---|--|-------⌫--|--⌫|-|
re conoissanceescriturequiseut tesmoignier	--⌫----------|--------|--|---|----------|
le s chosequi	--⌫|----|--|
sontf et es	---|-⌫--⌫-|
ne st pasnec e ssere.	|-⌫-|--|---⌫-⌫----||
Cil meis mes empe reresdit.	--|----⌫--|----⌫----|--||
]Porce queuosproposezquequantuostremere	|----|--|--|-------|--|----|-----|---|
outmeup l etdel t estamentuostrepere	--|--|-⌫-⌫-|--|-⌫-------|-----|---|
quines toit pa sàdr oi t	--||--⌫---|--⌫|-|--⌫--⌫|
f ez ele fisttranslacion olau treparti esiq ue	-⌫-|--|---|----------|||--⌫--|-----⌫|-|-⌫-|
el e eu st une	--⌫|--⌫-|--|
pa rti ed e s bien setlessast	--⌫---⌫|-⌫-⌫|----⌫|-|------|
lepletresondedroit ne	-|---|----|-|----|-|
suefre pasque l aquerelequ i	-----|--|--|-⌫|------|--⌫|
est entre l essieesoi tre nou eleepar	--|-----⌫-⌫-----|---⌫|--⌫---⌫---|--|
uosquies te so iruo stre	--|--|--⌫--⌫|-⌫-|--⌫---|
Messefoinestfe te des	--|-|--||--|--⌫-|--|
couenanzuosemp led er oiz pardroitlautrepa rtied e	-------|--|---⌫---⌫--⌫--|--|----||----|--⌫---|-⌫|
tant commeà uo sapar tientq uersepainefu	---|----|-|--⌫|----⌫----|-⌫--|-|----|-|
m iseen lacouenance uospoez plede rpor	-⌫--|-|-|--------|--|---|-----⌫|--|
lap aineese	-|-⌫---||-|
o b ligeme nzdeparo lesest entreless iezlauction	-⌫-⌫------⌫-|-|----⌫--|--|---------⌫--||------|
qui demostrelachosequiaes téfete	--|-------|-|----|--||--⌫--|---|
uosestcou enable.	--|--|---⌫-----||
LiempereresG ordi ansdit	-|--------|-⌫----⌫--|--|
Liconuenanz	-|--------|
de translacion que ci lafetà	-|----------|--|--⌫||--|-|
qu i tuotr oias	--⌫|-|---⌫---|
l adecisiond u na rticleet	-⌫|-------||-⌫|-⌫-----|-|
nem i edetotelaquerelene	-|-⌫-⌫|-|---|-|------|-|
puetderien empeech i erta demande.	---|-|---|-------⌫-⌫-|-|------||
Cilmeism esempe reres	--|-----⌫-|----⌫----|
Se plezestmeuzdes	-|---|--|---|--|
ch osetrespasseez tr ansac ti onenpue t est refe temes	--⌫--|----------|--⌫-----⌫--⌫-|-|---⌫|---⌫-|--⌫-|--|
latransactionqui	-|----------|--|
est fete deschosesqu i suntà	--|---|--|-----|--⌫|---|-|
uenir sa nzlepreuostn est nule	----|--⌫-|-|------||--|---|
parlauctorite ́	--||---------⌫|
Cilmei smesempereres dit .	--|---⌫---|--------|--||
Seli freres ta fame tetre oit	-|-|-----|-|---|-|---⌫--|
emplet porune possession	-|---|--|--|---------|
queiltede m and out e t	--|-|-|--⌫-⌫---⌫--|-⌫|
coue nanzf u f et e ntreuose ntel manieresi come	----⌫---|-⌫|-⌫-|-⌫---|--|-⌫|--|------|-|---|
tuallegues quese te l auer saires	-|-------|--|-|--⌫|----⌫-----|
tepaioitdeden z un cer t ainior	-|-----|-----⌫|-|---⌫-⌫--|--|
deniersdor	------||-|
tu lileroieslap o ssess ionetsei l ne l es	-|-|------|-|-⌫-⌫-----⌫--|-|-|-⌫|-|-⌫-|
tepaioitil	-|-----|-|
net endemanderoit	-||-|----------|
riendil ecenauan tetcil	---||--⌫-|-|----⌫|-|--|
q uieissi pramistnefi stpas	-⌫-|----|------|-|--⌫-|--|
satisfacionde la p ramesseil sensuitque	----------|-|-|-⌫------|-||-----|--|
tuàqui lachoseapartientne	-|-|--|-|----|--------|-|
doizpasplus estretraueilliez parlui.	---|--|---|----|----------|--|--||
Et quantt ureque rra sde	-|----|-⌫|-----⌫---⌫|-|
celepreuostdelacontre e ildefendra	-|-|------|-|-|------⌫|-|-------|
queforce nete soit	--|----|-|-|---|
Quer sela utre	---|-||-⌫---|
partie eustboene au cti on	-----|---|----|--⌫---⌫-|
en lach oses i	-|-|--⌫--|-⌫|
lapeusteleperdre par	-|----|--|-----|--|
l e xception detelconuena nce.	|-⌫-------|-|--|-------⌫--||
Liemper eres Phelippesdit.	-|-----⌫---|--------|--||
Tureq ui erz trop engresseme nt e tcont renatureetcontre	-|---⌫--⌫--|---|----------⌫-|-⌫|----⌫-|-----|-|-----|
te scouenanzq uetupuissesmou oirpletcontrelesfil z	--⌫|-------|-⌫-|-|------|---⌫--|---|-----|--|---⌫|
ton frereporleritagetonperequeriamés l es	--|----|--||------|--|---|---|-----|-⌫-|
qu erelesnes e roien t finees selen commençoità trespasser	--⌫-----|-|-⌫-⌫-----⌫|-----|-||-|----------|-|---------|
legier em entlestransactions qu iserontfetepar boen e foi	------⌫--⌫--|--|-----------|--⌫|-----|---|--|----⌫|--|
Li empereresualentinsdi t .	-|--------|--------|--⌫||
La transactionq uif uf ete de ce	-|----------|-⌫-|-⌫|-⌫--|-|-|
qu etesperesdonnaàtoieta ̀tonfrere	--⌫|--|----|----|-|--|-|-⌫|--|----|
entelmanierequeci lquimor roits anzenfanz lessast	-|--|------|--|--⌫|--|---⌫---|-⌫--|-----|------|
lautre estest ab leetfer mequerla fraternel	|----|--|---⌫--⌫-|-|---⌫-|---|-|--------|
amortoltqueliunsnecou oitepasl a	---|---|--|-|--|-|---⌫---|--|-⌫|
m ort à laut re .	-⌫--|-||---⌫-||
Etl atransactionne	-|-⌫|----------|-|
pu etestrepasdepec iee en	--⌫-|----|--|-----⌫--|-|
ces t ca sautresi comese tu	---⌫|--⌫|------|---|-|-|
eussesesté deceu z à ferelecouenantqu er	-----|----|-----⌫|-|---|-|-------|--⌫-|
diz p asquetufusses d elaag e àqui	--|-⌫-|--|-|-----|-⌫||---⌫|-|--|
lesloissuelentsecorre.	--|---|------|------||
Esetu enfusses sine	|-|-|-|-----|-|-|
deusses tupa sauo i r ente rin e	------|-|--⌫|---⌫-⌫|----⌫---⌫|
res titutionpor	---⌫-------|--|
lesdeuant d ites ca uses	--|-----|-⌫---|--⌫---|
Cilmeisme s	--|------⌫|
empereresdi t.	--------|--⌫||
Lip r euozdel acontreeenquerras auoir	-|-⌫-⌫---|-|-⌫|------|-------|-⌫----|
mon se transact ion a	--|-|--------⌫--||
este ́feteent re	----⌫|---|---⌫-|
t o ietl es aminis tr eeurs	-⌫-⌫|-|-⌫-|------⌫--⌫----|
de tacitédec hosequifust	-|-|----|-|-⌫---|--|---|
e nd oteouse tulora s	-⌫|-⌫--|-|-|-|--|-⌫|
quitéaucun echose	-----|-----⌫|----|
quite pe ustestrede uesanz nuledote	--|-|--⌫--|----|--⌫-|---|---|---|
q uere l premiercasilcommanderaque	-⌫--|-⌫|------|--|-|---------|--|
la tr ans actionsoittenab le	-|--⌫---⌫-----|---|-----⌫-|
mes e l de rre nierilne	--|-⌫|--⌫---⌫---|-|-|
sofferra pasquelagra ce	-------|--|--|-|---⌫-|
quetuleurasfete nu iseà laci té.	--|-|---|-|---|--⌫--|-|-|--⌫--||
Liempereeu r DiocliciansetMaximians	-|--------⌫|----------|-|--------|
es t c ontenuen pardu rableesta blissement	--⌫|-⌫-----|-|-----⌫----|----⌫---------|
quelestransactionsqu isont	--|--|-----------|--⌫|---|
fe tesparpoor ne	--⌫--|--|---|-|
doiuentpasestretenables .	------|--|----|-------||
Mesne po rqu antt otemaniere	--|--⌫--⌫---⌫--|-⌫--|------|
ne soffitp as à rapel erl eschosesqui sont	-|-----|-⌫-|-|-----⌫-|-⌫-|-----|--|---|
termineespa rcommunas se nt ementainz	--------|--⌫|-----|--⌫--⌫--⌫----|---|
couie nt prouerte l	-----⌫-|-----|--⌫|
poor qui cont iegne peril	---|--|----⌫----|----|
ou tormentdecors .	-|------|-|---||
Elaqualitédel aprincipalcausene s offit	|-|-------|-|-⌫|--------|----|-|-⌫----|
pa sàprouertelforceo u	--⌫|-|-----|--|----|-⌫|
teltricherie .	--|--------||
Etpo rce senule t elchosenepuet	-|--⌫|-|-|---|-⌫-|----|-|---|
e stre proueeil neco uientpas	-⌫---|-----|-|-|--⌫----|--|
ren o uel erl esq ue reles quisontterm ineesparcommuna ssentement	---⌫-⌫---⌫-|-⌫-|-⌫--⌫----|--|---|----⌫----|--|-----|-⌫---------|
Me s porceque t u affermesque cil o	--⌫|----|--|-⌫|-------|--|--||
quituasfettransactionest te sserset	--|-|-|--|----------|--|--⌫|---|-|
filzdetaserue se	---|-|-|----|-|
ceest uoir que	-|--|---|--|
uneau tr ereson refo r me lec ouenant .	--|--⌫--⌫|----|----⌫-⌫-|-|-⌫------||
Querilnest pas d ote quant	---|-||--|--|-⌫--|----|
liseigneurfontcouenant o leurse rsiln e	-|-------|---|-------||---|--⌫-|-|-⌫|
pueent es tretenuneobligi e ́parlescouenanz.	-----|--⌫--|---|-|------⌫-⌫|--|--|-------||
Cil meismeemper eeur dient.	--|-----|-----⌫---|----||
Quantte saue rs aires s esforced alercontre lescouenanz	----|--⌫|---⌫--⌫----||------||---|-----|--|-------|
resonetloialtécomman dequei lrend e	----|-|-------|------⌫-|--|-⌫|----⌫|
ettumeismesled esie rres	-|-|------|-|-⌫----⌫---|
etpui s reuiegnelon auplet	-|---⌫|-------||-|-|---|
totderechi ef.	--|-------⌫-||
Cil meismeemp ereeur	--|-----|---⌫-----|
I lcouienta ̀ ceque	-⌫|------|-⌫|-|--|
tu puisses	-|------|
a uoirdenos certain e	-⌫---|-|--|-------⌫|
responsequenoss achons la	-------|--|--|-⌫-----|-|
formedel couenantsauoirm o nse licouena nz	----|--|-------|-----|-⌫-⌫|-|-|------⌫-|
fu simpleset	-|------|-|
seili outpaine miseca r se il n	-|-||--|----|---|--⌫|-|-||
iout paine mise	|--|----|---|
ilest c lerechose	-|--|-⌫---|----|
que la dema ndeà t onauersaire	--|-|----⌫--|-|-⌫-|--------|
nest n u lene ine pu et	|--|-⌫-⌫-|-||-|--⌫-|
auoir nule a uctiond ed eman dertoia ucuneespici alchose	----|---|-⌫-----|-⌫|-⌫----⌫--|--|-⌫----|------⌫-|----|
Cilmeismeempere eu r dient .	--|-----|------⌫--⌫|----||
