siqueseuent	-|--|-----|
dedeu p arloit	-|--|-⌫-----|
etli uilainslid em an doit	-|-|------|-|-⌫--⌫--⌫---|
ad ansmainialo f ruit	--⌫--|-----|-|-⌫---|
porcoihome furentdestrut	--|--|---|-----|------|
au reclus forme nt	-|-----|-----⌫-|
tan tcunef oizse porpensa	---⌫||--|-⌫--|-|-------|
queauuilain esprocheroi t	--|-|-----|-----------⌫|
cequ edeman déliauoi t	-|--⌫|-----⌫--|-|----⌫|
une grantsculedemanda	--|----|----|------|
sorunetauble l adenta	--|--|-----||-----|
un esor isotdedensmis e	--⌫|---⌫-|-|-----|---⌫|
si de ffendiquen	-|--⌫-----|-|-|
au ilain quilniadesas t	|-⌫----|-|-|||------⌫|
nequedes o zne regardast	-|--|---⌫-⌫|-|--------|
quei liroit aun m ost ier	--|-⌫|----||-|-⌫---⌫--|
a ori so np orde upr ier	|---⌫--⌫|-⌫-|--⌫|--⌫--|
re nc lusenfual ez	--⌫--⌫--|-|-|--⌫-|
sicest liuilains	-||--|-|------|
a g r ant folie	|-⌫-⌫--|----|
l isem bla	-⌫|---⌫--|
delascuele queil garda	-|-|-----|--|-|----|
nese potmiedetenir	-|-|--|--|------|
la uuelletdescorir	-|------|-------|
porce quedesoz fu	--|-|--|----|-|
quantosté l otsia	----|----||-|-||
lasori squi li	-|----⌫|--|-|
etquant cessires repaira	-|----|--|----|------|
moltse co r recadurement	---|-|--⌫-⌫---|-------|
sidemandaparmal talent	-|------|--|--|-----|
lescuellea ostee	|-------||----|
n ot passadeffenc egardee	|-|--|-|-------⌫|-----|
liuila inslirespontapres	-|----⌫--|-|------|----|
sirefaitil i enen	---|---|-|-⌫||-|
ouli cuers mede us tpar tir	-|-|----|-|--⌫--⌫|---⌫--|
ouielalass e	-|-||-----⌫|
queest la s orisdeuen ue	--|--|-|-⌫---|-----⌫-|
p o rcoinel es tu de t e nu e	-⌫-⌫|--|-||-|-|--⌫-⌫-⌫--⌫|
tafolief ustdestorne pardon ee	-|----|-⌫--|-------|------⌫-|
il mef u eschapee	-|-|-⌫|-------|
ilorlaie ster	-|-|--|-⌫---|
gardedad am blasme r	----||--⌫-|------⌫|
sele fruitde	-|-|----|-|
larbremani a	|----|----⌫|
quenos tressiresli	--|---⌫---|----|-|
lidyables liconcill a	-|------|-|-------⌫|
quipar safemmelengigna	--|--|-|----||------|
etli promi stsig ranthon or	-|-|-----⌫-|-|-⌫---|---⌫-|
quepersseroi tauc rea t or	--|---|-----⌫|-|-⌫---⌫-⌫-|
por ce ne d oitnusencolper	--|-|-|-⌫--|--|-------|
autruifais anceneblasmer	-----|----⌫---|-|------|
demettre blas mes or s onpr ime	-|-----|----⌫-|-⌫-|-⌫-|--⌫--|
chascuns re pregne soimeisme	-------|--⌫-----|--|-----|
tex pue tblas merle	--|---⌫|----⌫--|-|
fait da ut rui	---||-⌫--⌫--|
ualdroit repr endrel ui	-------|----⌫----|-⌫-|
du nuilaincontequientra	|-⌫|-----|----|--|----|
enun mostier	-|-|------|
unsuench eualauoitmoltchier	-|---|--⌫---|----|---|----|
atachahors	-----|---|
de lmostier	--⌫|------|
a d eurequ istqu il	|-⌫-|----⌫--|-|-|
c unautre cheual lidon ast	|-|----|-----|-|---⌫--|
tantcon ilfistcele orison	---|--|-|---|---|-----|
sonchiualemb lerentlilarron	--|-----|---⌫-----|-|-----|
quantilf udoumostier	----|-|-⌫|--|------|
siestoitcesch eua us	-|-----|--|--⌫---⌫-|
arri ereu aha stiueme nt	----⌫--|-⌫|--⌫-------⌫-|
si p r ia deuescodre ment	-|-⌫-⌫-|--|-------⌫---|
q ueautre chosenerequeroit	-⌫-|----|----|-|--------|
nautre chiua l malli donroit	|----|-----⌫|--|-|------|
masfacel iauoir lousuen	--|---|-⌫|----|--|---|
quilnauraiamais	-|-||---|-----|
por cene doitnushom	--|-|-|---|--|--|
de p lus auoirquil na mest ier	-|-⌫--|----|-|-|||----⌫--|
se gartque d euslia	-|---|--|-⌫--|-||
s eli soffise enloialte	-⌫|-|------|-|------|
u nsuilains alaau mostier	-⌫-|------|--|-|------|
souentesfoiz	-------|---|
pordeupriier	--|--|-----|
deu requist	--|------|
queil liaid ast	--|-|-|---⌫--|
etquesa f emme consil las t	-|--|-|-⌫---|------⌫---⌫|
ets esenfans	-|-⌫-|-----|
etnullu plus	-|----|---|
cestep aroleet	----|-⌫----|-|
souentez foiza si	-------|---||-|
cunsautresuilainslent endi	|--|-----|------||---⌫---|
sili respondiha utement	-|-|-------|--⌫------|
deustemandentomnipotent	---|-|------|---------|
quetu aiesmalei sson	--|-|---|-----⌫---|
et po ureteetcusenson	-|--⌫----|-|-------|
ta femmeet tienfans	-|----|-|-|-----|
a utrenesoitmaudi z	-⌫---|-|---|-----⌫|
parcestee ssemple uuetre traire	--|----|-⌫------|---|--⌫-----|
cha sconsdoit	---⌫----|---|
tel proie r efaire	--|-----⌫-⌫|----|
gentnestoitnusable	---||-----|------|
et qui a d eusoit ace tab le	-|--||-⌫-|---|---⌫---⌫-|
d u n uilain s	|-⌫|------⌫|
contequi auoit	----|--|----|
unechoeque norrissoit	--|---|--|---------|
tant la norriq u ele parla	---|-|----|-⌫|--|----|
uns suensuoisins l ali	--|----|------|-⌫|-|
si seclama a laiustice	-|-|----||-|------|
contaenitel guise	----|-|---|----|
con si loiselssoloi tparler	--|--⌫|-----|-----⌫|-----|
lesmatineesetchanter	--|-------|-|------|
liiugesdit qui l a mal fait	-|----|--|-|-⌫||---⌫---|
selualas emon dre	-|-|--|-⌫----⌫--|
auiorqu e cil es toitsemons	-|--|--⌫|--|--⌫---|-----|
q u ildeuoit faireson	-⌫|-|-----|----|--|
d ecorduanp ristune pel	-⌫|------|-⌫---|--|--|
misesor so nmanteil	---|--|--⌫|------|
lunsd esc h i eslesse	|--|-⌫-|-⌫-⌫-⌫-|----|
dehors pendre	-----|-----|
qu e li iuges deuoi tentendre	--⌫|-|----|-----⌫|-------|
quilli aporte loier	-|-|-|-----|----|
qued esonplet li	--|-⌫|--|---|-|
doi eaid ier	---⌫|---⌫--|
lou mantelsou ent entr ouri	--|-----|---⌫--|----⌫---|
tan tquel i iuges lachosi	---⌫|--|-⌫|----|-|----|
lautre uilain fist apell er	|----|-----|---|-----⌫-|
quese rtuenus alu i	--||-⌫-|----||--⌫|
de lachoelideman da	-|-|---|-|-----⌫-|
estoitquelechanta	-----|-|--|-----|
et quel paro l le	-|---|----⌫-⌫-|
etil respontqu il	-|-|------|-|-|
ne sauoi t	-|-----⌫|
qu anttufais ilrien nesauoies	--⌫--|-|---|-|---|-|------|
pa roll en	--⌫----⌫||
en te ndoie s	--⌫--⌫-----⌫|
q uant niant	-⌫---|----|
est oitsa chancons	---⌫--|-|-------|
endoisiaauoi rrespons	-|---|-|----⌫|------|
cilsenalaetsensdroi ture	--||-|--|-|---|----⌫---|
par tel loi erdo ntilpris tcu re	--|--|---⌫-|--⌫-|-|----⌫|--⌫-|
po rce uos	--⌫|-|--|
diprincesnerois	-|------|-|---|
cesconman sne ses lois	--|------⌫|-|--|---|
a c o uoi teusmettreen baillie	|-⌫-⌫---⌫---|-----|-|------|
droiture enestperie	-------|-|--|----|
dun uilainquipristia	|-|-----|--|----|-|
zzfo letquelons tens gar da	-|--⌫--|--|---|---|---⌫-|
selidonayy o remen s	-|-|---|-|-⌫-----⌫|
perceq ue n el most raaus	--|-|-⌫-|-⌫||----⌫-|--|
liuilain s f u ioous etliez	-|------⌫|-⌫|----|-|---|
sa femmee s t	-|----|-⌫-⌫|
lesyy or e menslid ona	--|-|--⌫-⌫---|-|-⌫--|
retientpasne lgarda	------|--|-||----|
estur entenci	-----⌫--|---|
longuem en t	-------⌫--⌫|
qu ilnefiren t nul orement	-|-|-|-----⌫|--|------|
ius quauzz	---⌫-|-|-|
iorque ilauoien t	--|--|-|------⌫|
maingierouilesto i e nt	-------|-|-|----⌫-⌫-⌫-|
dunebarbis	|--|-----|
l eschineet l os	|------|-||-|
don tla mollesall oithors	---⌫|-|----|----⌫--|---|
enotgrantdesirrier	-|-|----|--------|
uolentier slou	---------⌫|--|
uolsit maingi er	-----|------⌫-|
lapotauoir asm ains	-|--|----|-|-⌫---|
si aore ́quel iuil ains	-||---⌫|--|-⌫|---⌫---|
e ustt e lbeccon l u pla iroit	-⌫--|-⌫-⌫|--|--|-⌫|---⌫----|
con me li witecosauoit	---⌫-|-|------|----|
ensau int c onele	--|--⌫--|-⌫-|--|
etli uilai ns semeruilla	-|-|-----⌫-|-|-------|
puizao r équehom refust	---||-⌫-⌫-|--|--|-----|
et quesonui smeism eeu st	-|--|--|--⌫|-----⌫|--⌫-|
y yorem ens	-⌫|----⌫--|
ontia perduz	--|-|-----|
quenulsnen n est aparceuz	--|---||-||--|-------|
aus p lus ors est	--|-⌫---⌫--|--|
souent es foisiontperdu	------⌫-|---||--|----|
q ue tropcroient autrui	-⌫-|---|------|-----|
quetroples	--|---|--|
decoitetaf olle	-----|-|--⌫---|
lifols cuidedeluiz ie	-|---|----|--|---⌫-|
queloudoieau oirconsillie ́	--|--|---|--⌫--|---------⌫|
siconmeso i	-|----|--⌫|
mezili faut	--|-||---|
netantne seit	-|---|-|---|
net ant neualt	-|-⌫--|-|---|
delg olpi lditqu eunenuit	--|-⌫----⌫|--|--⌫|--|---|
e st oit alez ensondesduit	-⌫--⌫--|---|-|--|------|
sor unemaire trespassa	--|--|----|--------|
etq uant dedensleuueesgarda	-|-⌫---|-----||---|------|
dela l une a ueu	-|-|-⌫--||--|
maisnesotmie q u ecefu	---|-|--|--|-⌫-⌫|-|-|
sia p enséenso nco r age	-||-⌫----|-|--⌫|--⌫-⌫--|
quilaueux xfromage	-|-||--|-⌫|------|
l euueco nmencaalap er	|---|--⌫-----||---⌫-|
etbiencudaen sonpens er	-|---|---|-|--|----⌫-|
uisl iestselamaireestmendre	--|-⌫|--|-|-|----|--|-----|
qu elofromagep oroit prendre	--⌫|-|------|-⌫----|------|
tant abeuq ue	---||--|-⌫-|
i lluecchaiauan tn a la	-⌫----|---|----⌫||-⌫-|
mainscuide ou treso ndroit	----|----|--⌫--|--⌫|----|
etoutrece qui lne	-|----|-|-|-⌫|-|
auo rtotes ces uolentez	---⌫|----|--|-------|
ma is pui zest morsetafolez	--⌫-|---⌫|--|---|-|-----|
raco nte quiiadis	----⌫--|--|----|
o zz corbe lses toit a ssis	|-|-----⌫||--⌫---|-⌫---|
desorloudos d uneberbis	----|--|--||--|-----|
p a rl a a noblesdis	-⌫-⌫--⌫||-----|--|
ieuoifaitilunemeruoille	-|--|---|-|--|--------|
locorbsorloudols d	-|---|--|--|---||
iesiaifait li corbe ls dit	-|-|-|---|-|-----⌫-|--|
fai autret elsen scontredit	--|------⌫-|---⌫|--------|
lileusre spont	-|---|--⌫----|
n en f erai r ien	|-|-⌫---|-⌫--|
iseoieiesaibien	|----|-|--|---|
quetot esgen s	--|---⌫-|---⌫|
mehueroient	-|--------|
detotesparsmescriero ie nt	-|----|---||--------⌫--⌫-|
queiel a uold r oiema ingi er	--|-|-⌫|----⌫-⌫--|--⌫----⌫-|
nemil arroient apro chier	-|||-⌫-------|----⌫----|
en c ies tildelt richeor	--⌫-⌫|--⌫|-|--|-⌫------|
estetenpa or	--|-|-|--⌫-|
saconscience	-|---------|
lere prent	-|--⌫----|
que tuit conoisse ntson talent	--|---|--------⌫-|--|-----|
qu efo rmentpo iseaudes loial	--⌫|--⌫----|--⌫--|-|---⌫----|
q u ennetorneson bien amaul	-⌫|-|-|----|--|---||---|
r ac ontequigratoit	-⌫--⌫---|--|------|
deiosteluiuit zz golpilz	------|--|--|-|------|
e tsil ap ellap ar biaus dis	-⌫|-||--⌫---|-⌫-|----|--|
ilmolt estésb el	-|---|-----|-⌫-|
onquesne uisigent	-----|-|-|-|---|
clere uois	----|---|
as sortoterien	-|--|---|---|
fortonpere cedi	--|--|---|-|-|
onque s oisiaussine chanta	-----⌫|------|-|-|-----|
mai silditmue x	---⌫|-|--|---⌫|
q uequeil disna	-⌫-|--|-|--|||
sipuiz iefai reditli col s	-|---|-|---⌫-|--|-|---⌫|
leseles batleseuzat	--|---|--|--|--|-|
chante rcuida plusclerement	------⌫|----|---|--------|
etligolpis alacelprent	-|-|-----|--|--|----|
fores t a tant senua	-----⌫||---||-|-|
parmizz cham p	----|-|----⌫|
oui l passa	-|-⌫|----|
apres corrurentl ipastor	----|--------|-⌫|-----|
les chiens huerent la en tor	--|-----|------|-|--⌫--|
uer l ou g olpil	--|-⌫-|-⌫----|
quilouco cti ent	--|--|--⌫|--⌫--|
cha rio iaseparci uient	---⌫---⌫-|-|--|-|----|
uafait licos	-|---|-|--|
s i lo rescrie	-⌫|--⌫|-----|
queiesui t uensnenauro ntmie	--|-|--|-⌫---||-|----⌫-|--|
uuet palerenhaut	---|----|-|---|
etlicosdesa	-|-|--|-|-|
bouchesaut	-----|---|
demau ta lent etdedroit	-|---⌫--⌫---|-|-|----|
la boucheconmenc e	-|-----|-------⌫|
qu eparo llequant	--⌫|----⌫--|----|
ildoittai re	-|---|---⌫-|
li cosre spontsido iie	-|--|--⌫----|-|--⌫|-|
luelmaldiraiqu euu etc ligni er	|--|-------|--⌫|--⌫-|-⌫-----⌫-|
conil doi tgarder	--|-|---⌫|-----|
et gai ti er	-|---⌫--⌫-|
quem aus neuie gneson signor	--|-⌫--|-|---⌫--|--|-----|
icefontlifolli plusor	--|---|-|--|-|-----|
parollentquantd oie n t c esser	--------|----|-⌫---⌫-⌫|-⌫----|
te s sentquantd euroientparler	--⌫-⌫---|----|-⌫-------|-----|
d uncoloncontequi iadis	|-|----|----|--|----|
estoit sorune c ro ix assis	-----|--|--|-⌫--⌫-|----|
li c olpisui ntdesors idit	-|-⌫----|--⌫-|----|-⌫|--|
enhaut pa rla si	-|---|--⌫--|-|
porc o i faitil s iez tu lass u s	--|-⌫-⌫|---|-|-⌫--|-|----⌫-⌫|
ason gr a n t uentoruien	|--|--⌫-⌫-⌫|---|-|---|
sisielezmoi enc estambri	-|--|--|--|-|-⌫--|----|
osparfoi cilre spond i	-|--|--|--|--⌫-----⌫|
por n iantaspaorde	--|-⌫---|-|---|-|
sit efa ibien	-|-⌫|--⌫|---|
dir epo rcoi	---⌫|--⌫|--|
iefu iadi s	-|-|----⌫|
azz degres	|-|-----|
ougrantpueb leo t assemblé	-|----|----⌫-|-⌫|--------|
z zbue fiuint de	-⌫|---⌫||---|-|
par louroi	--|--|--|
si conmandaendroitefoi	-|-------|-|-----|--|
quebe steaautre	--|--⌫--||----|
ne meffece	-|------|
i a deunepla ce	-⌫|--|-|---⌫-|
queentr elsait sifaiteguerr e	--|---|--|--|-|----|-----⌫|
uuetpasmet tre	---|--|---⌫--|
ens ate rre	-|-⌫|--⌫--|
ensemblepuent	-------|----|
oisialsetb es tespor ioer	------|-|-⌫--⌫--|--|---|
dontira iieditli	---|---⌫|-|--|-|
m aisg iuoil a	-⌫--|||--|-⌫|
lezcesboiss o ns	--|--|-----⌫-⌫-|
yych eual iers molt tostaler	-|--⌫----⌫---|---|---|---|
se fo nty y chiensoalsaler	-|--⌫-|-⌫|-----||--|---|
dist ligolpizso ntil mol tpres	---|-|-----|--⌫-|-|---⌫|---|
il cheuach e ntfaitil ades	-|-------⌫-⌫-|---|-|---|
muexes tquencel ebroc euoise	---|--⌫|-|-|---⌫|----⌫|----|
q ueperaus	-⌫-|--|--|
aie estrifneno ise	--|-----|-|--⌫--|
nesai s ilo ntl e brief oi	-|--||-|-⌫-|-⌫|----|-|
que uin t delroiie l u os	--|---⌫|--|--|-||-⌫-|
nemecouenis tre mueer	-|-|-------⌫|--⌫----|
silleussentoi	|-||------|-|
desfellonsuiziez	--|------|-----|
perauss on t plusor engigniez	--|--|-⌫--⌫|-----|--------|
parparolleparfaussermon	--|------|--|---|-----|
c oncis tuoltfairelec olon	-⌫-|---⌫|---|----|-|-⌫---|
liaiglesestdesois iaxrois	-|-----|--|--|---⌫--|---|
porcequiliert lipluz cortoiz	--|-|-|-|---|-|---|------|
etli ostor sce sse nes chaus	-|-|-----⌫|--⌫|--⌫---⌫----|
sen estilmie tozloiaus	-||--|-|--|--|-----|
liaigles sistparzzgra ntchalt	-|-----|---|--|-|---⌫-|----|
branched u n chesnehalt	------||-⌫|-----|---|
liostorssistp lus	-|-----|---|-⌫--|
gardaso rsois i	----|--⌫|--|-⌫|
descolonsquedesoraloient	--|-----|--|----|------|
quealaterre entraussuoloie nt	--||-|----|---|---|------⌫-|
uos i oezfaitildesormoi	--|-⌫--|---|-|----|--|
ue ezci laigle nostreroi	--⌫-|-||----|-----|--|
d e cire mue z	-⌫|-|--⌫---⌫|
e t sor zzautr efustalez	-⌫|--|-|----⌫|---|---|
ligeusi roitenautr e guise	-|---|-⌫---|-|----⌫|----|
iefer oi edeuosiu sti ce	-|---⌫--⌫|-|--|--⌫---⌫-|
por cenedoit	--|-|-|---|
princesuoloi r	------|-----⌫|
sen es chaule nsonreinnea u oir	---⌫--⌫----|-⌫|--|-----|-⌫-⌫--|
nec ouoi teus nementeor	-|-⌫----⌫---|-|------|
silne uuetfaireson	|-|-|---|----|--|
uns cheuals ui tquel er be cru it	--|------|--⌫|--||--⌫-|---⌫-|
dedens zzpremainapa rcut	-----|-|--|--||---⌫---|
dontc los estlipr ez	---|-⌫--|--|-|--⌫-|
a usaillirens	-⌫|------|--|
est a scemez	--|-⌫-----|
ce f ont plusorbienlous auez	-|-⌫--|-----|---|--|-⌫---|
tantcouoitent loruolentez	---|--------|--|-------|
n euoie ntpas que leauentu re	-⌫|----⌫-|--|---⌫-|------⌫-|
en uientapres	-|----|----|
p esansetdure	-⌫----|-|---|
unsricheshom ceditauoit	--|-----|--|-|--|----|
zz chiual que u endre uoloit	-|-----|--|-⌫----|-----|
etzzsuen bu estout	-|-|---|--⌫-|---|
por yy d itaces	--|-|-⌫-||--|
q uechascons dausuoloitdoner	-⌫-|-------||--|-----|----|
lou uoloitacha ter	--|-----|----⌫--|
unsmarcheansle sbargaigna	--|--------|--⌫|--------|
lou ch eualditqui l	--|--⌫---|--|-|-⌫|
mai slibuesneualoitniant	---⌫|-|---|-|-----|----|
li richeshompar mautalan t	-|-----|--|--|--------⌫|
distquand ous	---|-|---⌫--|
lesachatero it	--|--------⌫-|
oque a mebedous li	|--|-⌫-------|||
ueor poezde lnonsechant	---|---|--⌫|---------|
que loum aul p rise	--|--|-⌫--|-⌫---|
aut re tant	---⌫--⌫---|
bien totig alment	---|--|--⌫-----|
ne pue tlass ierson	-|---⌫|----⌫--|--|
cinosrecontequezzleu s	-|--|------|--|-|---⌫|
en uneg r aingedormoit seus	-|--|-⌫-⌫----|------|---|
desozlacoeaua lli	----|-|--|---⌫|-|
unse schar bosdeci	--|-⌫-----⌫--|---|
lil euss aut	-|-⌫--|-⌫--|
suzsisesuei lla	--|-||-----⌫--|
mol tangois s o us ement cri a	---⌫|------⌫-⌫-⌫--⌫----|---⌫|
tantuuitra et tantsalli	---|-----|-|---|----|
esc harboss	---⌫-----||
quantlileuslasgardaetdoit	----|-|---||------|-|---|
mol t l iresem bla grant despit	---⌫|-⌫|-----⌫--|----|-----|
hailaisfai til dolanschaitiz	--|---|---⌫|-|-----|------|
quededen smoiestoies mis	--|-----⌫|--|------|--|
li escharbos a	-|--------||
ce rtes faitilbien est	--⌫---|---|-|---|--|
que i eualassezmuez de toi	--|-⌫|--|----|---|-|--|
quetudemoi nestelbeffo i	--|-|-----⌫--|--|-----⌫|
or assemble	-|-------|
taco npag nie	-|--⌫----⌫--|
etcels quete	-|---|--|-|
etierasembleraimesgens	-|-|----------|--|---|
etmes amisetmes	-|--|---|-|--|
demainte nonsune bataille	-----|--⌫---|--|-------|
emmice s chans seronsse n s faille	---|--⌫|----|-----|--⌫-⌫|-----|
enci liotroié	---|-|------|
etporcesaides enuoié	-|--|--|----|------|
li escharb osm and a	-|-------⌫-|-⌫---⌫|
ni auoit nulf ellonrem ez	||----|--|-⌫----|---⌫-|
ne g ros se moisse necor cet	-|-⌫---⌫-|-----|-|---⌫--|
ne bon eg uesbeneguebet	-|---⌫|-⌫----|-|-----|
deuoientaproch ier	-------|------⌫--|
lileusuot less ue ns e nsignier	-|---|--|--|-⌫--⌫-|-⌫-------|
conseilceditlorconuientp rendre	------|-|--|--|-------|-⌫-----|
silseuuelent a alsdeffendre	|-|-|------||--|--------|
chascunc onuientgarder sac o e	------|-⌫------|-----|-|-⌫-⌫|
o ili ra a male uoie	|-|-⌫-||---|---|
et li cers di torno srend ons	-|-|---|--⌫|-|--⌫|----⌫--|
decele p arte testopons	-|---|-⌫--|-⌫|-------|
qu enepuisse dedens e ntrer	--⌫|-|-----|-----|-⌫----|
lor poronsplusseur aler	--|-----|---|---|---|
conmuneme n t	---------⌫-⌫|
que bendei	--|-----|
sesontfermement	-|---|--------|
mai squantse uint alasemblee	---⌫|----|-|---|||-------|
uneguesbec estdereee	--|-----||--|-----|
si pointlou	-|----|--|
s erfper les costex	-⌫--|--|--|-----|
etilsailletozeffraez	-|-|-----|--|------|
meffistuilaigneme nt	------|----------⌫-|
etlabe ndedes r ont etfent	-|-|--⌫--|---⌫-⌫--|-|---|
etditlileus quiest oit	-|--|-|---|--|---⌫--|
pora mor deu n iestonsmais	--|-⌫--|--|||-----|---|
tro pp arnosest mesauen us	---⌫|-⌫-|--|--|-------⌫-|
quant li liens estder ompuz	----|-|----|--|---⌫----|
fuo nsn osanhastiuement	---⌫-|-⌫-|-|----------|
s enos idomorons	-⌫|--||-------|
niau raia z zseulde	||--⌫-|-|-⌫|---|-|
qu esor la coe n	--⌫|--|-|--||
cestessempl euosdide cels	---|-------⌫|--|-|-|---|
que despisentlesmenorsdels	--|--------|--|-----||--|
tant lesauillent de	---|--|-------|-|
quiau besoig en so nt honi	--|-|-----|-|--⌫-|---|
etm uexs eseuent	-|-⌫--|-⌫|-----|
cilai d ier	--|--⌫-⌫--|
la o uilontgregn ormestier	-|-⌫|-|--|-----⌫-|------|
par ess emple uuel conter	--|---⌫----|---|-----|
quetre s t utsesontenuilli	--|---⌫-⌫-⌫-|-|---|------|
en icelpoilouil	-|---|---|-|-|
tiennen ttotlor a e	-------⌫|--|--|-⌫|
qu e sorlou leumetr oitbonmestre	--⌫|--|--|--|----⌫--|--|-----|
ense gn ast aestreprestre	----⌫--⌫--||----|------|
toziors grie zlil eus	--|---|----⌫|-|-⌫--|
e ngrez lais	-⌫----|---|
ci nosraconte d un ostor	-|--|------||-|----|
quesorz zfustce	--|--|-⌫|---|-|
cis tzzior	---⌫|-|--|
ou lirosignor s	-|-|--------⌫|
queces oisele s	--|--|------⌫|
a soilou prist	|--|--|----|
sel iconma ndaa	-|-⌫|-----⌫--||
siref ai t il ieneporoie	---|-⌫--⌫|-|-|-|-----|
tantconcipres dem oi	---|--|-|---|-|-⌫-|
s iluospl aisoita remue r	|-|--|--⌫-----||-----⌫|
e tsorzzautr efustmonte r	-⌫|--|-|----⌫|---|-----⌫|
i e c henteroi emolt plus	-⌫|-⌫--------⌫|---|---|
cese uen t tuitliautreoi sial	-|--⌫---⌫|---|-|----|--⌫---|
a utreciest demainte gent	-⌫-----|--|-|-----|---|
passeurement	--|--------|
ildoiuent bie n parler	-|------|---⌫|-----|
siconl aou	-|--|-⌫|-|
est uet do uter	---⌫--|--⌫---|
duncorbel c ontequi t roua	|-|-----|-⌫---|--|-⌫---|
parmiz zchamp o u	----|-⌫|----|-⌫|
plumes etpennes	-----|-|-----|
s iesgardatotenuir on	-⌫|------|--|-----⌫-|
uilsot quenuloisia l	--|--|--|--|-----⌫|
quilne seui t sibial	-|-|-|-|--⌫|-|---|
to tesc esplumesarracha	--⌫--|-⌫-|-----|------|
c onques une n enilassa	|-----|--||-||----|
despl um es aupoonsa torne	--|--⌫--⌫-|-|---||-⌫----|
et trestot soncorsenaorne	-|------|--|---|-|----|
sis asemblaolespoons	-||------||--|----|
ne semblap aslor conpagnons	-|-----|-⌫-|--|---------|
oleseleslesdebatirent	|--|---|--|---------|
etsepisporen tpisli	-|-|--|-----⌫|--|-|
lorsr euotauscorbel s aler	---|-⌫---|--|------⌫|---|
porcorbelsembler	--|-----|------|
ontt otdesconneu	--|-⌫-|--------|
silontch a c iéet	-||--|--⌫-⌫-⌫--|-|
en ueoirdes p lusors	-|----|--|-⌫-----|
quiauorson te tgrans	--|----|--⌫|-⌫|----|
encoruo lroient	----|--⌫------|
plus collir	---|-----|
puent retenir	----|------|
ce quilcouoit e ntn	-|-|-|------⌫-⌫-||
etloulor pe r dentpa rfolie	-|--|--|--⌫-⌫---|--⌫|----|
un slyo nsestoitdehai tiez	--⌫|---⌫-|-----|-----⌫---|
demals o rprise tenpiriés	-|--|-⌫-⌫----|-⌫|--------|
totesles bestes ialerent	----|--|-----||------|
entrealsdistrentetesgarderen t	----|--|-------|-|----------⌫|
qu enloude u s tme d eci ner	-|-|--|--⌫-⌫-⌫|--⌫-⌫---⌫--|
se nus ense i tconseldon er	-|--|-|--⌫-⌫|-----|---⌫-|
augolpilse tindren tplusor	-|-----|-|-------⌫|-----|
best esseit lou retor	----⌫-|---|--|----|
eta us o isi ausrese tparler	-|-⌫-|-⌫---⌫--|----⌫|-----|
mecine quer reetdema nder	-----|----⌫-|-|----⌫---|
p armesaigele f ontsemondre	-⌫-|------|-|-⌫--|-------|
et ligo lpissalarep ondre	-|-|--⌫---||--|---⌫----|
l ezla saule sestoit	-⌫-|-|----||-----|
quecointesest etueziez	--|------|--|-|-----|
lionssen corre ca	----||-|-----⌫-|
lou l eu so npreuostapella	--|-⌫-|--⌫|------|-----|
dem anda liporcoi neu int	---⌫---|-|--|--|-|-⌫--|
lileusrespontr ie nne men t int	-|---|------|-⌫--⌫|-||-|-⌫--|
forlengrescedeson corage	--||-------|-|--|-----|
quegienuoi amonmesaige	--|||-----⌫|--|------|
amenlou fe r aietprendre	---|--|--⌫-⌫-|-|------|
uosloufaitesardoir oupen dre	--|--|-----|-----|-|---⌫--|
celchastiezsifaitement	--|-------|-|--------|
que s sempleip rennentsi	-|-⌫-⌫-----||-⌫------|-|
ligolpizot quifu	-|-----|-|-||-|
molt durementf uesmaiez	---|-------|-⌫|------|
pas apa sest auantuenu s	--||--⌫|--|----|----⌫|
que desb este ses tb i esseuz	--|--|-⌫----⌫|--⌫|-⌫-⌫-|---|
quec uierstu ce d it li lyon s	--|-⌫----|-|-|-⌫-|-|----⌫|
etillidit ensonre spont	-|-|-|--|-|--|--⌫----|
simais tdeusbiaus	-||---⌫|---|----|
ne s ai q ueiefe isse ancois	-|-⌫-|-⌫-|-|--⌫---|-----|
quemec ineeusse	--|---⌫--|----|
p uiz aierré main te ior nee	-⌫--|-|----|----⌫-|---⌫--|
queo i uostreconmandemen t	--|-⌫|-----|-----------⌫|
enselernefuuoirement	-|------|-|--------|
limiremandei	-|---|-----|
quioirentuostre enfertei	--|-----|-----|-------|
quezzl eusso ite scorchiez uis	--|-|-⌫--|--⌫-|-⌫--------|--|
si soi tlisans enla	-|---⌫|-|---|-|-|
sozuostres pieziu sq u	--|------|---|--⌫--⌫|
de uostremaul uos rendraisain	-|-----|---|--|------|---|
loule u pre nnenetqueilluecfu	--|--⌫|---⌫-----|--|-----|-|
sil escor chetantlonttenu	-||-----⌫--|---||--|---|
fulap iaulb a illie	-|-|-⌫---|-⌫-⌫----|
etsis enuaa granthachie	-|-||-|-||----|-----|
for s de lamai son	---⌫|-|-|---⌫--|
la uindre ntmoi sses et toon	-|------⌫-|---⌫---|-|---|
siloutrait erent malement	-|--|-----⌫----|-------|
etgol pisuint	-|---⌫--|---|
selidem ande qu eilfi st	-|-|---⌫---|--⌫|-|--⌫-|
quesenssa pialillu ecs acist	--|---|-|---|----⌫-||----|
