quipetitseime petit quiau t	--|----|----|----|-----⌫|
main dunesa iet e	---||--|--⌫---⌫|
atantcomma ndeque lanmete	----|-----⌫--|--|--|---|
les tablesetelessont mises	--|-----|-|---|---|----|
et leianzausoperass ises	-|-----|-|----|---⌫---|
aumangi er ontmout	-|-----⌫-|--|---|
petit si s	----|--⌫|
mo u t granttalantlontpris	--⌫-⌫|----|-----||--|---|
a pr esmang iersedepartirent	-⌫--⌫-|----⌫--|-|----------|
c il remes tren t quisandormirent	-⌫-|-----⌫----⌫|--||----------|
quelautre nuit uei lliéauoi ent	--||----|---|---⌫----|----⌫--|
issentquid euo i en t	-----|--|-⌫---⌫-⌫--⌫|
lanuitp arlo	-|---|-⌫-|-|
c hast el gaitie r	-⌫----⌫-|------⌫|
serg e ntfurent	----⌫-⌫-|-----|
etc heu alier	-|-⌫---⌫----|
li s erge ntquilanu itueillierent	-|-⌫----⌫-|--|-|--⌫-|----------|
mo utsetr aueillierent	--⌫-|-|--⌫-----------|
deloros teb ien	-|--|--⌫-|-⌫--|
bonsdraset cou ertoro t	---|---|-|---⌫----|-⌫|
etoreillier	-|--------|
auchiefli metent	-|----|-|-----|
cilquidocochier s ent remetent	--|--|-|------||---⌫-------|
trestotelaise	-------||---|
etlo delit	-|-|----|
quansaiched euiser en lit	-|-|-----|-⌫-----|-|--|
otl i cheualiers celenu it	-|-⌫|---------|---|--⌫-|
forsquesolemantde deduit	------|-------|-|-----|
depuc ele q ue ilaust	-|---⌫--|-⌫-|-|---|
o dedamese lui plaust	|-|---|-|--|-----|
maisil nens auoitnulerien	---|-||-|-⌫----|---|---|
d enuleautr erien	-⌫|---|----⌫|---|
sis andormi a u quespartans	-||------|-⌫-⌫---|--|---|
qu iln estoitder ienene spanz	-|-||-----|-|-⌫--|-|-⌫----|
ma issostessepasnere pose	--⌫-||------|--|-|--⌫---|
quide d an zsachanbree st enclose	--|--⌫-⌫--⌫|-|------|-⌫-|------|
celepan se	---|---⌫-|
quen aen li nule des fanse	--|||-|-|---|---⌫----|
dunebat ail lequilasau t	|--|---⌫---⌫-|--||----⌫|
trestoteet mouttressaut	-------|-|---|-------|
moutse gietemoutsedemai ne	---|-|----|---|-|-----⌫-|
un mantelcortdesoie en	-|-----|---|-|---|-|
ha afublésorsache mis e	-|------|--|-|---⌫---⌫|
ena uanture mise	-|-⌫------|---|
commehardi eetcor aigeuse	----|-----⌫|-|---⌫------|
ma isc ene stmieporoiseuse	--⌫-|-⌫||-⌫-|--|--|------|
ainzsep orp anse que leira	---|-|-⌫---⌫---|-|-⌫-|--|
asonosteet si li	|--|---|-|-|-|
deson afaire zzpartie	-|--|-----|-|-----|
lorsestde son lit dep artie	---|--|-|--|--|---⌫----|
etissue or s	-|----|--⌫|
dela cha mbre	-|-|---⌫---|
sat elpaor quetuitlimembre	||-⌫-|---|--|---|-|-----|
li tranblen tet licors lisue	-|--------⌫|-|-|---|-|--|
plorante st del achanbre issu e	------|-⌫-|-|-⌫|------|----⌫|
etui entaulit	-|--⌫--|-|--|
ou cilse dort	-|--|-|---|
lorsplore e tsop iremoutfort	---|----|-⌫|---⌫--|---|---|
si saclin eet age noil le	-||-----⌫|-|---⌫----⌫-|
et ploresiqu el e limoille	-|----|-|-|--⌫|-|-----|
d essesle rmesto telaface	-⌫-|--|--⌫---|--⌫-|-|---|
neha rd emant n a que	-|--⌫--⌫----|||--|
tant a ploréq ue	---||-----|-⌫-|
cilsesuoille	--||-------|
sis esbaist mout etmeru oille	-||------|---|-|----⌫----|
de saf acequ	-|-|-⌫--|-|
isantmoilliee	|---|-------|
etuoit celiage noilliee	-|---|---|---⌫-------|
deuant sonlitsilotenoit	-----|--|--|-|-|-----|
colenbraciéestroit	--|--------|------|
ettant decor t o isiefi st	-|---|-|---⌫-⌫-⌫---|--⌫-|
se sbra z l arepr ist	--⌫|---⌫|-⌫|----⌫--|
mainte nantanuersl ise trait	------⌫---|-----|-⌫|-|----|
sil i deman de	-|-⌫|-----⌫-|
queli pl aist	--|-|--⌫---|
porc oi estes uenueci	--|-⌫-|----|----|-|
hagentis cheualiersmerci	-|-----|---------|----|
pord euo spr i	--|-⌫|--⌫|--⌫|
etp or merci	-|-⌫-|----|
anaiezplusuil	-|---|---|--|
deceque ie suiciuenu e	-|-|--|-|--|-|----⌫|
porc equeiesui presque	--|-⌫|--|-|--|------|
i eni pansai	-⌫|||-----|
o nq ues folie	-⌫--⌫--|----|
ne maluois tieneuilenie	-|-------⌫--|-|------|
qu ilnaoumon de	-|-|||-|---⌫-|
rien quiuiue	---|--|---|
tantdolantenetantchaitiue	---|------|-|---|-------|
queienesoieplus	--|-|-|---|---|
rienqueiaie nemedelite	---|--||--|-|-|-----|
neso i eplusdolan te	-|--⌫-⌫|---|-----⌫-|
conques zzi o rsanz ma l ne	|-----|-|-⌫-⌫|---|--⌫|-|
en sinmalauree sui	--⌫--|-------|--|
neiene uerr aiiamais nuit	-|-|-|----⌫-|-----|---|
que s ol em ant c eledanuit	--|-⌫--⌫--⌫--|-⌫--||----|
neiorq uecelui de	-|--|-⌫-|----|-|
ancoismocirrai demam ain	-----||------|-|-|-⌫--|
deyych e ualiersetdiz	-|-|--⌫-⌫------|-|--|
d o nci st chastes	-⌫-⌫|--⌫-|------|
estoitga rniz	-----|--⌫---|
n ace ianz remes	||--⌫---|----|
quekar ante	--|---⌫---|
y yma insce	-⌫|--⌫--|-|
