COUS T UMES	----⌫-⌫---|
Paro le des prueuesetdefaussertesmoins	----⌫-|--|------|-|-|------|-------|
etd esespurgemensetdu	-|-⌫-|----------|-|-|
peril quieste n	----|--|--|-⌫|
menacier etde dire	-------|-|-|---|
contret esmoinsetqueus	-----|-⌫------|-|----|
caspueent cheoir en pr ueue.	--|-----|-----|-|--⌫---||
Par oled esenquesteurse tdes	---⌫--|-⌫-|----------|-⌫|--|
aud it eursetdesapr isesetdeexaminertesmoin setde	---⌫--⌫---|-|--|---⌫---|-|-|-------|-------⌫|-|-|
lad isference	-|-⌫--------|
q uies tentreapri s e etenquesteetde	-⌫-|--⌫|----|----⌫-⌫|-|-------|-|-|
deb atre te smoin s.	---⌫---|--⌫-----⌫||
arbitres etdu pou oirquilont etliquel	-------|-|-|---⌫--|-|-|--|-|-----|
u ale ntetliquelnonetcomme ntarbitragesfautetde	-⌫---⌫-|-|-----|--|-|-----⌫-|---------|---|-|-|
lens epu etmetreenarbitrage.	|-|-⌫|--⌫-|----|-|--------||
Paroledespeines quisontpramisesen	-----|--|-----|--|---|-------|-|
q u elca s	-⌫-⌫-|--⌫|
elesfontapaieret en quelcas	---|---||----|-|-|---|--|
disferen cequiestentre	--------⌫-|--|--|----|
pein edecorse tp eined	----⌫|-|---|-⌫|-⌫---||
XLIII. cap	-----|--|
Paroledesp legeries e tcom mente tenquelman iere	-----|--|-⌫-------|-⌫|---⌫---|-⌫|-|---|---⌫---|
l e n doitdeliurersespleg esetdes dama gesque	|-⌫|---|-------|--|----⌫-|-|--|----⌫--|--|
lendoit rendr een courtlaie e t quipuet	|-|---|-----⌫|-|----|---|-⌫|--|---|
pl egier etqueus iou rnees chascuns doit	--⌫----|-|----|---⌫----|-------|---|
XLIIII.cap	------|--|
Paroledes res cousse sd eseritag es	-----|--|---⌫------⌫|-⌫-|------⌫-|
e s change setqueli bar atne soient s oufert.	-⌫-⌫------⌫|-|--|-|---⌫-|-|-----|-⌫-----||
Par oledes aueuset des desau eus	---⌫--|--|----|-|--|-----⌫--|
etde s seruit ud esetdesfran chises	-|--⌫|------⌫--⌫-|-|--|----⌫-----|
etdupe ril quies te n	-|-|--⌫--|--|--⌫|-⌫|
de sauoueret comm entlendoi t s uir	--⌫------|-|----⌫--||-|---⌫|-⌫--|
ceu s qui se	---⌫|--|-|
d esau e uent .	-⌫----⌫-⌫---||
Paro le delagardede seglise set c omment	----⌫-|-|-|----|--⌫|------⌫|-|-⌫-----|
l en doitpugnir ceusquile ur	|-|---|-----|---|--|--⌫-|
m esfontetdes deus espeeslunetempore l etl	-⌫-----|-|--|---|-----||--|-------⌫|-||
autreesperituelet quel damageeglisepue tauoirde	----|---------|-|---|-----|-----|---⌫|----|-|
desauouer s on	--------|-⌫-|
droitsei gneur .	----|---⌫----||
XLuII. cap	-----|--|
Pa rolecommentli fiefpu een talongie retraprochier leu rseigneurs	--⌫---|------|-|---|--⌫---⌫|-------⌫|-|---------|---⌫|--------|
selo nc lacoustum e	----⌫-|-|-------⌫|
Beauuoisinsetque li	----------|-|--|-|
tena ntseg arden tdepartircontrecous tume	----⌫-|-|-⌫-----⌫|-|-----|-----|----⌫---|
XLuIII .cap	------⌫|--|
Pa r ole comm entlihomme	--⌫-⌫--|----⌫--|-|----|
de poostépu eent tenirfiefen	-|------|--⌫---|----|---|-|
foietenhommageet	--|-|-|------|-|
co mmentill e doi uen tdeseruir .	--⌫----|-|-⌫|---⌫---⌫|-------||
Parole des establ issemensetdutans ouqu elcou stu mene	-----|--|------⌫-------|-|-|---|-|--⌫-|---⌫---⌫-|-|
doitpas estregar deepour cause	---|--|----|---⌫--|---|----|
denecessités qu i	-|----------|--⌫|
aui enen t.L .cap	---⌫----⌫|--⌫|--|
Parole des	-----|--|
gens desbo nnes ui lesetde leur	---|--|--⌫---|--⌫--|-|-|---|
comm ent ildoiuentestre	----⌫--|-|------|----|
gardé et iusticiési qu i lpuissentuiur een	-----|-|--------|-|-|-⌫|-------|----⌫|-|
P arolepour queuscausesil loit asseigneursa	-⌫----|---|----|-----|-|---|-|--------||
saisiret a teniren leurs	-----|-||----|-|----|
mainse tcommentilen	----|-⌫|------|-|-|
doiuentouurer aupo urfi tdeleurso ugie ̀s et en	------|-----|-|--⌫----⌫|-|---|--⌫----⌫-|-|-|
garda n t leur	-----⌫-⌫|---|
Parole des choses	-----|--|-----|
desfenduese tdespris esq uisontfetespourmesfès o u	---------|-⌫|--|----⌫-|-⌫-|---|----|---|------|-⌫|
pourd amagese tcommentl	---|-⌫-----|-⌫|------||
en doitpren dre et o uur erde	-|---|----⌫--|-|-⌫---⌫-|-|
eritage s uendusparforc eet	-------⌫|-----|--|----⌫|-|
des uent es.	--|----⌫-||
LIII . cap	----⌫|--|
Paroledesr ecreances	-----|--|-⌫--------|
eten quelc as	-|-|---|-⌫-|
le ndoit fere	|-⌫|---|---|
recreance ete n quel nonetco mmen trec reancedoitestre	--------|-|-⌫|---|--|-|--⌫----⌫|---⌫-----|---|----|
requis e etcommentele	------⌫|-|------|--|
doitestrefet eescas	---|----|---⌫|-|--|
esqueuselech iet	-|----|--|--⌫--|
Parolec o mmentl endoit	-----|-⌫-⌫----||-|---|
fere pai er	---|---⌫-|
lescreancierset	--|---------|-|
garder deda mage	-----|-|--⌫---|
etlama nie re de p rendree sme sonset po ur	-|-|--⌫---⌫-|-|-⌫-----|-⌫|--⌫---|-|--⌫-|
que lca set commentl en doit met r egar de	---⌫|--⌫|-|------||-|---|---⌫-⌫|---⌫-|
seurautru iet queuslesgardesdoiuent	---|-----⌫|-|----|--|-----|------|
Parole desre clameurslesquelessontfetes adroit et	-----|--|--⌫-------|--------|---|----||----|-|
lesquelesa tort et com ment	--------||---|-|---⌫---|
liseig neurendoiuent o uure r.	-|----⌫---|-|------|-⌫----⌫||
Pa r ole deceus	--⌫-⌫--|-|---|
quinedoiuentpas tenire rit age etquel en	--|-|------|--|----|-⌫---⌫--|-|--||-|
doitferedes	---|---|--|
fous et des	---|-|--|
forsenés etdela	--------|-|-|-|
gar d edesosteleries	---⌫-⌫|--|---------|
et desmaladeries	-|--|---------|
etaquilag ard eetla	-||--|-|-⌫---⌫|-|-|
iusticeenapartient.	------|-|--------||
LuI I. cap	---⌫-|--|
Paroledesmautalensqui mueuenten trehomme	-----|--|--------|--|------|--⌫--|----|
etfam equisont asse mbléparmariage comme nt	-|---⌫|--|---|----⌫----|--|------|-----⌫-|
liseigneur endoiuent	-|-------|-|------|
pourqueuscauses	---|----|-----|
il l o ita d epartir	-|-⌫-⌫-||-⌫------|
del autr e.	-||----⌫||
Lu I II.cap	--⌫-⌫--|--|
Par olede haute iustice	---⌫--|-|----|------|
etde basse etdes cas	-|-|----|-|--|--|
q uiap artienent al une iusticee t	-⌫-|--⌫--------|||--|------|-⌫|
alautre et de ceus	||----|-|-|---|
quiuont arméparautrui iustice et	--|---|----|--|-----|------|-|
soi tsoufert ed eu il ain	---⌫|-------⌫|-⌫|-⌫--⌫--|
que li souuerainpueentpren dre les	--|-|--------|-----|----⌫--|--|
forterecesde leur sougiès	---------|-|---|-------|
Paroled esguerrescomm ent guerre	-----|-⌫-|------|----⌫--|-----|
parcoustumeetcomment elefa utetcomme ntl en	--|-------|-|------|--|--⌫-|-|-----⌫-||-|
sepu et aidier d edroitdeguerr e .	-|--⌫-|-----|-⌫|----|-|-----⌫||
Parole des	-----|--|
t riue se tdesass euremen set lique lenpueentestre	-⌫----⌫|-⌫|--|---⌫-------⌫|-|-----⌫|-|-----|----|
mis horset du p erildelenfr aindre.	--|---|-|-|-⌫---|-||----⌫-----||
Paroledesapeaus	-----|--|-----|
et commentlendoitformersonapelet	-|------||-|---|-----|--|---|-|
dequel cas	-|---|--|
len pu etapele retdep our su irsonapel et	|-|--⌫-|-----⌫|-|-|-⌫---⌫--⌫-|--|---|-|
d esbanis ete n	-⌫-|----|-|-⌫|
queusarmesl ensecombat .	----|----||-|-|-----||
L XI I.c ap	-⌫--⌫-|-⌫-|
Paroled esapeaus qu is on t	-----|-⌫-|-----|--⌫|-⌫--⌫|
fespourdefautede	--|---|------|-|
dr oit etco mmentondo itsomme rso n seign eur auantque	--⌫--|-|--⌫----|-|--⌫-|-----⌫|--⌫|-----⌫--|----|--|
bon apelcontrel ide defaute	--|---|-----|-⌫|-|------|
LX III.cap	--⌫---|--|
Parolequ eusdefense s	-----|--⌫--|-------⌫|
p ueentualo ir aceusqui sontapelé	-⌫----|----⌫-||---|--|---|-----|
pouranie ntirles gagesetdesca s	---|----⌫---|--|----|-|--|--⌫|
desqueusgagenefontpas	--|----|---|-|---|--|
are ceuoir.	|--⌫-----||
LXIIII. cap	------|--|
Parolede spresentacionsquidoi uentest re fe tesen	-----|--⌫|------------|--|---⌫---|---⌫-|--⌫--|-|
pletdegagesen	---|-|----|-|
a rme set enp aroles etdesser emens	-⌫---⌫|-|-|-⌫-----|-|--|---⌫----|
e tdes choses	-⌫|--|-----|
quiensi e uentdusquesalafin de la bataille	--|----⌫-⌫---|------||-|--|-|-|-------|
Paroledesdelais que cous t ume donne etdesre s pis que	-----|--|-----|--|----⌫-⌫--|----|-|--|--⌫-⌫--|--|
li hommepueen t prendreau antqu il p uissent	-|----|-----⌫|------|--⌫--|-|-|-⌫------|
ne ne doi uente streco ntraint	-|-|---⌫---|-⌫---|--⌫------|
defere iugement.	-|---|-------||
P arole d erefuserlesiuges et	-⌫----|-⌫|------|--|----|-|
enqu el cas	-|--⌫-|--|
unsseu stesm oin sestcreuset	--|---⌫|----⌫---⌫|--|----|-|
queli seigneurfa cent uiguereuse ment	--|-|-------|--⌫---|----------⌫---|
te nire tmetre aexecucionce qui est	--⌫--|-⌫|----||--------|-|--|--|
iugiéet p assésansapel .	-----|-|-⌫----|---|---||
Paroledesiugemensetdelam aniere	-----|--|-------|-|-|-|-⌫-----|
defereiugemens e t comme nt ondoit	-|---|-------|-⌫|-----⌫-|-|---|
iugieretliquelpueen t	-----|-|-----|-----⌫|
iugi eretcomme nt lisiresdoit enuoier	----⌫-|-|-----⌫-|-|----|---|------|
poursauo irle	---|----⌫-|-|
droitquesih omme f ont	----|--|-|-⌫---|-⌫--|
e tcommentlen	-⌫|------||-|
puet fausser	---|------|
iugeme ntetcomment	------⌫-|-|------|
li ser iantdoiu ent	-|---⌫---|----⌫--|
estreren uoie ́ pour conter .	----|---⌫----⌫|---|-----||
LXuIII.ca p	------|--⌫|
Paroledesusures etd e s	-----|--|-----|-|-⌫-⌫|
termoiemenset	----------|-|
comm entle nsepu etdefendrepa rcause	----⌫--||-⌫|-|--⌫-|-------|--⌫|----|
dusure contre lesuseriers.	|----|-----|--|-------||
Parole d es casdauenturequiauienentpa r	-----|-⌫-|--||-------|--|-------|--⌫|
mescheance esqueuscaspitiéset	---------|-|----|--|------|-|
miseri cor de doiuentmieus auoirlie u	------⌫---⌫-|------|----|----|---⌫|
querad eiustice .	--|---⌫|------||
P aroledesdons outrageusqui pa rreson nedoiuent	-⌫----|--|---|--------|--|--⌫|----|-|------|
pasestretenu et deceu s quifont	--|----|---|-|-|---⌫|--|---|
aten irquelen	|---⌫-|--||-|
ne pue t nenedoit	-|---⌫|-|-|---|
Cicom menceliprem ierschapitresqui	-|---⌫----|-|----⌫---|--------|--|
p aroledel office	-⌫----|-||-----|
Tout soitilainsi	---|---|-|----|
qu ilnaitpasennoustoutes	-|-||--|--|-|---|-----|
lesgracesquidoiuentes treen	--|-----|--|------|--⌫--|-|
ho mmequisentre metde bai llie	--⌫--|--||-----⌫--|-|---⌫---|
p ou rce nelerons no us pas a traitier prem iersen	-⌫--⌫|-|-|-----|--⌫-|--||-------|----⌫---|-|
ce st chapitrede l e statet de	--⌫-|-------|-||-⌫---|-|-|
loffic e asba illis et dirons bri ementune	|-----⌫|-|--⌫----|-|-----|---⌫----|--|
p artiedesu ertu sq ui l doiuent	-⌫----|--|-⌫----⌫|-⌫|-⌫|------|
auo ir etcomment ilsed oiuentmaintenirsi quecil	---⌫-|-|------|-|-|-⌫-----|--------|-|--|--|
quis en tremetron t de loff iceipuiss ent pr endreau cu ne	--||--⌫---------⌫|-||---⌫--||-----⌫--|--⌫----|--⌫--⌫-|
Il n ousestauisqu e cil	-|-⌫--|--|---|--⌫|--|
qui ueutestreloiausba i llisetdr o ituriers doit a uo ir	--|---|----|-----|--⌫-⌫---|-|--⌫-⌫-------|---|-⌫--⌫-|
ensoi.X. ue r tusesqueleslune estet	-|--|--|--⌫-⌫--|-|-----||--|--|-|
doit e stredam eetmes tressedetoutesles autres	---|-⌫---|---⌫|-|---⌫-----|-|-----|--|-----|
nesansluine pueentestrelesautres	-|---|--|-|-----|----|--|-----|
uertus gouuernee s	-----|---------⌫|
Etceleuertusest appeleesapience quiuautautant comme	-|---|-----|--|------|-------|--|---|-----|----|
estresages	----|----|
Don ques disons	---⌫---|-----|
nousq uecilquise ntremetde baillie	---|-⌫-|--|--||-⌫------|-|------|
g a rderet de iusticeferedoit	-⌫-⌫---|-|-|------|---|---|
e s tre sagesn eautr ementil	-⌫-⌫--|----|-⌫|----⌫----|-|
nesaroitpasfere	-|-----|--|---|
ce quia p a rtie nt aofficede bailli f	-|--|-⌫-⌫-⌫----⌫-||-----|-|------⌫|
Lasec ondeuertus si	-|---⌫---|-----|-|
l iba ill is doitauoirquildoittresdure ment	-⌫|--⌫---⌫-|---|----|-|-|---|---|----⌫---|
Die u no stre pereetn ostre sauueuret po ur	---⌫|--⌫---|---|-|-⌫----|------|-|--⌫-|
Dieu sainte	---|-----|
Egl ise et	---⌫--|-|
nonpasde l	--|--|-||
li a ucunde s sersontaleurseigneurs	-|-⌫---|--⌫|---|--||---|--------|
aimentforsquepourc e quil	-----|---|--|---|-⌫|-|-|
le scriement etdoutentmes	--⌫|-------|-|------|--|
damourentiere si	|----|------|-|
commelifiusdoit	----|-|---|---|
amerle pere	---|-|---|
li amerets eruir uienenttu it libienne	-|---|-|-⌫----|------|--⌫-|-|---|-|
ciln as apiencee ns oi q ui pa r	--|||-⌫------|-⌫|-⌫-|-⌫-|--⌫|
de seur toute schosesnotroi e son	--⌫---|-----⌫|-----||-----⌫|--|
cueralamour de	---|||----|-|
Dieuetmou ttrouuerionsde ma terede	---|-|---⌫|----------|-|--⌫---|-|
parlerdes resons	-----|--|-----|
pour qu oionled oi t amer	---|--⌫-|-|-|-⌫--⌫|---|
etdesb iens quien	-|--|-⌫---|--|-|
Mesil nousc onuen roi t issir unegrant piecedel a	--|-|---|-⌫-----⌫---⌫|----|--|----|----|-|-⌫|
matereque nous	-----|--|---|
auons emprise et meisme mentsa inte	----|------|-|------⌫---|--⌫---|
Egliselenous moustre e t enseignetousles iours	-----|-|---|------|-⌫|-------|---|--|----|
Latierceuertus	-|-----|-----|
q uelibaillisdoitauo irsi estquil	-⌫-|-|------|---|---⌫-|-|--|-|-|
doite stre dou setdebonai r es	---|-⌫---|---⌫|-|-------⌫-⌫-|
sansfeloniee tsa ns	---|------|-⌫|--⌫-|
crua utéetno n pas	----⌫---|-|--⌫|--|
debona iresentrelesf el onsnenu er sle s	------⌫---|----|--|-⌫--⌫--||---⌫--⌫|--⌫|
crueus nenuersceux quifontles	-----||-----|---|--|---|--|
mes fèscara teus manieresdegensd oit	---⌫---|--||---|-------|-|---|-⌫--|
il mous trer sem b lantdecruautéetdefelonieetde	-|----⌫---|---⌫-⌫---|-|-------|-|-|------|-|-|
forcedeiu stice pour leurmalice estremendre	----|-|--⌫----|---|---|-----|----|-----|
Car to utaussicommeli	--|--⌫-|----|----|-|
mires quilemaladepour pi tiédesamalad ielesse	----|--|-|-----|---|--⌫---|-|-|-----⌫-|----|
a ateindre laplaiede	|-------|-|----|-|
la queleill edoitgarir	--⌫----|-|-⌫|---|----|
l em etenperil de	-⌫|-⌫-|-|----|-|
morttou t aussi libaillisqui est	---|---⌫|----|-|------|--|--|
debonairesuers le s mesfesans	---------|---|--⌫|--------|
de sabaill iemetc eusqui	-|-|-----⌫-|--|-⌫--|--|
uuel en tuiureen	----⌫--⌫|----|-|
pe s enperil de mort	--⌫|-|----|-|---|
ne nuspl usgrans biens unspo ur un ne pue t	-|--|--⌫-|----|----|--|--⌫-|-|-|---⌫|
e stre a bai ll i fquedessarterlesmauuès	-⌫---||---⌫--⌫-⌫|--||-------|--|------|
ho rsdes b on sparr adeu rdeiustice	--⌫-|--|-⌫--⌫|--|-⌫----⌫|-|------|
D onques ce	-⌫-----|-|
auonsditquildoi t	----|--|-|-|---⌫|
e stredeb onairesnouslentendons uers ceus	-⌫---|---⌫------|---||--------|---|---|
qui bien uuele nt e t u ersle	--|---|-----⌫-|-⌫|-⌫--|-|
communpueple	-----|-----|
cas q uiauienentpl usparmesc heance qu e par	--|-⌫-|-------|--⌫-|--|----⌫-----|--⌫|--|
Etpource que nousauonsdit	-|---|-|--|---|----|--|
quesapience est	--|-------|--|
lasouuerai n euertusde	-|--------⌫-⌫|-----|-|
cel esquidoiu entestre e n bailliflennedoit	---⌫-|--|----⌫--|----|-⌫|------||-|-|---|
past enirle baillif	--|-⌫---|-|------|
q uiuerstousestfelet crueus	-⌫-|---|---|--|--|-|-----|
E t souuent	-⌫|------|
au ien t quelessimples	--⌫---⌫|--|--|------|
gentquiontb onn esquereles et	---|--|--|-⌫---⌫-|-------|-|
loiaus lessentperd re l eurquerelespource qu il	-----|------|----⌫-|-⌫--|-------|---|-|-|-|
neles osent main t e nirp ar	-|--|----|----⌫-⌫-⌫--|-⌫-|
deuantt eusbaillispourleurfelon ie	-----|-⌫--|------|---|---|-----⌫-|
pou rdoutedeplusperd re	---⌫|----|-|---|----⌫-|
La quarte uertu squi	-|-----|-----⌫|--|
doite stre	---|-⌫---|
e n baill if	-⌫|-----⌫-|
siestquil soitsoufrans e tescoutanss ansso i	-|--|-|-|---|-------|-⌫|--------|-⌫--|--⌫|
couroucier nem ouu oirde rienscar	---------|-|-⌫---⌫--|-|----|--|
li b aillisquies t tro phastis derespond re	-|-⌫-----|--|--⌫|---⌫|-----|-|-------⌫-|
ouqui se tou rmenteetcourouce dece	-|--|-|---⌫-----|-|-------|-|-|
quiloit napouoir debien	-|-|--|||-----|-|---|
retenirceq ui estp ro posédeuan tl uie niu gement	------|-|-⌫-|--|-⌫--⌫----|-----⌫|-⌫-|-⌫|--⌫-----|
Etpuisquilne l e puet bien rete nir il	-|---|-|-|-|-⌫|---|---|----⌫--|-|
nele puet bien	-|-|---|---|
recorder etsansbienreteniret	-------|-|---|---|------|-|
re cordernusnesedo itentremetre debaillieg arder	--⌫-----|--|-|-|--⌫-|---------|-|------|-⌫----|
Don quesli baill i s doites tresou frans	---⌫---|-|-----⌫-⌫|---|--⌫--|---⌫----|
etesco utanse ntelemanierequ	-|----⌫----|-⌫|---|------|-|
ill estac eus qui	-|-⌫--||-⌫--|--|
sontdeuantlui e n iugementdiretout eleuruolen téet	---|-----|--|-⌫|-------|---|----⌫|---|-----⌫--|-|
leurp l er apartiecontre autresans corrompre	---|-⌫-⌫--⌫|-----|-----|----|---|--------|
leurparolesetsill efe tainsiil les	---|------|-||-|-⌫|--⌫|----|-|--|
pourr amieus etplussa gement iugier ou fere	-----⌫|----|-|---|--⌫-----|-----|-|---|
iugiersecestcour t	-----|-||--|----⌫|
i uge parh ommes	-⌫--|--|-⌫----|
Et a ussi commeno usdeisme s cidessusqueladebonairetés	-|-⌫---|----|--⌫-|------⌫|-|-----|--|-|------------|
du baillifnese	-|------|-|-|
doitpa sestendr euersles mau uèsauss id i sonsnous	---|--⌫|-------⌫|---|--|---⌫---|----⌫|-⌫-⌫---|---|
