d ireuous ueulc hi	-⌫--|---|---|-⌫-|
etios eph lefu st li bail la	-|---⌫--|-|--⌫-|-|----⌫-|
q ua ntil letintmout	-⌫--⌫-|-|-|---|---|
aiosephfis t tretoutsongre	|-----|---⌫|------|--|--|
t resb onneuolent e	-⌫--|-⌫---|------⌫|
unpoiapres ce lle auenture	-|--|----|--⌫--|-------|
quexm outfet a mesure	--|-|--|--||-----|
les d e usfusqu ee nsamaintint	--|-⌫-⌫-|--|--⌫|-⌫|-|---|---|
l isou uint	-⌫|---⌫---|
xmenuneesc o le a la	-|-|--|---⌫-⌫-|-⌫-|
ouauoitesté	-|----|----|
mes tresco nneu	---⌫---|--⌫---|
quantill oren t ap e rcheu	----|-||----⌫|--⌫-⌫----|
ensamain sonliure	-|-|---|--|----|
quant lesiuisuita	----|--|---|--||
neuout quen usiuis	-|---|--|-⌫-|---|
chos e quien son	----⌫|--|-|--|
l iurefu st	-⌫---|--⌫-|
etp our c equilmesconnoisoient	-|-⌫--|-⌫|-|-|--------------|
l aueritenenesauoient	-⌫|-----|-|-|-------|
le sc ienceque	-|--⌫----|--|
dieutrou ua	---|----⌫-|
quantenson liure regarda	----|-|--|----|------|
mesen son cuerformentpro pose	--|-|--|---|------|---⌫---|
qu illo r parle radautrecho se	-|-|--⌫|-----⌫-||----|---⌫-|
asiuisdist	-|---|---|
lagran tuertudu saint esprit	-|----⌫|----|-|----|-----|
etquant l undes	-|----||-|--|
mestreslente nt	------||----⌫-|
as p iezxmchiet er raument	-|-⌫--|-|----|--⌫------|
hautescr ié	---|----⌫--|
biau sir e aiezde	---|---⌫|---|-|
quant l imestresfu	----|-⌫|------|-|
ettuitliautreautresi	-|---|-|----|------|
sili ontmercidemandé	-|-|--|----|-------|
car illisa uo ie ntb ongre	--|-|-|--⌫--⌫--⌫-|-⌫-|--|
de cequ eillo rsarmonnoit	-|-|--⌫|-|--⌫|---------|
chasc und eu erite sauoit	-----⌫-|-⌫|-⌫----|-----|
qu ilmo u stroitens	-|-|--⌫-⌫-----|-||
esto itdieu ensa puissanc e	----⌫-|---|-|-|--------⌫|
tuit l i plus sageet liplusgrant	---|-⌫|---|---|-|-|---|----|
f ilsd ieu let in dre ntmaintenant	-⌫--|-⌫--|-|-⌫--⌫---⌫-|---------|
mes aucu n forme nt endouta	--|----⌫|-----⌫-|-|----|
undesiu ispuiss enal a	-|--|--⌫-|---||-|--⌫|
aiosephetsiliadit	|-----|-|-|-||--|
conmex maconuerti	----|-⌫||-------|
t ou sles mestresparsamestrie	-⌫--⌫|--|------|--|-|------|
etpar safor cedeclergie	-|--|-|---⌫-|-|------|
onquesnussibonclercnefu	-----|--|-|--|----|-|-|
quideis tc heque	--|----⌫|-⌫-|--|
ca r chequ	--⌫|--|-|
estuerites	--|------|
il n ousatous aluit ornés	-|-⌫--||---||--|-⌫-----|
ilest ur oi dieu ieleuo u sdi	-|--|--⌫-|---|-|-|--⌫-⌫|-|
quedis t iadisdaui	--|---⌫|----|---|
en sons au tierqueillisoit	-|--|-⌫--⌫---|--|-|-----|
et anosa ncestresmoustro i t	-||--|-⌫-------|-------⌫-⌫|
parlui m ei smeslen tendons	--|--|-⌫--⌫---||--⌫------|
dontanoscuersgrantioie auon s	---||--|----|----|---|----⌫|
mou tenes t i osephesbahi	---⌫|-|--⌫|-⌫----|-----|
deceq uedumestrea o i	-|-|-⌫-|-|-----||-⌫|
etmarie grant	-|----|----|
atant leme strez	----|-|--⌫----|
miegrantment	--|--------|
apresicel d e sputem en t	----|---|-⌫-⌫------⌫--⌫|
ou tfetasiuis	--⌫|--|-|---|
dontau cunsa uo it conuert is	---|--⌫---|-⌫--⌫-|-------⌫-|
apres icesta faire	----|----|-⌫----|
oire nt conteretretr aire	----⌫-|-----|-|----⌫---|
xmet marie	-|-|----|
quide b ien fere	--|-|-⌫--|---|
ontgrantenuie	--|----|----|
quei lauoitenuneterre	--|-⌫|----|-|--|----|
unegen t quialoientquerre	--|---⌫|--|------|-----|
tousles gransmiresdu pais	---|--|----|----|-|---|
pourunriche ho nme a maladis	---|-|----|--⌫--|-⌫------|
chefu droiten garfano n	--|-|----|-|-------⌫|
mo ut est oitcild e g rantrenon	--⌫-|---⌫--|--|-⌫|-⌫---|----|
siuoisin iosephl	-|-----|-----||
biensenluiabond oient	----|-|--|-----⌫----|
moutauoiten lui debon te	---|----|-|--|-|---⌫-|
detout esgenses t oitamé	-|----⌫-|---|--⌫-⌫--|---|
mesm o rtqui prentempetit	--|-⌫-⌫-|--|----|-|----|
chascuntantost l i	------|------|-⌫|
courutsore	-----|---|
pou rla bontequ e nlui	---⌫|-|----|-|-⌫|--|
do lent f uquilec o nnoissoit	--⌫---|-⌫|--|-|-⌫-⌫--------|
iosephsienoip arl er	-----|-|-|-|-⌫---⌫-|
pour ceuoutc elepa rtaler	---|-|---|-⌫--|--⌫-|---|
amoitenbone foi	----|-|---|--|
si iama rie men ee	-|||--⌫--|---⌫-|
quantilfur en t e nlacontree	----|-|---⌫--⌫|-⌫|-|------|
x mtantosten apel a	-⌫|------|-|----⌫|
iosephquemoutforment ama	-----|--|---|------|--|
etsi lipr is ta d emander	-|-|-|--⌫--⌫||-⌫------|
quauoientcesgensapl orer	-|------|--|---||--⌫---|
iasoitcequebien	-|---|-|--|---|
mesdirepasne le uou l oit	--|---|--|-|-|---⌫-⌫--|
e t iosephli respont tanto st	-⌫|-----|-|------|-----⌫-|
queceest po urun	--|-|--|--⌫-|-|
ho nme m ort	--⌫--|-⌫--|
qui dantiospephauoi tanon	--|---|------|----⌫||--|
etsie stoitliplusprodon	-|-|-⌫----|-|---|-----|
quion quesfust en ce st	--|--⌫---|---|-|--⌫-|
distbie n mest auis	---|---⌫||--|---|
queildeu s siezestrealé	--|-|---⌫-⌫---|----|---|
sileussi ez	-||-----⌫-|
reconfo rté	-------⌫---|
pour c equilportoit u o strenon	---|-⌫|-|-|------|-⌫-⌫---|--|
biaxfils di stiosephleprodo n	---|---|--⌫-|-----|-|-----⌫|
conmentlepuisreconfor te r	------|-|---|--------⌫--⌫|
qu antmo rtnepu isresuxiter	--⌫--|--⌫-|-|--⌫-|--------|
xmaiosephrespondi	-||-----|-------|
iosephbiau pere i eu ou s pri	-----|---|---|-⌫|-⌫--⌫|--|
que droitauco rs	--|----|-|--⌫-|
uousenalés	---|-|----|
lesu ai req uilaprenés	-|--⌫--⌫-|-⌫|-||------|
si en feit esuosuol entes	-|-|----⌫-|--|---⌫----|
feitez enttoutuostreuou loir	-----|--|---|-----|---⌫---|
m onpouoir	-⌫-|-----|
etsi lidites de	-|-|-|----|-|
qu e i exmu o u s i en u o i	--⌫|-⌫|-|-⌫-⌫-⌫||--⌫-⌫-⌫|
ioseph to ut	-----|--⌫-|
maintenanti	---------||
leprodonio sephm ortt rouua	-|-----|--⌫---|-⌫--|-⌫----|
pourluifeiso ien tdeulmoutgrant	---|--|-----⌫---⌫|---|---|----|
h omesetfame setenfant	-⌫---|-|----⌫|-|-----|
carlimo rt estoitbien	--|-|--⌫-|-----|---|
d e sgens de suile sdesc ites	-⌫-⌫|---|--⌫|----⌫|--|-⌫---|
carausoennul ne	--|-|---|--|-|
fa illoit mie	--⌫-----|--|
tantconmeausie clefuen	---|----|-|---⌫--|-|-|
riches estoitetpreusetsage s	-----|-----|-|----|-|----⌫|
ete straitde	-|-⌫-----|-|
n oblespar ages	-⌫----|---⌫---|
aup rodonmea di tson	-|-⌫------||--⌫|--|
uenussuifetild eparde	----|--|--|-|-⌫|--|-|
questplaindetoute uerite	-|--|----|-|----|-----|
lenxmapele	--|-|----|
quiestné sde uir gepucele	--|--|---⌫|-|---⌫-|-----|
pou r tonc or sichi	---⌫|--|-⌫--⌫|---|
etpou rfere	-|---⌫|---|
resusciter	---------|
ilme na s onpo u oir donné	-||-⌫||-⌫-|--⌫-⌫--|-----|
uers le mo rt	---|-|--⌫-|
s esta bandonn é	|--|-⌫-------⌫-|
iosephqui de p ardieu iuin t	-----|--|-|-⌫-|---||---⌫|
si tostcon le suairetint	-|---|--|-|-----|---|
et samain a u	-|-|---|-⌫|
m ortatouch a	-⌫--|------⌫|
le corstanto stresusc i ta	-|---|-----⌫-|------⌫-⌫-|
etsele uahors de son lieu	-|-|--⌫-|---|-|--|---|
e nregraciant formentdieu	-⌫|---------|------|---|
carquileout fetcourto isie	--|--|-|--|--|------⌫---|
auoi tp a sdeserui e	----⌫|-⌫-⌫|-------⌫|
puisaaiosephdemandé	---|||-----|-------|
xmqu ilanonmé	-|-|-||-----|
suide mortresours	--|-|---|------|
sicon prou ue ́estdeuanttous	-|--|----⌫--⌫|--|-----|---|
iosep hrespont sans nuldelay	-----⌫|------|---|--|----|
icilxmest un	---|-|--|-|
dieu uro i	---|---⌫|
distlemorti el	---|-|---|-⌫||
ai bi en seu	-|--⌫-|--|
quinele c roit	--|-|-|-⌫---|
s e stdeche u	|-⌫-|-----⌫|
desorem escroiroienlui	-------⌫-|------|-|--|
asauuéau iordui	|-----|-|--||-|
mout ontgrantioie demené	---|--|----|---|------|
iose phcrut	----⌫-|---|
etsonparente	-|--|------|
enxmeten sesuertu s	-|-|-|-|--|-----⌫|
etlesric hesetlesmenus	-|--|---⌫--|-|--|----|
en lauilleoufunéxm	-|-|----|-|-|--|-|
m arie et iose phsontuenu	-⌫---|-|----⌫-|---|---|
auecelsxmlor enf ant	---|--|-|--|---⌫--|
que ilamoie ntdamour gr ant	--|-|-----⌫-||----|--⌫--|
bethlee m lauile	-------⌫|-|---|
apeloi ent	------⌫--|
les iuis quii demouroien t	--|---|--||----------⌫|
mouttrou uerentde lorparens	---|----⌫-----|-|--|-----|
quibienlesrechurentlee ns	--|---|--|--------|---⌫-|
li iuifporlamour	-|---|--||----|
quineees t oitdelorligni e	--|--|--⌫-⌫--|-|--|-----⌫|
un de lorfixo n tapelé	-|-|--|--|-⌫-⌫|-----|
et si li ontconmandé	-|-|-|--|--------|
queiluoistdescoles c ouper	--|-|----|--|----|-⌫----|
seha stderetorner	-|--⌫-|-|-------|
carilueulentfe regra nt feste	--|-|------|--⌫-|---⌫-|----|
pourmarieetpoursages te	---|----|-|---|-|---⌫-|
le gieuetelestoit parent	-|-------|-----|-----|
ce rtainnement	--⌫----------|
lenfantnese	|-----|-|-|
uoutplust enir	---|---|-⌫---|
quil nalastdescho le s cueillir	-|-||----|--|---⌫--⌫|-------|
encel garding ou i lala	-|--|------|-|-⌫|--|
unesarpentl	--|------||
en lamai nlors s enui ntlenfant	-|-|---⌫|---||-|--⌫-||-----|
t outdroita	-⌫--|----||
lamaison criant	-|-----|-----|
xmlenfantae nc ontré	-||-----||-⌫--⌫-----|
abi endem andé	|--⌫-|---⌫----|
pourquoitant	---|---|---|
crié ila uo it	----|-|-⌫--⌫-|
et lienfe zlires ponnoit	-|-|----⌫|-|---⌫------|
qu ilestoitb lechiezmalement	-|-|-----|-⌫------|-------|
enlamainparune sarpent	-|-|---|--|--|------|
lo rsaxmal	--⌫-||-|||
alon s ariere ietenpri	----⌫|-----|-||-|--|
dela sarpent uengiezseras	-|-|------|------|----|
neiamesnul	-|----|--|
maln iauras	--|||----|
acestmot s	|---|--||
enalerentla	-|------|-|
e txm la best e	-⌫|-|-|----⌫|
sarpent distxmcha	------|---|-|--|
et maintenante ndeu screués	-|---------|-⌫|---⌫|------|
lesarpent cri eu emaintenant	-|------|---⌫--⌫|---------|
etlenf antsi not	-||---⌫--|-||-|
ioiegran t	---|----⌫|
ar iere se mist a	--⌫---|-|---||
q uepasne desuoie	-⌫-|--|-|------|
mesxm unpoi l apela	--|-|-|--||----|
etpuis sa mainlimania	-|---|-|---|-|----|
des usalenamaintenant	---⌫-|----|---------|
i senti nulm al l enf ant	|----|--|-⌫-||---⌫--|
lenfan ta presdesc holezpris t	|-----⌫|-⌫---|--|-⌫----|----⌫|
e txmautresisifist	-⌫|-|------|-|---|
et quantlenfez	-|----||----|
enoutass es	-|--|---⌫-|
ostelest retornés	----|--|--------|
tre toutacontéa sonpere	---⌫---||-----||--|---|
confubleciezeta sa	--|-|------|-||-|
d el enuenimeesar pent	-⌫||--------|---⌫---|
quil enuenima maintenan t	--||-------|---------⌫|
ou t ai d ié	--⌫|--⌫-⌫--|
dece fuchascundeus moutlie	-|-|-|------||--|---|--|
quant embethleem estéo rent	----|-|-------|----|-⌫---|
tant long u ementconme illorplorent	---|----⌫-⌫----|----|-|--|------|
sesontp artis	-|---|-⌫----|
marie io sephxmxm	----|--⌫---|-|-|
enier usalem sont a lé	-|---⌫-----|---|-⌫--|
lorsentrer enten	---|------⌫--|-|
p ourlesainttemple uisiter	-⌫--|-|----|-----|------|
etdieu de l assus	-|---|-|-⌫----|
quan tlor prie reore ntf in ee	----⌫|--|----⌫-|---⌫-|-⌫--⌫-|
bienmatineta l aiornee	---|------||-⌫|-----|
lorsari ere s en reto rnere nt	---|---⌫--||-|----⌫-----⌫-|
etxmlorenfantle ssierent	-|-|--|-----|--⌫-------|
mes chefuparentroubliance	--|--|-|--|------------|
d onten lor cuers or ent	-⌫--|-|--|----|--⌫--|
en lescoledes gransiuis	-||-----|--|----|---|
entra li d ous roisxmxm	----|-|-⌫--|---|-|-|
etforment aelsd esputa	-|------||--|-⌫-----|
lor questionztoutes	--|--------|-----|
xm loresau o itd ouze ans	-|----|--⌫-⌫-|-⌫---|--|
quantdespu toitasmescreans	----|-----⌫---|-|--------|
mari eariere s enreuint	----⌫|-----||-|-----|
quantd esonenfantlisouuint	----|-⌫|--|-----|-|------|
parm ilachite lequeroit	----⌫|-|----|-|------|
mout d ol entep ourlui estoit	---|-⌫--⌫---|-⌫--|--|-----|
t ant lalacha	-⌫--||--|--|
etl a querant	-|-⌫|------|
uneescoleu int err ant	--|-----|-⌫--|---⌫--|
ilecdesput antletrouua	---|------⌫--|-|-----|
oumouttres	-|---|---|
f ierement parla	-⌫-------|----|
aundesmest resde	|-|--|----⌫--|-|
etlor mo u st ro itla sa inteloy	-|--|--⌫-⌫--⌫--⌫-|-|--⌫---|--|
quant m arie xm trouua	----|-⌫---|-|-----|
moutdoucement larai sonna	---|--------||----⌫----|
biaxfixie uo usaifor ment	---|--|-|--⌫-|-|---⌫---|
que feit esent rec hes i uis	--|----⌫-|---⌫-|-⌫--|-⌫--|
p ou r uousmarrisesté auonz	-⌫--⌫|---|-----|----|----|
xm asamere respon t	-||-|---|------⌫|
bele mere cha men	---|---|--||-|
pourac ompl irf oique	---|--⌫----⌫-|-⌫-|--|
lesconm andemensdemo npe re	--|----⌫-------|-|--⌫|--⌫-|
q ue ilm a	-⌫-|-|||
conman déafere	------⌫--||---|
la merea udo usenf antxm	-|---|-⌫|--⌫-|---⌫--|-|
n entendipasque	|------|--|--|
de dire fu	-|---|-|
mesmoutgrant ioiea demené	--|---|----|---||------|
quasonenfant	-||--|-----|
marieet io se ph am enerent	----|-|--⌫--⌫-|--⌫------|
lor f ixxmquantletrouuerent	--|-⌫-|-|----|-|---------|
enlacit e de	-|-|---⌫|-|
oufu n és ceestue rites	-|-|-⌫--|-|--|--⌫----|
latresd ouce	-|---|-⌫---|
uirgema r i e	----|--⌫-⌫-⌫|
l atrouuerentgrantco mpaingn i e	-⌫|---------|----|--⌫-------⌫-⌫|
du nefamequiespou s ee	|-⌫-|---|--|-----⌫-⌫-|
fudun honme	-||-|----|
dela cont ree	-|-|----⌫--|
m ar ieetiosep h etxm	-⌫--⌫-|-|-----⌫|-|-|
a chesnoc hesfurent uenus	|---|---⌫--|-----|----|
moutilfurentioieuse ment	---|-|-----|-------⌫---|
toustrois recheus	---|----|------|
de l agent	-|-⌫|---|
quantastables furentassis	----|-|-----|-----|----|
lesplusgrans	--|---|----|
gensde celpais	---|-|--|---|
si ontgranti o iedem ene ́	-|--|----|-⌫-⌫-|---⌫---⌫|
carilfuren tbienconreé	--|-|-----⌫|---|------|
assesiore nta mengier	----||---⌫-||------|
quelenlordonna sans	--|--|--|----|---|
lebrumenquifuespousé	-|-----|--|-|-------|
archedeclinestoitn o nmé	----------|-----|-⌫-⌫---|
b onuinorent	-⌫-|--|----|
alo rpla isir	|--⌫|---⌫---|
d o ntilbu ren t agrant	-⌫-⌫-|-|--⌫---⌫||----|
qua ntilfu r entbienabeuré	---⌫-|-|--⌫-⌫--|---|------|
ensembleo nt li seriantparlé	-------|-⌫-|-|------|-----|
delorui n quitoutfu	-|--|--⌫|--|---|-|
b iensetindrentpourdecheu	-⌫--|-|-------|---|-----|
li serian t et liboute illier	-|------⌫|-|-|-----⌫-----|
amar iepour	|---⌫-|---|
conseillier	----------|
uindrentporuin	-------|--|--|
quiest f aillis	--|--|-⌫-----|
ti ndren t pour	--⌫-----⌫|---|
malbaill is	--|-----⌫-|
etmari etou tmaintenan t	-|----⌫|---⌫|---------⌫|
as onchierenfant	|-⌫-|----|-----|
q ueleuinfaillilor estoit	-⌫-|-|--|-----|--|-----|
etqu eleens	-|--⌫|----|
etxmsilir espondi	-|-|-|-|-⌫------|
apartientpas a	--------|--||
messachiez bienpo uruostre	--|------|---|--⌫-|-----|
l orfe roibontea cesti or	-⌫-|--⌫--|----||---|-⌫-|
feitesaporterdescuuiers	-----|------|--|------|
plainsd euepa r	-----||--|--⌫|
l es bo uteilliers	-⌫-|--⌫---------|
lescuu ierssoi e nt deuant	--|---⌫---|---⌫-⌫-|-----|
ma ben ei conie	-|---⌫--⌫--|-|
lordonrroi	--|------|
ma rieta ntostape la	--⌫--|--⌫----|---⌫-|
lesbouteill iers et co nmanda	--|--------⌫---|-|--⌫-----|
feitestost etne demorés	-----|---|-|-|-------|
amonchier fixsesuo len tes	|--|----|--|--|--⌫---⌫--|
s itostconuousape lera	-⌫|---|--|---|---⌫---|
f eites tostche	-⌫----|---|--|
queil uoudra	--|-|-----|
xmund es s erians apele	-|-|-⌫-|-⌫-----|----|
aamisieaioino uuele	----|-|-|-|--⌫----|
quede u inauésdefail lance	--|-|-⌫-|----|------⌫----|
don t uousaués	---⌫|---|----|
a ucuer pesan ce	-⌫|---|-----⌫-|
i lnestpasboen	-⌫||--|--|---|
enlieuou a it as sesuit aille	-|---|-|-⌫-|--⌫--|---⌫----|
orm aportésieu ous conm a nt	-||-------|-|-⌫--|----⌫-⌫-|
tousuos uessiaxichideuant	---|--|------|---|-----|
euee nemplésl es sis	--|-⌫|------|-⌫-|--|
etcexquifu rentesba his	-|--|--|--⌫---|----⌫--|
deueemplire ntl es sis uessiax	|--|-------⌫-|-⌫-|--|------|
cardu faire furentisniax	--|-|----|-----|-----|
pu is lesmo ustrerent	--⌫-|--|--⌫--------|
quii fist sa beneicon	--||---|-|-------|
quant d ieuoutleu e beneie	----|-⌫--|--||--⌫|-----|
p ourl amo r samere	-⌫--||---⌫|-|---|
bonu indeuin ttoutm aintenant	--|-⌫-|-----⌫|---|-⌫--------|
unhenaplise r iant	-|----|-|--⌫-⌫---|
sil emplirentde cel	-||--------|-|--|
sil eportent archedeclin	-|-⌫|------|----------|
pourquifufeit el	---|--|-|----⌫||
quant outb eu	----|--|-⌫-|
mo utliagre e	--⌫-|-|----⌫|
quantarchedeclin	----|----------|
meillorqu edeuantlisembla	------|--⌫|-----|-|-----|
aubouteil lieradem andé	-|-------⌫---||---⌫----|
seillauoie ntfet d egre	-|-||-----⌫-|--|-⌫|--|
qu ele bonui ngard éauoi ent	--⌫|-|--|--⌫|----⌫-|----⌫--|
au der reain queildonno ie nt	-|---⌫----|--|-|-----⌫--⌫-|
ilq ueuo us	-|-⌫-|--⌫-|
pensas t ez	------⌫-⌫-|
auant ne n ous	----|-|-⌫--|
auconmen c ement	-|------⌫-⌫----|
ou u réaués	--⌫-⌫--|----|
tr o pmalement	--⌫-⌫|-------|
se uousdeboncuerm	-|---|-|--|---||
amo urgar de ruous issi ez	---⌫-|---⌫--⌫|----⌫----⌫-|
donn erde ussiez	----⌫-|--⌫-----|
auprem ier	-|----⌫--|
toutlem eilloret le pluschier	---|-|-⌫-----|-|-|---|----|
li b outei llierp ristrentadi re	-|-⌫-----⌫----|-⌫-------||--⌫-|
uostre m erci fontil biausire	-----|-⌫---|---|-|---|---|
pourdieucarlenouspardonnés	---|---|--|-|---|---------|
nen deuonz	|-|-----|
pa sestreblasmés	--⌫|----|-------|
carnen sauionsriensbiausi re	--||-|------|----|---|--⌫-|
or escou te ́squ euo ul on z	-|-----⌫--⌫-|--⌫|--⌫--⌫--⌫|
conmentnousest oit	------|---|---⌫--|
toutn ostreui n estoit	---|-⌫----|--⌫|-----|
q uantdeuantluinous	-⌫---|-----|--|---|
nos uessiax empl ir	--|------|----⌫-|
etpuistousles beneist	-|---|---|--|------|
s ic onme s a mereli dist	-⌫|-⌫---|-⌫|---|-|---|
enuintantostse mua	-|--|------|-|--|
xmn ousconmanda	-|-⌫--|-------|
bail lisso n slargement	----⌫-----⌫-⌫|--------|
decel u in a	-|--|-⌫-||
toutela gent	----|-|---|
que stiezlespousé	-|-⌫----||-------|
leuou sauonz p remierdonne ́	-|---⌫|----|-⌫-----|-----⌫|
or uousauondit qu il ia	-|---|---|--|-|-|||
bi enaitquis esl ee che ra	--⌫-|--|--||---⌫--⌫---⌫-|
lors ontgran t	---|--|----⌫|
ioied em enee	---|-⌫--⌫---|
etq uantlafestef upassee	-|-⌫---|-|----|-⌫|-----|
c hascunx mregrac ioit	-⌫-----|-⌫|------⌫---|
des mi racles que il faisoit	--|--⌫-----|--|-|------|
apr eslafestes empar tirent	---⌫-|-|----||-|---⌫-----|
pourla grantclarte	---|-|----|-----|
queiluirent	--|-|-----|
nepore nt xm	-|----⌫-|-|
nenesauoien tou aler	-|-|-------⌫|-|---|
si tresfortesbloez	-|---|---|------|
e sgardernepouoient	-⌫------|-|-------|
mari e e tioseph mout souue n t	----⌫|-⌫|-----|---|-----⌫-⌫|
men acie zfurent delagent	---⌫----⌫|-----|-|-|---|
mespuis enfure nt d eliurés	--|---|-|----⌫-|-⌫-------|
issiconuouso iaués	---|--|---|-⌫|----|
