LicuensAmilesfumou ltpreusetsenéz.	-|----|-----|-|---⌫-|----|-|------|
e npiés leuéz	-⌫|----|-----|
uoi t l es barons	---⌫|-⌫-|-----|
s iles a apel lézSeézseignorsicom	-⌫|--||----⌫---|----|------|-|--|
solézCar amengier	-----|--||------|
auerons a plenté.Quant li baron	------||-------|----|-|----|
nuitsoupé Cil c heualierenuontalor ost e uls	---|-----|--|-⌫-------|-|---||--|---⌫-⌫--|
est acoustume.	--||--------|
Quant assé z	----|-----⌫|
orentetmengiée tbeüEnzel palais	----|-|------|-⌫|---|--|-|-----|
sachiéznenremestnu s.Licuens	-------||-|-----|--⌫-|-|----|
Amil esenlachambre est	----⌫-|-|-|------|--|
ue nus EnlitAmi s	--⌫--|-|--|--||
alacouchiertouz nus	--|-------|---|--|
Auecluipo rte	---|--|--⌫--|
sonbrantdaciermolu.Et L ubias	--|----||----|----|-|-⌫----|
alessie nsdra s tolus	|--|---⌫-|---⌫|----|
Delézle c ontesa c ouc hiénuanuQu	-----|-|-⌫---|||-⌫---⌫---|-||-|-|
el lelecuide acoler	--⌫-|-|----|-----|
co mson dru .Dele ́ z luisent	--⌫|--|---⌫|----⌫-⌫|--|---|
lebr ant d	-|--⌫--||
aciermo luGrant	----|--⌫-|----|
sisen esttrai teensus.Dexcomest	-||-|--|----⌫-|-----|--|--|--|
Quant Lubiassentinuelesp eeGrant p aoramo ult	----|-----|----|--||---⌫-|----|-⌫--||--⌫--|
effraee.Si re di stell e	-------|--⌫-|--⌫-|---⌫|
oumaué zuoz tr ouueePor	-||----⌫|--|--⌫----|--|
moi oci rreapo rtastez espeeMaisparla foiquedoi	--|---⌫--|---⌫------|----|---|--|-|--|--|--|
me reSeie uif t ant que ue ingne	--⌫-|-|-|--|-⌫--|--|--⌫----|
laiorneeGelconterai	|------|--|-------|
mescouzi n s etmes	--|-----⌫-⌫|-|--|
freres Deuant leues que maueront tost	-----|-----||----⌫--||------|---|
menee.P a rtelengiengserai	-----|-⌫-⌫|--|------|----|
de uozseureeDe uostre	-|--|-----|-|-----|
compaignie.Dex d istAmile s	----------|--|-⌫--|-----⌫|
part onsaintismenon	--|-⌫-|--------|--|
MeïssaintPierrea u chief dePré Noiron	----|----|-----|-⌫|----|-|---|-----|
Etconuertissaint P ol	-|--------|----|-⌫-|
etsa int SimonIonass auuaseluentredou poisson	-|--⌫--|----|----|-⌫----|-|-----|--|------|
Daniele nlafosse	-----|-⌫|-|----|
aulyon SainteSusa nne garis douf au s	-|---|-----|----⌫--|----|--|-⌫--⌫|
tesmoi ngEta Ma riefeïstez urai	------⌫-|-||--⌫--|-------|---|
pardonSicomces t	-----|-|--||--⌫|
uoirsetnoz bienlecreonzGarissi e ́z hu ile	----|-|--|---|-|-----|-------⌫-⌫-|--⌫|-|
mien chier	---|----|
c ompai ngnonQuiest enFr ance a	-⌫-----⌫----|--|--|-|--⌫---||
Pari saCharlon	----⌫||------|
An la bataille de Hardrélefelon	-|-|-------|-|------|-|----|
Qu encorleuoie	-|----|-|---|
samaistre maison. Ai ns iz ledistquenel e ntendi	-|------|------|--⌫--⌫-|-|---|--|-||-⌫-----|
Ou uoitladammes ilamisearaison	-|---|-|----|-⌫|||---||-----|
Dam edist ilpar	---⌫|---|-|--|
Deuquif istlemontNulbel samblantfaire	--|--|-⌫--|-|---|--|--|-------|----|
Cefu lautr ier quei e	-|-||----⌫--|--|-⌫|
CharlonQueil teno itsa cort a	------|--|-|----⌫-|-|---||
Moid istuns mir es	--|-⌫--|--|---⌫-|
quii ert d eBes ansonQui	--|-⌫--|-⌫|---⌫----|--|
me donnaetherbes et puiso ns	-|----|-|-----|-|-----⌫-|
Que enmonco rs	--|-|--|--⌫-|
auoiegran t	----|----⌫|
frisonEtqueafa m eneüscehabitacionNe compaingnie	-----|-|--||--⌫-⌫||-----|---------|-|----------|
telcom au oir do ito nA inzm e nten isse	--|--|--⌫--|--⌫-|-⌫|-⌫--||-⌫|---⌫---|
trenteiors ab andon.	-----|---||-⌫-----|
Senelfais oieiesuis ansgarison.	-|--|----⌫--|-|--|-⌫--|-------|
Mais parlafoiquede uéz	---|--|-|--|--|--⌫---|
Deu delmontPorquoihaéz	--|--|---|--|---|----|
Amile lebaron -Sire	----|-|----|----|
elleetn oz	---|-|-⌫-|
leuozdironsQue i aun	-|--|-----|--|-⌫|-|
mot neuozenm ent iro ns.	--|-|--|-|-⌫---⌫---⌫--|
Ceful autrie rpla innefu tamaisons	-|-||------⌫|---⌫---|-|-|------|
Aunefeste condist	|--|----||-|---|
enRouuisonzLicuensAmilescuili cors Deu	-|--------|-|----|-----|--|-|---|--|
Dedensmeschamb resme requista	-----|--|-----⌫--|-|------||
bandon Si me leua	-----|-|-|---|
mon hermi n	--|-----⌫|
pelison.Honnir	-------|-----|
gentiz f iuls	-----|-⌫---|
abaron. Telli	|-----|--|-|
don naide monpoingenz	---⌫--|-|--|----|--|
Que ala te rre	--||-|--⌫--|
ienoillons. Ice serui c e	----------|--|-----⌫-⌫|
mefistfoi que doi	-|---|--|--|--|
u o zPorce	-⌫-⌫|--|-|
haïnne.De x distAmile s	-------|--⌫|---|-----⌫|
q uihaut sie ́set loinz	-⌫-|---|---⌫-|-|----|
uoi Esperit ablesiestezbiaxSire RoisTant	--|-------⌫----|-----|---|---|---|---|
pa restfox	--⌫|--|--|
quimaintefa mecr oit	--|-----|--⌫-|--⌫--|
Etqui lidistnoientde sonconsoil.Or	-|--|-|---|-----|-|--|-------|-|
S al e monsse	-⌫--⌫-⌫---|-|
distuoirEnsetmilliers	---|---|-|--|-------|
nenaquatre	|-||-----|
trois Debienparfaite zquicroir elesuoldroit. Pu is	----|-|---|--------⌫|--|-----⌫|--|--------|--⌫-|
dista préz Damm euozdi tezuoir	---|-⌫----|----⌫|--|--⌫--|---|
M orsestAm ilesli	-⌫--|--|--⌫---|-|
traïtress an sfo i.A cesteespee quici gistde léz	--------|-⌫--⌫|--⌫-||----|----|--|-|---|--⌫---|
coperailechiefseie	------|-|----|-|-|
leuoi.Lamorta	-|---|-|---||
Oiézseignorquebuerfussiézuoz né.	----|------|--|---|-------|--|---|
Ici laironsdouconte	--|------|--|----|
Amilees terAu	----|--⌫--|-|
co nteAmideuo mmez retornerQui	--⌫--|--|----⌫---|-------|--|
FranceaPa ri s	-----||--⌫--⌫|
la c ite ́A l abatailledoutraïtorH ardré.	-|-⌫---⌫||-⌫|-------|--|-------|-⌫------|
N ostre empere rese stparmatin leuézI snel lement	-⌫----|------⌫--|-⌫-|--|----|-----|-⌫----⌫-----|
afaitfaire	|---|----|
unsfosse ́zGrans	--|-----⌫-|----|
etplenniersetdebois b ienp lan te ́ z.	-|--------|-|-|---|-⌫--|-⌫---⌫--⌫-⌫-|
iuoldrasafamedes mem b rerBueu on	|-----|-|---|---⌫---⌫-⌫--|----⌫-|
son filBel issant au u is	--|--|---⌫-----|-|-⌫-|
cler.Nos treempereres lesfist	----|---⌫--|--------|--|---|
tant ostm ande rCil les	----⌫--|-⌫----⌫|--|--|
amainnentq u inel osentueer .Li ro is	--------|-⌫-⌫|-||----|----⌫|-|--⌫-|
l esuoitsale	-⌫-|---|||-|
enc linéIl ne	---⌫----|-|-|
lor fistbelsamblant	--|---|--|-------|
nepriué.Damme	-|------|----|
aléz uoz apresterConme celi que	----|--|-------|----|---|--|
des membrer. Parcelapostre	---⌫-------|--|--|------|
conquiertenNoi ro n Pré	|-|-----|-|---⌫--⌫|---|
uostres garans uoz	------|-----|--|
puettropdemore r.S eilneu ient	---|---|------⌫-|-⌫|-|-|-⌫---|
mi e di pas sé Ie uoz	--⌫-⌫-|---⌫--|-|--|
ferai tou zlesmembrescoperArdo ir	----|---⌫|--|------|----|----⌫-|
enfeue tlapoudreue nter. Tozl	-|--|-⌫|-|-----|--⌫----|--||
ors del montneuozporroit	--|--|---|-|--|------|
tanserDeuoznefaceiusticem oul t cruel.	-----|-|--|-|---|------|-⌫---⌫|-----|
Ladammel oit	-|----||--|
siconmenceapl orer.Sire dist	-|-------||--⌫----|---|---|
dem aiestéQuien	-|-⌫------|--|-|
la croislaissaz ton cors pener	-|----|------|--|---|----|
Gari smoncorsdemortetd	----⌫|--|---|-|---|-||
af olerBueuonmonfilB elissant	--⌫---|-----|--|--|-⌫-------|
auu is clerCil	-|-⌫-|---|--|
glouz ne nozhonn isse.Orfuli	----|-|--|----⌫----|-|-|-|
corr esouz etdolans	----⌫----|-|-----|
E tHardre ́zfu	-⌫|------⌫-|-|
baus etliéset i oians .	---|-|----|-|-⌫-----⌫|
P arcesmonstie r s en u oie	-⌫-|--|-------⌫-⌫|--⌫-⌫--|
ses se riansEt faithasterces	--|--⌫----|-|---|-----|--|
q uisontgrans.Set ierc epassemiedis	-⌫-|---|-----|-|-⌫----⌫|----|-----|
ilbien quefinéze stl ic hamps.Maisnira	-|---|--|-----|-⌫-|-⌫|-⌫-----|---||--|
miedeltoutason	--|--|---||--|
talan t . Ou u oitlero isel i	-----⌫-⌫|-|-⌫--|-|--⌫|-|-⌫|
d istfierementDrois	-⌫--|--------|----|
empereres ma batailled e mant.Fuïs	--------|-|-------|-⌫-⌫----|----|
estAmilesuoir ement	--|-----|----⌫----|
Encest paï sne	-|---|----⌫|-|
uenramai sawan.Faitez	----|---⌫|----|-----|
ar doi rlabele	--⌫---⌫|-|---|
BelissantBueuon	--------|-----|
ton fil et ta	--|--|-|-|
fame a usim entOriparr a	---|-⌫----⌫--|-||----⌫|
dela iustice grantMais	-|-|------|----|---|
dunnechose me uois	|---|----|-|---|
merue i llan tQuelaro ïne meuait s irampo sn an t .En	-----⌫-⌫----⌫|--|-|--⌫---|-|---|-⌫|-----⌫--⌫--⌫-⌫|-|
fileGloriouzpui ssan t .I aainz	-|-|-------|---⌫----⌫-⌫|-⌫|---|
niertuesp resnelisolaus	|---|----⌫--|-|-|-----|
couch an sIa lauerrai	-----⌫--⌫|-|-|-----|
ar d oir anf euardant .La d amme l	--⌫-⌫--|-|-⌫-|------⌫|-|-⌫---||
ploretan rement.Hé	----|---⌫------|--|
Dexdistelle	--|---|---|
t outeiantE tc onmandasaubaro nAbrahant Que	-⌫---|---|-⌫|-⌫-------|-|----⌫|-------|--|
f eïs tde sonanfant Ille	-⌫----⌫|-|--|-----|-|-|
uolt fairetantfuen uoz	---|----|---|-|-|--|
Deuersleciel uintuns angre suolant	-|---|-|---|---|--|-----⌫|-----|
Qu ilito ill i	--⌫|-|--⌫---⌫|
espee etlanfan t	----|-||-----⌫|
Silempor taenzelcie lmaintena nt	-||-----⌫-|--|-|---⌫|--------⌫-|
En paradisaue cles	-|------|---⌫|--|
Innocen sEtsinasqui s de uirg eenBethleantLa uoz	-------⌫|-|-|------⌫|-|----⌫|-|--------|-|--|
requistrentlitroir oiuoire me ntEtaporta rent o	----------|-|---|-⌫-|-----⌫--⌫-|-|------⌫---||
eu lsof fra nde	--⌫-|--⌫---⌫--|
grantMir reet	----|---⌫-|-|
encens e t	-----|-⌫|
orparb on talant Trois ans	-|--|-⌫-|-----|----|--|
alast e zuosamispraechantO	-----⌫-⌫|--|---|--------||
uos apos tres	--|----⌫---|
cena stezlieman t	----⌫---|------⌫|
E nzensdesersou ieü neren t tant	-⌫-|--|-----|-|----⌫-----⌫|---|
Leiüesdiabsoluquiest	-|------|-----|--|--|
gransLauasl orpiés chascunm oult liementIudaslifel	----|----|-⌫-|----|------|-⌫---|------|----|-|--|
li traïtres pus lansSi uo zuendia la gent	-|--------|---⌫---|-|--⌫|----||-|---|
Trentedeniers qu ilnen	-----|------|-|-||-|
ot pl usariant De nuit uo z	-|--⌫-|-----|-|---|--⌫|
prinrentalachandei lleardantLa uoz ba isaIudas	-------||-|-------⌫--|-----|-|--|--⌫--|----|
boisem antPorde mo ns tre rde	------⌫--|--|--⌫--⌫--⌫---⌫|-|
uoz conno issementLorsfus tez	--|-----⌫-------|---|---⌫--|
crois a spre mentDeioi nsmarraiges	----|-⌫----⌫---|-|---⌫-|--------|
etde spinnes	-||-⌫------|
poingna nsuozcoronnerentcel le mauu aise i antEtpor	-------⌫-|--|----------|---⌫-|----⌫---|-⌫--|-|--|
fa ire enco r	--⌫--|----⌫|
plus angoissantuo	---|---------|-|
corspercierentd	---|---------||
unne lance	---|----|
tran chantSa ncoteteue d euocostel	----⌫----|--⌫-|-|-|--|-⌫|-|-----|
issantLongisq u	-----|-----|-⌫|
ainznot ue üen so n	---||-|--⌫-|-|--⌫|
ui u antTerst asesiexsi	--⌫-⌫--|----||--|--|-|
ot alumement	-|--------|
Nicodemu s uozcouchadouchement En un sep ulcre	--------⌫|--|-----|---------|-|-|---⌫----|
qu e fi stf air e	--⌫|--⌫-|-⌫---⌫|
moultgrant uoz	----|----|--|
surre x iste zautierzioruoirementA n fer	-----⌫-⌫----⌫|-|----|--|--------|-⌫-⌫--|
brisastezceseuent li	--------|-|-----|-|
auquant Les tie ns ami sen	------|--|---⌫-|---⌫|-|
uoir ementMontasel c iel en	----⌫----|-----|-|-⌫--|-|
tonsaintmandementOu ia	--|----|--------|-|-|
t raï tres n aura harbergema ntNefaus traït res	-⌫----⌫---||---|----------⌫-|-|---|------⌫--|
chasemen t	--------⌫|
Nefaus iug ier resnesunhabitement	-|---|---⌫---⌫--|----|---------|
Sicom ce stuoi rs	-|--||-⌫-|---⌫-|
biausPeres	----|----|
Rois puissansEtg elcroilas sesansnul	---|-------|-|-⌫-|---|---⌫-|---|--|
me scro iement Moi ga ris s iézde mort	--⌫----⌫-----|--|--⌫---⌫-⌫---|-|---|
et detormantBueuon	-|-|------|-----|
monfilmafilleBeliss ant Ci lglouznenozhonni sse .	--|--|-|----|------⌫--|--⌫|----|-|--|-----⌫---⌫|
Or fuliroisc orro u ci éz etplainsd	-|-|-|---|-⌫----⌫-⌫--⌫--|-|-----||
ireHardréz fu l iéset	--|-------|-|-⌫---|-|
io ianslitraïtres .Dexli	--⌫---|-|---------⌫|--|-|
enuoitlam alemort	-----|-|-⌫--|---|
Ouu oit leroi se	-|-⌫--|-|--|-|
li co nmencea direDroisemp ereresfui ̈s	-|--⌫-----||---|----|---⌫-----|---⌫-|
s enes t Amil es En ceste terrenereu enra	|-|--⌫|----⌫-|-|----|----|-|---⌫---|
il mie.Fait ez	-|---|----⌫-|
ardo irmadamme laroïnneBue uon tonfil	----⌫-|-|----|-|------|---⌫--|--|--|
etBelissantta	-|--------|-|
f ille.Oripa rra	-⌫----|-||--⌫--|
de lauos tre	-|-|---⌫--|
iu stice.Et d istlirois	--⌫-----|-|-⌫--|-|---|
Ilne mes tordront mie . Ladammel oit	-|-||--⌫-------|---⌫|-|----||--|
parfondeme nt	----------⌫-|
souzpire. He ́D exdist	--------|--⌫|-⌫-|---|
ellequifuz nésdelauirge	---|--|--|---|-|-|----|
Et lepaindorge meniastez a	-|-|---||---|--------||
laceinn euo st re	-|-----⌫|--⌫--⌫-|
mais niefu	----⌫--|-|
uozesbaudieSi com ces tuoirsDa me sain te	--|-------|-|--||--⌫|----|--⌫-|----⌫-|
Ma rieBien	--⌫--|---|
lecroilassesansnulle	-|---|----|---|----|
tricherie M oigardéz	--------|-⌫-|------|
afoleretdoci rreBueu on monfiletBelissan t	-----|-||---⌫--|----⌫-|--|--|-|--------⌫|
Sicom ell eotsa	-|--|---⌫|-|-|
proi er efenieS iresgardaend roithorede	----⌫--⌫|----|-⌫|-------|---⌫---|---|-|
prime S iuit uenirAmipar lachau c ie.	----|-⌫|--|----|--|--|-|----⌫-⌫--|
uoi tlela damme	---⌫|-|-|----|
moultenestes ioïe. Hardré ap ellesiliconmence	----|-|--|--⌫-----|------|--⌫---|-|-|-------|
Sire Hardrénellairai n el	---|------|--|-----|-⌫-|
uoz die Moult uoz iertores	--|--|----|--|---|---|
cellechier eaba i ssie.Ancui a ure ́z celleteste	----|-----⌫|---⌫-⌫----|----|-⌫---⌫-|----|----|
Et ce ll epan ce	-|--⌫--⌫|---⌫-|
e stroee e t percie.Sonnentci l sai nt de	-⌫-----|-⌫|------|------|--⌫|---⌫-|-|
par to u tela uilleDe Saint	--|--⌫-⌫-|-|----|-|----|
uict or etdes autresegli ses	----⌫-|-|--|-----|----⌫--|
Et cile ttui tliautre. Qu antla	-|--|-⌫|---⌫|-|-----|--⌫--|-|
dammeotfinees aproiere	----|-|----|-⌫|------|
S i uituenir Ami par la	-⌫|--|----|--|--|-|
charrie reL escu	-------⌫-||---|
au coletla	-|--|-|-|
broing ne dou bliere.uoit le la dammeformen tfue sio ïe	------⌫-|---⌫------|---|-|-|----|------⌫|-|-⌫---⌫--|
Hardréa pellesi	------|-⌫----|-|
liconme ncea	-|-----⌫--||
direOr uozuoimoultcelle	---|-|--|--|----|----|
ch iereabaissie.Labonned ammeformentlecontrarie	--⌫---|--------|-|----|-⌫---|------|-|--------|
Ha rd rétraïtreslico rsDeu	--⌫--⌫--|--------|-|--⌫-|--|
te m audieQuan t le	-|-⌫----|----⌫|-|
cu erass i	--⌫-|-|-⌫|
p la in de felonnieB ien aifianc eenDeu le	-⌫--⌫-|-|-------|-⌫--|-|-----⌫|-|--|-|
fil MarieC	--|----||
ancuiaurazcelletes te	----|----|----|---⌫-|
tranc hieEtcelle panc e	-----⌫--|-|----|----⌫|
es troeeet	--⌫----|-|
perc ie .uozn eschaperézmie. Lic uens	----⌫--⌫|--||----------|---|-|-⌫---|
g entiz etfiers.	-⌫----|-|-----|
Ilneuintmiecomhom tr op esmaie ́zE t	-|-|---|--|--|--|--⌫-|------⌫-|-⌫|
Ha r dréz fudola n set co rrouciéz.Ori uonttui t	--⌫-⌫----|-|----⌫-⌫|-|--⌫---------|-||---|---⌫|
es c ui e r.LicuensAmis questmou lt	--⌫-⌫--⌫-⌫-|-|----|---|-|--|---⌫-|
bonscheualie r sEst	---|--------⌫-⌫|--|
des cendu sdesoz	---⌫-----⌫|----|
u noliuie rNostreemperere sle uit	-⌫|------⌫|-----|--------⌫|-|--|
moultliés Encontre	----|----|-------|
uait degrézet	---|-|----|-|
uolentiersEt la	---------|-|-|
roïnneo le c orsafaitié.	------||-|-⌫--|--------|
Ami saluentpar moultgransamist ie ́s	--|------|--|----|----|-----⌫--⌫-|
c uensGransmercisenaiéz D e parIhesu	-⌫---|----|-----|-|----|-⌫|--|----|
NostrePered ou	-----|---|-⌫-|
c ielDr oisem per eresma	-⌫--|--⌫--|--⌫---⌫---|-|
bataillereq uier.	-------|---⌫----|
Ancui uo ldraim ada mme chalong ie rSeIhe suplais t	----|--⌫----|-⌫|--⌫--|-------⌫--⌫|-|---⌫-|-----⌫|
Gloriouzdouc ielEnuers	-------|--|-⌫--|-----|
Hardré lecuiuertr en oié.Mon	------|-|------|-⌫--⌫----|--|
encïantau b rantf orbi dacier L ecuit	-------|-|-⌫---|-⌫---||----|-⌫|---|
iesimal ement	-|-|---⌫----|
atirierTresto uz les memb res	------|------⌫-|--|----⌫--|
et latestetranchier	-|-|----|--------|
Dex mesten aïe.Nostreemper ere s	--||--|-|----|-----|-----⌫---⌫|
descent desozunpin	------|----|-|--|
Onliapor teu nfa udestuef dor	-|-|----⌫-|-⌫|--⌫-------||-|
finLi emp erere s deFrance s	--|-|---⌫-----⌫|-|-----||
iassist.Isnellement faitlescorssains uenir Sor u ne	|------|----------|---|--|---|----|----|--|-⌫-|
table la chascesaint	----|-|-----|----|
DenisDe s Innoce nsio t	----|--⌫|------⌫-||-⌫|
Chi eresreliquesiot d es aint	---⌫---|-------||-|-⌫|-⌫---|
Mar tin.Q uis ipariure	---⌫---|-⌫-|||------|
malementest baillisN ist radou	-------|--|------||---⌫-|--|
c hampt antquest era	-⌫---|-⌫--|-|---⌫--|
hon nis.Premierementparla	---⌫---|-----------|----|
li fiulsPep inFranc	-|----|---⌫-|----|
cheu al ier dist Charlesl i	----⌫--⌫--|---|------|-⌫|
gentizC es t e bata il le neu oil	-----|-⌫--⌫-⌫|----⌫--⌫-|-|-⌫--|
ma itreenoubl iFaitesera par Deuq uinementi.	--⌫---|-|----⌫|----|---|--|--|-⌫-|-|-----|
lairo iepormil l iuresd or finA nsoizie rtfaite	-----⌫-|--|--|-⌫----||-|--|-⌫----|--⌫-|----|
sans nesun	---|----|
contre di t. Et	------⌫--⌫-|-|
d istHardréz Biaussireet ielotri	-⌫--|-------|----|---|-|-||---|
Etpar deuant	-|--|-----|
ce s cheualiers le diQuiuaincus i ertpendus	--⌫|---------|-|-|--|------|-⌫--|-----|
s oit lematinNe	-⌫--|-|----|-|
soi traiensned	---⌫|-----|-||
argent nedor	-----|-||-|
Nenait sec or sdeparens ned	-||--|---⌫--⌫|-|-----|-||
ammisEtdist liro is	----|-|---|-|--⌫-|
Hardrébienauéz dit.Simaït Dextoutain s iz	------|---|----|---|-||---|--|---|---⌫-⌫-|
roisEtlisaintquis ontci.	---|-|-|----|--|-⌫--|--|
Quant li roisl	----|-|---||
otetiuré etp leui Hard r éz l	-|-|----|-|-⌫---|----⌫-⌫--||
e nt enttou zl isans lifuï.	-⌫--⌫--|---⌫|-⌫|---|-|----|
Desorlipo ise que il otainsiz	--|-|-|--⌫--|--|-|-|-----|
dit Silfust	--||-|---|
nefustaudesozmis	-|---|-|----|--|
poïst a raens onuen ir.P ar	-----||-----⌫-|---⌫--|-⌫-|
