cuers esu eille	----|---⌫----|
uoilieque tesreizte ndrefa ces	---|-|--|--|---|--⌫---|--⌫--|
ai ouste s atel zassemblees	|-⌫-----⌫||---⌫|---------|
uiennentlesdamesbien parees	-------|--|----|---|-----|
illec porr as tu bi enchoisir	----|----⌫-|-|--⌫-|------|
c elleou ueuz m et r eton	-⌫---|-|---|-⌫--⌫-⌫|--|
l auien nent illiee setdrues	-⌫|----⌫---|-|----⌫|-|----|
por ueeretestre	--|---|-|----|
et seil est	-|-|-|--|
issiquilauienge	---|-|-|------|
queli roisen lauilleuienge	--|-|---|-|-|----|-----|
ouqueletornoi estre	-|--|-|-----|----|
que c hescunde uo iera	--|-⌫-----|-|--⌫--||
tute doizlors cele parttrere	-|-|---|---|---|---|----|
ouceleestqu itant te doitplere	-|---|--|--⌫|---|-|---|----|
pourueeretpourr egarder	---|---|-|---|-⌫------|
ce nquidoituenir etaller	--⌫|--|---|----|-|----|
sanzs ouspechon yporras estre	---|-⌫--------||-----|----|
soit aestalou	---||----|-|
afenest re	|------⌫-|
nest nulso it	|--|--|--⌫-|
quinaugelorsr endre	--||---|---|-⌫----|
l orstadamesal ueras	-⌫--|-|---|---⌫----|
etbienprez de lie	-|---|---|-|--|
soit ades tresoitasenestre	---||---⌫--|---||-------|
le plus prezq ue	-|---|---|-⌫-|
tupor rasestre	-|---⌫--|----|
parregarder par	--|-------|--|
puestu ton	---|-|--|
des irsene f ier	---⌫-|----⌫-⌫--|
etissi sanz	-|---|---|
apercheua nce	---------⌫--|
uendr alapremierea liance	-----⌫|-|-------|-⌫-----|
ar esne lasetu	--⌫---|-|-|-|
au premierdecomm unlangage	-|------|-|----⌫-|------|
quisont cescheualx quil auie nnen t	--|---|--|------|--|-⌫|---⌫----⌫|
requierouceulzqui	------|-|----|--|
lase ti ennent	-|-|--⌫-----|
quel cho sequee lleresponge	---|---⌫-|--|-⌫--|-------|
ne tienn afablen	-|---|||----||
ame ncho nge	|--⌫----⌫--|
otrielisan zcontredire	----|-|---⌫|---------|
to ut c enqu	--⌫-|-⌫-|-|
elle teu oudra dire	---|-|-⌫----|---|
qu elleloera	-|---|----|
b lasmecenquetblasmera	-⌫----|--|-|-|-------|
conferme to utessesparoles	-------|--⌫---|--|------|
a uoir ta nts eent	|---|--⌫-|-⌫---|
c en f riu ol es	-⌫-|-⌫---⌫--⌫-|
seilchi et poudre en son	-|-|---⌫-|-----|-|--|
so itsurrobe oususchaperon	--⌫-|--|---|-|--|-------|
escorrelad oizet	------|-|-⌫--|-|
lieteueuzacoster	--|-|---|------|
et sepoudreni	-|-|-----|||
esttrouuee	--|------|
estre ostee	----|----|
ce scunesauseestconuenable	--⌫----|----|--|---------|
doizestreseruissable	---|----|----------|
lieu esarobe parbelegui se	----⌫|-|---|--|---|---⌫-|
seellee sttrop parterremise	-|---|-⌫-|---|--|----|---|
d eser uirpuetgrantbienuenir	-⌫|---⌫--|---|----|---|----|
souuent leueonaue nir	------|-|---|---⌫--|
paraprezcen tu	--|----|--|-|
qui le zuouz seuou drase er	--|--⌫|---|-|---⌫--|--⌫-|
que il nefoul enenegrieue	--|-|-|----⌫|-|-|-----|
cellepourquiton cuers	----|---|--|--|---||
fin amouro usdo it tout cefer e	--|------⌫-|--⌫-|---|-|---⌫|
queilpenseasadame plere	--|-|----||-|---|----|
issile fa y se tuez	---|-|--⌫|-|-|-|
muetlegier cou rage	---|-----|---⌫---|
qua nt lesroys et contes	---⌫-|--|---|-|-----|
et ce ulzqui ouec	-|--⌫--|--|---|
setendront	-|-------|
oulesbarons sanz	-|--|-----|---|
iestron t as cha ns pourtorneer	-------⌫|-|---⌫-|---|------|
dametedeman de	---|-|-----⌫-|
l ornons resp on asadema nde	-⌫-|---|----⌫-||-|----⌫--|
silestfr ancheizcest i certain	--|--|--⌫------|----⌫|------|
feingquede	----|--|-|
tout soiezcertai n	---|----|------⌫|
belet cortoisement	--|-|-----------|
cel iestroys	---⌫|--|---|
etces tui conte	-|---⌫--|----|
dilorsnonsse tu	-|---|---|-|-|
puez urita bles	---|-----⌫---|
lesdicouu enables	--|-|----⌫------|
etpos équ elneles	-|---⌫-|-|-|-|--|
t elzchoses retrere	-⌫--|-----|------|
celi nesedoit	---|-|-|---|
quipar biau langage puet	--|--|---|------|---|
pa rt elzplesanz	--⌫|-⌫--|------|
arresn e men s	------⌫-⌫---⌫|
uiennent l es p r em iersmo uue mens	-------|-⌫-|-⌫-⌫--⌫---|--⌫---⌫---|
p arquoyles ioli espensee z	-⌫-|---|--|----⌫-|------⌫|
dars amourousnaf freez	---|-------|---⌫----|
silau i entqu e	|-|--⌫-⌫--|--⌫|
adignersoiez	|-----|----|
en tellieuoutadame u oie z	-|--|---|-|-|---|-⌫---⌫|
bi ena rasassezce m esemble	--⌫-|-⌫--|----|-|-⌫|-----|
deparlerto i et lie ensemble	-|-----|--⌫|-|--|-------|
atable sepeut dedire	|----|-|---|-----|
e t moutdebelesch osesd ire	-⌫|---|-|----|--⌫---|-⌫--|
chescuny peutia ngleretr ire	------||---|--⌫----|-|-⌫--|
ledroitd etab lele desir e	-|----|-⌫|---⌫-|-|-----⌫|
lorsap res boire	---|--⌫--|----|
uien t lesbat	----⌫||----|
qu i lesgensdeditetesbat	--⌫|--|---|----|-|----|
les uinzostentcure	--|---|-----|---|
e ttri stresce	-⌫|---⌫------|
et fontu en ir i oie et	-|---|-⌫--⌫-|-⌫--|-|
moustr eata damebonnechier e	------⌫||-|---|----|-----⌫|
li euz eten telmaniere	--⌫--|-|-|--|------|
on t plusors aamerempris	--⌫|------||---|-----|
a qui depuis	|--|-----|
enestbie np ris	-|--|---⌫|-⌫--|
si ques icit ai d eu i sé	--⌫---|--||-|-⌫--⌫-⌫--|
commentp orras estreauisé	------|-⌫----|----|-----|
d equer rece le	-⌫|----⌫-|--⌫-|
aucleiruiere	-|----|----|
dequituueuztam ie fere	-|--|-|---||--⌫-|---|
or te uoiltretier	-|-|---|------|
enquel guise etenquel	-|---|----|-|-|---|
po r ra tadame es tree spris e	--⌫-⌫-|-|---|--⌫--|-⌫-----⌫|
cele quiis si	---|--|--⌫-|
ar a squi se	--⌫-⌫|---⌫-|
p remieremen tf e rme fianche	-⌫----------⌫|-⌫-⌫--|------|
doizauoiretfer mees peranche	---|----|-|---⌫-|--⌫-------|
et sormontertoutespucel e s	-|--------|-----|-----⌫-⌫|
tant s oi entil	---|-⌫--⌫--|-|
ric hesetbe les	---⌫--|-|--⌫--|
les oisiauxlerontl e c hante r	--|------|-----|-⌫|-⌫-----⌫|
etlesl eurierslieureshanter	-|--|-⌫------|------|-----|
ain z as sezqu efameescondie	---⌫|--⌫--|--⌫|---|-------|
genne s homs d amer	-----⌫|---||---|
quibe auprie	--|--⌫-|---|
meismes unepapelarde	------|--|--------|
dequit une teprendrasgard e	-|--|-⌫|-|-|-------|----⌫|
neleporrascrere	-|-|-----|----|
ce le p lus t ostleuoudrafere	--⌫-|-⌫--|-⌫--|-|-----|---|
amournos asidoctrinez	----|--||-|--------|
quetou zi sommesenclinez	--|---⌫||-----|-------|
etlesfam es co mmeles hommes	-|--|---⌫-|--⌫--|--|-----|
d ex soitquelz pelerins sommes	-⌫-|---|----|-------|-----|
mesentrea teldis tance	--|----||--|---⌫----|
ommedepar l ersauance	---|-|---⌫-⌫-||-----|
et lafame ielos edire	-|-|---|-||--⌫|---|
plusc ouuert ementledesire	---|-⌫------⌫----|-|-----|
l ommedoi tlepremi er preer	|---|---⌫|-|-----⌫-|----|
etenc h au cieretsuppleer	-|---⌫-⌫--⌫---|-|-------|
aprezquant laf ameest conq uise	----|----|-|-⌫--|--|----⌫---|
preera ellesa nzfaintise	-----|---|--⌫-|-------|
finamantrefuse	--|----|-----|
mesprentuersnat ureetmesu se	-------|---|---⌫--|-|----⌫-|
querfamesdoiuen tparnatu re	---|----|------⌫|--|----⌫-|
metre enamer	----|-|---|
toute lorcure	----|--|---|
or enpr en don c lehardem ent	-|----⌫-|---⌫|-|------⌫--|
dam er bie net seurement	|--⌫-|---⌫|-|--------|
aenuis e ntrouuer as une	|----|-⌫|-------⌫-|--|
q uina it l a	-⌫-||-⌫-|-⌫|
uolentecommune	------|------|
toutefameq uequel edie	----|---|-⌫---|--⌫|--|
agrant ioiequantne nlaprie	|----|---|----|--⌫|-|---|
pourescondit	---|-------|
pourcenqu ell e t escondit	---|--|-|---⌫||-------|
e st detel	-⌫-|-|--|
qu e co mbienqu elle	--⌫|--⌫----|-|---|
ait grantard ure	--|----|---⌫--|
siueut el le longuepr oie re	-|---|--⌫-|-----|--⌫---⌫-|
quenen netie ng e a	--|--|-|---⌫--⌫||
apre scens e	----⌫|--|-⌫|
tumeueuzc r ere	-|-|---|-⌫-⌫--|
tudoiztantlabore re tfere	-|---|---|------⌫|-⌫|---|
quecognois sesl axx x	--|-------⌫--|-⌫|--⌫|
q u e tadame a segreeetchiere	-⌫-⌫|-|---||-----|-|-----|
par celleporras tusa uoir	--|----|-----|-|--⌫---|
s esadame porras auoir	-⌫|-|---|-----|----|
sar a metre	---⌫|----|
ue ut enmai ntemaniere	--⌫-|-|---⌫--|------|
m esgardeque	-⌫-|----|--|
cesoittelfame	-|---|--|---|
qui sachele c onsei l	--|----|-|-⌫-----⌫|
e t quip orr ienn e l	-⌫|--|-⌫-|-⌫--|-⌫||
desclorroit	----------|
cenquelleu err oite torroit	--|-|---|-⌫---⌫--|-⌫|-----|
tant lidoiz proieretprametre	---|-|---|-----|-|-------|
queelleyuo illeconseilmetre	--|---||--⌫---|------|----|
sell eueutassezde legier	|---⌫|---|----|-|-----|
porrates grie smalsaleg ier	----|--|----⌫|---|----⌫--|
quantouecs a	----|---|-⌫|
tempsauisera	----|------|
quesesamors et	--|--|----|-|
ses pe nseez	--|--⌫----|
pluslegiertorneez	---|-----|------|
u n temps doucerouse	-⌫|----|---------|
e t enautre fiereetorgueillou se	-⌫|-|----|----|-|----------⌫-|
porce nfaut il	--|--⌫|---|-|
temps esleu	----|----|
touteschoses ont temps	-----|-----|--|----|
e n nouuel	-⌫|-----|
pla in d e ioie	---⌫-|-⌫|---|
r e nouuel	-⌫-⌫-----|
quefamee st drueete nuoisie	--|---|-⌫-|---|-|-⌫------|
tempsquenen laprie	----|--|--|-|---|
et silauientqu ellesepleng ne	-||-|-----|-|---|-|-----⌫-|
qu eso namiuneautretie n gne	--⌫|--⌫|--|--|----|---⌫-⌫--|
lors serade legier	---|---|-|-----|
quantset endr apordecheue	----|-|-⌫----⌫|--|------|
quantla cham ber ierecenuerra	----|-|----⌫---⌫---|--|----|
qui lezsadam eseserra	--|--|-|---⌫|-|----|
moultbi en sarauoie	----|--⌫-|---|---|
par quo y ellaporra	--|---⌫|-|-|----|
lorslidiratantde	---|-|---|---|-|
detoy plesansdoucesetbeles	-|--|------|-----|-|----|
detonbiendet a courtoisie	-|--|---|-|-⌫|---------|
sera toute esbah i e	---|----|-----⌫-⌫|
cilest douz e tc o rtoiset	--|--|---|-⌫|-⌫-⌫----|-|
prop re fetisdedroitaag e	----⌫-|----|-|----|---⌫|
touzior suo udroi tioueretrire	---|---⌫|--⌫-----⌫|----|-|---|
ceest quanquenenpu etd i re	-|--|------|--|--⌫-|-⌫-⌫-|
t ouzautres est	-⌫--|-----|--|
ie croiquel	-|---|-|-|
monden as onper	----|||-⌫-|--|
te lzhoms doit bien	--⌫-|---|---|---|
seho m melaquisoit	-|--⌫-⌫-|||--|---|
iceliuousaime etdesire	----|---|---|-|-----|
c elipo ruousplaint etsospire	-⌫--|--⌫|---|-----|-|------|
t elzhomsdeuez uousfe reamis	-⌫--|---|----|---|--⌫-|---|
qui t out son cuer	--|-⌫--|--|---|
enuousamis	-|---||--|
de biename ru ienttoutdeduit	-|---|---⌫|-⌫---|---|-----|
te smoigneetledit	--⌫------|-|-|--|
nulne so itqueioi epuetes tre	--|-|--⌫-|--|---⌫|---|--⌫--|
se il nad amorsesté mestre	-|-||||----|----|-----|
orame z don c seu rem ent	-|---⌫|---⌫|---⌫---⌫--|
quan tuous auezl eesement	----⌫|---|---||-------|
cil quine fet quan tilpuetfere	--|--|-|--|----⌫|-|---|---|
n e fetquantsonuouloir re pere	-⌫|--|----|--|------|--⌫---|
partelz parolesous e mblab les	--|---|------|-|-⌫-⌫-----⌫--|
propresa cen etcouuenables	------||--|-|----------|
ser a l a dame acord ee	---⌫|-⌫|---|-----⌫-|
ab ienameretes tre amee	|-⌫--|---|-|--⌫--|---|
chambriere yueutentendr e	---------||---|-------⌫|
n ulemeil l orreyni peus tendre	-⌫--|----⌫-⌫-|--|||---|-----|
qu eria niert famesibienprise	--⌫-|-||---|---|-|---|----|
c ommese p arfame es t conquise	-⌫---|-|-⌫-|---|--⌫|-------|
mesgardebienquetu necouches	--|----|---|--|-|-|------|
ol anenet ou ches	|-⌫|-|-|-⌫--⌫---|
setulauees a cointi e e	-|-||----|-⌫------⌫-⌫|
taca useen	-|--⌫--|-|
seroit retargiee	-----|--------|
tantost detois apreu cheroit	------|-|--||-----⌫------|
etsamest resseesloigne roit	-|-|----⌫----|--------⌫---|
issile feroit	---|-|-----|
querilnia telcommese y	---|-||||--|----|--⌫|
s i te seroit	-⌫|-|-----|
tropmescheu	---|------|
sede tamieest oit seu	-|-||---|---⌫--|--|
que r tuperdroiesaunehore	---⌫|-|--------||--|---|
cen que tuueuzquite secore	--|--|-|---|--|-|-----|
se nseroitil uerement	|-⌫|-----|-|-------|
querfamessontenteldement	---|----|---|-|--|-----|
d e nouueleset querre	-⌫|-------|-|-----|
qu il n estrienq ui le	-|-||--|---|-⌫-|-|
pui ssecrere	---⌫--|----|
or te ga rde d oncdecenf ere	-|-|--⌫--|-⌫--|-|--|-⌫--|
se amorsueus a bon ch ieftrere	-|----|---||--|--⌫--|----|
ilcouuien t tr op droitcari er	-|-------⌫|--⌫-|----|----⌫-|
quiue rsamour s	--|--⌫-|-----⌫|
seu eutlier	-|-⌫--|---|
a presd oizatadam eescrire	-⌫---|-⌫--||-|---⌫|------|
soitenparcheminouenchire	---|-|--------|-|-|----|
tauolentee t	-|------|-⌫|
ton courage	--|------|
humbleme ntetpar douzlangage	--------⌫-|-|--|---|------|
nesees de preerescars	-|---|-|----|-----|
combi enqueld ie sesescars	-----⌫-|-|-|-⌫-|--|-----|
parleret biau	-----|-|---|
fai t le n durcuer amol ier	---⌫|--⌫|--|---|----⌫--|
n e tien prieres afriuoles	-⌫|---|------||-------|
dex le s sauertuemparoles	--|--⌫-⌫-|----|-|------|
parb iau parler	--|-⌫--|-----|
u ientgr ant eur	-⌫---|--⌫--|--|
parmesparler gran tme seur	--|--------|----⌫|--⌫---|
dex meisme squitout	--|------⌫|--|---|
quantau c un y	----|--⌫-⌫--⌫|
me sfetlya	--⌫---|-||
nesoitrefuserqu i	-|---|------|--⌫|
mes sonmes fet t an tost oublie	--|--|---⌫--|-⌫--⌫---|-----|
or es cri doncentelm aniere	-|--⌫--|---|-|--|-⌫-----|
aupremiera tadame c hiere	-|------||-|---|-⌫----|
aitm otdeui l anie	--|-⌫-|-|--⌫-⌫---|
mes dhenor etde cortoisie	--||----|-|-|--------|
partesletresporras aquer re	--|--|-----|-----|-----⌫-|
s amourets oncorageenquerre	|----|-|-⌫-|-----|-------|
mes gardequ el zsoient	--|----|-|--⌫|-----|
quet onnon	--|-⌫-|--|
nele soe n ni	-|-|---⌫|||
telsedeui e ntlesouuriroit	--|-|----⌫-⌫-|--|--------|
quitan to stu ous desco uuriroit	--|---⌫--⌫-|-⌫--|-----⌫-------|
etamourquinestbiencelee	-|----|--||--|---|----|
ne puetestre a longueduree	-|---|----||-----|----|
peutferegrei gnor perte	---|---|----⌫---|----|
s amor estde sc ouuerte	|---|--|--⌫--⌫------|
ces cunle d i tcescun lecrie	---⌫--|-|-⌫-⌫|-----|-|---|
sienso rt blasmeet	-|-|--⌫-|-----|-|
censeutil auenir	--|---|-|-----|
amou rne p ue t tenir	----⌫|-|-⌫--⌫|----|
quetelzplesettel	--|---|---|-|--|
iangle rie	------⌫--|
so ntcausede lapartie	--⌫-|----|-|-|-----|
a morsquineson t bien celees	-⌫---|--|-|---⌫|---|-----|
sontsurtoutesr i e nsdiffamees	---|--|-----|-⌫-⌫-⌫-|--------|
quechescun le moustreole do i	--|------|-|------||-|--⌫|
b i en letepuisnonchier etd oi	-⌫-⌫-|-|-|---|-------|-|-⌫-|
pourcendoi zs if e ret al eitre	---|--|---⌫|-⌫|-⌫-⌫-|-⌫|-⌫----|
quenon ne sornonnidoi z metre	--|--|-|-----|||---⌫|----|
folie estde cendescouurir	----|--|-|--|---------|
quenendoitceleretcouurir	--|--|---|----|-|------|
prametli assezdep ramesse s	-----|-|----|-|-⌫-------⌫|
grosses e tgrandes	------|-⌫|------|
etespe sses	-|----⌫---|
debone horefumisaleitre	-|---|---|-|--||-----|
q uicortoi seme nt soitprame t re	-⌫-|------⌫----⌫-|---|-----⌫-⌫-|
assezprametrepetit	----|-------|----|
etsisortle	-|-|---|-|
coura geetlieue	-----⌫-|-|----|
c hescunpuet pramessesauoir	-⌫-----|---|--------|----|
comb ien qu ila itde	----⌫--|-|-|-⌫-|-|
pram essestr eentl espucel es	----⌫----|--⌫---|-⌫-|-----⌫-|
etfontueniranos	-|---|----||--|
pra messesounenafianche	---⌫-----|-|--||------|
d onn e nt lonc t empsgrantesperanche	-⌫---⌫-⌫-|---|-⌫---|----|---------|
pramess e stornentlescourages	-------⌫-⌫|------|--|-------|
atou tes gensdetouz aages	|---⌫--|---|-|---|----|
unfo l qui	-|--⌫|--|
ua en lesse	-|-|----|
debelepramesse	-|---|-------|
fai ntouzior squ edonnerlidoie z	---⌫|---|---⌫|--⌫|-----|-|----⌫|
l e donque pramizli auo iez	-⌫|--|--|-----|-|---⌫--|
lors setendrabiena ssignee	---|-|-----|---|-⌫------|
delapr amessereco rdee	-|-|--⌫-----|----⌫---|
mesquelzpramesses qu e tufaches	--|----|--------|--⌫|-|-----|
gardebienquene perfac hes	----|---|--|-|------⌫--|
en sen l orea ubas temetrees	--⌫|-||--|-⌫|--|-|------|
setelz choses liamordees	-|---|-----|-|-------|
ie ne dipas	-|-|-|--|
queioueles	--|------|
p e tispro pr e s etneteles	-⌫-⌫--|---⌫--⌫-⌫|-|------|
ne doi eztelf oizestdo nner	-|---⌫-|--|-⌫--|--|--⌫---|
bi enl e sara	--⌫-|-⌫|---|
guerredonner	-----------|
pardonnerpu etgrantbie n uenir	--|-----|--⌫-|----|---⌫|----|
souuentleueonauenir	------|-|---|-----|
parprendreet	---------|-|
donnerce me semb le	-----|-|-|----⌫-|
sontmere etfille bienen semble	---|---|-|----|---|--⌫-----|
aupremierestfort s anzdonfere	-|------|--|---|-⌫--|--|---|
que tu tepuissez	--|-|-|------|
pour cen fau t ilque sagement	---|--|---⌫|-|--|-------|
aquergessonacoint ement	-------|--|------⌫----|
garque taleitr e ne	--|--|-|-----⌫|-|
ch os e quiaennuyliuienge	--⌫--⌫|--||----|-|-----|
en tel letrenedoitauoir	-|--|----|-|---|----|
tr ite sche cedo iztusauo i r	--⌫---⌫---|-|--⌫-|-|----⌫-⌫|
se len eueutla	|-⌫-|-⌫|---|-|
leit reprendre	----⌫-|------|
messanzl iere late	--|---|-⌫---|-|-|
fetrendr e	--|-----⌫|
quarelmuera	---|-|----|
sonc ourage	--|-⌫-----|
t antostsese rarep entue	-⌫-----|-|--⌫-|---⌫----|
leitrenaral eue	-----||--|-⌫--|
fa m e mueplustostpensee	--⌫-⌫|--|---|---|-----|
que ta m ain naroieztour nee	--|-|-⌫--||-----|----⌫--|
liet etne r escriue	---|-|-|-⌫------|
n el i co ntra ing ne n enestriu e	-⌫|-⌫|--⌫----⌫--|-||-|------⌫|
mesdoi zlor s souu ent enuoier	--|---⌫|---⌫|----⌫--|------|
beles let re s pourlieproier	----|---⌫--⌫|---|--|-----|
q uantun esenarasleues	-⌫---|--⌫-|-|---|----|
lesautres serontreceues	--|-----|-----|------|
apresseraentalentee	----|---|---------|
de rescr i retoisapens ee	-|-----⌫-⌫-|--|-|----⌫-|
prem ierementa auen t ure	----⌫-------||----⌫-⌫--|
terendralet retriste etdure	-|-----|---⌫-|-----|-|---|
parquoy teuo udrasuppleer	--|---|-|--⌫---|-------|
quen elauoille spluspreer	--|-⌫|-|------⌫|---|----|
mespou rcennetesbahiz m i e	--|---⌫|--|-||------|-⌫-⌫|
q uar combienque	-⌫--|------|--|
telchosees crie	--|----|--⌫---|
sa uolenteestducontre re	-|------|--|-|------⌫-|
el l efet pour	-|-⌫|--|---|
