silzliuresquestcien	---|-----|-|--|-|-|
contenanceli aipr omi s	---------|-|-|--⌫---⌫|
en si ncfutl a ter r eapais ie	--⌫--⌫-|--|-⌫|---⌫-⌫|-----⌫-|
de iug ep art mout	-|---⌫|-⌫--|---|
l enmercie	|-|-----|
de ceste fablees t lientente	-|----|----|--⌫|-|------|
q u enunsa malne seconsante	-⌫-⌫|---||--|-|-|-------|
ma uaises t	--⌫---|--⌫|
quidema l fairesaparoille	--|-|--⌫|----||--------|
q uisaiges esttouziou r sse	-⌫-|-----|--|---|---⌫-⌫|-|
ent outleus	-|-⌫--|---|
sonprof it regar de	--|----⌫-|-----⌫-|
seconsantea malfait	-|-------||------|
car s ore faituien t	--|-⌫---⌫---|----⌫|
a deffa it	|-----⌫-|
fainsf i stissirde	----|-⌫-⌫-|----|-|
loloucuilago ule	-|--|--|-|--⌫--|
angoissousfutm out	---------|--|-⌫--|
demaingie r	-|-------⌫|
bie ncuido itdefain enraigi er	---⌫|-----⌫-|-|---|-------⌫-|
o rse garde	-⌫|-|----|
mor ss eramaisqu easamainuiegne	---⌫|-⌫--|------⌫||-|---|-----|
untorelenmi	-|----|---|
unprelu it	-|---|-⌫-|
cilquiderober	--|--|-|----|
loprant si li toillitlocorre	-|----|-|-|------|-|----|
panc e tos t anforre	----⌫|---⌫|-|----|
touz fudesmanbrezetdeffait	---|-|---------|-|------|
dem or seasma l tailliezen	-|-⌫--⌫---|--⌫|-------|-|
desonuantre	-|--|-----|
li ai faitf o sse	-|-|---|-⌫-⌫--|
m all iauientqu il s enenosse	-⌫-|-⌫|-----|-|-||-|-----|
quartantot	---|---|-|
soffertfaindestroi te	------|---|-------⌫-|
quelagorgelanfutestroite	--|-|----||-|--|-------|
auu ecc equilere	---⌫-|-⌫|-|-|--|
pl us e stoit quatrefoizgolous	--⌫-|-⌫----|-----|---|-----|
enmaintesterresfai tquerir	-|------|-----|---⌫|-----|
s a uie guarir	-⌫|--|-----|
oiseas etbestessasemblarent	-----|-|-----||----------|
percommuncon soi lacorderent	--|-----|---⌫---⌫|---------|
q uelagrued eustcef aire	-⌫-|-|---|-⌫---|-|-⌫---|
qu ar grantcolai	--⌫-|----|--|-|
os fu ertraire	-|--⌫-|-----|
lilous g ran t guierdon li promat	-|---|-⌫---⌫|-------|-|-----|
et sa foien guaige l enmat	-|-|--|-|-----||-|--|
maisqueporde usanz plusatendre	------|--|--⌫|---|---|------|
uuilleensagarisone ntendre	-----|-|-|------|-⌫------|
li loush ueuresa	-|---|-⌫----|-|
g oule t oute	-⌫---|-⌫---|
la grue son col	-|---|--|--|
ded anzbote	---⌫--|---|
fue r entra itlos persama i trise	---⌫|-|---⌫-||-|--|-|--⌫-⌫----|
lil ousfutgar iz	-|-⌫--|--|---⌫-|
entelguise	-|--|----|
quarie tai tasanteyr andu e	---|-||-|-|-----|-⌫----⌫|
ensorriantrespontlilous	-|-------|------|-|---|
suisperillous	---|--------|
pansa queie tepuissemor dre	----|--|-|-|-----|---⌫--|
ettongrantcol	-|--|----|--|
douburcestor dre	--|---|-----⌫--|
se uuilliss e our erpercorrouz	-|--------⌫|---⌫-|--|------|
a mesdanzt efustlicolrou z	|--|---|-⌫|---|-|--|---⌫|
nemefu stiait enuz	-|-|--⌫-|--|-⌫---|
seuss eu seyde	|----⌫|-⌫--|-|
monoffic e	--|-----⌫|
quar nunsne doitmalgre sa uoir	---|---|-|---|--|--|--⌫---|
acelu iqui fait	|----⌫|--|---|
s ondauoir	-⌫-|-----|
t uuizdon cper	-⌫|--|---⌫|--|
m a cortoi sie	-⌫|------⌫--|
o rrecoig noisdem o ita uie	-⌫|------⌫---|-|-⌫-⌫|-|--|
n eme que riraut r eguierdon	-⌫|-|---⌫--|---⌫-⌫|-------|
ta uie tient per	-|--|----|--|
moutg ran td on	---|-⌫---⌫|-⌫-|
a m auaistroppetitseuient	|-⌫----|---|----|------|
doubienqueper	--|---|--|--|
autrui liuient	-----|-|----|
demauais nereportongrace	-|-----|-|-----|-|----|
quelqueseru i seconli face	------|----⌫-⌫-||-|-|---|
unechinedechela tploigne	--|----|-|-----⌫|------|
tantquele aloita moutgrant	-----|--|----||---|----|
uienta unesuecompaigne	----||--|--|--------|
lisesmax depl ai gne	-|--|--|----⌫--⌫--|
angoissousefumoutlachine	----------|-|---|-|----|
touteliuai	----|-|--|
pliantla ch ine	-----|-|--⌫--|
pa rolesot	--⌫----|-|
mout atraissanz	---|---------|
effaitieset	--------|-|
bien plaisanz	---|-------|
elealoi tquer ant	--|----⌫|----⌫--|
alautredi tenso n	||----|--⌫|-|--⌫|
l anguaige	-⌫-------|
su erqu arm euuilles	--⌫-|--⌫-|-⌫|------|
tantqueme puissede schargier	------|-|-----|--⌫--------|
de cestf esque	-|---|-⌫-|--|
porteenmon	----|-|--|
l autreli respont	|----|-|------|
ceanzentr e	----|----⌫|
ent elpointn ete puisfaill ir	-|-⌫-|----|-⌫|-|---|-----⌫-|
uuilportoisaillir	---|--|--|------|
leanzentres iser epos e	----|----|-⌫|-|-⌫----⌫|
lautre estde s a maisonfuer close	|----|--|-|-⌫|-----|---|----|
celes enuailautrede more	---||-|--||----|--⌫---|
deliuré s	-------||
estenpetitdore	--|-|----||--|
ga riefut enqu iseiorne	--⌫--|--|----⌫|------|
ettandislia utre r etorn e	-|-----|-|-⌫---|-⌫-----⌫|
des amais on req uiert l	-|-⌫|----⌫-|---⌫----||
lautreli aifortrefusee	|----|-|-|---|------|
celelidist ieteprestai	---|-|---|-|-|------|
ma m a isonpor	-|-⌫-⌫---|--|
t oi manostai	-⌫-||-|----|
futac ertainusaig e	--||-⌫-----|-----⌫|
randrela medoizsanz domaige	-----|-|-|---|---|------|
puisquetue sfait tabesoigne	------|-|-⌫|---|-|-------|
r anlamoiquardro izlo t e nsoi gne	-⌫-|-|--|---|---⌫-|-||-⌫----⌫--|
belesuer pe rma	---|---|--⌫|-|
cor t oisie	---⌫-⌫----|
n e m e ra nd repesuilonie	-⌫|-⌫|--⌫--⌫-|--|------|
ensinc la priedouce mant	-----|-|---|-----⌫---|
lautre resp ont	|----|----⌫--|
mout fiere mant	---|-----⌫---|
ian suisbien enpossess ion	|-|---|---|-|-------⌫--|
mue zenua ut	---⌫|-|--⌫-|
ma condic io n	-|------⌫--⌫|
c eq uelon ti enton doit tenir	-⌫|-⌫-|--|--⌫--|-|---|----|
tantcomeo n l opuetmanteni r	---|---|-⌫|-⌫|---|-------⌫|
celeai tel	---|-|--|
s etquef ace	-⌫-|--|-⌫--|
loprierlaisse simena ce	-|----|-----|-|----⌫-|
dou m enacie ruientacomba tre	--|-⌫------⌫|----||-----⌫--|
po uldousuen li cos tebien	--⌫-|--|---|-|---⌫-|---|
quarl autrequ	---||----|-|
es t por ses	--⌫|--|--|
cheasgrigne	----|-----|
ta ntf ortco rtsusa cestechine	--⌫-|-⌫--|--⌫-|--||----|----|
queleli faituuidier	-|--|-|---|------|
toutfu e r de son po rprisla	---|--⌫-⌫|-|--|--⌫----|-|
ensincremesten lam a ison	-----|-----|-|-|-⌫-⌫---|
et lautreper ditsa r aison	-||----|---⌫--|-|-⌫----|
tost sestblanchep ar oleatrair e	---|---|------|-⌫--⌫--|------⌫|
per s onart	--|-⌫-|--|
lo foldebonair e	-|--|--------⌫|
b elep arolefait follie	-⌫--|-⌫----|---|--|--|
p orc ouens ontmain t	-⌫-|-⌫-|-|-⌫--|----⌫|
pe rillié	--⌫------|
ont cruilegierema nt	--|---|---------⌫-|
doncd ois r egardersaig emant	---|-⌫--|-⌫------|----⌫----|
selaparole	-|-|-----|
estfaus eouuoire	--|----⌫|-|----|
ettouzioursdoise n dot ant croire	-|---|----|---|-⌫|---⌫--|-----|
gard e i emaisnecon sentir	----⌫|-⌫----|-|---⌫-----|
a homeq uibelse stmentir	|---|-⌫-|--|--⌫-|-----|
e ncelu itens	-⌫|----⌫|---|
quela f roi dure	--|-|-⌫---⌫---|
desuitlesbois de	-----|--|---|-|
louruerd ure	---|----⌫--|
t outherupelezetchen uz	-⌫--|--------|-|----⌫-|
estoityuers li uiez uenuz	-----|----|-|---|----|
labisef acoittel	-|---|-⌫----|--|
que l iarz e n	--|-⌫|--|-⌫|
ere tozfroiz	--|--|----|
tanten dormit leseaslagl ace	---|--⌫-----|--|--|-|--⌫--|
que delourc ours perdentla trace	--|-|---|-⌫---|------|-|----|
un sproudonspe rsac ortoisi e	--⌫|-------|--⌫|-|-⌫-------⌫|
unecol ueu r e	--|---⌫---⌫-⌫|
ai abergie	-|------|
quidefainet	--|-|---|-|
defr oitmoroit	-|--⌫--|-----|
ditliquechiesl uidemoroit	--|-|--|----|-⌫-|-------|
de sozsonto itla	--⌫--|--|--⌫-|||
etcon treleuanzmante lee	-|---⌫--|-|---|-----⌫--|
lefroitliat empreperchaut	-|----|-|--⌫----|--|----|
a lac olue urepouenchaut	|-|-⌫----⌫--|--|-|----|
sonuenin g iete pe rsab o iche	--|----|-⌫---|--⌫|-|-⌫-⌫---|
toutela maison enentoiche	----|-|-----|-|-------|
l ostesliditsenz ret orner	|----|-|--|---|---⌫----|
tan uaisenzpluscyseiorner	|-|--|---|---|-|-------|
iet abergaiper	-||------|--|
et tu mas entant	-|-||-|-|---|
de spi tié	--⌫---⌫---|
que mamai sonmes	--|-|---⌫--||-|
por pitie z merent	--|-----⌫|-|---|
celeneuuet prandrecong ier	---|-|---|------|----⌫--|
doudep ertir fa it g rant dongier	--|---⌫----|--⌫-|-⌫---|------|
auderrierditqu encel menoir	-|------|--|-|-|--|-----|
uuetmal greloste remenoi r	---|---⌫--||---|-------⌫|
p or corroz	-⌫-|-----|
sibl oi t lacolueure	----⌫--⌫|-|-------|
por son uenin plusfortesmueure	--|--|----|---|---|-------|
son ostemenace	--|---|-----|
aluis eiointa ucollolace	|--|-⌫|----|-⌫|--|-|---|
ases denz uenimouslo	|--|---|-------|-|
te nslou giete mort	--⌫-|--|----|---|
p eruerse na tur e	-⌫------|--⌫---⌫|
suetrandreporbienfaitiniure	---|-----|--|-------|-----|
porcortoisierent laidange	--|--------|---|-------|
tantdubien	---|-|---|
malseuang e	--|-|----⌫|
felonsne se itautruiamer	-----|-|--⌫-|-----|---|
pertoutuuets on u eninsam mer	------|---|-⌫-|-⌫---|---⌫--|
pirelo sentqui miez li	---|-|---|--|---|-|
touzioursrant de b ienfait	---|----|---|-|-⌫------|
c o lfrai t	-⌫-⌫|----⌫|
liceng lersuailateste	-|----⌫---|--|-|----|
lasneslo uoitsisan eschine	|----|-|---|-||-|------|
lifoibles d ouforto sserir e	-|------|-⌫-|---|-⌫--|---⌫|
et samblant fitde faire	-|-------|--|-|----|
dextesau t	--|-|---⌫|
f rereau portsauaige	-⌫---|-|---|------|
asnes aufoluis aige	----|-|--|---⌫---|
s anz esc h inement	-⌫--|---⌫-⌫------|
etsenzrire	-|---|---|
dos tauoi rditdexuous sautsi re	---⌫|----⌫|--|--|---|---|--⌫-|
liceinglers en t en tlaparole	-|--------|--⌫-⌫--⌫|-|-----|
per matalent	--|-------|
la te ste ancrole	-|--⌫--|-|----|
sanzrespondre lateste en	---|--------|-|----|-|
dedanz soifrem i tpergrant	-----|--|----⌫-⌫|--|----|
silneusttempreysoncor roz	|-||---|------|--|---⌫--|
ia fustlifolsasn es derouz	-|---|-|---|---⌫-|-----|
dit lipors tauieen	--|-|---|-|--|-|
me tiesoulemantperde spit	--⌫|-|--------|--|--⌫---|
nunsiugeroit ce aproesc e	---|-------|-||------⌫|
forceuointt ap aresce	----|----|-⌫|-⌫-----|
manobledentpasnedemande	-|----|---|--|-|------|
morsel desi ordeuiande	-----|-|-|---|-----|
placequ e siuil c hose	----|--⌫|-|--|-⌫---|
dedanz m apancesoitenclose	-----|-⌫|----|---|------|
tau itezestort des aison	-|-⌫---|--|--|-|-⌫----|
alertenpuezentamaison	---||-|---|-|-|-----|
asaigeho me	|----|--⌫-|
sentco ignoit loprof it	---|--⌫-----|-|----⌫-|
lifolsquiest sanzcon oissance	-|---|--|--|---|---⌫-------|
nesethonorer sapience	-|--|------|-------|
lifolsnedoittr uferlos aige	-|---|-|---|--⌫---|-|-⌫---|
folie nestpas ua sselaige	----||--|--|--⌫-------|
quiuuetabien uenir	--|---||---|----|
doitsapien ce	---|------⌫-|
chier tenir	----|----|
unerateencitey norrie	--|---|-|----|-----|
deseiorner fut enoie	-|-------|--|----|
por reco urers onapetit	--|----⌫---|-⌫-|-----|
esbatre seuai un	------|-|--|-|
lirat edeschans	-|---⌫|--|----|
e n samaisonlan a imenee	-⌫|-|-----||-|-⌫|----|
os t e defairefeste	--⌫-⌫|-|----|----|
s efforcel ataublefu t preste	|------|-⌫|-----|--⌫|-----|
l a uiande	-⌫|-----|
ere e ssezpetite	--|-⌫---|-----|
biensa mbloitu iandedermite	---|--⌫-----|-⌫----||-----|
orgefeues grains defromant	---|----|-----|-|------|
liai doneycor toi semant	-|-|----|---⌫---⌫-----|
lapoureteys ambler ri chesce	-|-------|-⌫-----|--⌫-----|
fait delachie relaliesce	---|-|-|----⌫-|-|-----|
bien de mostree n	---|--⌫-----|-⌫|
laf ranchise de soncoraige	-|-⌫-------|-|--|------|
ententcet uq uiuuezauo ir	-----|-|-⌫|-⌫-|---|---⌫-|
h onour es ho stes receuoir	-⌫----|-|--⌫---|-------|
se tues essez ess ezdone	-|-|-|----|---⌫-|---|
lo p oul uol unt ier abandone	-|-⌫--|---⌫---⌫--|-------|
soitpoulsoit auque snetechaill e	---|---|---|-----⌫|-|-|------⌫|
lunet lautr e uoluntierb aille	|-|-||----⌫|--------|-⌫----|
setudones li emantdone	-|-|----|--⌫----|---|
ua illeouneuail lel apersone	--⌫---|-|-|----⌫-|-⌫|------|
decortoisiecestlasome	-|--------||--|-|---|
sortoute schosea uaillant home	--|-----⌫|----||-------|---|
qu econlidointplaitbelechiere	--⌫-|-|-|----|----|---|-----|
toutr efaitouerte	---|-⌫----|-----|
do umauaisuois tuenaper t	--⌫|-----|---|-|-|----⌫|
quiplusimat et plusipert	--|---||--|-|---||---|
deriens ne setienta p aiez	-|----|-|-|----||-⌫---|
maistouziorss e	---|---|---|-⌫|
su et gramoier	--⌫-|-------|
po rcede t elxgen znetech aill e	--⌫|-|-|-⌫--|---⌫|-|-|--⌫----⌫|
f ai tondauoiruai lle que	-⌫-|--|-----|---⌫--|--|
ason ostelatauble	|--|---|-|-----|
d it ensincl a ratepriuee	-⌫-|-----|-⌫|---|-----|
s uerm outme plaittacharitey	-⌫--|-⌫--|-|----|-|-------|
uien auuec moi enma	---|----|--|-|-|
tumoinnescy	-|------|-|
moutpou reuie	---|---⌫-|--|
m amais onest moutbien	-⌫|----⌫-|--|---|---|
il nestriens	-||--|----|
pui squeil	---⌫---|-|
tep la ise	-|-⌫--⌫--|
quetu n itr ouoiesa	--|-|||--⌫-----||
queces te lipromat	--|---⌫-|-|-----|
ch eminsemat	--⌫---|-|--|
dedan zunc eilliersont entrees	-----⌫|-|-⌫------|---|------|
maintesuian des onttrouees	------|----⌫--|--|------|
lapriuee l	-|-----||
autre sa uai ge	----|--⌫---⌫-|
se montet lifaitlie usaig e	--⌫---|-|-|---|--|-----⌫|
liap aroille	-|--⌫------|
tantqueliautre san	------|-|----||-|
me ruoille	--⌫------|
entr au spansentde	---|--⌫|------|-|
lour de dui re	---|--⌫---⌫-|
ata ntezuousen laserruire	|--⌫-|-|---|-|-|-------|
sonentles c lerset lihuisbra ient	-----|--|-⌫---|-|-|---|---⌫---|
celesfuientqui	----|-----|--|
mout sesmaient	---||-------|
quanere a prise	-|-|--|-⌫----|
en sa doie re sesttost	-|-|----⌫-||--|---|
la utre remesttoute	|-⌫---|-----|----|
cu ideperdrela	--⌫--|-----|-|
cort cai cortlaineseto u	---|--|---|--|-|--|-⌫|
aumurse iointpe rauentu re	-|--|-|----|--⌫|------⌫-|
tientfor tunelagarde	----|---⌫---|-|----|
q ue lihu ssiersnesanprantgarde	-⌫-|-|--⌫-----|-||-|----|----|
clots eshu isetsanto rneerri ere	---|-⌫-|--⌫-|-||-|--⌫--|----⌫--|
laratesaut	-|---|---|
desadoier e	-|-|-----⌫|
asa comp ai gn e uientqui tramble	|-|----⌫--⌫--⌫|----|--|------|
de p aouraifie urec e samble	-|-⌫---|-|---⌫--|-⌫|-----|
be l et do ucemantlaconfor te	--⌫|-|--⌫------|-|------⌫-|
etdem aingie rformant	-|-|-⌫------⌫|------|
cest euiandeestsa u oree	----⌫|-----|--|--⌫-⌫---|
suersicomebrescheenmellee	---|-|---|------|-------|
lautrerespontien an	|----|------|-||-|
uuilpoin t	---|----⌫|
cestedoucours	----|-------|
formant mepoint	------|-|----|
en celm iezai ueninsanzdot e	-|--|-⌫--|-|----|---|---⌫|
en peril semest	-|----|-|---|
quia ngoute	--|-⌫|----|
enboichetropcusancenouse	-|-----|---|-----------|
n estuiandebie n s auerouse	|--|-----|---⌫|-⌫-------|
a i sene pue testresanzfaille	-⌫-⌫-|-|---⌫|----|---|-----|
cui paouret cusanttrauaille	--|----|-|-----|--------|
i ain muez map ourefaue ror e	|--|---|-|-⌫---|---|---⌫|
questre enperil a chesc unehore	-|----|-|----||-----⌫--|---|
toisontbonesces te sricheces	--|---|----|---⌫--⌫|-------|
quine d oute	--|-|-⌫---|
cri nemenace s	--|-|------⌫|
tuestantdelutin	-|-|---|-||---|
toi ne chautsetuesreprise	--|-|----|-|-|-|------|
cemestric hescesouerainne	-||--|---⌫----|---------|
que lon ne	--|--|-|
messaillenetaigne	|-------|-|-----|
uasansa parole	-||-|-|-----|
seslit laplussegureu ie	|----|-|---|-----|-⌫-|
qui de trophautchoird o tel	--|-|---|---|----|-⌫-⌫-||
saige sestsetrophaut nem onte	-----⌫|--|-|---|---|-|-⌫---|
l iescefonte tsoffi sance	-⌫----|---|-⌫|-----⌫----|
ri c hescenonpaisabondance	--⌫-⌫----|--|---|--------|
pouretez estn on paisri chesc e	-------|--|-⌫-|---|--⌫-----⌫|
auoirscun despe ntentristesce	-----||-|-----⌫-|-|--------|
laigle outauulpilsaligni e	|----|--||-----|-|-----⌫|
tolue r enarslideprie	----|-⌫----|-|-----|
que se sanfanzli	--|--⌫|-----|-|
uuille randre	-----|-----|
maiscele ne l o uuete nt e n dre	---|---|-|-⌫|---|-⌫--⌫-⌫-⌫--|
uerssonny adresc e sa uoi e	---|--|-|------⌫|-|---⌫|
a ses puci nsliur ela proie	|--|----⌫-|----⌫|-|----|
liuulpillazcriente tbrai ent	-|--------|-----|-⌫|----⌫--|
qu arpo rle s	--⌫-|--⌫|--⌫|
aig lesforts esmaie nt	---⌫--|---||------⌫-|
desonengin re narourer	-|--|----|--⌫--|----|
uuetporsespucins recourer	---|--|--|-----|-------|
prent es t ouleet boisd ebruier e	----|--⌫-⌫---|-|---|-⌫|------⌫|
etchosesquibie nfontfumiere	-|-----|--|---⌫|---|------|
lonylofeu alume	-|-|-|--|----|
t ouzles puci nsa l a igleenfume	-⌫--|--|----⌫-|||-⌫---|-----|
la ig lequif ut saige	|-⌫--⌫-|--|-⌫-|----|
lop eriluitdesalignie	-|-⌫---|--|-|-|-----|
sesanfa nzran trenart antost	--|----⌫-|---⌫|----|-⌫-----|
qu eleliauoitd euantto st	-|--|-|----|-⌫----|--⌫-|
porles suenstant	--|--|----|---|
doucem an t proie	------⌫--⌫|----|
qu e ren arz saproiereout roi e	--⌫|---⌫--|-|------|---⌫---⌫|
mout fait mal ioer	---|---|--|---|
biensese tuangi erpe rson	---|-|--⌫|-----⌫-|--⌫|--|
liplusgrantperforce es triue r	-|---|----|--|----|--⌫-----⌫|
lo p eti t n edoitn e greuer	-|-⌫---⌫|-⌫|---|-⌫|-----|
en peti t corsgitbie n	-|----⌫|---|--|---⌫|
grantar me	----|--⌫-|
quip e rsentcont re logra nts	--|-⌫-⌫|---|----⌫-|-|---⌫-||
liaiglet andi squelechace	-|----|-⌫----⌫--|--|----|
dedanzsa creuseune lima ce	-----|-|-----|--|----⌫-|
la irl an aiportee	|-⌫-||-|-|-----|
licorbeaxq uilai	-|------|-⌫-||-|
encontre e	--------⌫|
liditq uecelfai s	-|--|-⌫-|--|---⌫|
libailloit	-|-------|
qua r pors onus rien sn eu aloi t	---⌫|--|-⌫-|-|----⌫|-⌫|-⌫----⌫|
ceneest chose couenable	-|-|--|----|--------|
am o iestp rofitauble	|-⌫-⌫|--|-⌫---------|
bo ne ui andea idanzlacru ise	--⌫-|--⌫---|-⌫|---|-|---⌫--|
souquefoliene tenuise	--|--|----|-|-|----|
trop hautleuer	---|---|----|
a c heoir s epo rroit creue r	|-⌫----|-⌫|--⌫----|-----⌫|
us ede sent non	--⌫|-|---|--|
pasdefo rce	--|-|--⌫--|
porgard ercequ est	--|----⌫-|-|-|--|
danslesc orce	---||---⌫---|
laigledespitceleparo l e	|----|-----|---|----⌫-⌫|
tantcomepu et	---|---|--⌫-|
e nhautsen	-⌫|---||-|
la cru isebrisesili	-|---⌫--|----|-|-|
porce quenecruit	--|-|--|-|----|
li mes c hiet	-|---⌫-⌫---|
