di reledoit	--⌫-|-|---|
lesaro nt cardo n t aur ler	-|----⌫-|--|--⌫-⌫||--⌫--|
pris tr oe niausetac ri er	----⌫|-⌫--⌫----|-||-⌫--⌫-|
i aitoutperdu tr a it r ai	|-|---|----|--⌫-⌫|-⌫-⌫-|
m i p risonnierenso ntfui	-⌫|-⌫--------|-|--⌫-|--|
lirois nob lesau crisesue i lle	-|---|---⌫--|-|--||----⌫-⌫--|
ettouteli ossapa reille	-|----|-|-||---⌫-----|
dar mes quilcuide ntass ali	|--⌫--|-|-|-----⌫-|---⌫--|
soientnonsont pluseu r	-----|--|---|------⌫|
ensont uenu mesmeslirois	-|---|---|-----|-|---|
iestuenus ahaute	|--|----||----|
demandedontche	------|---|--|
teln oiseetroeniausres pont	--|-⌫---|-|-------|---⌫---|
n oprisonniers onte scapé	-⌫|---------|-⌫--|-⌫-----|
quantlotlirois	----||-|-|---|
s i aso uspiré	-⌫||--⌫------|
il otfiert ro enel	-|-|----|--⌫---|
dese poesiquelepel	-|-|--|-|--|-|--|
liadud osiusreuers ee	-||-|-⌫-|--|------⌫-|
et d istqu	-|-⌫--|-|
il en arapendee	-|-|--|-----|
depaou r queroeniausot	-|----⌫|--|-------|-|
senf uitdel ost pl ustost	|---⌫--|-||--|--⌫-|---|
mais malegrapelencontra	---|--------||-------|
ligrifonsquileramena	-|------|--|-|-----|
i liferase pais	|-|---|-|---|
detr estou s ches mesfais	-|--⌫-----⌫|---|------|
seurcheli grif onslamena	---|--|-|----⌫--||----|
auroiquitoutli pardonn a	-|--|--|---|-|-------⌫|
liroisplainsd	-|---|-----||
ireetfoursenés	--|-|---------|
d elefosse to us de sfremés	-⌫|-|----|--⌫-|--⌫-------|
trueueleshuisetlesclese ns	-----|--|---|-|--|---|-⌫-|
d uscayyafaitde sesg ens	-⌫--||-||---|-|--|-⌫--|
ent rerenslesfersrap orteren t	---⌫--|--|--|---|---⌫-------⌫|
desp risonsetauoec trouuerent	--|-⌫-----|-|----|---------|
le s semeles ducordelois	--⌫|------|-|--------|
qu ant che	--⌫--|--|
uoi tnoblessidestrois	---⌫|-----|-|-------|
fu qu ilneparlastpouryy m ars	-|-|-|-|------|---|-|-⌫--|
qu antpot par lersidis tre n ars	--⌫--|--|---⌫--|-|---⌫|--⌫-⌫--|
mad e chutsi redist thiebers	||-⌫-⌫---|-|-----|-------|
enasiregri mbers	-||---|---⌫----|
litaissonsses	-|-------|--|
cousi nsalés	-----⌫-|----|
es t orenart si m ai tdes	--⌫||-----|-||--⌫|--|
cardedensson trena nului	--|-----|--|--|||----|
r oisl ot defin	-⌫--||-|-|--|
criaplusde yy	---|---|-|-|
foi sa hai	---⌫|-⌫--|
traimagrimbersbien le	---|||-------|---|-|
fioiedutaisson	----|-|------|
maison distdep r iué l aron	---|-|---|-|-⌫-⌫---|-⌫---|
s epuetnusapaines gaitier	-⌫|---|--||-----|------|
as arm e scheualier	-|---⌫-⌫|--------|
iecomanc qu echascunsa ssa i lle	-|-----|--⌫|-------|-⌫---⌫-⌫--|
a m aup etruis	|-⌫---⌫-----|
lorslapietai lle	---|-|------⌫--|
iuont errant lanchier et traire	|---|-----|-------|-|-----|
entoura uson tgr ant	-----|-⌫-|--⌫|--⌫--|
de ch iergesd estrainet de	-|--⌫-----||------|-|-|
carencor e	--|-----⌫|
e stoitnoire nuis	-⌫----|----|---|
ensiconmeseurlaiourne e	---|----|---||-------⌫|
childedensdegrant randonnee	---|-----|-|----|--------|
sedeffende ntcon gentdepris	-|--------⌫-|--|---|-|---|
deguer redetou rnoisespris	-|----⌫-|-|---⌫----|-----|
mout fu lassau sasprese tdurs	---|-||-----⌫|-----|-⌫|---|
thiebers li cas s aerta smurs	-------|-|--||---|-⌫|---|
etsidoi filpour	-|-|--|--|---|
leu rc orset dausfairepa rler	---⌫|-⌫--|-||--|----|--⌫---|
t antrampentqu isontas c restiaus	-⌫--|------|-||---|-|-⌫-------|
oeu slisinges	|--⌫|-|-----|
cointeriau s	----------⌫|
etmar tinesses fiex de rriere	-|---⌫----|--|---|--⌫-----|
nestoitmais deua ntlebaniere	|-----|---|----⌫-|-|------|
le roi portoita umurle poi e	-|--|------|-⌫|--|-|---⌫|
dont cri een hautbienueut conl	---|---⌫|-|---|---|---||-||
ahieprise st lich astiaus	---|---|-⌫-|-|--⌫------|
r enarsqu imout	-⌫----|--⌫|---|
esto itisniaus	----⌫-|------|
dunfa ussar t telcaupli donna	|-|--⌫-----⌫|--|---|-|----|
qu elfonsdufos se	-|-|---|-|---⌫-|
atoutlesautresquiramp erent	----|--|-----|--|----⌫----|
amontoufossese	----|-|----|-|
tr ouuerent	--⌫-------|
m esnesunsdausn	-⌫-|-----||--||
i fu blechiés	|-|--------|
car ilcaire nt seurleu rpies	--|-|-----⌫-|---|---⌫|---|
liosforment sesmaie	-|-|------||-----|
lim outonss ass a ie	-|-⌫-----||---⌫-⌫-|
aumurhur tepouresfondrer	-|--|---⌫-|---|--------|
il etsi filp ou resprouuer	-|-|-|--|-⌫--⌫|--------|
leurforcheetba uchansl isenglers	---|-----|-|--⌫-----|-⌫|-------|
olui lipourchi a uswanemers	|--|-|-------⌫-⌫-|-------|
aleurmusiau s uontdefouant	|---|------⌫|---|-------|
letierail lescu ireus sala n t	-|------||----⌫----|----⌫-⌫|
uasus etiusqui	-|--|-|--|--|
morellecheu alquih enist	----|-|----⌫-|--|-⌫----|
etfiert asmurs	-|----|-|---|
dup iet derriere	-|-⌫--|-------|
ilet ferransquec	-|-|------|--||
est auiere	--|-----|
quild eussent	-|-|-⌫------|
qui dontuistlegr ifon es b atre	--|---|---|-|--⌫---|--⌫-⌫---|
etuol erde seure lesmu rs	-|---⌫-|--⌫----|--|--⌫-|
alefuit elip l usse u rs	|-|----⌫|-|-⌫-⌫-|--⌫-⌫-|
semeistl i	-|----|-⌫|
grifonsenprist	------|-|----|
yyetpuis e nprison l es mist	-|-|---|-⌫|-----|-⌫-|---|
etpuisrau ole	-|---|---⌫--|
maisrenarsle	---|-----|-|
pris t amesc hief	----⌫||----⌫---|
car illeferi desonfaussart	--|-|-|---|-|--|-------|
caupqueilli depart	---|--|-|-|-----|
iusl es mais t res c o u tia us de l	--|-⌫-|----⌫-⌫--|-⌫-⌫-⌫---⌫-|-||
do leurs entc	--⌫---|-⌫--||
onquesmai siour tele	-----|---⌫|---|---|
aincpuisquil	---|-----|-|
carplus deyy f oisestpasmés	--|---|-|-|-⌫--|--|------|
quant potpar ler	----|--|---⌫--|
ach iefdepiece	|--⌫--|-|----|
si distnest nusquil	-|---||--|--|-|-|
nemeskiece	-|-------|
a lef ois ettantuali pos	|-|-⌫--|-|---|-|-|--|
al iauequ il bri seetli	||---|-|-|---⌫-|-|-|
sesmaiemoutfortdu	|-----|---|---|-|
plainsde c o urous degrantr andon	-----|-|-⌫-⌫----|-|----|-⌫----|
sesbatlo tris seszz emprist	|----||-⌫----⌫--|-|-|----|
de s us l es murs	--⌫-⌫-|-⌫-|---|
errantlochist	-----||-----|
aubertdu doslimen ga	-----|-|--|-|---⌫-|
plusde yye n m ehaign a	---|-|-|-⌫|-⌫------⌫|
anch oisquei llaissastson uol	----⌫-----|-⌫|-------|--|--|
maisrenars le	---|-----|-|
feri oucol	---|-|--|
desen f aussarti usli eus t	-|--|-⌫------|-⌫-|-|---⌫|
caupeeletes tene f ust	-----|-|---⌫-|-|-⌫--|
laubersdontotsegai ueplaine	|-----|---|-|-|---⌫-|-----|
quil otme ngiémoutsedemaine	-|-|-|--⌫----|---|-|------|
meha usl i agache	----⌫-|-⌫|-----|
et espre ke	-|-----⌫-|
d ontsassist seur unebreteske	-⌫--||-----|---|--|-------|
ele e turediaus lipapegais	--|-⌫|-------|-|-------|
detenches et deplai s	-|------|-|-|----⌫|
as salentmoutm aine nt grantnoise	--⌫-----|---|-⌫----⌫-|----|----|
ti mers liasnesne sacoise	--⌫---|-|----|-||-----|
sifil derecaner	-|--|-|------|
pourcheusdelc astele stonner	---|----|--|-⌫----|-⌫------|
et br uians	-|--⌫----|
litor s p rist a	-|---⌫|-⌫---||
po urc hiaus	--⌫-|-⌫----|
dedens greueretnu ire	-----|-----|-|--⌫--|
dontpristroe niaus	---|----|---⌫----|
ilet gri ng nars lors a ubro us ter	-|-|---⌫--⌫---|---|-⌫|---⌫--⌫--|
s epristetlikieure	-⌫|----|-|-|-----|
et l ibous	-|-⌫|---|
pourplusgr euerrenar tle rous	---|---|--⌫---|-----⌫|-|---|
ch ascun sassautaumiexquilset	--⌫-----⌫|-----|-|---|-|-|--|
et ysengrins	-|--------|
quirenar thet	--|-----⌫|--|
les a monnestede b ienfaire	--|-⌫-------|-|-⌫--|----|
e ntreal ixa nd ree t leroi daire	-⌫---|--⌫---⌫--⌫-|-⌫|-|--|----|
onquesassauttantfel on	-----|-----|---|---⌫-|
quidontu ei strimocheron	--|---|-⌫--⌫-|---------|
lunico r neconm eils esforche	|-----⌫-⌫-|----⌫|-||-------|
queli cast iaussoitp ris aforche	--|-|----⌫---|---|-⌫--||-----|
h ardislilupa rsuistement	-⌫----|-|----⌫-|--------|
ass autnobles	---⌫--|-----|
h a rdi eme nt	-⌫-⌫---⌫---⌫-|
li fiexleroie t	-|---|-|--|-⌫|
sesfreresmou t de leur	--|-----|---⌫|-|---|
iont caras glaiues	|--|--|-|------|
d ucastelseurles	-⌫|-----|---|--|
mur samont	---⌫|----|
get ermaisro ussiause tre nars	---⌫-|---|--⌫------|-⌫|--⌫---|
ne setenoie ntmi e espars	-|-|------⌫-|--⌫|-----|
neleurgentet	-|---|---|-|
chilsedesfendent	---|-|---------|
seurlesmursetgr antassaut rendent	---|--|---|-|--⌫--|-----|------|
ac hi au sd e dens	|-⌫--⌫--⌫|-⌫-⌫---|
et reculer	-|------|
l e sfontunarpentetces t	-⌫-⌫|---|-|-----|-||--⌫|
sileus senta tan s secours	|-|---⌫---||---⌫|------|
prisfustli castiaus	---|---|-|-------|
p ar leureffortacestefie	-⌫-|---|-----||----|--|
etqu ant il uiren t peu d	-|--⌫--|-|-----⌫|--||
aro ient sise n	---⌫---|-||-⌫|
re tourne rent	--⌫------⌫---|
e tiusle s m urs adeualerent	-⌫|--|--⌫|-⌫--|----------|
mais aud escend re	---|-|-⌫------⌫-|
decaillaus	-|-------|
furent conuoie ́t etdebaus	-----|-------⌫-|-|-|---|
de cai snemaisonques nauré	-|---⌫--|---|-----|-----|
n ef urentdieu eno nt	-⌫|-⌫----|---|-|-⌫-|
liroisfa it leretra it sonner	-|---|--⌫-|-|-----⌫-|-----|
l orslais senttoutlas sauteste r	-⌫--|----⌫---|---||--⌫---|----⌫|
las séest oie nt durem ent	---⌫--|---⌫---⌫-|-----⌫--|
car ilorentmout longu emen t	--|-|----|---|-----⌫----⌫|
assalitreslaub e creu an t	-----|---||---⌫|----⌫--⌫|
iusques amiedisonnant	------||----|------|
si est oi ent mouttra ueillié	-|---⌫--⌫--|---|---⌫-------|
al eur tentes de shaubregié	|-⌫--|-----|--⌫----------|
se sontetaumengierassis	-|---|-|-|------|----|
en trausna uoitnei eu sneri s	--⌫-|--||-⌫---|-|-⌫--⌫|-|--⌫|
pluseur furentna u ré	------|-----|--⌫-⌫--|
etsien ieut main t t ue ́	-|-|-||--|----⌫|-⌫--⌫|
dessiens iperdi	--|----||----|
desplusprisiésyyetdemi	--|---|-------|-|-|---|
auroirequisttrieuesy y	-|--|------|------|-⌫|
uole ntierslidon nalirois	----⌫-----|-|---⌫-|-|---|
p ourlesmorsfair e enseuel ir	-⌫--|--|---|----⌫|-------⌫-|
et lesnaurésfa i rewarir	-|--|------|--⌫-⌫-|----|
li donna iou rsil ongu ement	-|----|---⌫|-|-⌫----⌫----|
donn a bonnement	----⌫|--------|
part etd autre	---|-||----|
afait renars quereff o rchis	|---|-----|--|----⌫-⌫----|
est maupetruis sesmursref ai re	--|---------|--|---|---⌫--⌫-|
fist etgrandeuitaillea traire	---|-|-----|-------|-⌫-----|
ens on c astelpour y yansuiure	-|-⌫-|-⌫----|---|-⌫|--|----|
le gentrenartt o ut	-|---|-----|-⌫-⌫-|
aloientue ndr eetacat er	------|--⌫---⌫|-|----⌫-|
enlosttan disrecarpenter	-||--|---⌫--|----------|
engiens nobleslirois	------|-----|-|---|
queiotarsli fusgrigois	--||-|--|-|--|------|
e tsif aitrefair e	-⌫|-|-⌫--|------⌫|
etsenb er froiencontre mon t	-|--|-⌫--⌫---|--------⌫---⌫|
recarpe nteretredrechi er	-------⌫---|-|--------⌫-|
arme srapare illier	----⌫|------⌫-----|
tandi sq uilfurentarep os	-----⌫--⌫|-|-----||---⌫-|
lir o i ssessaudoiie rs leu r	-|-⌫-⌫-⌫|--|--------⌫-|---⌫|
retolil etiercet toli	-----|-⌫|----|-|---|
de coiseco ursmout	-|--|-|--⌫--|---|
li plusgra ntdeluisestrange rent	-|---|---⌫-|-|--||--------⌫---|
et parco uroussilelai s sere nt	-|--|--⌫----|-|-|---⌫-⌫----⌫-|
etduco n munpu epleperdi	-|-|--⌫-⌫--|--⌫---|----|
letiercetplusetsiuou sdi	-|----|-|---|-|-|---⌫|-|
co nseil lefaiso it	--⌫----|-|-----⌫-|
ysengrinqu iche lilooit	-------|--⌫|--|-|----|
parmauuaiscons illier ac ourt	--|------|----⌫-----|--⌫---|
souuenttesu s agesacou rt	------|--|-⌫-⌫---||---⌫-|
d on t lisires	-⌫--⌫|-|----|
pertloset pris	---|--|-|---|
et auoec sesmei lleurs amis	-|----|--|---⌫-----|---|
par mauuaiscons eilm ai n sosteus	--|------|----⌫--|-⌫--⌫-⌫|-----|
e sthonnistuh onquii esteus	-⌫-|-----|-|-⌫-|--|-⌫-|---|
setuasg rantte rre abail lier	-|-|-|-⌫---|--⌫--||----⌫---|
onquesne f ai	-----|-|-⌫-|
tonconseill ier	--|--------⌫--|
etsoit debonne estraction	-|---|-|----|---------|
issuset qu	----|-|-|
ilsoit caritaules	-|---|---------|
atou s etd ousetamiaules	|---⌫|-|-⌫--|-|-------|
soit sageset discres	---|----|-|------|
et puis quetusifait l eses	-|----⌫--|-|-|---|-⌫|--|
croire etcremir etpuisamer	-----|-|-----|-|---|---|
led ois neia naies	-|-⌫--|-|-||---|
cu ersuerluipourrienconendie	--⌫-|---|--|---|---||-|-|--|
nusnestseur cui	--||--|---|--|
on n e m es die	-|-⌫|-⌫--⌫--|
mai s auiourd	---⌫|-|---||
ui ligra ntsegneur	-|-|---⌫-|------|
nainme ntnul ui fo rslebour deur	|-----⌫-|---⌫-|--⌫-|-|----⌫---|
l escarle mesdisa ntlauer	|----|-|-------⌫-||---|
cheusfontenleuroste usmonter	----|---|-|---|----⌫-|-----|
s iqu elisegneurenau alent	-⌫|--⌫|-|------|-|--⌫----|
po urche que	--⌫-|--|--|
leslaiss entcar nepuet durer	--|-----⌫--|--|-|---|----|
lar ges cuersp our rien so lauer	---⌫--|----|-⌫--|----⌫|||---|
si quemout uauti e	-|--|---|---|-⌫|
nend ouc mie	|-|-⌫--|--|
granssir esquibo n nemaisnie	----|---⌫-|--|--⌫-⌫-|------|
tient e ntourlui ensono stel	----|-⌫----|--|-|--|-⌫---|
pu e t en m eill eurcastel	--⌫-⌫|-|-⌫----⌫--|-----|
metresonorneson	----|--|-|-|--|
cardiexlimondes	--|---|-|-----|
et li gent	-|-|---|
s euentgreetmiex lenuient	-⌫----|--|-|---||-|----|
sec os e e tauiourduiauient	-|-⌫--⌫|-⌫|-|---||-|-----|
que limauuais	--|-|------|
est amontés	--|-------|
ainsque libons	------|-|---|
dont cestpites	---||--|----|
quiconquesfaitdeserfsegneu r	---------|---|-|---|------⌫|
lui ets en regne engra ntdol e ur	--|-|-⌫-|----|-|---⌫-|---⌫-⌫-|
met etauro id aire parut	--|-|-|--⌫|-⌫---|----|
parsesserscotamonte ́sf u	--|--|---||-|------⌫-|-⌫|
ochisetescilliés	----|-|---------|
tu granss ires c auiour duire g nes	-|----|-⌫---||-|---||-|--⌫-⌫--|
prenwardea che pas	---|----||--|--|
homqui par aut ruisecastie	--|--|--|---⌫--|-|-----|
mauu aisc onseilcroit	----⌫--|-⌫-----|----|
limeismesauantdechoit	-|------|----|------|
li r ois nobles	-|-⌫--|-----|
parcheperdi	--|--|----|
carlimiexd e s ostleguerpi	--|-|---|-⌫||--|-|-----|
co n quespri nc hesesca rs	|-⌫-⌫---|---⌫--⌫--|----⌫-|
abie nneuintma is	|---⌫|-|---|--⌫-|
con limers	--|-|---|
flu i e doitseurles bonsfluer	---⌫-⌫|---|---|--|---|----|
e tlarguemen tdonner	-⌫|---------⌫|-----|
d oita touse t	-⌫--||---|-⌫|
s iles t e scar s	|-|--⌫|-⌫----⌫|
desbon s ert petitesepars	--|---⌫|--|-----|-|---|
etdesmauuais ertassasés	-|--|------|--|-------|
mainshom sen estcai tis clam és	----|--||-|--|---⌫--|----⌫--|
toutsifistme	---|-|---|-|
sireslirois	----|-|---|
nobles po urche quilfu dest rois	-----|--⌫-|--|-|-|-|----⌫---|
etescarsa sesgen sp e r dus	-|-----||--|---⌫|-⌫-⌫-⌫--|
renarsatouschiaus retenu s	-----||---|-----|------⌫|
qui duroiest oie nt pa rti	--|-|--|---⌫---⌫-|--⌫--|
deson auoirtantleu r	-|--|----|---|---⌫|
etsilarguementleur	-|-|---------|---|
quelin o ns	--|-|-⌫-⌫-|
par tout enala	--|---|-|--|
tantiuinrent de	---||------|-|
saudo iiers	-----⌫----|
bi enyy mi l liers	--⌫-|-|--⌫-⌫----|
to use slus	--⌫-|-⌫---|
estpasga s	--|--|--⌫|
contrele souda ntde	-----|-|-----⌫-|-|
pe u st combatr egen tagen t	--⌫-⌫-|-------⌫|---⌫||---⌫|
d espartiesuers	-⌫-|------|---|
li uintc eraste slis erpens	-|---|-⌫------⌫|-|-⌫-----|
moutie rt desdens	---|--⌫-|--|---|
c rueusetcon	-⌫----|-|--|
m outons corn us	-⌫-----|----⌫-|
dec ha rdoisia usuiuoitleplus	-|-⌫--⌫||-----⌫-|-----|-|---|
ses dech euoit	|-|----⌫----|
conl ihoupi ex	--|-⌫|-----⌫-|
tantertdenatur e	---|--|-|-----⌫|
mor ss oudaine li	---⌫|-⌫------|-|
cosbas iles	--|---⌫---|
iuint quede plus deyy	|---|--|-|---|-|-|
oc h istlesg ens	--⌫-⌫--|--|-⌫--|
desonregart	-|--|-----|
ason uenir	|--|----|
assausre nart	-|---|--⌫---|
iui ntlilo utreslifo uans	|--⌫-|-|--⌫----|-|--⌫---|
dethiopeo u cautf ai tengrans	|------|-⌫|---|-⌫--⌫|------|
defairedarmeslid r agons	-|----||----|-|-⌫-⌫----|
i uintt endreses paueillons	|---|-⌫----|--|---------|
fistdehorsmaup etrui s espres	---|-----|----⌫-----⌫|-|---|
etli cosbasil lesdele s	-|-|--|-----⌫--|----⌫|
lessiensetcera stres aussi	--|----|-|----⌫----|----|
tantso nt fortpoissa ntethardi	---|--⌫-|---|------⌫-|-|----|
plai ndorgu eiletsipeu dou toient	----⌫||----⌫--|-|-|--|---⌫-----|
roinoblonqueil	--|-----|--|-|
nedaignoi ent	-|-------⌫--|
e nmaupetruisherber ge prendre	-⌫|---------|------⌫-|------|
orenti lfai tt endre	----|-⌫|---⌫|-⌫----|
leurtre setle ur tentesas cans	---|---⌫|-|--⌫-|-----|-|---|
lei o urdeuanttrieuesfaill ans	-|-⌫-⌫-|-----|------|-----⌫--|
unee spieleroiconta	--|-⌫---|-|--|----|
que renars	--|-----|
y y tans degenta	-⌫|---|-|---||
naitetquesisaudoier	|--|-|--|-|-------|
qui lneu autmiebien	-|-⌫|-|-⌫--|--|---|
chequilleurde uoit plainement	--|-|-|---|--⌫---|---------|
sontorenart a moutgrant gen t	---||-----||---|----|---⌫|
dorientet dechesparties	|-----|-|-|---|------|
roispuisq uetesgenssontpart ies	---|-----⌫-|--|---|---|----⌫--|
fai paisare nart	--|---||--⌫---|
respo ntliroisihesu m e nga rt	-----⌫-|-|---|----||-⌫|--⌫-|
queie ia fai che pais alui	--|-|-|---⌫--|---||--|
c arac heloes ma tropd	-⌫-||-⌫--|--|||---||
fait maisd imoili quelalé	---|---|-⌫|--|-|---|---|
desmienss o nt orenart chelé	--|----|-⌫-⌫-||-----|-----|
soitm aisdile en a pert	---|-⌫--|-|-|-|-⌫---|
sireperdusaués grimbert	---|-----|----|-------|
et s esyy fiexrim ochero n	-|-⌫-|-|---|---⌫------⌫|
lunicorneparsaintsymon	|-------|--|----|----|
les ingecointer elau ssi	-|-⌫---|-------⌫-|--⌫--|
tropsontfortp oissante tha rdi	---|---|---|-⌫------|-⌫|--⌫--|
etlebugleperdu	-|-|----|----|
etlebou c cheus quaic hinonmés	-|-|---⌫|----|-|-|-⌫-|------|
uiotrenart	-|-|-----|
deuantrena rtclamer de	-----|----⌫-|-----|-|
de chec as	-|--||-|
retailli ésle ursaus	--------⌫--|--⌫-|---|
dechefairef istropq ue	-|--|----|-⌫-|---|-⌫-|
sire etchieusquile uous	---|-|-----|--|-|---|
moutmauuai scons eil uousdonna	---|------⌫|----⌫--|---|----|
caruousena ués courechié	--|---|-|-⌫---|---------|
uosbar ons	--|---⌫--|
s iu ou sontlaissié	-⌫|-⌫--⌫|--|-------|
parcourousetsen sontalé	--|------|-||-|---|---|
enleurpais t ri s teet iré	-|---|---|-⌫--⌫-⌫-|-|---|
po ur chequecroire nel	--⌫-|--|--|-----|-||
e t ysengri nanchoi scr eistes	-⌫|-------⌫|------⌫|--⌫-----|
or aué sleursaus retai ll iés	-|----⌫|---|---|-----⌫--⌫---|
prendéscheque	-------|--|--|
igaaigniés	|---------|
u oscousins h ar d is	-⌫-|------|-⌫--⌫-⌫-|
par courousen est d ep artis	--|------|-|--|-⌫--⌫----|
il etbrunsl oursoeusba uchans	-|-|----||---||--|--⌫-----|
uerssonp aisli tors	---|--|-⌫--|-|---|
chil uous ontlaissié en letrape	---|---|--|-------|-|-|----|
siuous alaissiémal egrape	-|---||-------|---⌫-----|
ligrifons et li olifans	-|------|-|-|------|
m o riausetlironc hisf erra ns	-⌫-⌫----|-|-|----⌫--|-⌫----⌫-|
etlost rissesdesdaigneus sire	-||---⌫-----|----------|---|
quienue rsuousmousterra sire	--|----⌫-|---|--------||--|
che dist s	--|---||
carpouruoussen	--|---|---|--|
pais laissa	---|-----|
et maisem entli auéssos	-|------⌫--|-|----|--|
sireieuous	---|-|---|
diabriesmos	-||----|--|
quefai tespaisseuouspoés	--|---⌫--|---|-|---|----|
ar enartcarpooirn	|-⌫----|--|----||
aluidassanler g e nt agent	|--||-------|-⌫-⌫-||---|
carbiensachiéstouturaiement	--|---|-------|---|--------|
acon trezzde suos	|---⌫--|-|--⌫|--|
estmiedemortbos	--|--|-|---|--|
ain sesthardisetcor ag eus	---⌫|--|-----|-|---⌫--⌫--|
sageset so utiex	----|-|--⌫----|
largesest e t large ment	-----|--|-⌫|-----⌫---|
lesiena ssien s etabandonne	-|---|-⌫|----⌫|-|--------|
ilnefaitmiesontresor	-|-|---|--|--|-----|
depierres nedarg entne d	-|------|-||---⌫--|-||
s iqueuousmais	-⌫|--|---|---|
decheu aliers	-|----⌫-----|
deserga ns darme sd escu iers	-|-----⌫-||----⌫||----⌫---|
preuset hardi sn atres ori e	----|-|-----⌫|||----⌫---⌫|
forsque debonne genthardie	------|-|----|---|-----|
ro isde tontres or conquerra	--⌫-|-|--|----⌫-|--------|
le sie nsil	-|---⌫||-|
uitetcachera	--|-|------|
toi et tege nt de regnefors	--|-|-|--⌫-|-|----|---|
r ois prenc onseiloutuies mors	-⌫--|---|-⌫-----|-|-|--|---|
quantlir oislota poi	----|-|-⌫--||-||--|
atant estesuous	----|----|---|
u nmessage	-⌫|------|
que renars itramist	--|-----||------|
il u oitleroi	-|-⌫--|-|--|
roisademat inlebataille	---||-|---⌫-|-|-------|
s achestusansfaille	-⌫----|-|---|-----|
gentagentre nars ten sem ont	---||---|--⌫---||-|---⌫--|
hui sonttrieue sdemain faurront	--|---|------⌫|-----|-------|
po urlero irespont au mesag e	--⌫-|-|--⌫|------|-|-----⌫|
ysengrin set	--------⌫|-|
distcest ou trage	---|---|--⌫----|
porrabi en renarsc omperer	----|--⌫-|-----|-⌫------|
etde che se puetbien uanter	-|-|--|-|---|---|-----|
c abat aille ne faurrontmie	||---⌫----|-|-------|--|
a demainse li	|-----|-|-|
rois lotr ie	---||---⌫-|
etli roisre spontiel ot ri	-|-|---|--⌫----|-||--⌫-|
et limesatant sen	-|-|--|----||-|
a renartuint	|-----|---|
si distdemain	-|---|-----|
dec hesoiéstres toutce rtai n	-|-⌫-|-----|----⌫---|--⌫----⌫|
aron sbataille aiou rn onm é	----⌫|-------||---⌫|-⌫---⌫-|
carrois noblesl	--|---|-----||
acrean té	|-----⌫--|
quantrenarsl	----|-----||
ot sansarrest e r	-|---|------⌫-⌫|
fistcon munba n	---|---⌫--|--⌫|
en h au tcri ier	-|-⌫--⌫|---⌫--|
capari lli éssoitsansatendre	|-----⌫---⌫--|---|---|------|
chascunsconmepourluideffendre	-------|----|---|--|--------|
greuer sonanemi	-----|--|----|
ademain arons i euous di	|-----|----|-⌫|---|-|
labataill eetqui c onquerra	-|-------⌫|-|--|-⌫-------|
fai rec on m edelsienson p reu	---⌫-|-⌫--⌫-⌫|--|---|--|-⌫--|
c heuo usdoit esm ouuoir que	-⌫-|--⌫-|---|---⌫-----|--|
soiié s etmienentendés	------⌫|-|--||--------|
tropa uga ainseuous aués	---|-⌫|--⌫--|-|---|----|
peuc onq uisrenars uo usdonra	--|-⌫---⌫--|-----|--⌫-|----|
tan tdu sienqueil	---⌫|-|---|--|-|
et ched euerabiensousfire	-|--|-⌫----|---|-------|
e tencoreuous fa itmesire	-⌫|-----|---|--⌫-|-|---|
assauoirq uequi unfuiant	-------|-⌫-|--|-|-----|
de n ous ochirazzbesant	-|-⌫--|-----|-|-----|
arae tdech e se urssoit	--|-⌫|-|--⌫|--⌫--|---|
caruns fuiansdesconfiroit	--|--|-----|-----------|
touteuneostlo rsse teutquep lus	----|--|--|--⌫-|-|---|--|-⌫--|
n e dist lors chascun s	-⌫|---|---|-------⌫|
fudebienf aire etsia r dans	-|-|---|-⌫---|-|-|-⌫-⌫---|
q ue chascuns	-⌫-|-------|
f uensoirollans	-⌫|-|--|------|
deuol ent eet l	-|---⌫---⌫|-||
fistissirrenarshorsauplain	---|----|-----|---|-|----|
con roi bienarmee	---⌫--|---|----|
lepremiereeskiel e	-|-------|------⌫|
gr imbert letaissonsencousi n	--⌫-----|-|------|--|-----⌫|
que il s entoits e ur	--|-|-⌫-----|-⌫-⌫-|
grantrenon	----|----|
dela secondefistl edon	-|-|------|---|-⌫|--|
s es yyfiexletierchebailla	-⌫-|-|---|-|------|-----|
l ecer astre que moutama	-⌫|---⌫----|--|---|--|
lequarteba illaaudragon	-|-----|--⌫---|-|-----|
pourchequilestoit degrantn on	---|--|-|-|-----|-|----|-⌫-|
e t le quintelebasille	-⌫|-|-----|-|------|
enquibataill e	-|--|-------⌫|
otbie nyymil e	-|---⌫|-|---⌫|
quecheualiers et que sergans	--|---------|-|--|------|
bienarméshardisetai d ans	---|-----|-----|-|--⌫-⌫--|
lesisimer etinto soi	-|-----|-⌫----||--|
ensi or den éenconroi	---|--⌫---⌫-|-|-----|
semisentatantau chemin	-|-----|----|-|-----|
li fersd esar mesgranttintin	-|---|-⌫-|--⌫--|----|-----|
rentet grantsonetli	---|-|----|--|-|-|
alaler fo ntsi	||---|--⌫-|-|
g rantpourrier	-⌫---|-------|
quemerueilleest auroi noblo n	--|--------|--|-|--|-----⌫|
ensensen maistrepauillon	--|-|--|------|-------|
le d istunmes et ias armoit	-|-⌫--|-|--|-|-||-----|
sagente tfaisoit	-|---|-⌫|------|
