des criteau ons la	---⌫----|--⌫--|-|
tuenpoue rteesorg uilous	-|-|----⌫--|-|---⌫-----|
cil en ric hesce	--|-|---⌫----|
portant ne doi zes tre	------|-|---⌫|--⌫--|
ainceisdeizmo ltestreapaie z	------|---|--⌫-|----|-----⌫|
m on regneauraspa roi	-⌫-|----|----|--⌫--|
od c el uiq ui me lz	-|-⌫--⌫-|-⌫-|--⌫-|
ualtq etoi	---|-⌫|--|
li er e mit eatant	-|--⌫-⌫---⌫|----|
sesue ille	|----⌫---|
deco q oitmolt semeru eill e	-|-||--|---|-|----⌫----⌫|
lauerite ot	-|-----|-|
eporcol ors granzgraces rent	|--|-|-⌫--|----|-----|---|
ac elui qu idetozests ire	|-⌫---|--⌫|-|--|--|-⌫--|
quisicomluplais tles soe ns mire	--|-|--|-|-----⌫|--|---⌫-|---|
edit be ausi r edeusihesu	|--|--⌫-|--⌫-⌫|---|----|
louez aourezsoies	----|-----|----|
grace sterenc g rez	-----⌫|-|---|-⌫--|
qui uoelzqeio soie acuilliz	--|----|-|-|---|-------|
qui t antt	--|-⌫--||
deso rm es toiprie	----⌫--⌫-|--|--||
medongesdeseruir	-|-----|-------|
carueire mentsanzriensmentir	--|-----⌫---|---|----|-----|
bi en lasmostrénen sui pas	--⌫-||-|------||-|--|--|
maisbiensaiq eta ntesbenin gnes	---|---|--|-⌫|--⌫-|-|-----⌫---|
e ueirsqeian e m ei do nras	|----|-|-|-⌫|-⌫-|--⌫---|
set eipl aist mei nsqu ep ramis	-|-⌫-|--⌫---|---⌫-|--⌫|-⌫----|
tant es iu stes ue rai s	---|-|--⌫---|--⌫---⌫|
ia meinsnaur eiqe	-|----||---⌫-|-|
mas pramis	|-|-----|
einsi o rotl i	----|-⌫--|-⌫|
qui ta nt ert de seinte merite	--|--⌫-|--|-|-----|-----|
e sachezde s	|-----|--⌫|
lors enauant	---|-|----|
alo t la ui eenamendant	---⌫|-|--⌫|-|-------|
de moursde	-|----|-|
uertuz dabst inence	-----||----⌫-----|
du mi litedepacience	|-⌫--⌫---|-|-------|
ede q uanqafiertaprodo me	|-|-⌫---|-----||-----⌫-|
c aru eir ement coes tla somm e	-⌫-|-⌫---⌫----|-|--⌫|-|----⌫|
tantcom melz	---|--|---|
ualeiresperei t	-----|-------⌫|
d ecel ui dom sor deire ere it	-⌫|---⌫-|--|---⌫----|---⌫-|
tant sepenot	---|-|----|
de stremeillor	|-⌫---|------|
decelu idom	-|----⌫|--|
futsourdeor	--|-------|
uimesuosdierr eides engleis	----|--|-----⌫-|--|------|
as quelsde u sdontuictoireepeis	-|----|--⌫-⌫|---|-------||---|
gre goiree s es uertuz	---⌫----||-⌫-|-----|
alade uf ei	|-|--⌫|-⌫-|
sontconuert uz	---|-------⌫-|
iaf utlit ierz an trespass é	-|-⌫-|-|-⌫---|-|--------⌫-|
puesq apostoilleereit	----|---------|----|
gregoireslideuse ruitour	--------|-|--|--⌫------|
si erte nt rez el	|-⌫--|-⌫--⌫--|-|
quart anmeintiour	----|-|----|---|
quant desengleissoi porpensot	----|--|------|--|--------|
les quels lonc tens	--|----|---|---|
enporposo t	-|-----|-⌫|
a ladeugrace conuertir	|-|--|----|--------|
lo rsfi st pard euantsei	--⌫-|--⌫-|--|-⌫----|--|
augustinodnesai	-------|-|-|--|
quanzm oines	----|-⌫----|
qui a ce l oe s	--||--⌫|--⌫|
erent idoines	----|------|
religious de seint e uie	--------|-|-----⌫|--|
endoctrinezdes abbe i e	----------|-||----⌫-⌫|
ensemb lement ou oeqessoi	------⌫-----|--⌫----|--|
si s commandotqe la defoi	-||--------|-|-|-|--|
port assent ie sqenengleterre	----⌫-----|--⌫-|-|---------|
esis puess en t la gentc onquerre	||-|-----⌫--⌫|-|---|-⌫-------|
parseintepre dication	--|-----|---⌫-------|
err au men t augustin par no m	---⌫--⌫---⌫|-------|--|--⌫|
aeue sqeo rd enerfeissent	|---⌫--|-⌫--⌫---|-------|
e sescommandemenzsiguis sent	|--|-----------|------⌫---|
com deceluiquifut lorpere	--|-|----|--|--|--|---|
se sont misenere	-|---|--|-|--|
uersengl e terreagrant	---|----⌫-⌫----||----|
mais moltere ntengrant deheit	---|---|---⌫-|-|----|-----|
qi snesau oient lu	|-⌫|-|---⌫----|-|
dicele gen trudeesauua ge	|----|---⌫|---||-----⌫-|
alaquele enuoiez eroient	|-|----|------|------|
icoserepentoient	--|-|----------|
delchemi nqisoren tenpris	--|-----⌫||-|----⌫|-----|
s ier enten	-⌫|--⌫--|-|
t eldesespeir mis	-⌫-|--------|--|
qis u oustren t mieztorner a riere	|-|-⌫-------⌫|---|-----|-⌫----|
a rome q en cele	|---||-|---|
lorui em e ttree nau en tur e	--|--⌫|-⌫-⌫---|-⌫|--⌫--⌫---⌫|
gentquitantert	---|--|---|--|
contrai reenreure	-------⌫-|------|
emesc reante	|----⌫-----|
e meimement	|--------|
none ntenda nte	--|-⌫------⌫--|
nisunso ulmotd e lor sarmon	--|-|--⌫-|--|-⌫|--|-----|
domlorspar	--|---|--|
icester ais on	-----|-⌫---⌫-|
lor pastor au gustintr anm i strent	--|-----|--⌫-----|--⌫---⌫-⌫-----|
aromearier s e si requ istrent	|---|-----⌫||-|----⌫------|
la pape elnomde ihesu crist	-|---|-|--|-|----|----|
qedelcheminlesa sousi st	-|--|-----|--|-⌫-----⌫-|
elordeig nastco ngiedoner	|--|----⌫---|--⌫---|----|
qamei so npues sentr etorner	||---⌫--⌫|----⌫---|-⌫------|
maisliserf de	---|-|---|-|
t ot e rraument	-⌫-|-⌫-------|
lo rrescrist icestm andem e nt	--⌫|-------|----|-⌫-----⌫-⌫-|
gregoireeuesqese rfdes se r sde	-------|-----|--⌫-|--|--⌫-⌫|-|
aseschie rzfilzen c har ite	|--|----⌫-|---|-|-⌫---⌫--|
messagesfreres com pei gnon	-------|-----|---⌫---⌫---|
saluzsantebenei con	----|----|-----⌫--|
s achezmi amimi fizc h ier	-⌫----|-|--|-|--|-⌫-⌫--|
mielzuautnegun bien commenc ier	----|---|----|---|-------⌫--|
qapr es commencementretraire	|---⌫-|-----------|-------|
carcommencerenonpa rfai re	--|--------||--|--⌫----⌫-|
fa i thomeueine non creable	--⌫-⌫|---|---||--|------|
entotesoeures desestable	-|----|-----|---------|
esa chez quidesestablee st	|--⌫---|--|---------|-⌫-|
sor totesre ns a deu desplest	--|----|--⌫-||--|-------|
car escritest qe	--|-----|--|-|
meu z ua udr eit	---⌫|--⌫---⌫--|
qomfus t outot chaut outotfre it	|-|---⌫|-|--|----|-|--|---⌫-|
car cilqui d eustiedetroura	--|--|--|-⌫--|----|-----|
forsdesabouche luuomira	---|-|-|-----|-|-----|
e porco u os	|--|-|-⌫-|
lo um icher fiz	--⌫|-⌫|---|--|
ne soieztantespoouri z	-|----|---|--------⌫|
qe pornegunecou ardise	-|--|-----|---⌫-----|
en trel essieztant sein te enpr ise	--⌫----⌫-----|---|----⌫-|----⌫--|
ne uosaugezpas retreian z	-|--|----|--|--------⌫|
porleslanges desm esparlanz	--|--|-----|--|-⌫--------|
nepo rlaborqeuos sofrez	-|--⌫|----|-|--|-----|
ca rben uos ertgue rre donez	--⌫|--|--|--|---⌫---⌫----|
gloired e l	-----|-⌫-⌫|
gu erredon	--⌫------|
nest n ul trauailsipetit non	|--|-⌫-|------|-|----|--|
gardezdonqe s	-----|-----⌫|
l u bienqauez	-⌫|---||---|
p ordeenpris	-⌫-|-|-----|
qedetrest ot	-|-|-----⌫-|
uo strepoeir	--⌫---|----|
uosesfor ciezde lacheueir	--|-----⌫---|-||-------|
carue irementtot sanzretour	--|--⌫------|--|---|-----|
perduser auostrelabour	----|---⌫|-----|-----|
sil neseitdemeuzacompli	|-|-|---|-|---|------|
uos conmancepri	--|------||--|
qetozso iez obedien t	-|--|--⌫--|-------⌫|
a augu stinuostreabbepresent	|----⌫---|-----|---|------|
qui pastor uoses tas singné	--|-----|--|--⌫|--⌫------|
carsachezb ien deuerite	--|-----|-⌫--|-|-----|
si u oulez sadoctrine entendr e	-|-⌫----|-|-------|-------⌫|
ne pourrezpasg r a nm entmesprendre	-|------|--|-⌫-⌫-⌫--⌫--|---------|
ainceis agr a ntprouuostour ra	------||--⌫-⌫-|---|--|----⌫-|
sifaciezqu antq	-|-----|--⌫---|
det r estozuosga rt	-|-⌫-⌫----|--|--⌫-|
quimedontensemble oduospart	--|-|---|-------|-|--|---|
dellou ier d euostre labou r	--|---⌫--|-⌫|-----|-----⌫|
caroduosl aborerm at our	--|-|--|-⌫-----||--⌫--|
odcest eslettreser t	-|----⌫-|------|--⌫|
augustin sis est	-------|-||--|
sescompeingnonsre conforta	--|-----------|--⌫-------|
e rraument qua ntil	-⌫-------|---⌫-|-|
les tro ua	--|---⌫-|
de lapo sto lial mes sage	-||---⌫---⌫---|---⌫---|
e puest a ntost enzelueage	|---|-⌫-⌫----|--|-|----|
ensembleouec eusse meteit	-------|---|--|-|-----|
uersengleterre	---|---------|
agrant espleit	|----|------|
p assent lesmonz eles ualees	-⌫-----|--|---||--|-----|
meintesennuiousesiornees	------|---------|------|
di uers fleues	--⌫---|-----|
diuer ses terres	-----⌫--|-----|
pa r c itezde	--⌫|-⌫---|-|
diue rsesguerres	----⌫---|------|
ou souentfussent	-|-----|------|
r et e nuz	-⌫--⌫-⌫--|
po r q i s ne fussentmeuzconduz	--⌫-⌫|-⌫|-|------|---|-----|
m aisp art ozle usuait	-⌫--|-⌫-|-⌫-|--⌫-|---|
qui condutadebonseingn ur	--|-----||-|--|------⌫-|
nomeementquideu s con duie	--------|--|---⌫|---⌫---|
se g ur uait enuent	--⌫-⌫-|---|-|---|
nedouteore z	-|----|---⌫|
ne malegent	-|---|---|
c arpar tozleus	-⌫-|--|--|---|
u aitsauuem ent	-⌫--|------⌫--|
epor i tantsau uezer oient	|--|-⌫---|---⌫--|--⌫----|
entoz lesleus	-|--|--|---|
ouispassoien t	-|-|--------⌫|
comcilasquelsdeuse rtgui our	--|--|-|----|---|-⌫-|---⌫--|
com painz eduitreesauueour	---⌫----||-----||-------|
parla m erite	--|-|-⌫----|
degr egoire	-|--⌫-----|
qui l eseng leis otenmemoire	--|-⌫-|---⌫---|-|-|------|
ensesoreisons	-|--|-------|
enlermesen a ff li c ti ons	-|-----|-|-⌫--⌫--⌫-⌫--⌫--|
as quelssauuer	-|----|-----|
fure nt messages	----⌫-|-------|
nedi reiplusdelor passag e s	-|--⌫--|---|-|--|------⌫-⌫|
forsqepass ee ontlombardie	-----|----⌫-|--|--------|
b o rgoin gneefranceen ormendie	-⌫-⌫-----⌫--||-----||-⌫-------|
si sontue nuziesqala	-|---|--⌫--|---||-|
tot sauuement sanzencom b rer	--|--------|---|-----⌫-⌫--|
esin idemoureient pas	|-|||----------|--|
portensatendre h au t n e bas	--|---|------|-⌫--⌫|-⌫|--|
care rraumentio nttrouee	--|-⌫-------||-⌫-|-----|
unenefpresteaparaillee	--|--|-----|---------|
qui dut uers	--|--|---|
engleterre a leir	---------|-⌫---|
b eauser t	-⌫---|--⌫|
litensepur	-|---||--|
pros pr esliuenzs oefportanz	----⌫--⌫-|-|---|-⌫--|------|
li ma rin gnersprouz euaillanz	-|--⌫---⌫----|----||-------|
lamerere it peisib leebele	-|--|---⌫-|------⌫-||---|
l anef f orteentrinenouele	-⌫|--|-⌫---|------|-----|
esi niotplusqet arzier	|-|||-|---|-|-⌫-----|
car totert	--|--|--|
prestq ua nq otmestier	----|-⌫--⌫-|-|------|
entre ntlanefdeprientd e	-----⌫-|-|--|-------|-⌫|
q illes con duie	|-|--|---⌫---|
asau ue te	|---⌫--⌫-|
leuent laueile	-----|-|----|
lameracui ll entsi sen	-|--|----⌫--⌫--|-||-|
sis a p ortez	-|||-⌫----|
tantbenl i uent	---|--|-⌫|---|
qariuez sontbreueoure	|-----|---|----|---|
dengleterreunconte	|---------|-|----|
estdelagentnomé	--|-|-|---|----|
uerso rien tproefdela me r	---|-⌫----⌫|----|-|-|--⌫|
pleniersdeporz	-------|-|---|
eislorsquantari u ezeroient	------|----|---⌫-⌫-|------|
erraument pl usnedemouroient	--------|--⌫-|-|----------|
ainz u indrent alroi	---|-⌫------|-|--|
qu idic el paissiresert	--⌫||--⌫-|---|----|--|
e si lud istrentlo rmessages	|-|-|-⌫------|--⌫|-------|
comgen z senez	--|---⌫|----|
discrezesages	------||----|
a postoile deromme	-⌫-------|-|----|
demostrantla causeel asomme	---------|-|----||-⌫|----|
bref m ent po rqil erentuenuz	----⌫-⌫--|--⌫||-|----|----|
lirois quantl es	-|---|----|-⌫-|
otentenduz	-|-------|
erraumentsanzplusde mourer	--------|---|---|--⌫-----|
lucongi elo rafait	-|-----⌫|--⌫||---|
deproecherparmi sa terre	-|-------|----|-|----|
aladeu feiconquerre	|-|--|--|--------|
toz ceus quideucreireuousissent	--|---|--|--|-----|---------|
pa rtozle sliusou	--⌫|--|--⌫|---|-|
isuenissent	-|--------|
segurement toz receusse nt	---------|--|--------⌫-|
homes efemmesqui q isf ussent	----||-----|--||-|-⌫-----|
pluslorf esei t	---|--|-⌫----⌫|
c a rtot q ua nq onc m estie r	-⌫-⌫|--|-⌫--⌫-|--|-⌫-----⌫|
atrestot l o rsostenement	|------|-⌫-⌫|----------|
l o rfistliu rer benignement	-⌫-⌫|---|---⌫--|----------|
enlacitedecanterbire	-|-|---|-|---------|
dom ilereit pr incese	--|-|----|--⌫----||
meisonsafiementz e	------|--------||
domlorssanzpluslongesatentes	--|---|---|---|-----|------|
augustin li deu ami	-------|-|--|--|
lu nomdeupristaproechier	-|--|--|----||--------|
portantdeuant s eihautement	------|-----|-⌫-|--------|
petit e d argent	-----⌫||-----|
tresparmila ditecite	---|----|-|---|---|
tantqeparlagrac ede de	-----|--|-|----⌫|-|-|
l apredication	-⌫|----------|
dom augu stin	--|----⌫---|
lor fistsarmon	--|---|-----|
plus ors adeuseconuertoient	----⌫--||--|-|-----------|
sico mceusqui esp ris	-|--⌫|---|--|---⌫--|
innocenteentrine	--------|------|
dela c elestiaudoctrine	-|-|-⌫-------|-------|
quitantertdouceesa luable	--|---|--|----||--⌫-----|
siqe lorsueissiezsanz fable	-|-|---|-------|---|----|
l agentueni r co m a contenz	-⌫|---|----⌫|--⌫||------|
apresse p ar mil le rs parcenz	|-----|-⌫-|---⌫--⌫-|--|---|
quipristrent	--|--------|
amaufe nei er	|----|---⌫-|
s ise i fe soientbaptoie r	-⌫|--⌫|--⌫-----|-------⌫|
el nom deseintetrin i te	-|--|-|-----|----⌫-⌫-|
d omaug ustins liamide	-⌫-|---⌫-----|-|--|-|
tot erraumentq uantico	--|--------|-⌫---|--|
are reen franc ereuertit	---⌫-|-|-----⌫|-------|
sicomlipapescommanda	-|--|-|----|-------|
quantcelmessag el uc harga	----|--|------⌫|-⌫|-⌫----|
qeuesqes efeistsacrer	|-----|-⌫|----|-----|
porq ilpeust	---|-|----|
tan t esplei ter	---⌫|------⌫--|
qe lesen gleispeust con querre	-|--|--⌫----|----|---⌫-----|
lorsu i ntal boneuesqee uthere	---|-⌫-⌫-|-|--|-----|-⌫-----|
quil acitarelas gardot	--|-⌫|--|-----|-----|
euesq elu isacrot	-----⌫|--⌫|-----|
parlu commantde la po stoille	--|-|------|-||-⌫--⌫------|
domquantenoint fu t	--|----|-----|--⌫|
delseintoille	--|----|----|
erraume nt senreuintar ier e	-------⌫-||-|-----|--⌫---⌫|
lu chemin paron tuenuz iere	-|-----|--|--⌫|----|---|
en engleterrela ua ntdi te	-|---------||-⌫--⌫-|--⌫-|
s ad ta ntosta	|-|--⌫----||
des en gleisl a conuersion	--|--⌫----|-⌫|---------|
e nsembleouec sa s acre ison	-⌫------|---|-|-⌫----⌫---|
n is odtoticolu	-⌫-|-|--|--|-|
qede ses clersluitram isist	-|-|--|----|--|----⌫----|
saiu esidoines couenables	----⌫-|------|---------|
quilupussentestreadiuable s	--|-|------|----|--------⌫|
enmou rs en	-|---⌫-|-|
uiee nsapience	--|-⌫|-------|
asem inerla deu se mence	|---⌫---|-|--|--⌫----|
car m olt en iot	--|-⌫--|-||-|
epoiquipuessent	|--|--|-------|
m olteni ot desble zmeuors	-⌫--|-||-|--|---⌫|-----|
uersc o qiliot po i	---|-⌫||-||-|--⌫|
gran t ioieenot	----⌫|---|-|-|
estrangemen t	-----------⌫|
dicestmandement	|----|--------|
e porcolors	|--|-|---|
desqilloit	---|-||--|
erraumentde sesclers choisit	--------|-|--|----|------|
t restoz lesm ieldr esproech ors	-⌫-----|--|-⌫-----⌫-|------⌫--|
desens descience ed emors	-|---|-|------||-⌫|---|
q ilse uste ntorseienque rre	|-|--⌫--|-⌫---|--|-----⌫--|
sisenueiot en	-||------|-|
engleter re	--------⌫-|
desque lse rentlip r inc i paus	--|---⌫-|-⌫---|-|-⌫-⌫---⌫-⌫---|
estruz en deu fer s	-----|-|--|---⌫|
iustusmelid eser ufi ns	-----|-----⌫-||-⌫---⌫-|
bo nspre e c horpaulins	--⌫-|---⌫-⌫-⌫--|------|
qui archeuesqeertpue ssacré	--|---------|--|---⌫|-----|
de ue rwi ch la	|-⌫--⌫---⌫-|-|
nobl ecite	----⌫|---|
icesquatreod	---|-----|-|
autres plusors	-----|------|
tramist augustin	------|-------|
a soc cors	|---⌫---|
lafeiasengleis	-|--|-|------|
e ns eingnier	-⌫--⌫-------|
e silu fist nis	|-|-|---|--|
ecclesiausaournemenz	---------|---------|
liuresreliqes	-----|------|
uesti menz	-----⌫---|
ouecmei ntesautresaf aire s	---|---⌫---|-----|--⌫----⌫|
fur entnecessair es	---⌫--|---------⌫-|
croce anelmitrepal l io n	----|---|----|---⌫-⌫--⌫|
esiluco mmand otpar	|-|-|--⌫-----⌫-|--|
q e douzeeuesqes de souzsei	-⌫|----|------|--⌫---|--|
enkente nz	-|---|-⌫-|
en sarceuesqei	-||---------|
bonscler sidoi nesordenast	---|----⌫|----⌫--|-------|
ensomcomandot qil sacras t	----|-|-----||-|------⌫|
unar ceuesqeae u er wic	-|--⌫------||-⌫-⌫--⌫--|
e ense ment una utr e	|----⌫---|-|-⌫---⌫|
quifust arce uesqesa cré	--|---|----⌫----|--⌫---|
meistalondreslac ite	----||------|-|-⌫--|
eussentpar co stome	------|--|--⌫----|
lu pall ion del	-|----⌫--|--|
eqecildui tants olement	|-|--|--|---|-⌫------|
par desozseitotenseme nt	--|----|--|--|------⌫-|
dozeesli zsuffraganssacrassent	---|----⌫|---------|---------|
quisein te igliseodeusg ardassent	--|----⌫-|-----|-|--|-⌫--------|
puescommandotq	---|--------||
apreslafin	----|-|--|
del bon ar ceuesqeaugustin	--|--|--⌫------|-------|
e ntreusfustprincipaus nomé	-⌫--|--|---|---------|----|
fuste nordre ainzn é	---|-⌫|----|---|-⌫-|
un autr e ren uotque fei ssent	-|----⌫|--|--|--|---⌫----|
lestemples pa sne destruisissent	--|------|--⌫|-|-------------|
ouoemseutsacrer asmahons	-|--|---|-----|-|-----|
a i nceisfussentmuez les	-⌫-⌫----|------|---|--|
mahomerieeglisefaite	--------|-----|----|
seintefie e daeue benaite	---------⌫||---|------|
eporico qe ngl eissoul oient	|--|--||-⌫---⌫--|----⌫----|
quant as maufezsacrefioient	----|-|-----|-----------|
occireboefsadesmesure	-----|----||--------|
neuouleitpas	-|------|--|
qicel ecu re	|----⌫|--⌫-|
fustentrauersent relessee	---|-|------|---⌫-------|
ainceis uotqe insi fus tmuee	------|--||-⌫---|---⌫|---|
qasfestesd es ded iemenz	|-|-----|-⌫-|---⌫-----|
s asembla ssent tot eslesg e nz	|-------⌫----|---⌫-|--|-⌫-⌫-|
hautessollemnitez	-----|----------|
s icomainzfuren ta cost omez	-⌫|--|---|-----⌫|-⌫----⌫---|
esefeissenttab er nacles	|-|-------|---⌫--⌫-----|
paui llons tentes habitacl es	----⌫----|-----|--------⌫-|
de foilleiesederamiers	-|--------||-|------|
totpar enuironlesmostiers	--|--|------|--|-------|
des s einzmartirs	--|-⌫---|------|
deprecious	-|-------|
si qodco nuiuesreligiou s	-||-|--⌫-----|--------⌫|
les seintesfestescelebrassent	--|------|-----|-----------|
q ensemble	|-------|
oddeusesseinzpaassent	-|--|--|----|-------|
ei nsi uotq elfus t	--⌫--|--||-|---⌫|
e sachezbien trest ot	|-----|---|-----⌫-|
qenostresire	-|-----|---|
al menespeir	-|--|-----|
b ens acord ot	-⌫-||-----⌫-|
cartant donotgraceas	--|---|----|----|-|
de deses compaingnon s	||-|--|-----------⌫|
debo uch edisoient	-|--⌫---⌫|-------|
dapertesuertuzconfermoient	|------|-----|-----------|
si qen poidetensitant	-||-|--|-|---|----|
qetoza deuseconuertire n t	-|--||--|-|----------⌫-⌫|
lib aron l icon teelir oi s	-|-⌫---|-⌫|---⌫-||-|-⌫--⌫|
el pr e mierane pl usas e z	-|--⌫-⌫---|-||--⌫-|--⌫-⌫|
furenten deu	-----|-|--|
do mporcoqela	--⌫|--|-|-|-|
conuerso n	--------⌫|
desengleisdom fazmention	--|------|--|--|------|
ertfaiteparcestuigregoire	--|----|--|-----|-------|
bi enestr aison qe lamemoire	--⌫-|--|-⌫----|-|-|------|
desuer tuzqui delu isont	--|---⌫--|--|-|--⌫|---|
partrestoteenglet erreescrites	--|-------|------⌫---|-------|
uimesuo s s eit denont iee	----|--⌫|-⌫--|------⌫--|
unematroneren omee	--|------|---⌫---|
m an anteenlacitederome	-⌫--⌫---|-|-|---|-|---|
uniorueneitse goncost ome	-|--|-----|--⌫--|----⌫--|
sio ffritsesoblations	-|-⌫----|--|--------|
pape ases tation s	---|-|--⌫------⌫|
ou il la m e s sece lebrot	-|-|-|-⌫-⌫-⌫-|--⌫-----|
mai sacoqedonerliuo t	---⌫||-|-|----|-|--⌫|
lusacrement	-|--------|
apreslame s s e	----|-|--⌫-⌫-⌫|
cezmoz dista la peccheresse	--|--|---||-|----------|
cistseintueircors decrist ihesu	---|----|---|---|-|----|----|
gargeta lmeen	----||-⌫--|-|
etoidontuie pardura ble	|--|---|--|-------⌫--|
a cest motlorscom non creable	|---|--|---|--|--|------|
icelese pr i st asozrire	----|-|--⌫-⌫-||------|
papessanz rens lidire	----|---|---|-|---|
erraument quantla uitriante	--------|----|-|--|-----|
pe nso tq eleereitm escreante	--⌫---⌫||--|----|-⌫--------|
e siretrai stt ant o stsamein	|-|------⌫-|-⌫---⌫-⌫-|-|---|
boucheodl useint u eirpe in	-----|-|-⌫|----|-⌫--|--⌫-|
silre mist	-||--⌫---|
sus laute rariere	--||----⌫|-----|
liseuirot regiere	-|-|----|------|
difole proue e	-|---|-----⌫|
dontteuinti ce ler isee	---|-|---|-⌫--⌫-|-⌫---|
por qeirei sistantfo lement	--|--|---⌫--|---|--⌫-----|
q u anttoffri	-⌫-⌫--||----|
sac r ement	---⌫-⌫----|
dime iluueirneme ment i r	-|--⌫|-|---|-|-|----⌫-⌫|
de honte sepr ist	-|----|-|--⌫--|
lamatroneaces teparole	-|------||---⌫-|-----|
esisetutcomni ceefole	|-|-|--|--|--⌫-||---|
benlonge s s anz negunmot	--|-----⌫|-⌫--|----|--|
n eporoeca lafin	-⌫------||-|--|
commesc re anter espondi t	--|----⌫--⌫---|-⌫-------⌫|
iomenrisa bo n dreit coquit	-||-|--||--⌫|----|-|---|
caru nerien	--|-⌫-|---|
certem entporueir affermas	------⌫--|--|---|-------|
disan tq e cil demeine	-----⌫|-⌫|--|------|
qeio fisde mespropr es meins	-|-|--|-|--|-----⌫-|----|
ereit liueirc ors deihesu	----|-|---|-⌫--|-|----|
nos futen croiz pendu	--|--|-|----|----|
por ce s t	--|--⌫-⌫|
carquels o emdi co u os crereit	--|----|-⌫-||-⌫-|-⌫-|------|
iln e fust enchanté	-|-⌫|---|--------|
oudeltot fole	-|--|--|--||
com o emc ompunct eesbahi	--|-⌫-|-⌫------||-----|
deinsitresfo rtemescreance	|----|---|--⌫--|---------|
domoitlaregehiss ance	--|--|-|--------⌫---|
tantostpargra nt deuotion	------|--|---⌫-|-------|
sei mistaterre enoreison	--|---||----|-|------|
odtrestotlupoep le prese nt	-|------|-|----⌫-|-----⌫-|
esinede mo urafors bre fment	|-|-|--⌫--⌫--|---|---⌫----|
quantsus deterrese dresca	----|--|-|----|-|-----|
lupeinqe susla u terposa	-|---|-|--||-⌫-⌫--|---|
trouotmuéen charsanglante	-----|---|-|---|--------|
lorsa lafe mme	---||-|--⌫--|
mescreante	---------|
ueia ntlu po eple lamostrot	----⌫-|-|--⌫---|-|------|
sif ist tantqil larameno t	-|-⌫--|---||-|-|------⌫|
ala gracededreitef ei	|-|----|-|-----|-⌫-|
s e n fut totlipoeple cocrei	|-⌫|--|--|-|-----|-|---|
ensa crean ce	-|-|-----⌫-|
edeusenses uer tuzloué	|---|-|--|---⌫--|----|
mistlideua michiers	---|-|--|-⌫-|-----|
or eisonregi ers	--⌫----|----⌫--|
en sembleod	--⌫-----|-|
tres tote lagent	----⌫---|-|---|
s orere nt t antdeuotem ent	|-----⌫-|-⌫--|-------⌫--|
qelacha rnalecreat ure	-|-|---⌫----|-----⌫--|
reuintarier easanature	-----|-----⌫||-|-----|
s i fut dechief enpei nm u ee	-⌫|--|-|----|-|---⌫|-⌫-⌫-|
l acharedingne m entusee	-⌫|---||------⌫-⌫--|---|
autremiracle merueillable	----|------|-----------|
quiaces t estasez semblable	--||---⌫|--|---|--------|
refeiseitpar unautr ete ns	--------|--|-|----⌫|--⌫-|
siuo s dirreibiene n quelse ns	-|--⌫|-----|---|-⌫|---|--⌫-|
saiquel e hautege nt	--|----⌫|----|--⌫-|
manant edeuersloc c ident	------⌫|-----||--⌫-⌫----|
par sesmessageslenr equist	--|--|-------||-|-⌫-----|
lortrami sist	--|-----⌫---|
despre tiousma rtirsd erome	--|---⌫----|--⌫----|-⌫|---|
ecil tan t os tsegon costome	|--|---⌫-⌫--⌫|----|------|
susl autierprentune	--||-----|----|--|
sentr ench e fors	|-|--⌫----⌫|---|
d un ecisai lle	|--⌫|-----⌫--|
ne saiq uan tesbe lescincettes	-|--|-⌫---⌫--|--⌫--|--------|
si smisten boistes	-||---|-|------|
petitettes	---------|
puessisadben e nsaelees	---|-||-|--|-⌫-------|
easdiz messager s liure e s	|-|--|--------⌫|-----⌫-⌫|
quierraument	--|--------|
od digneen our	-|----|--⌫--|
graces rendant	-----|------|
a lcreatour	-⌫|-------|
uerslorterres lesaportoient	---|--|-----|--|---------|
quantelch em ins e	----|-|--⌫--⌫-|-⌫|
porpensoien t	-----------⌫|
edisoientparentresei	|-------|--|----|--|
nos aporto nsne s auonsqei	--|------⌫-|-|-⌫----|--|
tro pseme spartizf oleme nt	---⌫|----⌫|-----|-⌫-----⌫-|
quant nesa uonscerteine ment	----|-|--⌫---|--------⌫---|
que lseintuar e	---⌫|--------⌫|
odnos po rto ns	-|--|--⌫---⌫-|
car feimes ben s ipesceons	--|-----|--|-⌫|-------|
lesboistesquin os sont baillees	--|------|--|-⌫-|---|-------|
cartostseront rap araille es	--|---|-----|---⌫-------⌫-|
por sa ueir	--|--⌫---|
s iliadeden z	|-|||-----⌫|
ou cha rou sa n cou	-|---⌫|-|--⌫-⌫|-|
d e confe ss or nede	-⌫|-----⌫--⌫-|-|-|
atantparcommunasentir	----|--|-----|------|
to tes lorboistespe sceiere nt	--⌫--|--|------|--⌫-------⌫-|
maisdetotcoqi se sperer ent	---|-|--|-||-⌫|-⌫------⌫--|
n ionttroué	||--|-----|
qeua usis tm ai lle	-|--⌫----⌫|-⌫--⌫--|
forslespiecesdelatouaille	---|--|-----|-|-|-------|
le squeles li	--⌫|-----|-|
p apesi mist	-⌫---||---|
pa r l esreliqes	--⌫|-⌫-|------|
fesoientl ors li	-------|-⌫--|-|
me ssagers	--⌫------|
enging n ezsumes	------⌫-⌫-|----|
