SOIGNORSor escoutezque Désuoss oit	-------|-|-------|--|---|--|-⌫--|
-Damedit Flooua nsuo sn i	|---|--|------⌫-|--⌫|||
remendroizmie	---------|--|
Siuanroiz fors douboi s à r ecet	-|------|---|--|---⌫|-|-⌫---|
o uàu ile.	-⌫|-|-⌫--||
DAM E dit Floouan smon tezso r cestd es trier	---⌫|--|-------⌫|---⌫--|--⌫|---|-⌫--⌫----|
De c esautresnequier.I .	-|-⌫-|-----|-|----||||
tresto tsoul	------⌫|---|
Lapuc elleest montée	-|---⌫---|--|------|
F loouans ti ntlestrier	-⌫------|--⌫-||------|
Damede xles	------⌫|--|
condue porla souepitié	-----|--|-|---|-----|
Ancu ilorau an dr ai.I.an combriéssif iers	----⌫|--|--⌫--⌫--⌫-||||--⌫--------|-|-⌫---|
P lusorg ou eleusnauin t	-⌫--|---⌫--⌫----||----⌫|
ànulhomesozci el .	-|--|---|--|--⌫-||
ne pout combatr eà.u.	-|---|-------⌫|-||||
forsz cheualie r s	----|--------⌫-⌫|
L apucelleestordraàgerpir	-⌫|------|-------|-|-----|
etlaisier.	-|------||
O rescoutezseig n ors	-⌫|-------|----⌫-⌫--|
s idironsdeR ichie r	-⌫|-----|-|-⌫-----⌫|
Qui sonseignorse uoitqu	--|--|------|--⌫---|-|
ainz esclot niperd ié	---|-----|||----⌫--|
Etcom li Sarazi ns fu tareisrepairez	-|--|-|------⌫-|--⌫|----|-------|
Quisescompaign onso tar ieres	--|--|--------⌫--|-⌫|--⌫----|
luil aisiez	--|-⌫-----|
QueFlo ouans auoità la	--|---⌫----|----|-|-|
mort anuoiez.	---|------||
Al espla i ntetr egrateansarazenois gref	|-⌫-|---⌫-⌫-|-|-⌫-----|-|---------|---|
Ahitant m ar	--|---|-⌫-|
i fu tesnobi l escheual iers	|--⌫--|----⌫-⌫-|------⌫---|
Alascomsum esmorztr éi	---|--|---⌫-|---|--⌫--|
et an ginez	-|--⌫----|
Iemaisen nule cort ne medoi t	-----|-|---|---|-|-|---⌫|
lo npr isier	|-⌫|--⌫----|
Quantsis umeshoniz	----|-|-⌫---|----|
por .I. solch eual ier.	--||||--|--⌫----⌫--||
Q u antli glozotceditsis	-⌫-⌫--|-|---|-|-|--|-||
anuoutrepairer	-|---|-------|
Atantesuo sesran tlou nobileRich i er	----|-|--⌫|-----⌫|--|-----|----⌫-⌫-|
Quiportoit	--|------|
ansoncol .	-|--|--||
I.grant pelagusé .	||----|--|-----||
Li paien sl iescri eQui es tuescuiers	-|-----⌫|-⌫|-----⌫|--|-|-|-------|
-Sire ced itR ic hierbienle uos	|---|-|-⌫-|-⌫--⌫---|---|-|--|
sai noncier	--|------|
après . I.nouelcheualier	-----||||----|--------|
Quiporicipasa i ne sai	--|--|--|----⌫|-|--|
ennuit ouier	-----|-|--|
Etse uos louu éitescarlou	-|-|--|--|-⌫-----|--|--|
mauoiisés.	|--------||
-Oï l glozie leuistant suis ie	|---⌫|---|-|-|--|---|---|-|
plu xi rez .	---⌫|-⌫--||
Mesc omp aignonsai morzo cis etdetrenchiez	--|-⌫---⌫------|-|---|-⌫--|-|----------|
Poramors tonsoigno rp erdras	--|----|--|------⌫|-⌫-----|
tuialechief.	-|-|-|----||
-uosima ntezcuu erscelia	|--||--⌫---|---⌫--|-|-||
ditRichier.	--|------||
Ric hierstintan s amain.	---⌫----|---|-|-⌫|---||
grantpelagusie ́	----|--|------⌫|
Ain zqueli Sar azins futmon tez	---⌫|--|-|---⌫----|--|---⌫--|
oudestrié	-|-------|
Telc oplia idonés orsumel meuergié	--|-⌫-|-|-⌫|----|-⌫-|--|--⌫-|------|
Quelesflourset	--|--|-----|-|
lespier es enai	--|----⌫-|-|-|
iustrabuc hi é	--|------⌫--⌫-|
Lateste libr isai	-|----|-|--⌫---|
en pl ux de.II.	-|--⌫-|-||-||
Aterr e trab ucha i licuuers	|----⌫|----⌫----⌫|-|-----|
renoi ez .	-----⌫-||
Richiersuitle	-------|--|-|
auberttresto tanruulié	-----|------⌫|--------|
Detotescelesarmesneu otnules	-|----|----|----|-|-⌫-|----|
Ai nzgarde	--⌫-|----|
d euan tl ui sichosit.I.espi é	-⌫----⌫|-⌫-|-|-----||||----⌫-|
Trenchante tesfilé à no el antailié	--------|-⌫|------|-|--⌫-|--------|
Alate rrese baisesil	|-|--⌫--|-|----|-||
anai redr ecie ́	-|-|----⌫----⌫|
Ancui seraitel orequ	----|----|--|--|-|
il i auraim estie r .	|-⌫|----|-⌫-----⌫||
EtFloouans cheuauche	-|-------|--------|
neseuo utatargier.	-|-|--⌫-|-------||
Al isuedouboistroua i	||---|--|---|-----⌫|
cheual ier	------⌫--|
Am eru oileestoitgranz etoribles et fie rs	|-⌫---⌫---|-----|----|-|------|-|---⌫-|
escudesoncou l fut.I . uilains	---|-|--|---⌫|--||||------|
char giez.	----⌫---||
I l ot nonFernagu fiz leroi	-⌫|-|--|------|--|-|--|
Et fu isuz	-|-|---|
delost per	-||--|--|
sona r demant fier	--|-⌫-⌫-----|---|
Leiorauoitocisiusq ueà . X	-|--|----|---|----⌫-|-|||
.crestiens	|--------|
Deuant a ̀ s onarçon an	-----|-⌫|-⌫-|-----|-|
aipanduzle schie f .	-|-----|--⌫|----⌫||
QuantFl oouansle u it moults	----|--⌫-----|-|-⌫-|----||
andut esmaier .	-|--|------||
LiSarazin s s escr ieQui	-|-------⌫||----⌫-|--|
cheual ier	------⌫--|
-SireditFl oou ansne lou	|---|--|--⌫---⌫--|-|--|
u osquier no ier	-⌫-|----|--⌫--|
Iesuis de Monloüm .I.	-|---|-|-------||||
pouressou doier .	-----|---⌫----||
Ces tedamefu tfileau senechaulDidie r	---⌫-|---|--⌫|---|-|--------|-----⌫|
aiserui .II	-|----||-|
.a n zp uis m	|-⌫-⌫|-⌫--||
ado ba i l autrier	---⌫--⌫||------|
S ilamainsà	-⌫|-|----|-|
son druqueelai formantchier	--|--|--|-|-|------|----|
- Amisdit Fernaguzasé urch euauchiez	|---|--|-------|----⌫-|--⌫--------|
P or lamor àla	-⌫-||---|-|-|
dame nesare zuo stochie z	---|-|----⌫|--⌫|------⌫|
Ca r ie me	--⌫|-|-|
uoel.I .pou oluiabe l aier	---||||--||--|---⌫-⌫---|
anferai desozcel ol iuier .	-|----|----|--|--⌫----||
Maonmotnostre d exsiman aurapluxc hier	------|-----|-⌫-|-||-|---|---|-⌫---|
Portant quauraih o ni la	--|---|-|----|-⌫-⌫-|-|
-Sired itFloo uansor	|---|-⌫-|----⌫---|-|
l eploitier	|--------|
puetzt oncoraigeprouer etesaier.	----|-⌫-|------|-----|-|-----||
Se tantas ardem an tque oses à	-|---|-|-----⌫--⌫|--|---|-|
l it oc hier	-⌫|-⌫--⌫---|
Iat e uerras ferir	-|-⌫|-----|----|
Cartoi neMahonmo tne	--|--|-|-------⌫|-|
prispas.I .deni er.	---|--||||----⌫-||
B iena pasé	-⌫--||----|
. C. anz quetruieslont mai ngié	|||--|--|-----||--|---⌫----|
LiSarazinslantantàpoun	-|-------||-----|-|--||
estanraigié	--|--------|
escrie Quies	-----|--|-|
tuc heual ier	-|-⌫-----⌫--|
PorMahonmotmun	--|-------|--|
deuia iperdraslechiés	--|-||------|-|-----|
Pora mor àlad am e	--|-⌫--|-|-|-⌫--⌫|
que tu uez dere nier	--|-|--|----⌫---|
L ITursuoitFloouant a ̀	-⌫|---|---|-------|-⌫|
poudirenanraige	--||--||------|
Ilbroichele cheualqu i	-|------|-|-----|--⌫|
l iuintd e Carta ig e	-⌫|---|-⌫|-----⌫--⌫|
EtFloouan slesuen queplus	-|-------⌫|-|---|--|---|
nes i at arge	-|||--⌫---|
Granz cousseuont	----|---|-|---|
donersorles	----|--|--|
dorés tares	-----|----|
Sor l esboclesa ̀ orlesfra ig nent	--|-⌫-|-----|-⌫|-|--|---⌫--⌫---|
e t decassen t.	-⌫|--------⌫||
Moutsun tfor zli aub erzquantilne	---|---⌫|---⌫|-|---⌫--|----|-|-|
se d esmai lent	-|-⌫-----⌫---|
Etbonlicheualiers	-|--|-|---------|
nes antr abat ent.	-||----⌫----⌫--||
Iltraient lesespéeset	-|------|--|------|-|
s un tuenuzauchaple.	-⌫--⌫|----|-|-----||
Fer na guz uai requerreFloou ant	---⌫--⌫--|--|-------|-----⌫--|
par g rant rai ge .	--|-⌫---|---⌫-||
Seignorsplai tuos oïrque ls	-------|----⌫|--|---|---⌫-|
Forz etfelonset fiers et	---|-|-----|-|----|-|
d efiere uertuz	-⌫|----|-----|
A meruoilef ut granzs iot	|-------|-⌫-|----|-⌫|-|
louuisocur	--|--|---|
Ilai traite l es pée	-|-|-----||--⌫---|
donlia cier sfu t bruns	--|-|-⌫----⌫|--⌫|----|
uet feri rFloou antdesor sonelm eagu	--|----⌫|-----⌫--|----|--|---⌫|--|
III.desmestres ser res anai	--||--|------|---⌫--|-|-|
Ett renchié	-|-⌫-------|
l eaube rt e tle pandel	-⌫|----⌫-|-⌫|-|--|-||
R ésà résde	-⌫--|-|---|-|
lachar est libran z desçanduz .	-|---|--|-|----⌫|---------||
Damedexleg ari qu ancha r ne l	------|-|-⌫--|-|-|---⌫|-||
D ecienter reauala nestlib r anz	-⌫|-|-|---⌫-|---|-⌫|--|-|-⌫-⌫--|
Qua nt Fl oouans	---⌫-|--⌫-----|
le u o it moult en fu t	-|-⌫-⌫-|----|-|--⌫|
lich euaul	-|--⌫----|
gr antuertu z	--⌫--|-----⌫|
u et ferirFernag u desusson	-⌫-|----|------⌫|----|--|
Queles flo urset	--|--|---⌫--|-|
lespie resanaiius	--|---⌫--|-|-|--|
Lacharli ait ranch ie l i	-|---|-|-|-⌫-----⌫-|-⌫|
ousremest toznuz	--|-----|--|--|
Sorne tornast lespé eia l	|-|-|------||-----⌫|-||
éutpor fandu .	---|---⌫----||
FLOOuANSabroic hie ́sonauferrantcorsier	-------||-----⌫---⌫|--|--------|------|
Etatraistelespéedon brunoiel aci er	-||------||-----|--|------||---⌫-|
uetferirF ernagusorsunelme ue r g ier	--|----|-⌫-----|--|--|---|--⌫-⌫-⌫--|
Que .I II.desmai tres serresen	--||-⌫-||--|---⌫---|-----|-|
aiiustrebuchié.	-|--|---------||
Unegra ntpl e ne paupe	--|---⌫-|--⌫-⌫-|----|
les paule destreanabat.I. cartie r	|--⌫----|-----|-|---||||------⌫|
En treci àla bocheliaito t	--⌫----|-|-|----|-|-|--⌫|
Par des us sonarçonli san sli descen d ié .	--|---⌫-|--|-----|-|---⌫|-|------⌫-⌫--||
Et Fer nagu sescr ie Tu	-|---⌫---||----⌫-|-|
meuauzanpirer.	-|---|------||
AhiMaünmotsirec arm euenez aider	--|-------|---|-⌫-|-⌫|----|----|
Ainzçois queieimureme quit ie	--------|--|-||---|-|---|-|
uand ï e r.	----⌫--⌫-⌫||
DOL A NZfut	---⌫-⌫-|--|
Fernaguzquantdelui uit lesan c	-------|----|-|--|--|-|---⌫|
Ilaitraite lespédonliaciersreplan t	-|-|-----||----|--|-|-----|------⌫|
Si fer iF lo ou ant sor	-|---⌫|-⌫--⌫--⌫--|--|
sune lme lusant	--|-⌫--|-----|
estonéetdariése t deuant .	------|-|------|-⌫|-----||
u ersla destrepartieuet licou sd es cendant	-⌫--|-|-----|-----|--|-|---⌫|-⌫--⌫------|
Qui lit roin chelaubert	--|-|-⌫----⌫--||-----|
ets unermi ne	-|-⌫-|----⌫-|
Lez l oug ros	--|-⌫-|-⌫--|
de les paule li fe tcoler le	-||--⌫----|-|--⌫|----|-|
lespaule nan prant	|------||-|----|
Etq ueons desachar n i	-|-⌫-|--|-|-|---|||
antan mainéant .	-----⌫--|-----||
uaili bransd ac ier colent	--|-|----||--⌫--|-----|
To tau tresi bru ant c om	--⌫|--⌫----|---⌫--|-⌫-|
foudrquidescent.	----|--|------||
Qu ant Floouans leu itmoutpora nfutdolanz	--⌫--|-------|-|-⌫-|---|--|-⌫|--|-----|
Damdeureclam a le	-----|------⌫|-|
pereomipo tant	---|-----⌫---|
Qui ga r isesoncor s	--|--⌫-⌫--|--|---⌫|
demortet de tormant	-|---|-|-|------|
E nuersceTurpuantquitant	-⌫----|-|--|----|--|---|
aih a rdeman t.	-|-⌫-⌫------⌫||
Estesuos. IIII.T u rsdeuers .I.	----|--||---||-⌫-⌫-|-----||||
d esrubant	-⌫-------|
felo nsetfie rset outregous formant	----⌫-|-|---⌫-|-|--------|------|
Fernaguuont querant	------|---|------|
li traït ouspuanz.	-|------⌫--|----||
Maugal ieest as	------⌫-|--|-|
e strelafil eG a lié	-⌫---|-|---⌫|-⌫-⌫---|
. pucelles à bliausentailiez	|-------|-|-----|--------|
Es gar de deuan t soiui t	--⌫---⌫-|-----⌫|--|--⌫|
Floouantlefier	-------|-|---|
Armerzdebonesarm e ss orle	-----|-|----|---⌫-⌫|-⌫-|-|
corantdestr ié .	-----|-----⌫--||
Ellele uit belet gant ethardi	---|-|--|--|-|---|-|----|
Moutli uoitSa raz inscoper	---|-|---|--⌫---⌫--|----|
etdetra nchier	-|-----⌫-----|
Elle li escr ia Q uiestuc heualier	---|-|----⌫-|-⌫-|-|-|-⌫-------|
Maonmoztemaudiequito t	------|-|-----|--|--⌫|
aiàbail ier	-|-|----⌫--|
Set u ne uie sz àmoiparler	-|-⌫|-|---⌫-|-|--|-----|
etd onoier.	-|-⌫-----||
O n quesmais nete	-⌫-⌫---|---|-|-|
uis enestorcommancie r .	--|-|----|---------⌫||
Di uaiparoleàmoiretorne	--⌫--|-----|-|--|------|
tondestri é	--|------⌫-|
Ienelairaià	-|-|-----|-|
toi netrairene lancier	--|-|-----|-|------|
Detoiferaimond ru et	-|--|----|--|-⌫-|-|
m onconfanoneir	-⌫-|----------|
Sisarasa nmachambremes maitres consoiliers.	-|----|-⌫|-|------|--|------|----------||
F loouans laregarde prit	-⌫------|-|------|---|
laà acoi ntier.	-|-|----⌫----||
Aicelep aroleiest uenuzRic hier	|----|-⌫----||--|----|---⌫---|
Siaipris sonseignour	-|-|---|--|-------|
por l esc u decartier	--||---⌫|-|------|
uos faitesque	--|-----|--|
mauua isqua ntuo sic iplaidier	-----⌫-|---⌫-|--⌫|--⌫|-------|
Mas au lezen sa ch ambredeplusprèsconsoilie r	--|--⌫--|-|-|--⌫----|-|---|----|---------⌫|
Ses cond uzni u aur oi tlemontan	--|----⌫-|||-⌫---⌫--⌫|-|-----|
dun de nier	|-|--⌫---|
Se p aiensuostrouoient	-|-⌫----|--|--------|
u o s perdriés	-⌫-⌫|--------|
le ch i ef.	-|--⌫-⌫-||
Ediuai mauuaishonscom te puezpouprisie r	|----|------|---|--|-|---|--|------⌫|
Quesilaisespo r lepaiens	--|-|-----|--⌫|-|-----|
à detrenchi er	-|---------⌫-|
Ettonl ouset conquerre ettonprou	-|--|-⌫--|-|--------|-|--|---|
porchacie r.	---------⌫||
Tufuschaciez	-|--|------|
deFrancepor	-|-----|--|
ta grant mauuait ié	-|----|-------⌫--|
Si n asorne a rg ent	-||-|-|-|-⌫--⌫--|
paulefroinedest r ié	--------|-|----⌫-⌫--|
Se tu nelouconquierau feret a ̀ l	-|-|-|--|-------|-|--|-|-⌫||
FLOOuANS dit Richiersmultpo r estescortois	-------|--|-------|---|--⌫|----|------|
Pornoi a ntauezarmes destriezetp aulef roi z	--|---⌫-⌫-|---|----|-------|-|-⌫-----⌫---⌫|
uos auez ga nt lecorsfaites pini eruopoiel	--|---|--⌫-|-|---|-----|----⌫-|-|----|
Poramorscesteda mearez uos	--|----|----|--⌫-|---|--|
trop auoir.	---|----||
ma uuaisr oisia	--⌫----|-⌫--|-|
Se nas neuarsnegris	-||-|-|---|-|---|
destriern epau lefroi	-------|-⌫|---⌫-----|
Se tune lou	-|-|-|--|
conquie rsàlespée ui ann ois	-------⌫-|-||-----|--⌫---⌫--|
-Richiersdi t Floou a nsmer cipor Deulou uo ir	|-------|--⌫|-----⌫-⌫-|---⌫-|--|--|--|--⌫-|
panserai maisorlemepar dono i z.	-------|---|-|-|-|---⌫----⌫-⌫||
- S ir eceditRich ierstot pordonez	|-⌫--⌫|-|--|----⌫---|--|-------|
Masgardezu ostrè sbi en	--|-----|-⌫-|----⌫|--⌫-|
queplus neloupansoiz.	--|---|-|--|------||
- NoferaiieRichieri eluosoutroipor	|-|----|-|------|-⌫-|--|-----|--|
LA t ançonontlaisie RichiersetFloouanz	-|-⌫-----|--|-----|-------|-|-------|
uersBeaufort s e n	---|-------||-⌫|
retornentàlorgrailesso nanz .	--------|-|--|------|--⌫---||
Liborioisde	-|------|-|
lauile lo rsuntu enuzdeuan t	-|---|--⌫|---|-⌫---|-----⌫|
Etmo ïmes liro i s e stu e nuz totd euan t	-|--⌫----|-|--⌫-⌫|-⌫-|-⌫-⌫--|--|-⌫----⌫|
Qui l orai demandé	--|-⌫-|-|-------|
comlorest couenant	--|--|--|-------|
Qué noue llesmedite s do uChate l	---|----⌫---|-|----⌫|--⌫|-----⌫|
-Moultbienlamerci Deu d it Urbensl	|----|---|-|----|--|-⌫-|-----||
uaincuees t	------|--⌫|
laba tai lesiestnostreslicha ns.	-|--⌫---⌫-|-|--|------|-|---⌫-||
Onquesmès n anuéit esta ntocire de	-----|---|-⌫-|-----⌫-|--⌫-|----|-|
Neomessim or i rne paienstansangla n z	-|---|-|-⌫--⌫-⌫|-|-----|--|------⌫-⌫|
Sortotenostre gant lefirentm iauz	--|---|-----|---|-|-----|-⌫---|
Linouel adobez lo r aimor tEscorfan	-|----|-----|--⌫|-|---⌫|-------|
Dotali en sondrutetl amirau lGurtam	------⌫-|--|---|-||------⌫|-----|
lor chatelle s ai m enez fer ant.	--|-----|--⌫|-|-⌫---|---⌫--||
Magal ie estase stre s lafi lelamiram	-----⌫-|--|-|-⌫----⌫|-|--⌫-||-----|
AsezditF loouantparoleset	---|--|-⌫------|------|-|
samblan z .	-------⌫||
- Iesabien ditli r oisprou dome sun tli	|-|-|---|--|-|-⌫--|----⌫---|---⌫|-|
IluintàFlo o uanselidit	-|---|-|---⌫-⌫--|-|-|--|
Prenezde cestachectotàuostretalant.	-----|-|---|----|--|-|-----|-----||
-Sire di tFloouansienan	|---|--⌫|-------|-||-|
demantnoiant	-----|-----|
Ret enez àuossirede partezà	---⌫---|-|--|---|--⌫-----|-|
Aupouuress oudoiers	-|------|-⌫-------|
q ui desseruilantant	-⌫-|-------||-|---|
Qui por uosg uerres suntciàu os	--|--|--|-⌫-----|---|-|-|-⌫-|
rem enanz.	---⌫----||
LEgaiegdepa rtirentantrelessoudoiiers	-|----|----⌫------|----|--|---------|
Aplux de.M .an	|---|-||||-|
donentq uiann	-----|-⌫-|--|
orentm estier .	----|-⌫-----||
ostel sa nuontFlo ouanset Richier	----||-⌫|---|---⌫----|-|------|
Ouec quesa usam moinen t. IIIIc. cheuali er	----⌫---|-⌫-|--⌫------⌫||----||-------⌫-|
EtUr banlAulemantme ne rentpor mengier.	-|--⌫--||-------|--⌫--⌫---|--|------||
La pucelle desuaule c ontreualleplain chié	-|------|-------|-⌫-------|-|-----⌫----|
Nupiez escha uole ́e	-|---|-----⌫----⌫-|
portoit .I .esperu ie r.	------||||------⌫--⌫||
AlostelFloou antsan uai	||----|-----⌫--||-|--|
Delez luisestasise lapuc e lleau	----|--||--|----|-|---⌫-⌫--|-|
LApucelleesta s sise deiosteFlooua nt	-|------|--|-⌫-⌫---|-|----|------⌫-|
Laioùeleleu i t	--|--|--|-|-⌫-⌫|
ditmete na n t	--|----⌫--⌫-⌫|
Ca rmebaisiezbausiredit Fl oroteaucors	--⌫|-|------|--|---|--|--⌫----|-|---|
omean cessegle q ue	--|-|--|----|-⌫-|
i ed es siereta nt.	-⌫|-⌫--⌫----|--⌫-||
-D amed itF looua nsc esttot por	|-⌫--|-⌫-|-⌫-----⌫-||--|--|--|
uostreperes aiolimaiz	-----|----|-||-|---|
cheualieru ailanz	--------|-⌫-----|
Aseztotmanharoie nt	---|--||-|------⌫-|
h a ïr oi ent plusou ret li al quant auquant.	-⌫-⌫---⌫--⌫--|------⌫|-|-|--⌫----|------||
Pou resonsd	---⌫--|--||
autreterreso udéesconqueranz	----|----|--⌫-----|---------|
fairetelchosedon	----|--|----|--|
louhée n tl agant	--|----⌫-⌫|-⌫|---|
N eper drelesso udéesd on souantestferanz	-⌫|---⌫--|--|--⌫-----|-⌫-|-----|--|-----|
Etrespontl apucel leOrso ituostre	-|------|-⌫|-----⌫-|-|--⌫-|-----|
ces t p or Maugalie	|--⌫|-⌫-|-------|
où uo sparlestestant.	--|--⌫|--------|---||
B ienl adeuez	-⌫--|-⌫|----|
amerc arellea i lecorsgan t	---|-⌫-|---|-⌫|-|---|---⌫|
Masdetexcom uosestes	--|-|--|--|--|----|
enanraiancor.	-|----|----||
Tutse penentporlietisontatandanz	--|-|-----|--|-|-||---|-------|
Etseliunsest	-|-|-|--|--|
mors liautressunt	---|-|-----|---|
ele demoineneuaut a ̀mornéant	--|------|-|---|-⌫|--|-----|
- Mou lt l aaez pucelece li ditFl o ouans	|---⌫-|-⌫|--|-----|-|-|--|--⌫-⌫----|
Elle u os a f orfa itp ar	---|-⌫-||-⌫----⌫-|-⌫-|
lemien escient	-|---|------|
Ai c elleparole anapelai	|-⌫-⌫---|-----|-|-----|
Fetess one r nosgrailesadober	----|-⌫---⌫|--|------|-----|
nostregant.	-----|---||
To tenuite rrer onsà la lun elusant	--⌫-|---|-⌫----⌫--|-|-|---⌫|-----|
Si m etrons nosagaiz	-|-⌫-----|--|----|
