Monsieurl arc euesquede	-------||---⌫------|-|
P hil ip pesle quelauoit pourpremierchambellanungqui	-⌫---⌫--⌫--|--⌫---|----|---|------|---------|--|--|
depuiss est appellé monsr de	-----||--|-------|----|-|
C hi mayhomm eie une et tre ̀sbiencondicio nnéne pueudu	-⌫--⌫--|----⌫|--⌫--|-|---⌫-|---|--------⌫---|--⌫---|-|
se igneurde	--⌫-----|-|
Crouylequels	----|-----||
enall asansdire	-|---⌫|---|---|
adieuàs on mais tr ep ourl acrainctede sapersonne	----|-|-⌫-|----⌫--⌫|-⌫--|-⌫|-------|-|-|-------|
autre m enteustestétu éouprins	-----⌫-⌫--|---|----|--⌫-|-|----|
car ainsiluy	--|----|--|
auoit ilestéde clairéLancien aagedudict	----|-|----|--⌫------||-----|---|-----|
Philipp eslu yfeitendurerpatiemmentettoute	-------⌫-|--⌫|---|------|---------|-|----|
cestede c laration quisefis t	----|--⌫-⌫-------|--|-|---⌫|
cont reses gens fut àcause de	----⌫-|--|---|--|-|----|-|
laresti tutiond esesseigneuries s ituée s sur	-|-----⌫-----|-⌫|--|----------|-⌫------⌫|--|
lari u ièrede	-|--⌫-⌫----|-|
Som m eque	---⌫-⌫|--|
Philippesauoitrenduesa udictroy	--------|----|------|-⌫----|--|
Loyspour la	---|---|-|
sommedequatr e cens mil leesc us	----|-|-----⌫|---|---⌫-|---⌫-|
Et chargeoitl edic tconte	-|--------|-⌫----⌫|----|
Char roloys ceulx deceste maisonde	----⌫-----|----|-|----|-----|-|
auo i r faitc onsentirauduc	---⌫-⌫|---|-⌫-------|-|--|
P hi li ppescetterestitution	-⌫--⌫--⌫---|----|----------|
Ledictcontede	-----|----|-|
Charroloysse r adob aauecsonpère le	---------|-|-⌫----⌫|---|--|----|-|
mieulx quil peut	-----|-|-|---|
Etinc ontinent mistses	-|---⌫-------|---|--|
gens dar mes aux ch amps et	---||--⌫--|--|--⌫---|-|
ensacompagnie ledict	-|-|--------|-----|
Polprincipalcon ducteurde sesaffairesetleplus	--|--------|---⌫------|-|--|-------|-|-|---|
gran dchefdes on armée	----⌫|---|-|-⌫-|-----|
Etpouoitbienauoirtroyscen shomm es darmeset	-|-----|---|----|----|---⌫|----⌫-||----|-|
quatre mille archie rs	-----|----|------⌫-|
s oubzsa chargeetauoit beaucoupdebonsche ualiers et	-⌫---|-|-----|-|----|-------|-|---|---⌫------|-|
es cuyersdespays d	--⌫-----|--|---||
Hena ult etde	----⌫--|-|-|
Flandr e ssoubzled ictc onteparle c omm andem ent	------⌫-⌫|----|---⌫--|-⌫---|--|-|-⌫---⌫-----⌫--|
d udictconte de	-⌫----|----|-|
Charroloys	---------|
Semblables bendes e t aus sig rossesarméesauoi e ntmonsrde	---------|-----|-⌫|---⌫-|-⌫-----|------|----⌫-⌫-|----|-|
Raua stin frèredudu cde	----⌫---|-----|-|--⌫|-|
C le ̀ueset	-⌫--⌫---|-|
Ant hoinebastardde	---⌫----|------|-|
Bourgongnelesquelz auoyent este ́ or donnéz	---------|-------|------|----⌫|--⌫------|
pourlesconduyre Dautre s	---|--|-------||-----⌫|
chef zyauoit ilqueienenommer ay	----⌫||----|-|--|-|-|------⌫-|
pasp ourc este heurepou rbriefueté	--|-⌫--|-⌫---|----|---⌫|---------|
Etent relesautr esyauo it deuxcheualiers	-|---⌫-|--|----⌫-||---⌫-|---|---------|
quia uoyentgr a nd cred it a uec le dict conte	--|-⌫-----|--⌫-⌫-|----⌫-|-⌫--|--⌫---|----|
C h arroloysLun estoit leseigneurde	-⌫-⌫-------||-|-----|-|-------|-|
Hautbou rdin anciencheu al ier	-------⌫---|-----|----⌫--⌫--|
frère bastard dudictconte	-----|------|-----|----|
Poln ourry esancien nes	--|-⌫----|-|------⌫--|
gue rresde	---⌫---|-|
Angleterreaut emps qu ele roy	---------|-|-⌫---|--⌫|-|--|
Angl e terre cinquiesme decenom	----⌫-⌫----|---------|-|-|--|
regnoit en	------|-|
F rance etque leduc	-⌫----|-|--|-|--|
P hilip pesesto itioinctauecq u es luyet	-⌫-----⌫--|----⌫-|-----|-----⌫-⌫-|--|-|
s o nallyéLautre auoitnomle	-⌫-⌫|-----||----|----|--|-|
seigneur de	-------|-|
Contayqui se mblablem en t	-----|--|--⌫--------⌫--⌫|
esto itdu tempsde lau tre	----⌫-|-|----|-||--⌫--|
Cesde uxesto yen t trèsu ai llansetsa iges	--|--⌫-|----⌫---⌫|----|-⌫--⌫----|-|--⌫---|
cheuallie rs etauoyentla princ ip a lle c harge	---------⌫-|-|------|-|-----⌫--⌫-⌫--|-⌫----|
de l arme ́e	-||----⌫-|
De sieunes	--⌫|-----|
y auoit ilassez	|----|-|----|
En treles autres ung fortbien	--⌫--|--|-----|--|---|---|
renomm éa ppellé	------⌫-|-⌫------|
mes s ir e	---⌫-⌫--⌫|
Philippesde	--------|-|
Lala inquiest oi tdunerac edontpe u	----⌫-|--|---⌫--⌫||--|---⌫|---|--⌫|
senest trouué quin	|-|--|------|--||
ayentestéuaillans etcour ageuxetpr esque	----|----|-------|-|----⌫----|-|--⌫----|
tousmortzen	---|----|-|
s eruantleursseigneurs	-⌫-----|----|--------|
enguerr eL armée p ouoitestr edequatorze	-|-----⌫||-----|-⌫----|----⌫|-|-------|
censho mm esd armesmal armézetmal	---|--⌫--⌫-||----|--|-----|-|--|
adroitzcar longtempsauoye nt este ́cess eigneu riesenpaix	------|--|---|----|-----⌫-|----⌫|--|-⌫------⌫---|-|---|
etdepuisletraictéd	-|-----|-|-------||
Arr asauo ientueu peu	---⌫-|---⌫---|--|--|
deguerrequie ust duré	-|-----|--|-⌫--|----|
Etàmonadu is quilzauoyentes téenrep oz	-|-|--|---⌫-|-|--|------|--⌫--|-|---⌫-|
plus detrente etsix	---|-|-----|-|--|
ans saufquelqu espetitesguerrescontreceul xde	--|---|------⌫-|------|------|-----|----⌫|-|
G andquinauoyen t guères	-⌫--|--||------⌫|------|
Leshomme sda rmesestoient trèsfort bienmon té z	--|-----⌫||-⌫---|-------|----|---|---|---⌫---⌫|
et b i ena c compaignéz	-|-⌫-⌫-|-⌫-⌫----------|
Car peu eneussiezu ous	--|--|-|------|-⌫--|
u euquineussenteu cinqous ixgran s	-⌫-|--||------|-|---|-|-⌫-|----⌫|
cheuaulxDarchiers	-------||-------|
ypo uoitilbienauoir	|--⌫---|-|---|----|
huictou neuf milleetquant lamon s trefut	----|-|---|----|-|----|-|---⌫-⌫--|--|
faict e il yeut	-----⌫|-||--|
plusaf f aire à lesrenu oyerque àles a p peller	---|--⌫-⌫---|-|--|----⌫---|--|-|--|-⌫-⌫-----|
etfuren tch oysiztousl es m eilleurs	-|-----⌫|--⌫----|---|-⌫-|-⌫-------|
Pourlorsestoientle ssubiectz deces temaisonde	---|---|-------|--⌫|-------|-|---⌫-|-----|-|
Bourgongne engranderichesseà	---------|-|-----|-------|-|
ca us edelalo ngu e paix	--⌫--⌫|-|-|--⌫---⌫|---|
quilzauoient euetpourlab o nt éduprince	-|--|------|-|-|---|-|-⌫-⌫--⌫-|-|-----|
soub z q uiilzuiuoyentlequeltailloitpeusessubi ectz	----⌫|-⌫-|--|-------|-----|-------|--|--|----⌫---|
E tmesem bleque pourlors sesterresse	-⌫|-|---⌫--|--|---|---|--|-----|-|
pouoient m yeulx direterresdepromiss ionquenulles aut resseigneuries	-------|-⌫----|---|-----|-|-------⌫--|--|-----|---⌫--|----------|
quifussents urlaterre	--|------|-⌫-|-|----|
Ilzes toient	--|--⌫-----|
combles de richesse s e ten gr andrepozcequilz	------|-|--------⌫|-⌫|-|--⌫--|----|-|-|--|
ne furentoncquespuise typeult bien auoir uin gt	-|-----|------|---|-⌫||----|---|----|---⌫-|
ettroysans	-|----|--|
quececy commença	--|---|--------|
Lesdespens es	--|-------⌫-|
et habillemensetdhommesetde femmes	-|----------|-||-----|-|-|-----|
gr an s etsuperfluzlesco nuyzetles	--⌫--⌫|-|--------|--|--⌫---|-|--|
ba ncque tzplus	--⌫-----⌫-|---|
granset plusprodi gues queennulautre	----|-|---|-----⌫---|--|-|--|----|
lieud ont iaye	---|-⌫--||--|
euc ongnoissa nce lesbai gner ie s et ault resfestoyemensauecquesfemm esgrans	-|-⌫---------⌫--|--|---⌫----⌫--⌫|-|----⌫--|----------|-------|----⌫-|----|
e tdesordo nnéz	-⌫|-------⌫----|
etàpeudehonteiep arle	-|-|--|-|----|-|-⌫---|
de f e mmesde	-|-⌫-⌫---|-|
ba ss econdicion	--⌫--⌫|--------|
Ensommene semb loit	-|----|-|----⌫---|
aux subiectzdec estemaison	--|-------|-|-⌫---|-----|
que nul prince fusts uff isantpoureulxaumoins	--|--|-----|---|-⌫---⌫----|---|---|-|----|
qui lessceus tcon fondre	--|--|-----⌫|---⌫-----|
Eten ce monden enco ngno isauiou r duyune	-|-|-|----||-|--⌫----⌫-|-----⌫-⌫--|--|
sides olée e tdoubte quel es p eche ́ zdu	-|---⌫----|-⌫|-----|--|-⌫-|-⌫----⌫-⌫|-|
tempsdelaprosperitéleurfa cep orterce steaduersité	----|-|-|----------|---|--⌫-|-⌫----|--⌫--|---------|
Etprincipalle m entqu	-|-----------⌫-⌫--|-|
congnoi ssoyentpasbien	-------⌫------|--|---|
q uetoutescesgracesleurprocedoyent	-⌫-|-----|--|-----|---|----------|
Dieuqu i l es depart lào ùilluy	---|--⌫|-⌫-|-----|--|-⌫-|-|--|
Etai nsicestearméeestr eprestequi fut	-|--⌫--|----|-----|----⌫|-----|--|--|
tout en ung instantdetoutes les ch osesd ont	---|-|--|------|-|-----|--|--⌫---|-⌫--|
i ayic yd euantparlé	|-|--⌫|-⌫----|-----|
semistle conte de	-|---|-|----|-|
Charroloysencheminauecquestout eice lle arm éequi	---------|-|-----|-------|----⌫|---⌫--|---⌫--|--|
e stoient tousàcheualsa ufceulx quic onduysoientsonar til lerie	-⌫------|---|-|-----|--⌫-|----|--|-⌫----------|--|--⌫---⌫----|
qui estoitb elle e tgrande selonlete mps	--|-----|-⌫---|-⌫|-----|----|-|--⌫--|
d elors etfor t gr andnombr ede	-⌫|---|-|---⌫|--⌫--|-----⌫|-|
ch arroye ttant	--⌫----|-⌫|---|
qu i l zclouoyentlapluspartde s onost seule m ent	-|-⌫-⌫|--------|-|-------|-|-⌫-|--|-----⌫-⌫--|
cequies toits ien	-|--|--⌫---|-⌫--|
T yra s oncheminuer s	-⌫--|-⌫-|-----|---⌫|
Noyon etass iegeaungpeti tchast eloùil yauoit	----|-|---⌫----|--|----⌫|-----⌫-|--|-||----|
desgensdeguerre appellé	--|---|-|-----|-------|
Enpeude iour sleprin t	-|--|-|----⌫|-|----⌫|
L e mareschal	-⌫|--------|
Io ac hin mareschal de	--⌫--⌫--|--------|-|
Fran ceestoittousiours enu yron	----⌫-|-----|--------|---⌫---|
de luyquiestoitp a rty de	-|--|--|-----|-⌫-⌫--|-|
Per onnem ais ilne	---⌫---|-⌫--|-|-|
l uy faisoitpointde	-⌫-|------|----|-|
dommaigeparce qu ilauoi tpe ude g en s	-------|--|-|-|-|----⌫|--⌫|-|-⌫--⌫|
Parisqua nt ledict conteenapprocha	----|---⌫-|-----|----|-|-------|
Tout au lo n g duch eminnefaisoitledictc o nte nulles	---|-|--⌫-⌫|-|--⌫---|-|------|-----|-⌫-⌫--|-----|
guerresnyn eprenoyen trienssesgenssansp ay e r	------|-|-⌫|--------⌫|----|--|---|---|-⌫--⌫-⌫|
Aussile s uil lesdelari u iè rede	----|--⌫|---⌫--|-|-|--⌫-⌫---⌫-|-|
Somm e et toute sautres	----⌫|-|-----⌫|-----|
la issoyen t entrersesgens en petit	--⌫-------⌫|-----|--|---|-|----|
nomb r e etleur	----⌫-⌫|-|---|
b ailloyentcequ ilz uouloye ntpour leurarg ent	-⌫--------|-|-|--|-------⌫-|---|---|---⌫--|
etsembloitbien	-|-------|---|
qu il z es couta ssentquiseroi tlepl usfort ou le	-|--⌫|--⌫-----⌫----|--|-----⌫|-|--⌫-|---|-|-|
ro yo u les seigneurs	--⌫|-⌫|--|--------|
Et ch em yna tantle dictconteq uil uint	-|--⌫--⌫--|---|--⌫---|----|-⌫|-|---|
De nysprès	--⌫--|----|
P a ris oùse deuoyenttrouuertous les	-⌫-⌫--|--|-|-------|------|---|--|
s eigneursdu royaul mecommeilz au oyentpromismaisilz n e	-⌫-------|-|------⌫-|----|--|--⌫----|-----|---|--|-⌫|
s eytrou uèrent	-⌫||----⌫------|
Pourled uc	---|-|-⌫-|
Bret a igneya uoit auecle dictconte	----⌫-⌫---||-⌫---|---|--⌫---|----|
pourembass ade urleuychancel lierde	---|------⌫---⌫-|-|---------⌫---|-|
Breta igneno mmé	-----⌫---|--⌫---|
Rouu illequiauoitdesblanssignezde	----⌫---|--|----|--|----|-----|-|
s on ma istreetsenaydoit	-⌫-|--⌫----|-||-|-----|
ennou uellesetescriptz co mme le casle reque roit	-|---⌫-----|-|-------|--⌫--|-|--|-|-----⌫---|
Normantet très	------|-|----|
hab illehommeetbesoi ng	---⌫---|----|-|-----⌫-|
futpour lemu rmuredesgens	--|---|-|--⌫----|--|---|
quisourdit contre luy	--|------|-----|--|
Le dit conte seallamonstr erde uant	--⌫--|----|-|---|------⌫-|--⌫---|
Paris e t yeuttrèsgrandes c armo u cheetiusques	----|-⌫||--|----|----|--⌫-⌫----⌫-⌫--|-|------|
au x po rte sau desauantaig ede	--⌫|--⌫---⌫|-|-----------⌫|-|
ceulx dede da ns	----|-|--⌫--⌫-|
Degensdarmes ilny	-|---||----|-|||
auoitqu eledict	----|--⌫|-----|
Ioachinetsacomp a ig n ieet	------|-|-|----⌫-⌫--⌫-⌫-|-|
Nanto uille t pui sgran tmais tre	-----⌫-----⌫|---⌫|----⌫|----⌫--|
qui aussibien seruitle	--|----|---|-----|-|
c este annéequeiamaissubiectseruit royde	-⌫---|-----|--|-----|------|-----|--|-|
France àsonbesoing etenla	-----|-|--|------|-|-|-|
malres compence ́parlapousuytede ses ennemys plus	--|---⌫--------⌫|--|-|-------|-|--|------|---|
que parledeffault duroy	--|--|-|-------|-|--|
m aisl esu ngsne lesautresne sen	-⌫--|-⌫-|-⌫--|-|--|-----|-||-|
sçauroyent detouspoinctzexcuser	----------|-|---|------|------|
Il yeu t du	-||--⌫|-|
m en upeupleco mmeaysc eudepui s	-⌫--⌫|-----|--⌫--|-|--⌫-|-----⌫|
fortes pou ente ́ceiour	---|--⌫---⌫----⌫|-|---|
i usquesàcryer	-⌫-----|-|----|
Il z sontded ans	--⌫|---|---⌫--|
ontcomp té plusieur sdepuis	--|----⌫--|--------⌫|-----|
Maiscestoitsans propoz	---||-----|---|-----|
Toute sf ois mons r de	-----⌫--⌫--|----⌫|-|
Hautbourd ind ontay parléicydeuant	---------⌫-|-⌫--|-|-----|--|-----|
euste sté assezdoppi nion q ueon	---|-⌫---|----||----⌫---|-⌫-|-|
leustass aillyelequelyauoitesté	|---|---⌫-----|-----||----|----|
nourryetn est oitsi forte commeelleest	-----|-||---⌫--|-|----|----|---|--|
àprese nt	-|-----⌫-|
Les gensdar mes leussentb ienuou lutousmesprisant	--|-------⌫--||------|-⌫--|---⌫-|---|---------|
lepeup lecarius ques àlaport e	-|----⌫-|--|---⌫---|-|-|----⌫|
estoyen tlesescarmouches	-------⌫|--|-----------|
Toutesfois ilesturaysem blableque l lenestoitpoint prenable	---------|-|--|-------⌫-----|-|-⌫-⌫-||-----|----|-------|
Ledictconte sen retourna à	-----|----||-|-------|-|
Lel endemainaumatinsetint	-|-⌫-------|-|----|-|---|
conseilsçauoirsyon yr oit	------|-------|-|-|--⌫--|
audeuantduduc de	-|-----|-|--|-|
Berryetd uduc	----|-|-⌫|--|
Bretaignequi es toyent	--------|--|--⌫-----|
p rès commedisoitleuichancellierde	-⌫---|----|-----|-|------------|-|
Bretaigne qui monstroit let tr es d	--------|--|--------|---⌫--⌫-||
eulxmaisilles auoitfaictessurdes	---|---|-|--|----|------|--|--|
blancssignézetautrechosen en sçauoit	-----|------|-|----|----||-|-------|
Laconclusionsi futqu e onpasseroit	-|---------|-|--|--⌫|-|--------|
la riuiè re de	-|------⌫-|-|
Sei necomb i enquep lusieurs	---⌫-|----⌫-⌫-|--|-⌫-------|
oppi nère ntderetournerpuisque	----⌫-----⌫-|-|--------|------|
lesautr esauoyentfaillyàleur iouret que	--|----⌫-|------|-----|-|---|---|-|--|
a uoirpassé lariuièredela	-⌫---|-----|-|-------|-|-|
Som me etde	---⌫-|-|-|
M arnece stoitassezetsuff isoit	-⌫---||-⌫----|----|-|----⌫----|
biensa ns passercel le de	---|--⌫-|-----|---⌫-|-|
E ty mect oyentgran sdoubtesdaucunsueuq ue	-⌫||----⌫----|----⌫|------||-----|--|-⌫-|
àleur dozn	-|---|--||
auo ye ntnullesplacespo ur eulx retirers	---⌫--⌫-|-----|-----|--⌫-|---|------||
ilzen au oye nt beso ing	--|-|--⌫---⌫-|----⌫--|
Fortmurmur o itto ut	---|------⌫-⌫-|--⌫-|
sur le co ntede	--|-|--⌫--|-|
Pol e t surceuichancellier	--|-⌫|--|-|------------|
To utesfoisledic tcontede	--⌫-------|-----⌫|----|-|
Charro loysa lla passer	------⌫---|-⌫--|-----|
lariu ièreetlogeraupont	-|---⌫----|-|----|-|---|
L e lendema inqu ilyfutarriué luy	-⌫|-------⌫-|-|-||--|------|--|
uindr entnouuell es	-----⌫--|-------⌫-|
dunedam edeceroyaulmeq ui	|--|---⌫|-|-|-------|-⌫-|
lui escriuoitde	--|--------|-|
samain comm ele roypartoitde	-|---|----⌫|-|--|------|-|
Bourbonnoysetqueàg ransiournée s	----------|-|--|-|-⌫---|--------⌫|
alloitpourletrouu er	-----|---|-|-----⌫-|
ung peuparle rcom mele royestoi talléen	--|--|-----⌫|---⌫-|-|--|-----⌫|----|-|
Bourbonnoy s	----------⌫|
Congnoissantque	-----------|--|
touslesseigneurs du royaulme	---|--|--------|-|-------|
sedeclairoientcontreluy	-|-----------|-----|--|
aumoins c ontresongouuerne m entsedelibera	-|----|-⌫----|--|--------⌫-⌫--|-|-------|
decourir susle premierau ducde	-|-----|--|-|------|-|--|-|
Bourbonq uiluy sembloi t	------|-⌫-|--|-------⌫|
s estreplus declairéqueles autresprinces et	|----|---|--------|--|--|-----|------|-|
quesonpays estoitfoibleparquoytantost	--|--|---|-----|-----|--|---|------|
suppedit é	--------⌫-|
Etlu yprint plusieursplac es eteu stacheuéle	-|--⌫|----|--------|----⌫-|-|--⌫-|------|-|
demourants i neustest é lesec ours quiuint	--------|-⌫||---|---⌫-|-|---⌫---|--|---|
Bourgongnequemena	---------|--|---|
Rothelinlese igneur	-------|-|--⌫-----|
Mon taguet autr es	---⌫---|-|----⌫-|
Etyestoitportantleharnoys	-||-----|------|-|------|
lechancellier de	-|----------|-|
France q uiestauiourdhuy hommebi enextiméappelémons r	-----|-⌫-|--|---------|----|--⌫-|------|------|----⌫|
G uill aumede	-⌫----⌫---|-|
R ochefort	-⌫-------|
C esteassembl ée auoyentf aicte en	-⌫---|-------⌫--|------|-⌫----|-|
Bourgongnele	---------|-|
Beauieuetle cardinalde	------|-|-|-------|-|
B ourbonfrèreduduc	-⌫-----|-----|-|--|
Bourbonetmisdrentles	------|-|-------|--|
Bourg uygn on s dedans	-----⌫----⌫--⌫|-----|
MoulinsDautrepart	------||----|---|
uindrentenayded udict	-------|-|---|-⌫----|
d ucleducde	-⌫-|-|--|-|
Nemoursl econte d	------|-⌫|----||
Armignacleseigneur d	-------|-|-------||
Albretauec grant	-----|---|----|
nombredegen sou ̀il y	-----|-|---⌫|--⌫|-||
auoit au cuns b ienbonsd e leurpays	----|--⌫---|-⌫--|---|-⌫|---|---|
quiau o yent laissélesordonnancesets	--|--⌫-⌫---|------|--|----------|-||
estoientretirézàeulx	-------|-------|-|---|
Legra ndnombre	-|---⌫-|-----|
estoitas sez malempoint car	-----|--⌫--|--|------|--|
ilz nauoy ent po intdepayementetfa illoitqu	--||----⌫--|--⌫--|-|-------|-|--⌫-----|-|
