enl ennordelatrinite	-||----|-|-|------|
passerlecueren lor uentre lor	-----|-|---|-|--|-----|--|
seign orde dueld ecorrouzcar	----|-|-|---|-⌫|------|--|
talentizestoie ntt ouzde	-------|------⌫-|-⌫--|-|
l a mortleursam i suengier.	-⌫|---|----|--⌫-⌫|------||
adoncnotilq uelesde ngie ret	----||-|-|-⌫-|-----⌫----⌫|-|
de mau direceste trie u e quantil	-|---⌫---|----|----⌫-⌫|----|-|
uoient que	-----|--|
rie ns n achieue.	---⌫-||------||
eta poseuon tdesgas tantcarcil	-||-|-|---⌫|------⌫---|--|--|
ennuiequiatan t.	-----|--|----⌫||
assezpueentfr anco isatendre.	----|-----|--⌫----⌫-|------||
siestetdur	-|--|-|--|
et tendredu rsau ssiens etdouzas	-|-----|--⌫-|--⌫|----|-|---|-|
estran ges dontses gen ssefrotent	------⌫--|---|--|---⌫|-|------|
auslanges .	--|-----||
ie n enpuismesseil en	-||-|---|--|-|-|-|
uienthontec arains ilecouuient	----|----|-⌫-|----⌫|-|-------|
e t drois e stquecilm al l	-⌫|----|-⌫-|--|--|-⌫-||
qu ilequierte tqu ile pourchace.	--⌫|-|-----|-⌫|--⌫|-|--------||
sele roycreustgen tdestat pieca	-|-|--|-----|---⌫||----|----|
eusteschecet matfetau sf lama nsmesilcroit	---|-----|-|--|--|--⌫|-⌫----⌫-|--|-|----|
celzquiaus francoi ssont	---|--|--|-------⌫|---|
haynelz etquis ontaus	------|-|--|-⌫--|--|
f laman z ami s et ce	-⌫-----⌫|---⌫|-|-|
ale royaumeahonte mis	|-|------||----|--|
franceest to rneeenseruetecar f ran cois	-----|--|--⌫---|-|------|--|-⌫---⌫---|
n i s ontes co utéq ui sontnezde lad roite	||-⌫--|--⌫--⌫---|-⌫-|---|--|-|-|-⌫----|
il sontauiour d uimisarr ier e	-|---|-|---||-|--|---⌫---⌫|
n aquecor reti erset un esgenzquisontratiers	||--|---⌫----⌫--|-|--⌫-|---|--|---|------|
quine s e ruentque	--|-|-⌫-⌫----|--|
f e re pororet por	-⌫-⌫-|--|-|-|--|
arge nt atra ire	----⌫-|----⌫--|
lorseruise	--|------|
est do ster laplum e .	--||-⌫---|-|----⌫||
enfranceail	-|-----||-|
ortelcoustumequelesroiax francoise slieuen t celzqui	-|--|-------|--|--|----|-------|-⌫-------⌫|---|--|
losengesfereseuent	-------|---|-----|
sesteutquefra ncois	|-----|--|---⌫----|
les dro ishoirsengai ents ou ent	--|---⌫-|----|-----⌫--|-⌫--⌫--|
leurs manoirset delessentlorpropreterrepo rquerreen	----|------|-|--------|--|-----|----|--⌫|-----|-|
autre lieula guerre .	----|---|-|-----||
si sep ertlacheualer ie	-|-|-⌫--|-|--------⌫-|
etde morehoqueterieen france	-|--⌫---|---------|-|-----|
atoutplaindauo quas.	|---|----||---⌫---||
lescheualiersdebonse st asqui fra n c e uoientt res t ourner	--|---------|-|---|-⌫--⌫-|--|---⌫-⌫-⌫|-----|-⌫---⌫-⌫-----|
etenserueteat o u rnerwide n tle pai s ets	-|-|------|--⌫-⌫-⌫---|----⌫-⌫|-|---⌫|-||
en uontquan t	-|---|----⌫|
franco is sont	------⌫-|---|
etfransne sont .	-|----|-|---||
en icelanconseildangloisafetgrant	-|---|-|------||------||--|----|
dama g eau sf ranc ois carodouartalaet ui nttantque	----⌫-⌫|--⌫|-⌫----⌫--|--|------|--|-|--⌫-|------|
trieuesfere co uuint	------|---|--⌫----|
fu latr ieuepr iseque les	-|-|--⌫---|--⌫--|--|--|
flamen s tout adeuisede	------⌫|---||-----|-|
douay horssedepar ti rent quoncfranc ois	----|---|-|-----⌫--⌫---|-|--|-----⌫--|
nelesco ntredirent	-|--|--⌫---------|
mesparmile	--|----|-|
grandostp asserentetce	----|--|-⌫-------|-|-|
q ueuod rent en porteren t	-⌫-|---⌫---|--⌫--------⌫|
cil quiotperdu otperdume sle	--|--|-|----|-|----|--⌫|-|
gaai ng nesaiou	----⌫-|-|--|-|
e ncelan sicommeient ens otilgrant	-⌫|--|-|-|----||---⌫--|-|-|----|
corrouz et contens	------|-|------|
entr elero ye tlaposto ile	----⌫|-|--⌫|-⌫||------⌫--|
si n efumie	-|-⌫|-|--|
lorquerele enpetit detempsa pai siee.	--|------|-|----|-|----|-⌫---⌫---||
^Mlacourtseoit enceleanneea	-|-|----|----|-|---|----||
ar enge cel ec itedontbonif acees toi tné	--⌫---|---⌫|-⌫--|---|-----⌫--|--⌫---⌫|--|
^M si ene stoitmoltamendee	-|-|-|-⌫----|---|------|
dec equil lauoi tlamen ee^Msa	-|-⌫|-|-||----⌫|-|---⌫-|-|-|
cour t ettouzses cardinax .	----⌫|-|---|--|-------||
^Mlep ape enuersleroy fu max	-|-|-⌫--|-----|-|--|-|--|
^Mporce quele r oy	-|--|-|--|-|-⌫-|
nel essoit asonconcill equ	-|-⌫-----||--|-------⌫|-|
ilfesoi t les prelas aromm eue nir .	-|-----⌫|--|-----||----⌫|--⌫--||
^Met sile s fist ilcouuen irpl usieurs f oiz	-|-|-|--⌫|---|-|------⌫-|--⌫------|-⌫--|
etplusieursio rnees	-|--------|--⌫----|
^M mesl esuoies fur en t gar dees sique	-|--|-⌫-|----|---⌫--⌫|---⌫---|----|
nepouistnuspasser ^Mdont lep apeescommenieruot	-|-----|--|-----|-|---|-|-⌫--|----------|--|
touzc e lzqui cenor ent fet.	---|-⌫-⌫-|--|-||--⌫--|--||
^Metlescom menieme ntf et^M pa rlesgranz	-|-||-----⌫-------⌫-|-⌫-|-|--⌫|--|----|
portesdes citezfu misaclox cest	-----|--|----|-|--||---||--|
ueritez^Mque	------|-|--|
cha scu nle pouist sauoir	---⌫---⌫|-|-----|-----|
royenso t bienleuoir^ M silen	--|-|--⌫|---|-|---|-⌫|-||-|
ennuiauoirement.	-----|--------||
^M sus luilescomm eni ement pristilquelepape	-|--|--||------⌫---⌫----|----|-|--|-|---|
fesoit ^Mdont a	-----|-|---||
complaingnoit .	------------||
^M et aucuns d ec elz quil	-|-|-----|-⌫|-⌫--|--||
ou ire ntenaprestele	--⌫---⌫-|-|----|---|
c hoseenfirentquel iroypa s nec omma nda	-⌫---|-|-----|--|-⌫|--|--⌫|-|-⌫----⌫--|
^Mme sapresceluila manda quil e fist	-|--⌫|----|----||-⌫----|--|-⌫|---|
uouslorrez bien dir e^M seuousci a p r es	---||----|---|---⌫|-|-|---|-|-⌫-⌫-⌫-|
uou lezl ire.	---⌫--|-⌫--||
^Mu n cheualiers quilorse sto it	-|-⌫|---------|--|---|-⌫---⌫-|
-guillaume otnon delo ngaret	|--------|-|--|-|--⌫-----|
preuze st oitdecheualerie e tensoiauoitlaclergie	----|-⌫--⌫--|-|---------|-⌫|-|--|----|-|------|
sanz resonm essanz plusp or plaire au	---|----|-⌫-|---|---|-⌫-|-----|-|
roydece queiluoul oi t	--|-|-|--|-|----⌫--⌫|
faireoutre les mo ns	----|----|--|--⌫-|
sisenpassa.	-||-|----||
ouecsoiplus ors	---|--|----⌫--|
amassacheualie r sdegra n tseingn oriesi	-----|--------⌫-⌫|-|---⌫-⌫|------⌫---|-|
s enpasserentlorbard ieeta romme	|-|--------|-------⌫-|-||----|
dedens s en uindrent mes illuecques pa s ne	-----||-|-------|--|---------|--⌫|-|
setindrent.	-|-------||
mesillefirent	--|-|-|-----|
porsa uoir decele sentenceleuoir conmen tle	--|--⌫---|-|---|-------|-|---|------⌫|-|
pape lot donn eene susquii l	---||-|----⌫-|-|--|--|-⌫|
lauoitgetee.	|----|----||
etquantiluirent	-|----|-|-----|
etouirent-q ue	-|------||-⌫-|
lasentencebie ncom pr irentlesmosl eroyde	-|-------|---⌫|---⌫--⌫----|--|--|-⌫|--|-|
uilleenuille au equ es de sgenz desed illededens	----|-|----|--⌫---⌫-|--⌫|---|-|---⌫---|-----|
naple s sontil	-----⌫|---|-|
tuit assemblégrantetmen u	---|--------|----|-|---⌫|
a naplesfirent pa rl ement	|-----|-----|--⌫--⌫----|
commentpr endroientuengement del apostoilequ is e nt encedonno it	------|--⌫--------|--------|-||--------|--⌫|-⌫-⌫--⌫---|-----⌫-|
cont r e leroyd e	----⌫-⌫|-|--|-⌫|
ettantost porle r oyu engiers	-|------|--|-|-⌫-|-⌫-----||
a corderenttouzsan z dangie r.	-⌫--------|---|---⌫|------⌫||
ausfrancoistrestouzs acorderent	--|-------|-------||---------|
puis apre s loruoie	---|----⌫|--|---|
or den erentettant er rerentce	--⌫---⌫----|-|---|--⌫-----|-|
mesemblequepour argentsi	-|-----|--|---|-----|-|
com moi sembledon nerauspo rti ers	--|--|-----|---⌫--|--|--⌫---⌫--|
d elarenge mistrentil dedenz	-⌫||-----|-------|-|-----|
lorensaingneet ainssient r elz acordee ful a chose	--|--------|-|-----|---⌫|--|------|-|-⌫|----|
qui lontl entr ee .	-|-⌫|--||----⌫-||
mo ltdemau spor argent	--⌫-|-|---⌫|--|-----|
et por argent main sse mesfont .	-|--|-----|----⌫|-|------||
ain silesportiers se mesfirent	---⌫-|--|-------|-|--------|
quantle papea ar gentuendirentcarbiencerta inement	----|-|---||--⌫---|--------|--|---|-----⌫------|
sauoi entquecel zp aslepapenamoient .	-----⌫--|--|---⌫|-⌫-|-|---||------||
tout es uoiesli fu	----⌫-|----|-|-|
mo ustr éancoisque	--⌫----⌫-|--------|
fu o usté queilsegardast biendeferec hose	-|-⌫----|--|-|-|------|---|-|---|-⌫---|
quiauroypuist desplairecari l	--|-|--|----|--------|--|-⌫|
estoittropforthaiz.	-----|---|---|---||
e tle roy auoitoupaizmol td amiset	-⌫|-|--|----|-|---|---⌫||---|-|
de sonlignage quibi en l i	-|--|------|--|--⌫-|-⌫|
po rr oien tda mage	--⌫--⌫----⌫|--⌫---|
fairesilauroymesfe soit.	----||-|-|--|-----⌫---||
mescil for cepasn e fesoi tcar	--|--|---⌫-|--|-⌫|-----⌫|--|
l epapenecuidoit	-⌫|---|-|------|
miequenulosastfaireenuaiee ncontr eluipar	--|--|--|----|----|-----|-⌫------⌫|--|--|
mes i lfu hors	--|-⌫|-|---|
des o n espoir.	-|-⌫-⌫|-----||
sifudeceuparcuidanceq uant	-|-|----|--|-------|-⌫---|
ilfupris du ro yde francei e	-|-|---|-|--⌫|-|-----|-⌫|
dimalmesd esonsergent.	-|--|--|-⌫|--|------||
leroy nesauoitpas telgent	-|--|-|-----|--|--|---|
quil deus sen tt el	-|-|----⌫---⌫|-⌫-|
choseen prend re	----|--⌫-----⌫-|
sinendo i tonl er oyrepren d re	-||-|--⌫-⌫|-|-⌫|-⌫-|------⌫-⌫-|
m esdautrep arti ai	-⌫-||----|-⌫--||-|
queler oy pas bienescon dired e ces te	--|-|-⌫-|--|---|-----⌫---|-⌫|---⌫-|
chose se pout	----|-|---|
sai riensmesdiex	--|----|--|---|
mes lepape	--|-|---|
enfu deceuquant lecardin a x	-|-|----|----|-|------⌫-⌫|
nacreu quide	||---|--|-|
ce s ouu entl auiserentetplusors foizli	-|-⌫---⌫--||--------|-|------|---|-|
demoustre rent mes	---------⌫---|--|
folnedo ute iusqu il	--|-|--⌫--|----|-|
prentapres faittartle nserepent .	----|----|---|---|--⌫|-|-----||
lepapene doutoi ts ipris tme s	-|---|-|------⌫|-⌫|----⌫|--⌫|
ta rt deson fe tsereprist.	--⌫-|-|--|--⌫|-|------||
dedenslarengesa nz	-----||-----|--⌫-|
peurcuidalepapee s treasseurmesen	---|----|-|---|-⌫-⌫--|-----|--|-|
poi d e temps fuchangiee s a ioie	--|-⌫|----|-|-------|-⌫|---|
et en do ulo r tournee caraunieusdisanzseiour	-|-|--⌫---⌫|------|--||-|-----|---|-----|
m atinbie npo d euantleior	-⌫---|---⌫|-|-⌫----|-|--|
dedenzareng ec elz	-----|-----⌫|-⌫--|
entrerent quiportesouuertestrouuere nt.	--------|--|-----|-------|--------⌫-||
sine trouueren tcontredist -car	-|-|---------⌫|---------||--|
acordéestoit etdistettou td roitiusques	------|-----|-|---|-|---⌫|-⌫---|------|
aupa lez dupape uindrentsanzrelez	-|--⌫--|-|---|-------|---|----|
c onquesnu s sinesen pri stgarde	|-----|--⌫|-|-||-|---⌫-|----|
c ara chascundece lz iltardequeussen tfet	-⌫-||------|-|--⌫-|-|----|-|------⌫|--|
cequoren tem p ris .	-|-|----⌫|--⌫-⌫--||
la uindren t sanzes tre re pris.	-|-------⌫|---|--⌫--|--⌫---||
serreu r ed uisne	------⌫-⌫||--|-|
un ecenele	--⌫|-----|
aterretrebuc hié.	|----|------⌫---||
adoncontcrié et	----|--|----|-|
huc hiétout	---⌫---|---|
celzqui pa rleenz e stoient messoi	---|--|--⌫|----|-⌫------|--|--|
deffendre nep ouo ient	--------|-|-⌫---⌫---|
car toute ntorf ure ntsouzprispardeho rsetparde de ns	--|---|-⌫---|-⌫---⌫-|-------|--|----⌫-|-|--|--⌫--⌫-|
chascu n eruefug arniede	------⌫-⌫|--|-|-⌫----|-|
pie et decheualerie.	--|-|-|---------||
l e crie t lehu lenouai tmes	-⌫|--|-⌫|-|-|--|----⌫|--|
nushorssaillir s i nosai t	--|---|------|-⌫||----⌫|
n ussin o soitdehorssail lirchascunsedoutoit	-⌫-|-||-⌫---|-----|----⌫--|------|-|------|
maub aillir.	----⌫-----||
aussialu mee toute lauile et embraseed etorche sn on	----|---⌫--|----|-|---|-|-------|-⌫|------⌫|-⌫-|
pasdechandoi les dontsaill oie n t lesest anc ele s.	--|-|-------⌫--|---|-----⌫---⌫-⌫|--|---⌫---⌫---⌫||
onquesmesne	-----|--|-|
uiton fett el.	--|-|--|-⌫-||
pris fulepape ensonostelnul e	---|-|-|---|-|--|----|---⌫|
deffense nipotmetre	-------|||--|----|
nepa rporte neparfe nestre	-|--⌫|----|-|--|--⌫-----|
detoutesparsfubien	-|-----|---|-|---|
ei nsifu lepa p erete ́.	--⌫--|-|-|--⌫-⌫|----⌫||
desonauoirdesarichecefufetecel ior	-|--|----|-|-|------|-|---|--|--|
grantlargecesustoutes	----|------|--|-----|
genzr iches e t poures.	---|-⌫----|-⌫|-----||
lafure ntouers touzles	-|----⌫-|----|---|--|
cipoton bie ndireen	-|--|-|---⌫|---|-|
apertcarqu i tout couuo itetout	----|--|--⌫|---|-----⌫--|---|
silimoustralenquentiex	-|-|------|--|-|-|---|
bi e nsned euoit ilrecl amer	--⌫-⌫-|-|-⌫----|-|----⌫---|
riensqueporcelestreso rs auoit qu	----|--|--|-|--|-----⌫-|----|-|
a p ouresdonnerlesdeuoi tquant il	|-⌫----|-----|--|-----⌫|----|-|
estoi t eureet besoin g	-----⌫|---|-|------⌫|
porcelisachie rentdu poingcelz	--|-|-|------⌫---|-|----|---|
quila uind rentetentrerent	--|-|----⌫---|-|--------|
etparles fenes tr es	-|--|--|-----⌫--⌫-|
ruerentlescoff resplains dor	------|--|----⌫--|-----||-|
etdargentmestre sen	-||-----|------⌫|-|
furent lisergen t.	-----|-|------⌫||
dedraps deioiaus	-|----|-|-----|
etdauoi rpouaitquie n uouloitauoi r	-||----⌫|-----|--|-⌫|------|----⌫|
e tlenipouoi tbieneslirede	-⌫|--||-----⌫|---|-----|-|
toutespa rs sanzcontredir e caronquesa po stoilenefusta	-----|--⌫-|---|---------⌫|--|-----|-⌫--⌫-----|-|---||
romm ene qu itan t eustcoml ors	----⌫|-|--⌫|---⌫|---|--|-⌫--|
en fu mi se nespace.	-|-|--⌫|-⌫|-----||
temps auoit	----|----|
asse mb léce quifuprisnon	----⌫--⌫--|-|--|-|---|--|
p asem blé.	-⌫-|--⌫---||
carill euitetsotcilqui le	--|-|-⌫|--|-|--|--|--|-|
cilqui lot.	--|--||-||
fur entles aumosnes f etes quauoient estére traitespor	---⌫--|--|-------|-⌫---|-|------|----|--⌫------|--|
nen uouloitdonnerettouzi orsuoul oitmoissonner	|-|------|-----|-|---|-⌫--|----⌫--|---------|
donnerentlargeme ntcelzaquine cousta	--------|-------⌫-|---||--|-|-----|
et sif ire nt del	-|-|-⌫---⌫-|-||
autr ipr o ieet dautricuirlarge	----⌫|--⌫-⌫-|-||----|---|----|
et e insiua le mondeetpent	-|-⌫---|-|-|----|-|---|
l unamasselautredespent.	|-|-----||----|------||
qua ntlepapesonauoir ui st que chascunen	---⌫-|-|---|--|----|--⌫-|--|------|-|
pri stet qui lne l epot	---⌫-|-|-|-⌫|-|-⌫|--|
contre direlo rsfuplainde courrouz	------⌫---|--⌫-|-|----|-|-------|
etdireetuers longarets adreca et	-||--|-|---|-------||-----|-|
sili adist endeca	-|-||---|-|---|
-sirecler ci e lepuis biendir e	|---|----⌫|-⌫|-|---|---|---⌫|
guillaume longaret respond i	--------|-------|-------⌫|
queon ques plusn	--|--⌫---|---||
ia tendicheu aliersuiauro yde	|-⌫----|----⌫----|--|-|--⌫|-|
franc equi su st ouzroysagrant	-----⌫|--|--⌫|-⌫--|---||----|
