kicest secletrop	-|---|----|---|
c eaz nauiento nke smalz nede m al	-⌫--||-----|-⌫---⌫|---|-|-|-⌫-|
nunt dotance	|--|------|
mais l i hom quibien fait q uin ostre	---|-⌫|--|--|---|---|-⌫-|-⌫----|
sanior crient	-----|-----|
nefaittort qui droitu r e	-|---|---|--|------⌫-⌫|
maint ient	-----⌫---|
cilsoffret	--|------|
tantdema l tan tde ma l	---|-|--⌫|---⌫|-|--⌫|
p u e tdire oblié tl at deus	-⌫-⌫-⌫|---|------⌫||-|---|
deu n ens ouient	--||-|-⌫-----|
mais dece n e	---|-|-|-⌫|
soidoitnulz bonshom	--|---|---|---|--|
card eu silest mutsag esonk esnotconsi lli er	--|-⌫--⌫|-|--|--|---⌫-|---⌫-||-|-----⌫---⌫-|
daiwe etde conseilnot il onkes	|---|-|-|------||-|-|----|
to testbon qan quilfaitnu lznelpuet	--⌫|--|--|---⌫-|-|---|--⌫-|-||---|
mespr isier	-----⌫----|
illaitorles ma luais lordesie rs a complir	-|---|-|--|--⌫----|--|-----⌫-|-⌫------|
naurontmais plusdeioieci	|-----|---|---|-|---|-|
les laitorioir	--|---|-|---|
nedemorront cigai res lales	-|--------|-|---⌫--|-|--|
couientueni r	------|----⌫|
ulichaiti snepue nt neui urenemori r	|-|------⌫|-|---⌫-|-|--⌫--|-|----⌫|
lebonommec ui deusu u lt	-|--|---|-⌫-|---|-⌫-⌫-|
a uoir etsa lue ir	-⌫---|-|--⌫---⌫-|
encestsecle	-|---|----|
lolaitun petittorme nteir	-|---|-|----|-----⌫----|
cumiluenr a tenl autrequ	--|-|----⌫-⌫|-||----|-|
il n i aitc ame nd e r	-|||--||---⌫--⌫-⌫|
carlopechiet cou ientciulaco mpareir	--|-|------|---⌫---|-||-|--⌫------|
bu rf ut nez	--⌫|-⌫-|--|
ence stseclec ui	-|--⌫-|----|-⌫-|
deusc hastiieruult	---|-⌫-------|---|
carceluia immei l pl uscui	--|----|-⌫---|-⌫|--⌫-|--|
il plus batresuelt	-|---|----|----|
liez enest etenb ien	---|-|--|-|-|-⌫--|
cestcilquideuaurat	|--|--|--|--|----|
etqui perirn e puet	-|--|----|-⌫|---|
estreen celsainthommeancortel	----|-|--|----|----|----|--|
ch ose auoi t	--⌫--|----⌫|
cuideusueoiten	--|---|----|-|
luim aisilneli	--|-⌫--|-|-|||
e t par cesteme saiseexpu rg i er	-⌫|--|----|--⌫----|----⌫--⌫-⌫-|
deteiltachequilmimesenlui nec onissoit	-|---|----|-|-|----|-|--|-|-⌫-------|
nos siwon stroplo secle	--|-----⌫|---|-|----|
tropsu m es en z	---|--⌫-⌫-|--⌫|
pl onc hit	--⌫---⌫--|
carsenosueonshommeric he etbien	--|-|--|----|----|---⌫-|-|---|
a a isiét	-⌫-⌫-----|
to tmaintenant disommesces t uiat deus aidiét	--⌫|---------|-------|---⌫-⌫-|-|---|------|
semalementliuaittot lait deusobli iét	-|-------|-|---|--||--|---|----⌫---|
mais tei z estenmesais ecui	---|---⌫|--|-|------⌫|--|
ihesus pasn ob lie	-----|--||--⌫--|
les bon smessaa isiez nedeieted eu smie	--|---⌫|------⌫----|-|-----|-⌫--⌫|--|
m es sai sefait	-⌫--⌫---⌫-|---|
souent lommea men deir	-----||---|-⌫---⌫---|
lomal li fait	-|--|-|---|
laissier del	-------|--|
secleetlafolie	----|-|-|----|
g uerp i ratdeusennule m aniere	-⌫----⌫-⌫--|---|-|---|-⌫-----|
celuiqui samurat plus	----|--||---|-|---|
secle chiere	----|-----|
mais trop auonsaleit f orsdeno stre	---|---|----|----|-⌫--|-|--⌫---|
celaissonsorensteirsireturnonsarriere	-|-------|-|------|-|--------|------|
formentotmoys en	------|-|----⌫-|
pork ede us lo	--|-⌫|--⌫-|-|
soffritbien	------|---|
l aueizentendu	|----|------|
t otcel anieutmalade s s enzfo rc e	-⌫-|--|-|---|------⌫|-⌫--|--⌫--⌫|
etsenzuertu	-|---|----|
ne senc orr e zatonkesn edeune desconu	-||-|-⌫---⌫-⌫--|----|-⌫|--|-|------|
comil gisoitma lades silaloi t	--|-|-----|--⌫----|-||----⌫|
uns sainzhomie l o i ysidor usnome ir	--|----|--|-||-⌫|------⌫-|----⌫-|
i llidistbeazduzfrere trop	-⌫|-|---|---|--|----|---|
uo s poeiz peni r	--⌫|----|----⌫|
n uznedoitsenzmesureneuoilierneiune ir	-⌫-|-|---|---|-----|-|------|-|----⌫-|
por n ianten par leizmoyse s lirespont	--|-⌫---|-|---⌫---|-----⌫|-|------|
retr airaiiatantcum	----⌫----|-|---|--|
uencutser ont	-----|---⌫--|
l if elond anemiq u itant de	-⌫|-⌫---||----|-⌫-⌫|---|-|
malmoifunt	--|--|---|
sefloi bleetmolmoisentent	-|----⌫--|-|--|--|------|
ankorpisme feront	----|--|-|-----|
deusc umf orment	---|-⌫-|-⌫-----|
il er e t d el	-|--⌫-⌫|-⌫||
cumdr oit e m entastoitd elsain tes pi r apri s	--|--⌫---⌫-⌫-⌫--|-----|-⌫-|----⌫|--⌫--⌫|----⌫|
biensauoitsiln auoittoz	---|-----||-||----|--|
lesuisces oci s	--|-----|---⌫|
ne seroitpasdignesd	-|-----|--|-----||
e ntrei remparadi s	-⌫-----⌫|-|------⌫|
or p roieraiadeudist sain zysi dorus	-|-⌫------||--|---|----⌫|---⌫----|
kece z maluaises pens es	-|--⌫|--------|----⌫-|
ne toigreueront	-|--|--------|
des ormaisauras pais c e	--|-|---|----|---|-⌫|
totroie t ihesu s	|------⌫|-----⌫|
sainz homfut cuisi tostoi t	----|--|--|--|-|---|--⌫|
de usd el assus	--⌫-|-⌫|-⌫----|
decel ior en	-|--|--|-|
auant deu s silo deli u rat	----|---⌫|-|-|----⌫-⌫--|
kepuis neior	-|---|-|--|
nenui tse bienn om	-|---⌫|-|---|-⌫-|
ne songnia	-|------|
ne nu lem ale	-|--⌫-|-⌫--|
pe ns etres	--⌫--⌫|---|
puis nelenc ombra	---|-||---⌫----|
cifi natsabat al le end eusoi re posa	-|--⌫--|-|---⌫--⌫-|-|-⌫-|--|--⌫---|
elzde liz decestseclepasnesoi	--|--⌫--|-|---|----|--|-|--|
karbiena uo itproueitke uaniteizas toit	--|---|-⌫--⌫-|------|-|-------|--⌫---|
mai s en lamurde	---⌫|-||---|-|
d eu sifortsoi	-⌫-|-|---|--|
de li toit	--⌫--⌫---|
kep enseir neparle irdaltre	-|-⌫-----|-|-----⌫-||----|
rienn epooit	---|-⌫|----|
puis liotriat deu s for ceetuertusi	---|-|-----|---⌫|---⌫-|-|----|-|
ke nos redo tons plusmoissesqu iuunt	-|--|----⌫---|---|------|--⌫|---|
k il cremist	|-|------|
les diablesneniawistia t ant	--|------||-||----|-|-⌫--|
fuistmaina m ains	----|---||-⌫--||
enturnoient fuiant	-|--------|-----|
sipo onsnos	-|--⌫--|--|
auoir dedeu grande	----|-|--|-----|
ca rlih om	--⌫|-|-⌫-|
ca ntilaten d euuraiecrea nce	--⌫-|-|-|-|-⌫-|----|----⌫--|
delcuer atfaitses	--|---|-|---|--|
oureset en luiatfi ance	----|-|-|--|-|--⌫---|
lo fuit e tat	-|---|-⌫|-|
delui dotance	-|--|------|
sainz gregoir es	----|-------⌫-|
lodi stqu ilnosea l u i	-|--⌫-|-|-||--||-⌫-⌫|
quarpuisqu ilu oitenl ommema noirlo	---|-----|-|-⌫--|-||---|--⌫---|-|
s aintespir	-⌫---|----|
comemen t l ose roitdonkesliculuers	-------⌫||---⌫---|-----|-|------|
la u li sainz	-||-|----|
homestlorsl en couientfuir	--|--|---||-|------|---|
de saint marti n	-|----|-----⌫|
list homqu il unefoizaloit	---|--|-|-|--|---|----|
deliure iru nmaladecuideableslassoit	-------⌫-|-⌫|-----|--|------|------|
l or s enfuit li	-⌫-||-|---|-|
felcantilsot qu il	--|---|-|--|-|-|
etcilremeit deliure sq uie nla pai ne	-|--|-----|-------⌫|-⌫-|-⌫|-|---⌫-|
kisisaintegent suntqui tanto nt espl oitiét	-|-|-----|---|---|--|---|-⌫-|----⌫------|
kil o nt lo ranemiuenc u t e tdec haciét	|-|-⌫-|--⌫|----|----⌫-⌫|-⌫|---⌫------|
delamercitde deu qu ilatendentsuntliet	-|-|-----|-|--|-|-|-------|---|---|
e tplorentq ue l i s iecle ssi lon gementles	-⌫|------|-⌫-|-⌫|-⌫-----⌫|-|---⌫-----|--|
s ouent plorentl i saintq uienc estsecle	-⌫----|------|-⌫|----|-⌫-|-|-⌫--|----|
alaf oi dparp echie tdont	|-|-⌫--⌫|--|-⌫-----⌫|---|
ilenpoorsunt	-|-|---|---|
carpuess estrene se uentse	--|----|----|-|--⌫---|-|
toz defaizl eso nt	--|-----|-⌫-|-⌫-|
etteiziatquiplorent	-|---||-|--|------|
adeune sunt	|--|-|---|
souentet d ulc ementplore ntpordeuamur	-----|-|-⌫---⌫----|-----⌫-|--|--|---|
plorentporcequ il	------|--|-|-|-|
sunttropl on c de	---|---|-⌫--⌫|-|
lor sa nior	--|--⌫---|
maisteiz dolz	---|---|---|
teilzplorer suientde grande duzor	----|------⌫|----|-|-----|----|
iteizlarmes descendentdecestegrantdulzor	----|-----|---------|-|----|----|-----|
bieneurosceluiqui teileslarmesa	--------|----|--|-----|-----||
a za filhe chal ephpo r	-⌫-|----|----⌫--|--⌫|
i teil sopiraa	-⌫---|------|
h alteriuie r e sunpere demanda	-⌫---|-----⌫-⌫|--|---|------|
bienuos dirontli	---|--|-----|-|
sageq uece signefia	---|-⌫-|-|-------|
seceuo s uoliensordespond reetdemost reir	-|-|--⌫|------|-|-------⌫-|-|------⌫---|
de nostre uoienoscouenroit a leir	-|-----|---|--|--------|-⌫---|
et pou ressuide sensnensauroiprout	-|---⌫--|--|-|---||-|-----|----|
q ui sages estde let res bienlo seitdeuiseir	-⌫-|----|--|-|---⌫--|---|-|---|-------|
ice kec eledamme son pere dem andoit	--|-|-⌫--|----|--|---|---⌫-----|
porlame rcitde	--|-|--⌫---|-|
de u sainzmoysesauoit	--⌫|----|-----|----|
c o mpanieto t adesdesi roit	-⌫-⌫-----|--⌫|---|----⌫---|
etploroit dul cement	-|------|---⌫-----|
k ense mbleluinastoit	|----⌫---|--||-----|
tresl ore quiluerdeuson	---||--|-|-|--|--|--|
cora geturna	----⌫-|----|
al malquil	-|--|-|-|
s olo it faire aincpuisne	-⌫---⌫-|----|---|---|-|
s eta nteansetcinc	-⌫---⌫--|--|-|---|
ansalsecle	--|-|----|
et sexantede sciplesensemmostier	-|------|--⌫------|-|--|------|
anssiquilsoloitialesmaluaisauneir	----|-|-|-----|-|--|------|-----|
siso ip enno i t iloredes	-|--⌫|-⌫----⌫-⌫|-|--|--|
bonsaassembleir	---||---------|
dont lor faisoi t	---|--|------⌫|
malf airet olirocire embler	--|-⌫---|-⌫---|----|-----|
maisorlo raprendoit deu	---|-|--⌫|--------|--|
seruirsoi salueir	-----|--|------|
car a lamur d edeuqui s e	--|||---|-⌫|--|--|-⌫|
u utapprochi er	-⌫-|--------⌫-|
neliestmie assei zla	-|-|--|--|-----⌫|-|
ma l e oure laissier	--⌫-⌫|---|-------|
m aisbien faceetlo bien	-⌫--|---|---|-|-|---|
doit altruianu nci er	---|-----|---⌫---⌫-|
etsoidoi t	-|--|---⌫|
i lsalueiret lesaltresaidier	-⌫|------|-|--|-----|-----|
dece soi solo itmut	-|-|--|----⌫-|--|
danzmoyses pene r	---|-----|----⌫|
b one esperanceauoi tdemer cit	-⌫--|--------|----⌫|-|---⌫--|
mai ssolzneuoloitmie	---⌫|---|-|-----|--|
em parad isal ei r	-|-----⌫-|--⌫--⌫|
tant soipennoitd altruicum de	---|--|------||-----|--|-|
soi as alueir	--||-⌫-----|
etde luinauons orega ire plus	-|-|--||----|--|--⌫--|---|
maisked eurenditlanrme	---|-|-⌫-|-----||----|
nului n en stut d ot e r	----||-|---|-⌫--⌫-⌫|
bonexem pl ei puetpre ndre	--|----⌫--⌫||---|---⌫---|
qui seuul tamender	--|-|---⌫|------|
c arniertiasi	-⌫-||---|-|-|
forfaiz ne	------|-|
pu istmercit	--⌫--|-----|
mercittr ouratsenz fall equi mer citrequ erra	-----|--⌫----|---|----⌫|--|---⌫--|----⌫---|
queilp echietquilaitfait	----|-⌫-----|-|-|--|---|
lors quils en	---|-|-||-|
samendise en uult prendre iadeus	|-------|-|---|------|-|---|
nes demand ra	|-|------⌫-|
sill esuult oblieirdeuslesobliera	|-|-⌫-|---|------|---|--|------|
saueizcommentdeuss uelt l esp echiezo blieir	-----|------|---|-⌫---|-⌫-|-⌫-----|-⌫-----|
sedes maluais desiersnos	-|--|------|------|--|
uoliens consire ir	------|-------⌫-|
bonesouresdetotlo cuertu rneir	----|----|-|--|-|---|--⌫----|
ne poonspasensemble deuetl o	-|----|--|-------|--|-|-⌫|
cui deusdonetdroitsens ce r tesmutp ue thai r	--|---|----|----|---|--⌫-⌫--|--|-⌫--⌫|---⌫|
iteizoure s	----|----⌫|
qui fontlommeet de udeparti r	--|---||---|-|--⌫|-------⌫|
cest du re departiequilan rmef ait	|--|--⌫-|-------|--||--⌫--|-⌫--|
ettormenten enf e rsenz nulefin	-|------|-|---⌫-⌫|---|---|--|
sof fr i r	---⌫--⌫-⌫|
kides painesdinferseit	-|--|-----||----|---|
alkessermoneir	----|--------|
lesde suoiez a uoie	--|--⌫-----||---|
u o uul hdi resi	-⌫|---⌫|--⌫-|-|
uoleize sculteir	-----|-⌫-------|
damesentendeizi	----|--------||
ieuula uosparleir	-|--||--|------|
direuu l h dune	---|--⌫-⌫||--|
d amme quifutde grantbeateit	-⌫---|--|--|-|----|------|
beateitaiment mutdammes	------|-----|--|-----|
et mutl oruientengrei t	-|--|-⌫-|----|-|----⌫|
mai scilquilo couiene	---⌫|--|--|-|------|
desbeles damesseit	--|----|----|---|
bienseitquemutfontcho seskenostre	---|---|--|--|---|---⌫--|-|-----|
sebeateiztrueuet cueruai ne tdelegerie	-|------|------|---|---⌫|-⌫|-|------|
tantlifaitplus	---|-|---|---|
penseirdorguilhe t de	------||------|-⌫|-|
tostpuet estr eeng eniezquienbeateit s	---|---|----⌫|---⌫----|--|-|------||
beateiztrespassetto st	------|---------|--⌫-|
uiestd emai nn irtmie	-|--|-⌫----⌫||--|--|
bealteizdonea	-------|---||
lafemmede teilc hosefian ce	-|----|-|---|-⌫---|----⌫-|
dont iasebeateizneretnauroit	---|-|-|------||---||-----|
nule sperance	---|-------|
par cek eleattr op granten sa beateit	--|-||--|-|--⌫-|----|-|-|------|
corset anrme etauoir met souenten balace	---|-|----|-|----|--|-----|-|-----|
depa renzso i faitfe mmeetdauoir	-|--⌫---|--⌫|---|--⌫--|-||----|
danger ose	------⌫--|
maisplus est por bea teitkepo reil	---|---|--|--|---⌫---|-|--⌫|--|
sa bealt eizlafaitest red epec h iet	-|-----⌫--|-|---|---⌫-|-⌫|---⌫-⌫--|
conuoi tose	------⌫---|
nesai r ienkiplussoit al anrme p erillose	-|--|-⌫--|-|---|---|||----|-⌫-------|
cen euulhge ia	-|-⌫|---|-|-|
dire kede us	---|-|--⌫-|
labele ha ce	-|---|--⌫-|
et kepo rsa	-|-|--⌫|-|
be ateitnostresan iordespl ace	--⌫----|-----|---⌫--|-----⌫--|
mai s k itrops	---⌫|-⌫|---||
en orgu elhetquinatsoing	-|----⌫----|--||-|----|
ke l e face	|-⌫-⌫|---|
cest c eleq ue deus hei tcuisa	|--|-⌫--|-⌫-|---|---⌫|--|-|
speie manace	----|-----|
etceleq ui sie st perdueet desuoie	-|---|-⌫-|-|-⌫-|-----|-|------|
sile stnuzquilapuistd est urneirde fol ie	|-|-⌫-|--|--|-|----|-⌫---⌫-----|-|---⌫-|
mut atbiensonlaboret s a uoieenploie	--|-|---|--|----|-|-⌫|---|------|
grantlow ier	----|---⌫--|
enaura tenla	-|----⌫|-|-|
celest euie	------⌫|--|
m ainteanrme	-⌫----|----|
p echerise est enenf er i eteie	-⌫-------|--|-|---⌫-|-⌫----|
s emalz maistresn efustquiia	-⌫|---|-------|-⌫|---|--|-|
nefustdanne ie	-|---|-----⌫-|
teil i ats al ui	---||-|||-⌫-|
fuist lau oie deumostreie	----|-|-⌫--|--|-------|
lo male us t lai ssié tadeu fus tratur neie	-|--|-⌫--⌫|---⌫-----⌫||--|---⌫|-----⌫---|
kiles berbisd eu gardent lentsunt et peri zos	-|--|-----|-⌫-|------|---|---|-|----⌫--|
dessalue m enzd es anrme snesuntgu airessonio s	--|-----⌫-⌫--|-⌫-|-----⌫|-|---|--⌫----|-----⌫|
muitestmu ei zli	---|--|--⌫--⌫|-|
seclesl itensm ut p erillos	-----|-⌫|---|-⌫-|-⌫------|
carteizdiut estrep astres quiest deuen u z l os	--|---|---|----|-⌫-----|--|--|-----⌫-⌫|-⌫-|
seciendroituo lienslarai son aguisier	-|-|------|--⌫----|-|---⌫--|-------|
assei zpo rienstro ueirkerereetke trenc hir	-----⌫|--⌫----|---⌫---|-|---|-|-|-----⌫--|
maisa un plus sa gehomm e coman dr onscest mestir	---||-|---|--⌫-|----⌫|-----⌫--⌫--|---|-----|
kisac het losoros	-|---⌫--|-|----|
biencono istreettalhier	---|----⌫----|-|------|
carliredoisroncin ssoil a itbien estrilhi r	--|-|-----|------⌫|--|-⌫-⌫-|---|--------⌫|
etd unepartet da ltre maisson	-||--|---|-||-⌫---|---||-|
louult t orchir	-|---|-⌫-----|
lau limazligist	-||-|--|-|---|
donc louerrie zdrecier	---|-|------⌫|------|
fiert des pie zmort d esdenzla	----|--|---⌫|---|-⌫-|---|-|
neselaittorchir	-|-|---|------|
bienseitkeieuul	---|---|-|-|--|
direetdontie uul pa rler	---|-|---|-|--|--⌫---|
q u ibien iuultent endremai slaissonsl or	-⌫-⌫|---||---|---⌫----|---⌫|-------||-|
ace dontu oliensdir e	|-|---|-⌫-----|---⌫|
tens estdere turner	---|--|-|--⌫-----|
celuido it hom aprend requi l o	----|--⌫-|--|------⌫-|--|-⌫|
uulte scolter	---|-⌫------|
dunedammeu ul dire quifutdegipteneie	|--|----|-⌫-|---|--|--||-----|---|
parl a beal te itquel eotfutperdue	--|-⌫|----⌫--⌫-|-|--⌫|-|--|-----|
suns s ain zho m	|--|-⌫---⌫|--⌫|
neleusta uoie raturn eie	-||---||---|------⌫--|
borioiset cheuali erlauoient	------|-|-------⌫-||------|
carilnauoitsibele entotela	--|-||----|-|---|-|---|-|
co n treie	--⌫-⌫----|
etd argent astoit etdorfroisacehmeie	-||-----|-----|-||------|-------|
sicumsuntdamoisel es cui lisecl e s ag re i e	-|--|---|--------⌫-|--|-|----⌫-⌫|--⌫--⌫-⌫|
tropsauoituer	---|-----|--|
samursesiouen enzeazatraire	|---|--|-----⌫-----|------|
par b elescontenan cesparbel echierea faire	--|-⌫---|--------⌫--|--|---⌫|-----||----|
mais ma leamursestchose maluaiseet de	---|--⌫-|----|--|----|-------|-|-|
mal e aire	---⌫|---|
ne senpu etquisiprents	-||-|--⌫-|--|||----||
ap ai nen omretrai re	|-⌫--⌫-|-⌫-|------⌫-|
por samur suntmainthomme	--||---|---|----|----|
e n p ouretechaut	-⌫|-⌫-----|----|
tuitliuinentengreit	---|-|-----|-|----|
f aits ondrut	-⌫--|-⌫-|---|
el e n eschiwem oine nec onuersne	--⌫||------|-⌫---|-|-⌫-----|-|
pe chi ezde femequilestdeg ent	--⌫---⌫-|-|---|-|-|--|-|-⌫--|
kip luserethar di z	-|-⌫--|---|---⌫--⌫|
parlisoicombatoit	--|-|--|--------|
demalt alentetd	-|----⌫----|-||
i reli unslautreocioit	-⌫-|-|--||----|-----|
liamienploroientmais elese ngab oit	-|--|-|--------|---|--||-⌫|---⌫--|
mais n e puistestrefemmequisi	---|-⌫|----|----|----|--|-|
malu ai sesoit	----⌫--⌫-|---|
simaluaisesen e	-|-------|-|-⌫|
fust s abeatez	---|-⌫|-----|
etuosq uibeles e stes pordeu quar	-|--|-⌫-|----|-⌫---|--|--|---|
bealteizes tfraileschoseporde uuo sen gardez	-------|--⌫|------|----|--|--⌫|--⌫|-|-----|
c es achiezcanemis	-⌫|-⌫-----||-----|
plusperillosnau eiz	---|-------||--⌫--|
bealteitnedoit ho mmie l o f raint roplonc	-------|-|---|--⌫|--|-⌫|-⌫---|-⌫--|---|
sa gementli puethomleseles	--⌫-----|-|---|--|--|---|
o rg uezala b eateseuul t	-⌫--⌫--||-|-⌫---|-|---⌫|
acomp ani er	-----⌫---⌫-|
cilduinefi ne ntonkes d e malaconsi lhier	--|--|-|--⌫--⌫-|----|-⌫|--||-----⌫----|
liorguelz put sorduire	-|------|--|-------|
lommeen mai ntem aniere	|---|-|---⌫--|-⌫-----|
de pa renzdi retagesde dr asde pl uisor	-|--⌫---||-⌫------|-|--⌫-|-|--⌫----|
atch o se plus que sa b e atechiere	-|--⌫-⌫-|---|--|-|-⌫-⌫--|-----|
c e la faite s tref olecelafait	-⌫|-|---|-⌫-⌫--|-⌫--|-|-|---|
estre fiere	----|----|
celi fait deulaiss ieret lo	-|-|---|--|-----⌫--|-|-|
seclee n a meir	----|-⌫-⌫-⌫---|
doncmeit totesentente ensoncors	---|---|---||------|-|--|---|
