CO N STANTIN OPLE	--⌫-⌫-------⌫---|
si metoientenl u nun	-|-------|-||-⌫|-|
brieuetet ueno i en t	------|-|----⌫-⌫--⌫|
aup restre sel i	-|-⌫-----|-|-⌫|
donnoiente t li	--------|-⌫|-|
p rest res lesprinsegn oitet do nnoit	-⌫----⌫--|--|--------⌫--|-|--⌫----|
acascundes deux	|-----|--|---|
ueni cien sundechesnoiaus e tchil	----⌫----⌫|-|-|---|-----|-⌫|---|
qui auo itlenoiel aubrie f s icouuenoit	--|---⌫-|-|----|-|----⌫|-⌫|--------|
quilalas tenlestoire	-|-|----⌫|-||------|
Ensi se partirent	---|-|--------|
Si commeli pelerinsefurent	-|----|-|------|-|-----|
logie ́ en lisle	-----⌫|-||---|
Nicholaisi	-------|-|
alali du x de	--|-|--⌫|-|
ueni cienparler a	----⌫---|-----||
ausetdemanderen tleur	--|-|----------⌫|---|
conu enanchesd unauiequilauoientfait	----⌫-------|-⌫|----|-|-|------|---|
distli dux qui lauoientmalf aitde	---|-|--|-|-⌫|------|--|-⌫--|-|
ch ou quil auoie nt mand éparleurmes sages	--⌫-|-|-|-----⌫-|----⌫-|--|---|---⌫----|
qui lappare il lai ssentna uie	-|-⌫|------⌫--⌫---⌫----|--⌫--|
a .iiii. m.	|------⌫-|
cheualierset aleurharn aseta.c.m. hommesa	---------|-||---|----⌫-|-||----|-----||
desches .iiii.m.cheualiers ni a uoi til	--|---|-------|---------|||-⌫---⌫|-|
mieplus dunmil lierquiles toie nt aléas	--|---||-|---⌫---|-|-|--⌫----⌫-|---|-|
au tr esporsne deche s.c.mille	--⌫--⌫-|---|-|-|---⌫|--|----|
hommes api éni auoit mie	-----||--⌫-|||----|--|
pl usde.l .mile oude.l x.	--⌫-|-|--⌫|---|-|-|--⌫-|
Dontnousuolons fist li duxque	---|---|-----|---|-|--|--|
u ousnouspaiés lesconuena nchesque	-⌫--|---|-----|--|-------⌫----|--|
onn ouseutenconuenent	-|-⌫--|--|-|--------|
Quant li cr oisiéoï re ntch ousiparl erentensan lesi	----|-|--⌫-----|---⌫--⌫-|--⌫-|-|----⌫----|-----⌫-|-|
eswarderenten trausqu ecascunscheualiers	----------|--⌫-|--|--⌫|------|---------|
donroi tquat rem ars et cascuns	------⌫|----⌫-|-⌫--|-|------|
cheuaxq uatr eet cascun sserians ac he ualdeusmars	-----|-⌫----⌫|-|------⌫|------||-⌫--⌫--|---|---|
etchisquimainsl idonro it	-|---|--|----|-⌫|-----⌫-|
sid on roit un marc	-|-⌫--⌫---|-|---|
Quan tileu ren tches denierscueillis	----⌫|-|--⌫---⌫|---|------|-------|
silespai erent	-|--|---⌫----|
uenicienssi rem esent e n core.l.milemarsa paier	--------|-|---⌫----|-⌫-⌫---|--|---|---||----|
uenicien uir rentque	-------|---⌫---|--|
li pelerinne leurauoient	-|------|-|---|------|
pluspa iési furenttoutcor chie ́tantqueli	---|--⌫--|-|-----|---|---⌫----⌫|---|--|-|
duxparlaa aus	--|----||--|
Seigneurfi st	-------|--⌫-|
i luousnous aués	-⌫|---|---|----|
mal bailliscarsitos tcomme	--|------|--|-|---⌫|----|
uomessageeurentfaitconue ntami	-|------|-----|---|-----⌫-||-|
etame gentkemandai	-||-|---|-------|
ioupartote	--|--|---|
metere quen usma rcaansnala st marcaan derainsaidast	-|---|--|-⌫-|--⌫-----||---⌫-|-------⌫--|---|-----|
aa p areillie rch e stenauie	|-⌫-⌫--------⌫|--⌫-⌫--|----|
etilyunt puis t o us ioursaten du	-|-||--|---|-⌫-⌫-|----|----⌫-|
neni w aaingniere ntr ienpasse ́aun	-|||-⌫----------⌫-|-⌫--|-----⌫||-|
ane t demi	-|-⌫|---|
Ainsy ont moltperdu etpourc houueu lent	---||--|---|----|-|---|-⌫--|---⌫---|
mihomme et ioua us iqu euouspaiésles	-|----|-|--|-⌫--⌫|--⌫|---|-----|--|
denie rsqueuousnousdeué s	-----⌫-|--|---|---|-----⌫|
Etseuousensinel faites sachiésque	-|-|---|---|--|-----|-------|--|
uous mo uerés de chesteisle d e ua nt	---|--⌫-----|-|-----|---|-⌫-⌫--⌫-|
laquenousseronsp aie ́	-|--|---|-----|-⌫---⌫|
nenetrouerésquiuous p ort n e q ue boire	-|-|--------|--|---|-⌫--|-⌫|-⌫-|----|
nequ emenger	-|--⌫|-----|
L iduxfut moltpreu donssi ne laissa	-⌫|--|--|---|----⌫---|-|-|-----|
miepo urchouque	--|--⌫-|---|--|
le urportast	--⌫-|------|
asse ́sabo ir eeta m e nger	----⌫-||--⌫--⌫|-||-⌫-⌫---|
Quantliconte etli h omme	----|-|----|-|-|-⌫---|
croisie ́oïren tchou queliduxauoit	-------⌫|------⌫|---|--|-|--|----|
d i t sifurentmo ltdo lentet m oltesmari	-⌫-⌫|-|-----|--⌫-|--⌫---|-|-⌫--|-----|
Siref is ent une autre	-|---⌫--⌫--|--|----|
cuelloiteet enprunterenttant	--------|-|-----------|---|
ded eniers commeil	-|-⌫-----|----|-|
ilquidoientquieneusse nt	-|--------|--|-|-----⌫-|
Si lespaiere ntas	-|--|------⌫-|-|
uenicie nsetquant	-------⌫-|-|----|
illeseure nt paiéssi demorerentencore a	-|--|----⌫-|-----|-|---------|-----||
paier.xx xui.m.	----|---⌫-----|
m ar setsileurdisent quil estoientmaubailli	-⌫--⌫|-|-|---|-----|-|-|-------|--------|
l osestoitmo lt	|-|-----|--⌫-|
ap ouriiedechelecuelloitequ	--⌫-----|-|----|--------|-|
ilauoientfaite tquiln epooient	-|------|---|-⌫|-|-|-⌫|------|
plu spourcachier dedeniersqu illeurpaiaissentains	---⌫|----------|-|------|-|-|---|---------|---|
en auoientass és	-|------|---⌫--|
poure mental e urostmainte ni r	-----⌫---||-⌫-⌫-|--|------⌫--⌫|
Quantliduxuit quiln epooient	----|-|--|--|-|-|-⌫|------|
mietousles	--|---|--|
denierspaierains e n estoientmoltamal a i se	------|----|---|-⌫|-------|---||--|-⌫-⌫-|
siparlaa segen t et sileu r	-|----||-|---⌫|-|-|---⌫|
Sei g neur fi stilse	---⌫-⌫---|--⌫-|-|-|
nouslaisso ns al er	---|------⌫-|--⌫-|
ches gens enle urpaïs nousse rons	---|---|-|--⌫-|----|---|--⌫---|
maist ous io urstenupour	---|-⌫--|--⌫--|---|---|
maluaisetpou rtr ikeeur	------|-|---⌫|--⌫-----|
M aisalons dusq ue sa ausetsi	-⌫--|----|----⌫--⌫||--|-|-|
leurdisonsquesilnousueullent	---|-----|--||-|---|-------|
r endre ches.xxxui. m. marsque	-⌫----|---|-------⌫-|---|--|
ilnous doiuentdes prem erainesconquestesqu	-|---|------|--|----⌫------|---------|-|
ilferontetquil	-|-----|-|-|-|
a ront aleurpartiequen ou s l es mesrons	-⌫---||---|-----|--|-⌫--⌫|-⌫-|------|
ue n iciensacorde r ent bien	--⌫-⌫----||------⌫-⌫--|---|
achouque lidux auoi td it	|---|--|-|--|----⌫|-⌫-|
Do nt siale rentaspelerinslaoui l	--⌫-|-|---⌫---|-|-------|-|-|-⌫|
sestoientlogié	|-------|-----|
furent lauenusi le u r	-----|-|---|-|--⌫-⌫|
Seigneurfistilnousauons pris conselent remi	-------|---|-|---|----|---|-----|---⌫-|-|
gent enteleman iere quese uo us nousuolés	---|-|---|---⌫---|--|-|--⌫-|---|-----|
gre anterloia u mentque uousno us paiere ́s	---⌫----|----⌫-⌫---|--|---|--⌫-|------⌫-|
che s.xxxui.m.	---⌫|--------|
uousnousde u és alepremeraineconques tequeuous	---|---|--⌫-⌫--||-|---------|-------⌫-|--|---|
ferésde uo partie	-----|-|-|-----|
nousuousmesrons outre mer	---|---|------|----|--|
Qu antl icroisiéoïrentcho	--⌫--|-⌫|-------|------|--|
quelid uxle ur auoit ditetmoustrési en	--|-|-⌫-|--⌫-|----|--|-|-------|-|-|
furentmol t l iéetselicai ̈rent	-----|---⌫|-⌫--|-|-|-|---⌫----|
aspi e ́s de goieetseli	-|--⌫-⌫-|-|---|-|-|-|
creanterentloiaumentquil	----------|--------|-|-|
feroie ntmoltuolentiers chouq uelidux au oit deuisé	------⌫-|---|---------|---|-⌫-|-|--|--⌫--|------|
Sifisen t si	-|-----⌫|-|
grantgoie lenuitquil n ieut	----|---|-|---|-|-|||--|
si pour equ ine	-|----⌫|--⌫|-|
fesis t grantluminaireet	-----⌫|----|--------|-|
p ortoient ensonlesla nchesgr ans	-⌫-------|-|--|--|--⌫----|--⌫--|
t orke s decandeil les ent or leurlogeset par de densque	-⌫----⌫|-|-------⌫--|---⌫-|---|----|-|--|--⌫---|--|
c hesanloitque	-⌫-|------|--|
os fustesprise	-|---|------|
Aprésuintliduxa	-----|---|-|--||
aussileu r dist	--|-|---⌫|---|
Sei gneuril est oreyuer s	---⌫----|-|--|--|----⌫|
p orriemespasser mieout remer neche nest	-⌫-------|-----|--|---⌫-|--|-|--||--|
mi remésenm ic ari euouseusse pi echa	-|-----|-|-⌫|-⌫-|-⌫|---|----|--⌫---|
f aitpasser	-⌫--|-----|
silnef ustremés e nuous	|-|-|-⌫--|-----|-⌫|---|
Maisfa isons l ebienfistlid ux	---|--⌫----|-⌫|---|---|-|-⌫-|
Ilaunechité presdechi	-||--|-----|---|-|--|
Iad res a a	---⌫--|||
le uile nou s	-|---|---⌫|
ontmolt me ffa it e tiou	--|---|--⌫---⌫-|-⌫|--|
etmi h om me nousuolonsuengier	-|-|-⌫--⌫-|---|-----|------|
d ausse nous	|--|-|---|
E t se uousm euolé scroi re nous yironschest	-⌫|-|---|-⌫|-----⌫|----⌫-|---||----|----|
yuer sei orne rdusques	---|---⌫----⌫|------|
Pasqueet adoncsiatierronsnonauiesinousen	-----|-|----|-|--------|-|----|-|---|-|
irons outre me r	----|----|--⌫|
Iadreses tmout boineet	-----|--⌫|---|----|-|
moltplentiiued e to usb iens	---|--------|-⌫|--⌫-|-⌫---|
l ihauthom mecroisiésa sentirenta	-⌫|---|---⌫-|-------||-⌫--------||
chouqueliduxauoit	---|--|-|--|----|
d it m estoutchilde	-⌫-|-⌫-|---|---|-|
lost ne seu rentmichestc onsel forsliplus	|--|-|---⌫---|-|----|-⌫----|---|-|---|
haut homme	---|----|
Ado ntsi atirerent toutcommunaument	---⌫-|-|--------|---|-----------|
leuroirre etleur	---|----|-|---|
nauietout ent irem entsisem isent	----|---|---⌫----⌫--|-|-|-⌫----|
Etcascunsde sh aus h o mes auoi t se	-|------|--⌫|-⌫--|-⌫-⌫--|----⌫|-|
nef aluiet	--||--|-|
asegentetsen	|-|---|-|--|
u issier a sescheuaxmeneret lid ux	-⌫-----||--|-----|----|-|-|-⌫-|
uen iceauoitauecluichinquantegali e s	---⌫--|----|---|--|---------|----⌫-⌫|
tout asenco ust	---||--|--⌫--|
Legalieouensi lestoiterttoute	-|----|-|--|-⌫|-----|--|----|
uermeilleetsiau oitun pauellont e ndupar deseure	--------|-|-|--⌫--|-|-------|-⌫-⌫--|--|------|
luidunuerm ei ls amitsiauo it quat rebuis i nesd	--||-|----⌫--⌫|-⌫---|-|---⌫-|----⌫-|----⌫-⌫--||
argentdeuantlui	-----|-----|--|
qui bui sinoi entettymbres quigrantg oiede menoient	--|---⌫-----⌫--|-|------|--|----|-⌫--|--⌫-------|
Et to ut li	-|--⌫-|-|
haut ho mme	---|--⌫--|
etcler c e tlaietpetit etg rantdemenerent	-|----⌫|-⌫|--|-|----|-|-⌫---|---------|
sigra ntgoiealesmouoirqueonq uesen coresi	-|---⌫-|---|||-------|--|---⌫--|--⌫---|-|
fait e goienesifais	----⌫|---|-|-|---|
esto ire s ne fu ueu sne oïs etsi fisent	----⌫---⌫|-|-|---⌫|-|---|-|-|-----|
lipelerinmonter	-|------|-----|
asca s tiaus des nes tous les	-|--⌫-⌫----|--|--|---|--|
pre stre se t	---⌫----⌫|-⌫|
l escle rsquica nterent	-⌫-|---⌫-|--|--⌫------|
uenicre ator	---|---⌫---|
Ettre stou tetgrantet petit	-|---⌫----⌫|-|----|-|----|
plorerentdepec	--------|-|--|
grantgoi equieurent	----|---⌫|-||-----|
Etquantliestoires partidup ortde	-|----|-|-------|----|-|-⌫--|-|
ueniceetdromo nset chesrikesnesettant	-----|-|-----⌫-|-|---|----|--|-|---|
dautres uaissia us que	|-----|-------⌫-|--|
chestoitle plus be lecosea e sw arderqui	-|-----|-|---|--⌫-|---||-⌫--⌫----|--|
fus t tres lec ommenchementdumondecar	---⌫|---|-|-⌫-----------|-|----|--|
ilyauoitbi enc hent	-||----|--⌫-|-⌫---|
pairedebusi nes que	----|-|----⌫--|--|
dargentquedarainquitoutes	|-----|--||----|--|-----|
sonner ental esmouoiretta ntdetymb r esetta bours	------⌫--|||-------|-|--⌫-|-|----⌫-⌫-|-|--⌫----|
etautres estrumen s que chest oit	-|-----|--------⌫|--|-|---⌫--|
unefinemerue ille	--|---|-----⌫---|
Q uan tilfu rent e nchele	-⌫---⌫|-|--⌫---|-⌫|----|
meretileurenttendu	--|-|-|-----|----|
leuruoilesetleurbanieres miseshaut ascastiaus	---|-----|-|---|-------|----|---|-|-------|
desnes et leu r ensei ngnessisanla	--|--|-|---⌫|-----⌫----|-|----|
bienquelemersfor m iast toute etqu	---|--|-|---|---⌫-⌫---|----|-|-|
elefust tout eenbraseede s	--|---|----⌫|-------|--⌫|
ne squ il menoien tet de	--⌫|-|-|-------⌫|-|-|
lag rantgoie quildem enoient	-|-⌫---|---|-|-|---⌫------|
Adontsialerent tantqu	----|-|------|---|-|
il uinre ntaun echité	-|-----⌫-||--⌫|-----|
Polesauoit an on	----|----||-⌫-|
I lluequ es ariuerent sise r a f reski rents e yseiou rnerentunpeu	-⌫------⌫-|--------|-|-|-⌫-⌫-⌫-----⌫---|-⌫||-----⌫------|-|--|
ilfurentbien rafreskie tqu ileurentac atédes	-|-----|---|-------|-⌫|-|-|-----|--⌫---|--|
nouuelesuiandesametreen leurn e s	-------|------||----|-|---|-⌫-⌫|
Ap réssese rem isenten	--⌫---|-|-|---⌫----|-|
ileu rentgrantgoie et	-|--⌫---|----|---|-|
gran tfestedemene epar	----⌫|----|------⌫|--|
deua ntencoredemeneren til adonquesausigrantou	----⌫-|-----|---------⌫|-|-------|---|----|-|
gr eigneursique les	--⌫------|-|--|--|
g ensdeleuilesenmeruel lie renttrop	-⌫--|-|-|---||-|------⌫---⌫---|---|
delegrant goieetde gra nt es toire et de	-|-|----|---|-|-|---⌫-|--⌫----|-|-|
legrantn obleche	-|----|-⌫------|
quildeme noient etsidisentbien etch	-|-|----⌫-----|-|-|-----|---|-|-|
e stoitu oirsqueonquessibiausesto iresnesiri ke s	-⌫----|-⌫---|--|-----|-|----|----⌫---|-|-|--⌫--⌫|
nefuueus ne assanlésennule	-|-|---|-|--------|-|---|
ter ec ommeil auoi tillueques	---⌫|-⌫---|-|----⌫|--------|
uenicienetli pel erinsesinglerenttant	-------|-|-|---⌫---|-|---------|---|
qu iluinrenta	-|-|------||
Iadres l anu itdelef estesaint	-----|-⌫|--⌫-|-|-|-⌫---|----|
Childeleuile de	---|-|-|---|-|
Iadr esquantiluirrentchesneset	----⌫-|----|-|------|---|--|-|
c h esgra n sestoires uenirsieurent moltgrant	-⌫-⌫-|---⌫-⌫|-------|----|-|-----|---|----|
peu r si fisen t lesportes de	---⌫|-|-----⌫|--|-----|-|
leuil efremere t	-|---⌫|-----|-⌫|
sisarm ere nt aumi exqu ilpeurentcomme	-||---⌫---⌫-|-|--⌫-|-|-|------|----|
p our ausdesfen dre	-⌫--|--|------⌫--|
Quantilfurentarméli duxparlaa tousles	----|-|-----|----|-|--|----||---|--|
haushomes de lostsi leur dist	---|----|-||--|-|---|---|
Seignor cheste ui leamoltm effaitami	------|-----|--⌫-||---|-⌫-----||-|
me ge ntiemenuenge roieuo lentiers	-|--⌫-|-||-|-----⌫---|--⌫-------|
priqueuo u s	--|--|--⌫-⌫|
mesoi és enaiue	-|---⌫--|-|---|
Etli baron	-|-|----|
etlihauthommeli r espondirentqueil liaideroie nt	-|-|---|----|-|-⌫----------|--|-|-|--------⌫-|
uo lentiers	--⌫-------|
Ors au oient il	-|-⌫--⌫----|-|
bien chil de	---|---|-|
Iadres quechil	-----|--|---|
u enice les haoient	-⌫----|--|------|
Si auoientpourcachiéunes	-|------|----------|---|
let tresde	---⌫---|-|
Rome qu etr esto utchi l quiles weri eroiento uqui	---|--⌫|--⌫----⌫-|---⌫|--|--|----⌫------|-⌫|--|
leurfer oient nuldamagequilfu ssent eskemenié	---|---⌫----|--|-----|-|-|--⌫----|---------|
Sie nuoierent	-|-⌫--------|
ch esletres par boin sm essag esau	--⌫-|-----|--|----⌫|-⌫-----⌫-|-|
as pelerinsqui illueque sestoientariu é	-|-------|--|--------⌫|-------|----⌫-|
Quantlim essage uinrent	----|-|-⌫-----|------|
on lesletre sdeuant leduc et deuant	-|--|-----⌫|-----|-|--|-|-----|
lespeleri n s	--|------⌫-⌫|
Quantlesl etres furent l u t e setlidux	----|--|-⌫----|-----|-⌫-⌫-⌫-⌫|-|-|--|
l es eutente ndues il	-⌫-|--|----⌫----|-|
di st quilnelai roitmie pou rl	--⌫-|-|-|-|---⌫---|--|---⌫||
eskemeniementl apoistoilequil nese ueniastde	------------||---------|-|-|-|-|------|-|
chiax deleuile	----|-|-|---|
At antsenaleren t limessage	|-⌫--||-|------⌫|-|------|
Liduxparla	-|--|----|
autre foisasb ar onssileurdis t	----|---|-|-⌫--⌫--|-|---|---⌫|
S e igneursachi ésqueie	-⌫-⌫-----|-----⌫--|--|-|
lairoi e anu lfuerqueie nemenue niaisse	------⌫||--⌫|---|--|-|-||-|--⌫------|
pourl apostoile	---||--------|
Et pria l es ba ronsq u	-|---|-⌫-|--⌫---|-⌫|
il li ai daissen t	-|-|--⌫-------⌫|
Libar onrespondirenttoutq uilli	-|---⌫-|-----------|---|-⌫|-|-|
aideroientuole n tiers fors seule me ntl i cu en s	---------|----⌫-⌫----|---|-----⌫--⌫-|-⌫|--⌫--⌫|
Monfor tetmesir es	------⌫|-|-----⌫-|
En ge rransde	--⌫--⌫----|-|
Childisen tquilniroi entmie	---|-----⌫|-|-||----⌫--|--|
cont re le c om m andement	----⌫-|-|-⌫--⌫-⌫-------|
l apostoilenequ	|--------|-|-|
ilneuoloientmie	-|-|-------|--|
estr eeskemeniésis atorner ent	----⌫|---------|-||-------⌫--|
sialerenten	-|------|-|
Honguerieseiourn er	--------|-------⌫-|
Quant l i duxu it quelibaron li	----|-⌫|--|-⌫-|--|-|----|-|
aideroien tsi fis tdre chiers e sen giens	---------⌫|-|---⌫|---⌫----|-⌫-⌫|--⌫----|
a a ssaliraleuile	|-⌫-----||-|---|
ch il deleuile uirr entqu	--⌫-|-|-|---|----⌫--|-|
i lne pooient	-⌫|-|------|
auoirduree s iuirrentam erchi	----|----|-⌫|------||-⌫----|
si leurre ndirentl euile	-|---|--⌫------|-⌫|---|
Adont siyentrerent	----|-||--------|
li pelerinetli	-|------|-|-|
u enici ensipa rtionleu ileendeus	-⌫-----⌫-|-|--⌫--|-|-|-⌫--|-|---|
moitiéssique li pe lerin e neurentl	-------|-|--|-|--⌫----|-⌫|-----||
unemoitié	--|------|
uenicienlautre	-------||----|
auintque unegrans mesleeleuae ntre	----|--|--|----|-----|---|-⌫---|
u e n ici en setle men uege ntdes pele ri nsquidurabien	-⌫-⌫-⌫---⌫--⌫|-|-|---⌫-|--⌫-|--|----⌫--⌫-|--|---|---|
unen uit etdem i	--|-⌫--|-|---⌫|
E tfusigrans chelemeslee que	-⌫|-|-|----|----|-----|--|
a paines l espeurent	|-----|-⌫-|------|
licheualierdesmeler	-|--------|-------|
Q uant illeseur entdesmesléssi y misent sibele	-⌫---|-|--|---⌫--|---------|-||-----|-|---|
p a isque on quespuisne fu re nt	-⌫-⌫-|--|--⌫---|---|-|--⌫--⌫-|
parmal ensanle	--|--|------|
Apréslihauthomme croisié etli	-----|-|---|----|-------|-|-|
ue nicienparlerentens anle de leske me niement	--⌫-----|--------|---⌫---|-||----⌫--⌫------|
dont ilfurenteske meni édele	---|-|-----|----⌫----⌫-|-|-|
ui le q uil auo i e ntprisetant	--⌫-|-⌫|-|---⌫-⌫-⌫-|----|---|
qu i lse conse llier ent entr aus quil enuoieroienta	-|-⌫|-|-----⌫-----⌫--|---|--|-|-|-----------||
Romepourestreassoust antqu	---|---|----|-----|-⌫--|-|
ilyenu oiere n tleuesquede	-||---⌫-----⌫-⌫|-|-----|-|
Sess onset	----⌫--|-|
monseign eu r	--|-----⌫--⌫|
Boue p ourcach ie re ntlettresdel	---|-⌫-------⌫--⌫--⌫-|------|-||
apostoilequetout	--------|--|---|
lipe lerinet to utl i	-|--⌫----|-|--⌫-|-⌫|
uenicienfuss en t assaus	-------|----⌫--⌫|-----|
eurent leurletr e ss isenre uintli uesques	-----|---|----⌫-⌫|-⌫||-|--⌫---|-|------|
aupl ust ost qu	-|--⌫-|-⌫--|-|
il peutetmesires	-|---|-|------|
Bouenereuintmie auecluiainssen	---|-|-----|--|---|--|---||-|
