#MET A#T e xt URI	----⌫-|-⌫-⌫--⌫--|
#M ETA #DEAFhtt p//ww w.d e a f-page.d e/bibl /b ib99m.php# Meraugis F	--⌫---⌫|---|---⌫-----⌫---⌫-⌫-⌫--------⌫------⌫--⌫----------⌫--------⌫|
#META#ARLIMAhttps// www.arl ima.net/qt/raoul_de_houd enc .h tmll#mer	-----|-----|-------⌫-------⌫------------------------⌫---⌫--⌫-------|
#META#Auth orRaoul	-----|----⌫-|----|
de Houdenc	-|------|
Nuscheualiersueüzas	--|---------|----|-|
Acui a rmes seïssentmieuz	|--|-⌫---|--------|----|
lui. Aucheualieresc ri e	---|-|--------|---⌫--⌫|
Q uiuient Cheua liersne u ien mie	-⌫-|----|-----⌫----|-|-⌫--|--|
AuantSe tu ui ens iusquaupas	----|-|-|--⌫--|----|-|--|
Laio ste auraseneslepa s .	-|--⌫--|----|--------⌫-⌫|
Et cil respontquile nte nt bien	-|--|------|--||-⌫---⌫-|---|
Cemeplestmoutcheua liersuien	-|-|----|---|-----⌫----|---|
Ia lauras tu	-||----|-|
masdesf ï é.	|-|----⌫--⌫--|
Etcilquant ilfufor sdougué	-|--|----|-|-|---⌫|--|---|
Bessesalancesis e sless e	----|-|----|-||-⌫-----⌫|
Porios ter	--|---⌫--|
etMeraugis	-|-------|
Cheu al aler quepoint neldot e.	----⌫-|---|--|----|--|---⌫-|
C ilquiimetsa force	-⌫-|--||--|-|----|
Meraugi ssorl escu	-------⌫|--||---|
Desala n cepa rte l uer tu	-|-|--⌫-⌫-|--⌫|--⌫|---⌫-|
Quesa lancepeçoieen .II.	--|-|----|------|-|---|
EtMeraugis limerueilleus	-|-------|-|----------|
Brandistsalance	-------|-|----|
sel fiert h aut	--|----|-⌫--|
Sidroitquilporte	-|----|-|-|----|
Lecheu alier et	-|----⌫----|-|
s on c heual	-⌫-|-⌫----|
.I.montmesnotnulmal	--|---|--||-|--|--|
Licheualiers en piezreuient.	-|---------|-|---|-------|
Sempre s d elesp eequ	------⌫|-⌫||---⌫-|-|
f oli o108a	-⌫---⌫----|
Soff rea desfendr e e tuie nt	|---⌫-||--------⌫|-⌫|---⌫-|
uersMeraugisqui	---|-------|--|
Estaqueueus	---|--|---|
Ne t aprochier	-||--------|
De moiRemonte	-|--|------|
entondest rier	-|--|----⌫---|
doingbonement	----|-------|
co n g ie ́.	--⌫-⌫-⌫--⌫-|
Etc ilrespont Mal ai e gié	-|-⌫-|------|--|--⌫|---|
Se ier e mont	-|-|-⌫-⌫---|
qua nt ie suiius	---⌫-|-|--|--|
T ant s ui iep risseiesuisus.	-⌫--|-⌫-|-|-⌫--|-|-|--|---|
Cui destuque	---⌫--|-|--|
Nenil alabataille	----||-|-------|
tefaudrai.	-|-------|
Iaach eualne	-||--⌫---|-|
t assaudrai	|--------|
FetMera ugishonteenauro ie	--|----⌫---|----|-|----⌫-|
A piédescentenmilauoi e	|---|------|-|-|-|---⌫|
Sis entreuienentpar esf orz.	-||-----------|--|---⌫---|
Li cheualiers quimoutfuf orz	-|---------|--|---|-|-⌫--|
Lassa u tetgiete .I.	|----⌫-⌫|-|----|--|
coup douplus	---|--|---|
Si grantqua u	-|----|-|-⌫|
uenir delasu s	----|-|----⌫|
Despieceetfentquanqu	-------|-|---|---|-|
il consieut.	-|--------|
EtMer au gisquibi en lensieut	-|---⌫--⌫--|--|--⌫-||------|
Liuienten c ont reet	-|----|--⌫-⌫---⌫-|-|
Sib ie nquilredespiece	-|-⌫--⌫|-|-|---------|
Quanq uilconsieut auantl	---|-⌫|-|-------|----||
Tropadur écestemeslee.	---||---⌫-|----|------|
D amdeus u o ire	-⌫-----|-⌫-⌫--|
cen aui ntmes.	-||---⌫-|---|
Li cheualiersmou t fu	-|---------|---⌫|-|
Ethard iz m esplus estencore	-|----⌫-|-⌫-|---|--|-----|
Meraugisp reuz etfiers aor e.-	-------|-⌫---|-|----|---⌫--|
Et il po r qu oi -Hardile	-|-|--⌫|--⌫-||----|-|
Ta nt quen lafin si	--⌫-|-|-|-|--|-|
biense pr ueue	---|-|--⌫---|
Meraugisquill o utre etconquiert.	-------|-|-||-⌫---|-|---------|
Licheualie rs	-|--------⌫-|
uaincuz requiert	------|-------|
Mer ciet Meraugi sl i	---⌫-|-|-------⌫|-⌫|
Dim oiauant que	-|-⌫-|----|--|
Q uetu n asfr a innespero ns	-⌫-|-||-|--⌫-⌫-||------⌫-|
Cetecoui entou iadic i	-|-|----⌫--|-|-||--⌫|
Ne pa rt irasEt	-|--⌫--⌫---|-|
cilq uicrient	--|-⌫-|-----|
La mortrespontCedo ntmeuient	-|---|------|-|--⌫-|-|----|
u ol entiersl euoscon t er ai .	-⌫--⌫------|-⌫|--|---⌫-⌫--⌫--⌫|
Oëzporquoiiel	---|--|---|--|
LiroisPatrisd eCab r ahan	-|---|-----|-⌫|---⌫-⌫---|
Tint-aPasques	---|||------|
aura. I.an-	---|-⌫-|-||
Cortsi riche quonquesnefu	---|-|----|-|-----|-|-|
Plu s ric heetl ors	---⌫|---⌫-|-|-⌫--|
f u r ent uenu	-⌫-⌫-⌫--|---|
cheualierd elaterre .	--------|-⌫|-|-----⌫|
Lirois lesf istmanderet	-|---|--|-⌫--|-----|-|
Partoz les lieus mouteni uint .	--|--|--|----|---|-||----⌫|
Desmeillors cheualiersbien.XX.	--|-------|---------|---|---|
Ai nzquelacortfustd epartie	--⌫-|--|-|---|---|-⌫------|
Lunsporlautrepar	|--|--||----|--|
Fi rentueu z. Oëzq ueuoerent	--⌫---|---⌫-|---|-⌫-|------|
Oia nz le sda messe uante re nt	---⌫-|--⌫|--⌫--|-|-----⌫--⌫-|
Decheualeriessidist	-|----------|-|---|
Guiurezq uil epremierueufist	------|-⌫-|-⌫|------|--|---|
Q ue det o t lan	-⌫-|-|-⌫-⌫||-|
n e p orteroit	-⌫|-⌫-------|
Ha ubercneheaumeainziosteroit	--⌫----|-|-----|---|--------|
Tozdesarmez for sdel e scu.	--|-------|---⌫|-||-⌫---|
LigranzRiolenzqui	-|----|------|--|
u oaqueiamesnegerroit	-⌫-|--|-|--|-|------|
Encouert deua ntqu	-|-----|----⌫-|-|
Ocischeualiere n b ataille.	---|--------|-⌫|-⌫-------|
LiLe z Hardi z deCorno aille	-|--⌫|-----⌫|-|-----⌫----|
cortcils edona	---|--|-⌫|---|
Asdamesetapr és	-|----|-|---⌫--|
Qu eiapucelede	--⌫|-|-----|-|
Nelrequerroitas onbesoi ng	--|---------||-⌫-|-----⌫-|
Quilnial astsanz	-|-|||--⌫--|---|
conseil prendre.	------|-------|
Gaherïez l or fist entendre	--------|-⌫-|---|-------|
Q u etotcelancheuaucheroit	-⌫-⌫|--|--|-|------------|
Einsique ianen contre roit	----|--|-||--⌫------⌫---|
Cheualiernulporquilmenast	--------|--|--|-|-|-----|
Sam iequi lne	|--⌫-|-|-⌫|-|
En p esoutant	-|-⌫-|-|---|
se combatroit	-|---------|
A luiqueliunsen seroit	|--|--|-|--|-|-----|
Si lasq uil enauroitadé s.	-|--|-⌫|-|-|-----|----⌫-|
Etl icru e us Se gur ad és	-|-⌫|---⌫-⌫-|--⌫---⌫--⌫--|
detotlanentier	-|--||-|-----|
Neconque rroiti lcheualie r	-|------⌫----|-⌫|--------⌫|
Parforceq uilnel	--|----|-⌫|-|-||
QueuosdiroieChascunsfist	--|--|-----|-------|---|
S onueu et	-⌫-|--|-|
iequilaesto ie	-|--|-|----⌫-|
Meporpensai	-|--------|
qu eie fer oie	--⌫|-|---⌫--|
Telu euquenusnoser oit fere	--|-⌫-|--|--||----⌫--|---|
Autel lor di sse s	----|--|--⌫|--⌫|
f istoztere	-⌫-|--|---|
an n auro iefrain	-||----⌫-|----|
N espero n	|------⌫|
neuergeen ma ma in	-|----|-|-|--⌫-|
iames neferroie	-|--|-|------|
Monche ua l ne neli tou droie	--|---⌫--⌫|-|-|-|---⌫----|
C heminpor nul autre	-⌫----|--|--|----|
Mestotcesta nsanz	--|--|---|-⌫|---|
Iroietant qu etroueroie	----|---|--⌫|--------|
Plusfortd emoi.Queu osd iroie	---|---|-⌫|---|--|-⌫-|-⌫----|
folio 108c	-----⌫---|
Einsiait enu monchemin	----|-|-⌫--|--|-----|
T antquor sui uenuzalafin	-⌫--|-|-|--|----||-|--|
Iene puis di renesauoir	-|-|---|--⌫-|-|-----|
i arr iuerai le soir.	|---⌫-----|-|----|
Cil lire spontquia	--|-|--⌫----|--||
dr oit ure	--⌫---⌫--|
Lidit Tu uasp arauent ure	-|--|-|--|-⌫-|-----⌫--|
Plus quenus sin aspasenfret	---|--|--|-||-|--|-----|
Ton ueuporceque ieta i	--|--|--|-|--|-||-⌫|
Conois treque iesui plusp reuz	------⌫--|--|-|--|---|-⌫---|
De toi.C esttotmessetuueus	-|---||--|--|--|-|-|---|
Merciauoir site co uie nt	----|----|-|-|--⌫---⌫-|
Alerla dontmar ote	---|-|---|-|-⌫--|
Totcest h aut boi s	--|---|-⌫--|---⌫|
quantt uu endr as	----|-⌫|-⌫----⌫-|
Outrece s tbois tutro u eras	----|--⌫-⌫|---|-|---⌫-⌫---|
.II.damesen.I.p aue illon	---|----|-|--|-⌫---⌫----|
dueilenlalo rprison	----|-|-|--⌫|-----|
T e m etrasetdirasporquoi	-⌫|-⌫----|-|----|--|---|
Et les saluede par	-|--|----|-|--|
Cild istqua nt il ot escouté	--|-⌫--|---⌫-|-|-|-------|
Comen tAueziuosesté	-----⌫|---||--|----|
- Oi ̈l ii ai geü. -	|--⌫-|||-|----||
uos netochastesalescu	--|-|--------|||---|
Quipent-Sifisielabatié.	--|---||-|--|-||-------|
uoiremalaueze sploitié-	----|--|---|-⌫--------||
E t ie de quoi - uosn el sauez	-⌫|-|-|---||--|-⌫-|----|
Li dë ablese s t eschap ez	-|---⌫----|-⌫-⌫|------⌫-|
Quideuantesto i te nprison .	--|-----|----⌫-⌫|-⌫|------⌫|
Orestp arma uueseochoison	-|--|-⌫-|--⌫----|-------|
Lipa ïs torneza	-|--⌫--|-----||
Ne coman dez	-|-----⌫--|
mes teloutrage	--|--|------|
Queiaille a utre fp as niiroie	--||----|-⌫|---⌫|-⌫-|||----|
Por mo rirno n ainz soffer roie	--|--⌫--|--⌫|---|------⌫---|
Que nme tr enchastceste m aindestr e.	-|-⌫|-|--⌫------|----|-⌫--|-----⌫-|
Cim eïsme fetma u uésestre	-|-⌫-----|--|--⌫-⌫---|----|
Auostr eoes.- A monoesporquoi	|-----⌫|---|||--|--|--|---|
Or me couientsauoi rpartoi	-|-|------|-----⌫|--|--|
Cuiestl ie scuz.	--|--|-⌫|-⌫----|
-Ieluos d ie	|--|--|-⌫-|
uol ent iers-	---⌫---⌫---||
uos n e s aue z mie	--|-⌫|-⌫---⌫|--|
LOutredotezqu i r iensnedot e	|---------|--⌫|-⌫---|-|---⌫|
Et t antcheua l iersa	-|-⌫--|-----⌫-⌫---||
L ifistpendrecestsesescuz.	||---|-----||--|--|-----|
uo sdiraiporquoi	--⌫|----|--|---|
LO utredotezd ont i euos	|-⌫--------|-⌫--|-⌫|--|
Conterce estliplus crueus	-----|-|--|-|---|-----|
Quio nque sfus te t siest teu s	--|-⌫----⌫|---⌫|-⌫|-|--|---⌫|
Darmes quenus ne	|----|--|--|-|
lose atendre.	|--|-------|
Cestune merueillea entendre	|--|--|--------||-------|
Qu edes es	--⌫|-|-⌫-|
fezMesneporquant	--|--|---------|
Sa proece etsonhardement	-|-----|-|--|--------|
Orescoutezco m	-|-------|--⌫|
il lemplie	-||-----|
Seilsauoit nen dotez	-|-|-----||-|----|
Bienloing.I.cheua lier quif ust	---|----|--|-----⌫---|--|-⌫--|
Sipreuzquetozli monzseüst	-|----|--|--|-|---|-----|
Sa proec e	-|-----⌫|
iamesnaur oit	-|--||---⌫--|
I oiedeuant	-⌫--|-----|
Mor touhoni	---⌫|-|---|
s an z ochoison.	-⌫--⌫|--------|
I lneuoudroit mie	-⌫|-|-------|--|
Auoiren luinon ainz	----|-|--|--|---|
Siuraiement quequantilset	-|--------|--|----|-|--|
Batailleafere sie nquiert	-------||---|-|-⌫------|
L iqueus a tortaprésrequiert	-⌫|----||---|-----|-------|
Letort por fere labataille.-	-|---|--|---|-|--------||
Porquoi -Ilueutquelitorzaille	--|---||-|---|--|-|---|----|
Deuantledroitparsonoutrag e	-----|-|----|--|--|------⌫|
Ets ilcuido it auoirdroitgage	-||-|-----⌫-|----|----|---|
soni or ne uendroit	--|-⌫-|-|-------|
Ainz ue u tdou tot tuerled roit .	---|--⌫-⌫|--|--|---|-|-⌫----⌫|
uoiret oz i or z	----|-⌫-|-⌫--⌫|
moutpar e sttorz	---|--|-⌫-|---|
Etsiestdroi zdonc nest	-|-|--|----⌫|---||--|
nes t reson ne droiz	|--⌫|----|-|----|
Quuns hompuis seestreettorze t	-|--|--|----⌫-|----|-|---|-⌫|
Si pue tlime nbresontd efors	-|---⌫|-|--⌫---|---|-⌫----|
D roitmesli	-⌫---|--|-|
cue rs l icloche el	---⌫-|-⌫|-----|-|
sa resontortue	-|----|-----|
que d es o ntort tue	--|-⌫|-⌫-⌫|---|--|
Ledroit par tantd ior endroi t	-|----|--|---|-⌫|--⌫------⌫|
Quel oeurees ttorteenlomedroit.	--||----|--⌫|----|-||--|-----|
Cestuo ir sm esplusia	|--|--⌫--⌫|-⌫-|---|||
Il estteussilen controitore	-|--|---||-|--⌫-------|--|
.I.ch eualie r quicondu is i s t	--|--⌫------⌫|--|-----⌫--⌫-⌫-⌫|
Sa mi eai nçoisquil li de i ̈st	|-⌫--⌫|--⌫-----|-|-|-|--⌫-⌫--|
.I.solmotiali	--|--|--|-|-|
corroitso re	------|--⌫-|
Et si l enuenoit audesore	-||-⌫|-|-----|-|-----|
Ilhon iro itl ada moisel e	-|---⌫---⌫-|-⌫|--⌫------⌫|
uoiantlu ic enestpasnoue le.	-----|--⌫|-⌫||--|--|----⌫--|
E nfintropestdemalesmors.	-⌫---|---|--|-|----|----|
Autantauint li dieus	-----|----|-|----|
Quifet l es	--|--|-⌫-|
dursc ue rs sosploii er	---|-⌫--⌫-|--------⌫-|
licouint d amorsproiier	-|-----||----|------|
Une d a mesilarequ ist	--|-⌫-⌫-|-|-|----⌫--|
Damorsetla damelid ist	|----|-|-|---|-|-⌫--|
folio109 a	--------⌫|
ianelameroit.-	-|-||-------||
Po r q uoi-Porce	--⌫|-⌫--||--|-|
Si maus etcilquifusospr is	-|---|-|--|--|-|-----⌫-|
amorquitantenotpris	---|--|---|-|-|---|
Proiaet di stque	----|-|--⌫-|--|
Co mandastquan queleuoudroi t.	--⌫------|---|-|--|-------⌫-|
di roieElcreanta	--⌫---|-|------|
mesai nçoisli	--|--⌫-----|-|
S orsainz q ue iamesn ocirroit	-⌫-|----|-⌫-|-|--||-------|
Home ne t ortne	---|-|-⌫--|-|
Deua nt qu	----⌫-|-|
au cunsliforfeïst.-	--⌫---|-|----------|
Etplusuout	-|---|---|
elequilfeïst-	--|-|-|-----||
Oïl elelefistent rer	---|--|-|---|---⌫--|
terreetaprésiurer	----|-|-----|----|
So r s ainzqueia mes	--⌫|-⌫---|--|-|--|
ne nistroit	|-⌫|------|
P o rri enssepor uen gie rn	-⌫-⌫|--⌫--|-|--|---⌫---⌫||
Sahonte senliauoit f ete.	-|----||-|-|----|-⌫---|
LOutred otezquinasoffret e	|------⌫---|--|||-------⌫|
For s demal fere cuiliples t	---⌫|-|--|---|--|-|----⌫|
Desloref is tenlafor est	--||--|-⌫--⌫|-|-|---⌫--|
Sonescupend re enmilaplace	--|---|----⌫-|-|-|-|----|
u eut qu enli	-⌫--|-|-|-|
Lor s i l seraforsdepris on.	---⌫|-⌫|---|---|-|----⌫--|
Estesuosquesadesreson	----|--|--|-|-------|
Corrapart otet	----|----⌫-|-|
ce steangoisse	--⌫--|-------|
Ne stnussihardizqui conoisse	|-⌫-|--|-|-----|--|-------|
Lerogeescu aunoirserpent	-|---|---|-|---|------|
aprochierd unarpent	--------||-|-----|
Doupaueillo nnedel	--|--------⌫|-|-||
Soldouueoirsonttuit uai ncu	--|--|----|---|---|---⌫--|
Licheu alier de cesteterre.	-|----⌫----|-|----|-----|
DitM eraugis Doncleuet querre	--|-⌫------|---|-|--|-----|
Ce cuit une a u t re da moisele	-|---|--|-⌫-⌫-⌫-|--⌫------|
trouaic est lam ains	-----||--|-|-⌫---|
D es.III.s i	-⌫-|----|-⌫|
te noit unelanc e	--⌫---|--|----⌫|
main.Qu e lsenefiance	----|--⌫-⌫|---------|
Seze ntudi re rien -	--|-⌫|-|--⌫-|---||
O ïl etsic onoi s mout b i e n.	-⌫--|-|-|-⌫----⌫|---|-⌫-⌫-⌫-|
Celesanzfai lle	---|---|---⌫--|
liuetdire.	-|--|----|
Deu sl ahetmout- C in	---⌫|-⌫|--|---||-⌫||
a que dire	|--|---|
Enl i-E leertla porg uetier	-|-⌫||-⌫-|--|-|--|-⌫-----|
L escu .Nauoitautreescu iier	|----⌫||----|----|----⌫---|
Lich eualiers qu antilerrot	-|--⌫-------|--⌫--|-|----|
Meslalanceauuec	--|-|----|----|
luip ort ot	--|-⌫---⌫-|
Trusq ua c ele hore	-----⌫||-⌫--|---|
Sonescuetpor	--|---|-|--|
acelequil uousist	|---|-|-|------|
Quaucunspar force	-|-----|--|----|
li tousis t.	-|------⌫-|
folio1 09 b	------⌫--⌫|
Sirefust forsparces t mesfet.	-|-----|---|--|---⌫|------|
O reste insi	-⌫|--|-⌫---|
ce lesenu et	--⌫-||-|-⌫-|
L a lanceelpoingquil i	-⌫|----|-|----|--|-⌫|
EtquantlOutredotezu e ndra	-|----||---------|-⌫-⌫---|
Plusenseraquonques	---|-|---|-|-----|
Felet c rueu s deceonteü	--|-|-⌫----⌫|-|-|--|--|
Lesdame sdueil.-Porquo ilefont-	--|----⌫|-----||--|---⌫|-|---||
Sirepo rcequeelessont	---|--⌫|-|--|---|---|
Fra nch essih eent leforfet.	---⌫---⌫-|-|-⌫---|-|------|
Autantcomcelequisen uet	-----|--|---|--||-|--|
Hetbienheent	--|---|----|
ce stesl outrage.	--⌫---||-------|
Ia p or destorb erc estdomage	-|-⌫-|-------⌫-|-⌫--|-----|
O ntcon uersé.I. anentie r	-⌫-|---⌫-----|--|-|-----⌫|
Etce leiert p oratisier	-|--⌫-||--|-⌫-|------|
L e malqueiamespa rsonuueil	-⌫|--|--|-|--|--⌫|--|----|
Nefa u d r oit etceles ontdueil	-|--⌫-⌫-⌫-⌫--|-|----|--|----|
Porc equeuerront	--|-⌫|--|------|
A lau enueau	|-|-⌫---|-|
Le païs.Sagrantd esre so n	-|-----|-|----|-⌫----⌫--⌫|
M etraauanteten	-⌫---|----|-|-|
P age 07 8	-⌫---⌫--⌫|
Reson. -Qui la d es reso nee -	-----||--|||-⌫--⌫----⌫--||
Fortunequi lia donee	------|--|-||----|
Lacolee donteleest morte.	-|----|---|--|--|-----|
Orueut chascunsclo rresaporte	-|---|-------|---⌫--|-|----|
Iacontre luin	-|-----|--||
enistra nus	-|----|--|
uient.Ilniaplus	-----|-||||---|
dïent par ue rit é	-----|--|--⌫---⌫-|
FuiiezuezcilOutred oté	-----|--|-||------⌫---|
douto tpo rquoi.	--|--⌫|--⌫|----|
DitMeraugisQ u ant	--|-------|-⌫-⌫--|
c es t parmoi	|--⌫|--|--|
cuidasseanuittr ouer	-------|----|--⌫---|
Lecheu alierd ouretorner	-|----⌫----|-⌫-|-------|
Fus tacerteslicons aus pr is.	---⌫||-----|-|----⌫--|--⌫--|
Mesi ai . I.autr eafereem pris	--||-|-⌫-|----⌫|----|--⌫---|
Par qu oi ie	--|--⌫-|-|
nepu is d elaii er	-|--⌫-|-⌫-----⌫-|
Encestpaïspor	-|---|----|--|
Les d amestecouien t	--|-⌫---|-|------⌫|
Autref. -Nenfetmieaparler	-|----|||-|--|--||-----|
Sifet.- Non	-|---||--|
fe tpasn iiroie	--⌫|--|||----|
Tu sif eras-Ie nonfe roie	-|-|-⌫---||-|--|--⌫---|
Por ri ens-Si	--|--⌫--||-|
feraspar mesieuz	----|--|--|---|
OuiamorrasQu e	-|-|-----|--⌫|
teplestmieuz	-|----|----|
Morirouferemonmes sage	----|-|---|--|---⌫---|
Cilquido te	--|--|--⌫-|
por sondomage	--|--|-----|
Sele stuaintre	-|--⌫-|------|
etditParmonchief	-|--|--|--|----|
u oique cestmeschie f	-⌫-|--|---|-------⌫|
f olio109c	-⌫-------|
Me couientfere ii	-|------|---|||
Mes deparcuiquan t	--|-|--|--|----⌫|
ie uendr ai	-|-----⌫-|
Me rendrai ieQ u i m aconquis -	-|------|-|-⌫-⌫|||------||
Asdamesdepar Meraugis	-|----|-|--|-------|
Te re ndr as p r iscome	-|--⌫---⌫-|-⌫-⌫-|---|
es-Lo rsseren ome	-||--⌫-|-|---⌫--|
Licheualiersetd it aprés	-|---------|-|-⌫-|-----|
I aino nL aq uis deLampag rés.	|-|--⌫|-⌫--⌫--|-|------⌫----|
Orn i aplus.uos comand ez	-||||----|--|------⌫-|
uostrebon.Se	-----|---|-|
uosl ormandez	--|-⌫-|-----|
Folieousens i e lor di rai	----|-|---|-⌫|--|--⌫--|
Sansdoteia	---|---|-|
n enmentirai.	|-|--------|
uo s lor m an dezsorfet	--⌫|--|-⌫--⌫--|-----|
Lahontesel enlam e	-|----|-||-|-|-⌫|
En sera uos tr eetlimausmie ns.	-|---|---⌫--⌫|-|-|---|---⌫--|
ua tozseürsnedoteriens	-|--|-----|-|---|----|
Porquoiiepu isse	--|---|-|--⌫---|
cheuauchier	----------|
Se tutrueueslecheualier	-|-|------|-|--------|
Retornea moi tot erraumen t .	------||--|--|--------⌫-⌫|
Ets ilniest	-||-|||--|
tantli a ten t	---|||-⌫---⌫|
Quilu iegne.Por Deusi	-|-|-⌫-----|--|--|-|
Le sda meset	--⌫|--⌫--|-|
ho nor lor	--⌫--|--|
Se tulefesbientenuendra.	-|-|-|--|---||-|------|
Etquantlicheualiers uendra	-|----|-|---------|-----|
Iamaralui te	-|--||--|-|
m esleras-	-⌫------||
Queferaidonc-Tu li diras	--|----|---||-|-|----|
Mon nonetdique ieli	--|--|-|-|--|-|-|
cequei e ne	-|--|-⌫|-|
Deluisela mesl eenon	-|--|-|-|----⌫-|--|
por hon i r son non	--|---⌫-⌫|--|--|
Getai son escuala	----|--|---||-|
Etsile nueutueniance querre	-||-|-⌫|---|-------|-----|
Se l ram ain e tot	--⌫|---⌫---⌫|--|
errau ment.	-----⌫----|
CeditLaqu isEtiecom ent	-|--|----⌫-|-|-|---⌫--|
lacest uostreuoie	-||--|-----|---|
Eti euoisc ̧a iene s auroie	-|-⌫|---|-⌫-|-|-|-⌫-----|
Ouuos querre .- Tusi	-|--|------⌫||-|-|
Et i e c ome nt-Tume siuras	-|-⌫|-⌫---⌫-||-|-|-----|
Trestoteslesuo ie s ade stre	--------|--|--⌫--⌫||--⌫---|
Ianetornerasasenestre	-|-|-------||-------|
besoingd eua n tma rdi.	------|-⌫---⌫-⌫|--⌫---|
Bienm en pues croi re	---||-|---|----⌫-|
quantieldi.	----|--|--|
iesire. Ata nts	-|----||--⌫-||
Laq uisMer augis	---⌫--|---⌫----|
d autre part	|----|---|
Reprentadestr esonchemin.	------||-----⌫|--|------|
Orquiertles p lumeor Merlin.	-|-----||--⌫-⌫-----|------|
Et Laquisuientaupaueillon.	-|-----|----|-|---------|
As.I I.dames comeprison	-|--⌫-|----|---|-----|
Se re nt et dit e n eslepas	-|--⌫-|-|--|-⌫-⌫------|
De par cuiencornes t oit	-|--|--|----||--⌫-⌫--|
L Outredotez	|---------|
qui riensnedote	--|----|-|---|
u enuz.Etquant	-⌫----|-|----|
Laqu isottote	----⌫-|-|---|
Saresondite s idescent	-|----|---|-⌫|------|
Asdames di t qu e i latent	-|----|--⌫|--⌫|-⌫|----|
LOutredot é et atendra	|--------⌫-|-|------|
Tantquilu iegnelo r slidira	---|-|-|-⌫----|--⌫-⌫|-|---|
T otplainementce quil a	-⌫-|---------|-|-|-||
Celesquico nure nt Laquis	----|--|--⌫----⌫-|-----|
E tquipas neuuel entsahonte	-⌫|--|--|-|----⌫--|-|----|
LiprïentBeaus amis remonte	-|------|----|---|------|
SitenuaN ossauonde	-||-|-|-⌫-|----|-|
Se l Outredotez	-||---------|
puet auoir	---|----|
