kiuoltoïrcha ncun debeausemblant	-|---|---|---⌫---|-|---|-------|
ga rissiezdametu n	--⌫------|---|--⌫|
cu rteisch eua ler	--⌫----|--⌫---⌫--|
ki secumbat	-|-|-----|
pur saleieshauc ier	--|-|--|------⌫--|
ote sr elieue si otcoragef ier	---⌫|-⌫-----|-|-|-----|-⌫--|
lescuenbrac e si fait	|---|------⌫|-|---|
uns a l t pl e ner	-|-⌫-⌫-⌫|--⌫-⌫--|
decureçuse liduneuncolpplener	-|--------|-|---|-|---|-----|
delhealmeaorli abatun	--|-----||-|-|---|-|
q uar tier	-⌫---⌫---|
trenche lacoifedel iacerant dublier	------|-|----|--|-------|------|
la iowe en prentod tr estutle	-|---|-|----|-|--⌫----|-|
lesdenzenuit umb lanchï er.	--|---|-|--|-|-⌫-------⌫-||
parde u ditotesissi d eitl	--|--⌫|--|---|---|-⌫--||
umchanchier	-|--------|
co lppur c o lee	--⌫-|--|-⌫-⌫--|
bien semblez h u mme qu iuoil lieeschiner .	---|------|-⌫-⌫--|--⌫|----⌫--|-------||
netaueram es	-||----|-⌫-|
a lfamiemes ter	-⌫-----|---⌫--|
ia mes pu c elen eteuoldra baiser.	-|--|--⌫-⌫--|-⌫|-|-----|-----||
l isar azin estdurement	-⌫|---⌫---|--|-------|
bien set queia mesencurtn ert	---|--|--|-|--|-|---||--|
tient melleeduntli punt fu	----|-----|---|-|---|-|
i aerta otessiruiste cops	-⌫|--||---|-|-----|---|
si deun enpense	-|--||-|----|
s uebuntez	-⌫-|-----|
duntch arlesertdolen ze si ba rnez.	---|--⌫----|--|-----⌫||-|--⌫---||
libon cunuersnes tpasespuntez	-|--|------||--⌫|--|-------|
a inz estplusfiersquelïu ns	-⌫--|--|---|----|--|----⌫-|
esfr enez.	----⌫---||
sursunchiefmetsunforte sc u	--|--|----|--|--|---|-⌫--⌫|
clare li fiert	-----⌫||----|
cumh ummeforse nez	--|-⌫---|-----⌫--|
parm i letr en che	--|-⌫|-|--⌫--⌫--|
sinalesclososte z	--||--|---|----⌫|
le h ealm eli fent quefua	-|-⌫----⌫|-|---|--|-||
deskalacoife estlibranc	---||-|----|--|-|----|
ne fustle h a lbercque	-|---|-|-⌫-⌫----|--|
tant est serrez	---|--|-----|
puriustene serreitdemandez	--|----|-|------|-------|
m esnepuroec si fo rmentestquas sez	-⌫-|-------|-|--⌫----|--|----⌫--|
mailles estli san cu o lez.	------|--|-|---⌫|-⌫-⌫--||
parfeifeto testropestcist	--|--|--|-⌫--|---|--|---|
colpalez .	---|---||
or e u eiio	--⌫|-⌫-|-|
bienquede r ien	---|--|-|-⌫--|
par seintdenisiat iert	--|----|----|-||---|
guerdune z	--------⌫|
partelmesuresi bi enne uusgua rdez.	--|--|-----|-|--⌫-|-|--|---⌫---||
iamespurmirene s er rez bien sane z	-|--|--|---|-|-⌫--⌫--|---|----⌫|
otinelru ille	-----|--⌫---|
les oilz demaltalent	--|---|-|--|-----|
decureçuse lidune un	-|--------|-|---|-|
co lp pes ant	--⌫-|---⌫--|
senestrelia ietél e	-------|-||----|-⌫|
ha lberc luisan t	--⌫----|------⌫|
trenc helesmaile s etutle	-----⌫-|--|-----⌫||--|-|
d eskenla ter refaitculer	-⌫--|-|-|---⌫-|---|----|
cilnese poetmesteniren estant	--|-|-|---|--|----|-|-----|
mo rtc hiet a terre l almesenueit crian t	--⌫-|-⌫---||----||---||-|---|-----⌫|
sunseingnurma ldiant.	--|-------|--⌫-----||
otes escrie munioiëpasseauant	---|-----|-------|----|----|
pai ensdefipuramur belisen t.	---⌫--|---|--|---|-------⌫||
f r anceissu ntlée sarazin sdol a nt.	-⌫-⌫-----|--⌫-|--||-------⌫|---⌫-⌫-||
lireis garsieam ult tost ent endu	-|---|-----||-⌫--|---|---⌫---|
kel ipa ienestm ort	-|-⌫|--⌫--|--|-⌫--|
tantest dul antun que smessin e	---|--|---⌫--|--⌫---⌫|--|-|-⌫|
oï clar elcum iot	--|----⌫-|--|-||
cil quita mort m a el qu or feru	--|--|||---|||-|--⌫-|---|
fi ll ie alfamieia mes n aueras tel	--⌫--⌫-|------|-|--||-----|--|
siuine luengenemeprisun festu	-|-|--⌫|----|-|-|---|-|----|
pren t dulceioi esilson e par u ertu	----⌫|--------⌫|--|---⌫|--|-⌫---|
setmiliegre dlesli	--|----|---⌫---|-|
respune ntmen u .	-------⌫-|---⌫||
uintmilliesuntaprimer chiefeissu	---|-----|---||-----|----|----|
deceusderie ren	-|---|-----⌫-||
enes t nulcun te	-|--⌫|--|---⌫-|
kituit manacentcha rle leuielz chan u	-|---|-------|---⌫--|-|----|----⌫|
rolla ntlecunteeoliuer sundru.	-----⌫-|-|----||-----|--|--||
nostr e enperer ea	-----⌫|-------⌫||
sagentaius te e	-|---|----⌫--⌫|
fistduze es cheles de	---|---|--⌫-----|-|
sagen t honure	-|---⌫|-----|
kidebat ail lee st tutdisapre s t ee .	-|-|---⌫---⌫-|-⌫-|--|--|----⌫-⌫-⌫-||
aui nt milehummes	|--⌫-|---|-----|
estlim e nuraesmee	--|-|-⌫-⌫--|-----|
roll ant estlap r i mereliu eré	----⌫--|--|-|-⌫-⌫-⌫---|---⌫---|
d e se sdefrancede cumbatre sa gre e	-⌫|--⌫|-|-----|-|-------||-⌫---⌫|
paiena uer u ntm u ltmale des tinee.	----|-⌫---⌫-⌫-|-⌫-⌫-|---|---⌫----||
le fiz pepina ordanésa g ent	-|--|----||------|-|-⌫--|
biensunt armécha sc un ason talent.	---|---|----|---⌫--⌫-||--|-----||
lire ischeualche	-|--⌫-|--------|
surun dest rierf erant	--|-|----⌫---|-⌫----|
pargrantue rtuas estr iussestent	--|----|--⌫--|-|----⌫--||-----|
naim u nape lesilidit en	----⌫-⌫|---⌫-|-|-|--|-|
ducdebo nairemens e inie	--|-|--⌫|---||---⌫-⌫---|
detelsseruises m	-|---|-------||
auez faitplu sde c ent .	---|---|---⌫|-|-⌫--||
po rtele siresiuusdurrai uolant	--⌫--|-|---|-|--|-----|-----|
munbondestr ie r que uuscu ueitez tant .	--|--|-----⌫--⌫|--|--|--⌫-----|---||
cha stealsu u s uesthui par	---⌫-----|-⌫-⌫|---|--|--|
cestg uant .	---|-⌫---||
a testmoni epe r nezguinema nt	|--------⌫|--⌫-⌫--|-------⌫-|
percheeg efrei lenorm ant .	-----||-⌫----|-|----⌫--||
sir efa it il tut	---⌫|--⌫-|-|--|
a uostrecumant.	|-----|-----||
purbienportern i perdrezni ̈ent.	--|---|-----|||------|--⌫---||
f ranceis se uont lurost	-⌫------|-|---|--|--|
otesseueit	---|-|---|
desuzun arbr e arm e r	----|-|----⌫|---⌫-⌫|
descudehealme lestoetr enuueler	|---|-|-----||-----|-⌫-------|
mesbelisentli	--|-------|-|
f eitaporter.	-⌫--|------||
odluise ueitgeri nd e	-|--|-|---|----⌫|-⌫|
se int omer	--⌫--|---|
fromunddartoisegarinde munt cler.	------||-----||----|-|----⌫---||
adubezest s i remunteliber	-----|--|-⌫|------|-|--|
pr istun enseinie pur franceis	--⌫--|-|-------|--|-------|
cunforter.	--------||
lorescomande	----|------|
sesol ifan z soner	--|--⌫----⌫|----|
sifontmul t haltementecler.	-|---|---⌫|--------||---||
uers laba tal le	---|-|--⌫---⌫-|
co me nc entaerrer .	--⌫--⌫--⌫--||----||
lurfier ost	--|---|--|
paen assembler	---|--------|
el urcompaingniesuersnosfran ceisturner	|-⌫-|-----------|---|--|----⌫---|-----|
nesailenumbre conter .	-|--|-|-----|-----||
lurest and artfai tga rsieleue r .	--|---⌫---⌫--|---⌫|--⌫---|----⌫||
dien tpaienalumacelsiuster	----⌫|----|---||---|-----|
f aisum noslancesen	-⌫----|--|-----|-|
lur e sc uzhur te r.	--|-⌫--⌫-|---⌫--⌫||
uieng ent a uant cilleger bacheler	-----⌫--|-⌫---|--|----|-------|
cilque de fr anceseuoldrunt enhe riter	--|--|-|--⌫---|-|-------|-|--⌫----|
as branzdasce rlauiengent	-|----||----⌫|-|-------|
aqui ter .	----⌫--||
nostre estlechampbienles poümmater.	-----|--|-|----|---|--|----|----||
nozfranceischeualchen tfierement	--|-------|----------⌫|--------|
paienm ul tor g uillusemen t.	----|-⌫--⌫|--⌫-⌫----------⌫||
delostsenp ar unturc	--|--||-|-⌫-|-|---|
priueement	---------|
al reigarsie ade mandéle guan t	-|--|-----||--⌫-----|-|----⌫|
delprim ercouppuroc cire	--|----⌫-|---|--|--⌫---|
uoliu eruotele	|----⌫-||--|-|
que l kilencuntrenirraaltr equera nt	---⌫||-|-------||---|----⌫|-----⌫-|
seitchiermont é	---|----|----⌫-|
que li ueita talant	--|-|---||-----|
decheresarmesestarmé gentement	-|-----|----|--|----|--------|
decu nuissa nssemblebiennormant	-|--⌫------⌫-|-----|---|------|
dun d rap dese ie ke firentsulïant	|-|-⌫--|-|--⌫-|-|-----|-------|
atutcuuertsunh alberreluisan t	|--|-----|--|-⌫----|--------⌫|
esischeuals siq uinipiert	|--|------|-|-⌫-|||----|
lialigo duont a	-|-----⌫|---||
te r r e ferant .	--⌫-⌫-⌫|-----||
port e une mace ensunbraz pen dant	----⌫|--|---|-|--|---|---⌫---|
k illid una al matinenri ̈ant	|-|-|-⌫--|-|----|-|--⌫---|
la fill ieal	-|----⌫-|-|
reicursabledamï ant.	--|-------|-----⌫--||
purlapucele a	--|-|-----||
pri s telh ardement	---⌫|--|-⌫-------|
dunt il murradeuant	---|-|----|-----|
midi sonant.	---|-----||
lahanstea redde	-|-----||----|
atrenchant	|--------|
egunfanun quiuen te laluent	|-------|--|---⌫--⌫|-|---|
siestferméa quatreclos	-|--|-----||-----|---|
d argent .	|-----||
le cheua lbrochel ic heual se	-|-----⌫|-----|-⌫|-⌫----|-|
en ue rslé noz	--⌫--⌫-|--|--|
seuait e spurunant	-|---|-⌫--------|
e strollant	-⌫-|------|
h ui encestiur	-⌫-|-|---|--|
uusfrai multdolant.	--|---|---|-----||
cum batrai parmuncorss ulement	---⌫-----|--|--|---|-⌫------|
q uefrance estnost reeag arsieapent	-⌫-|-----|--|----⌫-|||-⌫----|----|
necharlem ainenide i t auer	-|-------⌫---|||--⌫-⌫|---|
estreiore uien siledefend.	--|--|--|---|-|-|-----||
rodl antl ententsiamuétalent	----⌫--||-----|-||---|-----|
enuers letur cs eueit esp urunant	-----|-|---⌫|-⌫|---|---⌫------|
lancelieue	----|----|
etraitlescuau ant .	|----||---|--⌫--||
ia ertlaiu ste	-|--|-|--⌫--|
d eusdouscerteinem ent	|--|---|---------⌫--|
de nosfranceisuuntlesr einesfremi ssant	-|--|-------|---|--|-⌫----|-----⌫----|
li plus hardiuoldre itestreau ant.	-|---|----|------⌫-|----|--⌫--||
mar t oires fier trollantensun	---⌫-⌫----|----⌫|------|-|--|
de suzlabuclel i	--⌫--|-|----|-⌫|
tren chelesmaillesalfort espe ́	----⌫--|--|------|-|---|----⌫|
pr esdel costéleli aabatu	--⌫-|--|-----|-|-||----|
chemi sed edesurlachar nu	-----⌫-|-⌫|----|-|---|-|
sundestrees triuliadelpiétolu	--|-----|--⌫---|-||--|---|---|
en p eint lebien mesneliua lt un festu	--⌫-⌫---|-|---|--|-|-|--⌫-|-|----|
la han stebriselequ ons	-|---⌫--|----|-|--⌫--|
la sif eru	||-|-⌫--|
desur larcelk il le portepa r uertu	----||----||-|-|----|--⌫|----|
u ltrelen pas seli b onfer	-⌫---||-|---⌫-|-|-⌫-|--|
mancedarmurn e halbercqu aituest u	----||----|-⌫|------|-|--|----⌫|
mieen cun tremort unfes tu	--|--⌫---⌫--|---|-|---⌫-|
le p izl i piercele quor	-|-⌫-|-⌫|-----|-|---|
li afen du	-||---⌫-|
e npeintlebien m ortlatabatu	-⌫-----|-|---|-⌫--||-|----|
munioie e scrie paienl unt entendu .	------|-⌫----|----||--|------||
dous mozli	---|--|-|
ditbien uus aiconu .	--|---|--|-|---||
france nier t paruusplaitenu	-----||---⌫|--|--|---|---|
charlesadreituusl	------||----|--||
auez perdu	---|----|
almua flekimaragundefu	-----⌫--|-|--------|-|
par mahu m etcestiauum perdu .	--|----⌫-⌫-|----|---|----||
cestrollantkilnu sa	|--|------|--|--⌫||
siionelueng	-|-|--|---|
multser raicunfundu .	---|---⌫--|-------||
sele isseaoliuer	|---⌫---||-----|
e l iquonsbroc he fauuelsun	|-⌫|----|----⌫-|-----|--|
bo ndes trier	--⌫|---⌫----|
li sarazinf iert lefizrei ner	-|------|-⌫---|-|--|---⌫--|
lesculipie rcesi faitles e s p leier	|---|-|---⌫--|-|---|--|-⌫|-⌫----|
centmailles	---|------|
t renchedelb onh albercdublier	-⌫-----|--|-⌫-|-⌫-----|------|
que delcostélifai t le sanc raier	--|--|-----|-|---⌫|-|---|----|
elidruz charle lefiert par	|-|---|-----|-|----|--|
kes isescuznel uiualtunden ier	-|-⌫-|----|-|-⌫-|---|-|---⌫--|
cheualslarein ie	------|-|----⌫-|
d unprunier.	|-|------||
elcorsl i metlenseine	-|---|-⌫|--||------|
mo rt la batide liez u n rochier .	--⌫-||-⌫---|-|---|-⌫|------||
muntoieescrief ier ezicheualer.	------|-----|-⌫---⌫-||-------||
de s or eifierentfr anceis ebeiue r	--⌫|--⌫||------|--⌫-----||-----⌫|
e loerencal em an	|------|--⌫--⌫-|
normansefrancsflemen gse	------||-----|------⌫-||
ber ruier.	---⌫----||
mult otgran tbruit al	---|-|----⌫|----|-|
gunfanunsb eisser.	--------|-⌫-----||
a uant se t raient cilkicurageont	-⌫---|-|-⌫-----|--|-|-----|--|
me slicuartnore nt	--⌫|-|----||---⌫-|
i luecmester.	-⌫---|-----||
lihardifu n tlesescuzpiercer	-|----|--⌫-⌫|--|----|------|
el eshalbercsrumpreede smailer	|-⌫-|-------|-----||--⌫------|
l esha nstesreddesel uermeilsanc banier.	-⌫-|--⌫----|-----|-|------|---|-----||
murenteuersent	-----||------|
cil auf erant d estrer	--|---⌫----|-⌫-----|
estrae fuient cilb arun cheuale r	-----|-----|--|-⌫---|-------⌫|
ass ezenpr ennent	---⌫-|-|--⌫-----|
cilcurteis	--|------|
puisf ut elurequ	---|-⌫|-⌫-|--|-|
grant m ester	----|-⌫----|
q uan t c esfiers	-⌫---⌫|-⌫-|----|
oszsefuren t	--|-|-----⌫|
fruissen tc esh ans tes	--------⌫|-⌫-|-⌫---⌫--|
ecest argesroees.	|--|-⌫----|----||
aprésleslan ces sisac he ntlesespees	-----|--|---⌫--|-|---⌫--⌫-|--|-----|
demaint e nantdunentgrantcolees	-|-----⌫-⌫---|-----|----|-----|
tr enchent ceshealm ese ces bruiniesaf r ees.	--⌫------|--|-----⌫-||--|------|---⌫-⌫--||
morenteu ers ente	-----||-⌫---⌫--||
crient a hëes	-----||----|
duncsunt delcor sles	---|---|--|---⌫|--|
almesdeseueree s	----|---------⌫|
ki purnu lmiren	-|--|--⌫|---||
i erentmeis ass emblees .	-⌫----|---|---⌫------||
de lestendart ke	-||--------|-|
ontlieuésara zi n	--|-----|----⌫--⌫|
sunt d eparti dis mile bar ba rin	---|-⌫-----|--|---|---⌫--⌫--|
a ithalbercdub lent in	-⌫-|------|---⌫----⌫-|
es cu e hea lm ee gunfanunpurprin	--⌫-||---⌫--⌫||-------|------|
ue rma il u b l anc u	--⌫---⌫-||-⌫-⌫--||
uertu samin.	---||----||
alfanlesguieunduc depalestin	----|--|---|-|--|-|-------|
portelenseiniealrei	----||-------|-|--|
alepantin.	--------||
manseislesfiere nt emettentel	------|--|-----⌫-||------|-|
turkeisi treient saraz in	------||------|-----⌫-|
lacentl urguiuresedarztein t en uenim	-----|-⌫-|------||---|----⌫|-|----|
otessafiche ases e striu s d orf in	---||-----||--|-⌫-----⌫||-|-⌫-|
parlesena rmes	--|--|---⌫---|
prent l escubel ueis in	----||---|---⌫----⌫-|
brandit salancealgunfanun sanguin	------|-|----|-|-------|------|
fait unepui nte alre ide pal estin	---|--|---⌫--|-|--⌫|-|---⌫----|
la ta rgefierta lfa n suncu sin.	-|--⌫--|----|-⌫---⌫|--|--⌫--||
lehalb erc des cire	-|----⌫--|---⌫---|
albo nferascerin	-|--⌫|--|------|
par milecorsli metlefu st	--|-|-|---|-|--|-|--⌫-|
tresturne ala terres uuin.	--------||-|----|-⌫---||
esuusai ustés gefreiemorin	-|--|--⌫-----|-----||----|
seiese bou elefizgaunin	----||---⌫|-|--|-----|
mo rtlef eld ebarbarin	--⌫-|-|-⌫-|-⌫|-------|
huged e seies amortbalsadrin	---|-⌫|----||---|--------|
odepristu e n gan cedun felu nbarb arin	--|----|-⌫-⌫-⌫---⌫-||-|----⌫|----⌫---|
kamisamo rt	||--||--⌫-|
guin emandes alin	----⌫---|-|-⌫---|
mortle trestu rne deuant	---|-|------⌫--|-----|
al e pantin.	--⌫-⌫-----||
munioi eescrie oreauantpeiteu in	------⌫|-----|--|----|------⌫-|
niguarramespaiennesarazin.	||-----|--|----|-|------||
d u n mun taualeli reis	|-⌫|---⌫|----|-|---|
une batallea mei nedatropez .	--|------|-⌫---⌫-||------||
s untsis guiebarb arez	-⌫--|--|---|----⌫---|
deskalferirles meinet uzserrez.	---|-|----|--|----|-⌫-|-----||
li quonselinsl i es t e nc untre	-|----|----|-⌫|--⌫|-⌫--⌫----|
aquatrecentdebretuns adurez.	|-----|---|-|------|-----||
neel dena ntes uie nttut	---|-|--⌫---|---⌫-|--|
malloescriefrancscheualersfierez	----|-----|-----|--------|-----|
gui decustancesia bigoz	--|-|--------|||----|
a setcent healme s les	|--|---|------⌫|--|
gunfanunsleuez .	--------|----||
iaiaueraduns ed	-||----||--|||
al trespasmez.	--⌫---|-----||
troia sli bers est	-----⌫|-|---|--|
amal fruiti ustez	|---⌫----|-⌫----|
lipaienzp orte quatredarz enpennez	-|-----|-⌫---|-----|---|-------|
de l unlan cequep lusest	-||-|---⌫-|--|-⌫--|--|
pargrant ue rtulaescus li m alfez	--|----|--⌫--|||----|-|-⌫-|--|
atroi anstrei t	|----⌫--|----⌫|
mult bienla t assenez	---|---||-⌫|------|
lefentsia l esquirsseuerez	-|---|-||-⌫-|----|------|
del bon halber catles	--|--|------⌫|-|--|
pleizdescloe z	----|-------⌫|
parmilaquis se estli darz uolez	--|-|-|----⌫-|--|-|---|----|
troiaas l efiertc um	------|-⌫|----|-⌫-|
uas salad ur ez	---⌫--|--⌫--⌫-|
n e lpo t g arires cu n aubercsaffrez	-⌫-⌫|--⌫|-⌫---|--⌫-||-----|------|
liferdelahanste	-|--|-|-|-----|
lieste lcors e ntrez	-|--|-⌫|---|-⌫----|
mortl a batisiest	---||-⌫---|-|--|
ultr e p a ssez	----⌫|-⌫-⌫---|
meisal trauers laferucorsabrez	---|-|------|||---|--------|
suzlamammelee parmiles costez	--|-|------||--|-|--|-----|
liale spleiz del g unfanunbut ez.	-||--⌫|----|--|-⌫------|---⌫-||
lifen tle uassale st	-|---⌫|-|-----|-⌫-|
deusenaitlalm e	---|-|--||---⌫|
a lafi nestalez .	|-|--⌫|--|---||
liquo n selein suienttuteffreez	-|---⌫-⌫|-----⌫|----|--|------|
formentleplein tkardesasoer	------|-|-----⌫|--|-|-|---|
esteitnez .	-----|--||
i aleuengast b i en delrei co rsabrez	-⌫|-|------|-⌫-⌫-|--|--|--⌫------|
trauersees tue n ubar bez.	-------|--⌫|--⌫-⌫|---⌫--||
liquonseleins sesta	-|----|-----||--||
luiturn ez	--|----⌫-|
br andist salanceduntleferest	--⌫-----|-|----|---|-|--|--|
l escu li perce kest	|---|-|----||--|
enturli stez	----|--⌫---|
arichespi erese	|-----|--⌫---||
a orneelez .	|-|-----||
mort letresturne sili	---|-|--------|-|-|
distoretenez	---|--|----|
mielzu usu enist kariere	----|-⌫-|-⌫----||-----|
ussez estez.	----|----||
beilsest li iurs	----|--|-|---|
si estmul tpassez	-|--|---⌫|-----|
dela pudr ere enest l iairs trublez.	-|-|----⌫--|-|--|-⌫|---|------||
paienscaplissentsi estliolz m untez	-----|---------|-|--|-|--|-⌫----|
c o rnent ecrien t si funtgrantta bur ez .	-⌫-⌫----||-----⌫|-|---|----|--⌫---⌫-||
iekendirailes nozon tfort	-||-|----|--|--|--⌫|---|
una rp en tlesnozont	-|-⌫--⌫--⌫|--|--|--|
kunquesniout	|-----|||--|
h a lbercn e scuturnez.	-⌫-⌫----||-⌫--|-----||
auerench es iestamortliue r ez	--------⌫-||--||---|----⌫-⌫-|
de bl eiue sd edouspar zenpenn ez	-|--⌫----⌫|-⌫|---|---⌫|------⌫-|
neuiue ra guereska r	-|----⌫-|-----|--⌫|
ilene st pasmez .	-|-|-⌫-|-----||
guidecustancesiale	--|-|--------|||-|
ch iefcolpez	--⌫--|-----|
tebald de r uesedes	-----|-|-⌫--||--|
altres assez.	-----|----||
ia c i st damage neniert restorez	-|-⌫-⌫-|-----|--|---|-------|
u ns esquiersquia	-⌫-|-------|--||
nu namire z	--⌫|-----⌫|
uauassur e stsi est	-------|-⌫-|-|--|
deparisnez	-|----|--|
fizadroünlirichedesfossez	--||-----|-|----|--|-----|
centdamisalsa o d sei a iustez	---|-------||-⌫|--|-⌫-----|
tutl ipl us uieln	--|-⌫|--⌫-|---||
ake u i nt	|-|-⌫-⌫-|
anzpassez.	--|-----||
armes ontprises desmorzqu	----|--|-----|--|---|-|
il ont t rouez	-|--|-⌫----|
delur bliauzuntgun f anu ns	-|--|-----|--|---⌫-⌫---⌫-|
uei entlesnoz	---⌫--|--|--|
uenirtuteffree z	----|--|------⌫|
passen tauantsis ontreturn ez	------⌫|----|--|--|------⌫-|
pargranteff orz	--|----|---⌫--|
ontpaiensreculez	--|-----|------|
q uatrear p enz	-⌫----|--⌫-⌫--|
de terremesure z .	-|----|------⌫||
desabatuz e desaceruelez	--|-----||--|--------|
est t u tlichamppleineenc umbrez .	--|-⌫-⌫|-|----|----||---⌫-----||
lezunpareis	--|-|----||
aresteit c orsabr ez	-------|-⌫------⌫-|
sensei nieescriepaien a mei estez	|-----⌫--|-----|----||--|----|
les cu enb raceu er sles	|--⌫-|---⌫---|-⌫--⌫|--|
noze stalez	--|-⌫-|---|
par gra nt	--|---⌫-|
uertuestases tr i us ferme z.	----|--|-|--⌫--⌫-⌫-|-----⌫||
ia eust lesnoz granm en t	-|---|--|--|-----⌫--⌫|
quantenlesc ulaferuamirez	----|-||---⌫|||---|-----|
ue rtukensunfrun t l atentez	--⌫--||-|--|----⌫||-|----|
de su zle halmea l	--⌫--⌫|-|----|||
un desoilz quass e z.	-|--|---|-----⌫-⌫||
li pai enestdelcolpesp o ntez	-|---⌫-|--|--|---|---⌫-⌫---|
nenasucurstutestabandunez	--||-----|--|--|--------|
ignelementle	---------|-|
sa isista mirez	--⌫----|-⌫----|
t reisbonsuassalsa	-⌫---|---|------||
çoestgal din efauch e tli hastez	--|--|---⌫--||-----⌫-⌫|-|-----|
edaigr emunt	||----⌫----|
baldewinlafïez	-------||-----|
franc e squier	----|-⌫-----|
icest re ime pern ez	----|--⌫|-|----⌫-|
ga rdeznim urenen eseitafolez	--⌫---|||-⌫--|-|-⌫|---|-----|
ach arlemeine mun s ein gnurlerendez	|--⌫--------|--|-⌫---⌫---|-|-----|
ma partm ult	-|---|-⌫--|
bel lepre sent ez.	--|-|---⌫----⌫-||
e cilrespune nt	|--|-------⌫-|
sicumuu scomandez.	-|--|--⌫|-------||
mult iustentbienlesnoz asatrope z	---|------|---|--|--|-|------⌫|
li turnei tutmellez	-|-----|--|-----|
parlesucurs des nouelsadubez.	--|-|-----|--|-----|-----||
cen ti sun tiades	---⌫||---⌫|-|--|
a b atuzm untez	-⌫-⌫---|-⌫----|
kepuis i ferentdes b ons	-|---||-----|--|-⌫--|
bra n z ascerez.	---⌫-⌫|------||
hue deneuersesta	--|-|-----|--||
podras turnez	-----|-----|
pa ien f ier e	--⌫--|-⌫--||
desme s urez	-----⌫-⌫---|
d e f elun sesttrestutsipa rentez	-⌫|-⌫----⌫|--|------|-|--⌫-----|
asdames e st l ifelac untez	-|----|-⌫-|-⌫|--|--⌫----|
despuce le sfuplei nt e regretez	--|----⌫--⌫|-|----⌫-||-------|
citéfug rant d oeldemenez	----|-|-⌫---|-⌫--|------|
nos france isenpei rez.	--|------⌫-|-----⌫--||
fie rt cumuassales pruuez	---⌫-|--|-----|--⌫-----|
am untelheal meque	--⌫--|-|----⌫-|--|
fua orbendez	-||-|-----|
desk as es pallesliestlibranz	---|-|--⌫-----|-|--|-|----|
l icor schietiusc i faillent sesbunte z	-⌫|---⌫|----|--|-⌫|-------|--|-----⌫|
mall oescrielesbr etunsaturnez	----⌫|-----|--|--⌫----|------|
deusaidezore ao te sle	---|----|--||-⌫--⌫|-|
ia seiseruntle nseinebarbarez	-|--------||-⌫-----|-------|
partf u li cha mtutliue r ez	---|-⌫|-|---⌫|--|----⌫-⌫-|
mes nep otestrei les t	--|-|-⌫-|----|-⌫|--⌫|
aliu rsmell ez	----⌫-|----⌫-|
a lestandardt reisfeizalez	-⌫|--------|-⌫---|---|---|
a quatrerei sa leschefscolp e z.	|-----|---⌫||--|----|----⌫-⌫||
l irei sgarsi e	-⌫|---⌫|-----⌫|
ena dita par an t	-||--||---⌫--⌫|
unfelpaienquedeunaimenïent	-|--|----|--|--||---|-----|
frerefa itilmult mesta malement	----|--⌫-|-|---||---|-------|
barunsdunt ail e quor	-----|---|-|-⌫|---|
keot esat o ccismesoilzueant.	-|--⌫-|-|-⌫---|--|---|----||
murrai dedoel siiomult ha l t	-----|-|---|-|-|---|--⌫-⌫|
n el pent.	-⌫-|---||
cilcharlemaine meme in e	--|----------|-|--⌫--⌫|
kitient m aterreestre muntale nt	-|----|-⌫|----|----|--|----⌫-|
corunepo r te senmuncomandement .	-----|--⌫-⌫-|--|--|----------||
sien b ataille nelfazuirecre a nt	-|-|-⌫------|--|--|-|-----⌫-⌫-|
ia mesen franceneuoila uern ïent.	-|--|-|-----|-|---|-⌫--|-⌫----||
sirefait ilma nacezoreforment	---|---|-|--⌫----|--|------|
charles estpresueezle ci	------|--|---|---|-|-|
lasue flambeuusueit mult aspresma nt.	-|--|-----|--|---|---|--------⌫-||
g rantpoü rai desunneu u	-⌫---|----⌫|-|-|--|---⌫|
ioluiu i m atin	--|-|-⌫|-⌫---|
tut acele e ment	--||----⌫-⌫---|
u ilferisurlehealme balan t	|-|---|--|-|-----|-----⌫|
tutpurf endilum me el auferant.	--|----⌫---||--⌫-|||-------||
tel poü roike menalai fuiant.	--|----⌫|-|-||-|---|-----||
lir ei sap elebeldu it	-|-⌫--⌫|--⌫--|-----⌫-|
pernezdestur cs tantkeseiezcent	-----|--|---⌫-|---|-|----|---|
gardezlesturcs q uenu l	-----|--|----|-⌫-|--⌫|
n al gef uiant	|--⌫-|-⌫----|
cil quifu ierasi li feites itant	--|--|--⌫---|-|-|-----|----|
q uei ahonurnaitmes asunuiuant.	-⌫-|-⌫|----||--|--||--|-----||
grantestlanoise	----|--|-|----|
multsun tlicoppesant	---|---⌫|-|--|-----|
ela bataille	|-|-------|
mene ́ e s tre i te ment.	----⌫|-⌫-⌫---⌫-⌫--⌫---||
liquo n srollantueitlespressescerchant	-|---⌫-⌫|------|---|--|------|-------|
adurendalue itl es rencsdeperçant	|-------|--⌫-|-⌫-|----|---------|
k ilcun siutmalueis	|-|---⌫---|------|
multf ie rentbien beiuerealem ant	---|-⌫--⌫---|---|-----||----⌫--|
e bu rguniunefle mengenorm a nt	|--⌫------||---⌫---||----⌫-⌫-|
granzcolpsirendent	----|----||------|
franceisdemeintenant.	-------|-|---------||
lipaienfie rentd esmesurement	-|----|---⌫---|-⌫-----------|
alestandardnunt defuirtalant	-|--------||--|-|---|-----|
nenaiment pa s t riwe naco rdeme nt	--|-----|--⌫|-⌫---||---⌫-----⌫-|
kientrelschietmal	-|---|--|----|--|
