quiweultoirsarm on	--|----|--|----⌫-|
cascunsior sacrefi	------|--|------|
aundieuemquii e	|-|---|-|--|-⌫|
aih esuscrist	|--⌫--------|
qui t rest otfist	--|-⌫----⌫-|---|
e tenmoncorsametramist	-⌫|-|--|---|--|------|
etmedonnesens	-|-|----|---|
parc en li	--|-⌫-|-|
o ffremores on	-⌫---||----⌫-|
n ewo ilno ien te streb ouchi er	-⌫|--⌫-|--⌫---⌫|-⌫---|-⌫-----⌫-|
ochir rebestes nescorchie r	-----⌫-|-----||---------⌫|
newoi laudeableobeir	-|---⌫|-|-----|----|
nemon criatordeguerpir	-|--|------|--------|
ihesum qu i par	-----|--⌫|--|
sagrantuertu	-|----|----|
mafemmeetmesfix marendu	-|----|-|--|--|||----|
lui so laor etcriem	--|--⌫|--|-|----|
iamesen autren auraifoi	----|-|----||----|--|
quantcen ente nt	----|--|----⌫-|
degrantire so n cueresprent	-|----|--|--⌫|---|------|
silli faitt olirlebaudr e	--|-|---|-⌫---|-|-----⌫|
ke traianuslioutdonné	-|-------|-|--|-----|
en signede cheua leriee	-|----|-|-----⌫-----|
kantill irendi sabaillie	---|-|-⌫|----|-|------|
etla hor sdel	-|||---⌫|--|
temple esloignié	-----|---------|
ausicomme un escumenié	---|----|-|---------|
safemmeetse s	-|----|-|--⌫|
fixensement	--|-------|
a faitseurerdel	|---|-----|-||
puisenma in t senzlesquestione	---|-|--⌫--⌫|---|--|--------|
etplus or sfoizl es araisonne	-|----⌫--⌫|---|-⌫-|--------|
mes quant uoitquiln	--|----|---|-|-||
espuet muer	-|---|---|
ihesu lorfoi	----|--|--|
el riuag eles f aitme ne r	-|-----⌫|--|-⌫--|--⌫--⌫|
po reuz durement tor men ter	--⌫|--|-------|---⌫---⌫--|
unlyon deslieer	-|---|-------|
poreulzdeuorer etmaingier	--|---|------|-|-------|
kantl elyonles aperchu t	---|-⌫|---|--|-------⌫|
ogranti reuerseulz	|----|-⌫-|---|---|
mesquantil sen	--|----|-||-|
fuapresmié	-|--------|
uerseulz sesttant humi lié	---|---||--|---|----⌫---|
kermon thumblem entl orclinna	--|---⌫|-------⌫--|-⌫-|-----|
et tout em pes senretorna	-|---|-|--||-|------|
l emperereq uantchaueu	|-------|-⌫---|-||--|
porlamerueilleesbahifu	--|-|--------|-----|-|
decen que nestouchala beste	-|--|--||-|-----|-|----|
fr onched elnescrollelateste	--⌫----|-⌫-|--|-----|-|----|
puispargrantireacom man dé	---|--|----|--||---⌫---⌫--|
fust u nretost alumé	---|-⌫|-|---|-----|
porle buefd a reimescaufer	--|-|---||-⌫---|-------|
quilauo i t fait por tormenter	-|-|---⌫-⌫|---|--|--------|
les crestiens q uemont haoit	--|--------|-⌫-|---|----|
ete n telsenstouzuisardoit	-|-⌫|--|---|---|--|-----|
command é qu il soitp ris	-------⌫-|-|-|---|-⌫--|
eustaceet ses	------|-|--|
etquilsoientmisel	-|-|-|-----|--|-|
etsafame tou t	-|-|---|---⌫|
pueplede lachite	-----|-|-|----|
p or uooirasse mbl é	-⌫-|----|----⌫---⌫-|
comment ilserontelbu efmis	------|-|-----|-|--⌫-|--|
quiencelree st oi tespris	--|-|--|-|-⌫--⌫--⌫|-----|
ol espaainsuenuison t	|-⌫-|-----|---||---⌫|
l i crestien qui	-⌫|-------|--|
grant duelfont	----|---|---|
ainzquelisaintfussent entr é	---|--|-|----|------|----⌫-|
a reimq uiiertelre	-⌫---|-⌫-|---|-|-|
ceul z quillesmeinnentalt orment	----⌫|---|--|-------|-|-⌫-----|
prie nt quaienttant de souffrement	----⌫-|-|----|---|-|----------|
keih esum cristpui ssentorer	-|--⌫----⌫----|---⌫----|---|
etluiprier etennorer	-|--|----|-|------|
p uisu ontaterresim p lement	-⌫--|-⌫--||----|---⌫-⌫-----|
et prientdieudeuotement	-|-----|---|---------|
dexf ontil	--|-⌫--|-|
quien tri ni te	--|-|---⌫--⌫-|
mainsentahaute	----|-|-|----|
qui sanzmatieretoutfeis	--|---|------|---|---|
etho mme et	-|--⌫--|-|
fame enpareis	---|-|-----|
posasme spar le	----|--⌫|--|-|
fruitmortal	----|-----|
des ce ndir entenicest ual	---⌫--⌫----⌫--|-|----|--|
enter reoufaiss onpenitan ce	-|---⌫-|-|-----⌫-|-------⌫-|
del despit delobedianche	--|-----|-||---------|
porr est orericelchassal	--|-⌫---⌫---|---|------|
e tpor nosrendre	-⌫|--|--|-----|
bi enpormal	--⌫-|--|--|
f usdeuir gené	-⌫-|-|---⌫-|--|
ete n la c roismis	-|-⌫|-|-⌫---|--|
eti fusmorsmes au	-||--|---|--|-|
resuscit asparteluigor	--------⌫-|--|--|----|
ke les portesdenf e rfroissa s	-|--|-----||---⌫-⌫|-------⌫|
amisendeliur as	---|-|------⌫-|
sire otroiez nostreore s on	---|------|-----|---⌫-⌫-|
ke toffro n pardeuoti on	-||-----⌫|--|------⌫-|
nosastoute acomplie	--|-|----|-------|
nostreuolente	-----|------|
kericen no s as consentu	--|---|--⌫|-|-------|
queem s e mb les	--|--⌫-⌫-⌫--⌫--|
so mmesuenu	--⌫---|---|
areceuoirlesaintui ctoire	|-------|-|----|--⌫-----|
k e limarti ront en	-⌫|-|-----⌫|--|-|
ausicommelitroisenfant	---|----|-|----|-----|
quil furentmiselfeua rd ant	---|-----|--|-|--|-⌫--⌫--|
ettonsaint nonne deguerpir ent	-|--|----|--|-|---------⌫--|
mes atoipartoutobeirent	--||--|--|---|-------|
issi nosotr oita	---|--|---⌫--||
icestf eus anton nonguerpir	----|-⌫-|-⌫-|--|--|------|
et nosdonnep arlui	-|--|----|-⌫-|--|
toi puison	--|-----|
di e u porletuenglorioz	--⌫-⌫|--|-|---|------|
anosr elique s faiteldon	|--|-⌫------⌫|--|--|--|
ketouz ceuzquiaurontmemore	-|---|---|--|-----|-----|
denosaie ntparten t agloire	-|--|---⌫-|---|-|-⌫|-----|
terr eaient habun danche	----⌫|----|-----⌫-----|
etdetouz bienscr ois	-|-|---|----|--⌫--|
lor s ust ance	--|-⌫---⌫---|
etseil ont peril enmer	-|-|-|--|----|-|--|
s oiezprochainsa	-⌫---|--------||
e ulzgarder	-⌫--|-----|
siquei luie gnent a droit p ort	-|--|-⌫|---⌫----||----|-⌫--|
et lesgarde	-|--|----|
desoudemo rt	-|----|--⌫-|
etseaucunsafaitpec hie	-|-|-----||---|---⌫--|
dont tusoie zuerslui irié	---|-|----⌫|---|--|----|
e tte pris tpar nos treor eson	-⌫|-|----⌫|--|---⌫--|--⌫---|
otroie e lu iuerai pardon	------⌫|--⌫|----|-----|
et uuoillezquesoi t	-|-------|--|---⌫|
i cestefla metresto r nee	-⌫----|---⌫-|------⌫-⌫--|
k enostrechar	-⌫|-----|---|
nesoit blesmie	-|---|------|
netaintenarse nenercie	-|-----||---|-|-----|
et u osn osotr oi eztransi r	-|-⌫-|-⌫-|---⌫--⌫-|------⌫|
et denos m ortex cors	-|-|--|-⌫----|---|
etn osdonneioie sanz	-|-⌫-|----|---|---|
escieulz en to n	-|-----|-|--⌫|
gloriozregne	------|----|
ettout issicon	-|---|---|--|
kem semb l efusson morsetuis	|--⌫----⌫-⌫|-----|---|-|--|
puisnostremortpartapuissanche	---|-----|---|--|-|---------|
ne uue llezque s oit de seuranche	-|---⌫---|--|-⌫--|--⌫--------|
kan tontlor ores onfeni e	---⌫|--|--|----⌫-|----⌫|
e schielzontune	-⌫|-----|--|--|
quillor adit quessisera	---|--||--|-|---|---|
keia riensn	-|-|----||
ent resp a sse ra	-|-⌫----⌫-⌫---⌫-|
et plusqu enauez demandé	-|---|--⌫||---|-------|
uosest otro i eeetdonné	--|--|----⌫-⌫-|-|-----|
auezsaintement	---|---------|
so ffer tla	--⌫----⌫|-|
peinne etl e tormen t	-----|-|-⌫|------⌫|
delagrantpers ecution	-|-|----|----⌫------|
uosest otroieeicestdon	--|--|------|----|--|
o ruenezrecheiurelagloire	-⌫|----|--------|-|-----|
e t la coronne deuictore	-⌫|-|------|-|------|
q uauezuein c usathan	-⌫|---|----⌫-⌫|-----|
etsonagaitet son ahan	-|--|----|-|--|---|
etporla pe in ne etpor	-|--|-|--⌫--⌫-|-|--|
quaueze uel	-|---|-⌫|-|
pa rdurablebienrecheurez	--⌫-------|---|--------|
que touziors mes s an fin aure z	--|---|---|--|-⌫-|--|----⌫|
parol es on toi	-----⌫-|--⌫|-|
degrantioie sontreple ni	-|----|---|---|-----⌫-|
montu olontiersetde	---|-⌫--------|-|-|
enso ntel feuardantent ré	-|--⌫-|-|--|-----|---⌫--|
mestan tost le feude lessa	--|---⌫---|-|--|--⌫----|
s ag rant ca loret sicessa	-⌫|-⌫---|--⌫--|-|-|----|
et sico mmenchent ac hant er	-|-|--⌫--------||-⌫----⌫-|
enmilefeuet hautetcler	---|-|--|-|---|-|---|
hy nnes et chansdegrantdouchor	--⌫---|-|----|-|----|------|
etloierdie upar granta mor	-|----|---⌫|--|----|-⌫--|
kie st s ouuerrainebonte	-|-⌫-|-⌫---------|----|
et m aintenura ie	-|-⌫---|-|---⌫-|
toute nchantant re ndent	---|-⌫|-------|--⌫----|
lo rsames el f eualumé	--⌫-|---|-|-⌫-|-----|
etdiexlescors si bien	-|---|--|---|-|---|
comquesl efeu niatoucha	|-----|-⌫|--|||------|
nisunch euelnetantneq uant	--|-|--⌫---|-|---|-|-⌫---|
ni athouchalefeuardant	||-------|-|--|-----|
troisiors furentelbuef	----|---|-----|-|---|
tantquelefeil	------|-|---|
demale ma in	-|---|--⌫-|
adrienfist lebues	-----|---|-|---|
o ue sto ient	-⌫|-⌫---⌫---|
lisaintmart ir	-|----|----⌫-|
fure ntt rait defo rs	----⌫-|-⌫---|----⌫-|
ne quidapas quilfu ssent	-|----|--|-|-|--⌫----|
ker ilesto ientblanc etbe l	--|-|----⌫---|----|-|--⌫|
plus q u e n e st	---|-⌫-⌫||-⌫-|
flordelizno uel	---|-|--|--⌫--|
touz ceuzquilen uiro nestoient	---|---|---|--⌫----⌫|-------|
estrangementse meru eilloient	-----------|-|----⌫--------|
qu ilauoientsi grantbeaute	-|-|------|-|----|-----|
e lseuentbi encestdeparde	||-----|--⌫-||--|-|--|-|
lempererequantceno i	|-------|----|--|-⌫|
telpeorotquil	--|---|-|-|-|
et d edenzso n palais	-|-⌫----|--⌫|-----|
omquespuisde sain zn ap risma	-----|---|-|----⌫||--⌫----|
et lepueplequ antic en	-|-|-----|--⌫--|--⌫-|
ke il uec assemble ́ e stoit	-|--⌫--|--------⌫|-⌫----|
ahauteuoizs estes c rié	|----|---||--|--⌫-⌫---|
grantes tledieu demaies te	----|--⌫|-|---|-|-----⌫-|
emquicroie nt licrestien	-|--|-----⌫-|-|-------|
etde lui solnosuienttou tbien	-|-|--|--|--|----|---⌫|---|
estledieude	--|-|---|-|
q uid onneas	-⌫-|-⌫---|-|
suensitel uictore	----|---|------|
fo rche ette lpo i er	--⌫---|-|--⌫|--⌫-⌫-|
kencon tre eu l znepuetf euarder	|-----⌫--|--⌫-⌫|-|---|-⌫-|----|
licrest iendelachite	-|-----⌫--|-|-|----|
ontlors c orsdilluec	--|---|-⌫--||-----|
eten mo nt	-|-|--⌫-|
b ellie us areste rent	-⌫-|---⌫||------⌫---|
ets aintement	-|-⌫--------|
lesc or reeren t	--|-⌫--⌫------⌫|
tou tbele mentetsanzmurmure	---⌫|----⌫---|-|---|------|
ont p a rfaitelorsepulture	--|-⌫-⌫-----|--|--------|
kantseinteeglise	---|-----|-----|
outrecouuree	--|--------|
trestoutelacontree	--------|-|------|
li crestie nogra nt ef fors	-|-------⌫||---⌫-|--⌫---|
fontunmons tierde sus les	---|-|----⌫---|--⌫--|--|
etc ascunsanmont festiua l	-|-⌫-----|-|---|-------⌫|
faitonlafeste	---|-|-|----|
el temporal	-|-------|
si conl i kal len dierl	-|--|-⌫|---⌫---⌫---||
elquart enonede no uembre	-|-----⌫|---|-|--⌫-----|
ora ue z montbriement oie	-|-⌫--⌫|---|-------|--|
desgloriozmartirsla uie	--|------|------|-|--|
et commentil	-|------|-|
secomb atirrent	-|----⌫-------|
con tre deab lequ	---⌫--|----⌫-|-|
ilueinquir ent	-|--------⌫--|
touzceuzquideu z	---|---|--||--⌫|
aurontmemoire	-----|------|
a ientpa rtie	-⌫---|--⌫---|
enla lorglo ire	-|-|--|---⌫--|
etqu illorfeste hennorreront	-|--⌫-|--|----|-----------|
etd euo tementlaferont	-|-⌫---⌫-----|-|-----|
puissentuer sdieu le	-------|---⌫|---|-|
grantl oi er	----|-⌫--⌫-|
d elor prames se aue rier	-⌫|--|------⌫-|---⌫---|
siquilsoientem	-|-|-|-----|-|
i s si comm eillor fu	-⌫-⌫-|----⌫|-|--|-|
etdexlotr oit en	-|--||---⌫--|-|
finuitetregne amen	--|--|-|----|---|
