seulementde son eage etsil	--------|-|--|---|-|-||
flairoitausidouce men tconsil	-------|---|-----⌫---⌫|--||-|
fustenoin s	---|-----⌫|
don gemensfins et	|--⌫-----|---|-|
pr es ieusespie re setcene	--⌫--⌫-----|---⌫--⌫|-|-|-|
uous doiiemie taire	---|--|-|--|----|
samblequeco nstancela s a inte	-----|--|--⌫------|-|-⌫-⌫---|
fe me moruttantostcomeleoi	--⌫-|----|------|--|--|-|
dire queli corssa in ty laires	---|--|-|---|--⌫--⌫|-⌫-----|
estoitpor tés	-----|---⌫---|
em palest i necar	-|------⌫-⌫-|--|
auoits igrantamour en lui	----|-⌫|----|----|-|--|
uilloi tm ou t souuentase pulture	------⌫|-⌫--⌫|------||--⌫------|
etd uscah ui	-|-⌫--||-⌫-|
cestiourai lgrant	---|---||-⌫|----|
estrif entre ceusdecipre	-----|----|---|-|----|
ceusd ep alestinedesain tylairecar	---|-⌫|-⌫-------|-|----⌫|-----|--|
cildepalestin e die ntque	--|-|--------⌫|---⌫-|--|
sescorsesten	--|---|--|-|
lor s paiset	---⌫|---|-|
cildecipre dientque se s	--|-|----|----|--|--⌫|
espirsestenlour pa isc aril	-----|--|-|---|--⌫-|-⌫-|-|
ciprequepalestinesi	----|--|--------|-|
ilen fistap aranceetnompourkant	-|-|---|--⌫-----|-|----------|
tencent ilet	------|-|-|
estriu ent	------⌫--|
m aintbelmira cleetm aints igne	-⌫---|--|----⌫--|-|-⌫---|-⌫---|
auientcascun	-----|-----|
i ourpourlesaint	-⌫--|---|-|----|
hom een l uneet en	---⌫|-||--|-|-|
lautrep artie	|----|-⌫----|
maisplusenauiene nt par	---|---|-|------⌫-|--|
auenture en	-------|-|
ciprelaou ilfupre miers	----|-|-|-|-|---⌫----|
ense ueliscarilama plus	----⌫----|--|-|--|---|
celu isicom	----⌫|-|--|
m oisa mbleensi	-⌫-|--⌫---|---|
trespassa l isainshomdecest e	--------|-⌫|----|--|-|----⌫|
morteluie etfuen ioieparmanable	-----|--|-|-|-|---|---------|
dieux nousdoi nst tou s	----|---|---⌫--|---⌫|
parueni r par sadoucouret pa rsa	-------⌫|--|-|------|-|--⌫|-|
misericorde	----------|
cidefinedela ui esai ntylair eet	-|-----|-|-|--⌫|---⌫-|-----⌫|-|
ci conmence li liur es	-|-------|-|----⌫-|
de leui emonsigne ur	-|-|--⌫|--|-----⌫-|
sain tnicho lai	----⌫|-----⌫--|
