enu nedespartie sdegrecequi	-|-⌫-|--|------⌫|-|----|--|
etdeuozam i squeu os uerroiz	-|-|--|--⌫-⌫|--|-⌫-|------|
ocirrede iorenior h e lasou	-----|-|--|-|--|-⌫|--|-|
seront tan tde	-----|---⌫|-|
prises commeilco nuendra	-----|----|-|--⌫------|
pleustorea dieuquege	-----|--||---|--|-|
onques nee .	-----|--||
tantfesoitgrantduel	---|-----|----|---|
e t demenoittozlesiorz	-⌫|-------|--|--|---|
qu ecee stoit merue illes a touz	--⌫|-|-⌫----|-----⌫----||---|
quilaueoientne nusn ela	--|-|------|-|--|-⌫|-|
pooit a pesier.etporce	----|-⌫-----||-|--|-|
r oysprianzenmurer en	-⌫--|-----|------|-|
unechambre	--|------|
loingdegentou eledemora	----|-|---|-|--|-----|
g r antpiece.me satants et est	-⌫-⌫--|----||--⌫|----|-⌫|-⌫--|
orendroi tli contes apar le r	--------⌫|-|-----||---⌫--⌫|
h eleneet des troiensetretornea	-⌫----|-|--|------|-|------||
p arler douroymenelaus	-⌫----|--|--|-------|
etdesgrizois.	-|--|------||
ciendroitdit licontesetla	-|------|--|-|-----|-|-|
deui nehistoire l etesmoigne	----⌫-|-------|-⌫|--------|
que li roysmenelaus	--|-|---|-------|
parthemo lt dolenz et corrociez	-----|--⌫-|-----|-|--------|
de ceq ueparis	-|-|-⌫-|----|
et lit royenli	-|-|-⌫----|-|
auo itfetdesafamehelene	---⌫-|--|-|-|---|-----|
q u ilauoiente nmeneeenlor ter re	-⌫|-|------|-⌫-----|-|--|---⌫-|
etd aut r e sdames etda moisele s	-||---⌫-⌫-⌫|----|-|--⌫-------⌫|
qu i oluiestoientet en	--⌫||--|-------|-|-|
auoi entbrizié	----⌫--|------|
etrobédenui t	-|----|-|---⌫|
le templeala	-|-----||-|
deesse uenus	-----|----|
lorsque l enceleb ro it	------|-⌫-|-----⌫--⌫-|
safeste . e t endement resqu il	-|----||-⌫|--------⌫----|-|
demenoit so nduel uint liroys	-------|--⌫|---|---|-|---|
aga me non son	---⌫--⌫--|--|
frer eq ui	----⌫|-⌫-|
es toitpreuzethardiz riche s	--⌫---|----|-|-----|-----⌫|
.sicomm encaa	|-|----⌫---||
reconfo rter	-------⌫---|
sonfrereet dist biauxfreres qu	--|----|-|---|----|-----|-|
estcecommentuos	--|-|------|--|
uost ezi ezu os etlessiezt el	--|-⌫---⌫-|-⌫-|-|------|-⌫-|
duela faire	---||----|
quedesoremaisnefaciezchiere	--|---------|-|-----|-----|
semblantdeceq uel i	-------|-|-|-⌫-|-⌫|
tro yenuosontfait	---⌫--|--|--|---|
.carainsin e	|--|----|-⌫|
doitmiefairequi	---|--|----|--|
uengier d e se s ane misneainsin	------|-⌫|--⌫|---⌫--|-|----||
pas fetnosancessorsqu i ont	--|--|--|--------|--⌫|--|
eus igrantlos	-|-⌫|----|--|
detoutq ua ncque	-|---|-⌫--⌫----|
o ntparmaintesfoiz	-⌫-|--|------|---|
entrepris.	--------||
maispr e nons con seil et	---|--⌫-⌫---|---⌫---|-|
eng ing comment nosnos puissio ns	---⌫--|------|--|--|-------⌫-|
uengierde s troy ensnozanemiset	------|--⌫|----⌫--|--|-----|-|
mando nsnos a mispar	-----⌫-|--|-⌫--|--|
terr es si sera mieulz	----⌫-|-|---|-----|
a f aireque	|-⌫---|--|
due l demener .q uantli	---⌫|------||-⌫---|-|
roysm en elaus	---|-⌫--⌫----|
oto yainsi parlersonfrere sie n	-|-⌫|----|-----|--|----|-|-⌫|
molt liezetdist	---|---|-|---|
orlefesons donchastiuementca r	-|-|-----|---|----------|--⌫|
iamais naur e	-----||---⌫|
ioie tantq uesoie	---|-----⌫-|---|
uen gie z decelsquicemontfet .	---⌫---⌫|-|---|--|-||--|--||
et ainsi l efirent comme	-|----|-⌫|-----|----|
agamenonlo td it etdeuise ́ et	-------||-⌫|-⌫-|-|------⌫|-|
ma ndere nt par	--⌫-----⌫-|--|
toute scontree souil	-----⌫|-------⌫|-|-|
cuidieren tauoiram isti e zque	---------⌫|----|--⌫----⌫-⌫|--|
tuitfeu ssent assemblé en	---|---⌫----|--------|-|
garnide nes	----|-|--|
darmeset d echeuaux e t	|----|-|-⌫|------|-⌫|
tou tlorpooi rs au portderemesse	---⌫|--|----⌫-|-|---|-|------|
po ur uengie r	--⌫-|------⌫|
lagranthonteet le	-|----|----|-|-|
domagequeli	-----|--|-|
liauoientfet .	-|------|--||
lesg rizois	--|-⌫-----|
sorentcesno uuelescha scun	-----|--|--⌫-----|---⌫---|
dit endroit soi	--|------|--|
quemolt uolentiers	--|---|---------|
iroita tout sonpoo ir	----||---|--|---⌫-|
si uindrent	-|-------|
achi lles patroclus	----⌫---|--------|
th alam onetulixeset n estor	--⌫----⌫-|-|-----|-|-⌫----|
querre toute sa	-----|----|-|
gent etsii	---|-|-||
uindre nt nepto lemus pala mi des	------⌫-|-----⌫----|----⌫--⌫--|
polidari usetl achoen etlir oysde	--------⌫-|-|-⌫-----|-|-|-⌫--|-|
perseet l i	----|-|-⌫|
roys briseyda	---|-------|
au tr es dontlicontesne	--⌫--⌫-|---|-|-----|-|
f e t pasmencion quetrop	-⌫-⌫|--|------|--|---|
iauroitad ireetaconter	|-----||-⌫--|-||-----|
tu itiuindrent bien	--⌫-||-------|---|
esforcieementet de	------------|-|-|
touz celsquenos	---|---|--|--|
a uonsno ménioto n ques	-⌫---|--⌫--|||-|-⌫-⌫---|
ne is unqu i nefeust	--⌫-|-|--⌫|-|----|
con te oud uc.etquant il	---⌫-|-|-⌫-||-|----|-|
tuit assemblé si	---|--------|-|
mestree tseignor etconduiseor daux	-----|-⌫|------|-|---------||--|
agamen on qui molt estoit sages	------⌫-|--|---|-----|----|
uaillanzetpr euz eng uerre et	-------|-|--⌫--|-|-⌫----|-|
sine lefirent	-|-|-|-----|
mi epourcequece	--⌫|---|-|--|-|
f eus tlemeillord aux	-⌫---⌫|-|------||--|
ainzeniau oitdau sigr a nz	---|-||--⌫--||--⌫-|--⌫-⌫-|
seigno rsetd ausisa gescommeil	------⌫-|-||---|--⌫--|----|-|
as semblee pristrentconseil	--⌫------|--------|------|
qu e i ls en iroient	--⌫|-⌫||-|------|
aathene s la	|------⌫|-|
gr antciteq uemolt i	--⌫--|---|-⌫-|---||
seroientmielz	-------|----|
q ueiln estoient il ec	-⌫-|-||-------|--⌫-|
l orestoit	-⌫-|-----|
i l lefirent.	-⌫|-|-----||
li roysa gamenoniot demic en es	-|---|-⌫------||-|-|---⌫--⌫-|
sonpaiscentn estoutesg a rnies e t	--|---|---|-⌫-|-----|-⌫-⌫----|-⌫|
liroys me nelaus en i o t	-|---|--⌫-----|-||-⌫|
y ydep arthe	-⌫|-|-⌫----|
sonpa isetent r e	--|--⌫-|-|---⌫-⌫|
ach a rlesetpr othenor eno rent	---⌫-⌫---|-|--⌫------|-|-⌫---|
et yytoutesnueuesetentre	-|-|-----|-----|-|----|
l educalaphus	-⌫|--|------|
e t l i quensa lmus	-⌫|-⌫|----|-⌫---|
en orent yy d oupaisd	-|----|-|-⌫-|---||
etde laterre defascidis	-|-|-|----|-|-------|
eno rent po thag us e t	-|-⌫---|--⌫----⌫-|-⌫|
biengarnies	---|------|
phal ameniexeni	----⌫------|-||
otyydelaterre	-|-|-|-|----|
desal eminee tsi amenaolui	-|---⌫----|-⌫|-|----||--|
t h eu cer etanfi mac	-⌫-⌫--⌫--|-|----⌫--|
etdor ionet	-|---⌫--|-|
polidamas etthessusquituit	--------|-|------|--|---|
estoientgran zseig norset liro y s	-------|----⌫|----⌫---|-|-|--⌫-⌫|
nector eniotyy de	-----|-||-|-|-|
son paisb ie n appar eillieesli	--|---|-⌫--⌫|-----⌫-------|-|
thoa s eniotyyde la t erre	----⌫|-||-|-|-|-|-⌫---|
deka lliasetmeri nsde smionoisen i	-|--⌫----|-|----⌫-|--⌫|------|-||
otyy d ela terrede	-|-|-⌫|-|----|-|
mioineetdela	-----|-|-|-|
contreede moineen	------|-|----|-|
orentcapusayauxet	----|----|----|-|
helenusyybie ngarniesfilithoas	------|-|---⌫|------|--------|
etsantipus	-|-------|
do ntli u ns	--⌫-|-|-⌫-|
estoitdux et liautresquensen	-----|--|-|-|-----|----|-|
oren tyyde laterrede	----⌫|-|-|-|----|-|
celidoine merionetdom eri us	--------|-----|-|---⌫---⌫-|
or ent yybones etforz	--⌫--|-|----|-|---|
uli xese ni ot yy etnem enius	---⌫--|-⌫||-|-|-|---⌫----|
doupaisdetigris	--|---|-|-----|
etdelater rede palageenorent	-|-|-|---⌫-|-|-----|-|----|
pat roclu setp r othessalauxyy	---⌫-----⌫|-|-⌫-⌫----------|-|
lidui fi lau kaliffe	-|--|--⌫|-|------|
damp ol ifriet	----⌫--⌫---|-|
moxan usen orentde l ater re	-----⌫-|-|----|-|-⌫|---⌫-|
d estr acie nsyy bieng arn iese t de	-⌫-|--⌫----⌫-|-|---|-⌫---⌫--|-⌫|-|
laterr e dorcom enieeni	-|----⌫||-----⌫---|-||
eripilusy y sa nctipuset	-------|-⌫|--⌫------|-|
antima chusen orent	------⌫---|-|----|
del a t er re	-|-⌫|-⌫--⌫-|
sa uuageyy etde	--⌫----|-|-|-|
laterreda ufrize	-|----||-⌫-----|
eniotachil les yy	-||-|-----⌫--|-|
etdu ne illedemerqui estapele e	-||-⌫-|---|-|--|--|--|-----⌫|
deredoneniottheoph ilus	------|-||-|------⌫---|
yyet polib e tes etlyochinqui	-|-|-----⌫-⌫--|-|------|--|
cou sin estoi enteni orent	---⌫--|-----⌫--|-||----|
delarizeyythelenu salimodeset	-|-----|-|-------⌫|-------|-|
e ruallu siamenerent	-⌫------⌫||--------|
paisyyba rgesetli r oys carpamenus	---|-|--⌫---|-|-|-⌫--|---------|
de sonpais	-|--|---|
y yetpatro iluseni	-⌫|-|-----⌫---|-||
laterred e min esse	-|----|-⌫|---⌫---|
thenedus enio tyy	-------|-||-⌫|-|
delaterred e	-|-|----|-⌫|
pileetdelaterre	---|-|-|-|----|
d e capanie en ra mena	-⌫|------|-|--⌫---|
capano ryy	------⌫|-|
menethe set da themenusen	-------⌫|-|--⌫-------|-|
rame nerentdelorpaisyy et	----⌫-----|-|--|---|-|-|
quantil furenttuit	----|-|-----|---|
assemb lé	------⌫--|
entrou ua que ilestoien tque	-|----⌫-|--|-|-------⌫|--|
royqued ucquegr an tseignor	--|--|-⌫-|--|--⌫--⌫|------|
yyetchasc unse stoituenuz	-|-|-----⌫--|-⌫----|----|
moltesforci eementde	---|-------⌫-----|-|
bonsuessiaux	---|-------|
darmesdecheuax etd e uiande s.	|----|-|-----|-|-⌫|------⌫||
ettanti o tquenes	-|---||-⌫|--|--|
quegali esque c o quesque ussieret	--|----⌫-|--|-⌫-⌫---|--|-----|-|
que autresuessiauxtu itfor t	--|-----|-------|--⌫-|---⌫|
et biengarniquetrop	-|---|----|--|---|
ae nuisles	|-⌫---|--|
p orroitnusnombrer.	-⌫-----|--|------||
etq u antil	-|-⌫-⌫--|-|
fur ent ainsituit	---⌫--|----|---|
assemblési	--------|-|
firentung rant	-----|-|-⌫---|
parlementhors de lacite .lors	--------|---|-|-|---||---|
agam enon b iax seigneurs	----⌫---|-⌫--|--------|
moltgr a n t gentassemblee et	---|--⌫-⌫-⌫|---|--------|-|
moltestfoxli roys	---|--|--|-|---|
p rian z quianous aprisenhastie	-⌫----⌫|--||---||---|-------|
etmolt aimepoietluiet	-|---|---|--|-|--|-|
genzetsonpaiseturaie ment	---|-|--|---|-|-----⌫---|
croiquilacitiex	---|-|-||-|---|
yy perso nes	-|-----⌫--|
qu ec el uides	--⌫|-⌫--⌫-|--|
moinsde pooir a uenroit	----|-|----||------|
bienachief destroy ens .m aisune ch os e	---||----|--|----⌫--||-⌫--|--|--⌫--⌫|
loeroiequenos enuoissi ons	------|--|--|--------⌫--|
a udieu pol lum	-⌫|---|---⌫--|
autemplede ne l del fox	-|-----|-|--⌫-⌫---⌫--|
q uinest gue res loing	-⌫-||--|---⌫--|----|
deciqueilnosc ertefi as ta quel	-|-|--|-|--|-⌫------⌫--⌫||---|
chi efn ousporronsuenir	---⌫-|-⌫--|------|----|
de cestafa i ree t lorsdistre ntil	-|---|---⌫-⌫-|-⌫|---|------⌫-|-|
uos distes bie n	--|-----|---⌫|
enuoierentmai ntenant	---------|---⌫------|
a chi lleset	-⌫---⌫---|-|
patroclu s.etquant	--------⌫||-|----|
ilui ndrent	-|--⌫-----|
aut empledenedelf o xsientre r ent	-|-⌫----|-|------⌫-⌫|-|-----⌫-⌫--|
aor erentle	---⌫----|-|
di eupollum	--⌫-|-----|
etagrantcrieme etagrant	-||----|-----|-||----|
sacr efierentu nmoltbiau	----⌫-------|-⌫|---|---|
sacreficeetrequistrentl or	--------|-|----------|-⌫-|
et lideui nsrespo ns	-|-|----⌫-|-----⌫-|
alez e tdites au	---|-⌫|----|-|
g rizois queau	-⌫-----|--|-|
chie fdeyy anz aur ont	----⌫|-|-|--|---⌫--|
uic toire etlorguerreacheuee.etaic e	---⌫----|-|--|-----|------||-||--⌫|
io urmeis m esest oit ausi	--⌫-|----⌫-⌫-|---⌫--|---|
uenuz calcas detroieu n	----|-----|-|----|-⌫|
bienlest rez	---|----⌫--|
autempledenede lfox que	-|-----|-|----⌫---|--|
prianzetl itroye n i	-----|-|-⌫|-----⌫||
auoient enu oié porprieret	------|---⌫---|--|----|-|
reque rre au dieu	-----⌫--|-|---|
pollu mcomment ilse	-----⌫|------|-|-|
maintenro i ent delorguerreet li	---------⌫-⌫--|-|--|-----|-|-|
d euinsrespons	-⌫----|------|
retornesmie	-------|--|
alaci te d e tro ie	|-|--⌫-|-⌫|---⌫-|
mais uatena	---|-||-||
athenes auecl es	------|---|-⌫-|
grizois etsoiesa uec	------|-|----|-⌫--|
lessesret orner	-----|---⌫----|
tant quelacite	----⌫--|-|---|
detroieso it	-|----|--⌫-|
p rizeetessilliee	-⌫---|-|--------|
queainsi le	--|----|-|
couie nt aes tre queli dieule	-----⌫-||--⌫--|--|-|---|-|
uuel ent etillefi st	----⌫--|-|-|-|--⌫-|
si sentraq uointier entensemble	-||------⌫--------⌫--|-------|
entreachilles	----|-------|
patro clus e tkalcas	-----⌫---|-⌫|-----|
etdi stliunsalautre ceque	-|--⌫-|-|--|||----|-|--|
iles toient ue nuquerre	-|--⌫-----|--⌫-|-----|
etleresponsquepo llumlo r	-|-|------|--|--⌫---|--⌫|
ainsi ens emb leoulesgr izo is	----|---⌫---⌫-|-|--|--⌫---⌫-|
estoient assemblé. etquantil	-------|--------||-|----|-|
sidist achi llesau g rizois	-|---|----⌫---|-|-⌫-----|
que ila uroientseur em ent	--|-|-⌫------|----⌫--⌫--|
u ictoir esicom melid eu insresponsli	-⌫------⌫|-|---⌫-|-|-⌫--⌫--|------|-|
auo it dit.a preslora	---⌫-|--||-⌫---|--||
contécalcasmot amotc omment	-----|-----|--||--|-⌫-----|
roysprian zet	---|-----⌫|-|
lestroyensl	--|------||
enuoiéapollum	------||-----|
por sauo ircommentil	--|----⌫-|------|-|
seporroientdesfendre si	-|--------|--------|-|
commandapollumetdist quege	-------|-----|-|---|--|-|
menra lasse	|-|--⌫----|
miearr iers	--|---⌫---|
atroiea inzmenuenissecaa	|----|-⌫--||-|------|-||
athenesetfeusseou os tantq ue	------|-|-----||-⌫-|-----⌫-|
t r oiefeustdestruite. si	-⌫-⌫--|----|--------||-|
saibienqueci ldetroiemen	--|---|--|--⌫|-|----||-|
bla umerontetherrontmolt	---⌫------|-|------|---|
durmentmaisgeaime mielzobeyr	------|---|-|---|----|----|
au de xqueautroyen s.mes touteuoiesge	-|--⌫|--|-|------⌫||--|---------|-|
uosloequeuos	--|--|--|--|
facoizce queuos	-----|-|--|--|
entrepris. quant les	--------||----|--|
g rizoisore nt	-⌫-----|---⌫-|
oyainsiparlercalcassi enfurent	-|----|-----|-----|-|-|-----|
moltl ieetdist ren tq u	---|-⌫-|-|----⌫---⌫|-⌫|
ilmo uu roien tl andemainau ma t inet	-|--⌫--⌫-----⌫||-------|-|--⌫-⌫-|-|
qu a nt ilfurent parti do u	--⌫-⌫-|-|-----|----|--⌫|
orentpas gra ntment	----|--|---⌫-----|
al équeu n	--⌫-|--|-⌫|
gr ant torme nz lete tacreuxles	--⌫--|-----⌫-|--|-⌫|-----|--|
sorprist dontilcuidierent	-------|---|-|---------|
b ie ntuitp erir.	-⌫--⌫|---|-⌫---||
si fistlorsc alcas	-|---|---|-⌫----|
une sper imentetuitetsot	-|-⌫----⌫----|-|--|-|--|
quecesttormentlorau enoit porce	--|---|------|--|--⌫----|--|-|
que ilnauoientfetsacrefice	--|-||------|--|--------|
a ladeesse	|-|-----|
quemo lts en	--|--⌫-||-|
e s toitc orroci e esilor dist	-⌫-⌫---|-⌫------⌫-⌫|-|--|---|
il conuientp ar forcequenos	-|-------|-⌫-|----|--|--|
aillion senlasi lue de lyda	-------⌫|-|-|--⌫--|-|---|
e tile cconuendra	-⌫|---⌫|--------|
faces acrefic e	---|-⌫-------⌫|
plusto stquil	---|--⌫-|-|-|
o nque sporenttorneren tcele	-⌫----⌫|-----|--------⌫|---|
ialerent. quantill	|------||----|--|
sisacref ialiroys agameno n	-|------⌫-|-|---|-------⌫|
deessed yanamolthumble ment	-----|-⌫---|---|------⌫---|
et quantilot sacrefié ele	-|----|-|-|--------|--|
acordaa aux	-----||--|
etapr esse	-|---⌫-|-|
mi stren t	--⌫-----⌫|
enlornesetsigle rent	-|--|--|-|-----⌫---|
nagierent tan t co mmeil po rent	--------|---⌫|--⌫--|-|--⌫---|
troieet limes tre semi rail	----|-|-|---⌫---⌫|---⌫---|
auoitnonf ilotete s	----|--|-⌫-------⌫|
preuz e tsages	----|-⌫|----|
dela mer .et	-|-|--||-|
ont nagié	--|-----|
ets igle ́	-|-⌫----⌫|
uindr entesco ntreesde troieet	-----⌫--|-|--⌫-----|-|----|-|
pristre n tun moltfor t chastel	-------⌫-⌫|-|---|---⌫|------|
quiestoit autroyens.etapr es	--|-----|-|------||-|---⌫-|
uindrentathenado n unmolt	-------||-------⌫|-|---|
fortcha stelde grantmanierequi	---|---⌫---|-|----|------|--|
e stoi tp resdetroi e ayymilles	-⌫----⌫|-⌫--|-|----⌫||-|-----|
par t erreet quant cildou	--|-⌫---|-|----|--|--|
chaste l lesuirentsi s	------⌫|--|-----|-||
etissirenthorset se	-|-------|---|-|-|
desf endirentmolt	----⌫-------|---|
uigrosem e nt. la	--------⌫-⌫-||-|
lesgriz oismoltgrantdomagemes ala	--|----⌫--|---|----|-----|--||-|
p a r fin fulic has tiaux pr is	-⌫-⌫-⌫--|-|-|-⌫---⌫----|--⌫-|
cels quienzestoi entmorz	---|--|--|-----⌫--|---|
aprescequelichastia ux	----|-|--|-|-------⌫-|
dethen adon	-|----⌫---|
fu pr ise tconqui s desgrizois	-|--⌫-|-⌫|------⌫|--|------|
et tozcels	-|--|---|
qui enzestoientmorz	--|--|-------|---|
et oc is firentlesgr izois	-|--⌫-|-----|--|--⌫----|
unparlement.	-|--------||
siparl aagam enon	-|----⌫|----⌫---|
premier se tdistmoltdoit	-------⌫|-⌫|---|---|---|
l enha yr orgueil car ma intmal	-⌫-|--⌫-|------|--|--⌫--|--|
uienentneis l idieunont	------|---|-⌫|---||--|
cu r e d ourgueilainze n pranent	--⌫-⌫||-------|---|-⌫|------|
grantuenianc eaucune foiz.etnos	----|-------⌫|-----|---||-|--|
so mescimo ltgrantg ent et	--⌫--|-|--⌫-|----|-⌫--|-|
somesiaentréenla	----|-|-----|-|-|
etsi lorauons f ethonteet	-|-|--|----|-⌫-|----|-|
etsis uis certains que se	-|-|-⌫--|-------|--|-|
no suolonsnos confondronset	--⌫|-----|--|----------|-|
d estr uiron s la citede	-⌫----⌫-----⌫|-|---|-|
lepa ismes	-|--⌫-|--|
moltde u r ionsestre	---|--⌫-⌫-⌫---|----|
lie s e noslefesions a	--|-⌫|--|-|------||
droitetabon e cause	----|-||---⌫|----|
bi encho s eseue co m me nt	--⌫-|---⌫-⌫|---|--⌫-⌫--⌫-|
cesteguerre conmenca	----|-----|-------|
et com mentli royslao medonfu mo rz	-|---⌫---|-|---|---⌫----|-|--⌫-|
ettroiedestrui teet touz	-|----|-------⌫-|-|---|
lestroyensmorz	--|------|---|
et oc isetmoltlor	-|--⌫-|-|---|--|
fula pertet res	-|-|----|-⌫--|
grantdes ipetitme sfait. et auec	----|-|-⌫|----|--⌫----||-|---|
toutce nous r e qu istap resli	---|-|---|-⌫-⌫--⌫--|--⌫--|-|
r oysprianz depesetnos manda	-⌫--|-----|-|--|-|--|----|
q uenoslirendission ssasuer	-⌫-|--|-|----------⌫|-|---|
que nosauionssi	--|--|-----|-|
long ueme ntt enue	----⌫----⌫-|-⌫---|
etrien s plusd et outlautre	-|----⌫|---|-⌫|-⌫--||----|
mesfait quenosli	------|--|--|-|
auion sforf etne	-----⌫|----⌫-|-|
n osdemandoitur aieme n t	-⌫-|--------|--⌫-----⌫-⌫|
cenosuintde grantorgueilquant nos	-|--|---|-|----|------|----|--|
n elirendimes	-⌫|-|-------|
enuo ia mesq uemo lt	----⌫--⌫--|-⌫-|--⌫-|
mesfaizenuer sauxetporce	------|-----⌫|--|-|--|-|
d eussions	-⌫-------|
bienauoir amé	---|----|---|
lapes. etsachi ez	-|--||-|-----⌫-|
por uoirquesenoseus sions	--|---|--|-|--|---⌫----|
renuoiéesyonaiap a risne	-------|-----|-|-⌫-⌫--|-|
feustent r ez	----|---⌫-⌫-|
ennos trete rrenen	-|---⌫--|--⌫--|-||
en menéh elene pour quoi geloe	--⌫----|-⌫----|---|---|-|--|
fac ion st a ntquil nen os	---⌫---⌫|-⌫-⌫---|-|-|-⌫-|
soitmietornéaorgueil	---|--|-----||------|
en meschiet	-|-------|
que liblaumes ensoitleur.si	--|-|------|-|---|---||-|
seroitbonquenos	-----|--|--|--|
man dionspar noz me ssages auroy	---⌫----|--|--|--⌫-----|-|--|
p rian t queil n os	-⌫----⌫|--|-|-⌫-|
re ndehelene	--⌫--|-----|
etqueilnos	-|--|-|--|
uieigneamenderle	------|------|-|
forfetqueparisamesfait	-----|--|----||------|
nostreter re.et seil ce	-----|---⌫-||-|-|-|-|
ue ul t faire	--⌫--⌫|----|
queuolonsnospluslen ne	--|-----|--|---|--|-|
doitmietozi orzfaire	---|--|--|-⌫--|----|
q ue len porroit.senos	-⌫-|--|------||-|--|
hele neg euoldroie	----⌫-|-⌫|-------|
feu ss ions	---⌫--⌫---|
a rriersr etorneze nnozpai s	-⌫-----|-⌫------|-⌫|--|---⌫|
honor.etcene d ige mie	----||-|-|-|-⌫|-|--|
parco ard izeque ge nesoi ecertains	--|--⌫---⌫--|--|-|-|---⌫|-------|
que nos auronsuictoiresor	--|--|-----|-------|--|
m es quegeuold roiebienq uenos	-⌫-|--|-|----⌫---|---|-⌫-|--|
ec heuissio ns orgueil .	--⌫--------⌫-|------||
mol t de par ole sditese ntraux	---⌫|-|---⌫---⌫|----|-⌫--|--|
etdautresmesa	-||-----|--||
acorderent ilqueilli	---------|-|--|-|-|
enu oieroient.sii enuoierent	---⌫--------||-||---------|
dyomedes etulix esquimolt	-------|-|----⌫-|--|---|
bienparlant et il	---|------|-|-|
furen t moltbien appareilliéet	-----⌫|---|---|-----------|-|
et monterentsorlorpalefroizet s	-|--------|--|--|--------|-||
enalerentauroyp r iantetli	-|------|-|--|-⌫-⌫---|-|-|
distre n t lorme ssag e sicomme	------⌫-⌫|--|--⌫----⌫|-|----|
agamenon leurauoitenchargié .et	-------|---|----|---------||-|
royspri an zlesot oy	---|---⌫--⌫|--|-|-|
certessel igri zo ismetenissent	-----|-|-⌫|---⌫--⌫-|-|--------|
prinsen lorprisonet	----|-|--|-----|-|
iaeus sent la	-|---⌫---|-|
toutema te rre	----|-|--⌫--|
il nemed eus sent	-|-|-|-⌫---⌫---|
mie reque rre ce	--|-----⌫--|-|
qu e il memandent	--⌫|-|-|------|
car segele	--|-|-|-|
bien endeuroie estre honiet	---|-|------|----|---|-|
uer gon de ́.estcedonc lamende	---⌫---⌫--⌫||--|-|---||-----|
meuuelentfairedemo npais	-|------|----|-|--⌫|---|
essil lierent etde g asterent	-----⌫------|-|--⌫-⌫-------|
etdemonpe r eet dema mereet	-|-|--|--⌫-⌫|-|-|-|---|-|
autresamis qu ilocistrent etde	-----|---|-|-|--------|-|-|
mas uerquil enmene rentet ont	-|-⌫--|-|-|------⌫---|-|--|
ten utantlon gueme nt	---⌫|---|---⌫-----⌫-|
et enhon tageet ensorquetoutgel	-|-|---⌫---|-|-----------|-||
enuoie querreparenthenorl iquiex	-----|-----|--|-------|-⌫|----|
etle dureetau ecques	-|--⌫---|-|--⌫-----|
toutce ilsont entréen	---|-|-|---|-----|-|
mat e rreetmontab atud e	-|-⌫-⌫--|-||--|--⌫--|-⌫|
chastiausetdema gent	--------|-|-|-|---|
ociseet sor	----|-|--|
ceil mema nd entqu egelor	-|-|-|--⌫--⌫--|--⌫|-|--|
rendehelenee tque ge lo r	----|-----|-⌫|--|-|--⌫|
ceq ueparis lor aforf e t .	-|-⌫-|----|--||----⌫-⌫||
sachiez q uecestoutrageque	------|-⌫-||--|------|--|
ilmerequiere nt dontgeuos di	-|-|--------⌫-|---|-|--|-|
queuosuos en railliez	--|--|--|-|-------|
to starrier setditesaag amenon et	--⌫-|------⌫|-|----||--⌫-----|-|
a tou zl e sautr e sgrizoisque	|---⌫|-⌫-⌫|----⌫-⌫|------|--|
iln auront	-||-----|
iape sa moi	-|--⌫||--|
d uquesatantqueilm oie nt	-⌫----|-------|-||---⌫-|
amendélahont eetledomageque ilm	------|-|----⌫|-|-|-----|--|-||
ontfet . et ulix es	--|--||-|----⌫-|
et di st moltbien auons	-|--⌫-|---|---|----|
responsetgeuos	------|-|-|--|
queuos sachiez bienque lach ose	--|--|------|---|--|-|--⌫--|
nedemorr a	-|------⌫|
m iea ins i	-⌫-|-⌫---⌫|
s ouuente foiz ass ailli z	-⌫-------⌫---|---⌫-----⌫|
et deparles	-|-|--|--|
grizoisnosuosdesfions	------|--|--|-------|
enauant.et atants e	-|----||-|----|-⌫|
departiren t dyomedesetulix eset	----------⌫|-------|-|----⌫-|-|
che uauch erentduquesa	---⌫-----⌫----|-----||
g rizoiset entreren toupaueillon	-⌫-----|-|--------⌫|-|--------|
agamenon e tliont ditet	-------|-⌫|-|--|--|-|
le respons au roy priantuean t	-|------|-|--|-----|----⌫|
to zl esgrizoisetqueill	--⌫|-⌫-|------|-|--|-||
desfi éetli	-----⌫-|-|-|
e tles troye ns de	-⌫|--|-----⌫-|-|
les grizois et	--|------|-|
quan ta gamenon etles	----⌫|-⌫------|-|--|
grizoisoyrentcesi	------|-----|-|-|
afferme rent	-------⌫---|
lag uerr eet distrentquils	-|-⌫----⌫|-|-------|-|-||
aprocheroientplus pr esde troie	------------|---|--⌫-|-|----|
nestoien t.adoncenuoierenti l	|-------⌫||----|---------|-⌫|
achilles etthelefus quif uf ilz	-------|-|-------|--|-⌫|-⌫--|
enf ue rreenun pa is	-|-⌫--⌫--|-|-|--⌫-|
apeloitmes se quimoltestoit	------|---⌫-|--|---|-----|
quantliroys	----|-|---|
etcil doupais ui rent	-|--|--|---|--⌫---|
que l esgriz oisestoient e nt ré	--|-⌫-|----⌫--|-------|-⌫--⌫--|
e n lorterree tq ue	-⌫|--|----|-⌫|-⌫-|
ildesroboi ent	-|--------⌫--|
lepaissiiss ir ent	-|---|-|---⌫--⌫--|
a bataille et	|-------|-|
se combat irentaau xmolt	-|------⌫----||--⌫|---|
uigros ementetla o tmoltgrantestour	------⌫----|-|-|-⌫|---|----|-----|
etfier etgrantocision	-|---|-|----|------|
d omes et decheuauxd	|---|-|-|------||
unep art etd	--|-⌫--|-||
