equanttelhomem	|----|--|---||
quan tilostala e squiele	----⌫|-|---|-|-⌫------|
la surizekilui eschap a	-|-----|-|--|------⌫|
e quant sis s ire	|----|--|-⌫--|
multsen coruscad urement	---||-|------|-⌫------|
si demanda parm altal ent	-|------|--|-⌫-|---⌫--|
otl esq uiele ostee	-||---⌫----|----|
n ot sa defense	|-|-|------|
pru gardee	--|-----|
li u ilainrespunt	-|-⌫----|------|
sir ef ait il io nepoimes	---⌫|-⌫--|-|-|-|--|--|
uliquersme	|-|----|-|
uiol al a ssedesco urir	|-||--⌫-⌫--|-----⌫---|
u est lasuri zedeuenu ee	|--|-|----⌫-|------⌫-|
pu r quei n e l asretenuee	--⌫|---|-⌫||-|-------|
tafoliefust	-|----|---|
tost f ait ilnefud	---|-⌫--|-|-|--|
amifait il o rlaiester	--|---|-|-⌫|--|----|
ne u oil lemais a dam bla s mer	-|-⌫---⌫-|---|-⌫--|---⌫-⌫--|
s e lefruitd e larbremanga	-⌫|-|----|-⌫||----|----|
kenost resireliuea	-|----⌫-|---|-|--|
lidiables licon seilla	-|------|-|---⌫-----|
ke pars afemme len gigna	-|--|-⌫|----||--⌫----|
e lipramist sig rantenn ur	|-|------|-|-⌫---|---⌫-|
keper sereital creatur	-|--|-----|-|------|
pur co n e deitnulshomculper	--|-|-⌫|---|---|--|-----|
altruif eis ance ne blasmer	-----|-⌫---⌫---|-|------|
n emettrefamesursunpr o isme	-⌫|-----|---|--|--|--⌫-⌫---|
ch ascunrep rengese	--⌫----|---⌫----|-|
tels p otb lasmerle dit	---|-⌫-|-⌫-----|-|--|
deureitrepre ndrelui	------|-----⌫---|--|
uilaincunte kie ntra	-----|----|-|-⌫---|
enun mus ter	-|-|---⌫--|
un sue nc heualaueitmu ltchier	-|---⌫|-⌫----|----|--⌫-|----|
atachahorsdelmu stier	-----|---|--|--⌫----|
adeurequistkil li	|--|------||-|-|
kealt recheu al	-|---⌫-|----⌫-|
tantcu mf istcesto reisun	---|--⌫|-⌫--|---|-⌫-----|
suncheualembl en t larrun	--|-----|----⌫--⌫|-----|
delmustie rissuz	--|------⌫|----|
siesteits ischeualsperduz	-|-----|-⌫-|------|-----|
ariereuait hastiuemen t	-----|---|----------⌫|
adeudeuoteme nt	|--|--------⌫-|
qu ealt r e chosenerequereit	--⌫|---⌫-⌫|----|-|--------|
altre che ual marlidurreit	----|---⌫--|--|-|------|
mesluiface	--|--|---|
aueirl e suen	----|-⌫|---|
kar nauraia mesnu l	--||---|-|--|--⌫|
p urc o nedeitnulshom preier	-⌫-|-⌫|-|---|---|--|-----|
deplusaueirkiladmest ier	-|---|----||-|-|----⌫--|
kedeusliaddoné	-|---|-|-|----|
silui suffise	-|--|------|
u nsuilainalaal must ier	-⌫-|-----|--|-|----⌫--|
su uentesfeizpur deupreier	--⌫-----|---|--|--|-----|
adeurequistk i l	|--|------||-⌫|
safemmec on seillast	-|----|-⌫--⌫-------|
esesenfanz e	|--|-----||
nului plus	----|---|
cest e preire aueit e n	----⌫|-----|----|-⌫|
s oue nt leditod s i	-⌫---⌫-|-|--|-|-⌫|
autre suilainsl ent endi	-----⌫|------||---⌫---|
si li resp un t h as tiuement	-|-|----⌫--⌫|-⌫--⌫-------|
mald ieomnipotent	----⌫-|---------|
tafemmeetes	-|----||--|
enfanzpetiz	-----|----|
autresne seitmal diz	-----|-|---|---⌫--|
essa mpleuoilretraire	----⌫---|---|-------|
chascuns deittelpreire faire	-------|---|--|-----|----|
qu iala gent neseitnuisable	--⌫||-|---|-|---|-------|
ead euseit acceptab le	||-⌫-|---|--------⌫-|
d u n ui la in c unteki	|-⌫|--⌫--⌫-|-⌫---|-|
une chauekilnurisei t	--|----||-|-------⌫|
tantla nurr i k ele	---|-|----⌫||--|
un suenueisinla li tu a	-|---|-----|-|-|--⌫|
cilseclamaa la iu stise	--|-|----||-|--⌫----|
cuntaenquel gui se	----|-|---|---⌫-|
iciloisel ssole itparl e r	---|-----⌫|----⌫-|----⌫-⌫|
les matinees echanter	--|-------||------|
liiu gesditkilotmesfai t	-|--⌫--|--||-|-|------⌫|
sil ui fi t	-|-⌫-|--⌫|
su mundr ea plait	--⌫-----⌫||----|
aliorkilesteitsumuns	-|--||-|-----|-----|
kideuei tfairesunre s p uns	-|-----⌫|----|--|--⌫-⌫-⌫--|
deco rdwa nprist unepel	-|--⌫----⌫|----|--|--|
sil ad misesursu n	-||-|---|--|--⌫|
lundeschies laissede horspendre	|-|--|----|-----|--⌫---|-----|
iugesdeust entendre	----|----|-------|
killiad ap ortépu r lo i er	|-|-|-|--⌫----|--⌫|--⌫-⌫-|
sunpl ail i	--|--⌫-|-⌫|
deiue ai der	----|--⌫--|
lemante l souen tentreouri	-|-----⌫|-----⌫|--------|
ta ntk el iiugesle	--⌫-|-⌫|-⌫|----|-|
lautreuila inf istapeler	|----|----⌫-|-⌫--|-----|
luiuenuzclam er	--|----|----⌫-|
delachauelile	-|-|----|-|-|
kecoesteitkelech anta	-|-|-----||--|--⌫---|
eq uelepa ro le ele di seit	|-⌫---|--⌫--⌫-|--|--⌫---|
illi r espunt kil n e sa ue it	-|-|-⌫-----||-|-⌫|--⌫--⌫-|
quanttu faitil	----|-|---|-|
riennesaueies	---|-|------|
ne saparolene	-|-|-----|-|
entendeie s	---------⌫|
ne nientestei tsa chancu ns	-|----|-----⌫|-|------⌫-|
ne tunedeizia	-|-|-|---|-|
auer re spu ns	---|--⌫---⌫-|
cil senalasenzdreit ure	--||-|--|---|-----⌫--|
pur leloier	--|-|----|
duntcilpristcur e	---|--|----|---⌫|
nedeitpr incenereis	-|---|--⌫---|-|---|
sescoman demenznesesl eis	--|-----⌫-----|-|--|-⌫--|
a c oueitusmettreenbailie	|-⌫------|-----|-|-----|
kars adreitureenest	--|-⌫|-------|-|--|
d unu ilain	|-|-⌫----|
cunte ki pristia	----|-|----|-|
qu elungtens aguai ta	--⌫|---|---|-----⌫-|
cil lidonatreis ure mens	--|-|---|----|---⌫---|
purc oki lnelmustrastagenz	--|-⌫||-⌫|-||-------||---|
liuilainf udi o ius	-|-----|-⌫-|-⌫-⌫--|
kantas af emmeestrepairiez	---||-⌫|-⌫---|--|--------|
uremenz lidon a	------|-|---⌫|
un retint prounelgarda	-|-----|---|-||----|
eissifure nt	----|----⌫-|
bie n longement	---⌫|--------|
kilnefirentn ulurement	|-|-|-----|-⌫-|------|
de skeunior ki laueient	--⌫--|-|--||-⌫|------|
aunmangi er ui lesteient	|-|-----⌫-||-⌫|-------|
dune berbizlesc hin e	|--|-----||---⌫---⌫|
d un tlameule pareitdefors	-⌫--⌫|-|----|-----|-----|
lafemm een	-|----⌫|-|
otg rant desirier	-|-⌫---|-------|
uolent iers la uolsistmang ie r	------⌫---|-|------|----⌫--⌫|
mes ne pot	--|-|--|
auer as mains	---|-|----|
qu eliuilains	--⌫|-|------|
eust telbec multli pl areit	---|--|--|---|-|--⌫----|
widicosaueit	------|----|
dun gupi lditque	|-|----⌫|--|--|
stei t alez ensun dedu i t	----⌫|---|-|--|----⌫-⌫|
su rune mare	--⌫|--|---|
k an tdeden zlewerega rda	-⌫--⌫|-----⌫||--|----⌫--|
lumb redela lunead ueu	|---⌫-|-|-|---|-|--|
mes n es ot	--|-⌫|-⌫-|
miequeco fu	--|--|-|-|
pu isa dpensé	--⌫-|-⌫|-----|
ensunco rage	-|--|--⌫---|
u eu ung rant formage	-⌫-|-|-⌫---|------|
l ewe comenca a lepper	|--|------||-----|
tresbienquida en sunpenser	---|---|----|-|--|-----|
sileweenlam are es tei t mein dre	-||--|-|-|-⌫--|--⌫---⌫|----⌫--|
keleforma g epeustprender	-|-|-----⌫-⌫|----|------|
tantadbe ukilcreua	---|-|--⌫||-|----|
i luecch ai puis	-⌫---|--⌫-|---|
meint homee speireultr ele dreit	----|---|-⌫-----|----⌫|-|----|
kilnedeure it	|-|-|-----⌫-|
aueir totes	----|----|
s esuolu nte z	-⌫-|----⌫---⌫|
du ntestmorzeafolez	--⌫-|--|---||-----|
dunlu cunteki	|-|-|----|-|
corbel sesteitas is	-----||-----|--⌫-|
desurledos	----|-|--|
d uneberbiz	|--|-----|
lilus parlata noblesdiz	-|--|-----||-----|--|
io ueifa itilg r antmerueille	-|--|--⌫-|-|-⌫-⌫--|--------|
lec orfsurle dosdun	-|-⌫--|--|-|--||-|
setlauilsetdit cok	--|-||-|--|--|-||
f aitcokilfait senz	-⌫--|-||-|---|---|
con tredit	---⌫-----|
malenecrient il	---|-|-----|-|
denulerien	-|---|---|
siioi seisse ia	-|-||-----|-|
ketute gentmehu erei ent	-|---|---|-|--⌫----⌫--|
de tut esp ar zme scriereient	-|---⌫-|-⌫--⌫||-⌫----------|
lauoldreiemangier	-|-------|------|
nem ilarreientaprism er	-|||--------|------⌫-|
eissiestdeltricheur	----|--|--|-------|
eneffreiest e enpour	-|-----|--||-|---|
saconsciencelere prent	-|---------|-|--⌫----|
quet uzconuisse ntsunt al ent	--|-⌫-|--------⌫-|--|-⌫--⌫--|
forment l epeise	------|-⌫|----|
kehomne turnesesfaiz enmal	-|--|-|----|--|---|-|--|
delco crecuntekirestot	--|--⌫|------|-|-----|
surunfemeres ichantot	--|-|----||-⌫|------|
pardelezlu i uint	--|----|--⌫|---|
sil apelaparmultbel sdiz	-||----|--|---|---⌫|--|
si re fai til	--⌫-|---⌫|-|
multteu eibel	---|-|-⌫-|--|
unkes neuisigentoisel	----|-|-|-|---|----|
clere uoiceassurt uterien	----|----|-|--|-⌫--|---|
ioueib ien	-|--|-⌫--|
unkesoisel s miel znechanta	----|-----⌫|----⌫|-|-----|
distmielzqu ant ilclui na	---|----|--⌫--|-|----⌫-|
si pui si ofaire d istl icocs	-|---⌫|-⌫|----|-⌫--|-⌫|---|
ba tles oilz ad clos	--⌫|--|---|-|---|
c hanterquidatp lus	-⌫-----|-----|-⌫--|
ligup izua it auantsil	-|---⌫-|--⌫-|----||-|
ue rsla forestod	--⌫-|-|-----|-|
parmiun cha mp	----|-|---⌫-|
corentapre stutlipastu r	-----|----⌫|--|-|-----⌫|
les chiens lihuenttutentur	--|-----|-|----|--|----|
ueezleg upi lki	---|-|-⌫---⌫|-|
marlad esesi	--||--⌫--|-|
parciui e nt	--|-|--⌫-⌫-|
licocs silur es crie	-|---|-|--|--⌫---|
que io sui tuensnem ilaismie	--|-|--|----|-|||---|--|
li gu p i l zpa rleruol tenhalt	-|--⌫-⌫-⌫-⌫|--⌫---|---⌫|-|---|
d esabu chesalt	-⌫|-|--⌫--|---|
suru nhaltfus tsene st	--|-⌫|---|---⌫||-|-⌫-|
kantli gupilz sest regardez	---|-|-----||--|-------|
multpar setient afarcillié	---|--|-|----|----------|
kelico csl adsi	-|-|--⌫-||-|-|
enginni é	-------⌫-|
demalt alentede drei tire	-|----⌫----||-|----⌫|--|
labuch ecomence a maldire	-|----⌫|------||------|
queparolequantdeu reittaire	--|-----|----|---⌫---|----|
licocsrespuntsideiiof aire	-|---|------|-|--|-|-⌫---|
maldirelo ilqui u olt clu iner	------||-⌫-|--|-⌫--|---⌫---|
kantildeitguaiti er e g ar der	---|-|---|------⌫-||-⌫--⌫--|
que malnauienge a s un	--|--||------||-⌫-|
cofunt lifoltut	-|---|-|--|--|
parolen tquan t deurei entcesser	-------⌫|----⌫|------⌫--|-----|
teisen tquan tdeurei ent	------⌫|----⌫|------⌫--|
dun c olumcunteki	|-|-⌫---|----|-|
sesteit surunecroisa sis	|-----|--|--|----|-⌫--|
unsgupilzui ntdesuzsil	--|-----|--⌫-|----||-|
enha ltparl a si	-|--⌫-|----⌫|-|
p urkeisee ztu fait il	-⌫-|--|---⌫|-|---|-|
ensigran tuentkardece nt iu s	-|-|----⌫|---|--|----⌫-|--⌫|
si siez le zmei	-|---|--⌫|--|
en cestarbri	-|---|----|
i onospa rf ei	-⌫||-|--⌫|-⌫-|
cilrespundi	--|-------|
pur nientaspour demei	--|----|-|---|-|--|
si te saibien d irepurquei	-|-|--|---|-⌫--|--|---|
iofuore a in zaun conte	-|-|--|-⌫--⌫||-|----|
u grant poplea ueitase m bl é	|----|----|-⌫---|---⌫-⌫--⌫-|
unbrief uintdepartle rei	-|----|---|-|---|-|--|
kicomandapar	-|------|--|
kebes teaaltre nem esface	-|---⌫-||----|-|-⌫-----|
neanuloiselia deu neplac e	-||--|----|-|--|-|----⌫|
keentr e ls aitsi	-|---|-⌫-|--|-|
faiteguere	----|----|
pais uoltmettrededenz sa t e re	---|---|-----|-----|-|-⌫-⌫-|
ensem b le purrunt	-----⌫-⌫-|------|
o i selsebest es eiuer	-⌫-⌫---||----⌫-||---|
dunc uendrai	---|------|
faitlicoluns	---|-|-----|
mesioueilalezuns	--|-|--|-|--|--|
douscheualers mult tost	---|--------|---|---|
sifundeuschi enso deus	-|--|---|---⌫--|-⌫|--|
distl ig upilzsuntilnient pres	---|-⌫|-⌫----|---|-|----|---|
ilche ualc hentfaitcil ade s	-|---⌫----⌫---|---|--|---⌫|
mielzestkence le gr aueuoise	----|--||-|--⌫-|--⌫--|----|
k e parels	-⌫|--|--|
aieestrifenoise	--|-----||----|
nes aisil untle	-|-⌫-||-|--|-|
keuintde lrei i ouus	-|---|--⌫|--|-⌫|--|
nem e stu uereit	-||-⌫---⌫-----|
sil eussent oic unter	|-|------|-|-⌫----|
siuaitdelfelunsue ziez	-|---|--|-----|--⌫---|
parels suntplus urs enginniez	--|--|---|----⌫--|--------|
pa rparoleepar f alssermun	--⌫|-----||--|-⌫--|-----|
c um uolt fair e	-⌫-|---|----⌫|
cistlecolum	---|-|----|
liaigles ert	-|-----|--|
desoisels reis	--|-----|---|
purcokilesteitcurteis	--|-||-|-----|------|
eliosturssis seneschals	|-|-----|--|---------|
e stil mi etutleals	-⌫-|-|--⌫|--|----|
liaiglessistpa rungrant chalt	-|-----|---|--⌫|-|----|----|
sur une bra nchedechein e halt	--|--|---⌫---|-|-----⌫|---|
liostur ssist	-|-----⌫|---|
plusba s delui	---|--⌫|-|--|
gar da aualsi otennu i	---⌫-|---|-|-|----⌫|
de columsk idesuzuoloue nt	-|-----|-⌫|----|------⌫-|
iusala tere	--||-|---|
entrelsiu ouent	---|--|--⌫----|
uus iuez faitild esuz	--|---|---|-|-⌫---|
ueez cil aigl enostre	---|-||----⌫|-----|
silse fu st	|-|-|--⌫-|
deciremuez	-|-|-----|
es uruna utr efust	|-⌫-|-|-⌫---⌫|---|
ligius irreit enaltre	-|---|-----|-|----|
de uusiu stise	-|--|--⌫----|
p urco n edeitprinceuul eir	-⌫-|-|-⌫|---|-----|---⌫--|
sen eschalensun re gneaueir	---⌫-----|-|--|--⌫--|----|
necoueit usne menteur	-|------⌫-|-|------|
l uoltfaires un seignu r	|---|----|-⌫-|------⌫|
unsri cheshom c odit	--|--⌫---|--|-⌫|--|
uncheual keue n dre uoleit	-|-----|-|--⌫-⌫--|-----|
e unsunbuc tuta	|-|--|--|--||
pu r uintsol sdist asesamis	--⌫|---|---⌫|---||--|---|
quechascuns	--|-------|
dou s uoleitdoner	|--⌫|-----|----|
si n ulsle uolsistachater	-|-⌫--|-|------|------|
uns marchanz leb argaina	--|-------|-|-⌫------|
l echeualditque	-⌫|-----|--|--|
meslibucsn eualeientn ien t	--|-|---|-⌫|-------|-⌫---⌫|
liriche sh omparmaltal en t	-|-----⌫|-⌫-|--|------⌫--⌫|
dit q ueambedous les larreit	--|-⌫-|-------|--|------|
ial echeual	-|-⌫|-----|
de l b ucnedepartirei t	--⌫|-⌫-|-|----------⌫|
u eerpoezdel nun sauant	-⌫--|---|--|---⌫-----|
malpriseautre tant	--|----|-----⌫---|
c umsun bie ntut	-⌫-|--|---⌫|--|
nepue tlaissersun fol talent	-|---⌫|------|--|--|-----|
ci nuscu ntec umuns	-|--|--⌫--|-⌫-|--|
enun egraueiuttut	-|--⌫|----|--|--|
desuzlacue	----|-|--|
aual lientr e	---|-|----⌫|
unse scarbozdesi keluentre	--|-⌫------|---||-|-----|
lilus salt s uss i sesueilla	-|--|---|-⌫-|-⌫||-------|
mu ltangusu sement cria	--⌫-|------⌫-----|---|
tantse uoiltraetantsail li	---|-|------||---|----⌫-|
qu el ie scharbozs enissi	--⌫|-⌫|-⌫-------||-|---|
lusregardae uit	--|------||--|
mu ltparli	--⌫-|--|-|
sembla gra nt	-----|---⌫-|
allas faitildolenz chaitis	----|---|-|-----|------|
que dedenzmeite	--|-----|--|-|
esteiesmis	------|--|
liesch arbo z adres pundu	-|----⌫----⌫|-|---⌫----|
certesfaitil	-----|---|-|
bienest seu	---|--|--|
keio uailasezmie l z de	-|-|---|---|---⌫-⌫|-|
kan tt u demeine s telbuffei	---⌫|-⌫|-------⌫|--|-----|
orasembl e ta	-|------⌫|-|
compaign ie	--------⌫-|
e cels kesunte n aie	|---|-|---|-⌫|--|
eioresemble rai magent	|-|--------⌫--|-|---|
emes amise miparent	|--|---||-|-----|
d emaint enumuneb ataille	-⌫----|-⌫---|--|-⌫------|
enm icelc ham p	---⌫|--|-⌫---⌫|
seiumsenzfa ille	----|---|--⌫---|
lilus adissi	-|--|-|---|
pur sesaidanz adenueie ́	--|--|-----|-|------⌫|
liescarbozma nd atle s eis	-|-------|--⌫--⌫-|--⌫|--|
nia ueitn ulforslunre m eis	||-⌫---|-⌫-|---||-|--⌫-⌫--|
negro ssemu schen eco rn et	-|---⌫--|--⌫---|-⌫|--⌫--⌫-|
ne bone wesbene	-|---|----|-|
quan tdeueient aprism er	----⌫|-------|------⌫-|
li lusu oleit les suensenseigne r	-|--|-⌫----|--|----|--------⌫|
consei l coditlurestutprendre	------⌫|-|--|--|----|------|
silse uolentde	|-|-|-----|-|
c elsdefend re	-⌫--|------⌫-|
cha scunestuetgardersa cue	---⌫---|-----|-----|-|--|
uilirr aa male	|-|---⌫||---|
licerfs li di st nus	-|----|-|--⌫-|--|
nusben dun s	--|---⌫---⌫|
de celepartnu s estupuns	-|---|---|--⌫|-------|
kiln epeussentde	|-|-⌫|-------|-|
l aentr er	-⌫|----⌫-|
duncpurrum plu s	---|-----|---⌫|
i s sifaitluntcommunement	-⌫-⌫-|---||--|----------|
bendésunt multfer memen t	-----|---|---|---⌫-----⌫|
mesquant couintal	--|----|-|---|||
unewespes estdesreiee	--|----||--|-------|
sipointlecerf	-|----|-|---|
par lescostez	--|--|-----|
s ailletut	-⌫----|--|
kilsemesfist	|-|-|------|
uilai n e ment	-----⌫-⌫-⌫---|
elaben dede srum pefe nt	|-|---⌫-|--⌫----⌫||--⌫-|
liluskiesteit pres	-|--|-|-----|---|
seignurspurd eu n iest eium mes	-------|--|-⌫-|||---⌫---|--|
mult parnuse st me sa uenu	---|--|--|-⌫-|--⌫--⌫---|
k antliliensuntderumpu	-⌫--|-|---|---|------|
fuium nusenhastiuement	----|--|-|----------|
si nusidemurrum neient	-|--||-------|-----|
n i auraiaunsul	||---|-|-|--|
kide suz lacue nait dous	-|--⌫--|-|--||--|---|
cestessamplen us d i tc els	---|-------|-⌫-|-⌫-⌫|-⌫--|
kidespi sentlesmeinursdels	-|-----⌫---|--|------||--|
tantles auilent	---|--|------|
keal gra nt	-|-|---⌫-|
sunt hon iz	---|---⌫-|
kemi elzs eseuent	-|--⌫--|-⌫|-----|
cil aid er	--|---⌫-|
lau il u ntgre ignurmestier	-||-|-⌫-|---⌫----|------|
ilnusrecunte	-|--|------|
de l hostur	-||-----|
as ist uniur	--⌫--|-|--|
u liro ssinolsotsun	|-|--⌫------|-|--|
ses oisel s sun t	--|-----⌫|---⌫|
aseile pristaapeler	|--|-|----||-----|
silico mandaa chante r	-|-|--⌫----||------⌫|
sirefaitilionepu rrei	---|---|-|-|-|--⌫---|
tantcumsi pres deme iuusueie	---|--|-|---|-|--⌫|--|---|
si uus plais eit ar emuer	-|--|-----⌫--||-⌫----|
e sur un aut refustuoler	|--|-|---⌫-|---|----|
io chantere ie multplusbel	-|--------⌫-|---|---|--|
ce seuent tutcistalt reoisel	-|-----|--|---|---⌫-|----|
altresiuai t dem ainte gent	------|---⌫|-|-⌫----|---|
n e poentpas seurem ent	-⌫|----|--|------⌫--|
lauilduten t	-||-|-----⌫|
bi e nparle r	--⌫-⌫|-----⌫|
sicum la u n	-|--|-|||
estutduter	----|----|
delcorbelc unte	--|-----|-⌫---|
parunchiminuil er ra	--|-|-----||-|--⌫-|
plume sepe nnes deunpoun	-----⌫||--⌫---|-|-|---|
sis esgarda tutenuirun	-||------|--|------|
plusuilsetintqu e	---|--|-|---|--⌫|
nul oi sel	--|--⌫--|
pur coki l neseuitsi bel	--|-||-⌫|-|-|--|-|--|
tutes s esplume s esrasca	----|-⌫-|-----⌫|------|
keun e su l enila issa	-|--⌫|--⌫-⌫|||--⌫---|
des pennes alpoun	--|-----|-|---|
trestutsuncor sbienaurne	------|--|---⌫|---|----|
asembl aod l espouns	------⌫|-|-⌫-|----|
ne semb le	-|----⌫-|
compai gnuns	------⌫----|
odle seles	-|--⌫|---|
ledebat irent	-|-----⌫----|
esi pis pore ntpisli	|-|--|----⌫-|--|-|
duncsen reuoltal	---||-|-----|-|
co rfsale r	--⌫--|---⌫|
einzfistcorf	---|---|---|
rese mbler	----⌫----|
mes il l unttutd esconeuz	--|-||--|--|-⌫-------|
silun tc haciez e debatuz	-||--⌫|-⌫-----||------|
copot homue er de	-|--|--|--⌫-|-|
kiauerunte	-|---|--||
granzhonurs	----|-----|
encore uoldreient	-----|---------|
pl uscoillir	--⌫-|------|
co k i lne	-||-⌫|-|
puen tretenir	----⌫|------|
coki lcoue i tent	-||-⌫|----⌫-⌫---|
n untilmie	|--|-|--|
perden tpar	------⌫|--|
u nleunfudmult	-⌫|---|--|---|
deshai tez	------⌫--|
d e malsupriseemp ei riez	-⌫|--|-----||---⌫--⌫---|
tutesles bestesialerent	----|--|-----||------|
entrelsdi strentee sgarderent	---|--|--⌫-----||-⌫---------|
led u st mesciner	-|-⌫-⌫-|-------|
senu ls e n	-|--⌫-|-⌫|
sotconseildoner	--|------|----|
a lgupil s etindren tplusur	-⌫|----|-⌫|-------⌫|-----|
kidesbes tessetlere tur	-|--|---⌫--|--|-|--⌫--|
oisels resetp arl er	-----|----|-⌫---⌫-|
mesc ineque reedeman der	----⌫--|---⌫-||-----⌫--|
parmessagele funt sumundre	--|------|-|---|-------|
eli gupilzs alatrepundre	|-|-----||---|-------|
lez la salesesteit	--|-|---||-----|
karcoi nt esert	--|---⌫--⌫-|--|
lileun mul t se corusca	-|---|---⌫|-|------|
le lusunprouostapela	-|-|--|------|----|
dema nda lui pu rkilneuint	----⌫--|--|--⌫||-|-|---|
lilusrespunt n ientneldetint	-|--|------|-⌫---|-||-----|
forslengrest e	---||-------⌫|
desuncorage	-|--|-----|
enueer aimunme ssage	------⌫-|--|--⌫----|
a m ener le fraieprendre	-⌫-⌫---|-|---||------|
u uslefaites desfaire ependre	-⌫-|-|-----|-------||-----|
silchastiei zsifaitement	|-|--------⌫|-|--------|
ke essam ple prengentsi parent	-|-----⌫--|-------|-|-----|
ot k ilfudiugiez	-||-|--|-----|
multdu rements	---|--⌫-----||
estesmaie z	--|------⌫|
pa sp urpasestauantuen uz	--⌫|-⌫-|--|--|----|---⌫-|
kedesbestes fudbienueuz	-|--|-----|--|---|---|
kiqueres tu c o faitlilus	-|-----|-|-⌫|---|-|--|
en sunr espu ns	-|--|-⌫----⌫-|
simai tdeusb elsire rei s	-||--⌫|---|-⌫-|---|---⌫|
ne s aiqu e ioifeisseenceis	-|-⌫-|--⌫|-||-----|-----|
kemescine eussetro ué	-|------|----|---⌫--|
pu isai errémeintecontre	--⌫-|-|----|-----|-----|
uostre comande ment	-----|-------⌫---|
ensaler n e aie stéue raiment	-|-----⌫-⌫|-|-⌫---|--⌫------|
se unt uuslimire mande ́	-|--|--|-|---|-----⌫|
quantoirentuostreenfermete	----|-----|-----|--------|
kunslus seitescorcétutuis	|--|--|---|-------|--|--|
siseitli sancsodtute	-|---|-|----|-|---|
lapelm i s	-|--|-⌫-⌫|
suruo strepizdesk aldemain	--|--⌫---|--|---|-|-----|
deuostremaluusrend rai sain	-|-----|--|--|----⌫--|---|
le lu per nentk iluecfu	-|-|---⌫---||----|-|
escorce nt tantun t tendu	-------⌫-|---|--⌫|----|
alleun untla pel ba illé	-|---|--|-|--|--⌫----|
senuaitodgranthasche	|-|---|-|----|-----|
al e issirfors	-|-⌫----|---|
delamaisun	-|-|-----|
lauindrentmusc hesetaun	-|-------|----⌫--||---|
silpoi nstrentmultmalement	|-|---⌫------|---|-------|
ligu pilzu inttutcoint ement	-|--⌫---|-⌫--|--|-----⌫----|
silidemande kil feist	-|-|------||-|----|
ki sen zlapeliluecs	-|---⌫|-|--|----||
t esguanzfaitiluei d epecez	-⌫-|----|---|-|--|-⌫-----|
altrefeizse ezchas ti ez	----|---|--⌫-|----⌫--⌫-|
quealtre ne dei uezmaltenir	--|----|-|---⌫--|--|----|
teideiu e reuertir	--|----⌫|-------|
telp urc hacelemaldealtrui	--|-⌫---⌫---|-|--|-|-----|
kelimalzreuentesurlui	-|-|---|------|--|--|
k iluo leit metre a e xil	|-|--⌫---|----||-⌫--|
