cilquiseuent	--|--|-----|
sestunef o i s	|--|--|-⌫-⌫-⌫|
biensa ole z	---|--⌫---⌫|
bienre puetieuner apres	---|--⌫---|-----|----|
qu ilnest depr oietr open gres	-|-||--|-|--⌫--|--⌫-|--⌫---|
p rincesse d oitb ienreposer	-⌫-----|-|-⌫--|-⌫--|------|
nese doit pastropeni ure r	-|-|---|--|---|---⌫---⌫|
so n regneauillier	--⌫|----|-------|
ne sapou re	-|-|---⌫-|
gent essillier	---|--------|
f ait cumieuos	-⌫--|--|-|--|
cestexempleuosmostreci	---|------|--|-----|-|
cumnedoit pasfaire signor	|-|-|---|--|----|-----|
demauaisho me	-|-----|--⌫-|
ouilnase parolen on	-|-|||-|-----|-⌫-|
tezsen obleepar tenchon	--|-|-⌫----|--|------|
etuuetmanech ie retparler	-|---|------⌫--⌫|-|-----|
qu imolt par f aitpoia	--⌫|---|--|-⌫--|--||
