sul felunad	--|----|-|
etdeu asonsar c u urent	-|--||--|---⌫-⌫|----|
e t ailliur s u il estre quis	-⌫|-------⌫||-|--|--⌫---|
faituertuza morz	---|-----||---|
ne eutun kesnushomsmorteus	-|--|--⌫--|--|---|------|
ueumiraclestanzne teus	--|-------|---|-|---|
etc istke b i en les	-|-⌫--|-|-⌫-⌫-|--|
rele ue nt	----⌫--⌫-|
garisentilpar ali tices	-------|-|---⌫---⌫----|
quartena ir eset ydropices	--------⌫--⌫-|-|--------|
liauo eglel i sur t	-|---⌫---|-⌫|---⌫|
litortlirumpuliboceuz	-|---|-|----|-|-----|
li leprurs	-|------|
lifreneti c	-|-------⌫|
liemfle ́etlipa lreti c	-|-----⌫|-|-|--⌫-----⌫|
l i noeze t li de br usez	-⌫|---|-⌫|-|--⌫--⌫---|
et lim orteumentnau erez	-|-|-⌫--------|---⌫---|
ligaunélangurus	-|-----|-------|
etlitysicetl igutus	-|-|----|-|-⌫|----|
lipecheurdeses perez	-|------|-----⌫----|
iestde deu	|--|-|--|
reuisi tez	------⌫--|
liplaiezperilusement	-|-----|-----------|
u ceuskel i	|---|-|-⌫|
felunsu sprent	----|--⌫-----|
s oite n u e ntreucorsuteste	-⌫--|-⌫|-⌫-⌫---||---||----|
garisent nismueb este	-------|--|--|-⌫---|
kecri ez est hemen aie	-|---⌫-|--|--|-|--|
restoréila	-------|-||
sa unteet uie	--⌫---|-|--|
agenu illiuns etg ointe m ein s	|----⌫------|-|-⌫----|-⌫---⌫|
prideu etlesce lesti ens	--|--|-|--|--⌫-----⌫--|
uertuz kea	-----|-||
malme profite	|---|------|
de s eintedmu ndestoireescrite	-|-⌫---|----⌫-|------|------|
es pei rke	--⌫---⌫|-|
al mesente	--⌫-|----|
seinzdeusen terre honure r	----|---|-|----|------⌫|
etlagloir e d euenhaucer	-|-|-----⌫|-⌫-|-------|
comencaip ure l	-------|-⌫-|-⌫|
ceos ettresbien	--|-⌫-|-------|
le r ei decel	-|-⌫-|-|--|
etke chescuns eit p lu s sages	-|-|------|-⌫--|-⌫--⌫|----|
es critl ayendeux	--⌫---||-|-|---|
paruouscu ntasse ysabe le	--|---|--⌫-----|-----⌫-|
de essexetdearundel e	-|----|-|-|-------⌫|
k em efut esespurun	-⌫|-⌫|---⌫-|------|
treteuous ledun	----|---|-|--|
uo u sm estesauoeedame	--⌫-⌫||----|----|---|
sensu rtde uous bonefame	|-|--⌫-|-|---|---|---|
ke uouspar diuinegra ce	-|---|--|-----|---⌫-|
desaintedmund	-|----|-----|
su ezlat race	--⌫-|-|-⌫---|
et kedeuuousen	-|-|--|---|-|
cumiladg eredun	--|-|-|-⌫-----|
sifr a ilsanz dutance	-|--⌫|-|---|------|
kant desertee ste a	---|------|-⌫-|||
es perance	--⌫------|
mut de i tengleter r e aue r	--|--⌫-⌫|--------⌫-⌫|---⌫|
gloireioie demener	-----|---|------|
sei ntdeluiest issu	---⌫-|-|--|--|---|
etf rancekelad receu	-|-⌫----|-||-|----|
delsauueur	--|------|
aenglete rr e unautrehonur	|-------⌫--⌫|-|----|----|
kea engleisest si largeet	-||------|--|-|----|-|
t r amis nusad	-⌫-⌫---|--|-|
deson se int s anc	-|--|--⌫--|-⌫--|
n epuetco mestauis	-⌫|---|-||--|---|
estre maire	----|----|
e ntremorteus sai ntuaire	-⌫---|------|---⌫------|
nonpaslacroiz	--|--|-|----|
ests einte	--|-⌫----|
pur le s anc dunte le est teinte	--|-|-⌫--|---|-⌫-|--|-----|
nel esclou sne laco rune	-|-⌫-|----⌫|-|-|--⌫---|
sancseintel urdune	---|-----|-⌫-|---|
tre spassedroitnepas	---⌫-----|----|-|--|
deustramisle pas	---|-----|-|--|
estcu mencire	--|--⌫|-|---|
enmarbrekanta	-|-----|---||
cunge pre ndre	----|---⌫---|
dete remunta susen	-|--⌫-|----|--|-|
ueiant et presentmo rteus	-----|-|------|--⌫----|
ked eusfistpurremembrance	-|-⌫--|---|--|----------|
d eli kenefust ob li a nce	-⌫|-|-|-|---|--⌫--⌫-⌫--|
lir eishenriz ki er tf iziohan	-|-⌫--|-----|-|--⌫|-⌫-|----|
entren time	-|----⌫---|
desonre gn en uspurchaca	-|--|--⌫--⌫|-⌫-|-------|
lesanck asein t edwarddona	-|---|||----⌫|-----|---|
et pus lepas enl	-|--|-|--|-||
dunau fi stlesa nc	---||--⌫-|-|--⌫-|
om nipotentk iencel tun e	--⌫-------|-⌫|-|--|---⌫|
teu biensa engleteredune	--|----||--------|---|
kire gne reiscelesti en	-|--⌫--|---|-------⌫-|
ent uz ten sen glo ire	-|-⌫-|---⌫|-|---⌫--|
