en un iorgedepresseizde	-|-|--|-|---------|-|
faitasseizdunkesco mandatlenfant delcalchoir monteir .	---|-----|-----|--⌫-----||-----|--|-------|------||
ilclostlo celirsi lolaissatguar n itde	-|----|-|----|-|-|------|----⌫-⌫-|-|
propresaelempresseitetmanes soi	-----|---|---------|-|----|--|
repairat ala	-------||-|
e l tierciorap elat	-⌫|----|--|--⌫---|
lodeu ant dit constantiu m loprestee tfait elorison	-|---⌫--|--|----------⌫|-|-----|-⌫|----⌫||-----|
aouritlocel ier	-----|-|---⌫--|
et lesua iss eazes	-|--|--⌫---⌫--|-|
queiz il auo it	----|-|---⌫-|
espandut mult p etit	-------|---|-⌫---|
delicortroua tplant iuousemen t uinespandanzsikeli uinsorcroissa nt	-|----|-----⌫|-----⌫---------⌫|--|--------|---|-|--|----------⌫-|
alassentsort otlopauiment	-------|--|-⌫-|-|-------|
liueskes entrast	-|-----|------|
plus tard i uement .	---|----⌫-⌫-----||
dunkes comandatalprestespawentablement.	-----|-------|-|-----|--------------||
ke il cestmiracle n enseng naista	-|-|---|------||------⌫----||
nului comlongementiluiueroitelcors loist	----|--|--------|-|-------|-|---|----|
a sa u oircremanzke ilen	|--⌫-⌫--|------|-|-|-|
lau ertut de l fait horteiz pa r humaine	-|-⌫----|--⌫|---|------|--⌫|------|
fa uornedeuenist	--⌫--|-|-------|
uainsde ce	----|-|-|
d eu enzdo nt il defo rsazh ommesgra nzapparissoitsiuanzes siment	-⌫--⌫--|--⌫-|-|----⌫-|-|-⌫----|---⌫-|----------|-----|--⌫-----|
l ex empledel maistre l i	|--⌫----|--|------|-⌫|
queiz p ar ke	----|-⌫-|-|
il no samenroit a lauoiede	-|--⌫|-------||-|---|-|
ueriteitdesoi	-------|-|--|
meismecomandatasesd isciples disanz	-----|-------||--|-⌫-------|-----|
ke il leschosescui	-|-|--|-----|--|
i l auoientueu t nede i ssent	-⌫|------|---⌫|-|--⌫-⌫----|
a nuluidesatantkeli filz	|----|--|------|-|---|
del omme d esmorzfust .	-||---|-⌫-|---|---||
keouerteochisonssoidonatil moi plai stad emandeir	-|-----|-------|--|----|-|--|----⌫-||-⌫-------|
kecesoitke nost resrachateres q uantilazd ous	-|-|---|-|----⌫--|---------|-⌫---|-|-|-⌫--|
auoglesrendit lumierelurcomandatkeil	------|-----|------|--|-------|-|-|
ne ldeissent a	-||-------||
nul hommeeticils enalant	--|----|-|---||-|----|
espandire ntl afamedecelui	---------⌫-|-⌫|---|-|----|
e ntote celete rre	-⌫|---|---|--⌫--|
outd u nkes liu nsengenreizfilz comparmanabl es	--|-⌫-⌫---|-|-⌫-|--------|---|------------⌫-|
al p er eetal s aintespir	-|-⌫--⌫|-|-|-⌫---|----|
enc estechose uoloir keilnepoutpas	-|-⌫---|----|-----|-|-|-|---|--|
empli r keli miracl es c ui il u ol testretau t	-----⌫|-|-|------⌫-|-⌫-|-|-⌫--⌫|----|---⌫|
ne po istestre repu ns	-|--⌫--|----|----⌫-|
nostresracha teirestotcekeilfis t p arso umorteil	------|-----⌫-----|--|-|-|-|---⌫|-⌫-|--⌫|------|
cor sce nosdonaten	---⌫|-|--|----|-|
exempledefaitparke solunc	------|-|---|--|-|-----|
lam esurede nostres	-|-⌫----|-|------|
for ces s estracessi wantparn ient hor teitde	---⌫--|-⌫-|-----|--⌫---|--|-⌫---|---⌫---|-|
nostr eoeure prendonslauoi ede ce ste prese nt	-----⌫|----|-------|-|---⌫|-|--⌫--|-----⌫-|
qua rilfaisanzl omir acle comanda t	---⌫|-|------|-⌫|---⌫---|-------⌫|
ke lomlotawistetnekedentne poutestr e	-|--|-|-----|-|-------|-|---|----⌫|
tauzp arkelo ist	---|-⌫-|-|--⌫--|
asauoiretseiellitl esexe mplesde sadoct rine	|-----|-|--|----|-⌫-|---⌫----|-|-|----⌫---|
grandes choses	------|-----|
cuii lfo ntaient	--|-⌫|--⌫-|----|
c ertesen lur uolenteitata piret	-⌫----|-|--|--------|---⌫--|-|
parkeilpro fitentazaltres	--|-|-|---⌫-----|-|-----|
soientaccus e itnient	-----|-----⌫-⌫-|----|
u olen tr i uparke ces oit degra nt h umiliteit	-⌫----⌫--⌫-⌫|--|-|-|-⌫--|-|---⌫-|-⌫--------|
ke ild esirent luroeures estr etautes et	-|-|-⌫------|--|-----|----⌫|-----|-|
degran duti liteit	-|----⌫|---⌫-----|
ke l uroeures ne	-|-⌫-|-----|-|
pu entp asestre	--⌫--|-⌫-|----|
gier esli sires	----⌫-|-|----|
neuolt alcun echoseestrefai teki ne	-|---|-----⌫|----|----|---⌫-|-|-|
poistpas estref ait emaisque ilechosedo i uent	----|--|----|-⌫---⌫|---|---⌫--|----|--⌫-⌫---|
sei me nbre uoloiru queile	--|--⌫---|-----||-----|
ch ose soitfaitemeism es q uanti lneu uelent ildonat	--⌫--|---|----|-----⌫-|-⌫---|-⌫|-|-⌫-----|-|----|
exemple par	------|--|
l amaisteriedesadoc trine .	-⌫|--------|-|-|---⌫----||
ilmoi plaist ce	-|--|-----|-|
encorremai nent poial cunes cho s esdeloeur eboneface	----|-----⌫---|--|--⌫----|---⌫-⌫-|-||----⌫|-------|
lo ueskeles queilespa rtantkei e ai	-|----|--|------|--⌫|---|-|-⌫|-|
faitramenbra ncedelui ge les parsiurai.	---|--------⌫--|-|--|-|--|--------||
quar enunaltretens a proch ieuet li iorsno e ilsde l	---|-|-|----|---|-⌫-----⌫----|-|---|--⌫-⌫--|--⌫|
biene urouspr oculilo martreel qu eilli u mano it uns no bles	-----⌫----|--⌫----|-|-----|-|--⌫--|--⌫|----⌫-|--|--⌫---|
homfortuneizpar nom kip ar	--|--------|--|--|-|-⌫-|
grandesproieres proiatcel m e ismehonor a b le hommeb onefac e ke	------|-------|-----|--|-⌫-⌫---|-----⌫-⌫-⌫-|----|-⌫------⌫|-|
cantile ust faitlessolle mpn iteides	---|-|-⌫--|---|--|-----⌫---⌫---|--|
messes ke iltornaisten	-----|-|-|-------|-|
s amaison por don eirla	-⌫|-----|--|---⌫--|-|
beneizo n .	-------⌫||
hom de deun epotpas denoi erceke	--|-|--|-⌫|--|--|-----⌫-|-|-|
lui proiatla	--|-----|-|
cariteizdela	-------|-|-|
pe nsede fortunei t.	--⌫--|-|--------⌫||
gieres cantil	-----|---|-|
otparfaitl es sollempnitei z desmessesquantil astoit	-|------|-⌫-|------------⌫|--|-----|----|-|-----|
uen uza latable del ci	---⌫-||-|----|--|-|
deuantditbaron	-----|--|----|
fortu neitanzoiskeil desistlymne	-----⌫---|-------|-|-----||---|
ade u alsicom li alc antsoelent que rre	|--⌫|---|--|-|---⌫--|------|---⌫--|
l auiandeparl art dei oweir	-⌫|-----|--||--|-|-⌫----|
m anesesti utd euantl uisunsho mau oc	-⌫---|----⌫-|-⌫----||--|--|--⌫|--⌫-|
unsingeet s ife ritlotabur .	-|----|-|-⌫|--⌫--|-|----||
sondesd eniatl is ainz	--|----⌫----|-⌫|-⌫---|
hometsidist guai guai	--|-|-|---|---|---|
mor zicizc haitis	---⌫|---|-⌫-----|
mo rt esticiz	--⌫-|--|---|
gesuiuenuzalat ab le de refect ion gen	-|--|----||-|-⌫--⌫-|-|------⌫--|-||
aouri pas e ncor	----|--|-⌫---|
mabo chea laloengededeueticiz uenanz	-|--⌫--||-|-----|-|--|-|---|-----|
auocsonsingefer it lotabur.	---|--|----|---⌫-|-|----||
nequeden tioinstil apres e t sidistaleizetsi	--------⌫|-----|-|----|-⌫|-|---|----|-|-|
lido neiz a	-|--⌫---||
mang ieret	----⌫--|-|
aboiureporcariteit	|-----|--|-------|
s achieznekedentke il	-⌫-----|-------|-|-|
liq ueiz m aleureizhomqua ntilot	-|-⌫---|-⌫-------|--|---⌫-|-|-|
prisp ainetu inde	---|-⌫--|-|-⌫-|-|
celemeis memaison	---|----⌫-|-----|
illues eissir	-|---|-----|
maisunegrande piere chaitsodainementdelto it	---|--|-----|----|----|----------|--|--⌫-|
ets el iuintelchief.	-|-⌫|-⌫|---|-|----||
del que il colpil	--|---⌫-|---|-|
iusestern eizentrelesm ainsfu t	--|------⌫--|----|--|-⌫---|--⌫|
demei morz.	----|---||
mais enlal treiors olunc la senten cede	---|-||--⌫--|--|-⌫----|-|------⌫-|-|
l om medeufinatlauiedeltotent ot	|--⌫-|--|----|-|--|--|--|-|-⌫-|
enlaque ilec hose pi eresdoit	-|-|---⌫--|-⌫---|--⌫---|---|
lom penseircomgranz honorsd oitestre	--|------|--|----|-----|-⌫--|----|
doneizaz sai n zhommes.	-----|-|---⌫-⌫|-----||
qua ril sontlitemplesdedeu	---⌫|-|---|-|------|-|--|
et quant uns	-|----|--|
sainzhom esttr aiz	----|--|--|--⌫--|
a corrocementqueiz altres es tencit eiz acorr ocement seli	|----------|----|-----|--⌫|-----⌫--||----⌫------|-|-|
h abiteires nonde c elmeis mes	-⌫--------|--|-|-⌫-|----⌫--|
g i eresentant d oit	-⌫-⌫---|-|---|-⌫--|
omcremirla	-|-----|-|
iredes iustesencombience rtechose es t	--|--|-----|-|------|--⌫--|----|--⌫|
keen lurcuers icilestprese nzki	-|-|--|----|---|--|-----⌫-|-|
ne st pasfloib es	|-⌫-|--|-----⌫-|
ado neiruenian cecuiiluolrat.	|--⌫---|------⌫-|--|-|-----||
enun altretensessimentlicideuantdizconst antius	-|-|----|---|-------|-|-|-----|--|-----⌫-----|
lipres tesses nierziluendit	-|----⌫--|--|----|-|-----|
son cheualdozebesanz lesqueiz	--|-----|---|-----|--|----|
ilmist e n sa pro pre	-|---|-⌫|-|---⌫--|
huigesisen al at a	----|-||-|--⌫-||
fairealcu n eoeure.	----|----⌫-⌫|----||
d un ke su inr ent	-⌫--⌫--⌫|-⌫---⌫--|
lipoure sodainementa lu eske ki	-|----|----------|-⌫|-⌫---|-|
angoissousem e ntproieuent keli s ainz hom bonefacesliueskes	------------⌫-⌫-|--------|-|-|-⌫---|--|--------|-|-----|
lurdeusta l cunechosedon eir al	--|----|-⌫-⌫---|----|---⌫--|-|
confo rt delur	-----⌫-|-|--|
maisl i sainz hompar	---|-⌫|----|--|--|
ta n t ke il	--⌫-⌫|-|-|
nau oitnulec h osecuiildonroit	|--⌫--|---|-⌫-⌫--|--|-|------|
si comenz atauo iranguoisseen sa pens ekeli po ure	-|------⌫-|---⌫-|--------|-|-|----⌫|-|-|--⌫--|
n eississen tuuit	|---------⌫|---|
acuim anesrep airat	|--|-⌫---|---⌫----|
amemoireke cons tantiusli prestesses nier zauoitu endut	|------|-|----⌫------|-|------|--|----⌫|----|-⌫----|
locheu alsor cu ii lsoloitse oire t	-|----⌫-|--|--⌫|-⌫|-----|--⌫--|-⌫|
auo itensahuigecest meis me	---⌫-|-|-|----|---|----⌫-|
giere s quantcil sesnierz n efutpas	-----⌫|----|--|--|----|-⌫|--|--|
presenzdu n kes uin til a	------|--⌫-⌫--|---⌫|-||
l ahuigeetilpiement crueiz b risatles	-⌫|----|-|-|------|-----|-⌫----|--|
closuresde	-------|-|
lahuigeilprist lesdozebesanz s iles	-|----|-|----|--|---|-----|-⌫|--|
departit azbesoniousal sicom li	-------|-|--------|--⌫-|--|-|
gieres co nsta ntiu sliprestes r euen uzdel oeuretrouatsa	-----|--⌫----⌫----⌫|-|------|-⌫----⌫-|-||----|-----|-|
huige brisieetsinet rouatmie	----|-----|-|-|-|-⌫----|--|
cheualcu i	-----|--⌫|
ili l okesot m is	-|-⌫-⌫---|-|-⌫-|
dunk es comenzatde grande	----⌫-|-------|-|-----|
uoizafri n teir et	---||---⌫-⌫---|-|
forsensacrier	------||----|
tuituiuentici	---|-----|--|
gesouze nces te ma isonnepui spasuiure	-|---|-⌫|---⌫-|--⌫---|-|---⌫|--|----|
acuiuoi zuintlieueske set	|--|---⌫|---|-|------⌫|-|
t restotkien	-⌫-----|-|-|
celemeis me	---|----⌫-|
uesc hietastoient	----⌫---|-------|
etquantli hom deu par su aiuepar olelo	-|----|-|--|--|--|--⌫---|---⌫--|-|
uoloit assuag ierdunkesc ome nza t ici la ten zona	-----|------⌫--|-----|-⌫---⌫---⌫|---⌫||---⌫--||
respondredisanz t rest uituiuentauocto igesouznonpuis	--------|-----|-⌫----⌫--|-----|---|--⌫|-|---|--|---|
deuanttoi.	-----|--||
r entam oimessauz .	-⌫--||-⌫-|--|---||
desqueiz uoiz	--|----|---|
futcommouz liues ke s	--|------|-|---⌫--⌫|
sientratlaglisede	-|-----|-|----|-|
lab ieneurouse ma rietoz tensuirg eneet sorl e ueiesses mains	-|-⌫---------|--⌫--|--|---|----⌫--|-|----⌫-⌫----|--|----|
uestiment e nest ant comenzataoreir ke seroita	--------|-⌫|---⌫--|-------||----|-|-----||
lui rendut do nt	--|-----|--⌫-|
i l poistassuagierladerueriedelfors ena nt preste	-⌫|----|--------|-|-------|--|----⌫---⌫-|-----|
e tquantil sodainem entotremeneizses	-⌫|----|-|--------⌫--|-|-------|--|
sonu estiment entrel eses tenduzbrazsitrouatmanesen	--|-⌫-------|----|-⌫-|--⌫-----|---|-|-----|----|-|
sonsaindozebesanzensisp len dianzcom	--|---|---|-----|---|--⌫---⌫----|--|
ilence lemeisme hor efu ssen tdelf ou	-|-|--⌫-|-----|---⌫|--⌫----⌫|--|-⌫-|
ki m anes ei ssuz del agli s e	-|-⌫---|--⌫---|-|-⌫|---⌫-⌫|
lesgett atel	--|----⌫-|-|
saindelforsenantprested isanzelleuostuas te s	---|--|--------|-----|-⌫----|------|-|-|--⌫|
sauzcuitudemandas.	---|--|-|-------||
maisce soit	---|-|---|
a toi conut k etuapres ma mort	|--|----|-⌫|-|----|-|---|
a cestegliseneseraspas	|----|----|-|----|--|
ues kes portonauarisce.	---⌫--|--|--|-------||
delaqueil e uer i teit decestesentenceentent lom	-|-|-----⌫|---⌫-⌫---|-|----|-------|-----|--|
keli p restes	-|-|-⌫-----|
cezmeismess auzporaquerre laueschietdeuant appareilhoit.	--|------|-⌫--|--|------|-|-------|-----|-----------||
maisli s ermons delomme deu	---|-|-⌫-----|-||---|--|
sormont a t .	-------⌫-⌫||
quari cilmeisme s const ancesfi nat lauiee l	---|-⌫--|------⌫|-----⌫----|--⌫--|-|--|-⌫|
officedeprestage.	-----|-|-------||
au nal tre tens	|-⌫|--⌫--|---|
d erechiefuinrent a lui	-⌫-------|------||--|
duigothepor	--|----|--|
herbergierki di ssentsoi hasteir	---------|-|--⌫----|--|------|
enuersrauenne.	-----|------||
azqueizildonat	-|----|-|----|
desa mainun	-|-|---|-|
uaisseldefus tplainde	------|-|---⌫|----|-|
ui nloqueililpoissen tpa r auenture el	--⌫|-|----|-|-------⌫|--⌫|-------|-|
din neirdela uoie .	---⌫---|-|-|---||
delqueil biurent	--|----|------|
icilgothedesatantkeilparu i nrentarauenn e	---|----|--|------|-|----⌫-⌫----||------⌫|
etpa ralcanziorsdemorerentil	-|--⌫|-----|---|---------|-|
en cele me ismeciteite t si ourentlouincui	-|---|--⌫---|-----|-⌫|-|-----|-|--|--|
il delsai nt hommeauoien tpris	-|--|---⌫-|----|------⌫|---|
parcasc un	--|----⌫-|
io ren lurus.	--⌫|-|--|-||
et ensiretornerentilios kesa cel	-|---|----------|-|---⌫--||--|
meismehono rablepere a fe ren tis ke	-----|----⌫----|---||--⌫---⌫--|-|
ilennul iorne cess erent d e boireetnekedent	-|-|--|--|-|----⌫----|-⌫|----|-|-------|
liuinsnef alitunkes e n celuaissel alsi com	-|---|-|-⌫---|----|-⌫|--|------|---|--|
en ce luaisseldefu st cuiliues keslurauoit	-|--⌫|------|-|--⌫-|--|-|---⌫--|--|----|
don eitliui nsnefustpasaoisie z	---⌫--|-|--⌫-|-|---|--|------⌫|
maisna skist.	---|--⌫----||
noue le men t essiment	----⌫--⌫---⌫|-------|
ui ntu ns clersuielharsd escontreies decelmeism eliu	--⌫-|-⌫-|----|-------|-⌫-|--------|-|--|-----⌫|--|
liqueiz leschose s cui ilracontetd e	-|----|--|-----⌫|--|-|-------|-⌫|
celui nedoit	----|-|---|
om pascourirp arsilenc e .	-|--|-----|-⌫-|------⌫||
quarild ist	---|-|-⌫--|
ke ilparun	-|-|--|-|
i orentrate l cortilsilo tro u at estrecouert	-⌫-|-----|-⌫|-----|-|-|---⌫-⌫-|----|-----|
grandemul titudinedehonines.	-----|---⌫-------|-|------||
liqueizueanztotlo co rtilperir ilsoiret orn at	-|----|----|--|-|--⌫---|----|-|--|---⌫---⌫-|
acezmeismes honine ssid ist	|--|------|------⌫|-|-⌫--|
geuos coni urel nomde no stresanior	-|--|----⌫-|-|--|-|--⌫---|-----|
de u ihe su	--⌫|---⌫-|
c ristaleizdecietsi	-⌫---|----|-|-|-|-|
n euoilhi e z pasman giercez iot es.	-⌫|------⌫-⌫|--|---⌫---|--|---⌫-||
les queile sm an es a lap ar oledel	--|------⌫|-⌫--⌫-||-|-⌫--⌫--|-||
omm ed edeuensitote sseneissirentsikenes	---⌫|-⌫|--|---|----⌫||-|--------|---|--|
nir emeist dedenzlospazedelcor til	||-⌫-----|-----|-|----|--|---⌫--|
mais qu eizmeruei lheest s e	---|--⌫--|------⌫--|--|-⌫|
n osracont onscezch osesde l	-⌫-|------⌫--|--|--⌫---|--⌫|
tens desaueschiet quantia	---|-|-|-------|----|-|
futcreguzde uant lototpoi ssantdeuparord e neauoc	--|-----|--⌫---|-|------⌫----|--|--|---⌫-⌫-|---|
etparc on stumes	-|--|-⌫--⌫-----|
quantcele ssont	----|----⌫|---|
pl usamerui l hier lesqueizciz uiel harz	--⌫-||-----⌫-⌫---|--|----|--|----⌫---|
clerst esmonget	----|-⌫-------|
lui a uoir faitencore nfanz on	--|-⌫---|---|----|-⌫-----⌫-|
q uari ldistke	-⌫--|-⌫|---|-|
tensqu ant il	---|--⌫--|-|
man o itenf esa uocsameireileis suz del hosteil	---⌫-⌫-|---⌫-|-⌫--|-|----|-|---⌫--|-||------|
ala fie senzcamisesouentesfoiesessimentre pa iroit	|-|--|---|-----|-------|----|-------|--⌫--⌫----|
ilsenzcotecarm an eske	-|---|---|--|-⌫--⌫-|-|
ilauoit tr o ueitnud cuikesoitsilo	-|----|--⌫-⌫---|--|----|---|-|-|
uestoit ici	------|--|
soi despoi lhanzparke ild el a	--|------⌫----|--|-|-|-⌫|-⌫|
couerturedecellowier	--------|-|--|-----|
soicouerroitd euantles	--|--------|-⌫----|--|
oezdede u .	--|-|--⌫||
l oq ueilsoloi tsameir esouent es	-⌫|-⌫---|-----⌫|-|----⌫|------⌫-|
foiesc hosei r disanz ke cen ef ustpas	----|-⌫-----⌫|-----|-|-|-⌫|-⌫--|--|
droizkeilbesoniou sdonroitaspoures	----|-|-|--------⌫|------|-|-----|
uestime nz .	-------⌫-||
laqueilemeire uniorentrat en	-|-----|----|-|--|-----|-|
sa gr ainge etsitrou at	-|--⌫----|-|-|----⌫-|
prestotlofrument cui ele	---|--|-|------|--|--|
auoital uiure detotlanasoi appareilhié t	----|-|----|-|--||-||--|------------⌫|
desonfilhaz pouresd espendut .	-|--|---|-|-----|-⌫-------||
ele soi meismeferoitdec anei es etdepuin z	--|--|-----|-----|-|-⌫----⌫-|-|-|----⌫|
keleauoita lsike	|--|----|-⌫--|-|
lessoccursde lanperdut	--|------|-||-|-----|
dunkesisor uint bonefaces	-----||---⌫---|--------|
l ienfesde d eus i	-⌫|----|-|-⌫-|-⌫|
com enzatcelei acon forteir de s pa rol escui ilpout	---⌫----|----||---⌫------|--⌫|--⌫---⌫-|--|-|---|
laqueile cant	-|-----|---|
ele nient ne	--|----|-|
p rendoitdeconfortdunkeslirouatlienfesk	-⌫------|-|------|-----|-|----|-|----||
el ed eusteissir dela	--⌫|-⌫---|-----|-|-|
la qu eile fut t rouei t	-|--⌫---|--|-⌫-----⌫|
unpetit a uoirremeis	-|----|-⌫---|-----|
detotlur frument.	-|--|--|------||
e tlienfes	-⌫|-|----|
deuis nelementsoi donatilo c	--|--⌫-------|--|----|---⌫|
enor ison .	-|--⌫---||
eneissitapresunpet i t	-|-----|----|-|---⌫-⌫|
sir emenatsamere alagrangelaq u eil e	-|-⌫-----|-|---||-|-----|-|-⌫-⌫---⌫|
fu ttroueieens ip lainede f rumentsikele la	--⌫|------|---⌫|-⌫----|-|-⌫-----|--|--|-|
deuant nefutpas si	-----|-|--|--|-|
plainequantsamer e auoitioie soiauoi r assemble it	-----|----|-|---⌫|----|---|--|----⌫|--------⌫-|
lesd es pensesde totlan.	--|-⌫--⌫-----|-|--||-||
mere otueut	---|-|---|
ices t miracleele	----⌫|------|--|
otcompunctionetelemeisme	-|----------|-|--|-----|
come nzat ia	----⌫---|-|
fairekeledonroit kisie nhel ement po is t prendreles	----||--|------|-|-|-⌫----⌫----|--⌫--⌫|------|--|
choses cui	-----|--|
elepr oiast .	--|--⌫----||
gieresi cesteauoitacconstume it	-----|-⌫----|----|----------⌫-|
anorrir gellin es	|-----|------⌫-|
elporc edesonhos t eilm ais li	-|----⌫|-|--|---⌫-⌫--|-⌫--|-|
holpizuenanz	-----|-----|
del a uoisin et eitles toloit.	-|-⌫|------⌫--⌫--|--|-----||
maisp ar uniorquantlien fesbonefacesesteuet	---|-⌫-|-|--|----|-|--⌫--|--------|------|
e nce lmeismeporcedun kes	-⌫|--⌫|-----|----|---⌫--|
uintliholpi zsoluncsacons tume	---|-|-----⌫|-----|-|----⌫---|
esi to lit u negell ine.	|-|--⌫--|-⌫-|----⌫--||
eti len tratenhelementenlaglise	-|-⌫|--⌫---|---------|-|-|----|
soiiuses ternan zenorison	--|--|--⌫------⌫|-|-----|
di stpara ouertesuoizp laisticeat oisire	--⌫-|--|-⌫------|---|-⌫----|--||-⌫-|---|
keie nonpuis pa smengier de	-|-|--|---|--⌫|------|-|
lanorrezonmamere	-|-------|-|---|
quarelleuos	---|------|
liholpizma niuetlesgellines cui elenorrist.	-|-----|--⌫----|--|-------|--|--|------||
kiso i leuanz delorisoneissit	-|--⌫|-----|-||-----|-----|
fors d elagli se.	---|-⌫|-|---⌫-||
etman esr epai rat	-|---⌫-|-⌫----⌫--|
li holpiz s il aissa tlagellinecuiiltenoit de	-|-----|-⌫|-⌫-----⌫|-|------|--|-|-----|-|
et elem oranzde uantsesoez	-|--|-⌫----|--⌫---|--|--|
chaitent erre.	----|-|-⌫---||
mult merueilhous e	---|-----------⌫|
cho seest ke	---⌫-|--|-|
deusd enget oirles proie resdeceaz ki o nt	---|-⌫----|--|--|-----⌫--|-|---|-|-⌫-|
spera nceen	-----⌫--|-|
soimeismesesuileschoses.	--|------|-|----|-----||
pieres ceste c h ose estfaiteparl a	-----|----|-⌫-⌫--|--|----|--|-⌫|
grande dispensa tio n denostre	-----|--------⌫---⌫|-|-----|
faiteor parkenosparlestres	------|--|-|--|--|--|---|
pet i teschosescuinos prendon sles	---⌫-⌫--|-----|--|--|-------⌫|--|
p lusgran desd oionsespereir	-⌫--|----⌫--|-⌫----|-------|
carlisa inzenfes	--|-|--⌫--|----|
etlisimplesfut	-|-|------|--|
oizenchosesuiles parkeilaprend eroit	--|-|-----|----|--|-|-|------⌫----|
es petites chosescombien	-|------|-----|------|
ildeuroitdedeupre sumir esg randes demandises.	-|------|-|--|---⌫----|-|-⌫-----|---------||
ce moi p laist	-|--|-⌫----|
unsa ltreshomf utessime ntencezmei smescontreies	--|-⌫----|--|-⌫-|------⌫-|-|--|---⌫---|--------|
donor abl eu i efortu ne izpar	|----⌫---⌫|-⌫-⌫|-----⌫--⌫-|--|
nom ue skes	--|--⌫---|
del a glisetudertinekifu tu ailh anzen	-|-⌫|----|--------|-|--⌫|-⌫----⌫--|-|
lagrasce de	-|-----|-|
grandeuer tut porchacie rfors les	-----|---⌫--|--|------⌫|---|--|
espirssik eil	-----|---⌫|-|
fiedesporsis	--|--|-----|
corsdeboto i tl es legions desdiableset	---|------⌫-⌫|-⌫-|------|--|------|-|
ile n tend uza continueitestu i dedorisonsormontoit lur	-|-⌫-⌫----⌫-||---------|----⌫-⌫-||-----|---------|--|
multiteizasoi .	--------||--||
iulienslidefenderesdenost re	------|-|---------|-|----⌫-|
glisekinientdeuantlon c	----|-|----|-----|---⌫|
tens en icestborcmorutilfutfamilier sdecest	---|-|----|---|----|-|--|--------⌫|-|---|
hommeparcui raconte mentge apri s al tresicekeie	----|--|--|-------⌫---|-|----⌫|--⌫----|-|-|-|
caril fut soue ntes foies entrelesoeu res	--|-|--|----⌫---|----|----|--|---⌫--|
de celuip arl osement de	-|----|-⌫-||------|-|
fami liarite i t et enaprestintil	----⌫-------⌫-⌫|-|-|----|---|-|
laramenb rancedecel ui en sabochealsicom	-|------⌫----|-|---⌫-|-|-|----|---|--|
ladol zordem ielanostreestruisement	-|---⌫--|-|-⌫--||-----|-----------|
unen obledamm ees uoisi nes	--|-⌫---|----⌫|-|-----⌫--|
c ontreiesdetoscaneauoi tunebrutla queileensi	-⌫-------|-|------|----⌫|--|---|-|-----|-|-|
corttensen cui eleau oitprissonf ilhfut	---|---|-|--|--|--⌫--|---|--|-⌫--|--|
enuieieau occeleme ismes asure	------|--⌫-|---|--⌫---|-⌫|---|
di caze delorat oirede lbieneur o ussebastien lo martre	--⌫---|-||----⌫---|--⌫|-------⌫-⌫-|--------|-|-----|
maisen cele mei sme	---|-|---|---⌫--|
nuitq uant eledeuoit elapressiuant ior aleir	---|-⌫---|--|-----|-|----|-----|--|----|
ap r oc essionaladicaze del	|-⌫-⌫--⌫-----||-|-----|--|
d eu ant ditoratoire ele	-⌫--⌫--|--|-------|--|
uencu edeldelitdelach arne	-----⌫|--|----|-|-|--⌫-|-|
soipotten irdesonbaron .	--|--|---⌫-|-|--|----||
et q uantfai telamatin eiee s p aw entoit saconsci ence	-|-⌫---|---⌫-|-|-----⌫--|-⌫-⌫-⌫--⌫-----|-|------⌫---|
lide liz de la char	-|--⌫--|-|-|---|
cuieleauoitparfait e et liuergon gescomand euetl a	--|--|----|-------⌫|-|-|------⌫--|------⌫---|-⌫|
processionplus ai anzhonte	---------|---|--⌫--|----|
delu ia ire	--|-⌫--⌫--|
des hommeskecremanzloiug ementdedeuele s	--|-----|-|------|-|---⌫----|-|--|--||
e neissitauo c	-⌫|-----|---⌫|
aloratoirecu i lom deuoit	||-------|--⌫|--|-----|
ma ism anes kelesreliquesd elbieneuroussebas tienlo	--⌫-|-⌫---|-|--|-------|-⌫-|---------|-----⌫---|-|
martrefurenten treie sloratoir edunk es	-----|-----|--⌫-----⌫||-------⌫|----⌫-|
pristl imalignesespirs	----|-⌫|-------|-----|
cele brutdeladeuantdite dammesicomenzat	---|---|-|-|-----|---|----|-|-------|
celeiatrauilhier deu anttot	----||---------|---⌫--|--|
lopo ple .	-|--⌫--||
maisliprestesdecel m eisme	---|-|------|-|--|-⌫----|
ora toire quan t ilueoitceleimu lt forment	---⌫----|----⌫|-|----|----|--⌫-|------|
estretrauelhiesiostat enh element lo chainsinde	----|--------|-|----|---⌫------|-|-------|-|
lalteile t sicourit celei	|-----|-⌫|-|-----|----|
maismaneslidi ablesen tratau o cen ce l u i.	---|----|-|--⌫----|--⌫---|--⌫-⌫|-|--⌫-⌫-⌫||
et par ta ntkei luoltultreses for ces al cu ne	-|--|--⌫-|-|-⌫|---|----|--|---⌫--|--⌫--⌫-|
c hosepresumir	-⌫---|-------|
poruecfut i l	-----|--|-⌫|
destrainz e nson	--------|-⌫|--|
cruc iementconoist re quei zchose	----⌫-----|-------⌫-|----⌫|----|
il astoit.	-|-----||
m aisici lkil aastoient de	-⌫--|---⌫|-|-⌫|-------|-|
lurmai nsosterentla	--|---⌫-|-------|-|
meschinede loratoiresi porterentc eleiasa propre	-------|-||-------|-|--------|-⌫---||-|-----|
etquant li anciensan emisformentatriebleu etcel e ipar continueil	-|----|-|------|--⌫---|------|---------⌫-|---⌫-⌫|--|---------|
