Carleslireisnos tre	-----|-|---|---⌫--|
Pinabelmunam iemunperE	------|--|--⌫||--|--||
Ba ldewinmun fi lzque uossauez Eluiaidez	--⌫-----|--|--⌫-|--|--|----||--|----|
epurseignur tenez	|--|------|----|
Entretensaueies is	-----|-|-|---|-⌫||
est achiminez	--|--------|
Guen escheual chet suzuneoliu ehalt e	----⌫-|------⌫---|--|--|----⌫|----⌫|
As embletses tassarrazinsmessage s	--⌫-----||--⌫|-|--------|-------⌫|
Blanc an dr inskienuers	-----⌫--⌫--⌫--|-|-----|
lu sata rg et	-||---⌫--⌫-|
saueirpa rolet liunsalaltre	-----|--⌫----|-|--|||----|
B l an can drins	-⌫-⌫--⌫---⌫----|
Me rue i lus h o m est	--⌫---⌫-⌫--|-⌫-⌫|--|
Ki cunquist	-|-------|
Puillee t res tute	-----||-⌫---⌫---|
Engleterepass at illamersalse	--------|----⌫-|-|-|--|----|
Adoes seint	-|--|----|
cunquist lecheuage	-------|-|------|
Que nusreq uertça	--|--|---⌫---|--|
enlanostremarche	-|-|-----|-----|
Guenesrespunt	-----|------|
I t els estsis curages	-⌫-⌫--|--|--|------|
Ia mais nerthumekiencuntreluiuaille	--⌫---||--|---|-|-------|--|-----|
Bl ancandrin s	--⌫---------⌫|
Fran c ssuntmultg ent ilzh ome	----⌫-⌫|---|---|-⌫---⌫--|-⌫--|
Multgrantmal	---|----|--|
funtecilducecilcu nt e	---||--|--||--|--⌫--⌫|
Alurseignu r ki telcunsei lllidunent	|--|------⌫|-|--|------⌫-|-|-----|
Luiealtruitr auaill entecunfundent	--||-----|--⌫------⌫--||---------|
Guenesrespun t	-----|------⌫|
Ionesaiueirsnul hume	-|-|--|----|--|---|
R ollant kiuncor eenaura thu nte	-⌫-----|-|-----⌫|-|----⌫|--⌫--|
Ermatinsedeit liemperer e suzl umbre	-|----|-----|-|-------⌫|--||----|
uint isesniés	---||--|----|
ou t uestu esa b runieEout	--⌫|-----⌫|-|-⌫----||--|
predetdeiuste	-----|------|
Car casonie	---⌫------|
Ensa m a in tin t	-|-|-⌫-⌫-|---⌫|
une uermeille pume	--|--------|---|
Tenez bel sired ist	----|--|---|-⌫--|
Rollanta sun	------||--|
De trestuz	-|------|
reisuosprese nt lesc urunes	---|--|-----⌫-|--|-⌫-----|
Lisoensorg oil zl e d eur e it ben	-|----|---⌫---⌫|-⌫|-⌫---⌫-⌫-|--|
Karchas cun	--|----⌫--|
i urdemortsabandunet	-⌫-|-|---||--------|
Seit kilociettute	---|-||----|---|
Bla nca n drins	---⌫---⌫-⌫----|
Multestpesmes	---|--|-----|
Kit utegentuo el t f airerecreantEtutes	-|-⌫--|---|--⌫--⌫|-⌫---|-------||----|
t eresmetenchaleng ement	-⌫---|--|-|-------⌫----|
Parq uel egentquietil	--|-⌫---⌫|---|----|-|
e spleiter tant	-⌫-------|---|
Gu enes re spunt	--⌫---|--⌫----|
Parlafranceisegen t	--|-|--------|---⌫|
Il laimentt ant ne li fald runt nient	-||-----|-⌫--|-|-|----⌫---|----|
Oreargent l ur met tantenpresent	-||-----|-⌫-|--|---|-|------|
Mu lse d estrerspaliese	--⌫-||-⌫------|-----||
gu arnemenzLempereremeïsmesadtutas un	--⌫-------||-------|-------|-|--||-⌫-|
Cunquerr atliles	--------⌫-|-|--|
teresd ici	----||--|
Tantc heu alcherent	---|-⌫---⌫--------|
Blanc an drins	-----⌫--⌫----|
lalt rel a suefeitpleuit	|---⌫-|-⌫|--|---|-----|
Que ilquerre ientque	--|-|------⌫---|--|
Roll ant f ustocis	----⌫--|-⌫--|---|
Tantc heual cherent eueiesec hemi n s	---|-⌫-----⌫------||----||-⌫----⌫-⌫|
S arragu ce descende ntsuzunif	-⌫------⌫-|--------⌫-|--|-|-|
Un faldestoetout su z l	-|---------|--|--⌫||
umbre d u npin	----||-⌫|--|
Enuolupetfut dun	--------|--||-|
palieale xand rin	----|---⌫----⌫--|
Lafutl ireis	-|--|-⌫|---|
Es paignetint	--⌫-----|---|
Tu t en turluiuintmilie	--⌫|--⌫--|--|---|----|
SarrazinsNi	--------|||
adce loi kimo t suntn emot tint	-|--⌫--|-|--⌫|---|-⌫|--|---|
Purles nu ueles qu iluuldreiento ïr	--|--|--⌫----|-|-|---------|-⌫--|
Atantasuos	----|-|--|
Blanchandrins	------------|
Blancandrins ui nt deua nt	-----------|--⌫-|----⌫-|
Parl epuigtintle c unte	--|-⌫|---|---|-|-⌫---|
G uene lunEdistalrei	-⌫----⌫--||---|-|--|
Saluezseie z	-----|----⌫|
M ahu m Ed	-⌫---⌫|||
Apol linquiseintesleiste nuns	----⌫--|--|------|---|--⌫---|
u ostreme ss a ge fesimea	-⌫----|--⌫--⌫-⌫-|-----||
Ambesse s mainsenleuat cun trem unt	----|--⌫|----|-|----|---⌫----⌫--|
Deu ne fistaltrerespuns	--|-|---|----|------|
enueietunsun no blebarun	------|-|--|--⌫--|----|
Fra ncesi estmultr icheshom	---⌫--|-|--|---|-⌫----|--|
Par l uio rrezsi	--|-⌫-|-⌫---|-|
aur ezpais unun	---⌫-|---||--|
Or dietnus	-|---|--|
Maisliq uens	---|-|-⌫---|
Guenesse futbenpurpenset	-----|-|--|--|--------|
Pargrants a uer cume nce t aparler	--|----|-⌫-⌫--|----⌫---⌫||-----|
Cumecelui kibenfaire leset	---|----|-|--|----|-|--|
E distalrei	|---|-|--|
Saluezseiezde	-----|----|-|
Gloriu squideuum aürer Iç ouu s mandet	------⌫|--|----|-----|---⌫|--⌫|-----|
Carl emagnesliber	----⌫------|-|--|
Quer ec eue z	--|-⌫--⌫---⌫|
seintechr estient et	-----|---⌫-------⌫-|
E sp aign e uosuo elten	-⌫--⌫----⌫|--|--⌫--|-|
S ecestaco rdeneuulez	-⌫|---|---⌫--|-|----|
Pris eliezserezparp oësted	---||---|----|--|-⌫------|
Als iegead	-|-⌫---|-|
serezamenet	----|-----|
Par iugement ser ez	--|-------|---⌫-|
iloecfinet	----|----|
La mu rrezuusahuntee	-|--⌫---|--||----||
Marsilie senfut	--------⌫|-|--|
multesfreed	---|------|
Unalgiertint ki d orfutenpenet	-|-----|---|-||-|--|------|
Ferirlenuoltse nenfust	----||-|---|-||-|---|
Mar sili esad laculurmuee	---⌫----⌫-|-|-|----|---|
Desunalge iradlahanstecrollee	-|--|----⌫-|-|-|-----|------|
Quant l euit	----|-⌫|--|
Guenesmist la	-----|---|-|
Cuntredousde iela ddelfurrergetee	-----|---|--⌫-||-⌫|--|-----|----|
Si l iaddit	-|-⌫|-|--|
M ulteste sbelee cler e	-⌫--|----⌫|---||----⌫|
Tantuusa uraienc urtarei	---|--|-⌫---|-|-⌫--||--|
Fra nc e li emperere	---⌫--⌫|-|-------|
Quesul si m oergeen lestrange cuntree	--|---⌫||-⌫----|-||-------|------|
E inz uosau runtli me ill o rcum peree	-⌫--|--|--⌫---|-|--⌫---⌫-⌫|---⌫----|
Dientpaien	----|----|
Desfaimesla mellee	--------|-|-----|
Tantlipreierent limeillor	---|-|--------|-|------|
Que lf ald estoedses	-|-⌫|-⌫---⌫-----||-|
Marsiliesasis	--------|---|
A lgalif es	-⌫------⌫-|
Malnos auez bail lit	--|--|---|----⌫--|
F r ancei s a smastes aferir	-⌫-⌫-----⌫|-⌫------||----|
uo sdoüssez esc ulter eoïr	--⌫|-------|---⌫----||---|
Guene s meilauentasuf frir	-----⌫|--||----||---⌫---|
Io neler rei epo rtutl	-|-|---⌫---⌫|--⌫|--||
Neport utlau eir kiseit en	-|--|-⌫-||--⌫--|-|---|-|
Queio neli d iese ta ntai deleisir	--|-|-|-|-⌫-|-|--⌫-|-|-|-----|
Char les li mandetlireispoësteïf s	----⌫--|-|-----|-|---|----------⌫|
Parmeilimandet	--|--|-|-----|
sun mortel	--|-----|
Afublez estdunma ntelsabeli n	------|--||-|--⌫---|------⌫|
Kif utcuuertdunpaliealexandrin	-|-⌫-|-----||-|----|---------|
Getetleateresil receit	----|-||---|--|-----|
Blancandrin	----------|
Maisd es e spe ene uol t m ie	---|-⌫||-⌫---⌫|-|---⌫|-⌫-|
En sunpu ign	-|--|--⌫--|
d es tr eparl	-⌫--⌫--⌫|--||
oriépu ntlatint	----|--⌫-|-|---|
Dient paien	----|----|
Noble baron ad ci	----|----|-|-|
En uersl ereisest	--⌫---|-⌫|--||--|
Guenes aproi smet	-----|-----⌫---|
tortu o scuruciez	---|-⌫-⌫|-------|
Qu arç ouosmandet	--⌫-|--⌫|--|-----|
Carle sk i	-----⌫|-⌫|
Francetient	-----|----|
Quereceuezlalei dec hrest ïens	--|------|-|--|-|-⌫-----⌫----|
Espa igneuus durat	----⌫---|--|----|
ilenfietL al tremeitetaura t	-|-|---||--⌫--|-----|----⌫|
Ro llantsisnié s	--⌫----|--|----⌫|
Multorguillosparçuner	---|--------|--------|
Sicesteacorden e uol ezotrier	-|----|-----|-⌫|---⌫-|-----|
Sa rraguce u us uendrat	--⌫------|-⌫-|------|
Par poëstet s erez	--|-------|-⌫---|
Menetserezdr eit ad	----|----|--⌫--|-|
Ai slesiet	--⌫|-|---|
uus ni au rez	--|||--⌫--|
palefreid n edestrer	--------|-⌫|------|
nemulequepu issez ch eual cher	-|---|--|--⌫----|--⌫----⌫---|
G etetse rezsurunma lua issum er	-⌫---|--⌫--|--|-|--⌫---⌫-|---⌫-|
Pa r iug ement iloecperdrezle	--⌫|---⌫----|----|------|-|
N o stre empe r ere u u s en ueietces t bref	-⌫-⌫---|----⌫-⌫--|-⌫-⌫|--⌫----|---⌫|---|
Eld estrepoign al	-|-⌫----|----|-|
paienladliuret	----||-|-----|
Marsiliesf ut	--------|-⌫-|
esculurezde lire	--------|-||--|
Freintleseelgeteten ad la	-----|-|---|----|-|-|-|
Guardet al	------|-|
bre f uit laraisu nescrite	---⌫|--|-|-----⌫|------|
m and e tki	-⌫---⌫-⌫|-|
enb aill ie	-|-⌫----⌫-|
Quemere membredela	--|-|--⌫-----|-|-|
ir e C ̧oestde	--⌫|-⌫-|--|-|
B as an e d esun	-⌫--⌫-||-⌫|--|
D untpr isle s c hefsas	-⌫--|--⌫-|--⌫|-⌫---|-|
Sedem unco rsuo e ilaquiter lauie	-|-|-⌫-|--⌫-|--⌫-⌫-|------|-|--|
Dun cl i enuei	---⌫|-⌫|----|
lalgali fe	|------⌫-|
A lt r ementnem amerat il	-⌫--⌫-⌫----|-||-----|-|
Aprés par latses filzenu ers	-----|---⌫--|--|---|---⌫--|
Marsil ies E distalrei	------⌫--||---|-|--|
Gue nes ad dit fo lie	---⌫--|-|--|--⌫--|
Tantade r retnenes tdre iz q u epl us	---|-|-⌫-⌫--|--|--⌫|---⌫-|-⌫-⌫|--⌫-|
L iurezle mei io enferai	-⌫----|-|--|-|-|----|
lai ustice	-|-⌫-----|
Quant l oït	----||---|
Guenes lespee	-----||----|
e nadbranlie	-⌫|-|------|
uait sap uiersu zlepin	---||--⌫---|--⌫|-|--|
Enzeluerger	--|-|-----|
sene st alezli reis	|-|-⌫-|---|-|---|
Se smeillorsh umesenmein et e ns emblodsei E	--⌫|-------|-⌫---|-|----⌫-|-⌫--⌫---|-|--||
Bla ncandri nsiuint	---⌫-------⌫-||---|
alc anud peil E	-|-⌫---|---||
Iurfaretk i est sesfilz	-------|-⌫|--|--|---|
eseshei rsElalg alifes	|--|---⌫-|||---⌫-----|
sununclee sisfedeilz	--|----||--|------|
Blancandr ins	---------⌫--|
Deno streprod m	-|--⌫---|---||
ad pleuiesa feid	-|-----|-|---|
ÇodistlireisE	--|---|-|---||
Gu ene s ladprisp arlama indestre as d eiz	--⌫---⌫||-|---|-⌫-|-|--⌫-|-----|-|-⌫--|
E nz eluergerl	-⌫-|-|-----||
enmeinetiosqu al re i	-|-----|----|-|--⌫|
La purparolent latraïsun seinzdreit	-|----------|-|-------|----|----|
Guenesço l i	-----|--|-⌫|
faitalq uesde lege rie	---|---⌫--|-|----⌫--|
Q uantpor fe r iruusdemu straigranti re	-⌫---|--|--⌫-⌫-|--|----⌫----|----|-⌫-|
Guazuosendreit pa rcezpels s abelines	---|--|-|----|--⌫|--|---|-⌫-------|
ualtlorq uenefuntc inc cenz	---||-|-⌫-|-|---|-⌫--|---|
Ein zde m ain noi ten	---⌫|--⌫-⌫--|---⌫|-|
am endi se	--⌫----⌫-|
Guen esrespunt	----⌫-|------|
I oneldesotrei mie	-⌫|--|-------|--|
D e usseluip laista bien le	-⌫-⌫-|-|--|-⌫----||---|-|
uos me rci e	--|--⌫---⌫|
AOIÇodist	--|--|---|
Mars ilies	----⌫----|
Gu ene s par ueir	--⌫---⌫|--|---|
multuo suoe ill amer	---|--⌫|---⌫--|---|
C arlemagneuosuoe il loïrpa rler	-⌫--------|--|---⌫--⌫|---|--⌫---|
Il estmultuielzsiadsuntens uset	-|--|---|----|-|-|--|---|---|
Menesc i ̈entd ouscenza nz	--|---⌫-⌫---|-⌫--|---|-⌫-|
Par tantes teresad sunc orsdemened	--|-----|----|-|--|-⌫--|------|
Tanzcolpsad	---|----|-|
priss ursun e scutbucler	---|-⌫-|--|-⌫---|-----|
Tanzrichesreiscundui t a	---|-----|---|------⌫||
mendis ted	------⌫--|
Quant ertil m a isrecreanz d osteier	----|--|-|-⌫-⌫-|-------||------|
Guenes re spu nt	-----|--⌫---⌫-|
Carlesnestm ie telsN	-----||--|-⌫-|---||
esthomkilueitecon uistrel e	--|--|--|---||---⌫-----|-⌫|
Que çonedietq uel emperereestber	--|--|-|---|-⌫-||-------|--|--|
Tantnel uo ssaineprei serne lo er	---|--|--⌫|--|-|----⌫--|-|--⌫-|
Queplusniad	--|---|||-|
d onuredebontet	|---||-|-----|
Sagrantualor	-|----|----|
kilp urreitacunter	--|-⌫-----|------|
Detel barnagel	-|--|------||
De us e nlumin et	--⌫-|-⌫------⌫-|
Meilzuoelt murir queg uerpi r su n barnet	----|----|----|--|-⌫-----⌫|--⌫|-----|
Di stlipa iens	--⌫-|-|--⌫---|
pu ismer ueil ler	--⌫-|---⌫----⌫--|
Carlema gnekiestcanuz euielz	-------⌫--|-|--|----||----|
Men esci ̈entredous cenzan za de	--|----⌫-----|---|---|--⌫|-⌫||
te resad su ncorstraueil le t	--⌫--|-|--⌫|---|-------⌫--⌫|
Tanzc ol s	---|-⌫--⌫|
delances edespiez	-|-----|||-----|
Tanz riche sreiscunduizamendistiet	---|-----⌫|---|------||---------|
Quantert ilmais recreanzd	----|--|-|---|-------||
osteier Ço n iertdist	------|--||---|---|
Gu enes tantcum	--⌫---|---|--|
uiuetsisniés Nadtel uassalsuz	----|--|----||-|--|-----|--|
laca pede lciel	-|--⌫-|--⌫|---|
Mul tpa r est	---⌫|--⌫|--|
prozsis cumpain z	---|--|-------⌫|
XII.persque	---|---|--|
Car lesadtant cher s	---⌫--|-|---|----⌫|
enguardesa.	--------|||
XX. milie cheualers	--|----|--------|
Soürs est	-----|--|
C arl esq uenuls homenecrent	-⌫---⌫-|-⌫-|---|---|-|----|
S arrazins	-⌫-------|
M erueilleenai	-⌫-------|-|-|
Carlemagneki	---------|-|
estcanuze blancs	--|----||-----|
Mienes cï e ntreplus adde.	---|--⌫---⌫-⌫---|---|-|-||
II . C.anz	--⌫-⌫-|--|
Parta ntesteres	--|--⌫---|----|
es t alet cunqu era n t	--⌫|---|-----⌫---⌫-⌫|
Tanzco lpsadpris debonse s piez	---|--⌫--|-|---|-|---|-⌫-⌫---|
Tanzrichesreismorz eue ncu z enchamp	---|-----|---|---||--⌫---⌫|-|----|
Quant ier il mais dosteier	----|--|-|---||------|
recr eantÇo niertdist	----⌫---|--||---|---|
Gue nest antc um	---⌫--|-⌫--|-⌫-|
Rolla ntNad t eluass ald	-----⌫-||-|-⌫-|----⌫-||
Mult par est	---|--|--|
Oli uersis cu mpai n	---⌫--|--|--⌫----⌫|
XII. per que	---|--|--|
Carlesaimet	-----|----|
enguardesa.	--------|||
XX. miliede	--|----|-|
cr enthumeuiuant	--⌫--|---|-----|
Gue nes di st	---⌫--|--⌫-|
Marsili esli reis	-------⌫-|-|---|
te l gent plusbelene	--⌫|---|---|---|-|
Quat recenz	----⌫-|---|
milie c heualer s	----|-⌫-------⌫|
p uisaueir	-⌫--|----|
Gu e nesrespunt	--⌫-⌫--|------|
Neuusacest efeiz	-|--||----⌫|---|
paiens multgra ntperteiaureiz	-----|---|---⌫-|----||-----|
Less ezlafolietenezuosalsaueir	----⌫-|-|----|----|--|-|-----|
Lemper eürtant li dunezaueir	|-----⌫---|---|-|----|----|
Franceiskitot nes enmerueilt	-------|-|--|-||-|-------|
XX.hostage squeli	--|-------⌫|--|-|
e nu eiereiz	-⌫--⌫------|
enrepairerat lireis	-|---------|-|---|
Sar ereguar de lerra tdere resei	-|-⌫-------⌫-|-----⌫|----⌫-|--|
Iert isis nies liquens	---||--|---|-|----|
RollantçocreiE	------|--|---||
Oli uer liproz eli	---⌫--|-|---||-|
Mortsu ntlicunt eseestkimei	---|--⌫-|-|----⌫|-|--|-|--|
Carl les uerratsungr antorguill	----⌫--|-----|--|--⌫--|------|
c adeirN aurattale nt queia	-⌫----||----|----⌫-|--|-|
guer r eit	----⌫-⌫--|
Cumfai tementpurrai	------⌫-----|-----|
Rollantoc ire	------|--⌫--|
Guenesr espont Ço uos saiio bendire	-----|-⌫-----|--|--|--|-|--|---|
Li rei sseratas m eill orsporzde	-|---⌫|----|-|-⌫----⌫--|---|-|
Sareregua rde aura tdetre ́s s eimise	-|-------⌫--|----⌫|-----⌫-|-⌫-|---|
Iertisisnié s	---||--|----⌫|
Ro l lantlirich e sE	--⌫-⌫---|-|----⌫-⌫||
Oli ue renqui il tant se fiet.	---⌫--⌫|-|--|-|---|-|---||
XX . milie	--⌫|----|
Francsu nt	-----|-⌫-|
en lu rcumpaignie	-|--⌫|---------|
De u ozpaienslur enuei ez. C.	-|-⌫-|-----|--|-----⌫-|-⌫-|
Un ebatailleluri r endentcil	--⌫|-------|--||-⌫-----|--|
Lag ent d e	-|-⌫--|-⌫|
Franceiert bleceee	-----|---|-----||
Neld ip orço d esuoz iertlamartirie	--|-⌫|-⌫-|--|-⌫-|--|---|-|-------|
Altrebataillelur	----|-------|--|
li urezdemeïsme	--⌫---|-|------|
De q u el ques eit	-|-⌫-⌫-|--|-⌫--|
Rollan tn est uert ra t	------⌫||---⌫----⌫--⌫|
Dunca urezfaitegente	---|-⌫---|----|----|
ch eualerieNaurezm aisguereen	--⌫-------||----|-⌫--|----|-|
t uteuostre uie	-⌫--|-----|--|
Chipu rreitfaire que	--|--⌫----|----|--|
Rol lantifust m ort	---⌫---||---|-⌫--|
Duncperdreit	---|-------|
Carle sle destrebrazdelcors	-----⌫|-|-----|---|--|---|
S ir emeindreien tles merue illuse soz N asemblereitiamais	-⌫|-⌫-----------⌫|--|-----⌫------⌫|-||----------|-----|
Carlessigran tesf orz	-----|-|----⌫|---⌫--|
Mai orreme in dreitenre pos	---⌫-|----⌫--⌫----|-|--⌫--|
Ma rsiliesiladbais et elcol	--⌫-----|-||-|----⌫-|-|--|
Puissicume nce ta	---|-|----⌫---⌫||
uenir sestresors	----|--|------|
A OIÇodi st	-⌫-|--|--⌫-|
Mar sil ies	---⌫---⌫--|
Quen parlereient	-|-|----------|
Cunseill nestprozdunth u me	-------||--|---|---|-⌫-⌫-|
Latraïsunme i urrezde	-|-------|-|-⌫----|-|
Rollant Çorespunt	------|--|------|
Issiseitcum	---|---|--|
uo splaist	--⌫|-----|
Surlesreliques	--|--|-------|
de ses pee	-||--⌫--|
Latraï suniurat	-|-----⌫--|----|
esisenestfors fait	|-||-|--|----⌫---|
Unfalde stoediout d unolifant	-|-----⌫----||--||-|------|
Marsiliesfa itporte r	--------|--⌫-|-----⌫|
u nliure a uant	-⌫|----|-⌫---|
L aleiifut	-⌫|--||--|
Teruaga nÇo adiuretli	-------⌫|--|-|----|-|
Sarrazins espans	--------|-----|
S e e nre r egu arde tro euetl ecors	-⌫|-⌫|--⌫-⌫---⌫---|---⌫---|-⌫|---|
Cumbatratseia t restutesagentEseil	--------|--||-⌫------|-|---||-|-|
poet mur rat iueire ment	---|---⌫--||-----⌫---|
Gu enesrespu nt	--⌫---|-----⌫-|
Ben s eituostrecomant	--|-⌫--|-----|-----|
uint unspaiens	---|--|-----|
ualdabruns	---------|
Cleren riant	---|-|----|
Te nezmesp eemeil lu rnenadnulshom	--⌫--||---⌫-|----⌫--⌫||-|-|---|--|
helzadplus	---|-|---|
de milmangun s	-|--|------⌫|
Param istiezbels irela uos duins	--|--⌫-----|--|-⌫--|-|--|----|
Quen osaidezde	--|-⌫-|----|-|
Rollantl eba run	------|-⌫|--⌫--|
Qu en re reguardetrouer l e poüsum	-|-|--⌫-------|-----|-⌫|------|
Ben seratfaitli quens	--|----|---|-|----|
Guenes r espunt	-----|-⌫-----|
Puissebaise rente s	---|-|-----⌫---|-⌫|
uis ees mentun s	--||-|------⌫|
Aprésiuin tunpaien	-----||---⌫|-|----|
Climor ins	------⌫--|
Cle r en rianta	---⌫|-|----||
G u enelun l addi t	-⌫-⌫-----||-|--⌫|
T enez mu nhelmeunc hes meill orne ui	-⌫---|--⌫|----|---⌫--|-----⌫-|-|-|
S i n osaidezde	-⌫|-⌫-|----|-|
R ollantli marchis	-⌫-----|-|------|
Pa rquelmesurele po üss um hun ir	--⌫|---|-----|-|--⌫----⌫-|---⌫-|
Bens e r atfait	--|-⌫-⌫-⌫-|---|
Guene sres pundit	-----⌫|---⌫-----|
Puis sebaiserent es buchesees uis	---|-|--------|-|-----||-|--|
uintlareine	---|-|----|
Bramimunde	---------|
aim multsiredist ele alcu nte	--|---|---|---|--|-|--⌫--|
Car multu os pri setm isir eet uits i	--|---|-⌫-|---⌫--|-⌫|---⌫||-⌫--|-⌫|
h umeA uostrefemme enuei erai	-⌫--||-----|----|-----⌫---|
do us nus ches	--⌫-|---⌫---|
Bieniador maticeseiac un ces	---||-|-|------||---⌫--⌫--|
Elesualentmielz que tutlau eir	---|-----|----|--|--||--⌫--|
uostreempereresibonesn enou t unches	-----|-------|-|----||-|--⌫|-----|
Illesadprises	-|--|-|-----|
ensaho eseles b utet	-|-|--⌫--|--|-⌫---|
Lireisapelet	-|---|-----|
