quibonscountesuoet entendre	--|---|------|---|-------|
luiattalenta	--|--------|
k anke leualet lui d euis e	-⌫---|-|----|--|-⌫----⌫|
ensunquer assez	-|--|---|----|
lu ip rise	--⌫|-⌫---|
eueitassez	|---|----|
senirpoeitunriche r ei	----|----|-|----|-⌫-|
debonquer li	-|--|---|-|
ieo retendrai	--|--------|
uolentiers	---------|
quantui ntalhore de	----|--⌫-|||---|-|
lafiereditalbotiller	-|----|--|-|-------|
s ademeinecopede orfin	-⌫|------|---|-|-|--|
la bailleza	-|------||
l es t rangemesch i n	|--⌫-⌫----|-----⌫-⌫|
si meseru iraal	-|-|----⌫--|-|
uerroms il	-----||-|
si et det elmester	--⌫-|-|-⌫-|-----|
leboteler lacope prit	-|------|-|---|---|
ypomedon tostl a seisit	-------|---|-⌫|-----|
pren t silasotgrantgre	----⌫|-|-|--|----|--|
tutafublé	--|------|
siqe so n mantelnosta mie	-|-|--⌫|-----||---|--|
deqes einzlabotelri e	----|---|-|-------⌫|
liau tre sualezl esgar derent	-|--⌫---⌫|----||-----⌫-----|
d eluiseristr ent e	-⌫|--|-|-----⌫--||
me s poi sauoientq	--⌫|--|-------||
ly ualletsonmantelost a	-|-----|--|-----|---⌫|
d onea bot ellier	-⌫--||---⌫-----|
s i r echier	-⌫-⌫-⌫|----|
k ar pernez orec e st mant elet	-⌫-|-----|--|-⌫-⌫-|----⌫---|
tropestle don petitet	---|--|-|--|------|
m es si nusuiuons	-⌫-|-|--|-----|
en saunete	-|------|
ertmellordoné	--|-----|----|
leb o t illierlemantel prent	-|-⌫-⌫-⌫-----|-|-----|----|
multlim erc i eb onem ent	---|-|-⌫---⌫-⌫|-⌫----⌫--|
li autresuallezqi ce	-|-----|-----|-|-|
kydelieinzces	-|-|-|------|
lurgabesfirent	--|----|-----|
eusmem es t eneie ntfo usenis	--|---⌫-|-⌫-----⌫-|--⌫-||--|
elui curteisebienapris	|--|------||---|----|
lafierep uceleensement	-|----|-⌫----|-------|
kil ouueu si feitement	-||-|--|-|--------|
kantelesouten	---|--|---|-|
son c orage	--|-⌫----|
leti ntap res mult s age	-|--⌫-|--⌫--|---|-⌫--|
e tre stu zci ldelameyson	|---⌫---⌫|--⌫|-|-|-----|
kientendentsen zereison	-|--------|---⌫||-----|
dientde luigra ntbien	----|-|--|---⌫-|---|
k ari l sertafeiteiement	-⌫-|-⌫|---|-----------|
ypo medonestbiende cort	---⌫----|--|---|-|---|
kem ul t ne l honurt	-|-⌫--⌫|-||-----|
estrangement sefetamer	-----------|-|--|---|
e detuz pris er e l o er	|-|--|----⌫-||-⌫-⌫-|
iertdebonemanere	---|-|---|-----|
keesteitbien	-|-----|---|
delafier e	-|-|----⌫|
mes une cho seaueitensei	--|--|---⌫-|----|-|--|
dire lestutse	---||----|-|
par semblanttropcuarse steit	--|-------|---|----|-⌫----|
de ardementgue res naueit	-|-------|---⌫--||----|
e li bachiler	|-|-------|
kantilalo ientabordeier	---|-|---⌫---||-------|
ou eskirmir ou enueiser	-|-------|-|-------|
ou puriuerou purluter	-|--|---|-|--|----|
ypo me donnialapas	---⌫--⌫--|||--|--|
firentmult grant gas	-----|---|----|--|
me s riuer	--⌫|----|
eboi stantama	|---⌫|---|--|
d eautre pruesceunkes	-⌫|----|------|----|
deceo ne se	-|--|-|-|
ieonesei pur	--|-|--|--|
queilefist	---|-|---|
mes ado nc	--|---⌫-|
nele u outfere	-|-|-⌫--|---|
mest antert france debonere	--|-⌫--|--|----||-------|
de tel bonte	-|--|----|
detellar gess e	-|--|---⌫----⌫|
luiaquitade p ruesce	--|-----|-|-⌫-----|
f ieresa merueil la	-⌫---||-⌫-------⌫-|
k ant ueitsonu is qu etant bel a	-⌫--|---|--|-⌫-|--⌫|---|--||
sifuntlic h iualert uz	-|---|-|-⌫-⌫-----|-⌫-|
peisa qenefut pruz	----|-|-|--|---|
ce rtes ie o l eq uitmene scie nt	--⌫---|--⌫|-⌫|-⌫--|--|-⌫----⌫-|
sie ustenluihardement	-|-⌫--|-|--|--------|
tan tcumilaueitdeautresamors	---⌫|--|-|----|-|-----|----|
leamastp aramo rs	-|----|-⌫-|---⌫-|
adeu q ueldoelquelpite	|--|-⌫--|---|---|---|
pur cel a chais onfu cel é	--|--|-⌫-----⌫-|-|---⌫-|
ketaunt ou t	-|----|--⌫|
fetedi tdeuant	--||--⌫|-----|
nul neladeit blamerpartant	--|-|-|---|-----|--|---|
deh ezeitt ouzio u s cowardie	---⌫-|--|-⌫--|--⌫-⌫|-------|
n e seit pruza ch iua lrie	-⌫|---|---||--⌫---⌫---|
ypomedontreizanzentiers	-------|----|--|------|
ffus ten c alabre	----⌫|-|-⌫-----|
ouuol unti e rs	-|---⌫----⌫-⌫-|
ad despendumult largement	-|-------|---|--------|
auerdras or eargent	---|---|-||-----|
multoutdoné e d espen du	---|--|----||-⌫-----⌫-|
la fiere auoi tmult	-|----|----⌫|---|
c hier tenu	-⌫---|---|
eu ous unseautrestantserui	|-⌫--|--||-----|---|----|
quemultlont améecheri	--|---||--|---||----|
auin t eutensdes teunior	----⌫|-|---||--⌫-|-|--|
kesibeau tensrent sachalor	-|-|---|---|---|-|-----|
ec iloisel sont	|-⌫-|----|---|
leezebeau z	---||----⌫|
echauntentclerbase	|--------|---|--||
e reuerdeien tlibosca ge	|----------⌫|-|-----⌫-|
alaf iereestpriscorage	|-|-⌫---|--|---|-----|
keleuoeten forestaler	|--|---|-|-----|---|
partotfetuenireman de r	--|--|--|----||---⌫--⌫|
s e sueneorsetsesuallez	-⌫-⌫|------|-|--|-----|
o u ele ueresouebrac hes	-⌫-⌫|--⌫----|--|----⌫--|
oue uelueseou ele ueres	--|-----||--⌫|--⌫----|
eciliuie ntuo lent ers	|--||---⌫-|--⌫----⌫--|
e hu i tiorsesteitenlafo re st	|--⌫-⌫|---|-----|-|-|--⌫--⌫-|
c omandeqece stconrei	-⌫-----|-|--⌫-|-----|
quoardseitprest	-----|---|----|
ladamaiseleuei te l bois	-|--------|---⌫|-⌫|---|
la plus be le launde ad	-|---|--⌫-|-----|-|
la fus tsunpaue lunt endu	-|---⌫|--|----⌫--|-⌫---|
liplusurs sunt d escend u	-|------|---|-⌫------⌫|
u n ebelefon teine	-⌫-⌫|---|---⌫----|
e grantriuie re icourt	|----|-----⌫-||----|
lescerfsch asez sol eientbeuir	--|----|--⌫---|---⌫----|----|
a celeeweref rechir	|---|--|---⌫-----|
lurlaggeslurtentes fermerent	--|-----|--|-----|--------|
l urchiens ilek esdecouplerent	-⌫-|-----|----⌫-|-----------|
ypomedonfustle	-------|---|-|
fustpaslentne	---|--|---|-|
comment qil seit	------||-|---|
p ruzouautre riens	-⌫--|-|----|----|
nestpasdrein as chi e ns	|--|--|----|-|---⌫-⌫-|
detresseip orta un brachet	-----|--|-⌫---|-|------|
n emy eg ranzmespe titet	-⌫|--⌫|-⌫---|--|--⌫----|
tost se methorsde	---|-|--|---|-|
grant pr ese	----|--⌫--|
e les sec ou ietot	|---⌫-|-⌫--⌫-|--|
deusleueresigne use	---|------|----⌫-||
mesnefurerentgere zg rans	--|-|-------|----⌫|-⌫---|
des coupléestmeintbrachet	---⌫------|--|----|------|
co rnen t eh uentcilualet	--⌫----⌫||-⌫---|--|----|
k i lafust doncpoeitoir	-⌫|-|---|---|----|--|
la forestdes corns retentir	-|-----|--|----|-------|
edesbra chestan tduz	|--|---⌫---|---⌫|--|
la fiereqedunke ceooi	-|----|-|----|--|-|
iceo ne quyt pa skelen	---|-|---|--⌫|-||-|
carl iplustceo	--|-⌫|----|--|
ypomedonnesefeint mie	-------|-|-|----|--|
n outcured autre compaignie	|--|---||----|---------|
unmoltgrant serfad	-|---|----|---|-|
le l iendech ienabati	-|-⌫--|-|--⌫--|----|
les brac hetle	--|----⌫--|-|
suntneboisa mie	---|-|----|--|
tauntducement c rie	----|-------|-⌫--|
esonetost corns i	|---|---|---|-⌫|
er rantset ientpres des onchi e n	--⌫---|-|-⌫---|---|-|-⌫-|---⌫-⌫|
situz l esueneorsif use n t	-|--|-⌫-|------||-⌫---⌫-⌫|
etuzlurbrachesusent	|--|--|------|----|
nefeis ent	-|----⌫--|
mes aua n t	--|---⌫-⌫|
carilueitsonserf	--|-|---|--|---|
atei gnant	----⌫----|
turnéuerslariuere	-----|---|-|-----|
t utdre itpar deuantlafi ere	-⌫-|---⌫-|--|-----|-|--⌫--|
i pomodonn e rtguerres loyn	-⌫------||-⌫-|------|---|
cilbrach e te noutgrant	--|-----⌫-⌫|-⌫|--|----|
serfspares te itsilas	----|--|--⌫--⌫-|-|--|
n al astauan t myeu n pas	|--⌫--|----⌫|--|-⌫|--|
ly serfg ist droit	-|---|-⌫--|----|
deu antla fere	---⌫--|-|---|
nepotat eindre ala	-|--|--⌫-----||-|
brachets ere coc h a	------|-⌫|--⌫---⌫-⌫|
eleserfdeloin	|-|---|-|---|
l afie reregardelabe ste	-⌫|---⌫-|------|-|--⌫--|
sa lach esce sareste	-|----⌫---||-----|
ereueitle brachetgisaunt	|-----|-|------|------|
eoitceluicornant	|--|----|------|
as autr esdit auezueu	-|----⌫-|--|---|--|
cestcerf nad mie repos e u	---|---||-|--|----|-⌫|
eli brachetnebersa	|-|------|-|----|
ecilre ciet de	|--|--⌫---|-|
kicest bra che t siaf fei ta	-|---|---⌫---⌫|-|--⌫---⌫-|
n estmie l oinztostuend ra	|--|--|-⌫---|---|----⌫-|
ypomedonauantiuint	-------|----||---|
l afiere le	-⌫|----|-|
u it mesplostne ti nt	-⌫-|--|----|-|--⌫-|
doncsunserfoutre	---|--|---|----|
multaffeiteiementcor na	---|------------|---⌫-|
de p riseniotautre	-|-⌫---|||-|----|
ffors b rac hetqeodluicrie	----|-⌫---⌫--|-|-|--|---|
yp omedone stdesce ndu	--⌫-----|-⌫-|-----⌫--|
bienestcu m u eneuruestu	---|--|--⌫|-⌫----|----|
cote ot qede sursegleeste it	---|-|-|-|-------|----⌫-|
dekesa ge noill ui	----||--⌫---|-⌫-|
ateignei t	--------⌫|
sonserfad tostacou té	--|---|-|---|----⌫--|
p uzadla tes tetou rné	-⌫-|-|-|---⌫-|---⌫---|
sorlesperchescomefer e	--|--|------|---|---⌫|
come cilqiassez saueit	---|--|-|----|-----|
o repoe zseignurs fet	-⌫-|---⌫|-------|--|
ueerual etdegrantmaniere	---|---⌫-|-|----|------|
corteiseaffa it éde bois	------||----⌫--⌫-|-|---|
or em esuezqeieo	--⌫|-⌫|---|-|--|
ueercomeciluodrafe re	---|---|--|----|--⌫-|
ecumilsiet	|--|-|---|
s on ser f	-⌫-|---⌫|
eue itl e ua l etregarder	|--⌫-|-⌫|--⌫-⌫-|-------|
iln eu otpas tant demorer	-|-⌫|-⌫-|--|---|------|
c erfad mult tost desff et	-⌫--|-|---|---|-----⌫-|
son brachet pest iloec	--|------|---|----|
ils e nuaitquatre mozcornaunt	-||-⌫|---|-----|--|-------|
pursonme streq iluaitsuaun t	--|--|--⌫---||-|---|-----⌫|
lauerrezla	-|-----|-|
br achetate ndre	--⌫----|---⌫---|
caril nes elerrapa spr end re	--|-|-|-⌫|----|--⌫|--⌫---⌫-|
sonseigno rn aproch er	--|------⌫||------⌫-|
ou tholomeu qiloitm ultchier	-|-------||-|--|-⌫--|----|
la f ie r e ad	-|-⌫--⌫-⌫|-|
comei lestcurteis e uaillant	---|-⌫|--|------||-------|
tut ti en taf ableka nqeeleueit	--|--⌫--⌫||-⌫---|--⌫--|--|---|
detutuersceoil saueit	-|--|---|--|-|-----|
a poikele nesttost	|--||--||--|---|
coragetrestorné	-----|---------|
alapauelonestreuenue	|-|------|--|------|
lacol o rluimue	-|---⌫-⌫|--|--|
mesq ec haudmultsage	--|-⌫|-⌫---|---|---|
eseco mbat eoueson	|-|--⌫----⌫|--|--|
deheiezestoresun	------|--|--|--|
gra nz s enz	---⌫-|-⌫--|
ypom edo naiceltens	----⌫---⌫||---|---|
mu l tdebonafere	--⌫-⌫|-|--|----|
tropotgra nt	---|-|---⌫-|
sensd e se i	---|-⌫|--⌫|
assezpens a estreitem ent	----|----⌫|---------⌫--|
auc unefoi z auoittalent	---⌫--|---⌫|----|-----|
quele a mere itypomedo n	-|--|-⌫----⌫-|-------⌫|
puz d i t neser ramiebon	--|-⌫-⌫|-|---⌫-|--|--|
honieenseroie	----|-|-----|
mes c ile s t	--||-|-⌫-⌫|
pruz ieo l ameoie	---|--||-----|
a llasqedo elil nelestmie	-⌫---|-|--⌫-|-|-||--|--|
me s multest plei n	--⌫|---|--|----⌫|
decu r teisi e	-|--⌫-⌫-----⌫|
ceone luipueten tendre pr u	--|-|--|---|--⌫-----|--⌫|
aparfornirsirich euou	|--------|-|----⌫|--|
q eceopa r folieuou ai	-⌫|--|--⌫|----|---⌫-|
purmortieo	--|---|--|
n e ldedirai	-⌫||------|
ad le querloial	-|-|---|----|
qeqeaueyneb ono umal	-|-|-----|-⌫-|-⌫|--|
n ameraiames a so ndit	|----|----||--⌫|--|
fforschiu alersbon selit	----|----⌫----|---⌫|---|
assezt o s tq u ent oiauenr a	----|-⌫-⌫-⌫|-⌫|-|-⌫-|-----⌫|
c elbonchiualer	-⌫-|--|-------|
m eskilsur tuz autri liple ise	-⌫-||-|--|--|----|-|---⌫--|
nelaura pas de totaeise	-||---|--|-|--|----|
sipensel a f iere meschine	-|----|-⌫|-⌫---|-------|
cil nesei t	--|-|---⌫|
motkepas nefine	--|-|--|-|---|
des uncorsenboistrauai lle r	-|-⌫-|---|-|---|------⌫---⌫|
plusadilsulde serfsp ris	---|-|-|--|-|----|-⌫--|
ketrestu z	-|------⌫|
l es meillorsdis	-⌫-|-------|--|
mult o tceleiorbeldedut	---|-⌫|---|--|--|----|
reueintse n contrela noi t	------||-⌫|-----|-|---⌫|
ypomedonuint asunmestre	-------|---||--|-----|
delaforestec eitbie n lestre	-|-|------|-⌫--|---⌫|-----|
quantuintdeuant	----|---|-----|
l e pauilon	-⌫|------|
oulaf iereiertelibaron	-|-|-⌫---|---||-|----|
ilesunmestreu n t la meneie	-||--|-----|-⌫-⌫|-|-----|
al ongaleinebien soneie	|-⌫--|-----|---|-----|
mu ltcornentduceme nt eh aut	--⌫-|------|------⌫-||-⌫--|
la fiere loit	-|----||--|
sit res haut	-|-⌫--|---|
le c ornmultbien ad el econu	-|-⌫--|---|---|-|--⌫|---|
s ouentle iourlunt entendu	-⌫----|-|---||--|------|
sailisuzcont reliala	----|--|----⌫-|-|--|
cil lest este s luipr esenta	--|--|-⌫----⌫|--|--⌫-----|
lafiere pucel es ar este	-|----|-----⌫||--⌫---|
edeuisechescune	|-----|-------|
deuene rie uint multseprise	-|----⌫--|---|---|-|----|
mult se l o tdes o nseruis e	---|-|-⌫-⌫|-|-⌫-⌫|------⌫|
c ertes ieoquidemult escient	-⌫----|--|----|---|------|
elesarestutsibonement	--||------|-|-------|
plus pu rleualletre gard er	---|--⌫|-|-----|--⌫----⌫-|
qepurles teste sdeuise r	-|--|--|-----⌫|------⌫|
mescomele p lus regarda	--|--|--|-⌫--|------|
ecors efaco n auisa	|---||----⌫|----|
tantfustele plusdeseperé	---|---|--|---|--------|
souentmadist	-----|-----|
sades tin e	-|---⌫---⌫|
qu an tensi beauscorsoblia	--⌫--⌫|---|----|---|----|
qepruesc enelidon a	-|------⌫|-|-|---⌫|
n epuet chalerna monte a ri en	-⌫|---|-----||-⌫----||--⌫-|
ka nkeelpuet	--⌫--|-|---|
pensierdebien	------|-|---|
totladdes amor departi	--||-|-||---|------|
purlapruesce qe	--|-|------|-|
r e uenuzsuntl i	-⌫-⌫----|---|-⌫|
eli uallet	|-|-----|
de grantiou r	-|----|---⌫|
assez unteu bel dedut	----|--|-|--|----|
mesle prisdonerent tot	--|-|---|-------|--|
nostre estrange uallet	-----|-------|-----|
a loutouesunbrachet	-⌫---|--|--|------|
li mangersest ia trestut prest	-|------|--|-|------|----|
la dama isele asiceceo est	-|----⌫----|----|--|--|
ypomedonpasne se oblie	-------|--|-|-|----|
daleras abutelrie	|---||-⌫|-------|
sacoupede uantli acist	-|----|--⌫---|-|----|
elelui regardaedist	--|--|------||---|
uallet uus	-----|--|
aue z trauaillé	---⌫|---------|
auezuushuirienmang é	---|--|--|---|----⌫-|
dameonco re rienpar f ei	---|----⌫-|---|--|-⌫-|
ce leeiredeuantmey	--⌫-|---|-----|--|
a lezamissi uusseez	-⌫--|---|-|--|---|
ed e ces ual lezapelez	|-⌫|--|---⌫--|-----|
cilunneueulafiereapele	--|-|----|-|----|----|
dreits acistdeuantlapucele	----||----|-----|-|-----|
le ua l let qu i l amaplus	-|--⌫-⌫--|-|-⌫|--|---|
a celh uresa cistius	|--|-⌫--||-⌫---|--|
ainz qidilekerel eue	---|-||----|---⌫--|
il iert chargéde	-|---|------|-|
sigrantfais	-|----|---|
unkesmesnes aqueinta	----|--|-||-------|
lui faudra	--|-----|
tel ouereenpristenmyei re	--|----|------|---|--⌫-|
dunttotdis auraafer e	---|--|--|---|----⌫|
qepor raceoestre	-|---⌫-|--|----|
f ordame r	-⌫-||---⌫|
t oteautrerien	-⌫--|----|---|
puethom dante r	---|--|-----⌫|
m esa mour n est ia mesdaun té	-⌫-|-⌫---||--|--⌫--|----⌫--|
cum len plusle sert	--|--|---|-|---|
plusena ue rafeble guerdon	---|-|-⌫--⌫-|----|------|
lisageestli plus	-|---|--|-|---|
la damaisele	-|--------|
cel e part	---⌫|---|
comentqe seitfeitemein t	-----|-|---|----|----⌫|
mesqelafolie ne	--|-|-|----|-|
bienlifus tq	---|-|---⌫||
eleregar da	--|-----⌫-|
aunef o izsiala	|--|-⌫-⌫-|-|--|
qela fieremu ltlaui sa	-|-|----|--⌫-||---⌫-|
e limeschinregardea	|-|------|------||
eusloilflechi	--||--|-----|
multse entreg a rd erent longement	---|-|------⌫-⌫--⌫----|--------|
liuall etuei t	-|----⌫-|---⌫|
qedoucement	-|--------|
la d r egardéedebono i l	|-⌫|-⌫------||-|--|-⌫-⌫|
prunoter d eorgo il	--|----|-⌫|----⌫-|
p e nsaqeni pot	-⌫-⌫--|-|-|--|
c arele fu tropd e su nquer mestre	-⌫-|--|-|---|-⌫|--⌫|---|-----|
sinestil mi ecar	-||--|-|--⌫|--|
iasaisiem isalt ur	-|----||-⌫-|-|-⌫-|
souent tre saute tutc	-----|---⌫---||--||
lemangere lebe iure	-|-----||-|--⌫---|
lafierereg ar da mult	-|----|---⌫--⌫-|---|
deireestmués ichan getot	-|--|--|---|-⌫|----⌫-|--|
mul tiertsagedemein tenant	---⌫|---|---|------⌫-----|
aparceitbienasun	-------|---||--|
ke il ests urpris tantda mors	-|-|--|-⌫-----|---||-⌫---|
qe oreuodreit ele	-|--|------|--|
qifust ailors	-|---|-----|
pursunbiene	--|--|---||
pur s unpro fist	--|-⌫-|---⌫---|
car nel poeitasund it	--|-||----||--|-⌫-|
liualletre gar de s ouent	-|-----|--⌫---⌫-|-⌫----|
la fiereaukesfolement	-|----|----|-------|
ilne l po tmescarceonus dit	-|-||--⌫|--|--|--|--|--|
lisageho me ensunrespit	-|---|--⌫-|-|--|-----|
tostestloil	---|--||--|
laou estlamur	-|-|--||---|
cestdef ousamans de	|--|-|-⌫--|----|-|
karilcerte sneq uide mye	--|-|-----⌫|-|-⌫---|--|
qenul hommeelmundeg ute	-|--|----|-|----|-⌫--|
s ensoufoli e	-⌫--|-|----⌫|
cist r egardmes purespleite	---|-⌫----|--|--|-------|
la ue i t plu slaco ueit	-|--⌫-⌫|---⌫|-|--⌫---|
lafiere l eregarde assez	-|----|-⌫|------|----|
tant decolorés	---|---------|
eq e souenttremble	|-⌫|-----|------|
ela co lur lichange emue	|-|--⌫--|-|-----||--|
multluide ple i te	---|--|--⌫---⌫-⌫||
assez souentse purpensa	----|-----|-|-------|
qeesteitsage	-|-----|---|
comen tpurre it de	-----⌫|-----⌫-|-|
oste rsile	----⌫|-|-|
qil pa rlia mer	|-|--⌫|-|-⌫--|
issiafoler	---|-----|
mult lameroit	---||------|
kar leueitda mur	--|-|---||-⌫--|
e deseimemesotgr an tpour	|-|--|----|-|--⌫--⌫|---|
qepur l uimonta st	-|--|-⌫-|-----⌫-|
kar mult lot ameedebonque r	--|---||-|---|-|--|---⌫|
mu lt l ealmentesanz fa ucer	--⌫-|-⌫------||---|--⌫---|
nesepoeitdelu i	-|-|----|-|--⌫|
ertbeausedebone re	--|----||------⌫-|
enpenseenmeinteguis e	-|----|-|-----|----⌫|
coment p o reit parq ele qeintise	-----|-⌫-⌫---|--|-⌫--|-------|
ensiparler qeci lle di t	---|-----|-|--⌫|-|--⌫|
e qiillaglosee nten d it	|-|-|-|----|-⌫----⌫-⌫-|
multadtostlenches ontroué	---|-|---||------⌫-|-----|
carfemme n er t	--|----||--⌫|
i aesgaré	-⌫|------|
q elenepuruoi tde loing	|--|-|------⌫|-|----|
denginerpur sonbos oing	|------|--|--|---⌫---|
eladdel ui mult grantpite	-|-|-|-⌫-|---|----|---|
multuodreitqilfut aloingé	---|------||-|--|-------|
dec e pais	-|-⌫|---|
car damert ropestmabailiz	--||---|-⌫--|--|-------|
carhommeditqepa reloin gan ce	--|----|--|-|--⌫|-----⌫---⌫-|
metle namur	--|--⌫|---|
enobli ance	-|----⌫---|
autr eencheison	----⌫|--------|
lenditke aisefetlaron	--|--|-|---|--|----|
siner tpas	-||--⌫|--|
tostdeleue ré	---|------⌫--|
assezlorr ezauant	----||---⌫-|----|
