formCHCor012	---|-------|
s olementlauile et li	-⌫------|-|---|-|-|
t erreor sde l Aberg ementqui est	-⌫------⌫|-||-----⌫----|--|--|
delOpit al deIherusalemetl a terreque	-||----⌫-|-|---------|-|-⌫|----|--|
lihoir de Beleureureontdesorledit	-|---|-|---|-----|--|----|-|--|
estam deHauthuine q u i con tiente nuirontrenteet	----|-|--------|-⌫-⌫|---⌫----|-⌫-----|-----|-|
cincior naul souqu arantedet erre.	---|---⌫----⌫|-|--⌫-----|-|-⌫---||
entam quelia compaingnemenzdesu sdizsoitt el xque	----|--|-|-⌫-------------|----⌫|--|---|-⌫--⌫|--|
gelamoiti e ́ detouteslesc hoses	-|-|-----⌫-⌫|-|-----|--|-⌫----|
d esusditesquisontcont enuesde danz les termes	-⌫---|----|--|---|----⌫----|--⌫---|--|-----|
d esus nonmez for sdeschosesquiensunt	-⌫---|-----|---⌫|--|-----|--|-|---|
excepteessi conilestdesussit	--------|-|--|-|--|----|--|
otroi à donf ait	----|-|--|-⌫--|
entrelesuis à monseign orle	----|--|--|-|--|-----⌫-|-|
d uc desus dit et a ̀	-⌫-|----|--|-|-⌫|
enh eriet aige	-|-⌫-----⌫---|
pa rdurablesan z pointdereclai nde	--⌫-------|---⌫|----|-|------⌫|-|
moi ne d esmiens	--|-|-⌫-|----|
Etde lamoiti édetoutes celschoses	-|-|-|-----⌫-|-|-----|---|-----|
ensintco n elessont	-----|--⌫|---|---|
de suscontenuesgeme	--⌫--|--------|-|-|
desuest et m es hoirsde to ut	------|-|-⌫-|----|-|--⌫-|
ent outetmon seingnorl educ	-|-⌫--|-|--|-------|-⌫|--|
desus d itets es hoirsen reuésc or po re lme nt	----|-⌫-|-|-⌫-|----|-|-----|-⌫--⌫--⌫--⌫---⌫-|
àtouzior z	-|---|---⌫|
Etl autremoi ti é detotes	-||----|---⌫--⌫-|-|----|
l e sdit esc hoses ie pram	-⌫-⌫|---⌫-|-⌫----|-|---|
e nfi éligede	-⌫|--⌫-|---|-|
monseingnor leducdeu a ntditetde	--|-------|-|--|---⌫-⌫-|--|-|-|
tenuzetprome t	----|-|-----⌫|
pormoietporles miens p orlesairement de	--|--|-|--|--|----|-⌫-|-|--------|-|
moncorsdonésorsainzEuan g ileset sor	--|---|----|--|----|----⌫-⌫---|-|--|
lanloi ement d e	|-----⌫----|-⌫|
tou z mesbienstoutesles choses desus	---⌫|--|----|-----|--|-----|----|
ditessi co nilestdesusd euiséà mon	----|-|--⌫|-|--|----|-⌫-----|-|--|
seingnor leducet	-------|-|--|-|
à ses hoirs garanti r	-|--|----|-------⌫|
à touz io urz	-|---|--⌫--|
ma isetdeffandre contre toutesgenzquittement	--⌫-|-|--------|-----|-----|---|---------|
et frainchementde to uzfiez	-|-----------|-|--⌫-|---|
e t detoutesautr es	-⌫|-|-----|----⌫-|
se rui tutes et	--⌫---⌫----|-|
c ouenancesiet andraiet	-⌫--------|-|-⌫-----|-|
garderaià to uziorzsanz	-------|-|--⌫-|---|---|
ale rencontrepormoinep orautru.	---⌫|-------|--|--|-|-⌫-|----||
Et est àsa uoirque m essires li d ux	-|--|-|--⌫---|--|-⌫-|----|-|-⌫-|
silfa çoit fortereces ded a nz lestermes	|-|--⌫----|---------|---⌫-⌫-|--|-----|
des usnon mez que	---⌫-|---⌫--|--|
lamoi tiéseroitmoie masquei e	-|---⌫---|-----|---|--|--|-⌫|
paeroiepre mierem e nt lamo itié des mis s i ons	------|---⌫------⌫-⌫-|-|--⌫----|--|---⌫-⌫-⌫--|
et des des p ans qu eleco st e roite tauroitcosté.	-|--|---⌫-⌫--|-|--|--⌫--⌫-⌫---|-⌫|-----|-----||
Ete stàsauoirqu ege	-|-⌫-|-|-----|--⌫|-|
àmondroitessientreet	-|--|----|--------|-|
pormonsair eme n tde susdo néren un çoisen cest faitdou	--|--|----⌫---⌫-⌫|--⌫--|--⌫--|---⌫--⌫----|-|---|---|--|
tout entoutet to utexpr essem ent àtoutebarred e	---|-|---|-|--⌫-|----⌫-----⌫--|-|----|----|-⌫|
forcedet riche rie etdefait etau	----|-|-⌫-----⌫--|-|-|---|-|-|
-droit quildit	|----|---|--|
quel an doit es treresta bliz	--||-|---|--⌫--|-----⌫---|
enterinem entetàtoutehaieetà	---------⌫--|-|-|----|---|-|-|
toutbe nefice de	---|--⌫-----|-|
cortlayeet	---|---|-|
decrestientéet	-|----------|-|
deco stumee t à tote slesautres chos epor qu oi	-|--⌫----|-⌫|-|----⌫|--|-----|----⌫|--|--⌫-|
gep orroieuenircontre	-|-⌫-----|----|-----|
celst fai touc ontre la ten or d ec elspresentes	----|---⌫|-|-⌫----|-|---⌫-|-⌫|-⌫--|--------|
let trese tmeismementaudroitquid itque generaus	---⌫---|-⌫|---------|-|----|--|-⌫-|--|-------|
renuncia cionsneuaut	--------⌫----|-|---|
Etestàsauoir quemes	-|--|-|-----|--|--|
duxdes us diz ma ipromis que	--|---⌫-|--||-⌫|-----|--|
lesdeuantdites c hosesil nepuet mettren e	--|-----|----|-⌫----|-|-|---|-----|-⌫|
alien er en autrumainqu ee nlasoeou	-----⌫-|-|----|---|--⌫|-⌫|-|--|-|
decelui qui	-|----|--|
seraiduxdeB ergoingne	----|--|-|-⌫--------|
etq ue deladitefor terecesil la	-|-⌫-|-|-|---|---⌫-----||-|-|
f açoitien epaeroiequecinc	-⌫-----|-|-⌫|------|--|---|
cenzliures	---|-----|
iusque àcinc	-----|-|---|
anzdoi squ eles e roitenconmancie ch asc un anc e nt	--|---⌫|-|--|-⌫-⌫---|----------|--⌫---⌫-|-|-⌫-⌫-|
liuresdeuiennoisetli	-----|-|-------|-|-|
sergenz q uiseraimispor ga rderl a dite terre	------|-⌫-|----|--|--|--⌫---|-⌫|---|----|
etlafortereceseleest	-|-|--------||--|--|
faite doitestremispormon sein gnorl e	----|---|----|--|--|--|----⌫---|-⌫|
moietdoit i urerà	--|-|---|-⌫---|-|
ga rd eret à deliurerl a	--⌫--⌫-|-|-|-------|-⌫|
rais o nde lunetde lautre	----⌫-⌫|-||-|-|-||----|
En tesmoingnaige	-|------------|
de t outes celsch osesiaimi smon seal	-|-⌫----|---|--⌫---||-|--⌫|--|---|
encelspres enteslettres	-|---|----⌫----|------|
et ai prié nob lehom emons eingnor	-|-|----|---⌫-|---⌫|--|-⌫------|
Pe rron seingnor	--⌫---|-------|
d ePalu a ul etdAleré qu il mette son seal	-⌫|----⌫-⌫-|-||-----|-|-|----|--|---|
aueclemienencelspresente slet t resp orplus grant	---|-|---|-|---|--------⌫|---⌫-⌫--|-⌫-|---|----|
c e r tainneté.	-⌫-⌫-⌫--------||
Et gePerres si resde	-|-|-----|--⌫--|-|
Pa lualetd Ale réàlapr ier edou dit Hugon	--⌫---|-||---⌫--|-|-|--⌫---⌫|--|--|----|
seingnordeN eblansai mi smonse al en [	-------|-|-⌫-----|-|--⌫|--|--⌫-|-||
cels][pre]sentesl ettre s.	---||----------|-⌫-----⌫||
Ceestfaitet	-|--|---|-|
donéenlandegrace	----|-||-|-|----|
mildouscenzs exant e	--|---|---|-⌫-----⌫|
moisd oitou rela	---||-----⌫-|-|
ma rdi deua nt lafeste	--⌫--|----⌫-|-|----|
saintDenise	----|-----|
CHCor52GiéHenrissiresde	------|---|-----|----|-|
Brancionfa i ssa uo iràtouz cesquices letre s	-------|--⌫-⌫|--⌫--⌫-|-|---|--|--|--|-----⌫|
ue rru nt que	--⌫---⌫-|--|
gié po r ma ue lunté	---|--⌫|-|--⌫-----|
senz forceetsen contreingnemantpormabessoignenai	---|----|-|--|--------------|--|-|---------|-|
uend uquitiéoutroié et	----⌫|------|-------|-|
deliuréauno ble barunHu gunducde Burgoinen	-------|-|--⌫--|----|--⌫--|--|-|--------|
munsegno r etàseshoirs àtouz iors	--|-----⌫|-|-|--|----|-|---|---|
emparmaignaubleheritaig e mun ch asteau ldeSanuignens	-|------------|--------⌫|--|--⌫------⌫|-|---------|
etquanqueiaioudoiauoirou	-|------||-|-|--|----|-|
puisauoirenlachaste lerie ete sapartina ncesd ecelu	---|----|-|-|------⌫----|-|-⌫|--------⌫---|-⌫|---|
chasteau lsenrien s ret enirpor	--------⌫|--|----⌫|---⌫---|--|
moi neporm es	--|-|--|-⌫-|
ho irs eni osti ses en segno ries e nf iez enh omese n	--⌫--|-|-⌫----⌫--|-|-----⌫---|-⌫|-⌫--|-|-⌫---|-⌫|
demesen cens iesentailles encostumes	----|-|----⌫--|-|------|-|-------|
e n fortereces enmaisunsen	-⌫|---------|-|------|-|
terresenprez	-----|-|---|
enp asquiersenestanzen	-|-⌫-------|-|-----|-|
riuieresenboise nusa igeset	-------|-|---|-⌫|---⌫---|-|
entot esau tres chos espor sexm ile liures	-|---⌫-|--⌫---|----⌫-|--|--|-⌫--|-----|
detorno islesquexie are ceues etahues	-|-----⌫-|--|---|-||--⌫----|-|----|
endeniersnonbrez etporpaiez me nsui	-|------|------|-|--|----||-⌫|--|
Etde totesces cho sesles quexestoie nt doufié	-|-|----|--|---⌫--|--|---|------⌫-|--|---|
celu ducensinccumelessun tnonmees	---|--|-----|--|---|---⌫|------|
i epor moie t	-⌫|--|--|-⌫|
po rmes hoirsm ens uisdesuestuze tena	--⌫|--|----||-|-⌫--|--------|-⌫|-||
enu est u celud ucet mis enpossessio n	---⌫---⌫|---|-⌫-|-|--|-|---------⌫|
parmai gnaub lepor	------⌫-----⌫-|--|
lu i etpor	--⌫|-|--|
seshoir s.	--|----⌫||
Etgepor mun sair emant	-|-|--|--|----⌫----|
queieai fait corpor emant promet et suite nuzsus	--|-|-|---|------⌫----|-----|-|--|--⌫--|--|
m oi et s usenloiemantde mes hoirsetde	-⌫-|-|-⌫-|---------|-|--|----|-|-|
touzm esbie ns	---|-⌫-|---⌫-|
mobles eth eritaigesqueie [ai	-----|-|-⌫--------|--|-||-|
]ou aur aou queils o ientceluchastelde	|-|---⌫|-|--|-|-⌫-⌫---|---|------|-|
Sanuign ens e t totes	-------⌫--|-⌫|----|
les autres chose s desusdeuisees àcelui Hugunmon	--|-----|-----⌫|----|-------|-|----|----|--|
segnoret às eshoirsdef fandrecontre	-----|-|-|-⌫-|----|---⌫-----|-----|
totege nz etgara nti rempaiziusqueàdroit	---|--⌫-|-|----⌫---⌫|-|---|-----|-|----|
Etie pormoietpormes hoirs	-|-|--|--|-|--|--|----|
ren onç oisetdeg ue rpit otd roit touzpreuileges	---⌫----⌫--|-|---⌫--⌫--|-⌫-|-⌫---|---|---------|
touu saig e s ettotes	--|-⌫----⌫-⌫|-|----|
raisunsde cortlaieetd e	------|-|---|---|-|-⌫|
co rtdecrestien té quiàmoi neàmes	--⌫-|-|--------⌫--|--|-|--|-|-|--|
hoirsp orroient ou deuroientprofe ti eren	----|-⌫-------|-|--------|-----⌫--⌫-|-|
cesc hoses.	--|-⌫----||
Ente smoignage deces	-|--⌫--------|-|--|
choses por	-----|--|
ceque elessoient fermes	-|--|---|-----|-----|
et estaub l esàtouz iorsie	-|------⌫-⌫-|-|---|---|-|
amismuns eelen cesletr esenlan	|--|--|-⌫--|-|--|----⌫-|-||-|
degrace mil.CC.	-|----|--|---|
et cin coumois d octouu re.	-|---⌫|-|---||------⌫-||
CHHS0 80IeW ill ermins dizdeDampierre /	-----⌫-|-|-⌫---⌫-----|--|-|--------||
s er ianzm onseignorRenier	-⌫--⌫---|-⌫-|------|-----|
parlagrace deDe u	--|-|----|-|--⌫|
adonques a bb é d e	-------|-⌫--⌫-|-⌫|
Lixeufaz sauoir	----|--|-----|
àt o uzceusquice s presentes lettresuerrunteto rrun t	-|-⌫-⌫-|---|--|--⌫|--------|------|------|-|-⌫----⌫|
mess ireReniersdeuantdiz parla	--|-⌫--|------|-----|--|--|-|
Deuabbes deL ixeirettouzlicouenz	--|----|-|-⌫----|-|---|-|-----|
decel meimeleumaientd onéet outroié	-|--|----|--||----|-⌫---|-|-------|
a ̀moyetàmes	-⌫|--|-|-|--|
hoyrs seielesayde moncor ste is qui	----|-|-|--|-|-|--|---⌫|--⌫-|--|
doienth eriter par	-----|-⌫-----|--|
droitetautr esno n/ permenable mentlor	----|-|----⌫-|--⌫||----------⌫---|--|
ma yson/ .	--⌫---|||
quilor e stremeseD amdieuquif u	--|--|-⌫-|-----|-⌫-----|--|-⌫|
d eSaintB recon et	-⌫|----|-⌫----|-|
escha ue/.	-----⌫-|||
la queismaysonssiet da rr i erlo for	-|----|------|---|--⌫--⌫-⌫-|-|--|
c o n di t	|-⌫|--⌫|
de laCrouee desuslofossé /.	-|-|-----|----|-|-----|||
liqueisfor z estes- diz m on	-|----|---⌫|--|-||--|-⌫-|
seig n orlabbéetlocouentde -Lixeir	----⌫-⌫-||----|-|-|-----|-||-----|
- maient donéassimentla	||----|----|-------|-|
t errequi est pardeuan tla	-⌫---|--|--|--|-----⌫|-|
dit ema y so n d eslo Palizeniusquez à	---⌫|--⌫-⌫--⌫|-⌫-|-|----|--------|-|
anfanz Mes querel /.	-----|---⌫-----|||
et dou lonc etdoulargeas s i ment/e n-	-|--|---|-|--|----|--⌫-⌫-⌫---||-⌫||
iu squ ezà -	--⌫---⌫-|-||
la portecon- ditdela	-|----||-||--|-|-|
Crouee / .	-----|||
i l -le nosuntdone ́et out roié	-⌫||-|--|--|----⌫|-|---⌫----|
à-m o yet	-||-⌫-⌫|-|
à-mes ho yrsassimentensic omm e	-||--|--⌫--|-------|---|-⌫---⌫|
ilestd esusd euise ́et	-|--|-⌫---|-⌫-----⌫|-|
en-telmeni ere/.	-||--|----⌫--|||
que ieetmi	--|-|-|-|
hoyraprés mo y deuonsrendre	---|-----|--⌫|-----|-----|
au - des us dit abbéouà	-||---⌫-|--|----|-|-|
-s on comand ement o u àcomandemen tde	|-⌫-|------⌫----|-⌫|-|----------⌫|-|
-legl eised eLixeir[en]-lor	||---⌫---|-⌫|-----||-|||--|
ho stel àLixei r loiorc on-d itdou	--⌫---|-|-----⌫|-|--||-||-⌫-|--|
Grant iusdi	----|----|
trant ede ni ersesteu e nuns/.	-----⌫|--⌫--⌫--|-----⌫-⌫---|||
c està-sauoir d ous	|--|-||-----|-⌫--|
sou z porlocensde	---⌫|--|-|---|-|
laditemay son / .	-|---|---⌫--|||
ets eixden ierspor l antree d e	-|-⌫--|---⌫---|--||-----|-⌫|
lam ayson/.	-|-⌫----|||
et en - telmenie reausi men tnos u nt il	-|-||--|-----⌫-|----⌫---⌫|--|-⌫-|-|
deuantd iz abbes etli	-----|-⌫-|----|-|-|
couenzdeL ixeirdonélesdeu antd i tes	-----|-|-⌫----|----|--|---⌫--|-⌫-⌫--|
choses /a ̀moyetà	-----||-⌫|--|-|-|
me shoyr s	--⌫|----⌫|
ens i c u milestdesus dit	---⌫|-⌫-⌫|-|--|----|--|
/tantcomn osserien s residant	|---|--|-⌫-|------⌫|-------|
ouautr epartde souzlegleise deLixe irse ruantet	-|----⌫|---|--⌫---||------|-|----⌫-|--⌫----|-|
sougeità-l eglis eetà l	------|-|||-----⌫|-|-||
abbé deLixeir por tant	----|-|-----|--|---|
comnosd eu riens.//.	--|--|-⌫--⌫----|---|
Etsenosem -	-|-|--|-||
depa rtien spo rfaireautrecommandisene	----⌫-----⌫|--⌫|----|----|---------|-|
autreseignoraige que lor/	----|----------|--|--||
se par lor uolunte ́	-|--|--|-------⌫|
lor suffert enen ier e /.	--|-------⌫||-|---⌫|||
etbesseigna bl ement	-|---------⌫--⌫----|
/la dit emaisonsetlesditesc hosesensi	|-|---⌫|------|-|--|----|-⌫----|---|
comelessuntd esusdeuisees /.	--|---|---|-⌫---|-------|||
re manroientquittesetd e liu ressensnulreclaindepar moy	--⌫--------|------|-|-⌫-⌫---⌫--|---|--|------|-|--|--|
etdemesh oyrs/ à ladite ecgl eis ed e	-|-|--|-⌫---||-|-|---|----⌫---⌫|-⌫|
En tesmoignaige /	-|-----------||
de ces c ho se s/ie	-|--|-⌫--⌫--⌫||-|
deuan zdiz Willermins	-----⌫|--|---------|
dizde Damp ierre/ ayfait	--|-|----⌫----||-|---|
mettreparmaproiere	-----|--|-|------|
presenteslettres/.	--------|------|||
entesmoig naige de uer ité/.	-|-------⌫----|-|---⌫---|||
en_sem blel o sael mo nseignorSymonsoudoi ̈ n	------⌫--|-⌫|---|--⌫|------|----|------⌫-⌫|
deLixeir.//.	-|-----|---|
Ceu fuf ait enlan de	--|-|-⌫--|-||-|-|
-lincarnat ion	||--------⌫--|
n o streSeig no r/.	-⌫-⌫---|----⌫--⌫|||
quantlimilia iresc orroitp ar	----|-|-----⌫---|-⌫-----|-⌫-|
dous cenz/ .	---|---|||
etsexa nteetcinc/ oumoisdoctembr e.	-|----⌫--|-|---||-|---||-------⌫||
CHHS123Ie Hugues damoiseas siresdeChestoillo n	------|-|-----|--------|----|-|----------⌫|
fizEs t i egneseign ou r	--|--⌫-⌫-⌫---|-----⌫--⌫|
deChestioill onçai e narriersfa is sauoirà	-|----------⌫-|---|-⌫|------|--⌫-|-----|-|
t ouzquecome lid izEs teignes mes peres austdoné	-⌫--|--|---|-|-⌫-|--⌫------|--|----|---|----|
enpureet p erp et ual	-|---|-|-⌫---⌫--⌫--|
amosneàlinglise	-----|-||------|
deBaleuaxs ix liures deuia nnoi s chescumant à	-|------|-⌫-|-----|-|---⌫----⌫|------|--|-|
-paiersus lemolindeMiellat etu intliures	|----|--|-|----|-|------|-|-⌫--|-----|
porrest it u cion d eini u res	--|----⌫--⌫-⌫---|-⌫|---⌫-⌫--|
etdedomaiges/.	-|-|-------|||
quil etsuideu ant ierauoientfaità	-|-|-|--|---⌫---⌫--|------|---|-|
-la-diteengl ise d eBaleuax	|-||---|----⌫--|-⌫|------|
etGuiatemameredame de Chestoillon austdone ́	-|-----|-|---|---|-|----------|---|----⌫|
d ite englis e de Balleuauxenpure perp etualet	-⌫--|------⌫|-|--------|-|---|----⌫----|-|
permeignableamosne quatr e bic h azà - la-	-----------|-----|-----⌫|---⌫-⌫-|-||-||
mesure deBesan çondebley	-----|-|-----⌫---|-|---|
susleditmolindeM iellatchas cumant ousexante	--|-|--|----|-|-⌫-----|----⌫--|--|-|------|
liuresassigne es suss onma riai geieper	-----|-------⌫-|--|-⌫-|--⌫----⌫-|-|--|
aaiieetper fr anche puissance suerd auoerieest abliz	----|-|--|--⌫----|--------|---||------|---⌫----|
perleconsoild e mes amisetespeciamantparmon	--|-|------|-⌫|--|---|-|----------|--|--|
seign ourHuguonseignorde	-----⌫--|-----|------|-|
la Roch alemon	-|----⌫--|--|
o n cle //.	-⌫-⌫--|--|
ai loéo utroieietquic to i permeignableman tà	-|---|-⌫------|-|----⌫--⌫|---------------⌫|-|
diteenglised eBal leuauxtou tledr oit	---|------|-⌫|---⌫-----|---⌫|-|--⌫--|
t otela seignorieque ieauo ie	-⌫--|-|--------|--|-|---⌫-|
pooie etdauoie a uoir	----|-|-----|-⌫---|
ou molino ubato uretoufo ul lou rdeMiellat qu i	-|----|-⌫|----⌫-|-|-|--⌫--⌫---⌫|-|------|--⌫|
mona llue yes	--|-⌫----⌫|-|
quexieauoie les	---|-|----|--|
does par z	---|---⌫|
et Perri ns li fizM esclatde	-|-----⌫-|-|--|-⌫-----|-|
Miellatmes hons letierz	------|--|---|-|----|
remainte t lour	------|-⌫|---|
doinlefouzetle	---|-|---|-|-|
siege desdizmolinsbatou r et	----|--|--|-----|-----⌫|-|
foullour etle decou rz deleald esusetdesou z	-------|-|-|-----⌫-|-|---|-⌫---|-|-----⌫|
entelme nier eque ie	-|--|--⌫----⌫|--|-|
né limi e nne ́aut resde	--|-|--⌫-⌫|--⌫|---⌫--|-|
pa r moi némuyhoir né autresdeparlour	--⌫|--|--|--|---|--|-----|-|--|---|
népoons n e ́dauonsfairefermernémai n tenirmolin né	--|----|-⌫-⌫|-----|----|-----|--|---⌫-⌫----|----|--|
b a t ou rné	-⌫-⌫-⌫--⌫|--|
foullour déslemolinque l	-------|---|-|----|--||
onappalle Cin q uanp oit	-|------|---⌫-⌫----⌫--|
iusq ueà molin	----⌫-|-|----|
que lonappale Min xet	--||-|-----|---⌫|-|
limolinquiestoitent releditm olin deMin x	-|----|--|-----|---⌫-|-|--|-⌫---|-|---⌫|
Et le ditmollin que	-|-|--|-----|--|
donéà -ladit eenglised e	----|-||-|---⌫|------|-⌫|
Balleua xdoitchaor s ansree difier	-------⌫|---|----|-⌫--|---⌫-----|
Etdoingetaidonéunch es sal s uff isant	-|----|-|-|----|-|--⌫--⌫--|-⌫---⌫----|
arrezled itm oli nporl emugnierqui	----|-|-⌫-|-⌫---⌫|--|-⌫|------|--|
i-sa raid epar	||--⌫--|-⌫|--|
laditee nglise deBalleuax.	-|---|-⌫-----|-|-------||
//. . PONfrt M ORPH =em pty	||||-----|-⌫----⌫---⌫--|
Et woiletoutroiquelidizmugniersai tray	-|---|-|-----|--|-|--|-------|--⌫|--|
e tusaigees	-⌫|-----|-|
pature set esboisainsi	------⌫|-|-|---|----|
come liunsd e	---|-|--|-⌫|
l a dite uil edeMiellatce	-⌫|---|---⌫|-|------|-|
