#META#TextURIYuain	-----|------|----|
#META#DEA F	-----|---⌫|
#META#F EW	-----|-⌫-|
#META #ARLIMAhttp s//www.arlima.net/ad/chreti en_de_troyes.htm l# li o	-----⌫|-----|----⌫---------------------------⌫----------------⌫--⌫--⌫|
#MET A#AuthorChrétien deTr oye s	----⌫-|-----|--------|-|--⌫---⌫|
#M ETA # AuthorBorn	--⌫---⌫|---------|
#META#AuthorBornAmb	-----|------------|
#META#Auth orDied	-----|----⌫-----|
# META #AuthorDiedAmb	-⌫----⌫|------------|
#META #Aut horFl1	-----⌫|---⌫-----|
#M ETA# A utho rFl2	--⌫---|-⌫----⌫---|
# META# Te xtTitleYuain	-⌫----|--⌫------|----|
#ME TA#TextSubtitleLe Cheualier	---⌫--|-----------|-|--------|
#META# Textuol s	-----|-------⌫|
#META#TextS ubi romance	-----|-----⌫--|------|
#META#Tex tDo mlit	-----|---⌫---⌫|--|
# META#Translationfalse	-⌫----|----------|----|
#META#Collection	-----|---------|
#META#C oll ectionNo	-----|-⌫---⌫-------|
#META#TextDescARLu ersoctosyllabiquesàrimes	-----|----------|-⌫--|--------------|-|----|
#META#TextDesc uers8	-----|--------⌫---||
# META# TextDateARL 1178-1181	-⌫----|----------|--------|
#META # TextDateAdi	-----⌫|----------|
#META# Text D ateMin1178	-----|----⌫-⌫-----|---|
#ME TA#TextDateMax1181	---⌫--|----------|---|
# META# EdE dit or	-⌫----|---⌫---⌫-|
#M ETA# EdPl ace	--⌫---|----⌫--|
#META # EdPublisher	-----⌫|----------|
#META#Eduol	-----|----|
#META#EdYear	-----|-----|
#ME TA# EdPages	---⌫--|------|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
# META# MsN um	-⌫----|---⌫-|
#M ETA#MsDateARL	--⌫---|--------|
# META #MsDateAd i	-⌫----⌫|--------⌫|
#META # Form	-----⌫|---|
#META#Complete	-----|-------|
#M ETA#N oWord s	--⌫---|-⌫-----⌫|
#META#N oLin es	-----|-⌫----⌫-|
#META#Dial Auth	-----|----⌫---|
#META#Dial Scribe	-----|----⌫-----|
#META#Scan URL https //fr.wikisource.org/wiki/Yuain_ou_le_Cheualie r_a u_Lion	-----|----⌫--|-----⌫---------------------------------------------⌫---⌫-----|
#META#ScanURI Oth er	-----|-------⌫---⌫-|
# META# Ark ID	-⌫----|---⌫-|
#META#L cc nID	-----|-⌫--⌫--|
#META#Oclc ID	-----|----⌫-|
#META#WebAuthor	-----|--------|
#META#O RCIDWe bAutho r	-----|-⌫------⌫------⌫|
#META#WebReuiewer	-----|----------|
#META#ORC IDRe uiewer	-----|---⌫----⌫-----|
#META#Mis cInfo	-----|---⌫----|
unknownedi tion	------|---⌫---|
mer chi crier	---⌫--|----|
Nenusne s i por roit fier	-|--|-|||---⌫---|---|
Fors moi s	---|--||
entr elessestoitmis	---|---||-----|--|
Quemainten antnefustochis.	--|-------⌫--|-|---|-----|
A insisuidem es bestes sire	-⌫---|--|-|-⌫-|-----|---|
Ettumedeueroiesdire	-|-|-|--------|---|
Queshomtueset que tuquiers.	---|--|-|-|-|--|-|------|
faitil unscheualiers	---|-|--|---------|
Quiq u ier chequene	--|-⌫-⌫--|--|--|-|
puistrouuer*	---|-------|
Assésai quis etriensne truis.	-----|-|---|-|----|-|-----|
-Etqueuaurroiestu trouuer	|-|--|--------|-|------|
-Auentur espouresprouuer	|-------⌫-|---|--------|
Ma pr oechee t	-|--⌫----|-⌫|
monhardeme nt.	--|-------⌫--|
etq u ier etdemant	-|-⌫-⌫--|-|-----|
Setusesqu etu	-|-|--|--⌫|-|
meconseilles	-|---------|
auentureso u	--------|-⌫|
de merueilles.	-|----------|
-Ac hefait il	||-⌫-|---|-|
faurr astub ie n	-----⌫-|-|-⌫--⌫|
Dauentu resnesaiie rien	|------⌫--|-|--|-|---|
Nonqu esmais n	|----⌫-|---||
enoi ̈ p a rler.	-|--⌫|-⌫-⌫----|
Maissetuuolo ies aler	---|-|-|----⌫--|---|
Chi pres dusc a unefonta ine	--|---|---||--|-----⌫--|
Nenreu enroiespassa ns paine	|-|---⌫------|--|--⌫-|----|
Setune rendoiessondroit.	-|-|-|-------|--|-----|
trouuerasor endr oit	--------|--⌫----⌫--|
Un sentier quila te men ra.	-|------|--|-|-|---⌫--|
Toutdroitladro iteuo ie	---|----|-|---⌫--|--⌫-|
Sebien u eus tespasemploier	-|---|-⌫--|--|--|-------|
Que tostporroies	--|---|-------|
I lyad autresuoies mout.	-⌫||||-----|----|----|
Lafontaineuenras quib out	-|-------|-----|--|-⌫--|
p lusfroidequ em abres.	-⌫--|-----|--⌫|-⌫-----|
Ombresli fait	-----|-|---|
b iaus arbres	-⌫---|-----|
ConquespeüstfaireNature.	|-----|-----|----|------|
Entoustanslefueille	-|---|---|-|------|
Quilnelep ert pour	-|-|-|-|-⌫--|---|
Etsi pent. i.bachi n	-|-|---|-⌫-|-----⌫|
si longuechaine	-|-----|-----|
Quidure dus qu enla	--|---|---⌫-|-|-|
fontaine .	--------⌫|
Les la fontaine	--|-|-------|
trou ueras	----⌫----|
Unperronte l	-|-----|--⌫|
contu ue nra s	--|-|--⌫---⌫|
Maisi e netesai	---|-⌫|-|-|--|
Q ueie nenuionquesnul tel	-⌫-|-||-|-|-----|--|--|
Etd autrepar tunechapele	-||----|---⌫|--|------|
P etitem aiseleestmoutbele.	-⌫----|-⌫--|--|--|---|----|
ba chi nueus d el iaue prendr e	--⌫---⌫|---|-⌫||---|------⌫|
Et desus leperr on espandre	-|----|-|----⌫-|-------|
La uenrasu negranttemp este	-|-----|-⌫-|----|----⌫---|
chestb osne rema nrra	----|-⌫-|-|----⌫---|
Ch eur e usne	--⌫---⌫-⌫-|-|
dainsnechiersne pors	----|-|-----|-|---|
o isel senistronthors	-⌫---||-|------|---|
Cartuuenrass ifor tfro ier	--|-|-----|-⌫|---⌫|---⌫--|
uenter etarbrespe choie r	-----|-|-----|--⌫-----⌫|
E tpou r uoirtourneretpartir	-⌫|---⌫|---|------|-|-----|
Queset u tenpuésdepartir	--|-|-⌫||-|----|-------|
6 4 b.4 03	-⌫-⌫---⌫-|
Sansgrantanui etsanspesanche	---|----|---|-|---|-------|
de meilleurchaanche	-|-------|-------|
Que cheual ier	--|------⌫--|
fustonque s.	---|-----⌫-|
Duuilainmeparti adoncque s	-|-----|-|----|--------⌫|
Quibien motla	--|---||-|-|
u oie moust ree.	-⌫--|-----⌫---|
Espoirs ifutierchepass ee	-----|-⌫|-|------|----⌫-|
Et pot estre	-|--|----|
p resdemi di	-⌫--|-|--⌫-|
Q uantla rbreetlechapeleui.	-⌫---||-⌫---|-|-|------|--|
Biensaidel arbre	---|--|-||----|
ch e stlafins	-|-⌫-|-|---|
Quecheest oitliplusbiaus pins	--|--|---⌫--|-|---|----|---|
Q uionquessor tere c reüst.	-⌫-|-----|--|---|-⌫------|
Iequitc o nquessifort neplut	-|---||-⌫----|-|---|-|---|
Quedyaue ypas sast	--||---||---⌫---|
u ne go ute	-⌫-|--⌫--|
An choiscouloit parde ssus tou te.	--⌫----|------|--|--⌫---|---⌫--|
Alarbreuilebac hin	||----|-|-|---⌫--|
Duplusfinor quifusta ue ndr e	-|---|--|-|--|---||--⌫---⌫|
O nq uesencore	-⌫--⌫--|-----|
en nule foi re.	-|---|---⌫--|
Delafonta ine poés croire	-|-|-----⌫--|----|-----|
Quele bouloit cuneyauechaude.	-|--|------||--|---|------|
Lipe rronsfud	-|--⌫----|-||
un e esmeraude	--⌫|--------|
Perch ie ́ aus si conune bouz	-----⌫--⌫|---⌫-|--|--|---|
.iiii.rubins desous	-----|-----|-----|
Plusf lamb oiansetpl usu ermau s	---|-⌫----⌫----|-|--⌫-|-⌫-----⌫|
Quenes t aumatinli s olaus	--||--⌫|-|----|-|-⌫----|
Quant i lappertenorien t.	----|-⌫|-----|-|-----⌫-|
E ts achié sia aenscie nt	-⌫|-⌫------⌫|-||------⌫-|
Ne uous en mentiraidemo t .	-|---|-|-------|-|--⌫-⌫|
Lameru eill e aueoir meplot	-|----⌫----⌫||----|-|---|
D elatempest e etdel orage	-⌫|-|-------⌫|-|-||----|
Dont iene me ti engmieasage	---|-|-|-|--⌫--|--||---|
Quemaintenant men repentisse	--|---------||-|---------|
Moutuolenti ersseiepoïsse	---|-------⌫--|-|-|------|
Q ueioy leperroncr e ué	-⌫-||-|-|-----|--⌫-⌫--|
au ba china rousé.	-|--⌫---|-⌫------|
Mais tropyenuersai	---|---||-|-----|
Quel ors ieuile	--|-⌫--|-|-|-|
chielderout	----|-----|
Dep lusde quato rism epars	-|-⌫--|-|-----⌫----⌫|---|
Meferiesla islies pars	-|---|-|--⌫-|-|--⌫---|
Etlesnuestoutpelle	-|--|---|---|----|
Ietoient noifplu ieet	-------|---|---⌫-|-|
g ra ille.	-⌫--⌫----|
Ta ntfutanspesmesetf ors	--⌫-|-|---|-----|-|-⌫--|
Queiequ ida i bien e stremors	--|-|--⌫---⌫|---|-⌫---|---|
De s fo urdresquentor moi cao ient	--⌫|--⌫-----|-|----|--|---⌫---|
Etdesarbres	-|--|-----|
quidepechoient .	--|-----------⌫|
Saichiésque	--------|--|
moutfuiesmaiés	---|--|-------|
Tantquelit ansfurapaiés.	---|--|-|-⌫--|-|--------|
Ma is Dixtant meras seüra	--⌫-|--|---|-|---⌫-----|
Que l i tansgai r es ne	--|-⌫|---|---⌫-⌫-|-|
Et tu itli uent	-|--⌫-|-|---|
s e repose rent	-⌫|------⌫---|
Q u antDix ne pl o tuentern	-⌫-⌫--|--|-|--⌫-⌫|-----||
Et quantieuil aircleret pur	-|----|-|-||--|---|-|--|
Deioiefuitoutasseür	-|---|--|---|------|
Qu eioiesonq u esle	--⌫|---||---⌫-⌫-|-|
Fait tostoubli ergrant	---|---|-----⌫-|----|
Desquel i tansfutrespass e ́ s	--|--|-⌫|---|-|--------⌫-⌫-⌫|
Oysiaus s estqui croire	------||--|--|-----|
menue ull e	|-|--⌫---⌫|
Quil niparoitbra nchenefuel le	-|-|||-----|---⌫---|-|----⌫-|
Que tout nefustc ouuertdoisiaus	--|---|-|---|-⌫-----||------|
Se nestoitliarbresplus biaus	|-⌫|-----|-|-----|---|----|
Ettrestuit lio i sel	-|-------|-|-⌫-⌫--|
c hantoi ent	-⌫------⌫--|
Si que tr es tuits e n tracordoient	-|--|--⌫--⌫---||-⌫-⌫-----------|
Maisdiu ers chans chantoitchascu ns	---|---⌫--|----|-------|------⌫-|
C onquesche q ue cantoitli un s	|-----|--|-⌫-|------|-|--⌫|
Al a utr ecanternioï.	||-⌫---⌫|-----|||---|
ioiemer esioï	---|-|-⌫-----|
Ses co utaitantquilore nt f ait	|--⌫--⌫---|---|-|-|---⌫-|-⌫--|
Lorserui chetrest outa trait.	--|-----⌫--|-----⌫--||-----|
Ains ma isn oïsibeleioie	---|--⌫-||--|-|---|---|
Nemaisnecuit	-|---|-|---|
quenu sho ml	--|--⌫|--⌫||
Seilneua oï rchelui	-|-|-|-|---⌫|-----|
Q uetantmepl eutetenbel i	-⌫-|---|-|--⌫--|-|-----⌫|
Que ie me duipour	--|-|-|--|---|
fol tenir.	--|-----|
Tantyfui quei	---||--|--||
oï ue nir	--|--⌫--|
Cheualiersc heme fu a uis	---------|-⌫-|-|-|-⌫--|
Bi encuidaique	--⌫-|-----|--|
ilfussen tdis	-|------⌫|--|
T el noisetel fraintde menoit	-⌫-|----|--|-----|--⌫-----|
Unzse uzch eualiersquiuenoit.	--|--⌫-|--⌫-------|--|------|
Quantieleui	----|-|-|-|
tout se ul uenant	---|--⌫-|-----|
Mo ncheual restrainsmainten ant	--⌫|-----|--------|-------⌫--|
N au monterdemeu renefis	|-|-----|-----⌫-|-|--|
Etchilmeui nt	-|---|-|--⌫-|
m al talen t is	-⌫-|-----⌫-⌫-|
Plustostcunsdroisalerions	---|---||--|----|-------|
F ie rs par samblantconmel ions.	-⌫--⌫-|--|-------|----|-⌫----|
Des i haut	-|-⌫|---|
conme ilpo tc rier	----|-|--⌫|-⌫---|
Meconmenchaa deffier	-|--------||------|
Et dit u as saus mout m	-|--|-⌫--⌫---|---||
Sans deffianchehonteetlait.	---|---------|----|-|----|
Deffierme deüssiésuous	------|-|---------|---|
Sileüstquerele ent re	|-|----|------|---⌫-|
Ouau mainsdr oi tu re requerre	-|-|----|--⌫--⌫--⌫-|-------|
Ainsqueu o us meme üssiésguerr e.	---|--|-⌫-⌫-|-|--⌫-------|-----⌫-|
Maissepuis s ire uassaus	---|-|---|-⌫--|------|
Se uruous enremanrr alimaus	--⌫-|---|-|-------⌫|-|---|
Du damage quiestpar ans	-|-----|--|--|---⌫--|
E nuironmoiest ligar rans	-⌫-----|--|--|-|---⌫---|
Demonbos qui estabatus.	-|--|--|--|--|------|
Plaindrese	-------|-|
mep laingsiai	-|-⌫----|-|-|
aue ́sdema	---⌫-|-|-|
Ieté afoudreset	----||------|-|
F ai tm auéschose	-⌫--⌫||----|----|
qu i m anuie	--⌫||----|
Etdehait aitqui che	-|-----|--|--|--|
Quen m enbois et en mon	-|-|-⌫-|---|-|-|--|
M a uésore fait teloutrage	|-⌫---|--|---|--|------|
Qu e mes tierne meüs t	--⌫|---⌫---|-||----⌫|
Donmesn ed armes	|----|-⌫||----|
On que sniothonmeas s eu ̈r	--⌫---⌫|||-|----|--⌫-⌫--⌫-|
Enfortelech equi yfust	-|---------⌫|--||---|
Dedure p ierre	-|---|-⌫----|
Maissachie ́sbi enque desor mais	---|------⌫-|--⌫-|--|-----⌫---|
Narésde moi trieues	|----|-|--|------|
A che st motnousen t reuenismes	|---⌫-|--|---|--⌫-⌫---------|
Lesescusenbrachiéstenimes	--|----|----------|------|
Si se couurichascunsd usien.	-|-|-----|-------|-⌫|----|
Lic heualiersotcheualboin	-|-⌫--------|-|-----|---|
L an che droite	-⌫--⌫--|-----|
et fusans doute	-|-|---|----|
Plusgrant demoi	---|----|-|--|
latestetoute.	-|----|-----|
touta meschieffui	---||-------|--|
Que ief uipluspetitdelui	--|-|-⌫-|---|----|-|--|
Et sescheu ausplusfors	-|--|----⌫--|---|---|
Parmile uoir	----|-|---|
c hesaichiésbie n	-⌫-|--------|---⌫|
Menuoispourmahontecouurir.	|-|---|---|-|----|-------|
Si grantcopconi e	-|----|--|--|-⌫|
Li don nai conquesnemen	-|---⌫--||-----|-||-|
El combledelesculatains	-|-----|-||---||-----|
Simistrestoutemap uissanche	-|--|--------|-|-⌫--------|
Siqu enpieches uol a ma lanch e	-|-|-|------|---⌫|-|-----⌫|
r emainst entiere	-⌫------|------|
Quel enestoit	-|--⌫||-----|
miele giere	--|--⌫----|
Ai nsie rt pl us	--⌫-|--⌫-|--⌫-|
grosseaumie n quidier	-----|-|---⌫|------|
Quenulelanche ache ualier	--|---|-----||---⌫-----|
Cainssi grossenule ne nui.	|---|-|-----|---||-⌫|--|
E tli cheu aliers m enferi	-⌫|-|----⌫-----||-|---|
Si roid ementquedu cheual	-|----⌫----|--|-|-----|
Parmilacr upeduch eua l*	----|-|--⌫--|-|--⌫---⌫-|
Memist ale tere tout plat	-|---||-|---|---|---|
lai ssa h ont eus etmat	---⌫--|-⌫---⌫--|-|--|
Queonqu es ne me	--|----⌫-|-|-|
pr inst etmoylaissa	--⌫---|-|--|-----|
Sisemis tariereala	-|-|---⌫|-----||-|
Etiequim onroyn	-|-|--|-⌫-|--||
Remésango usseuset	-----|----⌫-----|-|
Delésle fontaine	-----|-|-------|
Un petits i mereposai.	-|----|-⌫|-|-------|
Lecheu aliers i resong nai	-|----⌫----|-⌫|------⌫--|
Quefolie fair edoutaiss e	--|----|----⌫|--------⌫|
Seaprésluitantostalaisse .	-|-----|--|------|-------⌫|
A pr éstost	-⌫--⌫--|---|
nesoiq ui lde uint.	-|--|-⌫|-⌫|--⌫----|
Enlafinuolentésmeuint	-|-|--|--------|-|---|
Qu amon hos te couu enttenr oi e	-||--|---⌫-|----⌫--|----⌫--⌫|
Et queparlui	-|--|--|--|
men reue nroie.	|-|----⌫-----|
Ainsi meplotainsi	----|-|---|----|
Maismesarm estoutes	---|--|---⌫-|-----|
Pou r alerplusle gierement	---⌫|---|---|--⌫--------|
Simenreuin g honteusement.	-||-|-----⌫|------------|
Quantieui ng tout droita	----|-|--⌫-|---|----||
Si t r ouua imon hoste au tel	-|-⌫-⌫----⌫|--|----|--⌫--|
Aussi li éetaussiioiant	----|--⌫-|-|----|-----|
C on meiauoiefaitdeuant.	-⌫--⌫-||----|---|------|
O nques der iens nem	-⌫----|-|-⌫---|-||
fill e nede	----⌫|-|-|
Quemout* uolentiersmeueïssen t	--|----|---------|-|--------⌫|
desonnorfeï ssent	-------|----⌫----|
Ne qu ilauoient	-|-|-|------|
fai tlautre nuit.	---⌫||----|----|
Granthonnorm eporterenttuit	----|-----|-⌫|--------|---|
Leslo rsmerchisenlamai son	--|--⌫-|------|-|-|---⌫--|
Et di s oientc onquesmaishom	-|--⌫-⌫----||-----|---|--|
Niertescap ésqueilseüssent	|---|-----⌫--|--|-|--------|
dire leüssent	---||-------|
Deladontiestoie uenus	-|-|---||-----|----|
ifust prinsetretenus.	|---|----|-|-------|
Ainsialayainsi reuing	----|---|----|-----|
Au reuenirpourfo lme ting.	-|------|---|--⌫|-|----|
Ain siuo usco nte	---⌫-|--⌫-|--⌫--|
Et*conquesmaiscontern e uox.	--||-----|---|-----|-⌫|---|
-Par m on chief dist mesireYuai ns	|--|-⌫-|----|---|-----|----⌫-|
uouse stesmescousinsgerm ains	---|-⌫---|--|------|----⌫---|
Sinous deu onsmoutentramer	-|---|---⌫--|---|-------|
uouspui sfolclamer	---|---⌫|--|-----|
Queuous lem aués	--|---|-||----|
tantchelé.	---|------|
ayfolapelé	-|--|-----|
Ie uouspriquilne uouse npoist	-|---|--|-|-|-|---|-⌫|----|
Carseie puiset	--|-|-|---|-|
Girai uost reho nteuengier.	|---|----⌫-|--⌫--|-------|
- Bienpertquile staprésm engier	|---|---|-|-|-⌫-|-----|-⌫-----|
FistKeusqui	---|---|--|
tair enese po t.	----⌫|-|-|--⌫-|
Plus a paro lesenplainpot	---||----⌫--|-|----|--|
Deuin quen.i.muy decheruoise.	-|--|-|-|--|--|-|---------|
Ond itquechatsaouss enuo i se.	-|-⌫-|--|---|----||----⌫-⌫--|
Ap re ́s m engiersa nsremuer	--⌫--⌫-|-⌫-----|--⌫-|-----|
Etpu ischascunssiue uttuer	-|--⌫-|-------|-|--⌫-|---|
E tuous irésuen gierFourré	-⌫|---|----|---⌫---|------|
Sontuost rep enelenbouré	---|----⌫-|-⌫---|-------|
Et u oschausse s deferf r oÿes	-|-⌫-|-------⌫|-|--|-⌫-⌫----|
Etu osbaniere sdesploÿes	-|-⌫-|-------⌫|---------|
Ortostpou rDieu mesire	-|---|---⌫|---|-----|
M ouurésuousanuitou demai ns	-⌫------|---|----|-|-----⌫-|
Faitesleno us	-----|-|--⌫-|
sauoi rbiau	-----⌫|---|
Quant uousirésa	----|---|----||
chestmartire	----|------|
uousu aurrons conuoier	---|-⌫------|-------|
pr e uos tneuoier	--⌫-⌫---⌫|-|----|
Quiuol entiers neuousconuoit.	--|---⌫------|-|---|-------|
Maisie uous	---|-|---|
priconmentquilsoit	--|------|-|-|---|
N enalé spassansuos	|-|----⌫|--|---|--|
congié s.	-------⌫-|
Etseuousanuit	-|-|---|----|
pointsongiés	----|-------|
Maluais song esi rema nés	------|----⌫|-|----⌫---|
-Diables e ste suousforsenés	|------|-⌫---⌫|---|--------|
MesireKe usfaitlaroÿne	-----|--⌫-|---|-|-----|
Que uostrel ang ue	--|-----|-⌫---⌫-|
onqu esnefine	----⌫-|-|---|
Lauostrelanguesoith onn ie	-|-----|-----|---|-⌫---⌫-|
Quitant estesque menie	--|---|--|-----⌫----|
Cher tesu ostrelangueuo usfait	----⌫--|-⌫----|-----|--⌫-|---|
Le pis queelepu etsi fait.	-|--|--|--|--⌫-|-|----|
Chas cunss i	----⌫---|-⌫|
ditquiconques	--|---------|
Chest*l ela ngue qui ains n e	-----|-⌫|--⌫---|--|---|-⌫|
Demal diresoit maloite	-|--|---|---|------|
l angue si esploite	-⌫----|-|-------|
Queleuousfaitparto uthaïr.	-|--|---|---|-----⌫-|-----|
Pisne uouspuet	--|-|---|---|
eletraïr .	--|------⌫|
B ien sa chie ́sie lapeleroie	-⌫--|--⌫----⌫-|-||--------|
Detraÿsonsele estoit moie.	-|-------||--|-----|----|
Honme quen	----|-|-|
nepuet chastier	-|---|-------|
Deuroitonau	------|-|-|
m oustierlier	-⌫------|---|
Etliclam ercon meprouués* .	-|-|----⌫-|---⌫-|---------⌫|
-Chertesdamedesesrampornes	|------|---|-|--|--------|
Faitmes ireY u ai nsnemec haut .	---|---⌫--|-⌫-⌫--⌫-|-|-|-⌫----⌫|
Ta ntpuetettantsetettantu aut	--⌫-|---|-|---|--|-|---|-⌫--|
MesireKeuse nto ute sco ur s	-----|---|-⌫|--⌫---⌫|--⌫--⌫|
Queil n iertia	--|-||---|-|
muyausne sours.	-----|-|-----|
Biens eten contreuilenie	---|-⌫-|--⌫-----|------|
Respondr esen set courtoisie	--------⌫|---⌫|-|---------|
Sinefistonqu esa utremant.	-|-|---|----⌫-|-⌫--------|
Iasaués uousse iement.	-|-----|---|-|-|----|
Mais ienaicurede tenc hier	---|-||-|---|-|----⌫---|
Nede melleeco nmenchier	-|-|-----|--⌫--------|
Quechilne faitpasl e melle e	--|---|-|---|--|-⌫|-----⌫|
Quifiertlapremie r ecolee	--|----|-|------⌫-⌫|----|
Ainsle fa itchilqui se	---|-|--⌫-|---|--|-|
reu enge .	---⌫----⌫|
Bien tencheroit aunest range	---|---------||-|---⌫----|
Q uiramposne	-⌫-|-------|
soncompaignon.	--|----------|
Neueulpassambler leguaignon	-|---|--|------|-|-------|
Qui sehe richeetre gri gne	--|-|--⌫----|-|--⌫---⌫--|
Quant.i.autr emastinle rek ingne.	----|--|----⌫|-----|-|---⌫-----|
pa rloientain si	--⌫------|---⌫-|
Li roish orsd esacambr eissi	-|---|-⌫--|-⌫|-|-----⌫|---|
Q ui lliotfait lon gue demeur e	-⌫|-⌫-||-|---|---⌫--|------⌫|
dorm iiusquachele	----⌫|----||----|
Etli baronqua nt illeui rent	-|-|----|---⌫-|-|-|--⌫---|
Tu it enpiéscontr el i salirent	--⌫-|-|----|-----⌫|-⌫|-------|
Et il tos t rasseïr le sfist.	-|-|---⌫|-------|--⌫|----|
Delésla roÿne sa ssist	-----|-|-----||-⌫----|
Etlaroÿne	-|-|-----|
maintenant	---------|
Lesnouueles Calog r enant	--|-------|-----⌫-⌫----|
Lirec ontetoutmo tam o t	-|---⌫---|---|--⌫||-⌫-⌫|
et belc onter lis ot.	-|--|-⌫----|-|-⌫--|
Liroislesioïuolent iers	-|---|--||--|------⌫---|
Etfis ttrois ser emensen tiers	-|---⌫|----|---⌫----|--⌫----|
de Pandra gon son pere	-|------⌫--|--|---|
Etlasonfiletlasonfr e r e	-|-|--|--|-|-|--|--⌫-⌫-⌫|
Qui l iroit	-|-⌫|----|
ueoirla fontaine	----|-|-------|
Ia ainznepas ser oitquinzai ne	-|---|-|---⌫---⌫--|-------⌫-|
Etletempeste et lemer ueil le	-|-|-------|-|-|---⌫----⌫-|
ilyuenra laue i lle	-||----|-|--⌫-⌫--|
Monseigneursain tIehanBaptiste	----------|----⌫|----|-------|
Etsi prendr ala	-|-|------⌫|-|
n uitsongiste	-⌫--|--|----|
Etditqueauecliiront	-|--|--|---|-|----|
Tuitchilq uialer	---|---|-⌫-|---|
yuaurron t.	|-------⌫-|
De che qu elirois	-|--|--⌫|-|---|
T o u te lacou rsmie x l	-⌫-⌫-⌫-|-|---⌫-|---⌫||
Carmo utyuoloient aler	--|--⌫-||-------|---|
etli bache ler.	-|-|-----⌫---|
Maisquiquen soitliéset	---|--|-|-|---|----|-|
M esireYuain senfudolan s	-⌫----|-----⌫|-|-|-----⌫|
enq uidoit al er	-|-⌫-----|--⌫-|
Senfudolan s	|-|-|-----⌫|
etang ousseus	-|---⌫------|
Du roi quialer ydeuoit.	-|--|--|---||------|
Pourcheseulement	---|--|--------|
ligreu oit	-|----⌫--|
Q u ilsauo itbienquelabatai l le	-⌫|-|----⌫-|---|--|-|-----⌫-⌫-|
Aroit mesir el iroissansfaille	----|-----⌫|-⌫|---|---|-----|
il si le requeroit	-|-|-|--------|
Ia ueéne liseroit	-|---|-|-|-----|
Ou mesireGauuains meïsme s	-|-----|-------|-------⌫|
Esp oirledemanderaprimes.	---⌫--|-|--------|------|
ches.ii.larequie r t	---|---|-|------⌫-⌫|
Iacontrediten eli iert	-|---------|-⌫|-|---|
Ma is il ne l esatendramie	--⌫-|-|-|-⌫-|------|--|
Quilsoign ede	-|-|-----⌫|-|
l o rcom p agn i e	-⌫-⌫|---⌫-⌫---⌫-⌫|
A in ssenyra	-⌫--⌫||-|--|
tousseu ssonue ul	---|---⌫|--|--⌫-|
O ua saioieouasonduel	-⌫||-|---|-||--|---|
que remaingn e as eiour	--|--------⌫||-⌫----|
Ily ueutalerain stierziour	-||---|---|---⌫|----|---|
EnBroc heliandeet querra	-|----⌫-------|-|-----|
p uetta ntqui lt r ou uera	-⌫--|--⌫-|-|-⌫|-⌫-⌫--⌫---|
Lestroitsentierlecheminfort	|------|------|-|-----|---|
Etl a lande etlemaisonfor t	-|-⌫|----|-|-|-----|---⌫|
Etlesou las	-|-|---⌫--|
etledeport	-|-|-----|
De laco u rtoiseda moisele	-|-|--⌫-⌫-----|--⌫------|
est au e nans et	--|--⌫-⌫---|-|
Etl e prodons sa uo ie aprinz e	-|-⌫|------|-|--⌫-||-----⌫|
Quie nhoneurfaireses il le	--|-⌫|-----|----||--⌫--⌫-|
T antestfrans	-⌫--|--|----|
et deboinepart.	-|-|----|----|
Puisuenralecors*enl	---|----|-|----|-||
Et le grantui lainq uilesgarde.	-|-|----|--⌫---|-⌫-|--|-----|
Li ueoirs li d emeureettar de	-|-----|-|-⌫-----|-|---⌫-|
Du uil a inquitant	-|---⌫-⌫-|--|---|
parest lai s	--|--|---⌫|
contrefai s	---------⌫|
Etnoirs a guise deferron.	-|----||----|-|------|
P uisuenra	-⌫--|----|
sipuet le perron	||---|-|-----|
Etlefontaineetlebac hin	-|-|-------|-|-|---⌫--|
Etl e soysiausdeseurle pin	-|-⌫-⌫|------|-----|-|--|
Sifer aplouuoiretue nter.	-|---⌫|-------|-|--⌫----|
Mais il ne se n	---|-|-||-⌫|
qui e r ti auanter	---⌫-⌫-⌫|-⌫|-----|
Neiasonueu li a nesaura	-|-|--|---⌫|-⌫|-|----|
Iuquestant queil	-----|---|--|-|
Granthon teo u grant honeureüe	----|---⌫-|-⌫|----|-----|---|
Puissiso it	---|-|--⌫-|
l achoseseüe.	-⌫|----|-----|
Mesireist de la	-----|--|-|-|
courtsemble	----||----|
Siquen ulhonmeniasamble	-|--|-⌫-|----|||------|
Mais seus uers son hoste l senua.	---|---|---|--|-----⌫||-|--|
To utes ama isnietrouua	--⌫--|-⌫|--⌫----|-----|
Si quema ndemetre	-|-----⌫--|----|
Un sien e squie ry apele	-|---|-⌫-----⌫||----|
Cuiil ne cheloit nuleri en	--|-|-|------|---|--⌫-|
D iu afait i laprésmo iuien	-⌫|-⌫|---|-⌫|-----|--⌫|---|
Laf orsetmesarmesmeporte	-|-⌫--|-|--|----|-|----|
Ie men ystrai parchele port e	-||-|-----|--|----|----⌫|
Qu ilmecouuientmout	-|-|-|-------|---|
loi nserre r .	---⌫-|----⌫-⌫|
Etmoncheual	-|--|-----|
f aienseler	-⌫-|------|
Silamain e	-||-----⌫|
tostaprésmoy	---|-----|--|
Etramanra smonpalefr oy.	-|-------⌫|--|------⌫--|
Maisgardeb i enieteco nmant	---|----|-⌫-⌫-|-|-|--⌫----|
