pourlamitiede	---||-----|-|
ou demalou d au ersit e	-|-|--|-||--⌫-----⌫|
sebe soingontdetoi	-|--⌫----|--|-|--|
ced on tleuruu oilles	-|-⌫--⌫|---|--⌫-----|
a leure qui l mapeleron t	||---|-|-⌫||--------⌫|
etpar besoing	-|--|------|
me requerront	-|---------|
del eur complainteai ezpitie	-|-⌫--|---------|--⌫-|----|
pormamoretpor mamiti e	--||---|-|--||-----⌫|
sireiaitauolent e	---||-|-|------⌫|
s e de noie nt me	-⌫|-|----⌫-|-|
suimeffa ite	--|-----⌫--|
partapitie m e fai pardon	--|-|----|-⌫|--|-----|
por toi mestmoncorsa bandon	--|--|---|--|---||-----|
au gl aiue qu eieuoic i preste	-|--⌫---|--⌫|-|--|-⌫|-----|
si re mon corstedoing etpreste	--⌫-|--|---|-|----|-|-----|
por toi auoiren ce martyre	--|--|----|-|-|------|
mame recoif	|--|-----|
i hesubia usire	-⌫---|---⌫|---|
plusnedeme ntdeuoir lesache s	---|-|----⌫-|-|---|-|-----⌫|
e tpar les mains	-⌫|--|--|----|
aces mesages	|--|------|
lameste n repospardu rab le	-|---|-⌫|----|-----⌫---⌫-|
que nec hieeesmain s	--|-|-⌫---|-|----⌫|
au d eable	-|-⌫----|
atant lies tse urluiuenue	----|-|--⌫|--⌫-|--|----|
unec olumbetote nue	--|-⌫-----|---|--|
quide parler n e setint	--|-|-----|-⌫|-|---|
u ien bel e seuruien	-⌫--|---⌫|---|---|
douceami e	----|---⌫|
uienu cielquierretadeserte	---||---|------|-|------|
ueez lapor t equiest ouerte	---|-|---⌫-⌫|--|--|-----|
laport edebene urte	-|----⌫|-|----⌫---|
boneseurt e	---|-----⌫|
quetesl eusestenparadis	--|--|-⌫--|--|-|------|
app ar eill iezpargrant d euis	---⌫--⌫----⌫--|--|----|-⌫---|
l a atendentpresen tement	-⌫|-------|------⌫-----|
ton c ommandement	--|-⌫----------|
quicontre toiuellent uen i r	--|-----|--|------|---⌫-⌫|
e ttu leurpeuzueoirtenir	-⌫|-|---|---|----|----|
un e corone	--⌫|-----|
queie aiprise en	--|-|-|----|-|
mont resor	--|-⌫----|
dontt u s eras iacoronee	---|-⌫|-⌫---|-|------|
uientenque bone fustunee	---||-|--|---|--|-|--|
n aies peoramiechi ere	|---|---|---|---⌫--|
oieta prie re	--|-|----⌫-|
que tretuit c ilqui	--|------|-⌫-|--|
tontorm e nt	--|----⌫-⌫-|
deboncorage e th umb lement	-|--|-----|-⌫|-⌫---⌫-----|
re clamerontm adouce amie	--⌫--------|-⌫|----|---|
l eu rpriere s eraoie	-⌫--⌫|-----|-⌫--|--|
elcielse nestlauoiz	-|---||-⌫|--|-|---|
etla pucelea	-|-|-----||
lates te aual	-|---⌫-|---|
en lapoudriere	-|-|--------|
si apar léen tel	-||---⌫--|-|--|
a misorfier ilest bien	-⌫--|-|---|-|--|---|
il me target rop etdemeure	-|-|----|-⌫--|-|------|
c ommandement	-⌫----------|
deliure toiesnel lement	------|--|-----⌫-----|
di eumape llebi en las oi	--⌫-||---⌫--|--⌫-||-|-|
l iserg entli otbenoi	-⌫|----⌫--|-|-|----|
fier t delespeeetlechief uole	----⌫|-||----|-|-|----|---|
aterresanz p lusd e par olle	|----|---|-⌫--|-⌫|---⌫---|
l aau i ndrent de ce martire	-⌫|--⌫-⌫-----|-|-|------|
deux c h oses qui bienfont	---|-⌫-⌫---|--|---|---|
l unefuq ue en leu desanc	|--|-|-⌫-|-|--|-|---|
uirent c heoirlet tret otblanc	-----|-⌫----|--|----⌫-|----|
parmilaplai eagrantfoison	----|-|----⌫||----|-----|
etorb iensauez c	-|-|-⌫--|----||
e straison	-⌫-|-----|
ca rl i laizfuparueri te	--⌫|-⌫|---|-|--|----⌫-|
tesmoingdesa	-------|-|-|
lautredeschosesquiauindre n t	|----|--|-----|--|-------⌫-⌫|
fuqueliange a	-|--|-|---||
son corsui ndrent	--|---|--⌫-----|
nelm itrentpasen nonchaloir	-||-⌫-----|--|-|---------|
enc oisl emporterent poruoir	---⌫--||----------|--|---|
el mo ntsinaysanzdelai	-|--⌫-|----|---|----|
oudamedie x	-|-------⌫|
dona laloy	---|-|--|
lebon profeite	-|--|-------|
duleuouel lefudeffaite	-|--|-|--⌫-|-|-------|
iusquaumontdesa sepoltur e	----|-|---|-|-|--------⌫|
a mou lt i ornees	|---⌫-|-⌫-----|
des enfers quii	--|-----|--||
lasontma intm iracle auenu	-|---|--⌫--|-⌫-----|----|
mesune meruelle i aui nt	--|--|-------||---⌫-|
qamaintesgentue oircouint	||------|---|--⌫--|-----|
q ue d e son sepu credecourt	-⌫-|-⌫|--|----⌫--|------|
huilequiles enfers se court	----|--|--|-----|--⌫----|
nesdesoiseleizmenuz	--|--|-------|----|
iestmaintm iracleau enuz	|--|----|-⌫-----|--⌫---|
partotlesleusou len	--|--|--|---|-|--|
endecort huile quiconforte	-|-----|----|--|-------|
tozlesenfers quien so nt oint	--|--|-----|--|-|--⌫-|---|
que lesmau sp uis	--|--|---⌫|-⌫--|
negr euentpoint	-|--⌫----|----|
c estepucellebienm enmembre	-⌫---|------|---||-|-----|
s oufrimort	-⌫----|---|
elm ois de n ouembre	-|-⌫--|-|-⌫------|
le ior sai gebienetc onnois	-|--|--|-|---|-|-⌫-----|
el uint ecincquiesmedumois	-|---||----------|-|---|
soufri mortaun uendredi	-----|---||-|-------|
unpo deuant midi	-|-|-----|---|
cui enromanz si se	--|-|-----|-|-|
de sceu r e	--⌫----⌫-⌫|
qui aac h ief	--|||-⌫-⌫--|
etren tgrace s	-|---⌫|-----⌫|
aihesucrist	|---------|
desapeine e t desonesc rit	-|-|----|-⌫|-|--|---⌫--|
ia sibien ache ué	||-|---|----⌫--|
et si neliari ens greué	-|-|-|-||--⌫--|-----|
pasfet po rle mond e	--|--|--⌫|-|----⌫|
iauicesnele c onfonde	-|----|-|-|-⌫------|
quilface riensp oruain egloire	-|-|---|----|-⌫-|----⌫|-----|
encoisla fet enlamemoire	-----|||--|-|-|------|
de lagl orieusepucele	-|-|--⌫------|-----|
amo ri lren ouel le	---⌫|-⌫|---⌫----⌫-|
lapass ion	-|----⌫--|
quelaso uferte	-|-||--⌫-----|
a son g aan g	|--|-⌫---⌫|
a sadese rt e	|-|----⌫--⌫|
et pors amor amaintenue	-|--||---||--------|
qu e lne doitp as es trete ue	-|-⌫|-|---|-⌫-|--⌫--|--⌫-|
orlipriere enl a fin	-|-|-----|-|-⌫|--|
quelle m efaceund onsan zfin	-|---|-⌫|---|-|-⌫-|---⌫|--|
ame s enuoldrapar tir	--||-|-----|---⌫--|
quemalfez nel puissent pa rtir	--|-----|-||-------|--⌫---|
ne l aitdea ble engard e	-||--|---⌫--|-|----⌫|
e nsadeffansse	-⌫|-|--------|
et ensa garde	-|-|-|----|
adelto tsameet	|--|--⌫||--|-|
soncorsm is	--|---|-⌫-|
ce mestauis	-||--|---|
et cel s quiorrontletormen t	-|---⌫|--|-----|-|------⌫|
facentdonetotroieme nt	-----|--|-|--------⌫-|
il iuoldr ont	-||-----⌫--|
fis t ciel	---⌫|---|
etmeret ter re	-|--|-|---⌫-|
ceqen p eut ueoir	-||-|-⌫--|----|
nosf ace a bonefinueni r	--|-⌫--||---|--|----⌫|
qu i regnepardurablemen t	--⌫|----|-------------⌫|
sa nzfin etsanzcomme nc ement	--⌫-|--|-|---|-----⌫--⌫----|
