cil ki seiuen tdelettrure	--|-|------⌫|-|-------|
e si nul gua in dei ue ntpartir	|-|--|---⌫-|---⌫--⌫-|-----|
liric h esuouttut retenir	-|---⌫-⌫-|---|--|------|
ci dit queu n s	-|--|--|-⌫-⌫|
eg lesuientuolant	--⌫--|----|-----|
iustel amer peissu nque r ant	----|-⌫|--|------⌫|---⌫-⌫--|
unewelketr uuae n tiere	--|----|--⌫--|-⌫-⌫----|
m esne sot e nq uelmanere	-⌫-|-|--|-⌫|-⌫--|-----|
peu stlascaledepesc er	---⌫-|-|----|------⌫-|
quan ta sunni uoltrep eirer	----⌫||--|-|---|---⌫----|
unecorneillelene ncu n tra	--|--------||-|-⌫---⌫-⌫--|
lienseignera	-|---------|
cum lasc ale purra ouerir	--|-|--⌫--|----|-----|
al peissunpus tp a rtir	-|------|---⌫|-⌫-⌫---|
p uisliroua a muntuoler	-⌫--|-|---||---|----|
tanthautcumplus purrei tm unter	---|---|--|---|------⌫|-⌫----|
q uant ilseramuntélasus	-⌫---|-|---|-----|-|--|
silestlawelke	-|---|-|----|
surd ur eter e usurrocher	--|-⌫--⌫|---⌫||--|-----|
silapu rrabiendep esce r	-|-|--⌫--|---|---⌫----⌫|
lie glesad	-|-⌫---|-|
mutgrant desirer	--|----|------|
de la welk e q u ilti entmanger	-|-|----⌫|-⌫|-|--⌫--|-----|
hautla portecheir la	---|-|----|----|-|
lacorneil lef u	-|-------⌫-|-⌫|
e n agueit	-⌫|-----|
auantaladelbek	----|--|--|--|
si quela sca le	-|--|-|---⌫-|
unpoioueri	-|--|----|
lep eissunnetdedenzmanga	-|-⌫--------|-----|----|
lescalelests is enala	|-----|---|-⌫||-|--|
einzque l i eglesifu stuen uz	---|--|-⌫|----||--⌫-|---⌫-|
ne quils efustaparceuz	-|-|-|-⌫|---|-------|
lepertu set otfet	-|-----⌫--|-|--|
quelieglespasn elu it	--|-|----|--|-⌫||-⌫-|
p ar ceste	-⌫-|----|
fabledel peissun	----|--|------|
nusmus tre	--|---⌫--|
essam ple delfelun	-----⌫--|--|----|
a gueitepareng in	-⌫----||--|---⌫-|
mescunseillesunb on ueisin	-----------|--|-⌫-|-----|
tele chos elicunseillea	---|----⌫|-|--------||
duntcil ne peota nulchief	---|--|-|---||--|----|
equant ilun kessun tmeuzasembl e	|----|-|--⌫--|---⌫|---|------⌫|
partraisun litout eemble	--|------|-|---||----|
la ueirque	|-⌫---|--|
purchaci é	--------⌫-|
pargran ttrauaileguainié	--|----⌫|------||-------|
issiauiente bienpotestre	---|-----||---|--|----|
que par deu ant	--|--|---⌫--|
unef enestre	--|-⌫------|
queenunedespensefu	--|-|--|-------|-|
uolauncorf si a dueu	---|-|---|-|-⌫|--|
furmages que deden z es t eient	-------|--|-----⌫|--⌫-⌫----|
e desu re u n e cleiegi seient	|----⌫-|-⌫-⌫|----|--⌫-----|
une n adp riso dtutsenua	-|-⌫|-|-⌫--|-⌫|--||-|-|
ungupiluient q u il e ncuntra	-|----|----|-⌫-⌫||-⌫------|
de l furmag eotg rantdesirer	--⌫|------⌫|-|-⌫---|------|
peustsa partmanger	----|-|---|-----|
parenginuod rae ssa ier	--|----|---⌫-|-⌫---⌫--|
s i lecorp	-⌫|-|---|
purraenginner	----|-------|
adeusirefetligup ilz	|--|---|--|-|---⌫--|
tantparestcistoiselgentilz	---|--|--|---|----|------|
mesoilzneuisibel	--|---|-|-|-|--|
fustte usseschanz c um	---|--⌫-|--|----|-⌫-|
est sescors	--|--|---|
iluaud reit meuzquen ul fin ors	-|----⌫---|---|--|-⌫-|--|--|
licorpsseoisi bien loer	-|----|-|-|-|---|---|
queentut le mund n ot s un	--|-|--|-|---||-|-⌫-|
purpens é sest qu il chan tera	-------⌫-||--|-|-|----⌫---|
iapurc hanterlosne	-|--|-⌫-----|--|-|
lebek ouer isichant a	-|--|----⌫|-|-----⌫|
elifurmages lies chapa	|-|-------|-|--⌫----|
alatere l es t utcheir	|-|---||--⌫-⌫-|----|
e ligu p il leue t	|-|--⌫-⌫-|-|--⌫|
desunchant	-|--|----|
delfurmage ot suntalant	--|------|-|--|-----|
ceo estes sampledes or guillus	--|--|--⌫-----|--|--⌫------|
ki de gr antprissunt desi rus	-|-|--⌫--|---|---|----⌫--|
parlosengerparment ir	--|-------|--|----⌫-|
les pue thumbienagreserui r	--|---⌫|--|---||--|-----⌫|
le lurdespend entfolement	-|--|-------⌫--|-------|
purfauslose ngedela	--|---|----⌫--|-|-|
deunleuncunteliescriz	-|-|---|----|-|-----|
ki fudef re izeenueilliz	-|-|---⌫--⌫-||--------|
mal adesiutmut lungem ent	---⌫---|--|--|------⌫--|
del re leuern	--|--⌫----||
tutesle sbestes	----|--⌫|-----|
s ase mb lerent	|---⌫--⌫-----|
purluiueeracurtalerent	--|--|---||---|------|
liplusur suntpurluidolen t	-|-----|---|--|--|-----⌫|
easesquan z	|-|------⌫|
ni ch au tnent	||--⌫--⌫|---|
aiuuntpurdun	||---|--|--|
a lade uisedel leun	|-|--⌫---|--|---|
esauer uolei en tli	|----|-----⌫--⌫|-|
sien lui admesnulr etur	-|-|--|-|--|--|-⌫---|
libues deses cor nesl	-|---|-|--|---⌫--||
abut ut é	|---⌫--⌫-|
eliasnesque pasne	|-|----|--|--|-|
fie rt surlepiz	---⌫-|--|-|--|
de lautrepart	-||----|---|
ui entligupi lz	--⌫--|-|----⌫-|
le mortparlesoreille s	-|---|--|--|-------⌫|
l eun sieou eimerueill es	-⌫---⌫|--|-⌫-|--------⌫-|
s ouient qu eenmune e	-⌫-----|--⌫|-|--|-⌫|
qua ntie fnesfue e n sancte	---⌫-|--⌫---|-||-⌫|-----|
bestesme d uto uent	-----|-|-⌫---⌫---|
cumeseig nur e ho nurouent	---|----⌫--||--⌫-------|
quant ie reliez haitiezesteie nt	----||-⌫-|---|------|------⌫-|
quantereirez mutse	----|--|---|--|-|
oremeueie nta fieblié	--|-|----⌫-|-⌫-------|
defulé meunt e auilé	------|-|--||-----|
mutme semblegrei nurui lte	--|-|-----|----⌫--|--⌫--|
deceskifurentmipriue	-|--|-|-----|-|----|
a kiie ofishonur ebien	|-|--⌫|--|----||---|
enremem bre ntnule rien	-|-----⌫---⌫-|---|---|
qued es autresqueieomesfis	--|-⌫-|-----|--|--|-----|
li nun puissantad po iamis	-|--|-------|-|--⌫|---|
parmemes cest ereisu n	--|----|----⌫|-----⌫|
pernumessamp ledelleun	-----|------⌫-|--|---|
kiqueunc ch ieceennunpoeir	-|--|--|--⌫---|-|--|----|
sipi ertsaforcee sunsaueir	-|--⌫--|-|----||--|-----|
mut letienent en grant uilte	--|-|------|-|----|----|
nislespl usur squi l unt	-||--|--⌫----⌫|--||--|
dun richehumecunte liescrit	|-|----|---|----|-|-----|
suuentef eiz a	------|-⌫--||
eunsun asnesl esgua rda	|-|--|----||-----⌫--|
ensunc urageentendi	-|--|-⌫----|------|
quetu itlaut reai mentle chien	--|--⌫-||---⌫-|--⌫---|-|----|
pur leseignurquil	--|-|------|--||
cher isse it	----⌫----⌫-|
eki od lui	|-|-|--|
sededuieit	-|-------|
m antel le fi st muscie r	-⌫----|-|--⌫-|------⌫|
l esautressura baie r	-⌫-|-----|----⌫----⌫|
estlia snes purpen sez	--|-|-⌫---|------⌫--|
quemeuzdelchie n uaut ase z	--|---|--|----⌫|---|---⌫|
bunteedeg randur	----||-|-⌫-----|
meuzsauere it asunseignur	---|------⌫-||--|------|
lichenez pet iz	-|-----|---⌫-|
emeuzsereitoisesc riz	|---|-----|-|--|-⌫--|
meuz sauereitilsurlisaillir	---|-------|-|--|-|------|
meuzlesauereitd es piez f erir	---|-|-------|-⌫-|---|-⌫---|
pur folsetientquealuine	--|--|-|----|--||--|-|
ne qu eodsau oiz	-|--⌫|-|-|-⌫--|
lichiens s urleseignur	-|-----|-⌫-|-|------|
issiauient	---|-----|
k ep aruniur	-⌫|-⌫-|-|--|
lisire sdeduiant	-|----⌫|-------|
eodlechenetuai uant	|-|-|-----|-|-⌫---|
ne potliasnes	-|--|-|----|
p lussu ffrir	-⌫--|--⌫----|
uersleseignu rpristauen i r	---|-|------⌫|----||---⌫-⌫|
cumenc aarechaner	------⌫||-------|
lef etespoent er	-|-⌫-|-------⌫-|
des p ie z l e	--|-⌫--⌫|-⌫|
fiert surlui sa illi	----|--|--|--⌫---|
si que alatere	-|--||-|---|
pur u npetitne	--|-⌫|----|-|
si lisires ne neustc r ié	-|-|----||-⌫|---|-⌫-⌫--|
haroharoaidezmei	---|---|----|--|
sih ummei saill ent	-|-⌫---||-----⌫--|
chescu n od mac e u o d	------⌫|-|---⌫||-⌫|
l asne fierenttutenuirun	|---|------|--|------|
agrantmart iree a	|----|----⌫--|||
porentre s c ure lurseignur	-----|--⌫-⌫-⌫--|--|------|
de siq uel asne untta ntbatu	--⌫---⌫-||---|--|--⌫-|---|
qu illeleissent tutesten du	-|-|-|-------|--|-----⌫-|
a gr antpeine u ientasa stable	|--⌫--|----|-⌫---||-|-----|
sauerpoumpa rc estefable	----|---|--⌫|-⌫---|----|
lamanerede cestegent	-|-----|-|----|---|
mutle npeot ueer	--||-⌫|---|---|
quetan tse ueulentesha uce r	--|---⌫|-|------|----⌫---⌫|
een tell iu aparagier	|-|--|-⌫-|--------|
que neauientp asalu rcors age	--|-|-----|-⌫-||--⌫|----⌫--|
ensurk e tutalurpa rage	------⌫-⌫--||--|--⌫---|
a meint e nestsi auenu	|----|-⌫|--|-|----|
le unditkise dormeit	--⌫-|--|-|-|------|
en unboscageuilesteit	-|-|------||-|-----|
ent urluiseuunt	---⌫-|--|-|---|
lisurizpetizen i ua nt	-|----|----|-|-⌫--⌫-|
l u necuru tnes engarda	|-⌫-|----⌫|-||-|----|
l eunsil esueilla	-⌫--|-||-------|
lileun fumutcurucez	-|---|-|--|------|
lasurizprist	-|----|----|
tantfuirez	---|-|---|
de li uoleitfereiustise	-|-|-----|---|------|
el eescundistque ennuleguise	--⌫|--------|--|-|---|----|
aes ci ent n elaue itfeit	|--⌫--⌫--|-⌫||---⌫-|---|
elil euns atantle	|-|-⌫---||---|-|
petit do nu r ceoditauereit	----||-⌫--⌫|--|--|------|
de lis illaoci eit	-|-||-|-|---⌫--|
g ueres de tens n edemurra	-⌫----|-|---|-⌫|------|
humme ceoditapp arai lla	----|--|--|---⌫----⌫--|
une fossecaueededenz	--|----|----|-----|
lanuitf uprislile un	-|---|-⌫|---|-|--⌫-|
grantpour ake humn el	----|---||-|--|-⌫||
dedenz l afossebreite c r ie	-----|-⌫|----|----||-⌫-⌫-|
lasurizu iental cri	-|----|-⌫---|-|--|
tut d reit	--|-⌫---|
mesn e sauei t kiceoesteit	--|-⌫|-----⌫|-|--|-----|
quei aelboisauei tesueill é	--|-⌫|-|---|----⌫|-------⌫-|
quante leleuit	----|-⌫-|-|--|
si enginné	-|-------|
d emanda liquila dla quis	-⌫-----|-|-|-|-⌫|-|---|
cilresp untqu	--|----⌫--|-|
ilesteitpris	-|-----|---|
ocissereitagrantdolu r	---|-----||----|----⌫|
suriz n eiezpour	----||---|---|
oreuusrendraileguerdun	--|--|------|-|------|
quea meifeist es	--||--|-----⌫-|
qu antod mespiezu usoimer ché	--⌫--|-|--|---|-⌫-|-|---⌫---|
gr atezlaterede uostre	--⌫---|-|---|-|-----|
ta ntqueafermeruus i	--⌫-|--|------|--||
mun t biensaudrez	---⌫|---|------|
quesipussezcahor sei ssir	--|-|-----|-|---⌫|--⌫---|
ferai od meiuenir	----|-|--|----|
autres suriz	-----|----|
purme i aider	--|--⌫|----|
as cordesqueci suntdetrench er	-|-----|--|-|---|--------⌫-|
easreselski	|-|-----|-|
s u ntten duz	-⌫-⌫-|---⌫--|
ne sere zmie si	-|----⌫|--|-|
lenseig nemen t	|------⌫-----⌫|
fistli leu nsqu	---|-|---⌫-|-|
de l a f osse esteschapez	-|-⌫|-⌫---|--|-------|
ua lu t humilitez	--⌫--⌫|--------|
parc es te	--|-⌫--⌫-|
e ssample nu s	-⌫------|--⌫|
queessam p lepreng entli riche	--|-----⌫-⌫-|-----⌫--|-|----|
les poures untgran t poer	--|-----|--|----⌫|---|
s illu rmesfun t parnunsauer	|-|--⌫|------⌫|--|--|----|
quil eneient bonemerci	-|-|-|----|---|----|
auenir peottut autresi	-----|---|--|------|
quecil li a uer a grant	--|--|-|-⌫---⌫|----|
emeuzlisauer acun s eill er	|---|-|-----⌫|---⌫-⌫----⌫-|
a sunbusuinsiles tsuppri s	|--|-----||-|--⌫|------⌫|
queli meudr esdesesamis	--|-|-----⌫-|-|--|---|
paruei l essample en escrit	--|---⌫|-------|-|-----|
quant hume sema primeslinois	----|---|---|-----|-----|
e uo lst delinle pruaueir	|--⌫--|-|--|-|--|----|
fu d egrantsaueir	-|-⌫|----|-----|
bien seaparceut keparle lin	---|-|-------|-|--|-|--|
sereientoiseus	-------|-----|
mis alurfin	--||--|--|
dell inpothum	--|-⌫-|--|--|
lare iz lacier	-|--⌫-|-----|
dunthum lespot	---|--|--|--|
tuzdamag er	--|-----⌫-|
tuzle s oiseusfist asemble r	--|--⌫|-----|---|-------⌫|
uoleitcunseilduner	-----|------|----|
qu il alassentlelinmanger	-|-|-------|-|--|-----|
nepeustfructi fier	-|----|------⌫---|
lip lusurneluodrentf ere	-|-⌫----|-||------|-⌫--|
alseignurale rent re tre re	-|------|---⌫---|--⌫---⌫-|
lecuns eilluraue itdoné	-|----⌫--|--|---⌫-|----|
quantl arundel l o tescuté	----||------||-⌫|------|
aueient encusee	------|------|
pa renzfist as emblee	--⌫---|---|--⌫-----|
o dles meill u rs	-⌫|--|-----⌫-⌫-|
sisestal ui lein	-||--|-|--⌫---|
meisun suffrisunni	-----|-----|--|-|
lafurentsioisel nur ri	-|-----|-|----|---⌫-|
ele duna a	--|---||
sunli n peis	--|--⌫|---|
iaparnuld eeusnel	-|--|--|-⌫|--|-||
p e rdra meis	-⌫-⌫---|---|
cilfi std el	--|--⌫-|-⌫-|
linenginspl u surs	--|-----|--⌫-⌫---|
duncpristo isel sgranz	---|----|-⌫----⌫|----|
n eu ssentpas delma le u	|--⌫----|--|--|--⌫|-⌫|
sileusse nt	|-|-----⌫-|
dunccunseil cr eu	---|------|--⌫-|
cest e semblancee st asezueire	----⌫|--------|-⌫-|---|----|
quan tfousneueu t lesagecreire	----⌫|---|-|---⌫|-|---|-----|
ki b on c unsei l liseitd une r	-|-⌫-|-⌫-----⌫|-|---|-⌫---⌫|
e desunmalle u oltost e r	|-|--|--|-|-⌫--|---⌫-⌫|
sidamagelen d e ituenir	-|-----||-|-⌫-⌫-|----|
trop tartdelrepentir	---|---|--|-------|
iadis auient	----|-----|
qu ee nunestanc	--⌫|-⌫|-|-----|
enturlesriu ese elfanc	----|--|---⌫-||-|---|
otdereinesgranz	-|-|-----|----|
cu mpainies	--⌫-------|
q uede lungtens isunt nurries	-⌫-|-|---|---||---|------|
ladesdei gn erentarester	-|------⌫--⌫----||-----|
alat ereu odr eient aler	|-|-⌫--|-⌫---⌫----|---|
alurdesti nee c rierent	|--|-----⌫--|-⌫------|
suu ente feizlidem anderent	---⌫---|---|-|---⌫-------|
quereil urdeuste nueier	--|--|-⌫-|----|-⌫-----|
kardautrerienne	--||----|---|-|
euren tm este r	-----⌫|-⌫----⌫|
quantmeintefeizeurentprié	----|-----|---|-----|----|
ladestinee a d enueié	-|-------|-⌫|------|
e nmicel ewe un tru n cd ur	-⌫--|--|--|-|---⌫-⌫|-⌫-|
dun t eles eur e n tgra nt pour	---⌫|---|---⌫-⌫-⌫|---⌫-|---|
presdelt runc	---|--|-⌫---|
euit k epas n eseremut	|--|-⌫|--|-⌫|-|----|
sescumpainesadrapelees	--|--------|-|-------|
si suntensemble	-|---|-------|
prime slesaluent	-----⌫|-|------|
echescune lipramet f ei	|-------|-|-----|-⌫-|
tu tesletienen tp ur seignur	--⌫--|-|------⌫|-⌫-|------|
porten tgran t honur	------⌫|----⌫|----|
me squan t le truncne se remut	--⌫|----⌫|-|----|-|-|----|
cel esuire ntque	---⌫-|----⌫-|--|
e npese s tut	-⌫|--|-⌫-⌫--|
enm ic el ewe iuten	---⌫|-⌫-|--|--|-|
sur limunte rent t u t aun	--|-|-----⌫---|-⌫-⌫||-|
luruileinie surlifirent	--|-------|--|-|-----|
elfunzdel ewelabatirent	-|---|-||--||--------|
alade stin eere uunt	|-|--⌫----⌫-|--⌫---|
reid em andent karnulneunt	--|-⌫--⌫-----|--|--|-|--|
mauueisfuc ilquillu rduna	------|-|-⌫-|-|-|--⌫|---|
la destineel urenueia	-|-------|-⌫-|-----|
une coluu re grandeefort	--|-----⌫-|-----||---|
q uetuz lesdeuore e treita	-⌫-|--|--|-----||----||
tu tes fu rent en gran ttur ment	--⌫--|--⌫---|-|----⌫|---⌫---|
dunc crierentpl usegrement	---|-------|--⌫-|-------|
a ladestine em erci	|-|-------⌫|-⌫---|
quelurostas tc el enem i	--|--|-----⌫|-⌫-|----⌫|
l ad estineelurrespundi	-⌫|-⌫------|--|-------|
nenilnenilieouussuffri	----|----|--|--|-----|
tuzu ozuolentezafeire	--|-⌫-|-------||----|
se i g nur eustes de boneire	--⌫-⌫-⌫--|-----|--⌫------|
uileinement le	----------|-|
hun isistes	---⌫------|
t ellaiez cum le que sistes	-⌫-||---|--|-|---⌫-----|
iss iauient plusurs lefu nt	---⌫|-----|------|-|--⌫-|
de bonseignurqu an t ill	-|--|------|--⌫--⌫|-||
tu z iurs leueu lentde ful er	--⌫|---|-|---⌫---|--⌫---⌫-|
seiuenthonur	------|----|
s tientau kesen	|----|--⌫--|-|
nefruntpur	-|----|--|
luitortned reit	--|---|-|-⌫---|
pernent quis	------|--||
de luraueirmeine	-|--|----|----|
loresr e gretent lu r bonseignur	----|-⌫-⌫------|--⌫|--|------|
a kiilfirentl a desho nur	|-|-|-----|-⌫|-----⌫--|
colums demanderen t seignur	-----|----------⌫|------|
ar eichoisire nt un	|-⌫-|--------⌫-|-|
pur ceoq u emeins mallurfesist	--|--|-⌫-⌫|----|--|--|-----|
autres le sguarantist	-----|--⌫|---------|
ilotl aseig nurie	-|-|-⌫|----⌫----|
e tuzfurent ensa ba illie	|--|-----|-|-|--⌫----|
sulkilaprismast	--|-||--------|
qu ilne o cesist edeuorast	-|-|-|-⌫-----||-------|
pur c eoparla undescol ums	--|-⌫-|----|-|--|---⌫--|
siapela ses	-|----|--|
c um p ainuns	-⌫--⌫-⌫-----|
grantfoliefet il fesimes	----|----|--|-|------|
qu ant l ostur	--⌫--||----|
areichoisimes	|--|--------|
quenus ocistde	--|--|----|-|
fust quesa nz s eignur	---|--|--⌫-|-⌫-----|
fuissumstuttensqueauercestui	-------|--|---|--|---|-----|
einznusgua rdum biende	---|--|---⌫---|---|-|
nedu tumfo rssun aguait	-|--⌫--|--⌫-|--|-----|
p uisquelumesa	-⌫--|--||---||
nus atrait	--|-----|
ailtutfetapertement	|-|--|--|---------|
ceoquil fi s t einz c ele iement	--|-|-|--⌫-⌫|---|-⌫---⌫-----|
cestessample ditasplusurs	---|-------|--|-|------|
quechoi sis sen tles maussei gnurs	--|----⌫---⌫---⌫|--|---|---⌫----|
de grantfolie sentremet	-|----|----||-------|
ki ensubiec tiunse	-|-|------⌫---|-|
a cru elhumeu a f e lun	|---⌫-|---|||-⌫-⌫--|
iln ena ueras ih untenun	-||-|-⌫---|-⌫|-⌫---|--|
deu nlaruncunte ki a la	-|-⌫|----|----|-|-⌫-|
berbizemblerquil es pia	-----|-----|-|-|--⌫--|
dedenzlafaude	-----|-|----|
a unuilei n	|-|-----⌫|
ensembleodluiporta	-------|-|--|----|
uoleit le pai n bail ler	-----|-|---⌫|----⌫--|
quelaf aud e deueitguait er	--|-|-⌫---⌫|-----|-----⌫-|
lic hienslid it	-|-⌫----|-|-⌫-|
amispurquei	---|--|---|
prendraiieo cestpainde tei	-------|--|---|---|-|--|
i eonelt epuisreguerdun e r	-⌫-|-||-⌫|---|---------⌫-⌫|
neatuneosl e	-||--|--|-⌫|
paingua rder	---|---⌫---|
di stieo ne n querrien	--⌫-|--||-⌫|---|---|
man gez l e pein e si	---⌫--|-⌫|---||-|
lichie ns respuntnen uoi ln ient	-|----⌫-|------||-|---⌫|-⌫---|
ieos aitresbiena escient	--|-⌫-|---|---||------|
que mabuche ueusestuper	--|-|----|---|------|
queieonepuissemotsun er	--|--|-|-----|--|---⌫-|
siemblereznoz	-|-------|--|
qua n tl iberkersesten dormiz	---⌫-⌫|-⌫|------|--|--⌫-----|
trahi auereiemunseignur	----|------|--|------|
quem a dn urri	--||-⌫|-⌫---|
desque aces tiu r	-----||---⌫|--⌫|
m alement auereit enp leié	-⌫------|------|---⌫----|
quilmad nu rrieafe ité	-|-||-|--⌫--||---⌫---|
sipar magarde	-|--|-|----|
auereitperdu	------|----|
c eo du ntilmadlung	-⌫-|--⌫-|-||-|---|
etumemes me nharreie s	|-|----||-⌫|-------⌫|
e purtreitremeten d reie s	|--|------|-|---⌫-⌫----⌫|
ne uoilt unpai nis siguainer	-|---|-⌫-|---⌫|--⌫-|------|
edunc c o mencet abaier	|---|-⌫-⌫-----|-----|
par essamp le nus mustr ec i	--|------⌫-|--|-----⌫|-⌫|
