o rfaitespaixpourDie	-⌫|-----|---|---|--|
Carliduxlaimetantd	--|-|--||---|---||
amourcertaine mentQuiladonné	----|--------⌫---|-|-||-----|
moulli erau corpzgent. Et sellee stoitia	------⌫-|-|----|----|-||---|-⌫----|-|
morteet mis eafinement	----|-|---⌫||-------|
Iespoire queliduxou Acquittaineappent	|------|--|-|--|-|----------|-----|
Prend roitnostrefilleen	-----⌫---|-----|----|-|
droitmariement.Sen serientho nnour étr es to usnos treparent.	----|---------||-|------|--⌫-----⌫-|--⌫--⌫--⌫-|---⌫--|------|
uousp rieetrequie r stre s	---|-⌫--|-|------⌫-⌫|---⌫|
aimablement Qu e pou r bien	----------|--⌫|---⌫|---|
desseru irde	-------⌫-|-|
ore t argen tQuele ueuilliéz seruir	-|-⌫|-----⌫|--|-|---------|-----|
tost et ung seullement. Et	---|-|--|----------|-|
es piréz q uensou	--⌫-----|-⌫|--|-|
bosse ullementuouslemettézamort san s nul	--|--⌫-------|---|-|------||---|---⌫|--|
depportem ent. EtAl lexa ndreous syny	---------⌫---|-|--⌫----⌫---|---⌫-|||
esparei gniésn oyentEtles	-------⌫-----|-⌫----|-|--|
troischambo rrie resocchie ́zatou r me ntEtquant	----|------⌫----⌫--|------⌫-||---⌫-⌫--⌫-|-|----|
ly duxseura son	-|--|----|--|
trespassementMaf illeprenderaquilayme loya ulment Car ie	------------|-|-⌫---|-------|-|-|---|----⌫-----|--|-|
fe r ra yboireseiepuistelpie mment	--⌫-⌫--⌫|----|-|-|---|--|---⌫----|
Quamefille ferrasonta l ent	-||-|----|----|--|--⌫-⌫--|
Et l eüssentiuré	-||-------|----|
t out ceulxd u firmamen tEt quantce	-⌫--|----|-⌫|--------⌫|-|----|-|
ieuousayen con u entIeuousfer ray	-|---|-|-|---⌫-⌫--|-|---|---⌫--|
monteren sygranttennement	-----|-|-|----|--------|
ferrayhuissieret	-----|-------|-|
l au ltrechambrel ent Etl	|--⌫---|--------⌫--|-||
senneschalde	---------|-|
toutson cassement. Etsil zo ntresponduNous	---|--|---------|-|---⌫|-⌫-|-------|---|
ferons uotallent.M adame nou sferons uocom mande ment.Encement	-----|-|-------|-⌫|---|---⌫|-----|-|---⌫-----⌫----|-------|
entree ulxaledam een connuent.Mais	----|-⌫--||-|---⌫|-|--------|---|
ondist etcest	-|---|-||--|
mesquietbiensou uent Cel lu i q ui	-------|---|---⌫---|---⌫--⌫|-⌫-|
trop c onuo itt e.Or estletraï son	---|-⌫----⌫---⌫-|-|--|-|-----⌫--|
f ianchieet iureePourl edamequiFlourefu	-⌫------|-|----|---|-⌫|---|--|-----|-|
n ommeeQuit oute	-⌫----|--|-⌫---|
enchaintee s toitc	--------|-⌫-⌫---||
es tuerit e ́prouueeDu plusn obleb aronqui	--⌫|-----⌫-⌫|------|-|---|-⌫---|-⌫---|--|
chain sist espeeEtpa rquile loy deD ieu	-----⌫---|----|-|--⌫|--|-|--|-|-⌫--|
fu plusdes siens montee.	-|---|--|----|------|
Cefule ber Ga rinqu itant ot renommeeEin s	-|-|-|--|--⌫--|--⌫|---|-|-------|---⌫|
M onglenneconcq uistet	-⌫-------|-----⌫---|-|
legranttourquarree Et	-|----|---|------|-|
Ma billetteossy qui sonesp ou seeAin sy	--⌫-------|---|--|--|---⌫--⌫--|---⌫-|
uousoréz sil uou s plaistet	---|----||-|---⌫|-----|-|
a g gr ee.Orcommenchechanc ho n bi en	-⌫-⌫--⌫--|-|--------|-----⌫--⌫|--⌫-|
faitt e et d e uiseeEtmatere	-----⌫|-|-⌫-⌫----|-|-----|
royalbien fai tteetbienrim ee.Ces te	----|---|---⌫--|-|---|---⌫--|---⌫-|
mat er eycyd o itbie nestre escoutte e	---⌫--⌫|--|-⌫-⌫-|---⌫|----|--------⌫|
Su rto uttes lese tp risie et	--⌫|--⌫----|--|-⌫|-⌫----|-|
amee Carlegesteenyssyqu ita ntfuhonnou ree	---|--|-|----|-|---|--⌫|--⌫-|-|------⌫--|
AymerydeNerb onne	-----|-|----⌫---|
quiame soitsauueeQui	--|--|---|-----|--|
sep tfieulx engenrap ar bonne	---⌫|-----|------|-⌫-|----|
destinee Pa r	-------|--⌫|
quilaloyMahonfutoudixauallee	--|-|--|----|-|-----|------|
loy Ihesu Cri sta ssauchieet	--|----|---⌫-|-⌫-------|-|
elleuee.Oruo us	-------|-|--⌫-|
u ouraycompter d e ledame lo u eeQui dAcquitaine	-⌫----|------|-⌫|-|---|--⌫-⌫-|--||---------|
y s syparunema tinee.Ap rézladame	-⌫-⌫-|--|--|--⌫-----|--⌫---|-|---|
la rmeplouree. Maisly	--⌫--|-------|---|-|
duxauoi t fait crierale uolleeQuenul l e	--|----⌫|---|----||-|-----|--|---⌫-⌫|
creaturen alastune	-------||----|--|
a gambeeAue cla	-⌫-----|---⌫|-|
damehorsde la	---|---|-|-|
uillel oee.Al	----|-⌫---|||
grande la cryeeEtlad a m ee nyssy	-----|-|----|-|-|-⌫-⌫-⌫|-⌫|---|
dollente et esplouree.Etb ien	-------|-|---------|-|-⌫--|
di st a lle gont	--⌫-||--|---|
quantfist l a de seureeB onnegensie	----|---|-⌫|--⌫-----|-⌫---|---|-|
en estrain gnecontree.Mai sparcell u i	-|-------⌫--|-------|---⌫|--|----⌫-⌫|
Seigneurqu ifi stchiel	-------|--⌫|--⌫-|----|
r ouss e eNe	-⌫----⌫-⌫|-|
se larmede	-||---|-|
mi n epuist es tre damn eeEtfoyque	-|-⌫|----|--⌫--|----⌫-|-|--|--|
cel luidontie	---⌫--|---|-|
faislaporte e E t quenen	---|-|-----⌫|-⌫|--||-|
soyeiaasant édeliuree	---|-||----⌫-|-------|
Son cque s enue rsled uc quimauoit	|--⌫----⌫|----⌫-|-|-⌫-|--||----|
espo usséS oncquespensayle	----⌫----||------|-----|-|
fai t dequoyiesuyretee. Orlesseray le	---⌫|-|---|-|--|-----|-|-------|-|
lieudon t iestoyedouee E t	---|---⌫||-----|----|-⌫|
mesdeux bea ux	--|---|---⌫-|
enffansd ontiesuymoul ttourblee.Etpo ur	------|-⌫--|-|--|----⌫|--------|-|--⌫-|
pensé zent doulcegenthonnoureeAdce mot	------⌫|--|-----|---|--------|-|-|--|
cheüepausm ee. Et	-----|-----⌫--|-|
lesgensdeleuil le enestoienttoubleeC	--|---|-|-|---⌫-|-|-------|------||
maistelz p i téz nefuregar dé. Maisquant	---|---|-⌫-⌫---|-|-|-----⌫---|---|----|
ladamefu t rest outoultre	-|---|-|-⌫----⌫--|-----|
pa sseeA ses tallons lui fule porte	--⌫---||--|------|--|-|-|----|
refermeePource que o n	-------|---|-|--|-⌫|
adontleco mmunetourble ́.Et quantl a damefud e	----|-|--⌫----|-------⌫-|-|----|-⌫|---|-|-⌫|
pamison leu eeA	------|---⌫-||
u oie se m ist	-⌫--|-|-⌫--|
sis es tacqueminee.Allexandrelidist Ne	-||--⌫|----------|---------|-|---|-|
eff r aee .Auo pere s e	---⌫-⌫---⌫||-|---|-⌫|
Dieuplaistserrézramenee.Etsileauerayla	---|-----|------|-------|-|-|-|-----|-|
choseamon stree Commentleduc uous	----|----⌫----|------|-|--|---|
amaisement go uue rnee Et	|--------|--⌫---⌫---|-|
songna nsquil atropenamee . C es t	------⌫-|-|-||---|-|----⌫||--⌫|
uneeuurep ar	--|----|-⌫-|
quoymaiseuie	---|----|--|
estmen eeA mainte preudefemme.	--|---⌫-||-----|-----|-----|
Orsenuala duch oiseou	-||-|-|-|----⌫---|-|
commenchie rAuecII cham br erresetseont ungcheua llierQui	----------⌫|---|-|----⌫--⌫----|-|-|--|--|-----⌫----|--|
le resc onfortemaisce nya	-|----⌫------|---|-||||
mestierCart oudix	------|--|-⌫----|
rec ommenc hesen	---⌫------⌫-|--|
deuilarenfor chier. Maisen c oresau ra deu l	----||------⌫-----|---|--⌫-⌫---|--⌫-|---⌫|
p lus grantetplus	-⌫--|----|-|---|
ple nierCar	---⌫---|--|
l esdixtraïteurlessieuoien t	-⌫-|--|--------|--|--------⌫|
derriere.Desso ubzles	--------|-----⌫--|--|
cap pessontarmélilo sengier.Deuxiou rneessïeuoientle	---⌫--|---|----|-|--⌫-------|---|---⌫----|---------|-|
cou rtoise	---⌫-----|
moullierDeden s	-------|-----⌫|
une fore sto u deuoitcheuauchier. Deuxlieues e ns	--|----⌫-|-⌫|-----|-----------|---|-----|-⌫-|
bos seallerrentenbusq uierOuleda m e uenoi t	--|-|--------|------⌫---|-|-|--⌫-⌫|-----⌫|
d encombrier	|---------|
Ai nsiq u elle deuoit leura igait a prochier Y ssirent	--⌫--|-⌫|---|-----|---|-⌫----|-⌫-------|-⌫------|
trestous li	-------|-|
lozengier.Allexan dreassa ll irentle ch iefl i uont	---------|-------⌫--|----⌫--⌫----|-|--⌫--|-⌫|---|
trenc hierEtpu i slestrois pucelles	-----⌫---|-|--⌫-⌫|--|----|-------|
mir ent adestourb ier.Laléz les	---⌫--||--------⌫---|-|---|--|
mort sans pointdelata rgier.Lad ucho isea bbattyrerent	---|---|----|-||---⌫-----|-|-⌫----⌫--|-⌫-----------|
so ncourci ntdestrierEtelledeuanteulxsallaaggennouillier .	--⌫|------⌫-|-------|-|---|-----|---||---|--------------⌫|
EtpourDieu beaulx	-|---|---|-----|
seigneu r sieuousueuilsuppl ierQuene	-------⌫-⌫|-|---|----|-----⌫--|--|-|
fa ichié zmal	--⌫------⌫|--|
nenezungencom brierCarto ut e enchaintesuipoi ns	-|-----|-----⌫----|--|--⌫--⌫|--------|--|---⌫-|
le pius no yer. Seuousfaittes morirmo nfruit san s	-|---|--⌫---|-|---|------|----|--⌫|----|---⌫|
bapptissierAu	----------|-|
iourd uIugem entle	---|-⌫|-----⌫--|-|
compar éztr opchi erCar	------⌫--|--⌫-|---⌫-|--|
leS ai nte Escriptur ene	-|-⌫--⌫--|---------⌫|-|
nou sueulttesmoingnier	---⌫|----|-----------|
Que ch estp lus	--|-|--|-⌫--|
grant pitésd un efemme	----|-----||--⌫|----|
ac ou ch ierDun enfanchonm ortnésans lu i ap resign ier	--⌫--⌫--⌫--||-|--------|-⌫--|--|---|--⌫||-⌫------⌫--|
chitépe rdre. S ycommeladuchoise aceulxmerchycrioit	-----|--⌫----|-⌫|----|-|-------||----|-----|-----|
I ly auoit	-⌫||----|
ungqui seruieleauo i tEtcellelui	--|--|-----|-|---⌫-⌫|-|----|--|
au oit fait	--⌫--|---|
tantdebien queil	---|-|---|--|-|
lamoitCar ungfrered e mortres pit éluiauoit.	|----|--|--|----|-⌫|---|---⌫---⌫-|--|-----|
Cheulxe ubtpité en	-----|-⌫--|----|-|
lui etsi leramembroi tDubi en et d e	--|-|-|-|---------⌫|-|--⌫-|-|-⌫|
lonneur quien	|-----|--|-|
la dameestoit.	-|---|------|
C est asse ́z compai gnonsoruoustenéztouscoit	|--|----⌫-|------⌫----|-|---|-----|---|---|
Ca rs eladame	--⌫|-⌫|-|---|
ueultcreantersursafoit	----|-------|--|-|---|
Qu eiammaisa nuilh om meiourse	--⌫|------||---|-⌫--⌫-|---|-|
ne en p aÿzoucong neüte	-|-|-⌫---|-|----⌫-----|
peren ea mere que	---|-⌫||---|--|
Ne reu enra odu cquamerne le pour oit	-|---⌫---||--⌫|-|---|-|-|----⌫--|
Depporteeserroit	--------|------|
qu ic roire me	--⌫|-⌫----|-|
uoulroit.Et ceulxont resp ond uqueestren e p ouroit	--------|-|----|--|----⌫---⌫|--|----|-⌫|-⌫-----|
Cars ele ducle scettoutpendr e	--|-⌫|-|--|-|---|---|-----⌫|
nousfe roitEtquantla dame	---|--⌫---|-|----|-|---|
oÿque morirle	--|--|----|-|
falloitOuall eren tellieuquonle	------|-|---⌫-|-|--|---|-|-|-|
congnoisteroit	-------------|
Nelyneson e nffant adoncqu es s	-|-|-|--|-⌫-----|-------⌫-||
apperchoit Queli iou rest uenus et	---------|--|-|---⌫|--|----|-|
letempzlaentend oitQui ll e	-|----|-|------⌫--|-|-⌫|-⌫|
fault rendre	----|-----|
oupendre. Dollentef u	-|------|-------|-⌫|
le d am e oucue r	-|-⌫--⌫|-|---⌫|
otgrant esm a y.Elledist auxglout tonsOyéz qu e	-|----|---⌫-⌫-|---|---|--|-----⌫---|----|--⌫|
ie dir ayIeuous	-|---⌫-|-|---|
ayenconuentetsi	-|-|------|-|-|
leuous tenrayDele uieme	-|---|-----|-|-|--|-|
sça uuézdemourermen yrayEn	----⌫----|-------||-|---|-|
tellie useDieu	--|---⌫|-|---|
plaistou me	-----|-|-|
congnisteray Crea ture u iuant et monnomchaingeray.Ne iammais	-----------|----⌫---|-⌫----|-|--|--|----------|-|------|
ducie neretournerayNe	--|-|-|----------|-|
iamma isuer smon pereieneren uoyeray	-----⌫-|---⌫|--|---|-|-|---⌫------|
amisqueain c hoisme	---|--|---⌫-⌫---|-|
chel lieray Commeie	----⌫-----|----|-|
fussemo rteia	----|--⌫--|-|
ferrayCarsaich iézqueossy tostquaccouch ieser rayDed ens	-----|--|-----⌫---|--|---|---|-|-------⌫-|---⌫--|---⌫--|
abeÿenonna insm erenderay.Laissie ́z moy	-----|-----⌫--|-⌫|--------|-------⌫-|--|
les ioyaulx	--|------|
et toutlargent	-|---||-----|
qu eiay Car	--⌫||-|--|
largenttoudixdireoÿayQu	|-----|-----|---|--|-|-|
il treuuede s	-|-----|--⌫|
am is . Bonmestier e nay Sai chiéz	--⌫--⌫|--|------|-⌫|-|---⌫-----|
pouruous ie	---|---|-|
pri rayEt p ar	---⌫--|-|-⌫-|
nuytetpariouret tantquei euiura y.	---|-|--|---|-|---|--|-⌫|-----⌫-|
l yuns pouruo us	-⌫|--|---|--⌫-|
l erequerrayA	-⌫|--------||
t ous mescom paignons et si	-⌫--|--|---⌫-------|-|-|
aideray Pourunecourtoisie quauous reco uray	------|---|--|---------|-||---|----⌫---|
PardedensAcquitt aine	--------|-------⌫---|
lenoblepallaisgay. Ain spuisne	-|----|------|---|---⌫|---|-|
uou s haÿnei a neuous hairay.	---⌫|---|-|-⌫|-|---|------|
Mieu lxuau ltason	----⌫-|---⌫-||--|
besoingtrouuerungamiurayQue denier	------|------|--|--|---|--|-----|
courroye.Cedïentcler cet layIelesen ueuil	--------|-|-----|----⌫|-|--|-|--|-|----|
bie ncroire.Tant	---⌫|------|---|
fistcellu iqui	---|-----⌫|--|
uoloitla duchoise	-----|-|-------|
garderQu etous ses compaignons lui	-----|--⌫|---|--|----------|--|
uaulre ntacco rder. Mai s	------⌫-|----⌫----|---⌫|
encoresluiconuient fianchier etiurer A	------|--|-------|--------|-|----||
teni rtrestoutcho u qu illui	----⌫|-------|---⌫|-|-|--|
uaultcom mander. Or etargente t	----|---⌫------|-|-|-----|-⌫|
ioyaul x fo ntla	------⌫|--⌫-|-|
dametrousserEtpuisseuau lrent de	---|-------|-|---|-|---⌫----|-|
lui partiret	--|-----|-|
dese uerer.Et la	----⌫-----|-|-|
damecomme nch ea plour erEtdistBeauSireDieu x	---|-----⌫---⌫||-----⌫-|-|---|---|---|----⌫|
quit out asasau uerOr ne	--|-⌫--|-||---⌫--|-|-|
saige au queliem	--|-|-|---|-||
enpourayaller.	-|-----|-----|
Iammaisne mo se r ayanul luya	------|-||-⌫--⌫-⌫-||---⌫--||
monstrerQ u icongn oi streme puist	-------|-⌫-⌫|-----⌫--⌫---|-|----|
mencorpzraui ser. T antala	--|----|----⌫---|-⌫--|--|
laduchoise	-|-------|
dauesprerSe	|-------|-|
uienta unguillaigepour	----||--|-------|---|
hosteldeman der. Alui	-----|-----⌫---||--|
uie ntunguillai nqui	---⌫-|--|------⌫|--|
ahanner.La dame lui a dit Dieux uous	-------|-|---|--||--|----|---|
ueuillesauuer	------|-----|
Be ausirepouroito n cyen droit ho steller	--⌫-|---|------|-⌫|-|--⌫----|--⌫------|
Ie uouspayera y biende	-|---|------⌫|---|-|
matinau leu e r.-Damedi st liuillain sueu illie ́z	----|-|---⌫-⌫-||---|--⌫-|-|-------⌫|---⌫-----⌫-|
alleursaller Car	------|----|--|
iena ymiehoste l pour uous cydemourer. Ie	-||-⌫|--|-----⌫|---|---|-|--------|-|
suiu ngpo ure s	--|-⌫-|--⌫---⌫|
arriéz malasoupper Say	------|--||------||-|
femme qui ne faitque	----|--|-|---|--|
Amisdistladucessese Dieux	---|---|-|------|-|----|
m epu i st	-⌫|--⌫-⌫-|
sauuerIe suy tout la pl us	-----|-|--|---|-|--⌫-|
poure que o npouroittrouuer.Selonceq uemen corpz	----|--|-⌫|------|-------|----|-|-⌫-|--|----|
deuisea lleurs	-----|-⌫-----|
nepuislogier Maisienen ueuil plusdire	-|---|-----|---|-||-|----|---|---|
nen enpu is	-||-|--⌫-|
recorder .	--------⌫|
uoul lézcroire et lemon co rpz gard e r	----⌫---|-----|-|-|--|--⌫--|----⌫-⌫|
Ie uo usferray tout	-|--⌫-|-----|---|
richee tu ost re host elmembrer Car i ay	----|-⌫|-⌫---⌫-|----⌫-|------|--||-|
oretargentpour ioya ulx	-|-|-----|---|----⌫--|
achetter.uous mesembléz preud onss en	--------|---|-|-------|-----⌫--||-|
faitesa amer.Atantez	-----||----||---|-|
uouslostessequ i leuient	---||------|--⌫|-|----|
s aluerE tlidist Dame	-⌫----|-⌫|-|---|---|
ueuilliézdedense ntrer.De cequ e nous auo ns	---------|-----|-⌫-----|-|-|--⌫|---|---⌫-|
que Dieuxnous ueul t	--|----|---|----⌫|
prester u ousenu oullons	------|-⌫--|-|-⌫------|
enplaistuser.	-|-----|----|
entraladameetonleu ault	----|-|---|-|-|-|-⌫---|
menerEnlachambrelostesse luiua	----|-|-|------||------|--|-|
pre sen ter Largentetlesi oyeau lx la lui allamonstrer	---⌫---⌫--||-----|-|--|-⌫-----⌫-|-|--|---|-------|
lendemainung	|-------|--|
bon lit achetter.	--|--|--------|
Tantsefist l educesse ence s t	---|-|---|-⌫|------|-|--⌫-⌫|
ostel amerQued esoncorpzchesc un	----|---|--|-⌫|--|----|-----⌫-|
sepe noit donno u re r.	-|--⌫---||----⌫-⌫--⌫-|
Etqua ntli	-|---⌫-|-|
maulx lu iprinstquelledeubst	----|--⌫|-----|-|---|-----|
enfanterEt li enfezfunéz qui tant	-------|-|-|----|-|---|--|---|
fist alouer Li ostez pr oprement fu	---||----|-|----|--⌫-------|-|
al e nfantl euerEtli	||-⌫----|-⌫---|-|-|
nommer.CefustleberGarrinqui	------|-|---|-|--|-----|--|
tant f ist aamer	---|-⌫--||---|
Q uepuis sedy a llaMonglenneconqueste r	-⌫-|----⌫---|-⌫--|--------|---------⌫|
Et con cquist M abillette. Ain s y	-|---⌫-----|-⌫---------|---⌫-⌫|
fu nésGarrins qui poisanmentrengna.Seign euren	-|---|------|--|---------|------|-----⌫--|-|
la nuytieque	-|-----|--|
Floure endel iur a	-----|-|---⌫---⌫|
Amienuittoutd roit trois feez uinre nt	|------|---|-⌫---|----|---|-----⌫-|
Morgueleseur Artuse t Ydain qu	-----|-|---|----|-⌫|----|-|
elleamaEt sy	---|--|-|-|
uintGloriande q ue	---|--------|-⌫-|
Iehsustant ama.L enfa nchon	-----|---|---||----⌫----|
ont saisi quil ézlemere ost a. E ll e uit	--|----|--|-⌫--|-|---|---⌫-|-⌫--⌫|--|
f ees d on tmoults esm erui llaMais tan tfuesb ah yeque	-⌫--|-⌫--⌫|----||---⌫----⌫--|---|---⌫|-|---⌫--⌫-|--|
so n naRegar del eur mai ntiengets i	--⌫-⌫-|-----⌫-|-⌫--|---⌫-----|-|-⌫|
leses co utta.Morgue le	--|--⌫--⌫----|-----|-|
seurArtus lenfant des uolleppa.	---|----||-----|---⌫--------|
Entresesmain sl etient	----|--|----⌫|-⌫|----|
m ainteffo is lesaig na. Enfescedist	-⌫--------⌫-|-|----⌫--|----|-|---|
laf eegran shonneurst	-|-⌫-|----⌫|-------||
auenra.N ézes	------|-⌫--|-|
enpourete ́auss y Die uxsaom bra	-|-------⌫|----⌫|---⌫-||---⌫--|
E nlauierge	-⌫|-|-----|
quiIXmoixle portaEt	--|-|---|-|----|-|
puisen pouretéuiergeen deliuraEn un e	---|-|-------|-----|-|------|-|--⌫|
pou reestable	---⌫-|------|
laquelle onl uiprest a. Et	-------|-|-⌫-|-----⌫-|-|
p ar ce lleoccai sionhu milité	-⌫-|--⌫--|-----⌫---|--⌫------|
se ymonstra.	-||-------|
Etpour ce tedonray	-|---|-|-|-----|
ung donq uit e uaulr aCarprement	--|--|-⌫-|-⌫|-----⌫|--|------|
detoyune giesteuenraDont	-|--|--|-----|----|---|
lal oyIhesuCrist assauchieserroit	-|-⌫-|----|----|--------|------|
d eMahonendeclinera. L y plus dou bteulxlinaigesdeton	-⌫|----|-|---------|-⌫|---|---⌫-----|-------|-|--|
ys t er a Quioncques fu	--⌫-⌫--⌫|--|------|-|
ou mo nd eneq ui	-|--⌫--⌫|-|-⌫-|
iammaisserr a. Etauec toutche	------|----⌫-|-|---|---|--|
telho nn eu r tau enraAum ond eplu s preudoume de ton	--|--⌫--⌫--⌫||--⌫---|-|-⌫---⌫|---⌫|--------|-|--|
corpzn auera	----||----|
Carianu ll e	--|-|--⌫--⌫|
boidietoncorpznepenssera	-----|--|----|-|-------|
