quib en com encee	--|-⌫-|---⌫---||
iesucristnostr esalueor	---|----|-----⌫|------|
qui onque sne ireplume nout	--|-----⌫|--⌫--|----||--|
a inzfut otblancsi comliplo ut	-⌫--|-|-⌫-|----|-|--|-|---⌫-|
n enoutonques	-⌫-|--|-----|
ilmeism esq uie stuerite	-|-----⌫-|-⌫-|-⌫-|-----|
d istenl euangiledesei	-⌫--|-||-------|-|--|
li princesdistilu int a mei	-|------|---|-|-⌫--||--|
de cestmont	-|---|---|
mesren n itrou a	--|--|||----⌫|
de toticeo q ueilquida	-|--|---|-⌫-|-|----|
cest adire r e n q uisenfust	|--||---|-⌫-⌫|-⌫-|--|---|
ou p ecche chalenger p eust	-|-⌫----|--------|-⌫---|
sis e nt int mult	-||-⌫|-⌫--|---|
a engigné	|-------|
ca rdeu ne	--⌫|--|-|
fis tonques	---⌫|-----|
l uinefuonques trouee	-⌫-|-|-|-----|-----|
n ule tricherieprouee	-⌫--|--------|-----|
icistu eraiscaladrius	----|-⌫----|--------|
estnostresalueoriesus	--|-----|------|----|
qui uint des a	--|---|-|-⌫|
grant maies te	----|-----⌫-|
p oresgarder lenf ermete	-⌫-|-------||---⌫-----|
des iueus quil outtantamez	--|----|-|-|--|---|---|
eamonestez	|--------|
tan tesfeizpe uze gariz	---⌫--|---|--⌫-||----|
tanthonorez	---|------|
een cher iz	|--⌫----⌫-|
equan t iluitqueilmorrei ent	|----⌫|-|--|--|-|------⌫--|
en lan onfei ouilesteient	-|-|-⌫----|-|-|-------|
uit lormalice	--|--|-----|
elormalquoere lorpe resce	|--|--|----||--|--⌫----|
delorr e gart torna sa f ace	-|--|-⌫-⌫---|----|-|-⌫--|
p ar sabeni gneeseintegrace	-⌫-|-|----⌫--||-----|----|
setornadoncen ue rsno s	-|----|---|--⌫--⌫-|--⌫|
qu iesteiom las e	--⌫|------|--||
esanzen se ignement	|---|--⌫--⌫-------|
eng rantm isereen	-|-⌫---|-⌫----|-|
granttorment	----|------|
nozenfermet ezuis ita	--|--------⌫-|---⌫--|
nozp ecchezensoncorsport a	--|-⌫-----|-|--|---|----⌫|
el seintfust delacroiz ueraie	-|----|---|-|-|----|-----|
dont lidiablesmult	---|-|------|---|
ensifai rel e	---|---⌫-|-⌫|
alsi commoyses aueit	---|--|-----|----|
serpent eldesert	------|-|-----|
alsicoueneit	---|-------|
lefiz dehomeestr eeshalce ́	-|--|-|---|----⌫|-------⌫|
eenla seintecroizdr escé	|-|-|-----|----|--⌫----|
poratrairetozl esboens	--|------|--|-⌫-|----|
quisanz finre mai ndronts oens	--|---|--|--⌫---⌫-----|-⌫---|
de l pellicanuosdeuomdire	--⌫|-------|--|----|---|
oumultaraisone matire	-|---||-----||-----|
norrei zplusbele	|-----⌫|---|---|
damnedeudist del pellican	-------|---|--|-------|
par laboche	--|-|----|
delbondaui	--|--|---|
qu idesa grace ertrepleni	--⌫|-|-|----|--|------|
quil est eitf et	-|-|---⌫--|-⌫-|
a lui s emblable	|--|-⌫-------|
pellicanestoiselmirab le	-------|--|----|-----⌫-|
si habite en laregion	-|-----|-|-|-----|
dun fluiue quin il usan on	|-|-----|--|-⌫--⌫-||-⌫-|
elriuaged elnil h abit e	-|-----|-⌫-|--|-⌫----⌫|
ece ome ditlestoire es crite	|--⌫|-|--||------|--⌫----|
qu ileni ade	-|-|-|||-|
de us maneres	--⌫-|------|
cilquihabi tentesriueres	--|--|----⌫---|-|------|
nemanguent s epeisso nnon	-|-------|-⌫|------⌫|--|
cilq ui nem anguentpeisson	--|-⌫-|-|-⌫------|------|
habitent enla dese rtine	-------|-|-|----⌫----|
ene mang uent	|-|----⌫---|
fors ue rmi ne	---|--⌫---⌫-|
d el pe llican estgrant mer ueil le	-⌫-|--⌫-----|--|----|---⌫----⌫-|
caro nques nule mere o eille	--|-⌫----|---|---|-⌫----|
n amatantsonpet itaig nel	|--|---|--|---⌫-|---⌫--|
comilfetson p eti t oi s el	--|-|--|--|-⌫---⌫|--⌫-⌫-|
quant ses pulcinezae sc los	----|--|-------||-⌫--⌫--|
ene lsnorrir ec hareo s	-|-⌫-|-----||-⌫--||-⌫|
met totesapeinee	--|---|-|----||
mes mult fetmale n or ret ure	--|---|--|---|-⌫--⌫---⌫--|
car quan tilsontcre uz	--|----⌫|-|---|---⌫-|
ealquess agesepuissanz	|-----|-⌫---||-------|
sib ecchentlorper esel	-|-⌫------|--|---⌫-|-|
etantlors ont fe lse	|---|--|-⌫--|--⌫-||
que lorperesde	--|--|----|-|
fin co roz	--|--⌫--|
les occientetuen ttoz	--|------||----⌫|--|
al t erzioruent lipere a	-|-⌫--|--|---|-|---||
commoetpitez e	------|----||
tantlesa ime d a m or	---|--|-⌫--||-⌫-⌫-|
reuentsiles	-----|-|--|
o dsonbecpercesoncoste	-⌫|--|--|----|--|----|
tant q uile n	---|-⌫|-|-⌫|
a dels ancosté	|--|-⌫--|----|
sancquideluiistf ors	---|--|-|--|--|-⌫--|
l orsrema ine la	-⌫--|----⌫--|-|
d e se s pulcins nendote zmie	-⌫|--⌫|------||-|----⌫|--|
een t els ens	|-|-⌫-|-⌫--|
le s uiu ifie	--⌫|---⌫---|
seignors oroez	-------|-|--|
i aentendri ez uos un cont e	-⌫|--------⌫-|--|-|----⌫|
dar thur oudecharl eoud	|--⌫---|-|-|-----⌫|-||
ciaa bei ure e a manger	-|||---⌫--|||-----|
alalmedechescu nfeeil	||---|-|------⌫|----|
quiuoe l taueirdedeu	--|---⌫-⌫|----|-|--|
leuerai pellican	-|----|-------|
quipor nos traist	--|--|--|-----|
peineeahan	----||---|
oezquildist enp r ophecie	--|-|-|---|-|-⌫-⌫------|
parlebonprophete	--|-|--|-------|
ienge ndrai fetdamnedeuf iz	|----⌫----|--|-------|-⌫-|
qua n t lesoi creuze norriz	---⌫-⌫|--|-|----||-----|
ilme despistrent	-|-|----------|
emescomandeme nzdesfirent	|--|---------⌫-|--------|
cer t esseignorsc estuerite	---⌫-⌫-|-------||--|-----|
cestla uer aie	|--|-|---⌫--|
nos somessesfiz e pi gons	--|----|--|--||--⌫---|
quicomemaluaisefelons	--|---|------||-----|
no streseig nor elui sferi mes	--⌫---|----⌫--|-|--⌫|----⌫--|
par deuantlui serui mes	--|-----|--|-----⌫--|
asacreaturemeint	|-|-------|----|
lui com creator	--|--|------|
plenerement lereniames	----------|-|-------|
q uant perresefustzaor ame s	-⌫---|-----||----|---⌫---⌫|
po rceoanos	--⌫|--||--|
se coro ca	-|----⌫-|
sinos guerpienoschaca	-|--|-----||--|----|
en lamain a l cruelfelon	-|-|---|-⌫|----|----|
por n ozpecchez mortesteiom	--|-⌫-|------|---|------|
quantalperepiteenprist	----|-|---|---|-|----|
nostre salueoriesu crist	-----|------|---|----|
son cher fizenueiaen terre	--|---|--|-----|-|----|
porfa ire pes denostreguerre	--|--⌫--|--|-|-----|-----|
deu deuinthompor	--|-----|--|--|
nozpecchez	--|------|
circumcisfu ebaptizez	--------|-||-------|
e p o rn ost r e sa luation	|-⌫-⌫|-⌫---⌫-⌫|--⌫------|
soffritormen t ep assi on	-----|------⌫||-⌫----⌫-|
prendre se	------|-|
lessae t enir	----||-⌫---|
lierbendereescopir	---|-----||------|
ee n lasei nte cr oizpener	|-⌫|-|---⌫--|--⌫--|----|
e od esp ines co roner	|-|---⌫---|--⌫----|
eclofiche r enpez emeins	|--------⌫|-|--||----|
lisalu eresdep iteple ins	-|----⌫---|-|-⌫--|---⌫--|
sele ssa ferire l coste	-|--⌫--|----|-⌫|----|
sisauomben paruerite	-|----|--|--|-----|
e wes e nissi	-⌫-||-⌫|---|
parcel s an c somes	--|--|-⌫--⌫|----|
c el seints an cnosrecha ta uie	-⌫-|----|-⌫--⌫|--|-----⌫-|--|
enosostade la b aillie	|--|---|-|-|-⌫-----|
al felonq uianonsathan	-|----|-⌫-||--|-----|
d euquiest uerai pellican	-⌫-|--|--|----|-------|
no sraienst encestemanere	--⌫|------|-|----|-----|
c omelagen t q u	-⌫--|-|---⌫|-⌫|
multc here	---|-⌫---|
ordirr omdelniticorace	-|----⌫-|--|---------|
un oiseld emaluaisee st race	-|----|-⌫|-------|-⌫--⌫---|
fres eieanon	----⌫--||--|
ci st oisels est orz epuanz	--⌫-|-----|--|--||----|
dei or n e	-|-⌫-|-⌫|
desoleilnacure	-|-----|||---|
toziors est tele	--|---|--|---|
n uit etenebresa imead es	-⌫--||-------|-⌫--|--⌫-|
s emblant quilestmalues	-⌫------|-|-|--|-----|
en ces t oiselsontfiguré	-|---⌫|----|---|------|
li fals iueumaleur é	-|---|---|------⌫-|
quin eu oldrent deuesgarder	--|-⌫|-⌫------|--|-------|
quant il uin tcapor	----|-|---⌫|-|--|
no s saluer	--⌫|-----|
ded euqu i	-|-⌫-|--⌫|
neuoldren tcr eirel econ seil	-|-------⌫|--⌫---|-⌫|---⌫---|
ainzlerefuserentpartot	---|-|---------|-----|
ec ontrel uifuren tdebot	|-⌫----|-⌫-|-----⌫|-|--|
etotpl enerementdiseient	|--|--⌫--------|-------|
quenulreif orsce sarn aueient	--|--|--|-⌫--|--⌫--||------|
d oncsemustradeus	-⌫--|-|-----|---|
q u i esteio mlasedol enz	-⌫-⌫|------⌫|--||---⌫--|
entenebroseregion	-|--------|-----|
enlombr edemorts eeiom	-||----⌫|-|---|-⌫----|
qu antla lum ere nos nasqui	--⌫--|-|---⌫--|--|-----|
quidelaseinteui rgneeis si	--|-|-|-----|--⌫---|---⌫-|
idoncfum es enluminez	----|---⌫-|--------|
donc fulitermesafine z	---|-|-|-----|-----⌫|
de la peined e l adolor	-|-|----|-⌫|-⌫|----|
qui n osaueittenumeint	--|-⌫-|----|---|----|
deu a ntceo esteiom	---⌫-⌫-|--|------|
nost ristre	--|-⌫-----|
denosdist deu parle psalmistre	-|--|---|--|--|-|---------|
daui quita ntfubende	---|--|--⌫-|-|--|-|
lipoeplesqu e	-|------|--⌫|
i oneconui	-⌫|-|----|
fe tnostresire smeserui	--⌫|-----|----⌫|-|----|
eenoia ncemo bei	|-|---⌫--||-⌫--|
ef iz es trangesmementirent	|-⌫-|--⌫------|-|--------|
eclochere nt eenueillirent	|--------⌫-||-----------|
po rceo uei llirent eclocher ent	--⌫|--|---⌫------||-------⌫--|
que mescomandemenz lesserent	--|--|----------|--------|
liiueuso nte nobscurte	-|---|--⌫-|-⌫|-------|
neueientp aslauerite	-|-----|-⌫-|-|-----|
lestenebre s ameren tpl us	--|-------⌫|------⌫|--⌫-|
q uele ueraisoleillasus	-⌫-|-|----|-----|-|--|
estreisdes oisels	--|---|--|-----|
quant uelz estsi	----|---|--|-|
deuentnouels	-----|-----|
par mul tmerueillo se	--|---⌫|---------⌫-|
une f onta in ecl ere epure	--|-⌫----⌫--⌫|--⌫--||---|
ouleweso rtuiue eboilla nt	-||--|--⌫-|---||------⌫-|
quantlisoleizestcler	----|-|-----|--|---|
cercheli aig l esqua ntest uelz	-----|-|---⌫-⌫-|---⌫-|--|---|
e mu lt a obscu rci zs es elz	|--⌫-||-----⌫---⌫|-⌫-|--|
e chescuneele greueeuei ne	|-------|--|----||---⌫-|
en lairdesuscelefontaine	-||--|----|---|-------|
comencemul t halt amonte r	------|---⌫|---||-----⌫|
contrelesole il raiantcler	-----|-|----⌫-|-----|---|
quantla su s ue nt	----|-|--⌫|--⌫-|
enlachalor	-|-|-----|
se selzafiche enla luor	--⌫|--|-----|-|-|---|
d el sole i le tantiesgarde	-⌫-|----⌫-⌫||---||------|
qu auis l ies tquetrestotarde	-|---|-⌫|--⌫|--|------|---|
iloecen cele ardores prent	----|-|---|----|--⌫----|
seselzsesele sensement	--|--|--|---⌫|-------|
puis de scent iu s en la	---|--⌫----|--⌫|-|-|
eweestplus uiueesai ne	--|--|---|---||---⌫-|
si seplongee bai gn etr eis	-|-|-----||---⌫--⌫|--⌫--|
tan t queil estbenle	---⌫|--|-|--|--|-|
totfreise totrenouel ez	--|----||--|-------⌫-|
ed esaueill esce sa nez	|-⌫|-|-----⌫---|--⌫--|
t antalai gle	-⌫--|||--⌫--|
s ilertsiha ltcomu ne	|-|--|-|--⌫-|--|-⌫-|
lad esusencelairroant	-|-⌫---|-|--|--|----|
siu eitil lepe isson	-|-⌫--|-|-|--⌫----|
soz luiel fluiue	--|--|-|-----|
ou en lamer	-|-|-|--|
doncdescent p or luiencombrer	---|------|-⌫-|--|--------|
a lui seio int etant	|--|-|--⌫--||---|
queparforce	--|--|----|
le traitariue	-|----||---|
une altremanereae str ange	--|----|-----||-⌫---⌫---|
f er eitchang e	-⌫--⌫--|-----⌫|
eensonni altresmeist	|-|--|-|-----|----|
lse u stne	|--⌫-⌫-|-|
quantl i pigonserreie ntgrant	----|-⌫|----|-------⌫-|----|
ain ceisqui lfussentbenuolant	---⌫---|-|-⌫|------|--|-----|
le sportere it	--⌫|-------⌫-|
raicontrelescl air	--|-----||----⌫--|
q uantmelzraiereit	-⌫---|---|-------|
cel ui qu ibenesgarder eit	---⌫-|--⌫|--|--------⌫--|
le raidel soleil sanzciller	-|--|--|-----|---|-----|
amereit ile tendreit	------|-||-------|
e celuiqu inaureit	|----|--⌫||-----|
d e sgardercontre l a	|-⌫------|-----|-⌫|
comauoltre	--|------|
leguer pireit	-|----⌫-----|
ia puis ne s enentre m ettreit	-|---|-||-|-----⌫-⌫------|
l aiglequi si serenouele	|----|--|-|-|-------|
nos doneessample	--|---|-------|
b one e bele	-⌫--||---|
caral tresi deureit ourer	--|--⌫----|------|----|
homequiu o eltrenouele r	---|--|-⌫-⌫--|--------⌫|
sonu eluestem entseitpae n	--|-⌫-|------⌫--|---|---⌫|
iueuou cr e stien	---|-|--⌫-⌫----|
quantli oilde	----|-|--|-|
sonquoerserreient	--|----|--------|
siaombréqu	-|------|-|
ilne porreient	-|-|--------|
ueeirlasa l uete certeine	----|-|--⌫-⌫---|-------|
donc deureitquerrela fontei n e	---|------|-----|-|------⌫-⌫|
es peritabl eeuiue	--⌫--------⌫||---|
cestle baptesmequi	|--|-|-------|--|
tres tozcelsqueilseintifie	----⌫--|---|--|-|--------|
de ceotrai ieo	-|--|---|--|
a gara ntie	|----⌫---|
le uangileou	|-⌫------|-|
ie otruisescrit	--⌫|----|-----|
q ueci lqui d e weedesperit	-⌫-|--⌫|--||-⌫-|||------|
n eserre i tsi seintifiez	-⌫|-----⌫-⌫|-|---------|
qu i l ne fustrenez epurgez	-|-⌫|-|---|----||-----|
ne porre itennu le guiseestre	-|-----⌫-|-|--⌫-|----|----|
qui lent raste lregne	-|-⌫|---⌫---|-⌫|----|
c elest re	-⌫-----⌫-|
quiencestefontaineclere	--|-|----|-------|----|
estbap tizé elnondel	--|---⌫----|-|--|--|
delfiz ed el seint	--|--||-⌫-|----|
seurementsanzcontredit	--------|---|--------|
porr aueeireesgarder	----⌫|----||-------|
leueir soleilqu iraie	-|---|-----|--⌫|---|
ces tiesucrist l i do lz lipis	|--⌫|---|----|-⌫|--⌫-|-|--|
luia sonesgar tmis	--||--|-----⌫|--|
enle sg arderse	-||-⌫--⌫----|-|
al tre sic omefetlo isele	--⌫---⌫-|-⌫--|--||-⌫----|
enlalt re so leilqu e	-||---⌫-|--⌫---|--⌫|
quito zle selemenz assist	--|--⌫|--⌫|------|-----|
e qui c reatresto t	|--|-⌫--|------⌫|
e tot esle schosesqui	|---⌫-|--⌫|-----|--|
qui a nonf enis	--||--|-⌫---|
habite enyndeoues t	-----|-|---|-|--⌫|
aillorsn el soeltlem pastro u er	------|-⌫||----|--|--|---⌫-⌫-|
cistoisel s est tozdis sanz per	---|-----⌫|--|--|--|---|--|
car ia nen ertforsun ense mble	--|-|--|--|---|-|----⌫---|
nenulalt re nelire sem ble	-|--|---⌫-|-|-|--⌫---⌫--|
detelestatdetelmanere	-|--|----|-|--|-----|
detelsembla ntedete lche r e	-|--|------⌫-||-|--⌫|---⌫-⌫|
quantcin ccenzanzsontac ompli	----|---⌫|---|--|---|--⌫----|
doncli semblequilestueilli	---|-|-----|-|-|--|-----|
sisechargedespices cheres	-|-|-----||------|-----|
b onese de plusor s manere s	-⌫---||-|------⌫|------⌫|
de ladesertinese nuole	-|-|--------||-⌫|---|
citedel eopole	---|-|-⌫-----|
a unprestr ed ela cite	|-|------⌫|-⌫|-|---|
estacointe par	--|------|--|
para lcu ns igne oualtreme nt	--|-⌫---⌫|-⌫---|-|-------⌫-|
decestoisellauene ment	-|---|----||-----⌫---|
equantilset quildeituenir	|----|-|--|-|-|---|----|
si fetreimsd esarme nt	-|--|----|-⌫|-----⌫-|
e li ere nun	|--⌫-|-⌫|-|
esorun bel alter le s met	|--|-|--|----|--⌫|--|
oes e stadenti	--|-⌫-|-----|
e l ioisel ssi comie odi	|-⌫|-----⌫|-|--|--⌫|-|
ch argezdespi c esu ental leu	--⌫----||----⌫-⌫-|-⌫--|-|--|
becalumelefeu	--|----|-|--|
ca rtantfertsorl a perredure	--⌫|---|---|--|-⌫|----|---|
quefeus ensal tparauent ure	--|---|-|---⌫|--|-----⌫--|
qui m ulttostauiue	--|-⌫--|---|----|
e espren t	|------⌫|
esespiceseelsarment	-|------||-|------|
quantlifeusest cle rea r dent	----|-|---|--|---⌫||-⌫-⌫---|
sisemet enz	-|-|--|--|
demeintenant	-----------|
esarttoten pu ldree e n cendre	||--|--|-|--⌫---||-⌫|-----|
donc uent li pre s tresporaprendre	---|---|-|---⌫-⌫---|--|-------|
comentlab osoigne estalee	-----|-|-⌫------|--|---|
tro eue amo ncelee	---⌫--|---⌫-----|
do n cl ad epart	--⌫-⌫|-⌫|-⌫----|
t ot suauet	-⌫-|-----|
de denz troeue un u er met	--⌫---|-----|-|-⌫--⌫--|
quidone asse z meil lorodor	--|---|----⌫|----⌫--|---|
q ue rosenenulealtre flor	-⌫-|---|-|---|----|---|
liprest resl endemainreuent	-|-----⌫--||-------|-----|
por ue eir	--|--⌫--|
c oment se content	-⌫----|-|------|
q uiestiafiguré	-⌫-|--|-|------|
al ter z ior	-|---⌫|--|
estoise l fo r me ́	--|----⌫|--⌫-⌫--⌫|
s ia quanquil	-⌫||-----|-|
i deitaueir	|---|----|
alpre stre s	-|---⌫---||
enc line por ueir	---⌫---|--|---|
puis sentorne	---||-|----|
le z e ioianz	--⌫||-----|
n ereuentdeua n t cinccenzanz	-⌫|-----|----⌫-⌫|---|---|--|
en c estoisel	-|-⌫--|----|
deuezen tendre	----|--⌫-----|
nos treseign orquiuoltdescendre	---⌫--|-----⌫-|--|---|--------|
ca ius pornostr esaluement	-|--|--|-----⌫|--------|
debonesodorsf inem ent	-|----|----|-⌫----⌫--|
f ucharg ezquanten terreuint	-⌫|-----⌫-|----|-|----|---|
porles pr ison s queenfertint	--|--|--⌫----⌫|--|----|---|
delacro izsacree	-|-|---⌫-|-----|
quitant estdolcee s auoree	--|---|--|----||-⌫-----|
fu sacref iezcistoise ls	-|------⌫--|---|----⌫-|
qui alterzior resors t	--|-|---|--|------⌫|
mesplusors n euoelentpa s	--|------|-⌫|------|--⌫|
qu ela choseseit issiueire	--⌫|-|----|---|---|----|
sion t grantto rt ce omest	-|--⌫|----|--⌫-|--⌫||--|
qu antl oiselqui ano nfenis	--⌫--||----|--||--⌫|----|
sedemet esemortefie	-|----||-|-------|
ea l terzior reprentsa uie	|-⌫|---|--|------|-|--|
m u ltesta	-⌫-⌫-|--||
creire pluslege r	-----|---|----⌫|
ded euquitotaaiug er	-|-⌫-|--|--|||---⌫-|
ceo quei l dist	--|--|-⌫|---|
enson sermon	-|--|-----|
ourenn asiue rite non	-|--|||-|--⌫---|--|
ceodistcil	--|---|--|
qui e stuerite	--|-⌫-|-----|
ieoaidist il la	--|-|---|-|-|
malme e derepr endre	|---||-|----⌫----|
ueirdistil	---|---|-|
ueirnosfist en tendre	---|--|---|--⌫-----|
si ldeuomoireretr aire	-||----|--||----⌫---|
ieone uinc pasdistil	--|-|---|--|---|-|
laleiainzla uinca co mplir	-|--|---|-|---|-⌫--⌫----|
ea sso mmereaem plir	|-⌫---⌫---||---⌫---|
issie r t lesage	---|-⌫-⌫|-|---|
escriu ein	------⌫--|
el regnedel	-|----|--|
cel soue rein	--|----⌫---|
qu id esontre sor met	--⌫|-⌫|--|---⌫--|--|
ecom e sauan t	|---⌫|-----⌫|
lesuelzchoseseles	--|---|-----||--|
quiensembl esontbo nes	--|-------⌫|---|--⌫--|
lahu pee stun	-|--⌫-|-⌫-|-|
oiseluilein	----|-----|
es tpas cortei sne sein	--⌫|--|------⌫|-|---|
fetde taiedordure	--|-|--|||-----|
