ocum es ri ches	|--|-|--⌫---|
uns esp i riz ensemble	--|---⌫-⌫--|-------|
mais enqueluasselpo ron smettreceste	---|-|---|-----|--⌫---⌫|-----|----|
basmecestcestegr ace	----||--|----|--⌫--|
fiance sicumnosdisimesla	-----|-|--|--|------|-|
desouree stuassesaue sla	------|-⌫-|-----||--⌫|-|
misericordee t li pac ien ce	----------|-⌫|-|---⌫---⌫-|
a uesl aiu stisequel	|--|-⌫|--⌫----|---|
uasselpo ronsno sia iaministrer	-----|--⌫---|--⌫|--⌫|---------|
al agrace qu icouenaules	|-⌫|----|--⌫|---------|
recoll ircis t	------⌫-|---⌫|
es ttrespurs et p orceu	--⌫|---|---|-|-⌫-|--|
li couienttre s fermuasselet	-|------|---⌫|---|-----|-|
choseest si pureetsi	----|--|-|---|-|-|
fermecum est lih umilitezdel	----|--|--|-|-⌫-------|--|
cuerporceudo net	---|--|--|--⌫--|
oma d roit	-||-⌫---|
lag raceashum lesetp or ceu	-|-⌫---|-|---⌫--|-|-⌫-|--|
rewar detadr oitd eusl umilitet	-----⌫--||--⌫--|-⌫--||-------|
desonancel e etde mand e st u	-|--|-----⌫|-|--⌫----⌫-⌫|-⌫|
porqueldessertecertesporceuke	--|---|-------|-----|--|--|-|
l umle cuer nenau oitmie sporpris	|---|---||-|--⌫--|---⌫|------|
lihum ainsmerittes	-|---⌫---|-------|
p er cu ili	-⌫-|--⌫|-|
plantezde la d iuine grace entras tmoens	------|-|-|-⌫----|----|------⌫|----|
deliurementenluimaisa	----------|-|--|---||
c est ehumiliteitnoscouient monter	-⌫---⌫|---------|--|------|-----|
grei z si nos	----⌫|-|--|
uo lonsuen irtot aprimie rs	--⌫---|---⌫-|--||------⌫-|
enscrombentlocuerseipropreuicea	----------|-|---|--|-----|---||
c euquilla gra ce	-⌫-|-|-|-|---⌫-|
recollir quant lipechiersli	-------|----|-|-------|-|
deletet ancornenil	------|----|--|-|
nen atchaingiétsa	--|-|---------|-|
chait iue costumeper mellorproposement et	-----⌫--|------|--|-----|----------|-|
quantiliai propose t q u il	----|-|--|-------⌫|-⌫|-|
amenderat sa uieetqui l	--------|-|--|-|-|-⌫|
ner etorneratasamaluestiet	-|-⌫--------||-|---------|
tot euoiesne la ien tmiesent re r	---⌫-----|-|--⌫---⌫|---|---⌫--⌫|
la grace lipechiettrespasseit	-|----|-|------|----------|
tant c umilen luimainen t	---|-⌫-|-|-|--|------⌫|
i asoi tc euquilse mbl e nt iai	-⌫|---⌫|-⌫-|-|-|--⌫---⌫-⌫-|--|
estreenunemanieretalliéten	----|-|--|------|-------|-|
lui mainentlipechietdeci	--|------|-|------|-|-|
atant quilpercon fessi onsunt	----|-|-|--|---⌫-----⌫-|---|
etquil osteit suntper	-|-|-|-----|---|--|
dignesfruzdepenitence m aiswai	-----|---|-|--------|-⌫--|--|
atisituap res ceu	|-|-|-|--⌫--|--|
nongreizsa chanz	--|----|--⌫----|
ualta ncorkeuice	---|-⌫---|-|---|
carquelscho seest siaou ertement	--|----|---⌫-|--|-|---⌫-------|
contraire ala gracea t euant	--------||-|----|-⌫-⌫----|
alons luniorapres	----||-|--|----|
de laferuour denostreconuersacio n	-|-|------|-|-----|-----------⌫|
petit apet itrefroidet	----||---⌫-|--------|
li c haritez et habun det	-|-⌫------|-|-----⌫--|
lifele nie	-|----⌫--|
ensikenosen char	---|-|--|-|---|
perf enonsnos	----⌫----|--|
quienesperit auien s	--|-|------|-----⌫|
encomme ncie ́tdeceu	-------⌫----⌫-|-|--|
nosia ineconess onsmies bien	--|--⌫|-|------⌫--|---|---|
celes cho ses ke departdeu	----|---⌫--|-|-|---|--|
nossuntdoneiestut sens deuocion	--|---|------|--|---|-------|
et no ngreitsac hanznosdew erpons	-|--⌫|----|---⌫---|--|---⌫-----|
lacrimorn o str esignoretsi	-|-----|-⌫-⌫---⌫|-----|-|-|
entr elauns l areli g iousecusenceon plain	----⌫-----|-⌫|----⌫-⌫----|--------|----|
deian gler ies	-|---⌫----⌫--|
curio u seteitpla ind e detractionde	-----⌫-⌫-----|---⌫-|-⌫|---------|-|
m u r mureetd oyseuiefuantl ofax	-⌫-⌫-⌫---|-||------|----|-⌫|--|
delalaboretdediscipline	-|-|----|-|-|---------|
to t escelesfie ieskeno s lo	--⌫-⌫-|----|---⌫--|-|--⌫|-|
fairesens not ede cainos	----|---|---⌫|-|--|--|
maruillons si	---------|-|
ligr a ceno sest	-|--⌫-⌫-|--⌫|--|
d effaliecui n os	-⌫------|--|-⌫-|
en tant es	-|----⌫-|
b ottonsensusde	-⌫-----|----|-|
nosm aissi	--|-⌫--|-|
ancun s est encui	-----⌫|--|-|--|
h abitet quideuo zsoit	-⌫-----|--|----⌫|---|
cuse ncenoset feruenz	----⌫-----|-|------|
espiri tdogne tsewardequil	------⌫|-----⌫|-|----|-|-|
s esmeritesn	-⌫-|------||
ena t fi ance nen	-|-⌫|--⌫---|--|
ens esoyurescar ent elc uer nen	-|-⌫-|-----|--|-|-⌫-|-⌫--|--|
entret a ssimies li gra ce	-----|-⌫--|---|-|---⌫-|
p lains esttels cuers	-⌫----|--|---|----|
porce u ne n atroueuet iai	--|--⌫|--⌫|--------|--|
nenauoizuos	--|----|--|
do ns oit lere	--⌫-|--|---|
phariseu qu ieltempl eorat	-------|--⌫|-|-----⌫|---|
ilnenestoit	-|--|-----|
rob er esnenon	---⌫--⌫-|-|--|
i ustesnenil	-⌫----|--|-|
nefaisiuet	-|-------|
adu lte re e tcu diezuosqu	---⌫---⌫-|-⌫|--⌫---|--|-|
il fustsens	-|---|---|
frutdepenitence	---|-|--------|
ilieu n euetd ous fie ies	-|---⌫-⌫---|-⌫--|---⌫--|
enlasemaine	-|-|------|
i ld one uetdemedetotceu	-⌫|-⌫---⌫--|---|-|--|--|
qu il teniuet ma isceu	-|-|------|--⌫-|--|
auenturequil nongrei z	-------|-|-|--|----⌫|
sachanzfustoizc e uqu	------|---|--|-⌫-⌫|-|
il mism esd ist siredist il	-|----⌫-|-⌫--|---|---|-|
iu t erent	-|-⌫|---|
graces mais	-----|---|
nenestoitmie s ueuz il nenestoit	--|-----|---⌫|---|-|--|-----|
mi esani an tizcaril	--⌫-|---⌫--⌫--|--|-|
esleuez etnem ieshuml es	------|-|-|-⌫--|----⌫-|
iln esepena t	-|-⌫|-|----⌫|
miesdesauoir	---|-|-----|
luidefalliuetanza cumb latso m	--|---------|--|-⌫----⌫--|--⌫|
me ritte etceu nenesto it	--⌫----|-|--|--|----⌫-|
fers emplemenznenaturasan z estoit	---|--------|-|------|--⌫|-----|
enf leure e tporc eu reparat ueuz	---⌫----|-⌫|--|-⌫-|------|---|
cilquifistsemblant qui l	--|--|---|-------|-|-⌫|
p lains fustmais	-⌫----|---|---|
li publicains	-|---------|
quisepenat de	--|-|----|-|
luia a n ni an tir	--||-⌫-⌫--⌫--⌫--|
r aportat plusgrantpla nteitdegrace	-⌫------|---|----|---⌫----|-|----|
perceuquil se	--|--|-|-|-|
representat	----------|
si cumuasselue ut detot	-|--|-----|--⌫-|-|--|
orgoiletnosassi chi erfr e re	-----|-|--|---|---⌫-|--⌫-⌫-|
sinos uo lonsa trouer	-|--|--⌫---|-⌫-----|
sin osastinonsensidesor	-|-⌫-|-------|---|--|-|
m aisde s ui ceskenosassi	-⌫--|--⌫|--⌫--|-|--|---|
dignement nos repen tie nsd e	--------|--|-----⌫---⌫-|-⌫|
ceospech iez	---|----⌫--|
faitauonsetsi	---|----|-|-|
so iensass icusencenoskenos	--⌫---|---⌫|---------|-|--|
nospoie nsre prese nteradeue n	--|----⌫-|--⌫-----⌫---||--|-⌫|
deuotioneten uraiehumili teittels	-------|-|-|----|------⌫---|---|
cuersresw ardet uolenti ersnostr esires	----|----⌫----|-------⌫--|-----⌫|----|
decel pi reswart do nt	-|--|-|------|--⌫-|
lisageshom	-|----|--|
di stgrace	--⌫-|----|
mise r icordeestensessainz	----⌫-⌫-----|--|-|--|----|
et resw arz	-|----⌫--|
e nseseslez	-⌫|--|----|
porce u mis m esr apel et	--|--⌫|---⌫-⌫-|-⌫----⌫-|
ilqua t re	-|---⌫-⌫-|
fie ieslainrmecui ilu uelt	---⌫--||-----|--|-|-⌫---|
r eswa rderquantild istreto rneretorne ench aiteueie	-⌫----⌫---|----|-|-⌫--|----⌫--|------|----⌫-------|
retorn e retorne por	------⌫|------|--|
eswar diensc est	-----⌫----||--|
qu illene remagnet nen	-|---|-|-------|--|
costumedepechiernenen la conscie nce	------|-|------|--|-|-|-------⌫--|
despechiezne n en la	--|------|--⌫|-|-|
nongreitsachance ouen l	--|----|-------|-|-||
aue ulemen t	---⌫------⌫|
dorgoyldecez	|-----|-|--|
quatre manie res	-----|-----⌫--|
dep eril nos	-|-⌫---|--|
uoll etrapeleretdel iure r	----⌫-|------|-|---⌫----⌫|
cilquide partd eu	--|--|-|---|-⌫-|
pere esta no s deuenuzs apienceet	---|--||--⌫|------|-⌫------|-|
iustiseet saintifiemenzet	------|-|------------|-|
rachatemen zihes u criz nostresires	----------⌫|----⌫|---|-----|----|
etregnetdeussor	-|-----|---|--|
chosesbenoz p er toz	-----|----|-⌫-|--|
lesseul es	--|----⌫-|
an co r de	--⌫--⌫|-|
po r ceu keligl ore habi ta st	--⌫|--|-|-|--⌫--|----⌫--⌫-|
enn ost re terre sis	-|-⌫---⌫-|----|-||
encontrarent	-----------|
mise ric o rde e tueritez et	----⌫---⌫-⌫--|-⌫|------|-|
iustiseet paizsebaiserent	------|-|---|-|--------|
nos tre glorece distli	---⌫--|----|-|---|-|
apo stlesest litesmonages de	---⌫----|--|-|---------|-|
co nscience etne mies tels	--⌫-------|-|-|---|---|
tesmonagescu mcil orgue llo u sfarise u s	---------|--⌫|--|-----⌫---⌫-⌫|------⌫-⌫|
perdeciu aule	--|-----⌫---|
tesm ognieu etluim ismes	----⌫------⌫-|--|-⌫----|
tesm ognages nen estoit miesurais	----⌫------|--|-----|---|----|
mais quan tliespirizd e	---|----⌫|-|------|-⌫|
por te ttesmognage	---⌫--⌫|---------|
a lnostreespirit	-⌫|-----|------|
etcist tesmognages sic um	-|---|----------|-|-⌫-|
croi este ntroischose s	---|--|-⌫|----|-----⌫|
pri mierst escouient croire	---⌫----||--------|-----|
da uanttotesa ltreschoses	--⌫---|----|-⌫----|-----|
remissi ondete spechieznepoi es	-------⌫-|-|--⌫|------|-|---⌫-|
auoirsi per	----|-|--|
lo par donno n de	-|---⌫--|--⌫|-|
de uapresdoies cro ireke	--⌫|----|----|---⌫--|-|
chosede bien ne poies	----|-|---|-|----|
t edo n eta darriens	-⌫|--⌫-⌫-||-------|
doies croireketula uie	----|-----|-|-|-|--|
permenantne poiesaqu esterpernuleteie	--------|-|----|---⌫----|--|---|---|
dessertesenn elate	-------||-|-⌫|-|-|
d onetto tenpardonsqu ies t qu i	-⌫---|--⌫|-|------|--⌫|--⌫|--⌫|
puistfairenat conceuementde n iant	----|----|--|----------|-|-⌫---|
nat esem encesi tun onqu i	---⌫|---⌫---|-|-|-⌫-|--⌫|
esnazetc ertesce uke	-|--|-|-⌫----|--⌫|-|
fait estnep uet	---|--|-|-⌫--|
est reke faitne	---⌫-|-|---|-|
s oitettoteuoiesierta ssi c umil	-⌫--|-|--------|---|-⌫--|-⌫-|-|
nenat mieses teitsil	--|-|---|--⌫---||-|
nos ametmi esetceu e swardeuet	--|---|--⌫-|-|--|-⌫--------|
lipr ophetes	-|--⌫------|
quantil diso itbien auros	----|-|----⌫-|----⌫----|
distilestlihoma	---|-|--|-|--||
cuinos tresire s	--|---⌫--|----⌫|
nen amatterit mies lo	--|--------|---|-|
pechietdesbone s oyures	------|--|----⌫|-----|
certe chose ken ulsn es	----|----|-|-⌫--||-|
auoir deluimisme s silihumaine	----|-|--|-----⌫|-|-|------|
naturenepotest e rqua nt	-----|-|--|---⌫-⌫|---⌫-|
i lleanc or	-⌫--|---⌫-|
e stoit enterigne m olt	-⌫----|--------|-⌫--|
moenspu et il leor releu e r	----|--⌫-|--⌫-|-|-----⌫-⌫|
mismesqua nt	-----|---⌫-|
ill e corrompue	---⌫|--------|
estca rcertechoseestke	--|--⌫|----|----|--|-|
toteslesc riat ures	----|--|-⌫----⌫---|
na ssancetantcumenelesest	--⌫-----|---|--|-|---|--|
partie plusenclintesensi si est	-----|---|--------|---|-|--|
ildenos misme s car	-|-|--|-----⌫|--|
kenos creeitsu mm es	-|--|-----|--⌫--⌫-|
declinons nosade sempechi et	--------|--|---⌫|-|-----⌫-|
unsnianzestquanto mnos	--|----|--|----|-⌫|--|
etiais auons de	-|--|-⌫----|-|
lau iepe rmenant	-|-⌫-|--⌫------|
ke litormentde	-|-|------|-|
ceste uie ne	----|--|-|
suntmiesdi gn ede la	---|---|--⌫--⌫|-|-|
glore quiestaauenir an corles	----|--|--||-----|--⌫--|--|
so stenust u nssoulshomcar tel	--⌫------|-⌫-|----|--|--|--|
n e suntmi el im eritte	-⌫|---|--⌫|-⌫|-⌫-----|
keliuiepermenanz	-|-|--|--------|
lor deuste stre	--|----|-⌫---|
doneieperdroitoukedeusfesist	-----|--|----|-|-|---|-----|
ancun torts	----|---||
ilnelordonastancor	-|-|--|-----|----|
ceusoitkei u m etaise	--|---|-|-⌫|-⌫|----|
ke tutlimeritesuntdon	-|--|-|-----|---|--|
dedeu etkeporceu soi t a nceos	-|--|-|-|--|--|---⌫|-⌫----|
lihom datresadeukedeus a	-|--|-----||--|-|---||
l ommekesunttoteuoies	|---|-|---|--------|
limeritteenuers	-|------|-----|
si g rant glore	-|-⌫---|----|
a lapersommequifutunk e s	|-|-------|--|--|---⌫-⌫|
nulsmiedresproph etesk ecilacui	---|------|-----⌫---|-⌫|--||--|
nostr esires mismes	-----⌫|----|-----|
portetsinobl e	-----|-|----⌫|
tesmognagequildist	---------|-|-|---|
un hommeauoit atroueit seloncson	-|----|----|-------|-----|--|
cuer et tote uo iesotilmismes	---|-|----⌫--⌫--|-|-|-----|
mes tier quil deista deu	---⌫---|-|-|----||--|
sirenene n treren	---|--|-⌫-⌫---|-|
iug ement encon treton	---⌫----|-----⌫--|--|
seriant nunlsnesoit donkes q ui	------|----|-|---|-----|-⌫-|
sede ceouetcarsil bie n i	-|--⌫-----|--||-|---⌫||
w eltpen seril atrou era tsens dotequ	-⌫--|---⌫--|-|-----⌫---⌫|---|---|-|
il nes atot deixmile	-|--|---|---|---|
porit uenir encontrec eluiquia	----|----|-------|-⌫---|--||
luiui ntatot uint	--|--⌫-|---|---|
m aisceuken os or	-⌫--|--|-|-⌫-|-|
s ofes tmies	-⌫----⌫|---|
mais tenir lo	---|----|-|
a ssi cumporun	-⌫--|--|--|-|
encommencementetunfundementdelafoit	-------------|-|-|--------|-|-|---|
etpor ceubien	-|--|--|---|
crois ketu detes pech iezne	----|-|-|-|--|----⌫--|-|
poiesestredel iurezsiper celui	----|----|---⌫----|-|--|----|
non acuisoultuas	--||--|---|-|-|
pechi étetencui	-----⌫--|-|-|--|
estre nulspech i ezmais anco rfai	----|---|----⌫-⌫-|---|----⌫|--|
ketua ss i cr oieske permei	-|-|-⌫--⌫|--⌫---|-|-----|
cr ist tesunttei	--⌫--|-|---|--|
pechi etp ardonei t	-----⌫-|-⌫-------⌫|
etc e stlit es mognagesdunt	-||-⌫-|-|-⌫--⌫-------|---|
lis a inzes pir iznostesmog ne ten	-|-⌫-⌫--|--⌫---⌫-|--|------⌫--⌫|-|
nos trecu er	---⌫--|--⌫-|
ke nostrepechiet	-|-----|------|
nossunt pa rdone it carensitient	--|---|--⌫-----⌫-|--|---|----|
lia postl eslommea iustifiét	-|-⌫-----⌫-||---||---------|
lafoyt ensinesof eistilmies	-|---|---|-|---⌫---|-|---|
assidesmeritesancor crocestuke	---|--|------|----|-----|-|-|
tu nespoi esa uoir sip er	-||-|---⌫-|-⌫---|-|-⌫-|
dec iatant	-|-⌫|----|
sainz espiriz de ue riteittetes monst	----|------|-|--⌫-----|-|---⌫----|
ket u per l uilesas ensi	-|-⌫|--|-⌫-|--|-|---|
t ecouientilas siau oir	-⌫|------|-|--⌫-|--⌫--|
permenantlotesmognage delespiritke	--------|-|---------|-||------|-|
tulainepoiesper uinir siper	-|--|-|----|---⌫----|-|--|
lo donnonded eu car il	-|--|--|-|-⌫-|--|-|
e s t ci lq uino zpechieznos pardo net	-⌫-⌫|--⌫|-⌫-|--⌫|------|--|-----⌫--|
i l estcil quinosdonet	-⌫|--|--|--|--|----|
lesmeritesilestcil	--|------|-|--|--|
luiers nos redonet	-----|--|------|
ce rt escisttesmognagesun tmolt for ment	--⌫--⌫-|---|---------|---⌫|---|---⌫---|
bien creauleca r	---|------|--⌫|
remissio n despechieza iiu tres	--------⌫|--|------|-⌫|-|---|
f ermeprueuel a	-⌫---|-----|-⌫|
p assion nostres ignor	-⌫-----|-----|-⌫----|
car liuoizdesonsanc	--|-|---|-|--|---|
plusenforcie ieke	---|--------⌫-|-|
liuo izdels anc abelhuchanz e ns	-|--⌫-|--|-⌫--|---|------|-⌫-|
cuersdesesl ez la rem i ssion	----|--|---⌫-|-|---⌫-⌫----|
l es pe ch iezi l	-⌫-|--⌫--⌫--|-⌫|
futliurezamort	--|-----||---|
po rnoz pechiez etnen e stmies	--⌫|--|------|-|--|-⌫-|---|
kesa mor z nesoit	-|-|---⌫|-|---|
pluspossanz	---|------|
et de plusgr antuirtutem	-|-|---|--⌫--|-----|-|
bien ke ne	---|-|-|
soient nostrepech iet enmal	-----|-----|----⌫--|-|--|
desbonesoyur esme certifietassi	--|----|----⌫-|-|--------|---|
moltf ortsar esurrecci onscar	---|-⌫--|-|-⌫---------⌫--|--|
i lreleuatporno stre	-⌫|------|--|--⌫---|
iustifiemen tmais	-----------⌫|---|
de lespe rance desluiersest	-||----⌫----|--|-----|--|
tesmonz son	------|--|
ascension scaril montat	---------⌫|--|-|-----|
enciel pornostre glo rifiementcez	-|---|--|-----|---⌫--------|--|
tr oischosespuis tutrouerel	--⌫--|-----|---|-|-----|-|
saltierbienaurosestcilhom	------|--------|--|--|--|
ce distliprophetes	-|---|-|--------|
am istmie slo	--⌫--|---⌫|-|
altre le ubienaurousest	----|--⌫|---------|--|
de tiataiue	-|-|-|---|
et ancor allorsbienaurousestcil	-|----|-----|---------|--|--|
cuit ueslesis etpre sis car	--|-⌫|------|-|---⌫--|--|
ilhabiteritentes atres ceste	-|--------|-|--|----|----|
est chie rfreiren os treglore	--|----⌫|-----|-⌫--⌫--|----|
et celegloreque	-|---|----|--|
dedenz nos	-----|--|
habitetcareleest	------|--|--|--|
de celuiquiperlafoit	-|----|--|--|-|---|
hab ittet ennozcuers	---⌫----|-|--|----|
ma is lifil	--⌫-|-|--|
glor e quie r entauoirliuns	----⌫|----⌫-⌫--|----|-|--|
delal treneuuelent	-||--⌫--|-|------|
mie slaglore kededeuest	---⌫|-|----|-|-|--|--|
so ulementetper	--⌫------|-|--|
ceukilenseuent	--||-|-------|
laglore k e perdeffors uat	-|----|-⌫|--|------|--|
decorr ant	------⌫--|
sine nunt ilmies gloreen	-|--⌫|--|-|---|----|-|
o usmismesm aisanz ois enaltr ui	-⌫-|-----|-⌫--|---⌫--|-|----⌫-|
welssauoirduntli glore habi ttet	---|-----|---|-|----|----⌫---|
omme b riement	---|-⌫------|
car mon intencionsse	--|--|---------|-|
altreschosesk e plainnes su nt	-----|-----|-⌫|-------|--⌫-|
des acremenziuauoi e proposeitke	-|-⌫-------|-|----⌫|--------|-|
iuceu solementencerchasceen celes	-|--|-------|----------|-|----|
parollesde	-------|-|
laprophe te	-|------⌫-|
parolle del	------|-||
laded entriene	-|---⌫-------|
glo r e etdel tesmo gnagede laconscien c e	---⌫-⌫|-|--|-----⌫----|-|-|--------⌫-⌫|
k elpremierfron t meui nt	|-|------|----⌫|-|--⌫-|
refloch atmaparolleal a mor aliteit	-------⌫-|-|------||-⌫|---⌫------|
donkesen sihabit tet nes	-----|--⌫-|-----⌫--|--|
ceste uiecesteglore	----|--|----|----|
terrela oul imisericor deet	----|-|-|-⌫|---------⌫-|-|
ueritezsencontre ntet o u	------||--------⌫-|-|-⌫|
iustiseetp aiz	------|-|-⌫--|
s eba isentmestiersest	-⌫|--⌫----|-------|--|
ke li ueri tez de nostre	-|-|----⌫--|-|-----|
c on fes sionalletencontrelamiser icor de	-⌫--⌫---⌫---|----|-------|-|-----⌫----⌫-|
ke nos dauancet	-|--|-------|
nosdesor mais	--|--|-|---|
ens euienssainteitetpaixsen	---⌫-----|-------|-|---|--|
uarit deulai	----|--|--|
anc unsestco mp unzl ai	---⌫--|--|--⌫--⌫--|-⌫-|
