seimme peti t queut	-----|----⌫|----|
ouioi osteletbien et b el	-||-|----|-|---|-|-⌫-|
s i ayytorzforzetesllites	|||-|---|---|-|-------|
unegr antetquat repet ites	--|--⌫--|-|----⌫-|---⌫---|
n e sai totel o u re asoumer	-⌫|--|---||-⌫-⌫-|------|
nelou chas telnesai nomer	-|--|----⌫--|-|--|----|
m esieseib ienqueli	-⌫-|-|--|-⌫--|--|-|
g rone manzdegro hozotno n	-⌫----⌫---|-|---⌫--|-|--⌫|
h abia xamis fait lapucele	-⌫|---⌫|---|---|-|-----|
mout estuostre pa role bele	---|--|-----|--⌫---|---|
etm outauezdit quecortois	-|-⌫--|---|--|--|------|
greuosensache	--|--|-|----|
qantuo sprodomelapelastes	---|--⌫|------||--------|
plusuoirmot	---|---|--|
n eparllastes	-⌫|---------|
quile st pro u dompar saint richier	-|-|-⌫-|---⌫-⌫--|--|----|------|
icepuisiebi enafichier	--|---|-|--⌫-|-------|
etsach iezqe ie suisa n iec e	-|----⌫--|-|-|--|-|-⌫---⌫|
uimoutagrantpiece	-|---||----|----|
etcertespuisque	-|-----|------|
uos meuste s	--|------⌫|
de uostreostel	-|-----|----|
nequeneus te s	-|-------⌫--⌫|
plus liehome nepl us	---|--|---|-|--⌫-|
moutp lusbelostelet	---|-⌫--|--|----|-|
uosfistcarillousotb ien	--|---|--|-|--|--|-⌫--|
com mep reudom	---⌫-|-⌫-----|
etdebonaire	-|--------|
p uissanzet aessiezet riches	-⌫------|-|------|-|-----|
m esceanz namesqueyymiches	-⌫-|----|||-----|-|-----|
cu ns miens onclesquiestprious	|-⌫-|----|-----|--|--|-----|
mou tsainz hometrel igious	---⌫|----|--|-|---⌫-----|
menue iapo rsouperanuit	|----⌫-|--⌫|-----|----|
e tunboucelplain deuinc uit	-⌫|-|-----|----|-|--|-⌫--|
deuitaillen a	-|-------|||
plus ceenz	---|----|
fors unch euroi lcunsmiensserienz	---|-|--⌫-----⌫||--|----|------|
maind unesaiete	---||--|-----|
atantco mmandequlen mete	----|--⌫-----|-|--|---|
l es tabl eset e le ss ontm ises	-⌫-|----⌫-|-|-⌫--⌫|-⌫--|-⌫---|
etlesgenzausou p e r asi s es	-|--|---|-|---⌫-⌫-⌫|---⌫-⌫-|
aumang ier	-|----⌫--|
ont moutpetitsis	--|---|----|--|
mespo r mout g ra nttalant	--|--⌫|---|-⌫--⌫-|-----|
apre sma ngiersedepartirent	----⌫|--⌫----|-|----------|
c ilremestrentqui se dorm irent	-⌫-|---------|--|-|----⌫----|
quilaut ren uitueil liéauoie nt	--||---⌫-|-⌫--|----⌫---|-----⌫-|
cilse nissirentquideuo ient	--||-⌫|-------|--|----⌫---|
parlouchasteluellier	--|--|------|------|
seria ntfu rent	-----⌫-|--⌫---|
etcheualier	-|--------|
yy qui lanuit ueillierent	-|--|-|---|----------|
lia utremoutsetrauellerent	-|-⌫---|---|-|-----------|
de lorostebi enaes ie r	-|--|---|--⌫-|---⌫--⌫|
blansdr a setcoue rtormoutc hier	----|--⌫-⌫|-|----⌫---|---|-⌫---|
e torellie rau chie f limistren t	-⌫|-------⌫|-|----⌫|-|-------⌫|
cilqui delcoc hiers entremi st re nt	--|--|--|---⌫---||-------⌫--⌫--⌫-|
a ise ettot	-⌫--|-|--|
sa chedeuiser d elit	--⌫--|------|-⌫|--|
otl i cheualierscele	-|-⌫|---------|---|
forsqueseulement loudeduit	------|--------|--|-----|
depuce lese luiple ust	-|----⌫-|-|--|---⌫--|
ode dame seilseust	|-|---|-|-|----|
neset n epoi	-|--|-⌫|--|
n e denuleautr erien	-⌫|-|---|----⌫|---|
si send ormi aucquesp a r tens	-||---⌫---|------|-⌫-⌫|---|
qui l n estoit der ien	-|-⌫||-----|-|-⌫--|
messostesse pasne repose	--||------|--|-|-----|
qui ensa chambreestoite nclose	--|-|-|------|-----|-⌫-----|
cildo r taaiseetce le	--|--⌫-⌫||---|-|--⌫-|
q ui n aen li nuled efe nse	-⌫||||-|-|---|-⌫---⌫--|
dune batai ll e q uila fa ut	|--|-----⌫--⌫|-⌫-|-|--⌫-|
mout se t restornemou ttressaut	---|-|-⌫-------|---⌫|-------|
mout se degeteet demaine	---|-|-----|-|------|
unmantel taint desoie eng raine	-|-----|----|-|---|-|-⌫----|
aafublésorsa chemise	|------|--|-|------|
sieste nauenture mise	-|--|-⌫|-------|---|
commeh ardieetcorageuse	----|-⌫----|-|--------|
estmieporoi s e us e	--|--|--|--⌫-⌫-⌫--⌫|
panse queeleira	----|--|--|--|
ason osteetsilidira	|--|---|-|-|-|---|
deson afaire	-|--|-----|
un e pa rtie	--⌫|--⌫---|
plorantsestdeson li t	------||--|-|--|--⌫|
etis sue forsdelachanbre	-|--⌫--|---|-|-|------|
sa telpe o r	||--|--⌫-⌫|
litram b lentetlicorsli	-|----⌫-⌫---|-|-|---|-|
plorant estd e lac h ambreissue	------|--|-⌫|-|-⌫-⌫----|----|
etuientaulitoucilsedort	-|----|-|--|-|--|-|---|
sipleure et sospiremou t	-|-----|-|------|---⌫|
s isaclin e etsi sagenoille	-⌫||-----⌫|-|-||--------|
etpleure t antquele li moil le	-|-----|-⌫----|--|-|----⌫-|
deseslermestotelaface	-|--|-----|---|-|---|
nahard ement	||----⌫----|
queplu sen fac e	--|---⌫|-|---⌫|
plore ́quecil sesueil le	-----⌫|--|--||------⌫-|
sisesbahistet	-||-------|-|
semerue ille	-|-----⌫---|
desafaceq uiluoi t	-|-|---|-⌫|-|---⌫|
etuoitceliagen oil liee	-|---|---|----⌫---⌫---|
deuant s on litqui	-----|-⌫-|--|--|
parloucol e nbraci é	--|--|--|-⌫------⌫-|
cortesi ef ist	-------⌫|-⌫--|
qeil entre	-|-|----|
ses br az laprist	--|--⌫-|-|----|
maintenanten uers lila	---------|--⌫---|-|-|
e t l idist	-⌫|-⌫|---|
porq estesuosuenuec i	--||----|--|----|-⌫|
cheualier smerci	---------⌫|----|
porde uuospri etporsonfil	--|--⌫|--|--|-|--|--|--|
qeu os neme nten ezpor	-|-⌫-|-||-⌫|---⌫-|--|
suici a u osuenue	--|-||-⌫-|----|
chemi s eto tenue	-----⌫-⌫|--⌫-|--|
ien ipe nsaioncqu esfo lie	-|||--⌫---|-----⌫-|--⌫--|
n e mauuesti eneu ilenie	-⌫|--------⌫|-|-⌫-----|
qui l na e lmond erien	-|-⌫|||-⌫|----⌫|---|
plusdolantene	---|------|-|
plusch a itiue	---|--⌫-⌫----|
que i enesoie plusdolan te	--|-⌫|-|---|---|-----⌫-|
riens queioiene m	----|--|---|-||
conque snul	|-----⌫|--|
iorsan zmalnefui	--|---⌫|--|-|--|
itantm aleureusesui	----|-⌫--------|--|
nei e n e uerraiiam esnuit	-|-⌫|-⌫|-----|---⌫-|---|
queseulementcele	--|--------|---|
n eiorq ue celuidedemain	-⌫|--|-⌫-|----|-|-----|
ocirraidemamain	------|-|-|---|
de yy cheualiers etdi s	-|-|---------|-|--⌫|
don tcistch a stiaxes toi tgarniz	---⌫|---|--⌫-⌫----|--⌫---⌫|-----|
naceenz remez quecin qu a nte	||----|----|--|---⌫--⌫-⌫--|
quedeuset dis ma insdeyy	--|---|-|--|--⌫--|-|-|
