oeztrestuitunnouauc onte	--|-------|-|----|-⌫---|
lehurten tquafoudre rlefi rent	-|------⌫|-|-------⌫|-|--⌫---|
et cilquilecestoienttirent	-|--|-|---|-------|-----|
a sieure martinquisenu et	|-----|-----|--||-|-⌫-|
porluitostc onter	--|--|---|-⌫----|
com mentue t	---⌫---|--⌫|
a sain t mesmequa nt il lataig ne n t	|----⌫|----|---⌫-|-||-----⌫--⌫-⌫|
toutlicontente t mout se pleigne n t	---|-|------|-⌫|---|-|-------⌫-⌫|
d ecequ il einsiertneié	-⌫|-|-|-|----|--|----|
si o ntmartint re stuit preié	-|-⌫-|-----|-⌫--⌫----|-----|
qualastl as ii es talez	-|----|-⌫|-⌫||--⌫|---|
lichalan sestoi t	-|------⌫|-----⌫|
au fonz del eueala	-|---|-||--||-|
marti nparson	-----⌫|--|--|
nonmes meapele	--|---⌫-|----|
m esa usitostcom il	-⌫-|-⌫--|---|--|-|
sou zleue responduli	---⌫||--|-------|-|
pu is lidemanda sil ireit	--⌫-|-|------||-|----|
arom me oualerdesireit	|---⌫-|-|---|-------|
et ci l respontisnelement	-|--⌫|------|---------|
quilferasoncomman dement	-|-|---|--|------⌫-----|
quantmartinssoutqu a lui	----|------|---|-||--|
enleuep lusne	-||--|-⌫--|-|
ainz li acriéhautement	---|-||----|--------|
luiau gedeli urement	--|--⌫-|----⌫------|
lor ssen e issi tgrant aleure	---⌫||-|-⌫----⌫|----|-----|
toz sainzsanznulemoilleu re	--|----|---|---|-------⌫-|
puiscont e	---|----⌫|
a sgenz sones tement	-⌫|---|--|--⌫-----|
qu oluifutiu squ auuestement	-||--|--|--⌫--|-|--------|
mar tinestoitenuer oillez	---⌫--|-----|-----⌫-----|
porc enefutmorznem oillie z	--|-⌫|-|--|---|-|-⌫------⌫|
un conte ra i ciescrit	-|----|--⌫|-|-----|
mesonc noutroua ienesc r i t	--|--||-|-----⌫|-|---⌫-⌫-⌫|
li con te se st	-|---⌫--⌫|-⌫-|
tout desenfance	---|-||------|
quauantqueiluenisten f rance	-|-------|-|-----|-|-⌫----|
que uoeirou t molt deserr ee	--|----|--⌫|---|------⌫-|
futlonctens deiostepauee	--|---|---|-|----|----|
en zzc h astel ilecdecoste	-|-|-⌫-⌫----|---|-|----|
ilectrouamartinszzh oste	---|----|------|-|-⌫---|
quimeinar zestoitapelez	--|------⌫|-----|-----|
bienmartinsostel ez	---|------|-----⌫-|
quarladame bie nl ostela	---|-|---|---⌫||-----|
que lenpersoisapela	--|--|------|----|
m oltlam a et le co nioit	-⌫--||--⌫|-|-|--⌫----|
demartinriennoi t	-|-----|---||--⌫|
porquoilen le d eustblasmer	--|---|--|-|-⌫---|------|
tantmesame r	---|------⌫|
res pon dis tui lenn ie	---⌫---⌫---⌫|--⌫----⌫-|
si ertdesitressainte ui e	-|--|-|-|---|-----|--⌫|
quetozautres	--|--|-----|
ensormonta	-|-------|
la damea s ons eignor conta	-|---||-⌫-|-⌫-----|----|
qu iexil estoitetquel serui se	--⌫--|-|-----|-|---|-----⌫-|
enauroittout asa	-|-----|---||-|
s ilereti enten sonosteau	-⌫|-|----⌫--|-|--|-----|
nei ane f eroitrebosteau	-|-⌫|-|-⌫----|--------|
s i commefeitl au trem es niee	-⌫|----|---||--⌫--|-⌫--⌫---|
einsi ala uoie lei s siee	----||-|---|---⌫-⌫---|
martins qu auoit deuantemprise	------|-|----|-----|------|
chas cuni o r aloit aliglise	----⌫--|-⌫-⌫|----|||-----|
e tpuisalostelr e t ornout	-⌫|---|||----|-⌫-⌫-⌫-----|
ma rt insn uliorneseiornout	--⌫--⌫--|-⌫-|--|-|--------|
defeir equanquilconueneit	-|----⌫|-----|-|--------|
par tot etuenei t	--|--|-|-----⌫|
affeires au boriois	-------|-|------|
auborioisnen	-|------||-|
fuoncsor dois	-|--|---⌫---|
quarles i enmo lt bien	---|-|-⌫-⌫-|--⌫-|---|
li ga rd oit	-|--⌫--⌫--|
mesquantauc unpo ure esgardoit	--|----|---⌫-|--⌫--|--------|
qui nauoitdequoisoiuestir	--||----|-|---|--|-----|
tantostlidonnoi t so nu est ir	------|-|------⌫|--⌫|-⌫---⌫-|
et ala utresacha ucemen te	-|||-⌫---|-|---⌫------⌫-|
mespe r soisn e stoit	--|--⌫-⌫---||-⌫----|
delidonne rmaintenantquote	-|-|-----⌫|---------|----|
mein a rz lidisoit qu	----⌫-⌫-|-|-----|-|
ele ierts ote	--|---|-⌫--|
deluisi tost robebaillier	-|--|-|---|---|-------|
s enpresle nfac eautre ta i llier	|-----||-⌫|---⌫|----|--⌫-⌫----|
silar auratantost	-|-|-⌫---|------|
lafarin ea	-|-----⌫||
mai nt iorgard ee	---⌫-|--|----⌫-|
m artins q uantlen lieuoi ot	-⌫-----|-⌫---|--|-|----⌫-|
etsenus pour es lepreot	-|-|--|----⌫-|-|----|
queporlamordeu len donnast	--|--||---|--||-|------|
sitostde deumot n e	-|---|-|--|--|-⌫|
com ilen auoitsa i ointee	--|-|-|----|-|-⌫-----|
fustapeticiee	---|--------|
lacruceainzeniert creue	-|----|---|-|---|----|
tantqued esuoisinsde larue	------|-⌫-|------|-|-|--|
on ta da mmenart demandé	--⌫||--⌫|-----|-------|
illauo itcom ma ndé	-||---⌫-|---⌫--⌫---|
quemartinsdonnastsaf arine	--|------|------|-|-⌫----|
q uardedonnertozior znefine	-⌫--|-|-----|--|---⌫|-|---|
a chasquu n p oure qui	|-----|-⌫|-⌫---|--|
len quiert	|-|-----|
men artdesafamel enquiert	---⌫--|-|-|---||-------|
se t r ienque le	--⌫|-⌫--|-|-⌫-|
mol t lablasme	---⌫|-|-----|
qu elnochasti e	-|-|||------⌫|
qu ilne soi tpassidesp ensierres	-|-|-|---⌫|--|-|----⌫--------|
pers oisdit queciles t	----⌫--|--|--|--|--⌫|
quili adit telle	--|-||--|----|
p arlauirg emarie	-⌫-|-|----⌫|----|
neuit nulenfantp lus	-|--|--|-----|-⌫--|
choses plus feal	-----|---|---|
parso uemet	--|--⌫----|
ses taperceue	|--⌫|-------|
quela plu sdesa	-|-||---⌫|-|-|
quedeuant puisqu	--|-----|-----|
menartpersoise sgarda	-----|------|-⌫-----|
sil i aditquecestfolie	-|-⌫||--|--||--|----|
dontan tenzze nfa nt sefie	--|---⌫|-|-|-⌫---⌫-|-|--|
martin saoi	------⌫||-|
l anouelle	-⌫|------|
fuboennene bele	-|-----|-|---|
pointet nes aquois e	------|-||------⌫|
s iestu enu zala bordoi se	-⌫|--|-⌫---⌫||-|------⌫-|
qu ant iluoltdiresaparole	--⌫--|-|---|---|-|-----|
ce lequi deluie stoitf ole	--⌫-|--|-|--|-⌫----|-⌫--|
el leust p orté	-||---|-⌫----|
lamolt do uceme nt	||---|--⌫-----⌫-|
et lidemandaqu il	-|-|------|-|-|
mart ins li dis t	----⌫--|-|---⌫|
que biensauoit	--|---|-----|
quesisires	--|-|----|
l amoltblasme e	||---|------⌫|
por lui etformen tmesamee	--|--|-|------⌫|------|
e tdit quedosiena emblé	-⌫|--|--|-|---||-----|
assezen far ineet em ble	----|-|---⌫--|-|-|--|
mescertesonque srienn	--|-----|-----⌫|---||
celip oise quil s ase mbl a	-|-|-⌫---|-|-||---⌫---⌫|
a luiquant sila me screu	|--|----|-|||--⌫----|
ilauoi tcongieeu	-|----⌫|-----|-|
deluiuolent iers s	-|--|------⌫---||
per soisd istqu	---⌫---|-⌫--|-|
ille diroit	-|-|-----|
nen iram ie	|-|--|-⌫-|
silneliotroieetafie	|-|-|-|-----|-|---|
queilp ar tensalui uend ro it	--|-|-⌫-|---||--|----⌫--⌫-|
ma rtinslidistquilatend roit	--⌫----|-|---|-|-|-----⌫---|
ai uenirquantcesera	||----|----|-|---|
au uif parl era	-|--|----⌫--|
persoi stanto s trespondit	------⌫|-----⌫-⌫|--------|
por es pondre amartin son	--|--⌫-----||-----|--|
quequantmesd o nta	--|----|--|-⌫-⌫-||
queliioi cesauendr a	--|-|---⌫--|------⌫|
nus n eparlereit	--|-⌫|--------|
e tc ildis tquin i e ste reit	-⌫|-⌫-|---⌫|-||||-⌫---⌫---|
porriensilido nastconge	--|---|-|-|--⌫---|----|
persoisdist quilasongé	------|---|-|-||-----|
carsissi res mot	--|--|--⌫--|--|
neo ncluin en araiso nna	-|-⌫-|--||-|------⌫--|
martinsli dist	------|-|---|
quilse nira	-|-||-⌫|--|
plusne lelidira	---|-|-|-|---|
simaintena nt ne	-|--------⌫-|-|
martin smisa laueie	------⌫|--||-|---|
siquecelepas nele se it	-|--|---|--|-|-|--⌫-|
quant elletan t o st le seit	----|-|-|---⌫-⌫-⌫-|-|---|
lespansleue z	--|---|----⌫|
alacaineure	|-|-------|
ta nterraqueparauentu re	--⌫-|---|--|--|------⌫-|
trouél e chemi na	-----|-⌫|-----⌫||
paroumartin ss achemina	--|-|------⌫||-------|
