carleslireisnostre emperemagnes	-----|-|---|-----|-----|-----|
franc e seignurs uo senirez	-----⌫|-------|--⌫|-|---|
de meie partmam uillersal ue z	-|---|---|-|-⌫-----|---⌫--⌫|
e pina belmunam iemunper	|----⌫--|--|--⌫||--|--|
e baldewinm u n	|-------|-⌫-⌫|
filz queuos	---|--|--|
eluiaidezepurseignurle	|--|----||--|------|-|
entr e te n sa ueie	----⌫-⌫|-⌫|-|---|
gu enes cheualchet s u z u ne oliuehalt e	--⌫---|---------|-⌫-⌫|-⌫-|----|----⌫|
as emblét s estas	--⌫------||--|-|
maisblancan dri nskienuers lusatarget	---|-------⌫---⌫-|-|-----|-||------|
pargrant saueir	--|----|-----|
unsa laltre	--|||----|
distblancandr insmerueilush omestcharl es	---|---------⌫--|--------|-⌫-|--|-----⌫-|
kicunquist puilleetrestutecalab re	-|-------|-----||-------|-----⌫-|
uers engletere	---|--------|
passatillamer sal se	-----|-|-|--|---⌫-|
ado esse int p erreencun quis t l echeu ag e	-|-⌫-|--⌫--|-⌫---|-|---⌫----⌫|-⌫|----⌫--⌫|
qu enusrequertcaen	--⌫|--|------|-|-|
la nostr ema rche	-|-----⌫|--⌫---|
guenesre spun titel sest siscurages	-----|--⌫----⌫|----⌫|--|--|------|
i amaisnerthumekie ncuntrelui uaille	-⌫----||--|---|-|-⌫------|--|-----|
distblanc an drinsfrancs s unt multg entil z	---|-----⌫--⌫----|-----|-⌫--|---|-⌫-----⌫|
mal funt educecilc unt e	--|---||--||--|-⌫---⌫|
a lurseignur	|--|------|
kitelcunseill li	-|--|-------|-|
luiealtrui trauaillent	--||-----|----------|
ecunf unden t	|----⌫-----⌫|
gue nesrespuntio nes aiueirs	---⌫--|------|-|-|-⌫-|----|
nem esrollan t	-|-⌫-|------⌫|
kiuncoreen aurat hun te	-|-----|-|----|---⌫-|
er matin sedeitliemperere	-|----|-----|-|-------|
suzlumbr e	--||----⌫|
uintisesnies	---||--|---|
out uestu esabrunie	--|-----⌫|-|-----|
predétdei ustecarcasonie	------|---⌫---|---------|
tintuneu erm eillepume	---|--|-⌫---⌫----|---|
t enezbel sire distro llant a	-⌫---|--|---|---|--⌫----||
detrestuzreisuosp resent	-|------|---|--|-⌫-----|
lescurunes	--|------|
orgoilz le deu r eitb en cunfundre	------|-|---⌫-⌫--|-⌫-|--------|
karch ascuniurdem ortsabandunet	--|--⌫----|--|-|-⌫--||--------|
seit ki lociet tutepaispu is	---|-||----|---|---|--⌫-|
distblanc andrins multes t	---|-----⌫------|---|--⌫|
pesmes rollan t	-----|------⌫|
kit utegent	-|-⌫--|---|
uo elt f airerecreant	--⌫--|-⌫---|-------|
etutesteresmetencha lengement	|----|----|--|-|---⌫--------|
parquel egentquiet	--|----⌫|---|----|
ilespleitertant	-|--------|---|
guen e sre s puntparla franceisegent	----⌫-⌫|--⌫-⌫---|--|-|--------|---|
t ant ne lifaldr untnient	-⌫--|-|-|-----⌫--|----|
orea rgentlu rmet tant en present	-||-⌫----|--⌫|--|---|-|------|
mulsedestrers epalieseg uarnemenz	---||-------||-----||-⌫--------|
meisme sadtu t asuntalent	------⌫|-|--⌫||--|-----|
cunqu erratliles tere sd ici	-----⌫----|-|--|----⌫||--|
tantch eualcherent	---|--⌫----------|
gu ene seblancandrins	--⌫---⌫||-----------|
qu elunalaltre lasue	--⌫||-|||----|-|--|
fei tpleuit	---⌫|-----|
que ilq uerreientque rollant	--|-|-⌫--------|--|------|
tant cheualc herenteueiese chem ins	---|-------⌫-----||----||----⌫--|
que ensarragucedescen dentsuzunif	--|-|--------|------⌫---|--|-|-|
unfalde s toet	-|-----⌫-⌫---|
ou tsuzl umbredun p in	--⌫|--||----||-|-⌫-|
esuolup étfu tdu n palie	-------⌫--|--⌫||-⌫|----|
alexandrin	---------|
la fut lireiskituteespaigne tint	-|--|-|---|-|---|-------|---|
tuten t ur	--|--⌫-⌫-|
milie s arr azins	----|-⌫---⌫----|
niad celuik imotsunt	||-|----|-⌫|--|---|
n emot tint	-⌫|--|---|
pu rl esn uueles quil	--⌫|-⌫-|-⌫-----|-|-|
uuldreien toir	---------⌫|--|
atanta suosguenes eblancan drins	----|-⌫|--|-----||-------⌫----|
bl ancandrin suintdeuantlempereur	--⌫---------⌫|---|-----||-------|
parletintlecunte gu enelun	--|-|---|-|----|--⌫-----|
al reisaluezseiez demahum	-|--|-----|----|-|----|
edapollin qui seintesl ei s tenuns	||------|--|------|-⌫--⌫|-----|
uost re message a c harlun	----⌫-|------||-⌫-----|
am bes sesmainsenle ua tcuntre munt	--⌫--|--|----|-|--⌫--⌫|-----|---|
loatsun de une	---|--|--⌫|-|
f istaltr erespuns	-⌫--|----⌫|------|
ciu osen ue iet un sun	-|-⌫-|--⌫--⌫--|-|--|
n oblebarun	-⌫---|----|
kies tdefrance sie st	-|--⌫|-|-----|-|-⌫-|
mult riches h om	---|-----|-⌫-|
parluiorrez	--|--|----|
si aurez paisu	-|----|---||
r e spun tmars il ieord iet nuslorrum	-⌫-⌫----⌫|----⌫--⌫-|-|-⌫--|--||----|
ma isliquens	--⌫-|-|----|
guen essefut ben purpe nsét	----⌫-|-|--|--|-----⌫----|
pargrantsauercu mencet	--|----|----|--⌫-----|
cumeceluikibenfai re	---|----|-|--|---⌫-|
ed ista lreis a l uez	|-⌫--|-⌫|--|-⌫-⌫-⌫--|
seiezd edeu	----|-⌫|--|
l igloriusqu ideu umaurer	-⌫|------|--⌫|---⌫-|----|
icouus mandet carlem agnesl i	--|--|-----|------⌫----|-⌫|
que receuez seintechrestient e t	--|------|-----|----------⌫-⌫|
demiespaigne uosuoelten	---|-------|--|----|-|
se cest ac ordene uulez	-|---|--⌫---|-|----|
pr i s eliez serezparpoested	--⌫-⌫||---|----|--|------|
alsiege adai senserezam enét	-|----|-|--⌫|-|----|--⌫----|
par iugement	--|-------|
s erez iloe cfinét	-⌫---|----⌫|-----|
lamu rrezu u sahuntee a	-|--⌫---|-⌫-⌫||----|||
li reisma rsilies	-|---|--⌫------|
enf utmultesfreéd	-|-⌫-|---|-------|
unalg ier tintki	-|---⌫--|---|-|
dorfutes pe nét	|-|--|--⌫--⌫---|
ferirl en uolt senenfustdesturne ́t	----||-|---|-||-|---|--------⌫-|
lireis marsiliesadla culur muee	-|---|--------|-|-|----|---|
de sunalgei radlahanste crollee	-|--|-----⌫|-|-|-----|------|
q uant l e	-⌫---|-⌫|
u itguenes mis tlam aina l	-⌫-|-----|---⌫|-|-⌫--|||
cuntre dou sdeiel adde lfurrergetee	-----|---⌫|---||-|--⌫|-----|----|
siliadditmultest esbele	-|-|-|--|---|---⌫-|---|
tantu us aurai	---|-⌫-|----|
encurt a r ei	-|---||-⌫-|
i aneldira tdefra ncelie mperere	-⌫|-||----⌫|-|---⌫--|-|-⌫------|
quesulsi moer geenl estrange	--|---||----⌫-|-||-------|
einzu os aurunt limeillorcompere e	---|-⌫-|-----|-|------|-------⌫|
di en tpaiende sfa imesl a mellee	--⌫--⌫|----|--⌫---⌫---|-⌫|-----|
tuit li preierent lime illorsarrazin	---|-|--------|-|--⌫----|-------|
qu el fal destoetsm arsilies asis	-|-|---⌫------||-⌫-------|---|
dist lalgalifes	---||--------|
malnos auez	--|--|---|
que lifra nceis amas tesaf e rir	--|-|---⌫----|----⌫--||-⌫-⌫--|
uosledou ssezescultere oir	--|-|---⌫---|-------||--|
siredistguenesm ei l	---|---|-----|-⌫-||
auentasuffrir	----||------|
ione lerreiepor l	-|-|------|--||
orqu edeus f ist	-|--⌫|---|-⌫--|
neportut l	-|--|--||
auei rki seiten	----⌫|-|---|-|
nelid ie se tant aide	-|-|-⌫-|-|---|-|-|
que charleslimandet l i	--|------|-|-----|-⌫|
reispoesteifs	---|--------|
parmeiliman detsun	--|--|-|---⌫--|--|
mortelenemi	-----|----|
afublezest d	------|--||
unma ntelsab elin	-|--⌫---|---⌫---|
kif ut cuuertdu nepa liea lexandrin	-|-⌫-|-----||-⌫-|--⌫--|-⌫--------|
ge tetle a	--⌫--|-||
teresi lrecei tblancandrin	---|-||-----⌫|----------|
mai sd e se sp eene	---⌫|-⌫||-⌫--⌫-|-|
uolt miegue rpir	---|--|---⌫---|
ensunp ui gn dest repar	-|--|-⌫--⌫-|----⌫-|--|
lor iépunt	|--⌫--|---|
dientpa iennob l eba ron	----|--⌫--|---⌫-⌫|--⌫--|
en uerslereisest guene sapro ismét	--⌫---|-|--||--|-----⌫|----⌫-----|
si liad ditator tuos	-|-|-|--||---⌫|--|
q uarco uosm andet carl eskifranc etient	-⌫--|-|--|-⌫----|----⌫-|-|-----⌫|----|
qu ereceuezlaleidechres t iens	--⌫|------|-|--|-|-----⌫-⌫---|
demiespa igne uusduratilenf iet	---|----⌫---|--|----|-|-|-⌫--|
laltreme itetau r at rollant sisnies	|----|--⌫---|--⌫-⌫-|------|--|---|
mulz orgu illosparcuneri	---|----⌫----|-------||
sices t eacor dene u olezotrier	-|---⌫-⌫|----⌫-|-|-⌫---|-----|
ensa rr agu ce	-|--⌫--⌫---⌫-|
uusuen drataseger	--|---⌫---|-----|
parpoeste tserezpris elie z	--|------⌫|----|---||---⌫|
me nétsere z drei t ad aislesiet	--⌫---|----⌫|----⌫|-|--|-|---|
iaurezpal efreitne destrer	|----|---⌫-----|-|------|
n emulnemule	-⌫|--|-|---|
quep uissezcheualc her	--|-⌫-----|-------⌫--|
get étserezs u runmaluaissumer	---⌫--|----|-⌫-⌫|-|------|----|
pariugementiloec	--|-------|----|
pe r drezle c hef	--⌫-⌫---|-|-⌫--|
nostree mperer euusenueietcest	-----|-⌫------⌫|--|------|---|
el destr epoi gn	-|-----⌫|---⌫-|
al paienlad	-|----||-|
marsiliesfutesculurezdelire	--------|--|--------|-||--|
frei ntl eseel geté ten adlacire	----⌫-|-⌫|---|-----⌫|-|-|-|---|
guardetalbr ef uitla	------|-|--⌫-|--|-|
raisune scrite	-----|-⌫-----|
ma ndetkifrancead	--⌫---|-|-----|-|
quem e rememb redelado lurelire	--|-⌫|------⌫-|-|-|--⌫--|||--|
coestde basa nede sunfrerebasilie	-|--|-|----⌫||-|--|----|------|
d un tprisle schefs	-⌫--⌫|---|--⌫|----|
a spuisde ha ltoie	-⌫|---|-|--⌫----|
s edemu n corsuoeil	-⌫|-|--⌫|---|----|
aquit erlauie	-----⌫-|-|--|
dunc li enueimununcle lalgalife	---|-|----|--|----||-------|
al t rementnem	--⌫-⌫-----|-||
ameratilmie	-----|-|--|
apresparlat	----|-----|
sesfilzenu ersmarsilies	--|---|---⌫--|--------|
edista lreig u enes	|---|-⌫|--|-⌫-⌫---|
ad ditfolie	-|--|----|
t antaderrétnenest dr eiz queplusuiuet	-⌫--|-|-----|--|--|--⌫--|--|---|----|
liurezlemeiioe nfe railaiustis e	-----|-|--|-|-⌫|--⌫--|-|------⌫|
quantloit guene s lespee	----||--|-----⌫||----|
en adbranlie	-|-|------|
u aitsapu ier	-⌫--||---⌫--|
suzle pinalatige	--|-|--||-|---|
en zelu e rge rsenest alezlireis	--⌫|-|-⌫-⌫---⌫||-|--|---|-|---|
ses meillorshumes enmeinetensem blod sei	--|-------|----|-------|-----⌫-|-|--|
eblancan d rinsiuint al canudp ei l	|-------⌫-⌫---||---|-|----|-⌫--⌫|
eiurfaret kiest sesfil z es es heirs	|-------|-|--|--|---⌫||-⌫-|----|
el algalif essununclee sesf edeilz	||-------⌫-|--|----||--|-⌫-----|
distb lan cand rins a pelez le fran ceis	---|-⌫---⌫----⌫---|-⌫----|-|----⌫---|
de nostre prod	-|-----|---|
madpleuies a fei d	|-|-----|-⌫|---⌫|
codistli reise uo sliameneiz	-|---|-|---||--⌫|||------|
eguenes adpr is par	|-----|-|--⌫-|--|
lama indestrea ddeiz	-|--⌫-|-----|-⌫|---|
enze luergerlen m einetiosqual rei	--|-⌫|-----||-|-⌫----|----|-|--|
la pur parolentla trai sun	-|---⌫-------|-|----⌫--|
seinzdreit	----|----|
belsiregu ene s	--|---|--⌫---⌫|
c oliaddit ma rsi lie	-⌫|-|-|--|--⌫---⌫--|
io uos ai faita lquesdelegerie	-|--|-|---|-⌫----|-|------|
quant porferir u usdemustraigrantire	----|--|----|-⌫-|--------|----|--|
guazuosendreit parcezpelss abe lines	---|--|-|----|--|--|---|-⌫---⌫----|
mel zenu alt lorquenefunt cinccenz	---⌫|-|-⌫--||-|--|-|---|---|---|
ein z demain no it en iertbele l amendise	---⌫|-----|--⌫-|-|---|---||-------|
guenesrespuntio nel desotr eimie	-----|------|-|-||------⌫-|--|
deusse luiplaist	---|-|--|-----|
abi enl euos m erci e	|--⌫-|-⌫|--|-⌫----⌫|
codistmar silies guenesparueir sacez	-|---|---⌫-----|-----|--|---|----|
en t al antai	-|-⌫--⌫--|-|
quemultuosuoeill amer	--|---|--|-----|---|
decarlemagn euos uoeilloir parler	-|---------⌫|--|-----|--|-----|
ilestmult uielzsi	-|--|---|----|-|
ads un t ensuse ́t	-|-⌫-|-⌫--|---⌫-|
men escientdos	--|------|--|
cenzan z adp assét	---|--⌫|-|-⌫-----|
partantes t eres	--|-----|-⌫---|
ad suncorsdemené d	-|--|---|-------⌫|
tan zadpris s ur sune scut	---⌫|-|---|-⌫-|--|-⌫---|
tanzriches	---|-----|
rei scunduit am endisted	---⌫|------||-⌫-------|
quantertilmaisrecreanz d	----|--|-|---|-------||
guenesrespunt	-----|------|
carlesn e stmietels	-----||-⌫-|--|---|
homkiluei teconu istreleset	--|-||---⌫||----⌫----|-|--|
que conedie tque lemperereestber	--|-|-|---⌫|--||-------|--|--|
uoss ai ne p reiserneloer	--|-⌫-|-|-⌫-----|-|---|
queplusn i a dd o nur	--|---|||-⌫||-⌫--|
ede bontet	|-|-----|
sagrantualorkilpurreit	-|----|----|-||------|
de tel barnage	-|--|------|
laddeusenlum inét	|-|---|-----⌫----|
meilzuoeltmurir queguerpirsunba rnet	----|----|----|--|------|--|--⌫---|
dis t lipa iensmultmepuismerueiller	---⌫|-|--⌫---|---|-|---|---------|
dec a rlemagneki est	-|-⌫-⌫-------|-|--|
canuz e uielz	----||----|
menes cientre douscenzanza d emielz	--|--⌫------|---|---|--|-⌫||----|
partante steres	--|-----⌫|----|
corstraueillét	---|----------|
tanzcolzad pri sde	---|---|-|---⌫|-|
l ances ed	-⌫----|||
tanzriches reiscunduiz	---|-----|---|------|
amen distiet	|---⌫------|
quantertil ma i s recreanzd osteier	----|--|-|--⌫-⌫|-------||------|
coni e rt distguenestant cumuiue t	-||-⌫-⌫-|---|-----|---|--|----⌫|
teluassa l s uzlacape delciel	--|-----⌫|-⌫-|-|---|--|---|
mu ltparestproz	--⌫-|--|--|---|
siscumpainz	--|-------|
lesyype r squ ecar les	--|-|--⌫-⌫|--⌫|---⌫--|
adtant chers	-|---|----|
fu ntle senguardes a yy mil i echeu alers	--⌫-|--⌫|--------||-|---⌫-⌫|----⌫----|
so ursestcar les qu e nuls ho mene c rent	--⌫--|--|---⌫--|--⌫|---|--⌫-|-|-⌫---|
distlisa rrazinsmerueilleenaigrant	---|-|--⌫------|--------|-|-|----|
decarlemagne kiestcanuz e	-|---------|-|--|----||
mien escientre	---|--------|
partantesteres estalét cunq uerant	--|-----|----|--|----|----⌫-----|
tanzcolpsadpris	---|----|-|---|
debo ns e spiez trenchanz	-|--⌫-|-⌫----|--------|
tanzrichesreismorz	---|-----|---|---|
uencuz enc hamp	-----|-|-⌫---|
quantier il maisdo steierrecreant	----|--|-|---||-⌫-----|-------|
co n iertdistgue nesta n tcum	-||---|---|---⌫--|--⌫-⌫|--|
u iuetrol lant	-⌫---|---⌫---|
t eluassal d ic iqu	-⌫-|-----||--⌫|-|
mult parest pr oz oliuer sis	---|--|--|--⌫-|-----|--|
liyyquecarlesaimettant	-|-|--|-----|----|---|
funtl es engu ardesayymiliedefrancs	---|-⌫-|----⌫----||-|----|-|-----|
soursestCar llesnecrenthume	----|--|---⌫---|-|----|---|
belsireguenesdist	--|---|-----|---|
marsilies lir eis	--------|-|-⌫--|
ioaitelgentplus b elen e	-|-|--|---|---|-⌫--|-⌫|
quatre cen zmiliec heualers puis auei r	-----|---⌫|----|-⌫-------|---|----⌫|
puis mencumbatre acarlles	---||-|-------||------|
guenes respun tneuu sa cestefeiz	-----|------⌫|-|--⌫||----|---|
deuospaiensmult gran t	-|--|-----|---|----⌫|
perte ia urei z	----||-⌫----⌫|
l e sse z foliete nezuosal	-⌫-⌫---⌫|----|--⌫--|--|-|
l empe reurtant lid unez	|----⌫---|---|-|-⌫---|
niaitfran ceis	||--|----⌫---|
kitot ne s	-|--|-||
en m erueilt	-|-⌫------|
par yyho s tagesque li	--|-|--⌫-⌫----|--|-|
enueiereiz	---------|
endulce f ran ce	-|----|-⌫---⌫-|
sen repaireratlire is	|-|---------|-|--⌫-|
sareregua rde	-|-------⌫--|
lerratdere r e	-----|----⌫-⌫|
iert isis nie s li	---||--|---⌫|-|
quensrollant cocr ei	----|------|-|--⌫-|
eo liu e rli proz	|-⌫---⌫-⌫|-|---|
eli curtei s	|-|------⌫|
morts untlicunte	---|-⌫--|-|----|
s ee stki meiencreit	-⌫|-⌫-|-|--|-|----|
carllesuerratsungrant	------|-----|--|----|
orguill cadeir	------|-----|
na u rat talent queiamais	|-⌫-⌫--|-----|--|-|---|
uus guerreit	--|-------|
bel sire gue nes	--|---|---⌫--|
cumfaitementpurrai rollantocir e	--|--------|-----|------|----⌫|
guenes respon tco u ossaiiobend ire	-----|------⌫|-|-⌫-|--|-|--|-⌫--|
li reisserat asmeillorsp orzdesizer	-|---|----|-|-------|-⌫--|-|----|
sare re guarde	-|--⌫--⌫-----|
au r a tdetresse imi se	--⌫-⌫-⌫|-----|--⌫|--⌫-|
iertisisni es liquensrol lant	---||--|--⌫-|-|----|---⌫---|
li r iche s	-|-⌫----⌫|
eoliue renquiil tantsefiet	|-----⌫|-|--|-|---|-|---|
yym ili efrancs	-|-⌫---⌫|-----|
cumpaignie	---------|
deuos p aiens l urenue ie zyymilie	-|--|-⌫----|-⌫-|----⌫--⌫|-|----|
une bata i llelu rirendentcil p rimes	--|----⌫-⌫--|--⌫||------|--|-⌫----|
lagent de fran ceiert bleceeeblesmie	-|---|-|----⌫-|---|-----||------|
neldiporcode s uosi e r tlamart irie	-||-|--|-|--⌫|--|-⌫-⌫-⌫|-|----⌫---|
altrebata illelurliurezdemeisme	----|----⌫---|--|-----|-|-----|
de q uel que	-|-⌫--|--|
seit roll antne stuert ratmie	---|----⌫--||-⌫------⌫--|--|
duncaure zfaite	---|----⌫|----|
gentecheualerie	----|---------|
naurez mais guere ent ut euo stre	|----|---|----|-|-⌫--⌫|--⌫---|
chipur reit faire querollant	--|---⌫---|----|--|------|
ifu s t mort	|--⌫-⌫|---|
d unc p erdrei tca rlesl e destre	-⌫--|-⌫------⌫|--⌫---|-⌫|-----|
b ra z del cors	-⌫--⌫|--|---|
siremeindreientlesmerueillusesoz	-|------------|--|-----------|-|
nasemblereitiamaiscarlessi	|----------|-----|-----|-|
grant esforz	----|-----|
teremaior remeindr eit	---|----|--------⌫--|
qu an lo t m arsiliesi	--⌫-||-⌫|-⌫------|-|
ladbaisét el	|-|------|-|
puiss icum e ncetau enirses tresors	---|-⌫|---⌫-⌫---||-⌫---|--|------|
codistmarsil ie squenparlereient il	-|---|------⌫--⌫|-|-|----------|-|
cunseilln e stproz dun t humenest	-------||-⌫-|---|---⌫|---||--|
la t r aisun meiurrezde rollant	-|-⌫-⌫----|-|-----|-|------|
corespuntguenesissiseitcumuosplaist	-|------|-----|---|---|--|--|-----|
su rlesr eliques d e	--⌫|--|-⌫------|-⌫|
s e spee m urgleis	|-⌫---|-⌫------|
la tra i s uniuratesi s enestforsf ait	-|---⌫-⌫-⌫-|----||-||-|--|-----⌫--|
unfalde stoe diout dunolifant	-|-----⌫----⌫||--||-|------|
mar siliesfaitporterunl iureauant	---⌫-----|---|-----|-|-⌫---|----|
lale ii futm a h umeteruaga n	-|--⌫||--|-⌫-⌫-⌫-||-------⌫|
coadiur étl isarrazinsesp ans	-|-|---⌫--|-⌫|--------|---⌫--|
seenrereguarde troeuetle cors rollant	-|-|---------|------|-|---|------|
cumbatratseia t r es tutesa gen t	--------|--||-⌫-⌫--⌫---|-|---⌫|
eseil poetmurra tueir ement	|-|-|---|-----⌫|----⌫----|
guenesres p u n tb ense ituos trecomant	-----|---⌫-⌫-⌫-⌫|-⌫-|--⌫-|---⌫--|-----|
atant iuin tu n spa i ens	|---||---⌫|-⌫-⌫|--⌫-⌫--|
u aldabruns	-⌫--------|
icil enuai t	---|-|---⌫|
alrei marsi liun	-|--|-----⌫---|
