alaueillede	|-|-----|-|
at e ndraimoltuolent iersfet galaad.	--⌫-⌫----|---|------⌫---|--|-----||
etilm onte maintenant	-|-|-⌫---|---------|
etl i f reredelaienz libai llierentunescuierpor	-|-⌫|-⌫---|-|-----|-|---⌫-------|-|------|--|
fair eli compaignie qui raporteraarri ereslescu	----⌫|-|---------|--|--------|----⌫---||---|
se ill ecouienta fere .	-|-|-⌫|------||---||
einsiremestgala aden t reluietyuainqui	----|-----|----⌫-|--⌫-⌫-|--|-|----|--|
liferacomp aignie ta ntqu il sac he l a uerite	-|---|----⌫-----|--⌫---|-|---⌫-|-⌫|-----|
de cestechose.	-|----|----||
etliroisbaudemagusqui	-|-|---|---------|--|
se f umis en	-|-⌫|--|-|
sonc he mi nentre luiet	--|-⌫--⌫--⌫|----|--|-|
l escu i ercheuauc habi e n deuslieues e tplusett antqu	|----⌫-⌫-|-------⌫-|--⌫-⌫|---|-----|-⌫|---|-|-⌫----|
iluintenun eualeepardeuantun her mitagequi	-|---|-|--⌫|----|--|-----|-|---⌫-----|--|
estoitou fons d un ual.	-----|-|---||-|--||
et ilresgar de uerl ermitageetuoit de ce le	-|-|------⌫-|--||-------|-|---|-|--⌫-|
partue nirunche ual ierarmé	---|--⌫--|-|---⌫---⌫--|----|
armesblanch es etuenoit sigrant	----|------⌫-|-|-----|-|----|
oir re come	---⌫-|---|
licheuax sorqoiilseoi t pooit	-|-----|--|--|-|----⌫|----|
ettintleglaiue aloignié e t	-|---|-|-----|--------|-⌫|
uintpoig nant encontre lui .	---|----⌫---|-------|--||
etilser adresceuersluisito st	-|-|-|-⌫------|---|--|-|--⌫-|
com eil le	---⌫|-|-|
uitueniret brise songlai ue sor	--|----|-|----|--|----⌫-|--|
luietlefetuoleren	--|-|-|--|----|-|
etl iblan scheualie r squilot	-|-⌫|----⌫|--------⌫-⌫|--||-|
p risadescoue r t le fie r t sidur ement	-⌫--||-------⌫-⌫|-|---⌫-⌫|-|---⌫----|
qu il l iront l esmaillesdel	-|-|-⌫|---|-⌫-|------|--|
haubercetlimetpa rmi l esp aul ese nest rel e	------|-|-|--|--⌫--||---⌫---⌫|--⌫----⌫-|-⌫|
f ertranchant	-⌫-|--------|
si lempaint	-||------|
bienc omeci l quia ssezauoitetc uer et	---|-⌫--|--⌫|--|-⌫---|----|-|-⌫--|-|
sil eporte	-|-⌫|----|
doucheuala te rreetauch a oirqu ilfist	--|-----||--⌫--|-|-|--⌫-⌫--|-|-|---|
licheualiers li os telescu dou	-|---------|-|--⌫-||---|--|
col etlidist	--|-|-|---|
si haut qu ebie nle potoire t li	-|---|--⌫|---⌫|-|--|--|-⌫|-|
escuiersmeis mesl	-------|----⌫--||
entendibien	------|---|
s irecheualie rstrop fu stes fox	-⌫--|--------⌫-|---|--⌫---|--|
etmusarz quic est escupe ndistesauostr eco l	-|-----|--|-⌫--|---|--⌫------||-----⌫|--⌫|
estotr oie za n ul homea porter s	--|---⌫---⌫||-⌫-|---||-----||
es tlimieldresch eualiers q uisoitoumonde.	--⌫|-|-------|--⌫-------|-⌫-|---|-|----||
et porlepechi equeuosiauezm	-|--|-|-----⌫|--|--||---||
enuoiacanostr es irespor prendr e en la	-----|-|-----⌫|-⌫---|--|------⌫|-|-|
ueni anceselonc le meff et .	----⌫---|-----|-|----⌫-||
et quantilaceditsi uie nta	-|----|-||-|--|-|---⌫-||
lescu ieret lidist tien uaten	|----⌫--|-|-|---|---|-||-|
etportecetes cuauserian tihesu	-|----|--|--⌫-|-|------⌫|----|
crist a u bo ncheual ierquelen	----|-⌫|--⌫|------⌫--|--|--|
apelegalaad quetulaissaso r ee nl	----|-----|--|-|------|-⌫-⌫|-⌫||
etli dique li	-|-|-|--|-|
hauz mestres lim an dequilleport.	---|------|-|-⌫--⌫-|-|-|-|---||
troueratoz dis	------|--|--|
autr esint fres	----⌫----|---|
eta utresi boncomeil	-|-⌫-----|--|---|-|
es tore n dro i te t	--⌫|---⌫-⌫---⌫-⌫|-⌫|
ceestunecho se porqoiil le d oit mol t	-|--|--|---⌫-|--|--|-|-|-⌫--|---⌫|
etlesalue dep armoi	-|-|----|-|-⌫-|--|
sitostcometuleuerras.	-|---|---|-|-|-----||
etl iuaslezlide mande	-|-⌫|-----|-|--⌫----|
sirecomentauez	---|-----|---|
uos nonque	--|--|--|
ie le sache direaucheualier qu ant ieuendrai	-|-|----|---|-|--------|--⌫--|-|------|
nomfetilne	--|--|-|-|
pueztumiesauoir	---|-|--|-----|
carcen estmiechosequ e	--|-||--|--|----|--⌫|
ondoiedireatoi neahometerrien	-|---|---||--|-||---|------|
et p orc eten	-|-⌫-|-⌫||-|
couientil sofrir	------|-|-----|
queie te coman t f a i.	--|-|-|-----⌫|-⌫-⌫||
uas lezp uisqueuos	---⌫--|-⌫-----|--|
uos t renon nemedir oiz	---⌫-⌫-|--|-|-|---⌫--|
ieuospri etconiur	-|--|--|-|-----|
parl a rie ns e l	--|-⌫|---⌫-|-⌫|
mondequeuospl us	----|--|--|--⌫-|
amez queuosmedio iz l aue rite decest escu	---|--|--|-|---⌫-|-⌫|--⌫---|-|---|---|
il fuaport ezences te terr e etpor	-|-|-----⌫-|-|---⌫-|----⌫|-|--|
qoitantesmerueillesenso ntauen ues	--|-----|---------|-|--⌫-|----⌫--|
car onqueshoma nostrete nsne	--|-----|--||-----|--⌫-|-|
lepotpendrea	-|--|-----||
nen mes cheist.	|-|---⌫-----||
tantmen asconiure ́fetlicheualiers	---||-|-|-------⌫|--|-|---------|
letedirai.	-|-|----||
me s ceneser am ie atoi	--⌫|-|-|---⌫|-⌫-||--|
s eula inzuu elque tuiam oin eslecheualier	-⌫--|-⌫--|--⌫-|--|-||--⌫---⌫-|-|--------|
porterasles c u .	-------||--⌫-⌫||
et cildistquece	-|--|---|--|-|
fera ilbien .	---|-|---||
mesou uosporr onsnos fe ti ltrouerquantnos	--|-|--|----⌫--|--|--⌫|-⌫|-----|----|--|
ue ndronsces tepa rt	--⌫-----|---⌫-|--⌫-|
ences teplacemeismes	-|---⌫-|----|------|
troueroi z.	--------⌫||
lorsuient liuasl ez	---|----|-|----⌫-|
auroi baudema guet l i dem an deseilestmolt	-|--|-------⌫-|-|-⌫|---⌫--⌫-|-|-|--|---|
bleciez o ilcer tes	------|-⌫-|---⌫--|
fetli roissidurementque	--|-|---|-|-------|--|
ie nen puis eschapers anz	-||-|---|-------|-⌫--|
uosfetilcheuauc h ier	--|--|-|-------⌫-⌫--|
et il dist quil	-|-|---|-|-|
s iessaie r a.	||------⌫-⌫||
sisedrece si	-|-|----|-|
naurezcomeil estoitetliua sl e zliaide	-----|---|-|-----|-|-|--⌫--⌫-⌫|-|---|
tantquilsont uenu a u	-----|-|---|---|-⌫|
cheual dontli	-----|---|-|
roise stoi tchauz .	---|-⌫----⌫|----||
simonteliro isdeu ant	-|----|-|--⌫-|---⌫--|
etliuasle zderriere p ortenir lepa rmi	-|-|-----⌫|-------|-⌫-|----|-|--⌫--|
l esflanscari l cuid e	-⌫-|----|--|-⌫|----⌫|
il c haistautremen tet sifeist	-|-⌫----|--------⌫|-|-|----|
il sanzfaille.	-|---|-----||
entel maniere separtirentildela	-|--|------|-|--------|-|-|-|
placeo uliroisotesté naurezet cheuauchierenttantqu	----|-⌫|-|---|-|----|-----|-|-------------|-----|
ilsontuenual	-|---|---|||
abe iedo nt ilsestoientpart ima intenant .	---⌫-|--⌫-|-||-------|----⌫|--⌫-------||
etquantcildelaienzsorentqueil reuenoient	-|----|--|-|-----|-----|--|-|---------|
s ilorsaillirentalencontre	-⌫|--|---------|||-------|
et descenden t le	-|---------⌫|-|
roibaude mag us e tlenmeinent en unechambre	--|-----⌫---⌫-|-⌫||-|------|-|--|------|
etsefontprendregardedes aplaiequi ass ez	-|-|---|------|----|-|-⌫|----|--|---⌫-|
estoit g rant	-----|-⌫---|
etme rueille use.	-|--⌫-------⌫--||
e tgalaaddemande aundes freres quis	-⌫|-----|------||-|--|-----|--||
enentr emetoit	-|----⌫------|
sire cuidiezuosqui l puist garir	---|------|--|-|-⌫|----|----|
caril mesemblequec eseroitdomag e s	--|-|-|-----|--|-⌫|-----|-----⌫-⌫|
trop granz seilp orces teauenturem oroit.	---|----|-|-|-⌫-|---⌫-|-------|-⌫----||
sire fet lifreresilen eschaperasedieu	---|--|-|-----|-|-|--------|-|---|
mes ieuos diquil	--|-|--|-|-|-|
est molt durementnaurez	--|---|-------|-----|
et si nelen	-|-|-||-|
doit l enmietropplaindre.	---|-⌫-|--|---|-------||
li auion s	-|-----⌫|
bi en dit queseil lescu empo rtoitque	--⌫-|--|--|-|-||---|----⌫----|--|
ill en m escherr oit	-||-|-⌫-------⌫--|
emportasornostredeffensdontilsepuettenirpor	------|--|-----|------|---|-|-|---|----|--|
et quantcild e	-|----|--|-⌫|
l aienz liorent f et	-⌫----|-|----|-⌫-|
tot cequils orentde	--|-|-|-|-⌫----|-|
bi en liuallez dist	--⌫-|-|-----|---|
agalaad uoia nt	|-----|----⌫-|
touzcels d elaplaces ire	---|---|-⌫|-|----|-⌫--|
salu zuosmande libons ch eualiersasar mesbla nches	----⌫|--|----|-|---|--⌫-------|-|--⌫--|---⌫----|
cil parq uiliroisbaudemagus funaurez	--|--|-⌫-|-|---|---------|-|-----|
et uo senuoiecestescu	-|--⌫|-----|---|---|
mande que uosleportoizde sorem esdepar	----|--|--|-|------|--⌫-----⌫-|-|--|
le hautmestre.	-|---|-----||
carilnest ore nussi co m e	--|-||--|--|--|-|--⌫-⌫|
ildistf ors u osseulsqui le	-|---|-⌫--|-⌫-|----|--|-|
doiepo rter .	---|--⌫---||
etporcele uosa	-|--|-|-|--||
ilenchargiéque iele uos	-|---------|--|-|-|--|
baillasse .	--------||
etseuosu olezsauoir	-|-|--|-⌫---|-----|
dontcesgranzauentures	---|--|----|--------|
sontpartantes	---|--|-----|
foiz auenuesalons alu i entremoi	---|------|----||--⌫|----|--|
et uos etillenoscontera	-|--|-|-|-|--|------|
careinsilemailpromis .	--|----|-|||-|-----||
q uantlifrere	-⌫---|-|----|
oient ce sten ouele	----|--⌫--|-⌫----|
sisumel i entm olt uersgalaadetdien t qu e beneoite	-||----⌫-⌫--|-⌫--|---|-----|-|----⌫|--⌫|-------|
soitfortun equi cestepartl	---|------⌫|--|----|---||
aamené caror	|-----|--|-|
bienque lesg ranzauenturesperilleuse s	---|--|--|-⌫---|--------|----------⌫|
serontmeneesafin.	-----|-----||--||
et yuains li	-|-----|-|
au oltresdit messi regalaadmetezauostre col	--⌫-----|--|--|--⌫-|-----|----||-----|--|
cel escu quionquesne f ufezsep oruos	--|---|--|-----|-|-⌫|--|-|-⌫-|--|
si seraa uquesma	-|---|-⌫----|-|
uolen te ac ompliec arcertes	-----⌫-|--⌫-----|-⌫-|-----|
ienedes irraionq uesmesa utantchose queie	-|-|---⌫----|---⌫--|--|-⌫----|----|--|-|
ueiss eco me i efeso ieaconoistr e l e	-----⌫|--⌫-|-⌫|----⌫-||--------⌫|-⌫|
b oncheualierqu i dec estescuporteroit	-⌫-|--------|--⌫|-|-⌫--|---|--------|
laseignorie.	-|--------||
etgal aadresp ont qu il	-|---⌫--|----⌫--|-|-|
ason col pu isqu il	|--|--|--⌫---|-|
liestenuoiezmesilu eltancois queses armes	-|--|------|--|-|-⌫--|-----|--|--|----|
so ientaportees	--⌫---|-------|
s ilesdeman de etlen	-⌫|--|-----⌫-|-|--|
lia por te .	-|-⌫---⌫-||
ilestarmezetmonte z	-|--|----|-|-----⌫|
en sonche ualsipent	-|--|---⌫--|-|---|
lescu ason coletse	|---||--|--|-|-|
partdelaienzet coma nde les	---|-|-----|-|----⌫--|--|
fr eresa dieu.	--⌫---||---||
etyuainsliauo ltress e refu	-|-----|-|---⌫----|-⌫|---|
ar mez etm ontezens on ch e ualet dist	--⌫--|-|-⌫----|-|-⌫-|--⌫-⌫--|-|---|
qu ilferoi tc ompaigniea	-|-|-----⌫|-⌫--------||
l i respondi que ce nep ooit es tre	-⌫|-------|--|-|-|-⌫---|--⌫--|
c ariliroittozseul sfors	-⌫-|-|----|--|----⌫|---|
douuaslet .	--|-----||
sisep artenteinsi li	-|-|-⌫-----|----|-|
lautreett intchascuns	|----|-|-⌫--|-------|
s is embat yuain s	-⌫||----|-----⌫|
en une forest	-|--|-----|
etlecheualier as	-|-|--------|-|
galaad etliuaslezseuonttant quiltroueren tle	-----|-|-|-----|-|---|----⌫-|-|--------⌫|-|
cheualiera sarm es blan chesque	--------|-⌫|---⌫-|----⌫---|--|
liuaslez auoitaut refoiz	-|-----|----|---⌫-|---|
et qu antil uoit uenir	-|--⌫--|-|---|----|
galaadsi li uie nta	-----|-|-|---⌫-||
le ncontreetlesa lueetil	|-⌫------|-|-|--⌫--|-|-|
son saluaupluscortoisementquilpu et.	--|---|-|---|-----------|-|-|--⌫-||
sisentr acointen te t parol ent	-||----⌫--------⌫|-⌫|-----⌫--|
liunsalautre ett antquegalaaddist au	-|--|||----|-|-⌫-----|-----|---|-|
cheualiersirepar c estescu qu e ie	--------|---|--|-⌫--|---|--⌫|-|
portsont maintesauenturesmerueilleus esaue nuesen	---|---|------|--------|-----------⌫-|---⌫---|-|
sicomiaioidire	-|--||-|-|---|
siuo suoudroieprie r p aramoret par	-|--⌫|-------|----⌫|-⌫-|---|-|--|
franchisequ e uosm en	--------|--⌫|--||-|
deissiez laueriteetcoment e t	-------|-|-----|-|-----|-⌫|
porcoi cees tauenu	--|--|-|--⌫|----|
cariecroibien q ue uos lesachiez	--|-|---|---|-⌫-|--|-|------|
ce rtessirefetli cheualiers	--⌫---|---|--|-|---------|
ie leuo sdir aiuo l entierscarie	-|-|--⌫|---⌫-|--⌫-⌫------|--|-|
ensaibienlauerit e.	-|--|---|-|-----⌫||
orescoutezsilu osplai stgalaadf et	-|-------||-|-⌫-|----⌫-|-----|-⌫-|
licheualiers.	-|---------||
i lauint empresl a passio nihesu	-⌫|----|-----|-⌫|------⌫|----|
cris tyy ans queiosephdarima cie	----⌫|-|--|--|-----||-----⌫--|
lige ntix c heualiers quidespendi	-|--⌫---|-⌫--------|--|-------|
nostres eignorde lasa in teueraie croix s eparti	-----|-⌫-----|-|-|--⌫--⌫-|-----|----|-⌫|----|
citedeiherusalementre	---|-|---------|----|
lui e tgra ntp arti ed es onp arente .	--|-⌫|---⌫-|-⌫----⌫|-⌫|-⌫-|-⌫-----||
ettanterrerent quantilsefure nt mi sal a	-|---|-------|----|-|-|----⌫-|--⌫||-⌫|
uoiepa rle	---|--⌫|-|
comandementn ostre sei gnorqu	----------|-⌫----|---⌫---|-|
iluindrenten la	-|-------|-|-|
citedesarraz qu e li roisewalach	---|-|-----|--⌫|-|---|------|
quilors estoitsarrazins	--|---|-----|--------|
etacelten sque iosephu inta	-||--|---⌫|--|-----|-⌫--||
sarra zauoitewalachgue rreaunsie nuoi sin	-----⌫|----|------|---⌫--||-|---⌫|---⌫--|
etpuiss ant	-|-----⌫--|
quima rch issoitasaterre	--|--⌫---⌫-----||-|----|
icilroisape leztholo mers.	---|---|---⌫--|-----⌫---||
ewalach s efu apr est ezpor alersortholo merqui	------|-⌫|-|---⌫---⌫-|--|---|--|-----⌫--|--|
saterr e lidemandoi tiosephesli filzioseph	-|----⌫|-|--------⌫|-------|-|---|-----|
distqu e seil aloit	---|--⌫|-|-|----|
enla bataille	-|-|-------|
sidesconseilliezcomilest oitil	-|-------------|--|-|---⌫--|-|
seroit desconfizethoniz pa rs on ane mi.	-----|--------|-|----|--⌫|-⌫-|---⌫-||
me n loezuos	|-⌫|---|--|
fe t e walach .	--⌫|-⌫-----||
ceuos dirai ieb ien	-|--|----|-|-⌫--|
lors l icomenceatr ere l e spoinz	---|-⌫|------||--⌫--|-⌫-⌫|----|
delan oue le	-|-|-⌫---⌫-|
l oi etlauer itedeleuangileet delcrucefiement	-⌫-|-|-|---⌫--|-||-------|-|--|-----------|
nost re seig no r.	----⌫-|----⌫--⌫||
etdelresuscitementli dist	-|--|------------|-|---|
il laue riteet lifist aporter unes c u ou	-|-|--⌫---|-|-|---|------|-|--⌫-⌫|-|
il fistunecroiz de cendal etl i distrois	-|---|--|----|-|-----|-|-⌫|---|---|
ewalachorte mostrer aiapertementcomenttu p orrasconoistrela	------|-|-|-------⌫-|---------|-----|-|-⌫----|--------|-|
forceetlauertudel	----|-|-|----|--|
u eraicrucefié.	-⌫---|--------||
il estuoirs que th olomersl i	-|--|----|--|--⌫------|-⌫|
fuitisau raseignoriet roisi orsettrois nuiz	-----|--⌫-|--------|-⌫---|-⌫--|-|----|---|
ettantfer aqu iltemenraa	-|---|---⌫|-|-|-|----||
poor d emort .	---|-⌫|---||
mesquanttu necuideraspasquetu	--|----|-|-|-------|--|--|-|
enpu isseseschaper l ors	-|--⌫----|-------|-⌫--|
descoe u relacroize tdi biau sirediex decui	------⌫-⌫-|-|----|-⌫|-|---|---|---|-|--|
mort ieport lesi gnegitezmoid ecest peri l	---|-|---|-|--⌫--|----|--|-⌫|---|----⌫|
etconduisiez sai n etsaufa	-|---------|---⌫|-|---||
receu oiruostrefoietuo s tre creance .	-----⌫--|-----|--|-|--⌫-⌫--|------||
atan ts en	----⌫||-|
partili r ois etalaaost sort holomer .	----|-|-⌫--|-|--||--|--|-⌫------||
auin ttoteinsi	----⌫|--|----|
com iosephes li d i st	--|-------|-|-⌫-⌫-|
etquantil seuit entelperil que	-|----|-|-|--|-|--|----|--|
il cuidoit ueraiementm oririldescourisonescuet	-|------|---------|-⌫---|-|-------|--|---|-|
uitoumileuu nhomecrucefié quitoz	--|-|----|-⌫|---|--------|--|--|
estoit sangl enz.	-----|-----⌫--||
s idistl esparol esq ueiosephes lio t en se i gnieesdont	-⌫|---|-⌫-|-----⌫-|-⌫-|-------|-|-⌫|--⌫--⌫-⌫-----|---|
il o t uicto ireetho nor etfugitezdes	-|-⌫|-----⌫--|-|--⌫--|-|-|----|--|
mains ases ane mis etuint audesu s d e	----||--|---⌫--|-|---|-|----⌫|-⌫|
tholomer etde toz	-------|-|-|--|
se shom es .	--⌫|---⌫-||
et quant ilfuuenuza saci te desarras	-|----|-|-|----||-|--⌫-|-|-----|
sidist ato ut le	-|---||--⌫-|-|
pueple la ueriteque ilott roue een	-----|-|-----|--|-|-|-⌫----⌫|-|
iosepheetm an ifestatant l estre delcruc efiéquena sciens	------|-|-⌫--⌫-----|---||----|--|----⌫----|--|--⌫-----|
re cut bap tesme .	--⌫--|---⌫----||
ete ncequ illecres ti e nno i ent auint	-|-⌫|-|-|-|-|----⌫--⌫-⌫---⌫-⌫--|----|
queunshon spassoitpardeuant	--|--|---⌫|------|--|-----|
auxquia uoitlepoing c ou péet	--|--|-⌫---|-|----|-⌫--⌫--|-|
portoit sonp oin g enl	------|--|-⌫---⌫|-||
autremain.	----|---||
e tiosephesl	-⌫|-------||
ap elaasoi	--⌫--||--|
ets ito st comi l	-|-⌫|--⌫-|--|-⌫|
o ttou chi éala croizqui	-⌫|---⌫---⌫-||-|----|--|
e nl e scuestoit	-⌫||-⌫--|-----|
si setrouacilgarizdou p o i ngqu	-|-|----|--|----|--|-⌫-⌫-⌫-|-|
ilauoit per du.	-|----|---⌫-||
etencoreenauintil une a uenturemoltmerueill euse.	-|-----|-|----|-|--|-⌫------|---|--------⌫---||
croizquien l escuestoi ts e n	----|--|-||---|-----⌫||-⌫|
partietsaerdi aubrazd e	----|-||----|-|---|-⌫|
celuientelmanierequepuisne	----|-|--|------|--|---|-|
futueueen lescu	--|---|-||---|
lorsrecut ewalachbaptesmeet	---|----|------|-------|-|
d euintserianzihe su	-⌫----|------|---⌫-|
otpuisihesu crist en	-|---|----|----|-|
grantamorete ngrant reuerenc e	----|---|-|-⌫|----|--------⌫|
etfistg arder lescumol tch ierement.	-|---|-⌫----||---|---⌫|--⌫-------||
apresauintqua ntiose phes se	----|----|---⌫-|----⌫---|-|
fupartizdesarrasentre lui ets onpe re	-|-----|-|-----|----|--|-|-⌫-|--⌫-|
etilfurent u enu enlagrantbretai ng ne q uil	-|-|-----|-⌫--|-|-|----|------⌫--⌫-|-⌫|-|
trouer entun roi fellonet cruelq uiambedeus	------⌫--|-|--|-----|-|----|-⌫-|-------|
lesemprisonnaetauecels grantpart ie	--|---------|-|---|--|----|----⌫-|
dec restien s.	-|-⌫-------⌫||
quant iosephesf uempri sonnez	----|-------|-⌫|-----⌫-----|
tostenala loin glanouelecaralor s n	---|-|--|----⌫|-|-----|--|----⌫||
auoi thomeoumon dedeg reignor	----⌫|---|-|---⌫-|-|-⌫------|
re nommeeettan tqueliroismordra in s enoi parler.	--⌫-----|-|---⌫---|-|---|------⌫--⌫|-|-|-----||
sise mons t seshom eset ses	-|--⌫----⌫|--|---⌫-|-|--|
genzentreluiet n asci en sonserorgeet	---|----|--|-|-⌫----⌫-|--|------|-|
s en uindrent en lagr antbretaigne sor	|-|-------|-|-|--⌫--|--------|--|
celuiqu iioseph etenoit enprison	----|--⌫|------⌫|-----|-|-----|
etlede serit erent	-|-|--⌫-----⌫----|
co nfondirenttozcels doupais	--⌫---------|--|---|--|---|
siq ue en la terrefu espandue sain te	-|-⌫-|-|-|----|-|-------|----⌫-|
crest ientez.	-----⌫-----||
etilamoie nttant i osepheque	-|-|-----⌫-|---|-⌫-----|--|
il ne partirentpui s	-|-|--------|---⌫|
ai nzremestre ntauec luietle	--⌫-|--------⌫-|---|--|-|-|
siuoientpartozlesleusou il	-------|--|--|--|---|-|-|
et q uantiosephesuinta ulit	-|-⌫---|-------|---|-⌫|--|
ewalach conutqu illeco uenoi t	------|----|-|-|-|--⌫-----⌫|
a par tirde c est siecl e	|---⌫--|-|-⌫--|-----⌫|
il uintdeua ntluie t	-|---|----⌫-|--|-⌫|
plora mout ten drementet distsirep uisqueuos melessiez	----|---|---⌫------|-|---|---|-⌫-----|--|-|------|
orrema indraiietoz seus	-|----⌫-----|-|--|---|
enc estpaisquipor amorde	-|-⌫--|---|--|--|---|-|
uosauoi e ma terrelessiee etla	--|----⌫|-|----|------|-|-|
pordieu pu isquiluoscouien tdepartirde cestsiecle	--|---|--⌫---|-|--|------⌫|-------|-|---|-----|
l essie zmoi deuosaucunes	-⌫-----⌫|--|-|--|------|
enseignesqui	--------|--|
mesoientapr esu ostr e mor tremembran ce.	-|-----|---⌫-|-⌫----⌫|---⌫|---------⌫-||
siredistiosephesce	---|---|-------|-|
u osdiraiiebien.	-⌫-|----|-|---||
sicomencaapenser quei l	-|------||-----|--|-⌫|
liporroitlessier.	-|------|------||
etquant ilot	-|----|-|-|
grantpiecepensé sidistroise w alachfai	----|----|-----|-|---|---|-⌫-⌫----|--|
moi apo rt er	--|---⌫--⌫-|
ic i icel es cu q ue ie tebaillai quanttu	--⌫|---|--⌫-|-⌫-|-|-|------|----|-|
alasen labataillesortholomer .	---|-|-|-------|--|-------||
et l iroisd istquesi	-|-⌫|---|-⌫--|--|-|
fe roit iluolentierscari l estoit pr esd ile ccome	--⌫---|-|---------|--|-⌫|-----|--⌫-||---⌫|---|
ilfesoitport e r o soi enquelquel eu que	-|-----|----⌫-⌫||--|-|------|-⌫-|--|
sifistdeuant iosephe aporte r	-|---|-----|------|------⌫|
acelpointque l iescuzfu ap orte z	|--|----|--|-⌫|----|-|--⌫----⌫|
deuantio sepheauintqueiosephessaignoit moutdurem ent parmi	-----|--⌫----|----|--|-------|-------|---|-----⌫--|----|
lenes si ne poo itestr e	-|--|-|-|---⌫-|----⌫|
estan c hiez.	-----⌫-⌫---||
pristtantos tlesc u etif istde	----|------⌫||---⌫|-||-⌫--|-|
sonsancmeismecele croizq ueuos	--|---|-----|---|----|-⌫-|--|
uee z ci etbiensachiezque	---⌫|-|-|---|------|--|
ce esticel escumei s mes queie	-|--|---|---|---⌫-⌫--|--|-|
etquant ilotfete	-|----|-|-|---|
la cr oiz te lecomu osla poez ue oiril li	-|--⌫--|--⌫-|--|-⌫-|-|---|--⌫--|-|-|
distue ez ci lescuqueieuos	---|--⌫-|-||---|--|-|--|
lese n reme mbrancedemoi	--|-⌫|----⌫------|-|--|
cestescu neuerroiz	---|---|-|------|
doie souueni r demo i car	---|-------⌫|-|--⌫|--|
u ossauezbienquece st ecroiz	-⌫-|----|---|--|--⌫--⌫|----|
est fetedemonsancsi	--|---|-|--|---|-|
se ratoziorz mes ausi	--⌫-|--|---|--|---|
fr e scheet ausi	--⌫-⌫---|-|---|
uer meillecomuoslapoezueoirorend roittantco m	---⌫-----|--|--|-|---|----|-----⌫---|---|--⌫|
liescuzdurra .	-|----|----||
neilnef audramietostporcequeiame s	-|-|-|-⌫----|--|---|--|-|--|----⌫|
pe ndranu s a soncolpor qui l soit	--⌫---|--⌫||--|--|--|-|-⌫|---|
cheuali ersqu il nesen rep enteiusquatantquegalaad	-------⌫--|-|-|-||-|---⌫---|----|-------|-----|
libonscheual iers li d ar reein sdoulignagen as cien le	-|---|------⌫---|-|-⌫--⌫-----⌫|--|------|-⌫--⌫---|-|
pendraason	-----||--|
et p orcenesoit nustanthardizqui	-|-⌫-|-|-|---|--|---|-----|--|
asoncollepende	|--|--|-|----|
se ci lnon a quidiex la destiné .	-|--⌫|--||--|---|||-------||
tele ach a isonquetoutausi com eenl	---|---⌫-⌫---|--|---|---|---⌫|-||
escuontesté ueuesme ru eillesgraindresqu e	---|--|----|----|--⌫--⌫-----|--------|--⌫|
tou t ausiuerr alen	---⌫|---|----⌫|--|
plusmerueilleuseproeceetplushauteuie	---|-----------|-----|-|---|----|--|
enau tr e cheual ier .	-|--⌫--⌫|------⌫--||
p u isqu il est ei nsifetliroisq ueuo ssi	-⌫-⌫---|-|--|--⌫--|--|-|---|-⌫-|--⌫|-|
bone rem em br ance de uos me l airezorme	---|---⌫--⌫--⌫---|-|--|-|-⌫----|-|-|
ditess iluos	----||-|--|
plest ou ie l ai rece st e scu.	----|-|-|-⌫--⌫-|--⌫-|-⌫--||
uoldroiemoltquilfust misentelleu ou	-------|---|-|-|---|--|-|--|--|-|
c heualier sletrouast	-⌫--------⌫|-|------|
d on cuosdir aiiedist ioseph esque	-⌫--⌫|--|---⌫-|-|---|------⌫-|--|
uos fero iz .	--|----⌫-||
laouu o suerroizqu e nas cie n sseferametre	-|-|-⌫-⌫|------|--⌫|---⌫---⌫-⌫|-|---|----|
empres samortsimet ezlescu car ilec	-----|-|---|-|---⌫-||---|--|---|
uendralib onscheualiersau	-----|-|-⌫--|---------|-|
c inqu iemeiorquil aurareceulo rd rede	-⌫----⌫---|--|-|-|---|----||-⌫--⌫-|-|
c heuale rie.	-⌫------⌫--||
auenu co meil le dist	----|--⌫-|-|-|---|
carau cinqu i emeior ap resce	--|-|-----⌫-⌫--|--|--⌫--|-|
que uosfustescheual iers uenistesuos enc el e abei e ou	--|--|-----|------⌫---|-------|--|-|-⌫--⌫|----⌫|-|
nasciensg ist .	-------|-⌫--||
ore contép or quoiles gr anz	--|-----|-⌫-|---|--|--⌫--|
aue nturessonta uenues ascheu alierspleins	---⌫-----|---|-⌫-----|-|----⌫-----|-----|
d efolhar dem e n t	-⌫|--|---⌫---⌫-⌫-⌫|
quisorcestuideff ensenu olo ient	--|--|-----|----⌫--|-|-⌫---⌫---|
escuquia nuluines toito troi ezfors	---|--||----||--⌫---|-⌫----⌫-|---|
etquanti lot ce	-|----|-⌫|-|-|
con tésis esuanoi entel	---⌫--|-||------|-|--|
manie req u e onquesg alaad	-----⌫-|-⌫-⌫|-----|-⌫----|
ne sotqu ilestoitdeuenuzne	-|--|-|-|-----|------|-|
que lp artil estoittornez .	---⌫|-⌫--|-|-----|-----||
etq uantli	-|-⌫---|-|
uasl e z quiilec estoitotoie cest eau entu resi	----⌫-⌫|--|---|-----|-|--|----⌫|--⌫----⌫-|-|
