Quenul senblant	--|--|-------|
auoirser t	-----|--⌫|
Tr i stransNe n crerramais	--⌫-⌫-----||-⌫|-----|---|
Corneualans	----------|
Ordi tli r ois	-|--⌫|-|-⌫--|
ala r oïne	|-|-⌫----|
Conmelefelonnain	----|-|----|---|
Out anonciéleparl em ent	--|-------|-|----⌫--⌫--|
Et co me l pin	-|--⌫|-⌫|--|
plus hautem ent	---|------⌫--|
monterpor eus uoier A	-----|--|--|----||
lorasenblement leso ir	--|----------|-|--⌫-|
Sireestïezuosdonc elp inOïldamepar saint	---|------|--|---|-|-⌫-|---|---|--|----|
iotparoledite	|-|-----|---|
Gen oïsegrantnepetite	-||----|----|-|-----|
Tris tranretr air e	----⌫---|----⌫---⌫|
La batallequeli	-|------|--|-|
Pitiéenoipetitfalli	-----|-|-|----|----|
Quede larbr e	--|-||----⌫|
iusne chaï	--|-|----|
ieu os oïretraire	-|-⌫-|--|-------|
Lemalqe nmer liestut t raire	-|--||-⌫|--|-|----|-⌫----|
De laserpentdont le	-|-|------|---|-|
Etl esgransbi ens	-|-⌫-|----|--⌫--|
quelifeïstes	--|-|-------|
Etqua nt iluosrequistquitance	-|---⌫-|-|--|------|-------|
De sesgages sioi	-|--|----|-|-|
N eliuo sistesaquiter	-⌫|-|--⌫-----|------|
Ne lunde uosl	-||-|-|--||
aut reabiter	---⌫-|-----|
Pitié menp rist anl	-----||-|-⌫---|-||
Souefm enri ssi nenfisplus	----||-|--⌫|-||-|--|---|
m es tmotbu en	|--⌫|--|--⌫-|
Orsauezbiencertainement	-|----|---|-----------|
M otau io nbeleloisor	-⌫-|--⌫--⌫|---|-----|
Se ilmam a std efole	-|-||--⌫-⌫-|-⌫|---|
Asezen ue ïsiezsen blant	---|-|--⌫-----|---⌫----|
Ain zparma	---⌫|--|-|
f o i netant nequa nt	-⌫-⌫|-|---|-|---⌫-|
Ne ue ïstesq uilm	-|--⌫-----|-⌫|-||
Nemespreïstneme bai sast	-|---------|-|-|---⌫---|
Biensenblecechose certaine	---|-----|-|----|-------|
Nemamotpas	-||---|--|
d amoruilaine	|---|------|
Siresorne nosueïs iez	---||-|-|--|-----⌫--|
C ertesnenosencreïsiez	-⌫----|-|--|-|--------|
Deuienonli	--|-|--|-|
roisresp o nt	---|----⌫-⌫-|
Bre ngainq ue	---⌫----|-⌫-|
Dexa n orte dons t	--|-⌫-⌫-|-|----⌫|
neuouaal ostel	---|-|||----|
ditouunou el	--|-|-|-|-|
Ou n iuel leuenirpor toi	-|||---⌫-|----|--|--|
Di ie lima nt	-|-|-|--⌫-|
qu il uiengeamoi	-|-|-----||--|
Bren gain lidit	----⌫---|-|--|
S ireil mehet	-⌫--|-|-|--|
Siestagrantto rt	-|--||----|--⌫-|
Ditparmoiest meslezouo z	--|--|--|--|-----||--⌫|
meue u ttot	-|--⌫-⌫|--|
a e stros G ira iporuos	|-⌫----||---⌫|--|--|
le laise ra	-|-----⌫-|
Bien tost qu ene meto chera	---|---|--⌫|-|-|--⌫----|
Deua cor dezmi	--|-⌫---⌫--|||
Quan tilsera uenuici	----⌫|-|---|---|--|
Oie zquedit latric herresse	---⌫|--|--|-|----⌫-------|
Mot fistquebone le c herr esse	--|---|--|---|--⌫-⌫----⌫---|
Loresgab oitaesscïent	----|---⌫--||--------|
plai g n oit d e	----⌫-⌫-⌫--|-⌫|
Ro ispor l iuoiscedist	--⌫-|--|-⌫|---|-|---|
Bre ngai n	---⌫----⌫|
Acordezmisi ferez bien	------|||-|----|---|
respon tGi	------⌫|||
metr aipaine	----⌫-|----|
u atos t porocet ça l	-⌫|---⌫|----|-|--||
enris tetli rois	-|---⌫|-|-|---|
Brengains en istle ssauzpar l	-------||-|--|--⌫|---|--||
Tristrane stoitalaparoi	-------|-⌫----||-|----|
Bi en lesoietpar ler au r oi	--⌫-|--|---|---⌫--|-|-⌫-|
Brengainapa rl esb razsaisie	-------||--⌫|-⌫-|-⌫--|-----|
D euenmer c ie D	-⌫-|-|---⌫-⌫-||
or enauant auraloi sirD	-|-|----|---|---⌫--||
Yse ut as onpl ai s ir	---⌫-||-⌫-|--⌫--⌫-⌫-|
Bren gai nmist	----⌫---⌫|---|
Tristr an araison	------⌫-||-----|
S irelaienzensa	-⌫--|-----|-|-|
m ai sonAli roisgra ntraisontenue	-⌫--⌫--||-|---|---⌫-|-----|----|
etdetachi eredrue	-|-|-|---⌫--|---|
Pard onétason mautalent	----⌫---|||--|--------|
Orhetceus q uiteuontmeslant	-|--|---|-⌫-|-|---|------|
Proïe maque uiengea toi	-----|||--|-----||--|
q ueireasuersmoi	-⌫-|--|-|---|--|
Fai gran tsenblantdetoiproier N i	--|----⌫|-------|-|--|-----|||
uenirmie delegier	----|--|-|-----|
rois faitde	---|---|-|
moiproiere	--|------|
Fai p arse nblant mau uese chie re	--|-⌫-|--⌫-----|---⌫---|----⌫-|
Tristranlacolesi la bei se	-------||----|-|-|---⌫-|
Lie zest queor e ra son esseA	---⌫|--|--|--⌫|-|--|---||
la chanbrepa int esenuont	-|------|--⌫---⌫||-|---|
Lao uliroiset	-|-⌫|-|---|-|
Tris tran est enla	----⌫---|--|-|-|
chanbreentrez	------|-----|
Ni és faitliroisauan t uenez	--⌫--|---|-|---|----⌫|----|
Ton ma u talentquitea	--|--⌫-⌫-----|----||
pardorr aile mi en	-------⌫-|-|--⌫-|
O ncle chierssireor	-⌫---|-----|---|-|
Legirementuos defende z	---------|--|-------⌫|
u ersm oiqui	-⌫--|-⌫-|--|
cemauezmis sure	-||---|--|---|
Dontlimien	---|-|---|
co relu entrepleure	--⌫|-|-⌫----|-----|
Sig ran t desroite l felonie	-|-⌫---⌫|-----|--⌫|------|
Dannez s eroie etel	-----|-⌫----|-|-|
Ainz n upensames	---|-⌫|-------|
Orsauezbienqueciluo s he t	-|----|---|--|--|--⌫|--⌫|
Quitef ai tcroiretel	--|-|-⌫--⌫|-----|--|
meruel leDor en auantm e uxte	------⌫-||-|-|----|-⌫-⌫-|-|
Nepo rtëire alaroïneNa moi	-|--⌫---|--||-|-----|||--|
q uisuideuo streorine	-⌫-|--|-|--⌫---|----|
Nonferaiie beaus	--|----|-|----|
Acordeze st	------|-⌫-|
Tristr anauroi	------⌫-|-|--|
Liro isliadoné congié D estrea	-|--⌫-|-||----|------||----||
lac han breesle uoslié	-|-⌫---⌫--|-|-|--|---|
Tristra n ua it alach anbreet uient	-------⌫|--⌫-||-|--⌫----|-|----|
N ul ecureliroisnenti ent	-⌫--⌫|---|-|---||-|--⌫--|
Dexqui puetamor tenir	--|--|---|---|----|
deussanzdescou rir	---|---|------⌫--|
Cara morsnese	--|-⌫---|-|-|
p uet ce ler	-⌫--|--⌫--|
Souen tcl inelunuers so nper	-----⌫|--⌫--||-|---|--⌫|--|
Soue ntuienent aparlement	----⌫-|------||--------|
etuoiantge nt	-|-----|--⌫-|
Partot ne pu ̈ent aiseate nd re	--|--|-|--⌫---|---|---⌫--⌫-|
Mai ntparlemen tlorestu et prendre Ala cortauoittrois	---⌫-|--------⌫|--|----⌫-|------||-|---|----|----|
Ainz ne ueïstes p lusfelons	---|-|-------|-⌫--|-----|
Par so ir em ent sestoient	--|--⌫--⌫--⌫--||-------|
Quese lirois	--|-|-|---|
deson païsN enfaisotson n euopartir	-|--|----||-|-----|--|-⌫--|-----|
Il n uuoudroientm ai s	-|-⌫|---------|-⌫--⌫|
sou frirA lor	---⌫---||--|
ch as teaussus s en	--⌫--⌫----|--||-|
t rairoient	-⌫--------|
Mar cgerreferoient	---⌫|----|-------|
Qarenung ar din	--|-|-|-⌫--⌫--|
soz uneente	--|--|---|
Yseu tlagente	----⌫|-|----|
Trist ran en	-----⌫--|-|
tele ndroit	--|-⌫-----|
hon consenti rnedo it	--|--------⌫|-|--⌫-|
Etplusorsfoiz les ont	-|------|---|--|--|
El li troi	-|--⌫|--|
Marcgesirtoznus	---|----|--|--|
Quar quant li rois enuetel bois	---|----|-|---|-|--|-|---|
Tristran dit	-------|--|
Si re gen uo is	--⌫-||-|--⌫-|
Pui sse rem ainte ntreenla	---⌫|-|---⌫---|-⌫---|-|-|
Il u ec grantpie ce sont ensenble	--⌫-⌫-|----|---⌫-|---|-------|
Nos lidiromesno s m eïmes	--|-|------|--⌫|-⌫-----|
Alonauroetsil i dimes	---|-|-|-|-|-⌫|----|
O uilnosaintouilnoshast	-⌫|-|--|---|-|-|--|---|
Nos uo lonson neuo en ch ast	--|--⌫--|--|---|-|--⌫--|
Tui tensenb l eont ceconselpris	---⌫|------⌫-⌫|--|-|-----|---|
Ma rcont araison misA unepartontle	--⌫-|--||-----|--||--|---|--|-|
Sire fontilm al ement uet	---|---|-|-⌫--⌫----|--|
Te sniéss	--⌫|----||
entraimentet	---------|-|
Sauoir le puet quico nques ueut	-----|-|---|--||-⌫----|---|
Etn os nuuolonmais	-|-⌫-|-|----|---|
Liro isl e n tent fist u n	-|--⌫-||-⌫-⌫---|---|-⌫|
S onchiefabesse	-⌫-|----|-----|
uerslate rre	---|-|--⌫--|
Nesetquildiesoue nterre	-|--|-|-|--|----⌫-|---|
Rois ce di ̈entlitroifelon	---|-|--⌫---|-|---|----|
Parfoimais nu	--|--|---|-|
consentir on	---------⌫-|
Qar biensa uondeue rité	--|---|--⌫--|-|--⌫----|
Quet u co nsenzl o rcruaute ́	--|-⌫|--⌫----|-⌫-⌫|-------⌫|
biencestem eruelleQ enfer as tu	---|----|-⌫------||-|---⌫-|-|
Or t enconselle	-||-|-------|
neuonostesdecort	---||----|-|---|
Si queiamaisnen i r etor t	-|--|-----|--||-⌫----⌫|
Nenost enronauos	-|--|-⌫----||--|
tendronnule p ez	------|---|-⌫-|
Denosuoisinsf eron	-|--|------|-⌫---|
Decort quenel poon	-|---|--|--|---|
Orta rontostcestgeu	-||-⌫--|---|---|--|
Tote tauolenténos di	---|-|-------|--|-|
Se ignoruos estesmi fael	--⌫----|--|----|-|---|
Dex motm emer uel	--|--|-⌫|---⌫--|
Que mesnie ́ smauergondea it	--|--|---⌫-⌫|-|-------|-⌫-|
Mais seruimadestrangeguise	---|----||||-------|----|
Conseliezmenge l u osrequ ier	--------||-|--⌫|-⌫-|----⌫--|
uosmedeuezbien	--|-|----|---|
conselli e r	--------⌫-⌫|
Queser uiseperdrene	--|---⌫---|-----|-|
uossau ezbi enn aison	--|---⌫-|--⌫-||-|--|
Sireormandezl enai n	---|-|-----|-⌫|---⌫|
Cert e sil setde maint lati n	----⌫-⌫|-|--|-|----|----⌫|
Si en soi t i ali conselpris	-|-|---⌫|-⌫|-|-----|---|
Mandezle nainpu is	-----|-|---|--⌫-|
m ott ostuenuz	-⌫-|-⌫--|----|
Dehezaitil conmeboçuz	----|--|-|----|-----|
Li un desbaronslenacole	-|-|--|-----||-|----|
Lir oislimostresa p arole	-|-⌫--|-|-----|-|-⌫----|
Hao roiezqeltra ïson	-|-⌫|---|--|---⌫----|
Etconfaitesed ucionAditauro ic i lna in	-|--|----|---⌫----||--|-|--⌫|-⌫-⌫|--⌫-|
Dehé aient tu itcildeuin	----|----|--⌫-|--|----|
Quiporpensatelfelonie	--|-------|--|------|
Co n fist cistnain qui	--⌫|---|---|---|--|
Dex maudie	--|-----|
Dit o n neuoqau roi	-|-⌫-⌫|---||-|--|
Card u elquiest clo sde	----⌫-⌫-|--|--|---⌫|-|
Couiengequ	-------|-|
ilaut parmatin	-|--|--|----|
Unbrief escritanparchemin	-|----|-----|-|--------|
Arturtozles galoz	----|--|--|----|
Bie n seelé acireaclox	---⌫|-----||---|----|
Tristran gistdeuanttonlit	-------|---|-----|--|--|
Aneuoiesencestenuit	-------|-|----|---|
Saiq ueuoud ra a	--|-⌫-|----⌫-||
luiparle r	--|-----⌫|
quedeural aaler	--|----|-⌫|---|
Roisdelachanbreis	---|-|-|------|-|
aprinsom e	|-------⌫|
Deuteiure tl aloid e	--|-|--|-⌫|-⌫|--|-⌫|
Tristra nlaimefolementA	-------⌫||---|-------||
l u i uen draaparlement	-⌫-⌫|---⌫--||--------|
Et sil iuientet ge	-||-||----|-|-|
Se tunu u oiz sime desfai	-|-|-|-⌫--|-|-|-----|
Ettuittihomeoutreement	-|---|-|---|---------|
Pr oué serontsanzsoirement	--⌫---|-----|---|--------|
Roisormenlais e couenir	---|-||-|----⌫|------|
Etama uolentés orti r	-||-|-------|-⌫----⌫|
Ets eliçolel	-|-⌫|-|----||
Desiqu a loredu	---|-|||--|-|
L iro isrespont	-⌫|--⌫-|------|
Amiscer t fait	---||--⌫|---|
Departentsoichas cun sen	--------|--|----⌫--||-|
naind egrant uoidie	---|-⌫|----|-----|
Motpar fist re defelonie	--|--|---|--⌫-|------|
Cilenentrachié s un pesto r	--|-|----|-----⌫|-|-----⌫|
Quatrede r eespristdeflor	-----|--⌫-⌫--|----|-|---|
Pu is lalia asong ueron	--⌫-|-|--||--|-⌫----|
Quipe nsastmaisteltra ïson	--|--⌫----|---|--|---⌫----|
L an uitq antot li roisme ngie ́	-⌫|-⌫--|-⌫--|-|-|---|--⌫----⌫|
Parla salefurentcouchié	--|-|---|-----|-------|
T ris tranala	-⌫---⌫---|--|
Beausniésfaitilieuosrequi er	----|----|---|-|-|--|-----⌫-|
Mauolente ́fait es gelu uel	-|-------⌫|----⌫-|--|-⌫--|
Artusius qua	----|---⌫-||
uoscouen draa	--|-----⌫--||
che uauchier	---⌫-------|
Celbriefli	--|----|-|
faitesdespl oier	-----|-----⌫---|
Niés de mapartlesalüezOlui c	----|-|-|---|-|------||--||
u niorneseiornez	-⌫|--|-|-------|
Du m esa ge	-|-⌫---⌫-|
Tristranparler	-------|-----|
Auroiresp ontde lui porter	-|--|----⌫--|-|--|-----|
Roisgeirai bie n par mat in O uos	---|-|---|---⌫|--|---⌫-||--|
ainzquela nuit aitfin	---|--|-|---|--|--|
Tristranfu mis	-------|-|--|
en grantesfro i	-|----|-----⌫|
Ent res o nlit et celauroi	---⌫-|-⌫-⌫|--|-|--|-|--|
Auoi tbien le loncdune la nce	----⌫|---|-|---||--|--⌫--|
Tr i stranfole a tena nce	--⌫-⌫----|---|-⌫----⌫--|
E n soncu er dist q uil	-⌫|--|--⌫-|---|-⌫|-|
parl e roit Alaro ïne s ilpooit	----⌫-⌫---||-|--⌫---||-|----|
Qantsesonclesertendormiz	---|--|-----|--|-------|
De x quelp ec hiétrope r t har diz	--⌫|---|-⌫--⌫---|---|-⌫-⌫|---⌫--|
Linainslanuiten	-|----|-|---|-|
lachanbreert	-|------|--|
O iezconment celenuit sert	-⌫--|------|---|---|---|
Entredeu sliezla flor res pant	----|---⌫|---|-|---|---⌫---|
allentp araisant	-----|-⌫-------|
Sel un a laut re lanuituient	-||-|||---⌫-|-|---|----|
La flor laformed espastient	-|---|-|----|-⌫-|--|----|
Tristranuitlenainbesu chie r	-------|--|-|---|----⌫----⌫|
E tlafarine esparpellier	-⌫|-|-----|-----------|
Porpensasoi quece deuoit	-------|--|--|-|-----|
Qarsiseruir p asnesoloit	--|-|-----|-⌫-|-|-----|
Bien tosta	---|---||
ceste place	----|----|
Espandroitfl orpor n ostre	---------|--⌫-|--|-⌫----|
ueers elunal autreiroit	---|-⌫||-|||----|----|
Quiiroi torque	--|----⌫|-|--|
fousferoit	---|-----|
B i enuer ramaisseor i	-⌫-⌫-|---⌫-|---|-|-||
Leiordeuant	-|--|-----|
Tristran elbois	-------|-|---|
Enl ai anbenafrez estoitD un gr a nt	-|-⌫|-⌫---|-----|-----||-|--⌫-⌫-|
senglermotse	------|--|-|
Laplaie m otauoitsaignié	-|----|-⌫-|----|-------|
Deslïezer t pa rsonpechié	-------|--⌫|--⌫|--|------|
Trist rannedormoitpasc equ it	-----⌫--|-|------|--|-⌫|--⌫-|
Etliroi s liueamie	-|-|---⌫|---||--|
Forsde lachanbreen est	---|-|-|------|-|--|
issuz Olu i alalinainboçuz	----||--⌫|--|-|---|-----|
Dedenzla chanbr en outc lartez	-----|-|------⌫||--|-⌫-----|
Cirge nelan pëalumez	----|-|---⌫--|-----|
Tristransefusus piezleu e z	-------|-|-|--|---|---⌫-⌫|
Dex porqoif ut	--|-----|-⌫-|
Orescoutez	-|-------|
L espi ezaioin zesme si saut	-⌫-|--⌫-||----⌫|---|-|---|
leroi chaïdehaut	-|--|----|-|---|
Saplaiees criue formentsaine	-|----|--⌫----|------|----|
Lesancqu i nn ist les	-|---|--⌫|-|--|--|
drasensaigne	---|-------|
Laplaies aigne	-|----|-⌫----|
Qar tropasond elit	--|---||--|-⌫---|
Enplusorsleusli sanc aüne	-|------|---|-|---|----|
LinainsdeforsestAla lune	-|----|-----|--||-|---|
Bienuitio sté	---|--|--⌫---|
erent ensenble	----|-------|
L iduiamant	-⌫|--|----|
Deioieen trenb le	-|---|-|-----⌫-|
E tdist a uroi	-⌫|---|-⌫|--|
S e nespuez prendre	-⌫|--|---|------|
Ensenbleua simefai	-------|-|-|-|--|
Iluec furentlitroi felon	----|-----|-|---|----|
Parqu ifuce ste traïs on	--|--⌫|-|--⌫--|------⌫-|
P orpensee p riueement	-⌫-------|-⌫--------|
Lirois senuient	-|---||-|----|
Tri stranlentent	---⌫----||-----|
Liue du littote sfroi ̈z	---|-|--|--|-⌫-----⌫-|
Errant s enres tm o ttosts alliz	-----||-|---⌫|-⌫-⌫|---|-⌫----|
A ut resallirque	-⌫|-⌫-------|--|
Tristran fait	-------|---|
Lisansdec entmalement	-|---|---⌫--|-------|
D ela pla ie sorla farine	-⌫|-|---⌫-|--|-|-----|
Dexqel d uelquelaroïneNauotles	--|--|-⌫--|--|-|-----||---|--|
drasd ulitostez	---|-⌫|--|----|
Nef ust lanuitn usd eus p rouez	-|-⌫--|-|---|-⌫-||--|-⌫----|
Seele senfustapense e	-|--||-|---|------⌫|
Mot e üstb ien	--|-⌫---|-⌫--|
Motgran t mi ra cle	--|----⌫|--⌫--⌫--|
Quisgarantisi conli	---|------|-|--|-|
Lirosasacha nbrereuient	-|--||-|---⌫---|------|
quelac handeletient	--|-|-⌫------|----|
uie ntauoc lui	---⌫-|---|--|
Tri stranfaisoit	---⌫----|------|
Senblant conmeseildorm oit	-------|----|-|-|----⌫--|
Quarilr onfloitfor men t du	---|-|-⌫------|---⌫---⌫|-|
Seus enl achanbr efure més	---|-|-⌫|------⌫|-|--⌫---|
Fors tant queases	---|---|--||--|
pié sgeso it	----⌫|----⌫-|
Pir inisqui nesesm ouoit	---⌫---|--|-||---⌫----|
roïneanson litiut	-----|-|--|--|--|
Sorlaflor chauz li sancparut	--|-|---|----|-|---|----|
Liroischo isiel litlesanc	-|---|---⌫--|-|--|-|---|
uerm el enfur entli dra pblanc	----⌫-|-|---⌫--|-|---⌫|----|
Etsor lafl or en	-|--|-|--⌫-|-|
pertla trac e	---|-|----⌫|
Tristran menace	-------|-----|
Litroi baron sont enl a	-|---|----|---|-|-⌫|
Tristranparire anson	-------|--|--|-|--|
litprenent	--|------|
Cuel lilo rentcil	----⌫-||-⌫---|--|
Porsaprooise	--|-|------|
etlaroïne	-|-|-----|
L aidisentlamo tla menacent	-⌫-------|-|--⌫|-|-------|
Ne l ai ronti ustise nen	-|-⌫--⌫---|-⌫-----||-|
uoient laian be	-----|-|---⌫-|
qui li saine	--|-|----|
T roppar a ci ueraieensei gne	-⌫--|--||-|-----|-----⌫--|
Prouez estes cedistliro is	-----|----|-|---|-|--⌫-|
uostre esconditniuaut un pois	-----|-------|||---|-|---|
Tristrandemaince quit	-------|-----|-|---|
Soiezcerta insdes tredes truit	----|-----⌫--||--⌫--|---⌫----|
Il l i crie	-|-⌫|---|
Sire mer ci	---|---⌫-|
Deuq uipasio nsouf ri	--|-⌫-|-----⌫|----⌫-|
Siredenospitié	---|-|--|-----|
uospr enge	--|--⌫---|
Lifeldïent	-|--|-----|
Sireor teuenge	---|-|-|----|
Beausonclesd e moi	----|-----|-⌫|--|
n e mechaut	-⌫|-|----|
B iensaiuenuzsuiamau sa ut	-⌫--|--|----|--||--|--⌫-|
Nefustporuos a	-|---|--|--||
Cistplezfust i auenduzmotchier	---|---|---|-⌫|-----|--|----|
loreul z nele	--|---⌫|-|-|
Queiadelormainsm	--|-|-|--|----||
at ochasent	--⌫-------|
Maise nuersuosnenaiierie n	---|-⌫----|--||-|-|-|---⌫|
am alouto rt abien	|-⌫-|-|--⌫-||---|
Demoif erez uos trep lesir	-|--|-⌫---|---⌫--|-⌫----|
Etiesuipre st deuo ssoufrir	-|-|--|---⌫-|-|--⌫|------|
D eude laroïne	-⌫-|-|-|-----|
Aiezpitié	---|-----|
Tris tranl encline	----⌫---||------|
ahomeen ta	|---|-|-|
S edis oitcestetraïson	-⌫|---⌫--|----|-------|
Que priseüsedrüerieO laroïnepa rf olie	--|---|----|-------||-|-----|--⌫|-⌫---|
Nemen trouasten chanp	-||-|------|-|----|
Siremer cid elipo r	---|---⌫-|-⌫|-|--⌫|
Litroiquianlachanbre	-|---|--|-|-|------|
T ristran o ntp ris etlï é	-⌫------|-⌫-|-⌫--|-|---⌫-|
E tlïee rontl ar oïne	-⌫|----|---|-⌫|-⌫----|
Motest torné	--|--|-----|
a granthaïne	|----|-----|
Tr istranicese üs t	--⌫-----|--|--⌫---⌫|
Queescondire nulleüs t	--|--------|--|-----⌫|
Mexse laisas t uifd epecier	--|-|------⌫|--|-⌫------|
Qu e lui nelié soufris tl ïer	--⌫|--|-|---|-------⌫|-⌫---|
Deut antfortse fio t	--|-⌫--|---|-|---⌫|
Q u ebiensa uoit etbienquidoi tSa	-⌫-⌫|---|--⌫---|-|---|------⌫|||
escondit peüst ueni r	-------|-----|----⌫|
Nusnenosastarmessaisir	--|--|----|----|-----|
En contreluileuer	--⌫-----|--|----|
Biensequidoitparcha np	---|-|------|--|---⌫-|
enuersl eroi	-----|-⌫|--|
M es fairesoi pornuldesroi	-⌫--⌫----|--|--|--|-----|
il seüst ce que enfut	-|-----|-|--|-|--|
Etcequiaueni r lord ut	-|-|--|-----⌫|--|-⌫-|
Illes eüst tüez toztrois	-|--|----|----|--|----|
gardast li rois	------|-|---|
Dexporq oineles oci st A mellor plait	--|----⌫-|-|--|---⌫-||-----|----|
asezuenist	---|-----|
Lic rizliuepar lacité	-|-⌫--|---|--|-|----|
Q uendu isontensenble troué	-⌫|----⌫|---|-------|-----|
Tristr an etlaroïne	------⌫-|-|-|-----|
Et queliroisdestruireeus ueut	-|--|-|---|--------|--|---|
Pleurentligr a nteli petit	-------|-|--⌫-⌫-||-|----|
Souent l undeusalau treditA	-----||-||--|||--⌫--|--||
last antauon	--|-⌫--|---|
Tristran tantpar esber	-------|---|--|-|--|
Qeldama gequ entraïso n	--|----⌫-|-|-|-------⌫|
