Aiceliorkeladolor fugr ans	|---|--|-|-|----|-|--⌫--|
QuiliaditGuillaumes uientpoignant	--|-||--|---------|----|-------|
Mai s neluerr ass aura	---⌫|--|----⌫-|-⌫---|
dolormoltgra n t	----|---|---⌫-⌫|
Quar enc loslo nt.xu.m.	---|---⌫--||-⌫-|-----|
Pe r ssant.	--⌫-⌫-----|
N e li distplusainz sen	-⌫|-|---|---|---|--|
to rnaatant.	--⌫--||----|
Etuiuiënsremest il uecgisant.	-|-------|-----|--⌫--|------|
D roit uersla	-⌫---|---|-|
mer uontpaienc heua ucha n t	--|---|----|-⌫----⌫----⌫-⌫|
Quienmenoien t	--|-|-------⌫|
lePa lazin	-|--⌫----|
EtG uie ̈linetG uch art	-|-⌫---⌫---|-|-⌫---⌫--|
l euaill ant	-⌫|-----⌫--|
Gaudi n leb r un Gi rart lec om batant	-----⌫|-|-⌫-⌫-|--⌫---|-|-⌫--⌫-----|
Aleur nesuienent	|---|--|------|
qu isont desor	--⌫|---|----|
E mpr i son éles ontenunchalant	-⌫---⌫-⌫---⌫-|--|--|-|-|------|
Nonpas ensembl e ainz	--|--|-------⌫|---|
furentdesseura nt	-----|--------⌫-|
Cha scuns p arsoi o tau coI	---⌫----|-⌫-|--|-⌫|-|--|
unc harchant.	-|-⌫--------|
De gr anz cor giee sles uon tsouentbatant	-|--⌫--|---⌫----⌫|--|---⌫|-----|-----|
Ch ascungar doient .xiiii.N ubi an t.	--⌫----|---⌫-----|------|-⌫---⌫--⌫-|
Dexlesma u dielmolt lesu ontlaide niant.	--|--|--⌫-⌫---|---|--|-⌫--|-----⌫-----|
Decelsl era i desicie nauaut.	-|---|-⌫---⌫|--|--|-⌫|-----|
gloirelorp uisse	-----|--|-⌫----|
est regarant	---⌫-|-----|
Iln eui stront iames enlo ruiu ant	-||-|-⌫-----|-|--|-|--⌫|---⌫--|
SeRen oarzn esengiete aup erchant.	-|---⌫---|-⌫-|-|----|-|-⌫-------|
DeFierebraceest droizquei euoschant	-|---------|--|----|--|-⌫|--|----|
Queeuclo soutli g lotoumescrea nt	--|-----⌫|--|-|-⌫----|-------⌫-|
Entre deu stertresdeue rs	----|---⌫|------|----⌫-|
uu des rubaut.	-|---⌫------|
Det ozses homes	-|-⌫-|--|----|
nesontuiseschapant	-|---|--|--------|
Quesol.xiiii. qui n	--|--|------|--||
orentme sgara ut	----|--⌫|----⌫-|
Ne soien tmor t-elicorstuitsanglant.	-|-----⌫|---⌫-||-|---|---|--------|
L i copGuillaumene sanblentpas	-⌫|--|--------|-|-------|--|
Quaronc paienneferi desou brant	---|--|----|-|---|-|--|----|
Quil uoceïstouluioulauferrant	-|-||------|-|--|-||--------|
Contreson cop	-----|--|--|
nulearme gara nt	---|---|----⌫-|
La s oieforceneua miefaillant	-|-⌫--|----|-|-|--|-------|
Mai squantp l usf i ert	---⌫|----|-⌫-⌫-|-⌫-⌫--|
etpl usl i	-|--⌫-|-⌫|
uacroissant.	-|---------|
Tantiauoitdelagent Teruag ant	---||----|-|-|---|------⌫--|
N etantne qu ant neuont amenu isant	-⌫|---|-|--⌫--|-|---|-----⌫----|
Ainzl iest uisketosiorsu ont	---|-⌫|--|--|-|--|---|-⌫--|
n e menuois merueillan t	-⌫||-|---|----------⌫|
Dieuettossa insua itsouentreclam ant.	---|-|--|--⌫--|--⌫-|-----|------⌫---|
EnA liscansfu moltgrans	-|-⌫------|-|---|----|
lad ol o r.	-|-⌫--⌫-⌫-|
Li queusG uillaumes tintlebrancde col or	-|----|-⌫--------|---|-|----|-|---⌫-|
Tantot feru sorla gentpaienor	---|-|---|--|-|---|------|
Lecorso ttaintdesanc et de suou r.	-|---|-⌫|----|-|---|-|-|----⌫-|
D e.xx.m. bomes kil menaen	-⌫|-----|----||-|---|-|
N otque.xiiii.	|-|--|------|
cilnontpoint d euigor	--||--|----|-⌫|----|
sont amorttout	---||---|---|
Li quensG uillaumes leur adit	-|----|-⌫--------|---||--|
Por dieusign eurle ma ig necre ator	--|---|----⌫--|-|--⌫--⌫-|---⌫---|
Tsntcomuiuo ns maintenons bie n	---|--|----⌫-|---------|---⌫|
Li euersmedi stia n	-|----|-|--⌫-|-||
Cartou tsont mortmieheualier	--|---⌫|---|---|-|--------|
Nepuisueoirmaisni	-|---|----|---|-|
grantnimenor.	----|-|-----|
criër nostreensengneFrancor.	-----|-----|-------|-------|
Mo rsestBertran sdontaiau	--⌫-|--|-------⌫|---|-|-|
De monlignag e aihu i perd u lafior.	-|--|------⌫|-|--⌫|----⌫|-|----|
Oruoi iebien	-|--|-|---|
que n au ra i	-|-⌫|--⌫--⌫|
De labatai l le maisparsaint sauueor	-|-|-----⌫-⌫-|---|--|----|------|
Ta ntcomieuiue nar ontpaiens eio r	--⌫-|--|-|---||--⌫--|----|-⌫---⌫|
Ia nenauront ho ntemi anciso r	-||-|-----|--⌫--|-|------⌫|
Nenc hanteront e n mal cilgog leo r	|-|-⌫--------|-⌫|--|--|---⌫---⌫|
ma uieper detem-epla in dor.	-|--|---⌫-|----|---⌫-|---|
Guillaumesotm ol tlach ar h ard ie	---------|-|-⌫--⌫|-|--⌫-|-⌫---⌫-|
E t d amediex	-⌫|-⌫------|
l i c s toitena ïe.	-⌫|-⌫-⌫---|-|-⌫---|
D e. xx.m.homes q uilauoitenbaillie	-⌫|-⌫----|----|-⌫--|----|-|------|
Quitr estotfur entdegrantcheualeric	--|--⌫----|---⌫--|-|----|---------|
N otke .xiiii.mesen	|-|-|------|--|-|
saconpaignie	-|---------|
Cil s ont naur émolt	--|-⌫--|----⌫-|---|
estcourteleur	--|-----|---|
Maist ant se tindrentenleur	---|-⌫--|-|-------|-|---|
co nnestablie	--⌫---------|
Cu nebat a ille	|-⌫-|---⌫-⌫---|
de Turs ont de sconfie.	-|---|--|--⌫-------|
Ado u tqu idierent	---⌫-⌫|--⌫-------|
aleragaran die.	---||-----⌫---|
Dr oit uersOrenge	--⌫--|---|-----|
ontleu r u oieaqu eillie	--|---⌫|-⌫--|---⌫-----|
Qu antd eue rs dest rele ur sort la genshaïe	--⌫--|-⌫---⌫-|----⌫-|--⌫-|---|-|---|----|
Kidontaprim e sissent deleur	-|---||----⌫-⌫|-----|-|---|
.x.m.estoi entde bataillerengie	----|-----⌫--|-|-------|-----|
RoisBaufumésles co nduistetlesgui e.	---|--------|--|--⌫-----|-|--|---⌫-|
Maintebanier emainteenseigneibalie	-----|------⌫|-----|-------||----|
Etmaintuert	-|----|---|
elmereluitetr e flambie	---|-----|-|-⌫-⌫------|
De lorqui luis testlater re	-||-|--|----⌫|--|-|---⌫-|
e scl arcie.	-⌫---⌫-----|
Tanti s o n erentgraille s a la bondie	---||-⌫-⌫-⌫----|-------⌫||-|-----|
Cor se t boisines m ei n ent teltabor ie	---⌫|-⌫|-------|-⌫--⌫-⌫--|--|-----⌫-|
Lanoiseot on d uneliueetdemie..	-|----|-|-||--|---|-|------|
DiexdistG uillaume sd amesainte Marie	---|---|-⌫--------⌫|-⌫--|-----|----|
Or u oi ioubie nmolt e st cort emauie	-|-⌫-|--|---⌫|---|-⌫-|----⌫|-|--|
DameGuiborcdouseuer etd ou c eamie	---|------|---|---|-|-⌫--⌫-⌫|---|
Lanostreamorserahui	-|-----|---|---|--|
Atosi ors mesnostre	|--|-⌫--|--|-----|
kemuire fera iuneenuaïe	-|----|----⌫|--|------|
Keiaiugler es	-|-|------⌫-|
s ilench a ntene die	|-|-|--⌫-⌫--|-|--|
Kei aie feitetraïson	-||--|----|-------|
Ia en ehançonki d e moi	-|-|-------|-|-⌫|--|
Nau raretr et	|--⌫-|----⌫-|
se dieuple tuil enie.	-|---|---⌫|---⌫----|
s a targesaisie	-⌫|----|-----|
Parlesenarmesla	--|--|------|||
presdeluisachi e	---|-|--|-----⌫|
Ti n tunelanc eo u lenseignebalie	--⌫-⌫|--|----⌫|-⌫||-------|----|
Aunpaienlo td espoingser rachie.	|-|----||-⌫|-⌫-|-----|--⌫------|
Dis t as es ho mes China pointcouard ie	---⌫||-⌫-|--⌫--|--|-|----|------⌫-|
uesdes pa iensnostreuoieiongie	--|--|--⌫---|-----|---|-----|
Nipasserons s	||--------||
iln ala ncecro issie	-|-⌫|--⌫--|---⌫----|
Es cuspereiése tbroigne desartie	--⌫--|-------|-⌫|------|-------|
Etdesceuaus m ainte	-|--|-----|-⌫----|
seleuuid ie.	---|----⌫--|
Se cestegen t	-|----|---⌫|
auiënsr esortie	------|-⌫------|
celemar che	---|---⌫--|
Iamaisdesnos nauer oie ntbaillie.	-|---|--|--|-----⌫---⌫-|-------|
T ousno scommantaufilssainteMariel	-⌫--|--⌫|------|-|---|-----|-----|
Ieiferraiki ken	-||-----|-||-|
plort nekirie.	----|-|-|---|
Ai ce stmot alensengnebaisie	|-⌫--⌫-|--|||-------|-----|
broehesa leregnelai ssie.	-----|||-|----|---⌫----|
Etli .xiiii.cascuns Mo nioie leserie.	-|-|------|------|--⌫-----⌫|------|
espeesmolt	-----|---|
gra ntcarpenterie	---⌫-|----------|
Dels anc des	--|-⌫--|--|
corse stlaterre	---|-⌫-|-|----|
Mesdespai ensest laterreuestie	--|--|---⌫--|--|-|----|-----|
Tropen ialecorsdieule s	---|-|||-|---|---|--⌫|
Liq uen sGuillam essonespili enplie	-|-⌫---⌫|-------⌫-|--|----||-----|
Enun paien quitenoit Urgarie	-|-|----|--|-----|------|
Escusnauberc ne li	----||-----|-|-|
Dame et de corsfist seureeet partie .	---|-|-|---|---|-----|-|------⌫|
-Si s oefmue rtqu il nebret ne	|-|-⌫--|---⌫-|-|-|-|---|-|
Puistraistl espeekidores ten heu die	---|-----||----|-||-|--⌫|--⌫---⌫--|
ChoestIoiiouseoudurementsefie	--|--|-------|-|-------|-|--|
Touteufendiun Tu reiusqu en	---|-|----|-|--⌫-|----|-|
Puisaoch isCaem deualermie	---||---⌫-|---|-|-------|
EtClar adutetTurbaut dUreouie.	-|----⌫---|-|------||-------|
Bienfie rt	---|---⌫-|
liquen scarmautal ensl aigrie	-|----⌫|--|------⌫--|-⌫-----|
Aubrane dac ier laidemeut les	-|----||--⌫--|--------|--|
Paiensneluoitki	-----|--|---|-|
alautre ne die	||----|-|--|
C istuisde ableslaidement n osmauie	-⌫--|--|--⌫----|--------|-⌫-|----|
KiIatendra ianauragarantie	-|-------|-||---|-------|
cele espeem aint enantne	---|----|-⌫----⌫----|-|
Enfuie torne n tsontl aplace guerpie	-|---|-----⌫-⌫||--|-⌫|----|------|
T ousli plus	-⌫--|-|---|
e ointesuosistestr een Roussie.	-⌫-----|-----|----⌫|-|-------|
Gui1lam eoutrere nt	-------⌫|-------⌫-|
p lus d une grantarchie	-⌫--||--|----|-----|
Mes tuit sihom ef uren t mo rta haehie	--|---|-|---⌫|-⌫----⌫|--⌫-||-----|
Totpiece a p iecefuleurchar detranchi e.	--|----||-⌫---|-|---|---|---------⌫-|
Orna Guillames messecors	-|-|--------|--|-----|
Forsdamled eule filsaint e Marie .	---|------⌫-|-|--|-----⌫|-----⌫|
Sicon Guillaumes ot Sarrasinsoutrez	-|--|---------|-|--------|-----|
Dro it uersOrengeas o n ch emi ntorn ez.	---⌫-|---|-----||-⌫-⌫|--⌫---⌫|----⌫--|
B ie nseucuida	-⌫--⌫||-|----|
a ler a sau uetez	-⌫--||---⌫----|
Quantpar deuantl isai lli Iosuez	----|--|-----|-⌫|---⌫--|-----|
CildeMautiste lifils	--|-|-------|-|---|
Ma tusa lez.	--⌫----⌫---|
fuCorsus et	-|-----|-|
Li fils Tie baut dO d i erne Esmerez.	-|---|---⌫---||-⌫-⌫-⌫---|-------|
. xmestoient as	-⌫-|-------|-|
uerzhiaumes	---|------|
Asha nt esroidesa sgon fa non s f erme z	-|--⌫--⌫-|-----|-⌫|---⌫--⌫---⌫|-⌫----⌫|
Asnou estargesas destriersa briue z.	-|---⌫-|-----|-|--------|-⌫-----⌫-|
To tm aiut enant iere nti ssudes	--⌫|-⌫----⌫----|----⌫-|-⌫--|--|
De xdi stGuillaumes	--⌫|--⌫-|---------|
quieneroizfus penez	--|-|----|--|----|
Quexuis deablesen	---|--|------|-|
onttantassemblez	--|---|--------|
Ie euit de	-|---|-|
m onz ef fon drez	-⌫--|--⌫---⌫---|
Neuoi nulter trene u al n en	-|--|--|---⌫--|-|-⌫-||-|
Pleinsneriuierequin en soit	-----|-|------|--||-|---|
a res t ez .	-⌫---⌫-⌫--⌫|
Ma ld es putainstantenont	--⌫|-⌫-|------|---|-|--|
Pisdes g lot onsqui l esontengendrez	--|--|-⌫---⌫--|--|-⌫-|--|--------|
Biau siredexdema uie	---|---|--|-|-|--|
DameGuiborsiames n emeuerrezl	---|------|-|--|-⌫|-|------|
Cheua ld istil moltparestes	-----⌫|-⌫--|-|---|--|----|
S euosfussi ez.iiii.iorz	-⌫|--|-----⌫-|-----|---|
seio rne z	----⌫---⌫|
I am erefusse a s Sarrasins mellez	-⌫|-⌫|------|-⌫|--------|-----|
uengass equarat ortsu i na urez	-------⌫|---||-⌫--|--⌫|--⌫---|
Mes oru oibien aidierne mepoez.	--|-|-⌫-|---|-----|-|-|----|
Sim aïstdex n	-||----|--||
e ndoisestreblamez	-⌫|---|----|-----|
Quart ot e iormoltbien se ruim	---|-⌫--⌫|--|---|---|--⌫--||
P etitfu orene fussiezgalopez	-⌫---|-|--|-|------|------|
Et co reüz poinzet	-|--⌫----|----|-|
Deuo seruice uos rent merc i zet gre z.	-|-|------|--|---|----⌫-⌫|-|---⌫-|
Sestrepe üssesaOr enge menez	|----|--⌫-----||--⌫---|----|
N imontastsele deuant	||------|---|-----|
.iii.mois pa s se z	----|---|--⌫-⌫--⌫|
mengissiezd orgenefustp ur ez	---------||---|-|---|-⌫--⌫-|
.ii.foisou .ii i.o lebaein	---|---|-|---⌫-||-|----|
Etlifourag esfust	-|-|------⌫-|---|
ientilfein	-----|---|
To t esleüz eteuseson fen ez	--⌫|------|-|-|----|---⌫-|
N eb eurië zsauessel nondorez	-⌫|-⌫------⌫|||-----|--|----|
Leiorf ussiez .iiii. foiz	-|--|-⌫-----|-----|---|
Et dechi er poile trest oz e nuelopez.	-|-|---⌫-|----|-----⌫-|-⌫--------|
SeenEspaigne esdespaiensme nez	-|-|-------|-|--|-----|--⌫--|
Simaïstdex molten se ra iirez.	-||----|--|---|-|--⌫--⌫|----|
Baucent l oïsiafroncil e ne s	------||--|-||-----|-⌫|--⌫|
A usilentent	-⌫--|------|
com s il fust	--|-⌫-|---|
h omsenez.	-⌫-|-----|
La teste crollesia	-|----|-----|-||
desp iezhoez	--|-⌫--|---|
Repren tsaleine tost estreuigo rez	------⌫||-----|---|--|------⌫--|
C ue rlireuintsiest	-⌫--⌫|-|-----|-|--|
tot recourez	--|-------|
Ausihe nist	---|--⌫---|
eomesil fu stgitez	---|--|--⌫-|----|
les tableet	|--⌫----|-|
denouel ferrez.	-|----|------|
QuantuitGuillamesqu ilestr esuertuëz	----|--|--------|--⌫-|--|-⌫---------|
Nefustsili ez por .xi i ii.citez.	-|---|-|--⌫-|--|---⌫-⌫--|-----|
Liquen s Guillau messenti fres son	-|----⌫|-------⌫--|----|---|--|
Droi tuers Oreng eestg u enchitot un	----⌫|---|-----⌫|--|-⌫-⌫----|--|-|
enchaucen tlipaien desleal.	---------⌫|-|----|-------|
Pard euersd es tre lisailliBr odual	--|-⌫----|-⌫--⌫--|-|-----|--⌫----|
.xm.del agentcr iminal .	---|-|-⌫|---|--⌫------⌫|
N iaceluiq uinaitl ancepoignal	|||----|-⌫-|---|-⌫---|------|
Arieheenseig nedepo il eetde	|----|------⌫-|-|--⌫--⌫|-|-|
Gu illaumetolen tetlepui	--⌫------|-----⌫|-|-|--|
et l eu al	-|-⌫|-⌫-|
Deue rsOrengen a poin tde s on estal.	----⌫-|-----|||----⌫|-|-⌫-|-----|
Quantuoitli quen sque	----|---|-|----⌫|--|
ilnepuet fereal	-|-|---|---|-|
uerslAr chan tt orn epar	---||--⌫----⌫|-⌫---⌫|--|
unpe tit boch al	-|--⌫--|----⌫-|
Paienlenc haucentetfontgr antbatest al.	----||---⌫------|-|---|--⌫--|------⌫--|
Dexdist Guillaumesbiau	--|---|---------|---|
pereesperital	---|--------|
Quienl auirge	--|-|-⌫|----|
pr eïs tes uostreosta l	--⌫----⌫--|-----|----⌫|
Del i nasq uistesau sainti or del n oal	-|-⌫|----⌫-----|-|----|-⌫-|--|-⌫--|
Et puissoufristes pornospeine mortal	-|---|---------|--|--|----|-----|
Doula itinfer br isastes	--|--⌫-|----|--⌫------|
C i auseug estastes	-⌫-⌫--|-|-⌫-------|
eu re ntma l	--⌫--⌫-|--⌫|
Orsonte nioie engloirepermanal	-|---|-⌫|---|-|-----|-------|
Si comcestuoirs ai die ́s uostr e	-|--||--|----|--⌫---⌫-|-----⌫|
K encorre u oieG uiborcaueuerloial	|----|--⌫-⌫--|-⌫-----|-|---|----|
EtL o eïslenpereorroial	-|-⌫-⌫---||-------|----|
Et Aimmerimon ehierp ere	-|------|--|----|-⌫--|
EtErmen gartmamere natu ral	-|-----⌫---|-|---|----⌫--|
Etmes ch iersfreres kisontenper ial.	-|--|--⌫---|-----|-|---|-----⌫---|
A incte lbata illeno renteuRaineeual.	-⌫--|--⌫|----⌫---||-⌫---|-|---------|
Sediexmesaue et getdec es t i or n al	-|---|-|---|-|--|-|-⌫--⌫|-⌫--⌫-⌫-|
Co mief eraia ins	--⌫|-|-⌫---|-⌫--|
lenat iuital	-|---⌫-----|
Soreelegent	--|---|---|
euidie xot roitgrantmal	--|---⌫|--⌫---|----|--|
Guillaumes to rna	---------|--⌫--|
uerslamontaigne.	---|-|---------|
Audosle ncauch ent .x. m.paien	-|--||-⌫------⌫--|---⌫-|----|
d Espaigne	-⌫-------|
Ni acelui uaitpingnon ou ense gne	|||----||--|------|-|----⌫--|
Totlemanace ntaferiren	--|-|------⌫-||----|-|
lentr aigne.	|----⌫-----|
Diexdistliq uenssaintMallou	---|---|-|-⌫---|----|-----|
deBertaigne	-|--------|
EnAliscans	-|-------|
aifetmalebar gaigne	-|--|---|---⌫-----|
Iamais nertiors	-|---||--|---|
k emcscuer s ne se	-⌫|--|----⌫|-|-|
Ichi m enca uc enttel.m. paien grifaig ne.	---||----⌫--⌫--|--|--|----|-------⌫--|
De moioci rreniacel	-|--|---⌫--||||--|
kisefaingne.	-|-|-------|
Dausuo ic ouertet le spu is	|--|--⌫|-⌫----|-|--⌫|--⌫-|
et leplaigne	-|-|------|
ausm enba t fait ai ma l e	--||----⌫|---|-|--⌫-⌫|
Carn iuaurro itmaforceunc castaigne	--|||------⌫-|-|----|--|--------|
Trope ny a li corsdieulessoufraigne	---|-⌫|||-|---|---|--|---------|
Sei edelapuis	-|-⌫|-|-|---|
auo i r lacampaig ne	---⌫-⌫|-|-------⌫-|
Et c iseeuausdesous moine	-|-⌫-|-----|-----|--|-|
parm iunu alsout aigne	--|-⌫|-|-⌫-|----⌫----|
Car iesaibienk ilsontdeBuriaingne.	--|-|--|---||-|---|-|----------|
Diexlian ai	----|-||-|
iede eeualierseomp a ig ne	-|-|--------|----⌫-⌫--⌫-|
Ne ienesai	-|-|-|--|
qelpart monc eu almain gne	--|---|--|-⌫--⌫-|----⌫--|
C ar e nla m e r na ipres t calantnehaig ne	-⌫-|-⌫|-|-⌫-⌫||-⌫|----⌫|-----|-|----⌫-|
en treiecri e mtropne mi baigne.	--⌫--|-|---⌫-⌫|---|-|||------|
M ai spar sain t Pere	-⌫--⌫|--|----⌫|---|
kenrequiert e n	|-|-------|-⌫|
Romaig nel	------⌫--|
Miexuu eilmorire n trepaien sd	---|--⌫--|----|-⌫-⌫--|-----⌫||
Keen lam ernaias separengaigne.	-|-|-|-⌫-|-----⌫-|--|--------|
Liquens Guillau mes estre tornés ari r e	-|----|-------⌫--|--|--⌫------|---⌫-⌫|
T otcontreualda lés uneio nc iere .	-⌫-|--------|--⌫---|--|--⌫--⌫----⌫|
R ous otles	-⌫--|-|--|
elmedeBa iu iere	---|-|--⌫--⌫---|
Sata rgefr aiten enotplain	-|--⌫--|--⌫---||-|-|----|
pié dentie re	---||-----⌫-|
Sabroigneroute	-|------|----|
dont lamaille estdobliere .	---|-|-----|--|--------⌫|
Guillaumesa leuee lae iere	---------||----|-|-⌫---|
Etuo it pai ensetdeuantetde rr iere	-|--⌫-|---⌫--|-|-----|-|--⌫--⌫---|
P lus de.x.m .	-⌫--|-|----⌫|
ni aee l nait b aniere	|||--⌫||--|-⌫-----|
Ougonfanon oupingno nou	-|-------|-|------⌫|-|
Lique nsGuilIaumesaditp arole fiere	-|---⌫-|---------||--|-⌫----|----|
Foi queie doi Guiborcqu imo lt	--|--|-|--|------|--⌫|--⌫-|
morir keunefoi sn i fiere.	----|-|--|---⌫|||-----|
Deuantlesautrespa rmiuneioneiere	-----|--|-----|--⌫|-|--|-------|
uient Tela mons	----|----⌫---|
poing nantsorMarcep i ere	-----⌫---|--|------⌫-⌫--|
Guillaum escrieni	--------⌫-|---|||
gariréstreciere	-------|-------|
Aneui morr és amalance	----|----⌫--||-|----|
D iexldi st	-⌫---|--⌫-|
l iquensehi	-⌫|----|--|
namestierproier e.	-|------|------⌫||
Illitrestorueparmiuneioneiere.	-|-|--------|--|-|--|--------|
Lipaiens fautcar lisolaus l i crieue	-|-----|---|--|-|-----|-⌫|-----|
Etli mar ehis le fi ert	-|-|---⌫---|-|--⌫--|
detelmani e re	-|--|----⌫-⌫-|
h aubersneu autuneespa niere	-⌫-----|-|-⌫--|--|----⌫----|
Neli eseus lereind u ne fleehiere.	-|-|----|-|---||-⌫-|---------|
Ausilefentcom	---|-|---|--|
doliuiere.	|--------|
Lipaiens chiet	-|-----|----|
lestriu iere.	|------⌫----|
Liq u ens G uil laumes asais iMar eepiere	-|-⌫-⌫--|-⌫---⌫-----||----⌫|---⌫------|
M aistan t	-⌫--|---⌫|
laproe henteelegent	|-----⌫---|---|---|
au ersiere	--⌫------|
li to lirentenmi	-|--⌫-----|-|-|
unebruiere.	--|-------|
L econtee nch aueent parmilas abloniere	-⌫|----|-⌫---⌫-----|--|-|-|-⌫--------|
Enlac ampaigne fontleuert elpourire	-|-|-⌫-------|---|----|-⌫-|------|
Guillaumep erdenttantfu	--------|-⌫-----|---|-|
granslaf umiere.	----|-|-⌫------|
Liquenss ent orne	-|----||-|-⌫---|
