o tzzempereeur	-⌫|-|--------|
terreetcesera	----|-|-|---|
t ansce est	-⌫--|-|--|
uostrefi lzsi uo us en	-----|--⌫-|-|--⌫-|-|
puisseil aus i auenir	-----|-|---⌫|-----|
conmeilfist	----|-|---|
aup indesonp in el et	-|-⌫-|-|--|-⌫--⌫-|-|
comentditliemperi eres	-----|--|-|------⌫---|
ilaupindesonpinel	-|-|--|-|--|----|
sir editeleiele	---⌫|--|--|-|-|
uousdiraiuolen tiers	---|----|-----⌫----|
or m escoutez	-||-------|
en cesteuile	-|----|---|
zz boriois	-|------|
moult bi au	----|--⌫-|
quigranz esto itet	--|----|----⌫-|-|
planteisdeto uz	-------|-|--⌫-|
arbr esel mi leu	----⌫-|-|--⌫--|
decel uergierauoitzz	-|--|------|----|-|
pinq uie s toit	--|-⌫-|-⌫-⌫---|
granz et sidr oizconme	----|-|-|--⌫--|----|
nuspluslipreudo nssi	--|---|-|------⌫-|-|
quer redesmeilleursterres	----⌫-|--|--------|-----|
qu enpoist t rouueret	-|-|----|-⌫-----|-|
piedupin lipinss	--|-|--|-|---||
esgaiaet cruta	-----|-|---||
u olente et del	-⌫-----|-|-||
esgaiem ent	-------⌫--|
del ui leuaunspetiz	-|-⌫-|---|--|----|
pinni ausd	-----⌫--||
mestresracinesqui	------|------|--|
u intauolenteence	-⌫--||------|-|-|
que li b oriois l e	--|-|-⌫-----|-⌫|
sienot grant	-|-|-|----|
ioie etfist	---|-|---|
q uerre de	-⌫----|-|
la me illeurterre	-|--⌫-----|----|
trouer et lafistmetre	-----|-|-|---|----|
aupie dupinet	-|--|-|--|-|
ta n tquel i	--⌫-⌫---|-⌫|
fua lezen sa	-|-⌫--|-|-|
marcheandiseet demora	-----------|-|-----|
l ongu e mente tquant	-⌫----⌫-⌫---|-⌫|----|
ilfureue nuz la	-|-|----⌫--|-|
premiere choseque il	-------|----|--|-|
f istsialaen	-⌫--|-|--|-|
ettrouua s o npetit	-|-----|-⌫-⌫|----|
pinelcour t lo rs apela	----|----⌫|--⌫-|----|
soniardinier sil i	--|--------|-|-⌫|
dist questc e	---|-|--|-⌫|
coi est m espetiz	--|--|-⌫-|----|
piniaus courz	------|----|
sirefait liia rdiniers	---|---|-|--⌫-------|
n eue ezu ouspor co i	-⌫|--⌫-|-⌫--|--|--⌫|
fetci liele uous	--|--⌫|-|-|---|
diraiorregardez	----|-|-------|
contremon t	---------⌫|
bran che dugrant	----⌫--|-|----|
pin letient si	--|-|----|-|
aleren au ant	---|-|--⌫--|
fe tlipreudons sire	--⌫|-|-------|---|
uo lentiers cilpristla	--⌫-------|--|----|-|
coignieeetpristu ne	-------|-|----|-⌫-|
esch ie leetla mis t	----⌫--⌫-|-|-|---⌫|
con trelabranc h e et	---⌫--|-|-----⌫-⌫|-|
fer itan tqu ela branche	---⌫|---⌫---⌫|-|------|
fucoupee q uantel e	-|-----|-⌫---|--⌫|
coupeeli pre udonsl i	-----|-|---⌫----|-⌫|
distcoupee t	---|----|-⌫|
f aiuoie sireuolentiers	-⌫-|---|---|---------|
oresire fetlempe reri z	--|---|--||----⌫----⌫|
orestligranz pins	-|--|-|----|---|
c oup ezpour sonpetit	-⌫---⌫-|---|--|----|
enled iz etenc or ei	-----⌫-|-|---⌫--⌫||
p inia x uintde	-⌫----⌫|---|-|
la c oicheetdela	-|-⌫----|-|-|-|
cressedeuant	-----|-----|
esleuaunedesmestres	-----|--|--|------|
raciness isecha	------|-⌫|----|
decelepartquantli	-|---|---|----|-|
preudonsreuintzz iour	-------|-----|-|---|
enson uergier	-|--|------|
etil uit l epetit	-|-|--|-⌫|----|
pi niauqu iuinta	--⌫---|--⌫|---||
et quis e urmont oitial	-|--|-⌫-⌫------⌫--|-||
a utresiqueil	-⌫---|-|--|-|
sechié dune	------||--|
ia rd inier que	--⌫--⌫----|--|
ilcegrantpinqui	-|-|----|--|--|
e s ts echiez	-⌫-⌫|-⌫-----|
sirefet il	---|--|-|
uostrepeti t	-----|----⌫|
lec oupeztout	-|-⌫----|---|
uolenti erssire	-------⌫--|---|
fetcilsiredit	--|--|---|--|
l empererizorestil	|--------|-|--|-|
coupezorestil	-----|-|--|-|
ahont emenezp aricelui	|----⌫|----|-⌫-|-----|
qui issidel uiaus i	--|---|-|-⌫-|---⌫|
de uostre fil zquiissi	-|-----|---⌫|--|---|
d euous quiuou sm et	-⌫|---|--|---⌫|-⌫-|
carto u z liem pires est	--|--⌫-⌫|-|--⌫----|--|
iaco ntre uous	-|--⌫---|---|
desheriter	---------|
et uousestiezauant ier	-|---|-----|----|--|
el point de uousd eliur er	-|----|-|---|-⌫-----⌫-|
etpourceuous	-|---|-|---|
enpu isse il	-|--⌫---|-|
deliurer conmeilf ist	-------|----|-|-⌫--|
desonpin elpar	-|--|---⌫-|--|
ch ie fd ame i l nem	--⌫--⌫|-⌫--|-⌫|-||
auendrapas	------|--|
a insintcarilmorrale	-⌫-----|--|-|----|-|
remestd esci	-----|-⌫---|
alandemain	||-------|
qua ntl iemperieres	---⌫-|-⌫|---------|
leuezilapela	----|-|----|
ditilet treez mon	--|-|-|----|--|
fi lzh orsde laiaiole	--⌫-|-⌫--|-|-|-----|
e tledestruiezsire	-⌫|-|--------|---|
fontilauostre	---|-||-----|
conmandement	-----------|
i luindrent alac har tre	-⌫|-------||-|-⌫---⌫--|
e t entrest rent	-⌫|-|-----⌫---|
les portesfurentouuertes	--|-----|-----|-------|
etlepalesemp lides	-|-|----|---⌫-|--|
la terr eiluirent	-|----⌫|-|-----|
lifelon enmenerentl e	-|----|---------|-⌫|
uallettuitcil	-----|---|--|
quileuirentenore nt	--|-|-----|-|---⌫-|
grantpesanceen leur	----|------|-|---|
lipluse ursen	-|-----⌫-||-|
pa smerent parmi les	--⌫------|----|--|
atantesuous	----|-|---|
queli premiersdessa g es	--|-|-------|--|--⌫-⌫-|
ui ntil encontra le	--⌫-|-|-------|-|
q ueli serfenmenoient	-⌫-|-|---|---------|
pendre liu nsne dist	-----|-|-⌫-|-|---|
mota l autre	--|||----|
messi res banc illas sen	--|--⌫--|----⌫----||-|
pass eou treetuint a u	----⌫|--⌫--|-|---|-⌫|
des degrezde	--|-----|-|
ildescendi assezfu	-|-------|----|-|
qui sonc heual	--|--|-⌫----|
pristil s enmo nta	----|-||-|--⌫--|
lesdegrezc ontremo nt	--|-----|-⌫-------⌫-|
etuinten la sale	-|---|-|-|---|
et distalempere eur	-|---|||------⌫--|
sirediex uousd oint	---|---|---|-⌫---|
boniou ria diex	--|---⌫|-|---|
uous ben eiedist li	---|---⌫--|---|-|
emperieresqu	---------|-|
estces i ref et mes	--|-|-⌫-⌫-|-⌫-|--|
siresbanc illa s que auez	----|----⌫----⌫|--|---|
u ousp ourc oi u o lez uous	-⌫--|-⌫--|-⌫-|-⌫-⌫--|---|
u ostr e filzdestruire	-⌫----⌫|---|--------|
pourcoif et	---|--|-⌫-|
emper ier esass ez	-----⌫---⌫-|---⌫-|
sileuous d irai ie	-|-|---|-⌫---|-|
uousauo ie monfil z	---|---⌫-|--|---⌫|
bailli éa d o c trine r	------⌫-||-⌫-⌫-⌫-----⌫|
e taaprendrea uous	-⌫||-------||---|
etau os co mpai g no nssi	-||-⌫-|--⌫----⌫-⌫--⌫-|-|
con meace uls	---⌫-||--⌫--|
queiemoultamoieet	--|-|----|----|-|
en q uii emefioie	-|-⌫-|-⌫|-|----|
lauez iatenu yyanz	|---|-|---|-|--|
lapremiere choseque	-|-------|----|--|
auez aprisesiest	---|-----|-|--|
uousliaueztoluela	---|-|---|----|-|
l a secondeq ue iluost	-⌫|------|-⌫-|-|---|
prendrem a fa mea force	------|-⌫|--⌫-||----|
et des autres	-|--|-----|
techesyaassezpour	-----|||----|---|
coiieleuueil fere	--|-|-|----|---|
destrui re et	-------⌫-|-|
tantostconmeilsera	------|----|-|---|
destru izsachiez queuous	------⌫-|------|--|---|
uostrecomp ai gnonm orroiz	-----|----⌫--⌫---|-⌫-----|
s ireditmestreban cil las	-⌫--|--|-----|---⌫---⌫--|
entendezmoiu ous	-------|--|-⌫--|
que ilaperdue la	--|-||-----|-|
parolepour	-----|---|
mortdeseruieainz	---|-------|---|
graindreresonque le n	-------|----|--|--⌫|
li faceplusdebien	-|---|---|-|---|
fist onques	---|-----|
estueritezqueil	--|------|--|-|
uous istp rendre uostre fame	----⌫--|-⌫-----|-----|---|
pourcenail	---|-|||-|
mortdeseruie sauue u ost re	---|-------|----|-⌫---⌫-|
uost re paro leie ne	----⌫-|----⌫-|-|-|
croiraihui quil le	------|--|-|-|-|
pensa sto n ques	-----⌫-|-⌫-⌫---|
parfoi dist li	--|--|---|-|
emperieresb ieny p ert	---------|-⌫--||-⌫--|
touteescheue lee	----|-------⌫--|
ettoutedesciree ha	-|----|-------|-|
fetmessi resba ncillas	--|--|--⌫--|--⌫------|
eleneleporta pa s	--|-|-|----|--⌫|
son corsy ymoisetse	--|---|-⌫|---|-|-|
tele mani e rele	---|----⌫-⌫-|-|
destruireausiuousen	--------|---|---|-|
pu isse ilau enirc o nme	--⌫---|-|--⌫---|-⌫-⌫--|
aucheualierde	-|--------|-|
leurie rcom ent ditli	------⌫|---⌫--|--|-|
e mperieres	-⌫--------|
aucheu alier de	-|----⌫----|-|
son leurier sire ie ne	--|------|---|-|-|
uousdirai p asse uous	---|----|-⌫-|-|---|
ne respitiez u ostre	-|--------|-⌫----|
cara incoisqueiel	--|-⌫--------|-||
e usse contésero it il	-⌫---|-----|----⌫-|-|
morzet puisne	---|-|---|-|
uaudroitriensmes co ntes	-------|----|--|--⌫---|
parfoifet li	--|--|--|-|
emperieres	---------|
ie le respi teraienuo iez	-|-|-----⌫----|----⌫--|
l eque rre fet lisag es	-⌫|---⌫--|--|-|---⌫-|
limes age scorurent	-|---⌫---⌫|-------|
meintenantqui le	---------|--|-|
ramener e nt	-------⌫-⌫-|
arieresq uant libaro n	------|-⌫---|-|----⌫|
o ire nt la nou uele si	-⌫---⌫-|-|---⌫---|-|
orent mo ult	----|--⌫--|
grantioietuitliuallez	----|---|---|-|-----|
furame nezpar	-|----⌫--|--|
son m estre	--|-⌫----|
si lencli na puis	-||-----⌫-|---|
re misenlaiaole	--⌫--|-|-|----|
orditesfet li	-|----|--|-|
emperie res uolentierssire	-------⌫--|---------|---|
en ceste uileauint pa r	-|----|---|----|--⌫|
zzio ur qu iest apelé	-|--⌫-|--⌫|--|-----|
diemenc hesceestle	-------⌫--|-|--|-|
trinite que	------|--|
licheualier	-|--------|
se doi uent aler ded uire	-|---⌫---|---|---⌫---|
es prez liprez	-|---|-|---|
cheualierestoit	--------|-----|
d esouzsa meson etla	-⌫----|-|----|-|-|
meson estoit encl os e de	----|-----|----⌫--⌫|-|
mu r ui el	--⌫|--⌫-|
anc ien etdecreuéil	---⌫--|-|-------|-|
e stoit richeseta uoi t	-⌫----|-----|-|-⌫---⌫|
zz petiten fantem	-|----|--⌫---|-|
fame l ienfe s	---|-⌫|----⌫|
auoityynorrices	----|-|-------|
lapr emiere	-|--⌫-----|
seruoit d e l	------|-⌫||
aletier la sec onde	------|-|---⌫---|
du baignier	-|-------|
la tiercede s	-|-----|--⌫|
drasremueret	---|-----|-|
co uchierl i	--⌫-----|-⌫|
c heualiersa uoitzzleurier	-⌫--------|-⌫---|-|------|
fort e tisnelqui a	---|-⌫|----|--||
toute sles choses	-----⌫|--|-----|
ou ilcoroitatai gnoit	-|-|-----|----⌫----|
etquanque il a taignoi t	-|------|-|-⌫-------⌫|
p renoitlileuri ersestoit	-⌫-----|-|-----⌫--|-----|
sibonsconm enus plus	-|---|----⌫|--|---|
lisire ssil a moit	-|----⌫|-||-⌫---|
plus qu enulechos eli	---|--⌫|---|----⌫|-|
cheualiers	---------|
senfu issuzseu r	|-|-|----|---⌫|
soncheua ll espeeceinte	--|-----⌫||----|-----|
l escuauco l	|---|-|--⌫|
la lanceelpoingauec	-|----|-|----|---|
lesa ut resesprez et	--|-⌫--⌫--|-|---|-|
senfuissueh ors d e	|-|-|----|-⌫--|-⌫|
laporte susle pont	-|----|--|-|---|
etle s norric esore nt	-|--⌫|------⌫-|---⌫-|
aporte ́ l enfant aupie	------⌫||-----|-|--|
monterentaus	--------|--|
creniausdu	-------|-|
lesche ua liersconmen cierent	--|---⌫--⌫----|------⌫------|
abouhour derluncontre	|-------⌫--||-|-----|
uns sarp enzf un orrizel	--|----⌫--|-⌫|-⌫----|-|
murquioila	--|--|-|-|
des escuz et	--|----|-|
des lanc e ssisen	--|----⌫-⌫|-||-|
merueillamou ltqui l n	--------|---⌫-|-|-⌫||
auo itmieaprise	---⌫-|--|-----|
telcoustumesi	--|-------|-|
testeetsenissi	----|-||-|---|
une descreuacesli	--|--|-------|-|
sarpenz ui ntuersle	------|--⌫-|---|-|
berc el et	----⌫-|-|
le leurierf ususle	-|------|-⌫|--|-|
sueilde la	----|-|-|
du bouhourde iz	-|---------⌫-|
sarpentgranteth ideus	------|----|-|-⌫----|
enuen imé p uis uintuers	-----⌫---|-⌫--|---|---|
lesar pentet leprist	-|---⌫---|-|-|----|
les arpent	-|-⌫-----|
leua lateste	---|-|----|
etlemor di	-|-|---⌫-|
el coldelan goi sse	-|--|-||--⌫---⌫--|
etdeladoleurqu	-|-|-|-----|-|
sentisi s escria	----|-||-----|
etpuisretor neau	-|---|-----⌫-|-|
sarpentet i lsautpar	------|-|-⌫|---|--|
b erceletle	-⌫----|-|-|
apres le berceltorna ce	----|-|-----|----|-|
desusdesouzmes	----|-----|--|
queliduicheuec el du	--|-|--|------⌫-|-|
be rcelfurent	--⌫---|-----|
ale nf antne	||-⌫--⌫--|-|
l abataill ec onmencadu	-⌫|-------⌫|-⌫------|-|
sarp entetduleurierli	----⌫--|-|-|------|-|
sarpenz sen	------||-|
uos tfoirmes le	---⌫|---|--|-|
leuri er le prist parmi	-----⌫-|-|----|----|
legr o sdu	-|--⌫-⌫|-|
pi z etlesarpentle	--⌫|-|-|------|-|
mordielcos te	----|-|---⌫-|
leuriercri adela	------|---⌫|-|-|
dole ur quilse n t isi	----⌫-|-|-|--⌫-⌫-⌫|-|
resailliparde s usle	-------|--|--⌫-⌫-|-|
s ique li briers e n	-⌫|--|-|-----|-⌫|
fu touzsang l an z et	-|---|----⌫-⌫--⌫|-|
place tantque en	----|------|-|
lepristleleurier	-|----|-|------|
testes ilest ra intde	----|-⌫||---⌫--⌫--|-|
tout s onpooiren tel	---|-⌫-|----|-|--|
quilocistlesarpent	-|-|----|-|------|
etfumorzlors	-|-|---|---|
sigrant ireen	-|----|--|-|
ilneleuostmie	-|-|-|---|--|
ta nt less ier	--⌫-|----⌫--|
trenchaen tro is	------|-|---⌫-|
tronco nspu is	------⌫-|--⌫-|
lele ssa atantle bri ers	-|--⌫--|----|-|---⌫--|
futouzsangla nzetla	-|---|------⌫-|-|-|
entouretlileurie rs	-----|-|-|------⌫-|
tou zenflezet ensanglantez	---⌫|-----|-|-----------|
ilsen ent rae n	-||-|---⌫-|-⌫|
sale si co nmenca a	---|-|--⌫-----||
criere tabra ire	----|-⌫||---⌫--|
et auoutrerso ip armi	-||------|--⌫|-⌫---|
lescouc heset crioit	--|----⌫--|-|-----|
conme cil qui	----|--|--|
moulte stoit destr oizet	----|-⌫----|-----⌫--|-|
an goi ss eus il fu	--⌫---⌫--⌫--|-|-|
ue spre s ba setle	--⌫----⌫|--⌫|-|-|
bouhourd eizdescheuali ers	--------⌫--|--|-------⌫--|
e ts en ala ch asc uns	-⌫||-|--|--⌫---⌫--|
a s onhostelles	|-⌫-|-----|--|
desce ndirentcont reual les	-----⌫------|----⌫----|--|
degrezdum uret	-----|-|-⌫-|-|
uind r ent enlasale	----⌫-⌫--|-|-|---|
siuiren tlebe rce lce	-|-----⌫|-|--⌫---⌫|-|
d esouzdesuset l apla ce	-⌫----|----|-|-⌫|---⌫-|
sanglantee nuir oneles	--------|-⌫----⌫-|---|
re garderentuers l e leu rier	--⌫--------|---|-⌫|---⌫---|
crioitsic uidierentqu	-----|-|-⌫--------|-|
ilfus te nragiez etqu	-|---⌫|-⌫------|-|-|
men giéetestrang lé pour	---⌫---|-|-------⌫--|---|
c equ illeuirent	-⌫|-|-|-|-----|
lorsconmencierent	---|------------|
eta brereeta	-||----|-||
che ueuset a dire	---⌫---|-||---|
lasses que	-----|--|
fer o nsque	---⌫-⌫-|--|
porronsnous	------|---|
deuen irfui o nsnousen	-----⌫-|---⌫-⌫-|---|-|
celconseilfu tost pris	--|------|-|---|---|
elesfie ren t	---|---⌫---⌫|
piea terresis	--||----|-||
enfuienten ce	-------|-|-|
passoient laporte	--------|-|----|
sien co ntreren tl eurdame	-|--⌫--⌫-------⌫|-⌫--|---|
seurl epon ttorne iz	---|-⌫|---⌫|-----⌫-|
lesuitl ede s	--|--|-⌫---⌫|
et esfr aeessileur	-|----⌫---|-|---|
demanda queeles auoie nt	------|--|---|-----⌫-|
re sp ond iren t	--⌫--⌫---⌫----⌫|
quel ileuri er sestoit	--|-⌫|-----⌫--⌫|-----|
enrag iez si auo it	-----⌫--|-|---⌫-|
sonenfantes trangléet	--|-----|--⌫-------|-|
a cesteparoleieta la	|----|-----|---|-|
damezzcrisi	---|-|--|-|
p asmaetenceque	-⌫---|-|-|-|--|
fur eu enues es siresfu	-|-⌫--⌫---|-⌫-|----|-|
ue n uzlescuaucol	--⌫-⌫-||---|-|--|
q ui ot d edu it	-⌫-|-|-⌫---⌫-|
auecles autresiluit	---|--|-----|-|--|
sa fam e qui	-|---⌫|--|
ques onleuri er	--|-⌫-|-----⌫-|
estoiten ragie ́etquil	-----|--⌫-----⌫|-|-|-|
auoitson en fant estra n glé	----|--|--⌫---|-----⌫-⌫---|
li sires ce	-|----|-|
ils enuinten la	-||-|---|-|-|
courtsidescendi	----|-|-------|
assezfu quisoncheual	----|-|--|--|-----|
litintetqui pri st	-|---|-|--|---⌫-|
etsalance li le uriers	-|-|----|-|--⌫-----|
connut le cheual son	-----|-|-----|--|
se igne uret	--⌫----⌫-|-|
pe ns a quil estoit	--⌫--⌫|-|-|-----|
uenu z quantilloi	----⌫|----|-||-|
par ler sisailli	---⌫--|-|-----|
enpiez si malades conme	-|---|-|------|----|
il es toitetui nt	-|--⌫---|-|--⌫-|
sonseigneur etlimist	--|-------|-|-|---|
les deus piez	--|---|---|
e nmi le piz	-⌫--|-|--|
lisiresot o inouue les	-|----|-|-⌫|-----⌫--|
de sonl eurierqui o t	-|--|-⌫-----|--|-⌫|
son enfant mort	--|-----|---|
sifusiango is seus qu	-|-|-|----⌫--⌫---|-|
il trestmeint e nantl	-|----|-----⌫-⌫---||
espe eetli	----⌫|-|-|
coupalates tepuis la	----|-|---⌫-|---|-|
bailla azzdeses	-----||-|-|--|
escuiersapres	-------|----|
se n montaen	|-⌫|----|-|
sal e etrega rda ue rs le	---⌫|-|----⌫--|--⌫-|-|
bercelsi leuit	-----|-|-|--|
t outsanglantetl aplace	-⌫--|-------|-|-⌫|----|
toutesan glant eil	----|---⌫-----⌫|-|
par ts itr ou ua les trois	---⌫|-⌫|--⌫--⌫-|--|----|
tronconsdusar pente t	-------|-|---⌫---|-⌫|
lorsse merue illa	---|-|-----⌫---|
moltco nme nt ce	---|--⌫---⌫-|-|
estreauenuiluintuers	----|----|-|---|---|
lebercelsile	-|-----|-|-|
uitcedesusdesouzet	--|-|----|-----|-|
trouuale nfantuiuant	-----||-⌫----|-----|
ladameetles	-|---|-|--|
q uiestoien ta uec	-⌫-|-------⌫|-⌫--|
u e n u zpo urueoir	-⌫-⌫-⌫-⌫|--⌫-|----|
celemerueilleil	---|--------|-|
reg arderentle sarpentet	---⌫-------|-|------|-|
deueritequele	-|-----|--|-|
s estoitc om ba tuzpourl	|-----|-⌫--⌫--⌫--|---||
sarp entpour	----⌫--|---|
e nfan t lorsdit li sires	-⌫----⌫|---|--|-|----|
aladamedame	|-|---|---|
mon leuriermaue z	--|------||---⌫|
ocirrep oruostreenfan t	-----|-⌫-|-----|-----⌫|
auoitgarantidemort	----|------|-|---|
siuous aicreue	-|---|-|----|
pasf et que sageme s	--|-⌫-|--|---|--⌫|
yta ntsachiezceque ie	---⌫-|------|-|--|-|
paruost re	--|----⌫-|
conseilnusne	------|--|-|
men do nra	|-|--⌫--|
p en itance	-⌫--⌫-----|
ilsasistet se	-||----|-|-|
f istdeschaucie retpuis	-⌫--|----------⌫|-|---|
coupalesauanpiez	----|--|-------|
de se s chau c es sis en	-|--⌫|----⌫-⌫-|-||-|
al asanz regarderfame	--⌫|---|-------|---|
neenfant que il eust	-|-----|--|-|---|
pourlecourrouzdeson	---|-|-------|-|--|
leurie r lors dist	------⌫|---|---|
mest resbanc illas	----⌫--|----⌫----|
empereeursire	--------|---|
parle c onse i l	--|-|-⌫----⌫-⌫|
d euostre fameuolez	-⌫|-----|---|----|
dest ruir euostre filz s anz	----⌫----⌫|-----|---|-⌫--|
de uosbarons	-|--|-----|
empuis se ilausiauenir	-|----⌫-|-|---|-----|
che ualierdeson	---⌫-----|-|--|
leurierp armonchief	------|-⌫-|--|----|
emperier esilne	--------⌫-|-|-|
au endrapasai nsintse	--⌫----|--|--⌫----|-|
diex ples t	---|----⌫|
carilnemorr a	--|-|-|----⌫|
yycenzmerciz	-|---|-----|
distmestreb ancillas	---|-----|-⌫-------|
lim ondeuous	-|-⌫---|---|
