formCico umence	---|-|--⌫-----|
den iersqildeuoit	---⌫---||-|-----|
Il sepens a	-|-|----⌫|
qu ili roit	-|-|-⌫---|
ase intBeneoit etsilidiro itsa	|--⌫--|------|-|-|-|----⌫-|-|
beso ig ne.	----⌫--⌫-||
L ors uintausei nthome	-⌫--|---|-|---⌫-|---|
abeïeetsi	-----|-|-|
l i contacomilestoitmaubailliz por.	-⌫|----|--|-|-----|---------|--||
so uz quil	--⌫-|-|-|
deuoitaunhome .	-----||-|---||
Lise inzhomqi la parolecelui ot	-|--⌫--|--|-|-|-----|----|-|
entenduedist	-------|---|
qilnauroit.	|-||-----||
sou lzennule	---⌫-|-|---|
manieremes neporqant leconforta	------|--|--------|-|-------|
ilparb e leparolesili	-|--|-⌫-⌫-|-----|-|-|
distu ate n etsirep ere amoi	---|-⌫||-⌫|-|-|---⌫--||--|
autierziorcariena i	-|----|--|--|-||-⌫|
huinule chos e qe ie	--|---|----⌫|-|-|
doner tedoie.	----|-|---||
Lipre ud omsedepartide laet	-|---⌫--⌫-|-|------|-|-|-|
s einzBene oizr emestenorisso nssi	-⌫---|----⌫--|-⌫----|-|------⌫-|-|
c om ilauoit	-⌫-|-|----|
etcilqibeso igneu zestoitrepe ra	-|--|-|----⌫-----⌫|-----|----⌫-|
autierzior.	-|----|--||
Tantostcomilfureuen uztrouaunsdes freres	------|--|-|-|-----⌫-|----|--|--|-----|
de lameson seur	-|-|----|---|
unehuceqileenzestoit pleinedeforment.	--|---|-|----|-----|-----|-|------||
soulz decele monoieqicoro it adonques	----|-|---|-----|-|----⌫-|-------|
Il uint a sei n t	-|---||---⌫-⌫|
Liseinzhomcomandaconli	-|----|--|------||-|-|
aporta stsi le s fistdonera	------⌫-|-|--⌫|---|----||
celuiqimes tierenauoi t	----|-|---⌫---|-|----⌫|
etsi li distqele s.	-|-|-|---|-|--⌫||
soulz e npaiastsicom il deuoitf ereet	----|-⌫|-----|-|--|-|-----|-⌫--|-|
deniersreten istadespendre.	------|-----⌫--||--------||
en m ercia	-|-⌫----|
s icom ildut	-⌫|--|-|--|
feremoutdurem en t sireperali ezetio iansarriere	---|---|-----⌫--⌫|-|-----|--⌫-|-|--⌫---|------|
s ipaiasad ette.	-⌫|---|-|-⌫---||
Or uos conteraiqed un sien	-|--|-------|-||-|---|
deciple me	------|-|
dist rentq ila	----⌫---|-⌫|-|
c hose auoientueü e.	-⌫---|------|----⌫||
Unshome stoit qui uns	--|--|-⌫----|--|--|
autre s haoitmoutdure mentettanta lalahaineqe	-----⌫|----|---|----⌫---|-|---|-⌫-|-|----|-|
cilsepensa qillociroitmesnesauoit	--|-|----||-||------|--|-|-----|
manierepluscouertement	------|---|----------|
le pe ü stf ere.	-|--⌫--⌫-|-⌫--||
T antsepensanonporq antet ior et nui tqe	-⌫--|-|----|-------⌫--|-|--|-|---⌫|-|
lidea b lesli mistencorageqiu olentiers	-|---⌫-⌫--|-|---|-|-----|-|-⌫--------|
a tornetieuschosesquil ocirroit celuiparuenim	-⌫----|----|-----|-|-|-------|----|--|----|
qil limet r oit	|-|-|---⌫-⌫--|
e nsonboiure.	-⌫|--|-----||
Einsin tle fis t	------⌫|-|---⌫|
mesliue nins	--|-|--⌫---|
not p aslaforc e parla uolenténost re	|-|-⌫-|-|----⌫|--|-|-------|----⌫-|
Signorsicomie	-----|-|--|-|
cui tqi l lep eüsto cir re	---⌫||-⌫|-|-⌫----|-⌫---⌫-|
mesneporqan t lemua ilsi q eli	--|--------⌫|-|--|-|-|-⌫|-|
cuirslipelatozet	----|-|---|--|-|
de uinttozli	--⌫---|--|-|
corsaussicom etozliepreu s.	---|----|---⌫|--|-------⌫||
Cil fuameneza seintBeneoit	--|-|-----||----|------|
enl abei ̈e	-||----⌫-|
Ett antost com	-|-⌫-----|--|
liseinzhomlotato uchiéli fu sa nte ́ rend ue	-|----|--||-|---⌫-----|-|-|--⌫---⌫|----⌫-|
ent elmanier e qetrac e	-|-⌫-|------⌫|-|----⌫|
n eense ignedelentosc hementdel ueninz n i	-⌫|----⌫---|--|------⌫-----|--|-----|||
fu u eu ̈e.	-|-⌫--⌫-||
Enceltensqe la grantfamine fuen	-|--|---|-|-|----|-----|-|-|
celecontre e departiet donaseinz	---|------⌫|------|-|---|----|
Be neoizatoz ceus	--⌫----||--|---|
qi besoigneus es toi ent totes l eschos esqi	-|---------|--⌫---⌫--|----|-⌫-|----⌫-|-|
uiandesestoienten s abeïeneni	------|-------|-||-----|-|||
reme st el	----⌫-|-|
celier riens nul eforsun pou d uile	-----|----|---⌫|---|-|--||---|
e nunues seldeuoirre .	-⌫|-|---⌫--|-|-----||
Adonciu intun sclers soz diacresA g apites auoitnon et	----||-⌫--|--⌫|----|---⌫------|-⌫-⌫-----|----|--|-|
sidistqu ilauo itbesoigned u npou d	-|---|-|-|---⌫-|-------||-⌫|--||
uilee tc on	---|-⌫||-|
lifeïstdon e r seleenz en au oitpoint.	-|-----|---⌫-⌫|-|----|-|--⌫--|----||
L iseinzhom qi	-⌫|----|--|-|
toutuoloit	---|-----|
done re n te rr eceq ilauoitporaquerrela	----⌫|-⌫|--⌫--⌫|-||-|----|--|------|-|
ioie del cielcom anda c	---|--|---|---⌫---||
on li donast	-|-|-----|
cet antetd uileqiestoitr emes	-|-⌫----||---|-|-----|-⌫---|
en lampouled e	-||------|-⌫|
u oi rre .	-⌫--⌫--||
Limoines qicel erierse st oit oï bien qe li	-|-----|-|---⌫-----|-⌫--⌫--|--|---|-|-|
s ein zhom	-⌫---⌫|--|
comanda mesiln el e uoutfere	------|--|-|-⌫|-⌫|---|---|
Qa nt u int	--⌫-|-⌫--|
aprésceunpeti t seinzBeneoizdemanda	-----|-|-|----⌫|----|------|------|
aucele rier sila uoi t doné c e	-|----⌫---||-|-⌫---⌫|----|-⌫|
qil li auoitcoma ndéadone ra celu i q i	|-|-|----|----⌫---||----⌫||----⌫|-⌫|
mestier en auoit.	------|-|----||
Limoine slirespondiq il	-|-----⌫|-|-------||-|
nu leschoses	--⌫--|-----|
neli au oitdoneescars i llieüs tdon é	-|-|--⌫--|-----|--||-⌫|-|----⌫|---⌫-|
cetantduileneispoint	-|---||---|---|----|
nenfust remesa oés	|-|---|----||---|
toz lesfreres	--|--|-----|
Dontfu mout co rrocie zseinzBe neoizsiconmanda as	---|-|---|--⌫------⌫|----|--⌫----|-|-------|-|
aut r esmoines qilcel uesselde uoirreen	---⌫-⌫-|-----||-|--|-----|-|-----|-|
q oici l tantduil e	-⌫-|--⌫|---||---⌫|
esto it re mesg etassentfors	----⌫-|--⌫--|-⌫-------|---|
deleenzpar les fenestres car	-|----|--|--|--------|--|
ilneuoloitmi eqeaucune	-|-|-----|--⌫|-|-----|
choseremansistenl a bei ̈e	----|--------|-||-⌫---⌫-|
pari no bedi ence .	--|-⌫--⌫----⌫---||
E insintlefirent	-⌫-----|-|-----|
D es ozlafe nestr e auoit	-⌫--⌫-|-|--⌫-----⌫|----|
unemout gra nt parfondecec arla mesonestoithautassis e	--|---|---⌫-|---------|-⌫-|-|----|-----|---|-----⌫|
sou rl ana i ̈u eroche.	---⌫|-⌫|--⌫-⌫--⌫|----||
Liuess e aus deuoirreqicontreualfugetezseurles	-|----⌫-⌫--|-|-----|-|--------|-|----|---|--|
pierresnebrisamienenerespand imienoient	------|-|----|--|-|-|-------⌫|--|-----|
plusqesilfust	---|-||-|---|
bele ter reple ine.	---|---⌫-|---⌫--||
QantseinzBen eo iz	---|----|---⌫--⌫-|
uitceillecomandaa rapor teramont et	--|-|-|-|------||-----⌫--|----|-|
ad onnert o ut entiera	|-⌫----|-⌫-⌫-|-----||
celuiqil auoit demand é.	----|-||----|------⌫-||
ilass a m b lat ozsesfrereset siblasma	-|---⌫-⌫-⌫-⌫-|-⌫-|--|-----|-|-|-----|
deuan teus lemoineqi ce lerierses to it de	-----⌫|--|-|----|-|--⌫------|--⌫--⌫-|-|
ilauoittrespasséobe diencesetlors	-|----|---------|---⌫------|-|---|
len fistrendre	|-|---|-----|
sicomilsot	-|--|-|--|
qe ress ons fuetd r oiture .	-|----⌫--|-|-|-⌫-⌫-----||
fetetcilmoines	--|-|--|-----|
ot est éeinsintrepris etblasmezdes	-|---⌫-|------|-----|-|------|-||
ueur e seinz Be neoi zrecome nçases orissons a	----⌫|----|--⌫----⌫|------⌫---|--|-------||
fere enuersnos treSig nor .	---|-----|---⌫--|---⌫--||
Litoniausenqoilih u iles sol oi t	-|------|-|--|-|-⌫-⌫---|---⌫--⌫|
est requiuuidiez e stoitestoitestoupezdeseurea ussintcoms	---⌫-|--|------|-⌫----|-----|-------|------|-⌫-----|--||
ilieüstaucune	-||----|-----|
seinz Be neoiz oroit ilresgardasiuit	----|--⌫----|----|-|-------|-|--|
qeliesto upausdel toniel	-|-|----⌫----|--|-----|
cou me nç aa	---⌫--⌫---⌫||
sosleuer parceqelih u iles	-------|--|-|-|-|-⌫-⌫---|
croi ssoite ttantq u il comença acheoir	----⌫----|-⌫|---|-⌫|-|-------||-----|
pardeseure forsdeltonelseurle	--|------|---|--|----|---|-|
pau e me nt habundanment.	---⌫-⌫--⌫-|-----------||
Qa ntseinzBene oiz	--⌫-|----|----⌫--|
le uitillessas	-|--|-|----||
ori sson a feireetli	---⌫---||----|-|-|
huilesces sa dese u ronder forsdeltonielet	-----|---⌫-|-|--⌫-⌫-----|---|--|-----|-|
dedecor re sor	-|-----⌫-|--|
lepauement.	-|-------||
Dont apela sonceleri ersiledoc trina et amonestaqu	---|----|--|------⌫-|-|-|---⌫----|-|-------|-|
ileüst foiethumil it é	-|----|--|-|-----⌫--⌫-|
etsi lessastdesesper﻿ ance	-|-|------|---------⌫---|
Etlimoines	-|-|-----|
senamen da	|-|----⌫-|
otangoissesc arliseinzhomdemostroit﻿par miracl esla	-|--------|-⌫-|-|----|--|----------|--|------⌫-|-|
hauteuertunostreSigno rqillorensign o i tp arparoles	----|----|-----|-----⌫||-|--|------⌫-⌫-⌫|-⌫-|------|
n enestoitnusq idoutast de	-⌫||-----|--|-⌫|------|-|
sespromesses	--|--------|
rendiuntonelpleind uile por uneampolete	----|-|----|----||---|--|--|-------|
qi pr e sestoitqe uu ide	-|--⌫-⌫|-----|-|--⌫--|
UneautrefoizauintqeseinzBen eoiz	--|----|---|----|-|----|---⌫---|
a loital eg li sseMonsignorSe int I ehanqi en	-⌫---|||--⌫--⌫--|--------|--⌫--|-⌫---|-|-|
somlamontagne estoitfeteetes to ree.	--|-|-------|-----|---|-|--⌫--⌫--||
Sicomilalo ittotelauoielideablesli	-|--|-|---⌫-|---|-|---|-|------|-|
uinta len contreensanb la nce dunmir esi	---|||--⌫-----|-|----⌫--⌫--||-|---⌫|-|
portoit en	------|-|
sameinun ecorne .	-|---|--⌫|----||
Lis einzhomlid emandaouilaloit	-|-⌫---|--|-|-⌫-----|-|-|----|
lire spondiqil aloit	-|--⌫-----||-|----|
asfrer esetsiloruol oitd on e r	-|----⌫-|-|-|--|---⌫--|-⌫--⌫-⌫|
poison caril est oitfu siciensmestres etmouts auoitde	-----|--|-|---⌫--|--⌫------|------|-|---|-⌫----|-|
m edecines.	-⌫-------||
Lorsletres passaliseinzhoms iala	---|-|----⌫----|-|----|--|-⌫|--|
egliseorer.	-----|---||
Et tantostc omilot sesorissons fetes	-|------|-⌫-|-|-|--|-------|----|
i lrepaira mout isnelement arr iere.	-⌫|------|---|---------|---⌫---||
Etlideable sauoit troué unuielhome	-|-|------⌫|----|-----|-|---|---|
qiap ortoiteuea	-|--⌫-----|--||
oé sune delo roff icin essi	---⌫|--|-|--⌫|---⌫----⌫-|-|
lientraouc or s et lorsl ecom ença	-|----|-|-⌫--⌫|-|---|-⌫|---⌫----|
a tormentermoutdure ment.	|--------|---|----⌫---||
otabatucontr eterreli s einz	-|----|-----⌫|----|-|-⌫---|
uitsisaproçadelu isi	--|-||------|-|--⌫|-|
lid on auneioeeeta	-|-⌫--⌫|--|---|-||
enchaçaille deableconques puis nosa	-|-----|-|-|-----||-----|---||--|
arresterelmo inene au tre fo ierepairi er .	-------|-|--⌫--|-|--⌫--|--⌫-|-------⌫-||
Une autr e foiz auintqeunsmaus	--|----⌫|---|----|-|--|---|
de mauuesecreance Z allaauoit	-|------|------|-⌫---|----|
nones to itu enuzen celec on tree p ar l econ mandement	--|--⌫--⌫-|-⌫---|-|---|-⌫--⌫---|-⌫-|-⌫|---⌫--------|
de lroietencelui auoit si	--⌫|--|-|-|----|----|-|
grantfe lonie	----|--⌫----|
grantcruautéq a	----|-------|||
poinespooitmoinesdeuan t	-----|----|-----|-----⌫|
luiuenir n ecler s q	--|----|-⌫|----⌫||
feïstocirr e.	-----|-----⌫||
DontauintqecilZallaqi mout estoi tcru i eus	---|----|-|--|----|-|---|-----⌫|---⌫-⌫--|
etpleinsdemale auenture	-|-----|-|---|-------|
pris tun uilein	----⌫|-|-----|
c omenc ̧aalesdengiermout	-⌫-----⌫-||---------|---|
d uremente tatormenteret ades t re indreporce	-⌫------|-⌫||--------|-||---⌫-⌫--⌫----|--|-|
uoloitreembre.	-----|------||
Liuileinsdist qi	-|------|---|-|
moutestoit	---|-----|
agreuezdes pe inesso ffrir	------|--|--⌫---|--⌫----|
qelui etse schoses auoitilcomand éa	-|--|-|--⌫|-----|----|-|------⌫-||
seintBene oit	----|----⌫--|
lome no s tre Signor .	|--|--⌫-⌫--|-----||
D ontlelessa	-⌫--|-|----|
Zallaa t ormenter	----||-⌫-------|
silif is t	-|-|-⌫--⌫|
lesmeinsmoute stroiteme ntliierdun lien	--|----|---|-⌫---------⌫-|----||-|---|
et s ili demandaqic ilBeneoizestoit	-|-⌫|-|------|-|-⌫-|------|-----|
cuiilauoitcom andees	--|-|----|---⌫-----|
seschoses cariluo lo itq	--|-----|--|-|--⌫--⌫-||
mostrast e t ensigna st .	-------|-⌫|-------⌫-||
Liuileins dis tqece li feroit	-|------|---⌫|-|-|-|-----|
iluolentiers e tlimenro ittotela droiteuoie.	-|---------|-⌫|-|-----⌫-|---|-|-----|---||
co ume nç aa	--⌫---⌫---⌫||
alere t Za lla lensiui tantq	---|-⌫|--⌫--||-----|---||
alabeïe sitrou erentseint	||-----|-|----⌫----|----|
Beneoitt ou tseulseantalentree	------|-⌫--⌫|---|----|||-----|
de lmosti ers ilisoiten	--⌫|-----⌫-|-⌫|-----|-|
un liure .	-|----||
Liuil eins dis t aceluiqipleins	-|---⌫---|---⌫||----|-|-----|
estoit degrantforseneri e ueezicis eintBeneoit	-----|-|----|---------⌫|---|--|-⌫---|------|
lebonperede cu i i eau oiepa rle ́.	-|--|---|-|--⌫|-⌫|--⌫--|--⌫---⌫||
resgardamoutcru ielm entsi	-------|---|---⌫----⌫--|-|
lecuidapar	-|----|--|
par olesespoenterau ssint com ilsoloit	---⌫---|--------|--⌫----|--|-|-----|
les autr essil idi stmeinte nanta	--|----⌫-|-|-⌫|--⌫-|------⌫---||
hautesuoiz Lieue sus	-----|---|----|--|
LieuesusS i	----|--|-⌫|
les choses	--|-----|
a ces tu ileinqetu asp rises	|---⌫|-⌫----|-|-|-|-⌫----|
etreceües.	-|-------||
Qantlise inz homo ï	---|-|--⌫--|--|-⌫-|
sa p arolesile ss a sonlir esileresgarda	-|-⌫----|-|--⌫--⌫|--|---⌫|-|-|-------|
etpuisleuilein	-|---|-|-----|
qie n coreauoitles meinsl iees	-|-⌫-⌫---|----|--|----|-⌫---|
Et tantostcom	-|------|--|
il uit les liensdontil estoitliésconmen cierent	-|--|--|----|---|-|-----|----|------⌫------|
adesliierpareus	|-------|--|--|
meïsmespl ust ostqenu les meins d	-------|--⌫-|-⌫--|-|--⌫--|----||
om esneles	--⌫-|-|--|
peüs sentdesli ier.	-----⌫---|-----⌫--||
QantZallauitce sifumoutespoentez si	---|----|--|-|-|-|---|--------|-|
ot tot e sa cruiauté	-|---⌫|-|--------|
perdue qil se lessacheoira	-----||-|-|----|-----||
sespiezaterresisecomandaa lui et	--|---||----|-|-|------||--|-|
Li seinzhomneseleua onqes deson	-|----|--|-|-|---|----|-|--|
liureporcestechose	----|--|----|----|
einzapelases	---|----|--|
lecomanda amenerdedenz l	-|------|-----|-----||
eglisse porprendrelab eneï çon .	------|--|------|-|-⌫-----⌫---||
Qant ilfudeuantl ui ramenezilli	---|-|-|-----|-⌫-|------|-|-|
conmençaaamonesteretadire	--------||--------|-||---|
qu ildeguerpisists acruiauté et saderuerie	-|-|-----------|-⌫|--------|-|-|-------|
Zallalio troiaeinsiaferepuisfu deltot	----|-|-⌫----|----||---|---|-|--|--|
lauo lentéseint Beneoit.	-|--⌫-----|----|------||
Sirepera arr iere ne	-|-----|---⌫---|-|
onquespuisne demandanulecho seauuilei n	-----|---|-|------|---|---⌫-|-|-----⌫|
qese inzBeneoiz auoitde slie ́parsonregart	-|--⌫--|------|----|--⌫----⌫|--|--|-----|
sanzceq illatouchast.	---|-||-||--------||
O r poezuosu eoir et sauoir qecil	-⌫|---|--|-⌫---|-|-----|-|--|
qiseruent nostreSign or	-|------|-----|----⌫-|
ue raiemente ten	--⌫-------|-⌫|-|
luion t ferme creancepueent fereal a	--|--⌫|----|------|-----|---||-⌫|
f oie m ir aclesparloruolenté	-⌫--|-⌫--⌫----|--|--|-------|
etparlor poestémeïsmes.	-|--|--|------|-------||
Cep oezuossauoirpar seintB ene oi t	-|-⌫--|--|-----|--|----|-⌫---⌫--⌫|
ouilseoittozcoiz refrena illa	-|-|----|--|---|------|-|-|
cr uiautédeceluiqitant	--⌫------|-|----|-|---|
estoitgra nz comie uosaidit et qi par	-----|---⌫-|--|-|--|-|--|-|-|--|
son esgart deslia lesneusdeslie ns	--|-----|-----|--|---|--|---⌫-|
dontcilauoi t	---|--|----⌫|
lesmein sliees.	--|----⌫|----||
Or uos co nterai una utremira cleqeli seinzhom	-|--|--⌫-----|-|-⌫---|----⌫--|-|-|----|--|
fist parses orissonsporce	---|--|--|-------|--|-|
qeieuoel qe	-|-|---|-|
uos sac hiez	--|---⌫---|
come ntles miraclesq	----⌫-|--|-------||
ilfesoi tqil les fesoit	-|-----⌫||-|--|-----|
em partiepar lauolentéqe	-|-----|--|-|-------|-|
no stre S i reslia uoit do neeet	--⌫---|-⌫-⌫--|-|-⌫---|--⌫--|-|
parlapo est e ́etpar lagraceqe ilde	--|-|--⌫---⌫-⌫|-|--|-|----|-|-|-|
Lui au oitet	--|--⌫--|-|
empartieparlesorisson s	-|-----|--|--|-------⌫|
qilfesoita nos t re	|-|-----||---⌫-⌫-|
S ignoret par ses proiere s.	-⌫----|-|--|--|-------⌫||
Uniorauint qeli seinz hom estoital ez	-|--|----|-|-|----|--|-----|--⌫-|
a lachampaigne en l abor ensembleo ses	|-|---------|-|-⌫---|-------||--|
Dontauint q euns uileinsauoi t un	---|----|-⌫|--|------|----⌫|-|
s ien enfant	-⌫--|-----|
aportéto utmorttre sqa la	------|--⌫-|---|---⌫-||-|
port edelabeïeetla demanda	----⌫|-||-----|-|-|------|
ilouse inz	-|-|--⌫--|
Beneoiz e stoit	------|-⌫----|
libonsperes.	-|---|----||
Len lidi st q	|-|-|--⌫-||
il esto italezaschansl aou	-|----⌫-|---|-|----|-⌫|-|
l ifreredelameson laboroient.	-⌫|----|-|-|----|---------||
Li uileinsplo uroit etdemeno it	-|------|---⌫----|-|------⌫-|
gran tduel porlamortde	----⌫|---|--|-|---|-|
son enf ant silessale corsa	--|---⌫--|-|----|-|---||
laportesisencorut	-|----|-||-|----|
legr ant cours q erreseint Beneoi ta la	-|--⌫--|----|-⌫---|----|------⌫||-|
champaigne.	---------||
o reto utdroitementrepe roit	-⌫-|--⌫-|---------|----⌫---|
liseinzhomensemble	-|----|--|-------|
ose s freresd elabor er	|--⌫|-----|-⌫|-----⌫-|
Qant liuileinzle uit qimoutestoit	---|-|------|-|--|-|---|-----|
d olenzil començ a	-⌫----|-|-------⌫|
ahauteuoizacrier eta	|----|---||----|-||
direR entm oimon filR entmoimon	---|-⌫--|-⌫-|--|--|-⌫--|--|--|
fil Lise inzh omarres taacesteparoleetsi	--|-|--⌫--|-⌫-|-----⌫-||----|-----|-|-|
distT ai iedonc	---||-|-|---|
lemede mandesLiuil einsrespo n di	-|-|--⌫-----|-|---⌫---|-----⌫-⌫-|
etsidistIl est	-|-|---|-|--|
morz uie ns	---|---⌫-|
si leme resuscitesQantli	-|-|-|---------|---|-|
seinzhom oïce sifumolt	----|--|--|-|-|-|---|
corrociez sidistRetorne beausfrereretorne	--------|-|---|------|----|----|------|
Cene p oonsno spas	-|-|-⌫---|--⌫|--|
fereeinzfontteusc hoses li	---|---|---|---|-⌫----|-|
seint apos tr e.	----|----⌫--⌫||
Por qo ime u ius	--|--⌫|-|-⌫--|
tuc h archie r	-|-⌫-⌫------⌫|
fes qe iene puisse	--|-|-|-|-----|
po rterLiu ilei ns quigrant doel auoit n e	--⌫---|-|-⌫----⌫-|--|----|---|----|-⌫|
po rce steparolecequ il	--⌫|--⌫--|-----|-|-|-|
requeroiteinziuraq	--------|---|---||
i lnese partiroitde lu it resqata nt	-⌫|-|-|--------|-|--⌫|-⌫---|---⌫-|
auroit so nfilresuscité.	-----|--⌫|--|---------||
SeinzBeneoizlidemandaet distOu est	----|------|-|------|-|---|-|--|
tesfiuz-Seinz hom	--|---||----|--|
uo isc ̧ a le co r souil gist	--⌫-|-⌫-⌫|-|--⌫-⌫|-|-|---|
alaport e.	|-|----⌫||
Tantostcomsein zB eneo iz	------|--|----⌫|-⌫----⌫-|
ifu uenuzensemble oses	|-|----|-------||--|
freressaienoi llail	-----||------⌫--|-|
et couchaseurle corspuis	-|-----|---|-|---|---|
sitendii lsesmeins	-|----|-⌫|--|----|
c iel et sidistB eausSireDexPeres	-⌫--|-|-|---|-⌫---|---|--|----|
neprenmiegarde a mes pec hiezmesa	-|---|--|----||--|---⌫---|--||
lafoi dec e sth omeqirueue	-|--|-|-⌫-⌫-|-⌫--|-|----|
sonfil r e su sc it éet si rent l am eaces t	--|--|-⌫-⌫--⌫--⌫--⌫-|-|-|---||--⌫||---⌫|
corspartagrantd oçoretpar	---|--|-|----|-⌫----|-|--|
tagra ntm iserico rde.	-|---⌫-|-⌫-------⌫--||
Apeines o tils orisson d e fen ieq an tl	|-----|-⌫|-||------|-⌫-⌫---⌫-|-⌫--⌫||
ame r e ui ntelcorsde len fantqi	--|-⌫-⌫--⌫-|-|---|-||--⌫---|-|
se com ençaa mou uoir deua nt tozceusq i l a	-|---⌫----||---⌫---|----⌫-|--|---|-⌫|-⌫|
Lors lepristseinz Beneoiz parlamein sile	---|-|----|----|------|--|-|---|-|-|
rendiseine t	----|---|-⌫|
heitiée t uiuant a s onpe re	------|-⌫|-----||-⌫-|--⌫-|
qi moltenotgranti oie	-|---|-|-|----|-⌫--|
mira cle fist	----⌫--|---|
nostreSirespar l eso rissons delseintho m e	-----|----|--|-⌫-|-⌫------|--|----|--⌫-⌫|
c on teraiu naut remiracleqenost re	-⌫--⌫----|-⌫|---⌫-|------|-|----⌫-|
S iresfistporl amord	-⌫---|---|--||---||
uneseuesero r	--|---|----⌫|
qimou testoit	-|---⌫|-----|
seintefe me.	-----|--⌫-||
Sei nzBeneo izau oi tunesiueserorScolastica	---⌫-|-----⌫-|--⌫--⌫|--|---|----|---------|
est oitapelee parnon.	---⌫--|-----|--|--||
AnostreS ign orsestoitdonee	|-----|-⌫---⌫-||-----|----|
et ato rn e etressenfan ce et o troï e.	-|---⌫--⌫-⌫|---||-----⌫-|-|-⌫-----⌫||
Etpor m anoi r enui rginit éet porp lusentieremententendr e	-|--|-⌫----⌫|-|--⌫------⌫-|-|--|-⌫--|----------|-------⌫|
a s o e uresnostre	-⌫|-⌫-⌫---|-----|
Signo r par qoiele peü stplei reaDeu	-----⌫|--|--|--|----⌫-|----⌫-||--|
estoit eledeuen uenoneet	-----|--|-----⌫-|---|-|
auoitdeguerpiestote slesu anite z decest	----|---------|----⌫|--|-⌫-----⌫|-|---|
Celedamoiselea uoitacostumedeuenirchascunior	---|--------|-⌫---||------|-|----|------|--|
a seintBeneoi t	|----|------⌫|
sonfrere .	--|----||
Etlise inzho mqimoutenestoit liez	-|-|--⌫--|--⌫|-|---|-|-----|---|
etqimout l amoitde	-|-|---||----|-|
grantmaniereu enoitalienune m eson	----|------|-⌫----||-|-|--|-⌫---|
deforslaporte etpa rloitalie t la	-----|-|----|-|--⌫----||-|-⌫|-|
do ctrin o it etmostroitseinte s parol es .	--⌫-----⌫-⌫-|-|-------|------⌫|-----⌫-||
Unioraui ntq ele uint	-|--|---⌫-||--|---|
sicome e leauoitacost umeet seinz	-|---|-⌫-|----||----⌫--|-|----|
Beneoiz uinta li e t ne	------|---||-|-⌫|-|
s ai qa nze nsembleoluide ses	-⌫-|--⌫-|-⌫------||--|-|--|
La furent tuitle iorensemble	-|-----|---|-|--|-------|
etpar lerent dese i ntesparo les.	-|---⌫-----|-|--⌫-⌫---|----⌫--||
damois elepar laa se i nt Beneoit s onfrer e	------⌫--|---⌫-||--⌫-⌫-|------|-⌫-|----⌫|
ets i lidist	-|-⌫|-|---|
Beausfre reie tepri	----|---⌫-|-|-|--|
qe t ue ntoteces te	-|-⌫|-⌫|---|---⌫-|
nuit neme deguerpiss es	---|-|-|----------⌫-|
e inzparleronsau cuneschosesdescelestieus	-⌫--|--------|--⌫----|-----|--|---------|
ioi es tresqademeinalamatin ee .	---⌫-|----||-----||-|-----⌫-||
SeinzBeneoi zlirespondiet distBele	----|------⌫|-|-------|-|---|---|
suerqe es t ce	---|-|--⌫|-|
qeuos dites Do ntnesauezuos	-|--|----|--⌫-|-|----|--|
bienqe ienepu is forsd e	---|-|-|-|--⌫-|---|-⌫|
macelledemorere n nul e man i ere	-|----|------|-⌫|---⌫|---⌫-⌫--|
Adonc estoit li	----|-----|-|
airssi clerse t sipursetla	---|-|----|-⌫|-|---|-|-|
nuit siseri eetsi coieqenue ne	---|-|----⌫|-|-|---|-|--|-|
oscur iténiaparoitd enulepart.	-----⌫---|||------|-⌫|---|---||
Laseinted amo isele a uoit bieno ï q e sesfre resl i	-|-----|-⌫---⌫----|-⌫---|---|-⌫-|-⌫|--|---⌫--|-⌫|
auoitesc ondi lademorance	----|---⌫---|-|--------|
s ienestoitmolttriste	-⌫|-|-----|---|-----|
Elemist se s.	--|---|--⌫||
meinsens emble s eurlatableet pui s si enclina	----|---⌫----|-⌫--|-|----|-|---⌫|-|------|
so nch ief s eur sespaumessi	--⌫|--⌫--|-⌫--|--|-----|-|
fista nostr eSignorunemou tcorte	---||-----⌫|-----|--|---⌫|----|
Et t a nto st come elemistetrele u a sonchi efamont	-|-⌫-⌫---⌫-|---|--|---|-|----⌫-⌫|--|---⌫-|----|
to noire etespart ui ndrentd etotes	--⌫----|-|-----|--⌫-----|-⌫|----|
parz enleir	---|-||--|
si g r ante tsiorrib le	-|-⌫-⌫--|-⌫|-|-----⌫-|
sem bloitmeintenantq e	---⌫----|---------|-⌫|
foudredeüsttot le	-----|-----|--|-|
m ondeacrauenteretunesi grant	-⌫---|---------|-|--|-|----|
habundancedunes gr ossesgoutesdeplui euint	---------||---|--⌫----|-----|-|----⌫|---|
ensambleocezton oirresqeseinzBeneo izne	-------||--|---⌫-----|-|----|-----⌫-|-|
sifre reneseporent mouoir en nulemaniered	-|---⌫-|-|-|-----|-----|-|---|------||
ensem bleo la damoise le .	-----⌫--||-|-------⌫-||
E tpar les	-⌫|--|--|
lermesqeel e auoitploreesseu rla tab le enses	-----|-|--⌫|----|------|---⌫|-|---⌫-|-|--|
meinslao u	----|-|-⌫|
son chief aclinéestoitc ele g rantpluieuenu ep ar	--|----|------|-----|-⌫--|-⌫---|----|----⌫|-⌫-|
