me laisié sporl	-|-------⌫|--||
metucon selli er	-|-|---⌫-----⌫-|
Auroiestuo	------|-||
toia boir en a mengier	--||----⌫|||------|
Ne nule creature dont	-|---|-------|---|
mepeusse aidier	-|-----|-----|
chiunedame	--|--|---|
laseest de ceuacier	---|--|-|-------|
Eleatelfa inalceur uiu e	--||--|--⌫-|-|---|---⌫|
q uidees ragie r.	-⌫---|--⌫-----⌫-|
Di s tlipelerins	--⌫-⌫|-|-------|
Sireiac e lerne u osquierIai chiun	---|-|-⌫-⌫--|-|-⌫-|----||-|--|-|
demipainet	---|---|-|
entier Prendés	-----|-------|
enta plaisirquar iel uoil	--||------|---|--|---|
otroier Caronquesa fran chome	------|--|-----||----⌫|---|
neuea imonm engier. -	-|---⌫|--|-⌫------||
HéD i eusce dist	--|-⌫-⌫--|-|---|
en soiesgra siésPor	-|----|---⌫----|--|
mars dargent ne	---||-----|-|
fuisseiousi	-----|--|-|
liés A iolsdessentsor l	----|-⌫---|------|--||
erb eligentix cheu alie rsE tuin talapucele ius	---⌫|-|-----|----⌫----⌫-|-⌫|---⌫||-|-----|--|
sa ns targier	--⌫-|------|
Andois e s ontassis	----|-⌫|-⌫--|----|
s oz .i.arbrefoillié .	-⌫-|--|----|--------⌫|
Li peleri nsf u	-|------⌫-|-⌫|
sage[s]cort oiset e nsengiés Abandon	------|----⌫--|-|-⌫--------||-----|
misson painmoltuo lent iers Ai ols etlapuceleen	--|--|---|---|--⌫----⌫---|--⌫--|-|-|-----|-|
ontassé s	--|-----⌫|
ma ngietMaisilni otque	--⌫----|---|-|||-|--|
boi re dechoufulimesciés.	---⌫-|-|---|-|-|--------|
Lipelerin[s]ot	-|---------|-|
aiguepuis sieen.i.uiuier	----|----⌫--|-|--|-----|
Quilpor teen	-|-|---⌫-|-|
bochelporse(n)soifrefroidier	-----|--|----|---|---------|
sans dangier.EDieusche dist A iol[s] t	---|-------||----|--|---|-⌫------⌫|
com oreaimonceur	--|--|-|--|---|
liéPoramor ceste	---|--|---|----|
unpoiama ngié	-|--||--⌫----|
Peleri n[s] biausamismo ltasbien es ploitiéOnques	------⌫---|----|---|--⌫-|-|---|--⌫-------|-----|
nusdisner[s]nef umiexen pl oié[s] Carietebaillerai	--|--------|-|-⌫|---|--⌫--⌫------|--|-|-|--------|
boin c orantdes trier uo is entchi	---|-⌫----|---⌫----|--⌫-|--|--|
.ui.biausfr ere molt	---|----|--⌫--|---|
bien aparelliés O rp renttou tlemillor coisia	---|----------|-⌫|-⌫---|---⌫|-|-----|----||
t on co ngié	-⌫-|--⌫----|
Et prenen ce le	-|---|-|--⌫-|
male.c. sousdemes denier[s]Por	---|--|---|-|--|--------|--|
porter a uoec toi alcor oid eldestrier	-----|-⌫---|--|-|---⌫-|-⌫-|-------|
Poresploi ti ertauoie	--|------⌫--⌫-|-|---|
moltgrantmestier.	---|----|-------|
DistlipelerinsS irep or noienten	---|-|-------|-⌫--|-⌫-|-----|-|
plai diésN aisoig	----⌫----||-|---|
uos treauo i rcar	---⌫--|---⌫-⌫|--|
suicargié s	--|-------⌫|
Ienaporc a p lent é	|-|----||-⌫----⌫-|
por mauoi ee sploi tierNeuocorant	--|-|---⌫|-⌫-----⌫---|-|-|-----|
destrier ne maroie nt	-------|-||-----⌫-|
m esti erCanço is	-⌫----⌫-||-----⌫-|
dem aina l	---⌫--|-⌫|
uespre quesol ausfustcouciés	-----|--|---⌫--|---|-------|
Poroiepar tellieu	-----|--|--|---|
esrere tcheuau cierQu eieseroieto s t	----|-⌫|------⌫---|--⌫|-|-----|--⌫-⌫|
cestde strier.u o seste s prèsdes	---|--⌫------|-⌫-⌫|----⌫|----|--|
mar ches u mainent	---⌫---||------|
l ipai enPensés	-⌫|---⌫-|------|
desp eroneretde u o seslongier Ca r	|---⌫-----|-|-|-⌫-⌫|--------|--⌫|
siluo saperço iuent uou ie n	|-|--⌫|-------⌫----|-|-⌫-||
a mestier.Atant s	|-------|----||
en trencommandent aDame l dédel	--⌫-------------||----⌫-⌫--|--|
ciel. CXLuIDeso rs	----|----|--|-⌫||
Aiol[s ]delpelerin s en part.Ligen tie x	------⌫|--|------||-|----|-|---⌫---⌫|
cheualie rstou te	--------⌫-|---⌫-|
ior che uauca u itle	--|---⌫----|-⌫-|-|
uespreaprochieret	-----|--------|-|
leiordeclina	-|--|------|
Le solai labais cier uerslesconser torna	-|-----⌫|-----⌫---|---||-------|----|
cortoise m ent Dameldérecl amaQue	--------⌫-⌫--|-------|----⌫--|--|
bo inos t ellidoin stcar	--⌫-|--⌫-⌫-|-|----⌫-|--|
grant mestieren	----|------|-|
a.Aiol[s]lifieusEli esor	-|------|-|----|---⌫|--|
destrereg arda	-----|---⌫---|
Entre.i. boset	----|--|--|-|
quelifranshon troua De ioste	--|-|----|--|----|--⌫----|
forestdroitementregardaEt uitune maiso n	-----|---------|------|-|--|--|-----⌫|
u.uii.larons	|----|-----|
trou a.Agrantpon t torneishautes p ortesia	----⌫-||----|---⌫|------|-----|-⌫----|||
fos sé parfont uo naf aitmai ntmal	---⌫--|------||-⌫||-⌫--|---⌫-|--|
Quant fr anshon	----|--⌫--|--|
i pass oit	|----⌫--|
quia s aintIaqueala	--||-⌫---|----|--|
Ch eual ier[s]uborgoisqui la	--⌫----⌫-----||------|--|-|
ac heminaCil	--⌫-----|--|
faisoient acroi requerent	--------|-----⌫-|-|----|
d unospital	|-|------|
Nepooitnus	-|----|--|
p a sserqueonnel desreubast. Aiol [s] poin tcele	-⌫-⌫---|--|-|--|----------|----⌫--|----⌫|---|
part leceu al aua nchaChadefors	---|-|---⌫-|---⌫---|--|-----|
sous .i.a rb re	---|--|-⌫--⌫-|
laro nstroua .Atant euousAiol	----⌫-|-----⌫|----|----|---|
quibell essal uaDe Dieu	--|--|-⌫-|---⌫-|-|---|
gloir e qui toutlemont	-----⌫|--|---|-|---|
form a Nus	----⌫|--|
nelirespondil	-|-|-------||
un[s] lautreregarda. E tqu antche	----||----|-------|-⌫|--⌫--|--|
uitAiol[s] formentse	--|------|------|-|
co rech aMira bi aus lapuceleformen ts	--⌫----⌫|----⌫--⌫--|-|-----|------⌫||
en meruella.	-|--------|
C XLuIIAiolsales l arons ensamblesaluésAinsne	-⌫----|----||--|-⌫----|-------|------|---|-|
lire spondinusdesglouton sfaés.Et quant	-|--⌫-----|--|--|-------⌫|-----|-|----|
che uitAiol [s]	--|--|----⌫--|
molt se nestairés	---||-⌫|--|-----|
Fi eremen t le srape le si	--⌫------⌫|--⌫|----⌫-|-|
Signorch edistAio l[s] molt	-----|--⌫|---|---⌫---|---|
granttor ten aués Quide	----|---⌫|-|----|--|-|
saluesi neme responde ́s. Gardésqueuous	----|-|-|-|--------⌫--|------|--|---|
uers moinulm al p ens é(s) Par icel saintapo stlec	---|--|--|-⌫-|-⌫---⌫----|--|---|----|---⌫---||
en NoironpréA ceste mo ieespee	-|-----|---||----|--⌫-|----|
qui mepenta monl és	--|-|---||--|-⌫--|
uosquics iestormir ains	--|---|-⌫|-------|---|
qui l soitauespre ́(s) I ali	-|-⌫|---|-------⌫---|-⌫|-|
mieudre d eu ous nesenporauanterQueuos	------|-⌫|-⌫--|-||-|---|-----|--|--|
etle smembrescopés.Quant l ilaronloirent	-|--⌫|------|------|----|-⌫|----||-----|
sifait em en t	-|----⌫--⌫--⌫|
parlerTr e stousl i	-----|--⌫-⌫----|-⌫|
plusard is a depaor tr anble ́.R obaus	---|---⌫-||-|---|--⌫-----⌫-|-⌫----|
qu if u l im aistreseneste np iés leue ́s	--⌫|-⌫|-⌫|-⌫------|-|--|-⌫|-⌫---|----⌫-|
Cis ertmais tres	--|--|----⌫---|
autressesauoit	-----|--|----|
a g a rderEtot en soneag e	|-⌫-⌫---|-|-|-|--|---⌫|
.iiii.xx. ans	--------|--|
passe ́sMol t otlongelebarb e	-----⌫-|---⌫|-|----|-|----⌫|
dusqual neudelbaudré	----|-|--|--|------|
Maintpelerin au oit mordrietestranléDontli pecie ́	----|------|--⌫--|-----|-|--------|---|-|-----⌫|
furentdedens	-----|-----|
lecorsreme ́s.uenu ses taAiolsi	-|---|----⌫--|----⌫|--⌫||---|-|
ara is onéGentieusdamoi seussiremoltgrant	---⌫--⌫---|-------|-----⌫---|---|---|----|
tort enaués	---|-|----|
Ai ncneuosmesfesi sme s.i. deniermoneé	--⌫-|-|--|-------⌫---⌫|--|-----|-----|
manechiésdelat este	---------|-|-|-⌫---|
a cauper.Iaso mes nousc onuers	|------|-|--⌫--|---|-⌫-----|
renduetrieule ́Si ne deuonsahomene	----|-|------⌫|-|-|-----||---|-|
plaidie rneparl er	-------⌫|-|----⌫-|
esten c apit ledesfenduetueéNenost re obed iench e	--|-|-⌫----⌫-|-------|-|---|-|----⌫-|----⌫-----⌫|
neuolo nstrespasser.- Si re	-|----⌫-|----------||--⌫-|
chedis tAiol[ s]bien peut	--|---⌫|-----⌫-|---|---|
es treureté Seieuous aimesfa itor	--⌫--|-----|-|-|---|-|-----⌫-|-|
par donés.	---⌫------|
Ie su i unscheualiersnés	-|--⌫|--|---------|---|
d Orliens la	|------|-|
chit éSisuihom	----⌫-|-|--|--|
Loe y sle fortroic or onéIe uieng de	---⌫-⌫|-|---|--|-⌫--⌫---|-|----|-|
Panpelunela mi r able	--------|-|--⌫-⌫---|
chit é.Anuit mais siluosplaist meprest e ́s	----⌫--|----|---||-|--|-----|-|-----⌫-⌫-|
u ostreoste l	-⌫----|----⌫|
En fre sia demain queilsoitaio rné Un(s)	--⌫---⌫-||-----|--|-|---|---⌫---|----|
des millors	--|------|
cheuausqueuous ichiue és Sire p oru ostreostagese	------|--|---|---|--⌫--|---|-⌫-|-⌫----|-----|-|
uo s plaistprendés	--⌫|-----|-------|
Forss eulement lemiendon tie suiado ube ́s	---|-⌫-------|-|---|---⌫|-|--|---⌫---⌫-|
donroie cela	------|--||
hom e qui soitné[s].	---⌫|--|---|------|
en tendiRobaus	--⌫----|-----|
grantio ie enamenéEtd istentres es	----|--⌫-|-||----|-|-⌫--|----|-⌫-|
densc oiementa	---|-⌫------||
Parlem ien ensiant quant	--|-|-⌫--|------|----|
demoipar ti re ́s	-|--|---⌫--⌫--⌫-|
On ques mais	--⌫---|---|
nulhome sami e ne ta urés.Dieusc Aiol[s]	--|---||---⌫|-|--⌫-----|----||------|
ne le ntent li	-||-⌫----|-|
gentiexbace l ersIa	------|----⌫-⌫--|-|
li trenchast leteste a	-|--------|-|----||
son b ra ncaceré.	--|-⌫--⌫-|------|
uasalchedistli	----|--|---|-|
l er e s or	-⌫--⌫-⌫|-|
neuou sde s mentésHer ber gié s	-|---⌫|--⌫-⌫------|---⌫---⌫----⌫|
seré suou sauostre uolenté Aincn ele	-----⌫|---⌫||-----|-------|---|-⌫|-|
ui fa irehomed e tout	-|--⌫--|---|-⌫|---|
monpar entéSil herbergastfra nc	--|---⌫----||-|---------|---⌫-|
home neeusto stelé	---|-|---|-⌫-----|
Que iap o runenu it	--|-|-⌫-⌫|--|--⌫-|
lico ntas t sonsoupe r Etnon ferag e	-|--⌫----⌫|--|-----⌫|-|--|---|-⌫|
uoscar uou sme s ambl és b er. Mais cheuacié s auant	--|--|---⌫|-|-⌫----⌫--|-⌫--|---|---------⌫|----|
c orsdesarme ́s.	-⌫--|-------⌫--|
d istAi ol[s] .u.c. merchis	-⌫--|--⌫----|----|------|
grés.Hé Dieusquil	-----|--|----|-|-|
neso tm ie sonceur	-|--⌫|-⌫-|--|---|
etson pensé	-|--|-----|
arestastporlorde.x.	-------|--||-|-|--|
Dam ede[ x] nen	---⌫----⌫-||-|
b onté Aincmai sli	-⌫----|---|---⌫|-|
f iexElienot . i.si	-⌫--|---||-|-⌫-|-|
malos telCo mcilli	--|--⌫--|--⌫|--|-|
uenderonta ins qu ils oit aiorné.	--------|-⌫--|-|-|-⌫--|-------|
CXLuIIIA io l [s]poin t Marchegaisi	------|-⌫--⌫-⌫--|----⌫|--------|-|
ceuauchaauant D essi	-------|----|-⌫---|
alema isonnefistareste mentN e ui tfualumé	|-|--⌫---|-|---|------⌫---|-⌫|--⌫|-|-----|
enfantNedequisinefa irenul aparellement.He ́Dieus	-----|-|-|------|--⌫--|--|------------|--⌫|----|
che dist Aiol[s ] parle	--|---|------⌫|--|-|
uostre commant Quelgentpe u ent	-----|------|---|---|--⌫-⌫--|
cheestrepered e Bell ean tQui	--|----|---|-⌫|----⌫---⌫|--|
mainent enchebos çaienssi	------|-|--|--|------|-|
souti em ent-Sire distMir abiausalg ent	-----⌫--⌫--||---|---|---⌫-----|-|-⌫--|
corsauenant	---|------|
mequerrésmais en trestout	-|-------|---|-|-------|
mo nuiu a nt Sech enes ont	--⌫|---⌫-⌫-|-|--⌫|-|-⌫--|
lar ontraitorsouduian t Gardés neuous	---⌫-|------|--------⌫|------|-|---|
s ouprengentfranc	-⌫---------|----|
cheualieruaillant Puisque h onest	--------|-------|---|--|-⌫-|--|
souspris il neuautmie	-------|-|-|---|--|
.i.gant. -Belechedist Aio l[s]	--|----||---|--|---|---⌫---|
porque npa rlésuos	----|-⌫|--⌫----|--|
Par ice l saint	--|---⌫|----|
apos tlequ e quierentpeneant N arai	----⌫--|--⌫|-------|------||---|
deslaci ethel me	-------⌫-|---⌫-|
neostégarni ment Ainsarai toute	-|----|-----⌫---|---|---|----|
çaintelespe e alflancSilme uent	------||----⌫|-|----||-|--⌫---|
contr e nos neo rgeulne	-----⌫|--|-|-⌫----|-|
beubantIes quicsi atorneramon	------|--|---|-|------||--|
ach e rin brancuers	---⌫-⌫--|----|---|
demespeen aro nt dem ortg aran t.	-||----||---⌫-|-|-⌫--|-⌫----⌫-|
Il dessend ia	-|-------⌫||
terredel destrierauferrantPuis	----|--|-------|--------|---|
uintalapucel eal	---||-|-----⌫|-|
cors auenantEntrese sb ra s	---|------|----|--⌫|-⌫--⌫|
l eprent toutsoefle desse nt	-⌫|----|---|---|-|-----⌫-|
Trésen mile	----|-|-|-|
maisonlasistdesor. i.bancPuis	-----||----|----|-⌫-|---|---|
ui [n]tasesche u aus si les	--⌫---||--|---⌫-⌫--|-|--|
uaatachant Askeuestresd e	-|-------|-|--------|-⌫|
les uabienatenant	--|-|---|------|
Ilatrouédelfeuresilo r e n	-||-----|--|----|-|--⌫|-⌫|
deuant. D eio steMirabelserasi stmaintenan t.Encor(e )	------|-⌫---⌫--|------|-|----⌫-|---------⌫-|-------⌫|
f urentsozlarbre li quiuerts ouduiant	-⌫----|--||----|-|------|-⌫-------|
s iluo s u ientatale nt	|-|--⌫|-⌫---||----⌫-|
CestEstous etHarpinse tPiniaus	|--|-----|-|------|-⌫|------|
liNormansMagegos etH e n ri setlis iste[s]Sorans	-|------|------|-|-⌫-⌫-⌫--⌫|-|-|-⌫------|-----|
li semes Robaus	-|----|-----|
licuiuerssou duiantCilestmaistres	-|------|---⌫-----|--|--|-------|
autres aluiu ontapendantEtfontse suole ntés	-----||--|-⌫--|-------|-|---|--⌫|----⌫----|
ettrestout	-|-------|
sencom mantQueil	--|---⌫---|--|-|
neli fau ron tpor	-|-|---⌫---⌫|--|
les m enbresperd ant.	--|-⌫-----|----⌫---|
Lilereles apeles iles	-|---|--|----|-⌫|--|
uacon sellan t En ten dés	-|---⌫------⌫|--⌫---⌫---|
cheu alier uaillant Pa r Dieu(s)cis	----⌫----|-------|--⌫|------|--|
cheu aliersnos	----⌫-----|--|
uamoltredoutantNeporqu a nt siestilcheua lier[s]molt	-|---|--------|-------⌫-⌫-|-|--|-|-----⌫------|---|
uail la nt Auésueul	----⌫--⌫-|----|--||
espeeque i l açaint eal fla nc	----|--|-⌫||------⌫|-|---⌫-|
Les t es tes	--|-⌫--⌫--|
des pa iensqu il a ocise ncamp Nosne	--|--⌫---|-|-||---|-⌫|---|--|-|
asaur onsmie	-----⌫--|--|
p arl e mienloementTant q u	-⌫-|-⌫|---|------|---|-⌫|
il auramangi ée t	-|---|-----⌫-|-⌫|
beuatalent. Qu antil ertendormise n	--||------|--⌫--|-|--|-------|-⌫|
son litbelement	--|--|-------|
D ei ouste la puc ele al gent c ors auenantSien	-⌫--⌫----|-|---⌫--|-|---|-⌫--|------|-|-|
p rend raila	-⌫----⌫--|-|
testeamonacher in branc Pui s part i ronsleskiec	----||--|-----⌫-|----|---⌫|----⌫-⌫---||-----|
communalmentEtfe ron sde	-----------|-|--⌫---⌫|-|
ladametrestoutanota le nt.	-|---|-------||-|--⌫--⌫--|
Tout somesc ompaignoniure ́pa rs airemen tN e nusde l	---|----|-⌫--------|----⌫|--⌫|-⌫-------⌫|-⌫|--|-||
unal autre nedoitfa illir noian t .	-|||----|-|---|--⌫----|-----⌫-⌫|
Et ci ll i respondirent	-|--⌫|-⌫|-----------|
N osferonsuotalentEttrestoutuo	-⌫-|-----|-|-----|-|-------|-|
pl aisiret l euostre	--⌫----|-|-⌫|-----|
c omm ant Nos neuos	-⌫---⌫--|--|-|--|
f auronsmiepor lesm enbres	-⌫-----|--|--|--|-⌫-----|
Atants ensont entrée n	----||-|---|-----|-⌫|
lostelmaintenant Del	|----|---------|--|
apresters enuacascunsas tant Del	-------||-|-|------|--⌫---|--|
faine t de l aua in e	---|-⌫|-||---⌫--⌫|
done nta s aufer ans.	----⌫-|-⌫|-----⌫---|
Osteruoilent lesselesmais Aiol[s]lor	----|------|--|----|---|------|--|
desfent Quil	------|-|-|
so ientapr estésilena besoing	--⌫---|---⌫----||-|-||------|
Ens ellie u deIudas s e metentmaintenant C Ai ol	--|-|---⌫|-|----|-⌫|-----|---------||--⌫-|
oc hire cele nuit	--⌫---|---|---|
endormant.CXLIXAiol[s] sef u ass is	-|-------|----|------|-|-⌫|---⌫-|
deiousteMirab el Et lilaronentrerent	-------|-----⌫-|-|-|----|--------|
dedenslos teltout	-----||--⌫--|---|
se(e)t.Robausquifulimaistres	------|-----|--|-|-|-------|
s a prochadeld ans el	|-⌫-----|--|-⌫---⌫-|
Genti exdamo is eussire	-----⌫-|----⌫--⌫--|---|
de uo uenir m est	-|-|----||--|
belC ardesl acié s	--|-⌫-|----⌫-----⌫|
c el e l mesi	-⌫-|-⌫-⌫-|-|
d e suest é sl	-⌫-⌫-----⌫--⌫||
aubercS estiésdesarmé ilm	-----||------|-------|-||
esteroitplus bel..Et A iol[s]resp ondiPar mo n	-------|---|----|-|-⌫-----|----⌫---|--|--⌫|
fera iQuantie	----⌫|----|-|
Orliensdelp lusm aistrerec e t	------|--|-⌫--|-⌫-----|---⌫-⌫|
IepleuiLoeysetsor	-|----|----|-|--|
sai n s li iu raiEnfressi	---⌫-⌫|-|--⌫--|-------|
cel[e]e urec arierereuenraiN aura[i](ge)deslaci e t	-----|-⌫--||-----|-------||------|---|-------⌫-⌫|
desuestulaubercAinsgiraitous	-------||-----|---|----|---|
ar més sisouferai	--⌫---|-|-------|
le fer .Quant lentendiRobau sporpoi	-|---⌫|----||------|-----⌫|--|--|
le sensne per t	-|---|-|---⌫|
Ilprentl espiel A ioletso ne sc unouel	-|----||-----|-⌫--|-|--⌫|-⌫--⌫|----|
Dameldé en iuraqu i	-------|-|---|--⌫|
sauua DanielDe ce stui ne	----|-----|-|--⌫---|-|
mouréshuima isuers moicembel	------|-----⌫-|---|--|-----|
Quantlen te ndiAio l[s]porpoi lesensne	----||--⌫--⌫--|---⌫---|--|--|-|---|-|
mautalenten iurelecors saint	--------|-|---|-|---|----|
Daniel N emequer roieenu os	-----|-⌫|-|----⌫---|-|-⌫-|
porlonord uncastel.	--||---||-|------|
traitel esp ee	-----||---⌫-|
trenche[nt]lico utelDameldéeniuraet le	----------|-|--⌫---|-------|-|---|-|-|
cors sain t	---|----⌫|
Mar celS ornemesius l e scu	---⌫--||-|-|--|--||-⌫--|
iaprendrai telbend el	-|-------|--|----⌫-|
br ans ace rinstebeura elc er uelCu iuers met	--⌫--|---⌫---|-|----|-|-⌫--⌫--|--⌫----|--|
i usmesarmes n ai	-⌫-|--|----||-|
cured e reu el.	---|-⌫|---⌫--|
CL A io l[s] l ifieus	-|-⌫--⌫---|-⌫|----|
Eliesautenpie ́s maintena nt uenusesta Robaut	---|---|-|---⌫-|--------⌫-|----|--||-----|
souduia ntIli ureDameldé	-------⌫-|-|-⌫--|-------|
lepere raiem ant	-|---|-----⌫--|
putain lechie res	-----|------⌫--|
feluiellartsouduiantSene mesiusmes	--|-------|--------|-|-|--|--|--|
armesor e[n]dro itmaintenantTu perd r as	----|--⌫-------⌫-|---------|-|----⌫-⌫-|
ial a te ste n	-|-⌫|--⌫--||
demort garant.Quant	-|---|------|----|
lileres le uoitleue rparmaut alent	-|----|-|---|----⌫|--|----⌫----|
delpiéliualicor stramblant Li	--|---|-|-|-|---⌫|--------|-|
boin[s]espiel[s] Ai ollicaimaintenant	------|--------|--⌫-|-|--|---------|
uasalchedistli	----|--|---|-|
lere smoltpar	----⌫|---|--|
estesuaillantEth ar disdecorageet preu s	----|-------|-|-⌫--⌫--|-|-----|-|----⌫|
et remouans uessitoutes uosarmes faites en t	-|-------|----|-----|--|----|-----|--⌫|
Ianesquiermaisb ail lirentrestoutmonuiuant. Li	-|--|----|---|-⌫---⌫--|-|-------|--|------|-|
