mes siresainza nthoinesfu	--|---|----|-⌫-------|-|
unefoizaui ntqu	--|---|---⌫-|-|
il otgrant mestier	-|-|----|------|
detrespasseruneriuiere	-|---------|--|------|
nonliquemeseleert si	--|----|--|--|--|-|
cr euequ ilne	--⌫--|-|-|-|
sauoit comment	-----|------|
ilp eust pa ss eroltr e la	-|-⌫---|--⌫--⌫-|----⌫|-|
adon cau oitiluncompaignon	----⌫|--⌫--|-|-|---------|
ense mb l elui qui th eodorus auo it	----⌫--⌫-⌫|--|--|--⌫------|---⌫-|
nonceluiproiaqu i	--|----|----|-||
s etr asist	-⌫|--⌫----|
ensusdeluiunpoitantquilfust	----|-|--|-|--|-----|-|---|
trespa s sezporce qu	------⌫-⌫--|--|-|-|
il neu ehi st	-|-|-⌫---⌫-|
lan uesc ede son	-|-⌫----⌫|-|--|
corzt heodoru sse	---|-⌫-------⌫|-|
partide luiet traistarriere	----|-|--|-|-----|------|
mesporc e lisainzhomequan til	--|--|-⌫|-|----|---|----⌫|-|
uostdespollie rn ot mains	---|---------⌫||-|----|
dehont esicom	-|----⌫|-|--|
il seporpen soittel	-|-|------⌫---|--|
si setrouapo rté	-|-|----|--⌫---|
riuiereparladeuineu ertu	------|--|-|-----|-⌫---|
d enostre seignor dontreuint	-⌫|-----|------|---|-----|
theodorusqui	--------|--|
moult estoitsainzhomsi	----|-----|----|--|-|
tresp assaloflueue	-----⌫---|-|-----|
merue i lla	-----⌫-⌫--|
moultcomm e nt liuiauzhom	----|----⌫-⌫-|-|----|--|
si tostoltre	-|---|----|
dont prist a regarder	---|----||-------|
se spiezet	--⌫|---|-|
dras siles	---|-|--|
u erroi tmoillie z	-⌫-----⌫|-------⌫|
et quantillouitsisecsi li	-|----|-|-|--|-|--|-|-|
comme nca a proier quilli	-----⌫--||-----|-|-|-|
dissistsi commeperesason f il	------|-|----|----||--|-⌫-|
comm enti l estoit passe z	----⌫--|-⌫|-----|-----⌫|
outrelisainzhom nel iuoloitmie	----|-|----|--|-|-⌫|-----|--|
dire etth eodo russe	---|-|--⌫----⌫--|-|
la is s ach ai r a ses	--⌫--⌫-⌫|--⌫--⌫||--|
enbraca les iambes etiuraque	------|--|-----|-|---|--|
tantquilliauroit ditqu	-----|-|-|-----|--|-|
illice loi tquant amosuit	-|-|--⌫---⌫|----|---|--|
q uilne porroit	-⌫|-|-|------|
mie uaintr e	--|------⌫|
l idis t quillid iroit	-⌫|---⌫|-|-|-|-⌫----|
partelconuant	--|--|------|
quilnelediroit	-|-|-|-|-----|
nelu i deuantcequ ilseroit	----⌫|-----|-|-|-|-----|
tr e spassezdecesteuie etcil	--⌫-⌫------|-|----|--|-|--|
otria ainsi	----|----|
dontlidis t	---|-|---⌫|
lisainzhom	-|----|--|
auoit e stétrespasse zoltrel	----|-⌫---|---------⌫|----||
p ar nostre sei gnorsi conq uesni	-⌫-|-----|---⌫---|-||---⌫--|||
auoite stémoilliez	----|-⌫---|-------|
ceste chosecela bi en	----|----|---|--⌫-|
theodor us	-------⌫-|
iu squet antque	--⌫---|-⌫-----|
lisainzho mfust	-|----|--⌫|---|
tre spassezde	---⌫------|-|
cestsiecle li moi nesa	---|-----|-|---⌫--||
cuisaint ant hoinesauoit	--|----|---⌫-----|----|
di t lanouellede lamort	--⌫|-|------|-|-|---|
noteren tl o i oretlore	-------⌫|-⌫|-⌫-|-||--|
au trentismei or aprestrouerentil	-|--------|-⌫-|----|--------|-|
uen oientdenittr esi	---⌫----|-|-----⌫|-|
enq uisentet soren tcertainnement	---⌫-----|-|-----⌫|------------|
quesai nzanthoinesauoit ditdela	--|---⌫-|--------|----|--|-|-|
mortamossi sesm erue illoirent	---|---|-||---⌫----⌫--------|
mult liunsetli	---|-|--|-|-|
aut re scomment	---⌫--⌫|------|
li sainzhom sauoit	-|----|--|-----|
c hosequesi loingde lui es toit	-⌫---|--|-|----|-|--|--⌫---|
faiteetauenue	----|-|-----|
u nsk ensarchel aus esto itapelez	-⌫-|-⌫--|------⌫--|----⌫-|-----|
par nonuinta	--|--|---||
saint an t hoine	----|--⌫-⌫----|
eldes ert si l i proiaqui l	-|---⌫--|-|-⌫|----|-|-⌫|
orastanostreseignor porune	----||-----|------|--|--|
uirge qui deu	----|--|--|
seruo itpol icra c ie	-----⌫-|---⌫----⌫-⌫-|
a uoitnoncarele soffroitmou lt	-⌫---|--|--|--|-------|---⌫-|
dolordenfermete quarmultgranz dolor	----||--------|---|---|----|----|
ladestraignoit el flanc	-|-----------|-|----|
et costezparlesieun eset parles	-|-----|--|--|----⌫-|-|--|--|
u eillesquel auoit fa ites	-⌫-----|-|-|----|--⌫---|
detozsesmembr esaf eb loi e	-|--|--|-----⌫-|--⌫--⌫---⌫|
sain za nthoinesfis tsesoroisonsa	----⌫|-⌫-------|---⌫|--|-------||
nostreseignorqu i l r endist	-----|------|-|-⌫|-⌫-----|
ladamoise llearche lausli	-|-------⌫--|-----⌫---|-|
kensretint	---|-----|
ensoncuerle	-|--|---|-|
ior que li	--|--|-|
sainz homenauo it	----|--|-|---⌫-|
proi éanostreseignor p uis	----⌫-||-----|------|-⌫--|
arriereetquan tiluintenlac ont r ee	------|-|----⌫|-|---|-|-|-⌫---⌫-⌫-|
da mo iseleestoit	--⌫--⌫----|-----|
troua saine ethaitieet	----|----|-|-----|-|
quantilotcontélesiorz	----|-|-|-----|--|---|
et lotermine	-|-|------|
si sotdeueri te	-|--|-|----⌫-|
celeho requesai nzanthoines	---|--⌫-|--|---⌫-|--------|
enauoitproiéeleertgarie	-|----|-----|--|--|----|
don tlipl us sor q uice uirent	---⌫|-|--⌫--⌫--|-⌫-|-|-----|
s enmeruillerentets en	|-|-----------|-||-|
lo erentnos tre	--⌫----|---⌫--|
seign or mainte	-----⌫-|-----|
q ue l isainzdisoit	-⌫-|-⌫|----|-----|
lecon se il	-|---⌫--⌫-|
decelsqui a luiuenoient	-|---|--||--|-------|
bien yyiorzdeuan touzzmois	---|-|---|-----⌫|-|-|---|
ets ouentmain s	-|-⌫----|----⌫|
sicommeleschoses auenoient	-|----|--|-----|--------|
i lauenoit ala foieque	-⌫|------||-|---|--|
liennemisentreprenoitet	-|------|-----------|-|
trauailloitc eusqui	----------|-⌫--|--|
ueoir mesn us	----|--|-⌫-|
neertunque s	-|--|-----⌫|
entreprisne esgreuieze n te l	--------|-|--------|-⌫|--⌫|
menie requ	-----⌫-|-|
repair ast	------⌫--|
sains etdeliu reset	----|-|-----⌫--|-|
doctrinez de tozbiensetlisainzhom	--------|-|--|----|-|-|----|--|
lorcommandoit bie n	--|---------|---⌫|
c onq ues nelendonassent loange	|---⌫--|-||-|--------|-----|
mesnos tr eseignorenloassent	--|---⌫--⌫|------|-|-------|
quis ire estoitetpuissant sor	--|-⌫--|-----|-|-------|--|
totecriature	---|-------|
autre tensauintque	----|---|----|--|
anthoi nesfutantproiezdes	------⌫--|-|---|-----|--|
freresqui alui uinrentquil	-----|--||--|------|-|-|
des ertpor a lerui siter	---⌫--|--|-⌫--|--⌫----|
q uih abitoi ent enc esdarra in es	-⌫-|-⌫------⌫--|-|-⌫-|-----⌫--⌫-|
partiestantqu	------|-----|
ilentra enzzne f	-|----|-|-|--⌫|
portrespasse r enuneisleou	--|---------⌫|-|--|---|-|
cuiiluoloie nt	--|-|------⌫-|
uenirli sa inz homsi comil	----|-|--⌫--|--|-|--|-|
naioi entsentiunegran tpu or	-----⌫--|----|--|----⌫|--⌫-|
disoi entquec	-----⌫--|--||
es toi td e poisonssale zdelanef	--⌫---⌫|-⌫|------|----⌫|-|-|--|
etdes ciuers qui	-|--|-----|--|
enlanefes toient	-|-|--|--⌫-----|
sain zanthoines af fermoit	----⌫|--------|--⌫------|
quelap uo rs qui lsentoit	--|-|-⌫--⌫-|-|-⌫|------|
e stoitdau tr echose	-⌫----||--⌫--⌫|----|
entelmenierezziouenci auxquil i	-|--|------|-|-------⌫--|--|-⌫|
diableentré el	-----|-----|-|
cochi ezenlanef s icommenca	-----⌫-|-|-|--|-⌫|-------|
escriermoul t	------|----⌫|
orrib l ementquant	-----⌫-⌫----|----|
sa intanthoines loiilalaa	--⌫--|--------||-|-|--||
fist losignedela	---|-|----|-|-|
ensusso ncorsettantostfucil	----|--⌫|---|-|------|-|--|
garizettuitcilde	----|-|---|--|-|
sorentetenten dirent quedela	-----|-|-----⌫-----|--|-|-|
estoitlapuo rsuenue	-----|-|---⌫-|----|
aprescea uint	----|-|-⌫---|
quns hauzhom	|--|---|--|
en trepris de	--⌫------|-|
dia ble siqu il ert	---⌫--|-|-|-|--|
tozforsenezfuamenezasaint	--|-------|-|-----||----|
anthoinescilquil i	--------|--|--|||
amenerentproierentl osain t	--------|--------|-⌫|----⌫|
ilp roiastan ostreseig nor	-|-⌫-----||-⌫----|----⌫--|
celuili sai nzhomot si	----|-|---⌫-|--|-|-|
grantpi tie	----|--⌫--|
decelu ihau th omequi	-|----⌫|---⌫|-⌫--|--|
iou ence les toitquilueilla	---⌫----⌫|--⌫---|-|-|-----|
to tel anuitensemblel uietproia	--⌫-|-⌫|---|-------|-⌫-|-|----|
a u souerainseignor pors a deliu rance	-⌫|-------|------|--|-⌫|-----⌫----|
qu an tui nt a	--⌫--⌫|--⌫-||
liiouenciaus qu ilennemiauoitel	-|---------|--⌫||-----|----|-|
corscoruta sa int	---|----||--⌫--|
anthoinesor e	-------|---⌫|
si l obotamult	-|-⌫|---|---|
dur ementmesnient nelo greua	---⌫----|--|----|-|-|----|
quiame né liauoientse	--|---⌫--|||------|-|
pri ssentmultacorrocieret	---⌫----|---||--------|-|
d emande ren t	-⌫------⌫---⌫|
porquilauoitcef aitau	--|-|-|----|-|-⌫--|-|
h om e si grant oltrage s a inzanthoines	-⌫--⌫|-|----|------|-⌫-⌫--|--------|
resp ondiporceluiet dist	----⌫---|--|----|-|---|
demande zmieau iouencel	-------⌫|--|-|-------|
autruicolpequarcesteforsen ne riene	-----|----|---|----|------⌫--⌫--|-|
uintpas de	---|--|-|
lu imesdecelui	--⌫|--|-|----|
etporcemefist	-|--|-|-|---|
cesenuai ssement	--|-----⌫------|
no stresirelocommanda	--⌫---|---|-|-------|
las eche r e gion ce	-|-⌫---|-⌫-⌫---|-|
en lacontree detene b re squantsai n t	-|-|------|-|----⌫-⌫--⌫|----|---⌫-⌫|
anthoines otcedit	--------|-|-|--|
nede moramie mu ltqueli	-|--⌫---|--|--⌫-|--|-|
iou enciaus fuga riz etde	---⌫------|-|--⌫--|-|-|
qui enluinosa arest erde l iures	--|-|--||--|-----⌫-|--⌫-⌫----|
lisainzh om	-|----|-⌫-|
nos tre seigneur li	---⌫--|-------|-|
iouenciausquiesto it gari z	---------|--|----⌫-|----⌫|
gra icesa nostreseignorsicom il faire	---⌫---||-----|------|-|--|-|----|
deuoitdon t primes comm enca	-----|---⌫|-----|----⌫---|
il aquenoistre	-||---------|
loleuou il estoit	-|--|-|-|-----|
et c ommenc amultsain t	-|-⌫------⌫|---|----⌫|
a nthoines a bais ieret a acoleret a	-⌫-------||----⌫--|-||-----|-||
faire gr a nti oie et puis	----|--⌫-⌫-|-⌫--|-|---|
repaireren t entreluiet s a	----------⌫|----|--|-|-⌫|
co mpai gnie en lorcontreesmultuos	--⌫----⌫---|-|--|-------|---|--|
puetlonconter mi r a clesquenostre	---|--|-----|--⌫-⌫-⌫---|--|-----|
sirefist porsaint anthoine	---|---|--|----|-------|
sicomnos auonsoiret raireles	-|--|--|----|-|---⌫----|--|
moine s qu iensemblelui	-----⌫|--⌫|-------|--|
furentpar p lus orsfoizetneuos	-----|--|-⌫---⌫--|---|-|-|--|
deuezm iemeruilierdes	----|-⌫-|--------|--|
choses qui	-----|--|
a usainthomeaui nren t	-⌫|----|---|---⌫----⌫|
quarpl usgrans	---|--⌫-|----|
su ntuncores	--⌫-|------|
apreset plus	----|-|---|
mer uei llable s	---⌫---⌫------⌫|
une foisaui nt quelisainthome er t	--|---|---⌫-|--|-|----|---|--⌫|
enoroi sonsdeua nt	-|----⌫---|----⌫-|
e ntorleure denon esi	-⌫---||---|-|---⌫|-|
gisoit est end u aterreil	-----|---⌫---⌫||----|-|
es peri z deluifurau izetque li	--⌫----⌫|-|--|-|---⌫-|-|--|-|
anglelenportoient enhaut	----||----------|-|---|
uerslo ciel	---|-|---|
sicomme lia ngle	-|----|-|-⌫---|
p assoient p a rmi lai r lideabl e	-⌫-------|-⌫-⌫--||--⌫|-|-----⌫|
encontre silor diss ent quil n	-------|-|--|----⌫--|-|-||
p as seroient mie	-⌫--⌫-------|--|
atotcel ui	---|---⌫-|
qu ilportoientliangeslor	-|-|--------|-|----|--|
d eman d erent por q ui lu ol lo ient	-⌫----⌫-⌫----|--|-⌫|-⌫|-⌫--⌫--⌫---|
lo prodomepuisque n	-|------|-----|-⌫|
l ui nauoitne	-⌫-||----|-|
pechie n eblasme	-----|-⌫|-----|
deussent cefaireli deablese	-------|-|----|-|-----|-|
commencierentaesforcierde	------------||--------|-|
ra con terlespechiez saint	--⌫---⌫--|--|------|----|
antho inetre s	-----⌫--|---⌫|
ilfunez lian ge	-|-|--|-|--⌫-|
distrentquec espechie z ne	-------|--|-⌫-|------⌫|-|
deliz nedeuoie ntilmiemet re	----|-|------⌫-|-|--|---⌫-|
quar nostre sirelena uoit	---|-----|---||-|-⌫---|
delaisse ́par sa	--------⌫|--|-|
mis ericorde	---⌫-------|
mescelsquilsauo ientquil	--|---|-|-|----⌫---|-|-|
auoitf aittres celehore	----|-⌫--|---|---|---|
quilfumoinespremie rs	-|-|-|-----|------⌫-|
estoitdonezanostre	-----|----||-----|
seignorlor laisoit	------|--|------|
ilbiendeuant	-|---|-----|
metrelideabl eslo	----|-|-----⌫-|-|
come ncer enta	----⌫----⌫--||
a cuserdesplusors menco ngese tquant	-⌫----|--|------|-----⌫---|-⌫|----|
ue raie prouance lor	--⌫---|-------|--|
faill iacequil	-----⌫||-|-|-|
disoi ent il	-----⌫--|-|
furent tozconfus	-----|--|-----|
anthoines fu deliu ressique	--------|-|-----⌫--|-|--|
plain em entpooi tpasser ouec	-----⌫--⌫--|----⌫|-----|---|
tant ostco mce	----⌫--|--⌫|-|
f uauenu sesespe riz	-⌫|----|--|----⌫--|
repairaensoncorslaou il	------|-|--|---|-|-|-|
ert cohie z eno roisonsu nques en tot	--|-----⌫|-|-⌫------|-⌫----|-|--|
celior ne li	--|--|-|-|
nulleuiand ecor po relp orla uisionq u	----|-----⌫|---⌫--⌫--|-⌫-|-|-----|-⌫|
ueu e enzf u	---⌫|--|-⌫|
tote lanuit engra nzgem iss emenzet	---|-|---|-|---⌫-|---⌫---⌫----|-|
grantpainequa rmult	----|----|---⌫|---|
est o itespoa ntez p orlesenemisqui	---⌫-⌫-|-----⌫---|-⌫-|--|-----|--|
e ncont r eluiuinrent etli	-⌫-----⌫-⌫|--|------|-|-|
auoient deuantre mis tozlesfa iz	------|-----|--⌫--|--|--|--⌫-|
ettotes lesouresenquelil	-|----|--|----|-|---|-|
auoitpetit negrand	----|----|-|----|
pechié qu	------|-|
ilauoitfaitestres	-|----|-----|---|
anfan ceencorauoit autre	-----⌫-|----|----|----|
sainzhomdel sai ntespir	----|--|--|---⌫-|----|
sis epo rpensoit daucunechose	-|-⌫|--⌫-------||-----|----|
sauoirouilert e ldesert nost re	-----|-|-|--|-⌫|-----|----⌫-|
siretotplainement	---|--|---------|
lid emostroi t	-|-⌫--------⌫|
la ouiler teno ro isonspar	-|-|-|--⌫|-|-⌫--⌫----|--|
ce estoitil	-|-----|-|
sagesdemult	----|-|---|
choseset les sauoitpar	-----|-|--|-----|--|
se ign ordont	--⌫---⌫-|---|
unefoizque	--|---|--|
s ifrere a lui uenoien t	-⌫|----||--|-------⌫|
sicommemoinelide m anderent por	-|----|----|-|--⌫-⌫-------|--|
desiroient a sauoir	---------||-----|
quarm ie ne l e ntendoient	---|-⌫-|-||-⌫---------|
plainement	---------|
quel ame f aisoit	--||--|-⌫-----|
estoitdel c orsissue etenquel	-----|--|-⌫--|----|-|-|---|
lueele aloi t	--|--|----⌫|
quant illi orentdem an dé	----|-|-|----|---⌫--⌫--|
seporpe nsoitlauoiz	-|-----⌫----|-|---|
uintaluila	---||--|-|
prem erainenuitapressi	----⌫-----|---|----|-|
l a pela par sonnonetsi	|-⌫---|--|--|--|-|-|
dist an thoin elieues usetsi	---|--⌫-----⌫|----|-⌫-|-|-|
isd etonhabitacle	-|-⌫|--|--------|
si esgarde lisaint hom	-|------|-|----|--|
forsetbienli	---|-|---|-|
so uenoi t	--⌫-----⌫|
ildeuoitre spondrea	-|-----|--⌫------||
frere slo rs esg arda uerslo	-----⌫|--⌫-|---⌫---|---|-|
uit zzhomesilait et	--|-|---|-|---|-|
e tsie sp ouantableconques	-⌫|-|-⌫--⌫--------||-----|
s ilai tn a uoitueuen t ote sa	-⌫|---⌫||-⌫---|--|-|-⌫--|-|
uieetsi ertsi	--|-|-|--|-|
qu e satesteauenoiti uquesau ciel	--⌫|-|----|------|-⌫----|-|---|
apre s en uit	----⌫|-|--|
p lusorsqu isesleuoient deriere	-⌫-----|--⌫||---------|------|
e tuoloie ntalerauciel	-⌫|------⌫-|---|-|---|
sembloitbi enquileusse nt eles	-------|--⌫-|-|-|-----⌫-|---|
mes ligranzhom quisies t oit	--|-|----|--|--|-|--⌫-⌫--|
laitdesfend oitla uoiet eus	---|-------⌫--|-|---|-⌫--|
iauoi tquimalgrecelui	|----⌫|--|-----|----|
etaforc eipassoient	-||----⌫||--------|
a uoitquinipooie ntpas ser	-⌫---|--|||-----⌫-|---⌫--|
ainzles prenoitcilgranz hom	---|--|------|--|----|--|
lesregittoitater re	--|--------||---⌫-|
auoit li sainzho m	----|-|----|--⌫|
duelet ioie	---|-|---|
dueldece que li	---|-|-|--|-|
trespassoientmalgresuenioied e	------------|-----|---|---|-⌫|
ila uoitforce	-|-⌫---|----|
sorlesautressi	--|--|-----|-|
gra nt que	---⌫-|--|
trespasern i pooientdont	--------|||------|---|
r euintlauozde lciela	-⌫----|-|--|--⌫|---||
dist anthoines	---|--------|
souignedeceque	------|-|-|--|
trestou tentendilisainz hom de	-------⌫|------|-|----|--|-|
ueraicueretsot quelesames	----|---|-|--|--|--|---|
a lo ienta ucieletque li	-⌫--⌫---|-⌫|---|-|--|-|
lo rdefendoitet siretenoit	--⌫|--------|-|-|-------|
celes qui es toientenbeues de	----|--|--⌫-----|------|-|
criminel setquil estoi ttormentez	--------⌫|-|-|-|-----⌫|--------|
cequil ueoitque	-|-|-|----|--|
lessai nt esames	--|---⌫--⌫-|---|
a cuiiln epooet	|--|-|-⌫|----|
lauoiedestornerqu elesne	-|---|--------|-|---|-|
tres passen t ala	----⌫------⌫||-|
gra nt ioie	---⌫-|---|
permenable	---------|
parceste uisi on et parmaintes aut res	--|----|----⌫-|-|--|------|---⌫--|
s ainz hom	-⌫---|--|
siesm euzenbon esoures fai reque	-|---⌫--|-|---⌫-|----|---⌫-|--|
chacuniors esforcoit ilde	-----|--||--------|-|-|
luienmeilloreratot sonpo oiere t bien	--|----------|---|--|--⌫---|-⌫|---|
sa chiez quecesuisions	--⌫----|--|--|------|
ne c escho sesquilliauenoientne	-|-⌫-|---⌫--|---|-|--------|-|
contoit ilmiea se sfreres	------|-|--||--⌫|-----|
poruantance neporua inegloire	--|-------|-|--|--⌫--|-----|
ainzlodestraignoients ipar	---|-|-------------|-⌫|--|
lorpro ieresquil liconuenoit a	--|---⌫----|-|-|-|--------||
dire etilq ui sainzhom	---|-|-|-⌫-|----|--|
n euolo itnulechos e c eler ace ls	-⌫|----⌫-|---|----⌫|-⌫---||--⌫-|
quis ifilesperitelestoient	--|-⌫|--|--------|-------|
et detoz lorcuersentendoient a	-|-|--|--|----|----------||
b ienfaire ainz uoloitquils	-⌫--|----|---|-----|-|-||
esforcassentpor	-----------|--|
c e ssignesetpor	-⌫-⌫|-----|-|--|
cesmi raclesd eb ien ourer	--|--⌫-----|-⌫|-⌫--|----|
et biensachiezencor c onque s	-|---|------|----||-----⌫|
sa inza n thoi nes	--⌫--|-⌫-⌫----⌫--|
n efu si es meuz	-⌫|-|-|--⌫---|
parso lt ai neire	--|--⌫--⌫--⌫-|--|
que p a ciencef us t	--|-⌫-⌫-----|-⌫--⌫|
enlui r ompuene	-|--|-⌫----|-|
hum ilitezquienluiertnefutant	---⌫-----|--|-|--|--|-|-|---|
meneequ el fust t orneeenuaine	----|-|-|---|-⌫----|-|----|
glo iren eonques	---⌫--|-⌫|-----|
neseuoltglorefier	-|-|---|--------|
enlauanitede monde toz les	-|-|-----|-|----|--|--|
cliers ia desib asordren e fusent	-----|-|-|-|-⌫-|----|-⌫|-----|
faisoit ildeu antl uiester	------|-|---⌫--|-⌫-|----|
e t auoit lesleuzpo roreret a	-⌫|----|--|---|--⌫|---|-||
leseue sq ues et	--|---⌫--⌫--|-|
p restres abaissoiti l	-⌫------|--------|-⌫|
l or beneic onre co iure	-⌫-|------⌫-|--⌫--⌫---|
c ommehumil ianzdecipleset	-⌫---|-----⌫---|-------|-|
aucun bonm otdisoi entp or	----|--|-⌫-|-----⌫--|-⌫-|
retenir disoit quile stoitmult	------|-----|-|-|-⌫----|---|
aidiezquantillooit qu ar	-----|----|-||---|--⌫-|
multamoitle bienaoiret a	---|----|-|---||--|-||
sa inzant hoin esauoit	--⌫--|---⌫----⌫-|----|
graice de nostrese ignor rec oi ureque	-----|-|-----|--⌫----|---⌫--⌫--|--|
chacuns homq u inele	------|--|-⌫-⌫|-|-|
desirastaoi r se i lf ust	-------||--⌫|-|-⌫|-⌫--|
ent rec entautresmoinessilo	---⌫-|-⌫--|-----|-----|-|-|
coneust il par labiauted es o n	------|-|--|-|-----|-⌫|-⌫-⌫|
uiairecognoisoitenlapureuerite	-----|---------|-|-|---|-----|
desoncueretpa r	-|--|---|-|--⌫|
corzcog noisoit enla	---|---⌫------|-|-|
graicede sainte penseequar	-----|-|-----|-----|---|
tottensla fa cehaitie e t	--|---|-|--⌫-|-----|-⌫|
bi enmostroit parson	--⌫-|-------|--|--|
qu ilp ensoitt otens acalestieu s	-|-|-⌫-----|-⌫----||---------⌫|
ouressio uestoient pi	----|-|-⌫|-------|-|
et lieetioiosp ar semblantn	-|--|-|----|-⌫-|-------||
onqu esnesesmao i t porauerses	----⌫-|-||-----⌫-⌫|--|------|
ch ose squili uen oientn	--⌫---⌫|--|-|---⌫----||
estoittro pesle uez enioe	-----|---⌫|----⌫--|-|--|
por l ees cequ illiuenistilert	--|-⌫---⌫-|--⌫-|-|-----|-|--|
raemplizde totesbo nte z	-------|-|----|--⌫---⌫|
ne ne uolt	-|-|---|
unques tenircompaignie a home qui	-----|----|---------||---|--|
fustcont re laloii es uscrist	---|----⌫-|-|--|-⌫--⌫-|----|
de nule chose apaines e st nus	-|---|----||-----|-⌫-|--|
qui peustparbochedire	--|----|--|----|---|
tot e sles	---⌫-⌫|--|
bontezquie stoient el	-----|--|-⌫------|-|
s ainthome e tcombien	-⌫---|---|-⌫|------|
la loidi eue n	-|--|--⌫-|-⌫|
pl usorsp eupl esiene	--⌫----|-⌫----⌫-|-|-|
ta ntsolemen t	--⌫-|-------⌫|
ascres tiens	-|----⌫----|
ma islipaienmeesmement	--⌫-|-|----|---------|
etlipres trequiles	-|-|----⌫--|--|--|
ydelesa oroient uenoient de	-----|-⌫------|-------|-|
totesparz alui	----|---||--|
nos deproiomes quenos	--|---------|--|--|
puiss ommes ueir lonme dieu	-----⌫----|---||---|---|
quarbie nsachi ezuosquiceoez	---|---⌫|-----⌫-|--|--|-|--|
et entendez	-|-------|
quel i nonssaintan thoineestoit	--|-⌫|---|----|--⌫-----|-----|
con euz endiuers peu ples	---⌫--|-|-----|---⌫---|
etquantli paieniuenoient etil	-|----|-|----||-------|-|-|
pooientauoirdes	------|----|--|
desaue steureilendemenoient	-|-|--⌫-----|-|-|---------|
grantioieet sicreoientque	----|---|-|-|-------|--|
lorenpo oitueniret cemeesmesa	--|-|--⌫--|----|-|-|------||
qu illa tochoient	--⌫-||-⌫--------|
hequ antes	-|--⌫----|
genz f urentparlui d eliure ́de	---|-⌫----|--|--|-⌫------⌫|-|
di uers esetto lu	--⌫----⌫-|-|--⌫-|
audeabl esetquant paienen	-|-----⌫-|-|----|----|-|
deg u er pirentlormauuaiseloi	---⌫-⌫--⌫-----|--|-------|--|
etdeuindr ent crestiene t	-|-------⌫--|-------|-⌫|
f urent bap tisiét antenauoit	-⌫----|---⌫-----|-⌫--|-|----|
deconue rtiza	-|-----⌫---||
nos trelo iettantsen	---⌫--|--⌫|-|---||-|
co nu ertissoi t cha c un	--⌫--⌫--------⌫|---⌫-⌫-|
quelestorbesenerentmultgranz	--|--|-----|-|----|---|----|
unef oiz auint	--|-⌫--|----|
qu e sicomil sen	--⌫|-|--|-||-|
r ep airoitas on	-⌫--⌫-----||-⌫-|
h abitacle	-⌫-------|
etnos lesiuiem esqune f ame uin t	-|--|-|------⌫-||--|-⌫--|---⌫|
d arriere cri an t si	-⌫------|---⌫--⌫|-|
dist home dieu ar estetoi	---|---|---|--⌫---|--|
et sima t enquar	-|-||-⌫-⌫-|---|
unefil lequ iest	--|---⌫-|--⌫|--|
t rauailieecruelmen t par lenemi	-⌫--------|--------⌫|--||----|
a ten ie tenpro iaten	-⌫--|-||-|---⌫|---|
quantsaintan thoine loi iss i	----|----|--⌫-----||-|---⌫|
crier etplaindreilate ndiun	----|-|-------|-|---⌫--|-|
sicomlafemelap rocho it	-|--|-|---||--⌫-----⌫-|
pucelle gisoit a rr ier es ifist	------|-----|-⌫--⌫---⌫|-⌫|---|
saintanthoinetot coiements	----|-------|--|-------||
oroisona nostreseig nor	------||-----|----⌫--|
et tantostcom	-|------|--|
illotfinee si	-||-|----|-|
is silide abledelcor sa	--⌫-|-|--⌫---|--|---⌫||
mes c hinea insi	---⌫-⌫---|-⌫---|
ful apucelle	-|-⌫|------|
lopueple quilaestoiten	-|-----|--|-|-----|-|
rendigraicesanos treseign or e tla	----|------||---⌫--|-----⌫-|-⌫|-|
en men aa grantio ie	-|---⌫||----|--⌫-|
lisainz ho me	-|----|--⌫-|
meis mes sesleescoit	----⌫--||---------|
qu il repairoitason leusolitaire	-|-|--------||--|--|--------|
c e st laou ilauo it	|-⌫-|-|-|-|---⌫-|
repo slo ngde ge nz quimult lo	----⌫|--⌫-|-|--⌫-|--|---|-|
trau ail loientquar	----⌫---⌫-----|---|
enalixandre parlaproiere euesque se	-|--------|--|-|------|-------⌫||
de smoinesquiestoient	--⌫|-----|--|-------|
sifrereet laauo itil	-|----|-|-|---⌫-|-|
pres chie ́ l aloi nostreseignor	----⌫----⌫|-⌫|--|-----|------|
sico mieuos a i	-|--⌫|-|--|-⌫|
conte ́arr iereas	-----⌫|---⌫---|-|
pai e nsdont	---⌫-⌫-|---|
ilauoitmultconuertiz	-|----|---|--------|
etce e rtune gra nzmeruo illequi l	-|-|-⌫-|--|---⌫-|-----⌫---|-|-⌫|
ertmultsageset	--|---|----|-|
plains d egr antsapi ence ia	-----|-⌫|--⌫--|----⌫---|-|
fust ce quilneu it	---|-|-|-|-|-⌫-|
lestre aprise	|----|-----|
duipaienphilosopheuinre ntune	--|----|---------|-----⌫-|--|
la ouilert	-|-|-|--|
en hau t de se rt silocuiderentmult	-|---⌫|--⌫--⌫-|-|-|--------|---|
biend ec oiureparlor	---|-⌫--⌫----|--|--|
sc iencetantost com	--⌫----|------|--|
sain zanthoinesles	----⌫|--------|--|
uit sico gnut i l a lor	--|-|--⌫---|-⌫||--|
ui aires qui l	--⌫----|-|-⌫|
e stoientpa iendont	-⌫------|--⌫--|---|
parla aeus	----||--|
lor langage	--|------|
uenis tes uosueoir un	-----⌫--|--|----|-|
