s eignoursoez chancon	-⌫-------|--|------|
toutdroit auportde bile sunt uenu	---|----|-|---|-|---|---|---|
lino rman t	-|--⌫----⌫|
ilgaterentlor en cres	-|-------|--|--⌫--||
ariuentlorchalant	------|--|------|
siissire n t desnezbaut	-|------⌫-⌫|--|--|---|
etlieetioian t	-|--|-|-----⌫|
aspalefrois monterent	-|--------|--------|
anto rnentatan t	-|--⌫----|----⌫|
onque sdeci	-----⌫|-|-|
fontares t ema nt	---|----⌫-⌫---⌫-|
la citeciestnobl eet	-|---|-|--|----⌫|-|
liportson tseant	-|---|---⌫|----|
etli borioi ssontr ic he	-|-|------⌫|---|-⌫--⌫-|
essazéetmenant	------|-|-----|
etlipalais b a sil efutaut enestant	-|-|-----|-⌫-⌫---⌫|--|--|-|-----|
g rantsont leschemineeset	-⌫---|---|--|--------|-|
lisolirpandan t	-|----|------⌫|
pardes usa une agle de	--|---⌫-||--|---|-|
finorreluisant	--|-|--------|
b ienest riches l i roicui tesrichecea pant	-⌫--|--|-----|-⌫|--|--|--|------|-⌫---|
licheualiercheuauchentnec eu ontatariant	-|--------|----------|-|-⌫|-⌫--|-------|
etcosto ent en tra uzmilonsi no bleme nt	-|-----⌫--|--⌫-|-⌫-|----|-|--⌫-----⌫-|
ilestoit bienuestuzdu n epoupre	-|-----|---|-----||-⌫-⌫|-----|
bie n sambl efilde pri nceded uc	---⌫|-----⌫|--|-|---⌫--|-|-⌫-|
oudamirant	-||------|
etlibaron san	-|-|----||-|
uontdroitoupalaiser rant	---|----|-|-----|--⌫---|
treuuentleroi basilesurun	-------|-|--|-----|--|-|
perronseant	-----|----|
ettezdeuscensbaronsdeuant lui	-|--|---|---|-----|-----|--|
que niauoit	--|||----|
celuiqui n	----|--||
aitpe r du	--|--⌫-⌫-|
ouquineso itnaur ezoucoste	-|--|-|--⌫-|----⌫-|-|----|
liroisetrepariez d unfo rtestor	-|---|-|-------||-|--⌫-|----|
desconfit loutliroisy sorez	--------||--|-|---|-⌫----|
anun champ	-|-|----|
etaiurésondeu mahonetteruagant	-||----|--|--|----|-|--------|
queil asaurabile	--|-|-----|---|
anior nant	-----⌫---|
e t seil prant	-⌫|-|-|----|
basile leriche roipousant	-----|-|----|--|------|
il l ou fera	-|-⌫-|---|
ardoriain en a uragaran t	----|--||-|-⌫--|-----⌫|
m e t rale au	-⌫-⌫-⌫-|-|-|
i traront lianfan t	|------|-|-----⌫|
basileseg ame nteet regrateform ent	-----|-|-⌫---⌫--|-|------|----⌫--|
e dexce d itli	|--|-|-⌫-|-|
rois biau sperestozpoisans	---|----⌫|----|---------|
carmeuenissent ormilcheual ierseriant	--|-|--------|-|--|------⌫--|------|
quidemonor eusente tmefusentxxx	--|-|--|-|-----|-⌫|-|-----|--|
ata n tez uous normans qui l e uontsalua nt	---⌫-⌫|-|---|------|--|-⌫|---|-----⌫-|
forques parlapremiersbelet	------|----|-------|--|-|
cortoisement	-----------|
cildamedex de glorequi fit	--|------|-|----|--|--|
le f irmament	-|-⌫-------|
etde la sainteuirge nasquianbelean	-|-|-|-----|----|-----|-|-----|
sauthui le	---|--|-|
roibasile et tr estou tesagent	--|-----|-|--⌫-----⌫-|-|---|
etdexu ous	-|--|-⌫--|
beneiebar on	-----|---⌫-|
uenez auant	----|----|
doniestez d equelte rrenemanalez	--|-----|-⌫|---|--⌫--|-||-|---|
si re cea dit fo rques i asommesn ou snor mant	--⌫-|-||--|--⌫----|-⌫|-----|-⌫--⌫|---⌫---|
uezci nost re si gnor ia nai	--|-|----⌫-|--⌫---||-⌫|-|
ci bongarant	-|--|-----|
ilne stpas cheua liers	-||-⌫-|--|-----⌫----|
ancornanot atalant	----||-|-||-----|
fisfu auducorsonde bi auuaizleualan t	--|-|-|--|----|-|--⌫-----|-|-----⌫|
alalid us droitan ierusale m	--|-|-⌫-|----|-|--------⌫|
oulimena hugon uncuuert soudoant	-|-|---|----|-|-----|-------|
uandil ifausalac uuertegent	----|-⌫|---||-|-⌫-----|---|
enf r ance etdon nacharlontant	-|-⌫-⌫---|-|---⌫-|------|---|
safemme l i d onnasanfu mes	-|----|-⌫|-⌫---||-|--⌫--|
moutdolant	---|-----|
orad eso npais	-||-⌫|--⌫|---|
h ugues chaciélanfant	-⌫----|------||-----|
la outreoime s	-|----|----⌫|
d ire quegerre	-⌫--|--|----|
a uiez grant	-⌫---|----|
uenu sommes	---|-----|
au ous ausestol esnai an t	|-⌫--|--|-----⌫-|---⌫--⌫|
semessireslouloueet	-|--|----|--|---|-|
uousn ousdonneztan t	---|-⌫--|-----|---⌫|
quenousaienssodeesq u isoent	--|---|----|-----|-⌫-⌫|----|
tresbienuo usaiderons	---|---|--⌫-|-------|
deuostr eg erregrant	-|-----⌫|-⌫---|----|
rois lorres pont	---|--|---⌫---|
uouspa rlezauen ant	---|--⌫---|----⌫--|
ie uousdonrai	-|---|-----|
as sezetorfin	--⌫--|-|-|--|
etbo ns ch euausdep ris	-|--⌫-|--⌫----|-|-⌫--|
tota uostre	--||-----|
sire ceadit miles noussommesremenant	---|-||--|----|---|-----|-------|
d e u ostrefier e gerr euousa ideronsforment	-⌫|-⌫----|----⌫|----⌫|---|-⌫------|------|
sede ispl aitet ces	-|--⌫-|--⌫--|-|--|
nons an cui	---|-|--|
so mes cre ant	--⌫--|---⌫--|
quei amaissarrazinneuousferontd olant	--|-⌫----|-------|-|---|-----|-⌫----|
ez les uousretenusbel	-|--|---|------|--|
etcortoisement	-|-----------|
m iles prentsono teil chiefunborioi smorant	-⌫---|----|--|-⌫---|----|-|------⌫|-----|
anlaciteinauoit sirichehomemenant	-|-|----||----|-|----|---|-----|
etliroisan monta	-|-|---|-|----|
an sonpalaisplus grant	-|--|-----|---|----|
la roine apela etferidesongan	-|----|----|-|---|-|--|--|
oria ntesa filleuai tapre z lui	----⌫--|-|----|---⌫|----⌫|--|
b e lepuce llede cestsiecleuiua nt	-⌫-⌫-|----⌫--|-|---|-----|----⌫-|
d itli roisor nedoutie	-⌫-|-|---|-|-|---|-|
ysoredec unibre s le f e lonmesc reant	----|-|-⌫------⌫|-|-⌫-⌫--|----⌫----|
uns ualez mestuenu s	--|----||--|----⌫|
defrancela	-|-----|-|
fizfu au ducorsondebiauuiazle po isan t	--|-|-|--|----|-|-------|-|--⌫----⌫|
hugues l i	-----|-⌫|
siensparens	----|-----|
leuadesheritant	-|-|----------|
uenus estansoudee z ama	----|--|-|------⌫||-|
g err e pesan t	-⌫---⌫|-----⌫|
oluice ntcheualie rbauuoisin	|--|--⌫-|--------⌫|--------|
et normant	-|------|
o n quesmais de	-⌫-⌫---|---|-|
m esyauxneuisi be l	-⌫-|---|-|-|-|--⌫|
laroinecesoitadeucomm ant	-|----|-|---||--|----⌫--|
quanto ria ntea ntantque ci stle	----|-⌫---⌫--|-⌫----|--|--⌫-|-|
uontprisant	---|------|
u nsopi r a gitie ́meruillous et pesant	-⌫|----⌫||-----⌫|---------|-|-----|
a ntrec esdenssouefetc oemant	-⌫---|-⌫-|---|----|-|-⌫-----|
par monchief sires	--|--|----|----|
mil ede uo usoid iretant	---⌫|-|--⌫-|-|-⌫--|---|
quemes amorsuousdoi gdecestioren	--|--|----|---|---⌫|-|---|--|-|
e llecort un	-⌫--|---|-|
escrin defferme rmainte nant	-----|--------⌫|------⌫---|
milo n aita nuoié un pal e e sclaria nt	----⌫|--|-⌫-----|-|---⌫|-⌫-------⌫-|
de sorporez	--⌫|-|----|
oirbon ech anco n uall a nt	--|---⌫|--⌫----⌫|----⌫-⌫-|
co mment trouason	--⌫----|----|--|
perea co nibres lagra nt	---||--⌫-----|-|---⌫-|
an lacha rtrepa rfondeouau oitestétant	-|-|---⌫---|--⌫-----|-|--⌫--|----|---|
n ormansaitrete nu lirichesrois ba siles	-⌫-----|--|----⌫-|-|-----|---|--⌫----|
m iles est harbergiezoumillor de la uille	-⌫---|--|---------|-|-----|-|-|----|
mo ut f aiso it grans depans	--⌫-|-⌫----⌫-|----|-----|
sitientrichem anie	-|----|----|-⌫---|
l afilleau roi liadonné sadruerie	-⌫|----|-|--|-||-----|-|------|
ne onquesn	-|-----||
iparlaa ntrestotesa uie	|----|-⌫|-------|-|--|
di tforsques linormans quefate z	--⌫|-------|-|------|--|----⌫|
sire miles	---|----|
orp rene zic i a rmesfr ansch eu aliersnob iles	-|-⌫----⌫|--⌫|-⌫---|--⌫--|--⌫--⌫-----|---⌫---|
iai uanraysorez	--|----|-----|
demainueoirbasile	-----|----|-----|
auec luiamanra dep aiens trente mile	---|--|-----|-|-⌫----|-----|---|
u ous anistrezlaforsatotuostremagnie	-⌫--|-|-----|-|---|---|-----|-----|
d eseruir lessoud eez qu eli rois uous deliure	-⌫------|--|----⌫--|--⌫|-|---|---|------|
uousauezmoutbiendi t f orq ues biaustrezdous	---|---|---|---|--⌫|-⌫---⌫--|----|---|---|
se damedex	-|------|
cedonnelifis saint e	-|----|-|--|-----⌫|
iorab iauuaizarier ereu enisse	--||-⌫------|-----⌫|---⌫-----|
certesieuousrandroedout otbone merite	-----|-|---|------|--|-⌫-|---|-----|
ditforquesneuousesmaiez mie	--|------|-|---|------|--|
desustoutesance ignesserala nostre oi e	----|-----|----⌫----|---|-|-----|--⌫|
aic esteparol leeuous le roi	|--⌫---|-----⌫-||---|-|--|
ouestezuousa lezdamoisiaus	-|----|---|-⌫--|---------|
sire m iles	---|-⌫---|
ie uousueul donn er arm es parmout	-|---|---|----⌫-|---⌫-|--|---|
grantsignor ie	----|------⌫-|
illifait apo rterlesarmesange lie	-|-|---|---⌫---|--|----|----⌫--|
leschauce s su nt a or et	--|------⌫|--⌫-||-|-|
l e smalestreslicez	-⌫-⌫|----|--------|
etlies peron son t de l	-|-|--⌫----|---⌫|-||
euerrede gali ce	-----|-|----⌫-|
lab roignean ert an or etliourlez est	-|-⌫-----|-|--|-|-|-|-|-----|--|
et li hau mezfutez li cerclesuaut	-|-|---⌫--|-|--|-|------|---|
cen tliures	---⌫|-----|
honqui lepor te na pa o ur	--|--|-|---⌫-|||--⌫-⌫-|
l es pe elia	|--⌫--⌫|-||
ce inte lirichesro isbasiles	--⌫---|-|-----|--⌫-|------|
etguineman s	-|--------⌫|
cesmatreslou des trier lideliure	--|-----|--|---⌫----|-|------|
etforquesli baillau netarg eflorie	-|------|-|-----|-⌫-|----⌫|-----|
etnormantli apor tentunel ancetreslice	-|------|-|----⌫---|--|-⌫---|-------|
oriantel i auneanceigne anuoiee	------|-⌫||--|-------|------|
e n sicco nlaquinta i gne futilequesdrecie	-⌫-⌫--|--⌫|-|------⌫-⌫--|--|------|-----|
estezuo usysoreat ot sa conpa i gnie	----|--⌫-|----|--⌫-|-|-----⌫-⌫---|
delanoisequ	-|-|----|-|
estla terre	--|-|----|
ysorezcesc riabienfutsa uo isoi e	-----||---⌫--|---|--|-|--⌫-|--⌫|
basilez o uest uma hommes t	------|-⌫|-|-⌫|--⌫-----||
iamaisn anpartir aisa ura iprise	-----||-|------⌫-||-⌫---⌫|----|
abatueuer seeet espec ie	-----|---⌫--|-|-----⌫-|
arsseras etdestruisetla	--|----|-|-------|-|-|
do riant etafilleanferaiie	|-⌫-----⌫|-|----|-|----|-|
p uila fera i mene rlaou ie rt	-⌫-|-|----⌫|----⌫|-|-|--⌫-|
qu ianuoudraauoir sian aura	--⌫|-|-----|----|-|-|---|
adoubé licheu a lierbaron	------|-|----⌫-⌫---|----|
atantezuousuen irysore	----|-|---|---⌫-|----|
l e sclauon	|-⌫------|
ett rente milpaie n s	-|-⌫----|--|----⌫-⌫|
quituitcroentmaho n	--|---|-----|----⌫|
et uignent a la	-|------||-|
porte et courent de	----|-|------|-|
lices c o pent etb ar re zan toret anuir on	----|-⌫-⌫---|-|-⌫--⌫--⌫|--⌫--|-|-----⌫-|
hedexceaditm ilespa rtaredempt i on	-|--|-||--|-⌫---|--⌫|-|-------⌫-⌫-|
donn ezm oi hui ocier e c e lancr im efelo n	----⌫-|-⌫-|--|-----⌫|-⌫-⌫|----⌫--⌫|----⌫|
que basilesli	--|------|-|
rois ma ndoigne garandon	---||-⌫|-----|-------|
ilbroche lecheuaula coite	-|-----|-|------||----|
q ueil ni atandine pernecompaign on	-⌫-|-|||-----|-|--|-|--------⌫-|
laportefait ourirsannulle arest ison	-|----|---|----|--|----|-----⌫---|
etmil essanissiarmez sorl aragon	-|---⌫-||-|---|----|--||-----|
etbasiles escri ecar uousar mezbaron	-|------|-----⌫|--|---|--⌫--|----|
liso udoi erde f rance is sirenta ba ndon	-|--⌫----⌫-|-|-⌫----|--⌫-----||--⌫---|
adoncmonta basilesan sonpalais	----|----|------|-|--|-----|
iouteli laroineue stuedauque ton	----|-|-|----|--⌫---||-----⌫--|
oriant e safille ala	------⌫|-|----||-|
clerefacon	----|----|
etn orm a nt sontarm éa	-|-⌫---⌫-⌫-|---|---⌫-||
la batalleanuont	-|------|-|---|
et tuitliautreapresq uian la ci tei	-|---|-|----|----|-⌫-|-|-|--⌫--|
milesanest is sus etdessantpar	----|-|--|--⌫--|-|------|--|
ilescriebiauue z etberfeulet c ler mont	-|-----|------⌫|-|------|-|-⌫---⌫---|
quan tle uoit	----⌫|-|---|
yso rez ne l ifumiebon	---⌫--|-|-⌫|-|--|--|
si gnorditysorezie uouscommantatoz	--⌫---|--|-----|-|---|------||--|
de ci nix i e ́s desquelecomman drons	-|-||--⌫-⌫-⌫-|-----|-|------⌫----|
ie iraipre m erains io stera	-|---|---⌫-⌫-----|--⌫---||
cestgl oton	---|--⌫---|
qui tot deuant	--|--|-----|
uientcontr emontle sablon	----|-----⌫----|-|-----|
saidonilest bienresamb l ebaron	--|--|-|--|---|------⌫-⌫|----|
ueezlaio rienteancelpal aisamont	---|--|-⌫-----|-|--|---⌫--|----|
pieceaitquel aiameen e	----|--|--||-|---|-⌫|
uoit fe riran	---|--⌫--|-|
guise de baron	----|-|----|
tot m e donrais amorsinous	--|-⌫|-----||---|-|---|
aquiterons	---------|
etpai enli r espondentconuousplara	-|---⌫-|-|-⌫--------|--|---|----|
et lir oisysorezsant orne	-|-|-⌫--|-----||-|-⌫---|
richement fuarm ez de l	--------|-|---⌫-|-||
aubercfremilon	-----|-------|
anlescudeson colauoitpointunlyon	-||---|-|--|--|----|----|-|---|
etounaseildeuantl a	-|-|-----|-----|-⌫|
f aturemahon	-⌫----|----|
les pie resp rec iouses gitoe nt	--|---⌫--|-⌫---⌫-----|-----⌫-|
grant bandon	----|-----|
e tmilesuin tpoignantdestors	-⌫|----|---⌫|-------|------|
sonconfe non	--|-----⌫--|
f iertleroiysore pa rteil d euision	-⌫---|-|--|----|--⌫|---|-⌫------|
quelesc u de s oncolneli u au tun	--||---⌫|-|-⌫-|--|-|-|-⌫--⌫|-|
m out fu fors	-⌫--|-|---|
li haubers	-|------|
q ue male nanxxx	-⌫-|---||-|--|
fier t mi lessorleblason	----⌫|--⌫--|--|-|-----|
quedo u corant destrierlabatiou	--|--⌫|-----|-------||----|-|
lateste co nt reuauletlespiez	-|----|--⌫--⌫-----|-|--|---|
contrem ont	-------⌫--|
he dexdit o riantela	-|--|--|-⌫-----|-|
belle quelbaron	----|---|----|
cheualiercon a cu er dely on	--------|--||--⌫-|-|--⌫-|
carpleutor	--|----|-|
a deuquiinca rnation	|--|--|----⌫------|
prit anlasain teuirge parangr e annunc ion	---|-|-|----⌫-|----|--|----⌫|------⌫--|
quil ma ustamolier etieluia	-|-||-⌫--||-----|-|-|--||
aice s teparolleest reparie ́s milo n	|---⌫-⌫-|------|--|-------⌫-|----⌫|
ila trait elespee	-||-----⌫||----|
est lip ons	--|-|-⌫--|
tolit latestepar desus	----|-|----|--|----|
quant plusdemilpaiens liuignentab andon	----|---|-|--|-----|-|------||-⌫----|
plu sdetrente le fieren tsule s cualyon	---⌫|-|-----|-|------⌫|-||-⌫-⌫-||---|
milon ont abatuouiluousist ounon	----|--|----|-|-|------|-|--|
etmilesresautsuset tra it	-|----|-----|--|-|---⌫-|
lespeeou poig	|----|-|---|
adeu smains l anpongnasifi ert	|---⌫|----||-------|-|--⌫--|
co naclauons	--⌫|-------|
eti ure dam edei	-|-⌫--|---⌫---|
quisofripassion	--|----|------|
quiln i aitsihardipersant	-|-|||--|-|----|------|
neesc lauon	-|---⌫----|
sancontreluicemetquen	|-------|--|-|--|--||
gue randon	---⌫-----|
quancoisqu eieimeure	-|--------⌫|-||----|
antrecesian smahon	----|--|---⌫|----|
ferai iede paiens	----|-|-|-----|
teledestru cion	---|------⌫---|
ancouuer railes preze tle sablon	-|------⌫--|--|---|-⌫|-|-----|
ysorez remonta	-----|------|
sor undes trirgascon	--|-|---⌫---|-----|
uenuzest amilonsi lamisa	----|--||----|-|||--||
uasausdonestezuous et dequel region	-----|--|----|---|-|-|---|-----|
respondidefra nce lamil lour	-------|-|---⌫--|-|---⌫---|
et s onmez so udoierau	-|-⌫----|--⌫-----|-|
roibase l ion	--|----⌫-⌫--|
i efunezabiauuiazet fiz leduc orso n	-⌫|-|--||-------|-|--|-|--|----⌫|
outr emera	----⌫---||
la surrecti on	-|--------⌫-|
ilaileuan dihugues aus turspar	---|-|---⌫-|-----|--|---|--|
parma hond it li tursien aiun	--|--⌫--|-⌫-|-|---||-|-|-|
set ans li a tenuan cesteregi on	--|--||||---|-|----|----⌫-|
maisie netesaid irecomment icil a non	---|-|-|-|--|-⌫--|------|---||--|
ranamo i pris etsi cro i	--||--⌫|---|-|-|---⌫|
prou teuoieta sar mesbaron	---|-|--|-|-⌫|--⌫--|----|
te donraibi le anfie quantconqu ise	-|-----|--⌫-|-|--|----|-----⌫--|
ette metrai ou chiefc o roned	-|-|-----|-|----|-⌫-⌫---||
etmilesrespondiiai	-|----|-------|--|
n ecroiraimahon	-⌫|------|----|
i ainegerpirai	-⌫-|-|-------|
deuporard or	--|--|---⌫-|
ancharb on	-|-----⌫-|
etresp ontysorezet nouste rasaudrons	-|----⌫--|-----|-|---|-|---------|
p armonc hi efced itmilesetnous	-⌫-|--|-⌫--⌫-|-|-⌫-|----|-|---|
nosde fandrons	--|--⌫-------|
aiceste pa rolle uousuenirforcon	|-----|--⌫----|---|----|-----|
etguinem an t sonmat resorles destreresg ascon s	-|------⌫--⌫|--|---⌫-|--|--|--------|-⌫-----⌫|
et tre stous les norm ans acoite des peron	-|---⌫----|--|----⌫--||----||--⌫----|
uilledest orsles con fenons	----|----⌫--|--|---⌫-----|
ases p ee s d	-|--⌫-⌫--⌫||
acier moignentgra ntchapl ison	----|-------|---⌫-|-----⌫---|
milonontrem ont ei cuic an poit ne q uin on	----|--|---⌫---⌫-|--||-|---|-|-⌫-|-⌫-|
alabaisierdeslancesfutmoutgransla t a nc ons	||-------|--|-----|--|---|----|-|-⌫-⌫--⌫--|
copentcesgambasonset ces iaumesraons	-----|--|--------|-|--|-----|----|
trabuchentsarr az incuican po itn e	---------|----⌫--⌫-|--||-|--⌫-|-⌫|
l i che uale sgarésanfuentparce smons	-⌫|---⌫--|-⌫-----||-|----|--|--⌫|---|
lorregne z train an sabatuslor ar c ons	--|-----⌫|-----⌫--⌫|-----|--|--⌫-⌫--|
quant li sa rrasi n uo ient que	----|-|--⌫-----⌫|--⌫---|--|
p ouoirn i auront	-⌫----|||-----|
si l orliurentles doset f uentder andon	-|-⌫-|------|--|--|-|-⌫---|-|-⌫----|
bas ilesfulasusan	---⌫---|-|----|-|
so npalais	--⌫|-----|
iosteluioriantea	----|--|------||
pereditlapucelle linostrebien l efont	---|--|-|------|-|-----|---|-⌫|---|
maisdesustozlesa ut res	---|----|--|--|-⌫--⌫--|
m out l e fait	-⌫--|-⌫|---|
miausmi lon	----|--⌫--|
rand e zun ia ntilgarand on	----⌫-⌫|-|--⌫---|------⌫-|
sife r a i ie mafillenousuousmarierons	-|--⌫-⌫-⌫|-|-|----|---|---|--------|
panrauousamol lie rseesploitier pouons	----|---||---⌫---⌫|-|---------|-----|
peredit la pucelledonqu esno usan hastons	---|--|-|------|-----⌫-|--⌫-|-|------|
conibredura la chaplisons	------|---|-|---------|
a dexquene	|--|--|-|
seitmil e sdou richeducorson	---|---⌫-⌫|--|----|--|----|
desonpere qui estlea ns an	-|--|---|--|--|---⌫-|-|
ten itbarre fermete zne doni ons	---⌫-|----|-------⌫|-|----⌫--|
ainsifusentantréli ch e ualierbaron	---||-----|-----|-|--⌫-⌫-----|----|
atants anret ornerent abilesa n	----||-|---⌫-------||---||-⌫|
etysorezdessant	-|-----|------|
toz plainsdem arriso n	--|-----|-|-⌫------⌫|
undecesbarons	-|-|--|-----|
cortala synagog uecia sas simahon	---||-|-------⌫-|-||---⌫-|----|
quatrecosli	-----|--|-|
donnasorlecol	----|--|-|--|
mauuez dexrecreansneualezun	-----|--|-------|-|----|-|
ysorezf aituen irs on	-----|-⌫--|---⌫-|-⌫-|
chartrierfaraon	--------|-----|
amene zunfran coisqui gist anlaprison	-----⌫|-|----⌫---|--|---|-|-|-----|
cope rail ilatestepardesusle manton	----⌫--|-⌫|-|----|--|----|-|-----|
ysorez fudolansiamaran	-----|-|-----|-|--|-|
me scrorez	--⌫------|
perdu otanl estormaint cheualierarmez	----|-|-||----|----|--------|----|
e tarmesetcheuauset	-⌫|----|-|------|-|
tantr iche ha rn ois	---|-⌫---|--⌫--⌫--|
parmahom met dit	--|-----⌫--|--|
il iaiseraitpri s	-|--|-----|---⌫|
ilen aapel éf a raon legrizo is	-|-||----⌫-|-⌫-⌫---|-|-----⌫-|
ame nezmoiditil l educ	---⌫--|--|--|-|-⌫|--|
de uermandois	-|---------|
queiachetailautran	--||------||---|-|
desmarchea nsda rcois	--|-------⌫-||-⌫----|
i alila teste	-⌫|-|-|----|
poramour desfran co is	--|----|--|----⌫--⌫-|
conil l acommandécille fistdemenois	--|-|||--------|--|-|---|-------|
alachartres a n uint li	|-|------||-⌫|---|-|
sarraz insde str ois	------⌫--|--⌫---⌫--|
p ormon chiefditlitu rscha tisu ous	-⌫-|--|----|--|-|--⌫-|---⌫--|-⌫--|
ler oiontd escon fitlif ranc depute loi	-|-⌫-|--|-⌫-----⌫--|-|-⌫---|-|---|--|
ocisliontceshommesettoluces	---|-|--|--|-----|-|---|--|
sanuangeraqueiai pl us n	|-|------|--|--|--⌫-||
ce ueuli ed it lidus	-|---|-⌫|-⌫-|-|--|
sim aist sai ntefois	-||---|---⌫--|---|
miauzueulmorirasarmesque	----|---|----|-|----|--|
setansaicigeuetparch autet par	--|--|-|-|--|-|--|--⌫--|-|--|
quep uisnifusaous depain nes une	--|-⌫--|||-|----|-|---|--|--|
t econfonde	-⌫|-------|
fau st raitesrauo is	---⌫|-⌫-----|----⌫-|
cill ep ritau col e leua le	--|-⌫|-⌫--|-|---⌫|---|-|
lechiefp or tre stotorleno is	-|----|-⌫-|---⌫---|------⌫-|
mausquait eu	---|-|--|-|
et de f ainetdeso is	-|-|-⌫--|-|-|--⌫-|
e t sif utausises	-⌫|-|-⌫-|---|--|
conuneuielesoi s	--|--|----|---⌫|
cec heuoilfure nt lonc soucueurentp a rdefors	-|-⌫-----|----⌫-|---||-|-------|-⌫-⌫|-----|
de s abar be nesu nttranchiéa droit	-|-⌫|---⌫-|-|--⌫-|--------||----|
home samblesauuagequi	---|-----|------|--|
ysor eanapele unsamiran sgrezois	----⌫|-|----|--|------⌫|------|
l amiranscestuipor cocierois	|------|-----|--||-------|
parmon d e umaho mm et	--|--|-⌫-⌫|----⌫--⌫-|
iaipr ofit ni auroiz	--|--⌫---|||-----|
lichatisestsiflebesiaineuer rai un	-|-----|--|-|-----|--|-|---⌫--|-|
remete z anl a	------⌫|-|-⌫|
ch artre iamais ne louue rrois	--⌫----|-----|-|--|--⌫----|
l i paienscilne	-⌫|-----|--|-|
uautuneali e	---|--|---⌫|
parma honmondeuquitot	--|--⌫--|--|--|--|--|
pormilbesansd	--|--|-----||
orfin doumillordesulie	-|--|--|-----|-|----|
neuoudroesorlu ifu tmespe e	-|------|--|--⌫|--⌫||----⌫|
remetezle ar ieres	------|-|--⌫----|
an la chartre u outie	-|-|------|-⌫----|
sinanisse iamaisan	-||-|---|-----|-|
tr est outesa uie	--⌫---⌫---|-|--|
s irema n dezpai ensanse cor sana ie	-⌫|----⌫-⌫--|---⌫--|-|--⌫---⌫|-|-⌫-|
ainsquinzeiorspassez resoitbile	---|-----|---|-----|-----|---|
s ebasile prenez	-⌫|-----|-----|
uous co ntralie	---|--⌫------|
ne ces francoi squil	-|--|-------⌫|-|-|
lautre b aronnie	|----|-⌫------|
mahommesmeconfonde c	-------|-|-------||
ilan p ortentla ui e	-|-|-⌫-----|-|--⌫|
etrespontysore zmalait	-|------|-----⌫|--|--|
quinelotrie	--|-||----|
lorsauale nt orsonanla chartreuoutie	---|-----⌫-|----|-|-|------|-----|
etlid usce	-|-|-⌫-|-|
gaman teet forment	-----⌫-|-|------|
braitet crie	----|-|---|
siregratebiauuaizetamienset corbi e	-|------|-------|-|-----|-|-----⌫|
et son c hierf ilmilonet	-|--|-⌫---|-⌫-|----|-|
saf anemei smes	-|-⌫--|---⌫---|
souuantmaudithugon ettrestoute sa	------|-----|----|-|--------|-|
damedex sir eper esnemobliez uous	------|---⌫|---⌫-|-||-----|---|
ou d ecimegitezoume tolez lauie	-|-⌫|-|-|----|-|-|----|-|--|
ser ai iet oz iorscianceste	---⌫-|-|-⌫-|---|-|-|----|
lors sac odali dussine	---||--⌫--|-|--|-|-|
sei t queildie	---⌫|--|-|--|
e tnorm a nssanreuo ntanlacite	-⌫|----⌫-⌫-||-|----⌫-|-|-|---|
chacunsa son ot eilsont lor	------||--|--⌫--||--|--|
ar mes ge rpies	--⌫--|--⌫----|
mout fu granslarichece qu el e	---|-|----|-|------|--⌫|-⌫|
iorontgain gnie	--|--|----⌫---|
dechamoisetdeb u glesde	-|------|-|-|-⌫-⌫---|-|
uitail lechargie	------⌫-|------|
et d es h eumes et d espees forbiez	-|-⌫-|-⌫----|-||-----|------|
del or etdel	-||-|-|-||
argen t quepaienontlas ie	-----⌫|--|----|--|---⌫-|
ianul s ipoure quenait grant	||--|-⌫|----|--||--|----|
noblements	--------||
an r eparen tl ino bile	-|-⌫------⌫|-⌫|--⌫---|
milonont de sarmélefilauducorson	----|--|--⌫-----|-|--|-|--|----|
unpoufucharbonnezdelaubert	-|--|-|---------|-||-----|
et outl es	-|--|-⌫-|
iau z p lusuarsc ostors ne sme r ill ons	---⌫|-⌫--|---||-----||-⌫---⌫-⌫---⌫--|
belbach eler iusq u ac a far naon	--|----⌫---|----⌫||-⌫-⌫---⌫---|
laapelésilami sa	||-----|-|||--⌫||
mi les ueneza m o ila sus anceldonion	--⌫--|----||-⌫-⌫|-|--|-|--|-----|
d es dureou mes pucelles etueoirmesbarons	-⌫--⌫---|-|--|-------|-|----|--|-----|
sirece aditmiles con	---|-||--|----|--|
uo usplairafer ons	--⌫-|-----|---⌫--|
atants ansunt	----||-|---|
mont ei oupalaiscontremont	----⌫-|-|-----|---------|
or ian tesa fil leapelapar son non	--⌫---⌫-|-|---⌫-|----|--|--|--|
ma fille ditli rois	-|----|--|-|---|
oroezma r ai son	-|--|-|-⌫--⌫--|
selou l ouezmabalesanpresaurez	-|--|-⌫---|-|---|------|----|
onques nullepu ca le nouts ib eilcomp aignon	-----|----|--⌫--⌫-||--|-⌫|-⌫--|----⌫-----|
qu a ntl antant la	--⌫-⌫-||-----|-|
p ucelle sileuac ontremont	-⌫-----|-|---|-⌫--------|
onqu esmaisnoutteili oe quant ell e uit	----⌫-|---||--|---|-⌫-|----|---⌫|--|
sire ue nezauantsiorrez ma raison	---|--⌫--|----|-|----|-|-----|
soezuousioste moiiantisfisa baron	---|---|----|--|-----|--||----|
s ireditla pucelleantendez	-⌫--|--|-|------|-------|
monsambl ant	--|-----⌫--|
