p uisloradist qu	-⌫--|--||---|-|
c este sen t an ce plutas i che n	-⌫---|---⌫-⌫--⌫-|---||-⌫-⌫---⌫|
e morthsonperemultforment	-⌫----|--|---|---|------|
li iou uanciaustanto t	-|---⌫-------|-----⌫|
n oudestriaainsis	|-|------|-----|
carla puc e lle	--|-|---⌫-⌫--|
mul tanmoit	---⌫|-----|
noble s etricheshon sestoi t	-----⌫|-|-----|---⌫|-----⌫|
laporte delacite	-|----|-|-|---|
aupue ppleon t ainsisparlé	-|---⌫---|--⌫|-----|-----|
cis t p roud onm edonnus	---⌫|-⌫----⌫---⌫|--|--|
suntsi c onuoions	---|-|-⌫-|-----|
demor erwe l lentauecnos	-----⌫-|--⌫-⌫---|---|--|
nostreterreetlabourent	-----|----|-|--------|
cardecu ltiueur s est multp oure	--|-|--⌫-------⌫|--|---|-⌫---|
no sfilles	--⌫|-----|
a fanmepanront	|----|------|
etnos les l or si rauerons	-|--|--|-⌫-|-|-------|
que ennos estnenedemo re	--|-|--|--|-|-|----⌫-|
senosm ales	-|--|-⌫---|
c irconsis on s	-⌫--------⌫--⌫|
menier eenseuo ns	------⌫|------⌫-|
etl o r s u stanceetb es tes	-|-⌫-⌫|-⌫-⌫-----|-|-⌫--⌫--|
d emourr atouteenn ostr eterre	-⌫------⌫|----|-|-⌫----⌫|----|
mais que soulem antn osfaisons	----⌫--|------⌫--|-⌫-|------|
q ue zz p uep plesdoutoutso io ns	-⌫-|-|-⌫---⌫---|--|---|--⌫--⌫-|
masles untcirconsié	----|-⌫--|---------|
apresle con s oilet	----|-|---⌫-⌫--|-|
iour quant	---|----|
laplai esuet	-|----⌫|---|
estrepl us griesetadouleur	----|--⌫-|----|-||------|
symeon eto uluileu i	-----|-|-⌫|--|---⌫|
frere dine	----|---|
quout onra ui	-|--|-|--⌫-|
e nlaciteensun t entré	-⌫|-|---|-|---⌫|-----|
de glaiu esensun tarmé	-|-----⌫-|-|---⌫|----|
maslestous tués	-----|---|----|
quipourlorpla iessuntagr au é	--|---|--|---⌫--|---|---⌫--⌫-|
em orthet s iche n ont oc is	--⌫---|-|-⌫----⌫|--|--⌫-|
etdinam en moinent oul ei	-|----|--⌫------|-|-⌫-|
qua nt enmaiso n e n suntuenu	---⌫-|-|-----⌫|-⌫|---|---|
fil is ontcourru	--||-⌫--|-----|
siontlesocis despoill ié	-|--|--|---|--------⌫--|
delor ch osesetsunt	-|--|--⌫---|-|---|
de lauou trie requeout fait	-||----⌫----⌫-|--|--|---|
lor ausisetdoum esfait	--|----|-|--|-⌫-----|
lorb erbis	--|-⌫----|
etloruacherie	-|--|-------|
enontmenéetlorm aignie	-|--|----|-|--|-⌫-----|
lorualle se t	--|-----⌫|-⌫|
e no nt menéce qu	-⌫|-⌫-|----|-|-|
e st en chans	-⌫-|-|----|
qua nt iacoba u eu lormalice	---⌫-|----||-⌫-|--|-----|
a simeonet leui	|-----|-|---|
u osmetroubléset	-⌫-|-|--------|-|
mefai tesasgens decesl eus	-|---⌫--|-|---|-|--|-⌫--|
nossonmespou ilsa samblront	--|-----|--|-||-⌫--------|
tou sno s liueront	---⌫|--⌫|-------|
etainsisseramam aignie	-|-----|---|-|-⌫-----|
ieetelleto ut epartie	-|-|---|--⌫--⌫|-----|
cilrespon den t nedo iuen tcil	--|------⌫---⌫|-|--⌫----⌫|--|
denost r esuer user	-|----⌫-⌫|---|---|
nostresuerauoien t cilhonnie	-----|---|------⌫|--|-----|
ciestoitd rois	-|-----|-⌫---|
qu ilenperissent	-|-|-|--------|
endeman tiersa die us parlé	-------⌫----||---⌫-|-----|
lieuesusetenbet elu a	----|--|-|-|---⌫-|-⌫|
fai zzautel	--|-|----|
demo r ela	----⌫-⌫|-|
en lannourdeice luideu	-||-----|-|---⌫--|--|
quit aparutquant esau	--||-----|----|---|
fuioiesquetué n teust	------|--|---|||---|
quantiacobl	----|----||
sam ainieetdistlora	-|-⌫----|-|---|--||
le s dieusotés q u estran ge su nt	--⌫|----|----|-⌫|------⌫-|--⌫-|
deanmei uosquem al uo sfont	-|----|--|--|-⌫-|--⌫|---|
netoiésu os ets i mués	-------|-⌫-|-|-⌫|----|
uosue stemens et si alés	--|--⌫------|-|-|----|
etlasi ferons	-|-|-|-----|
zz au te ladieuoffer rons	-|--⌫--⌫||---|-----⌫---|
quimaoi et mede liure	--|||-|-|-|--⌫----|
dougrantanuiquios teu iure	--|----|---|--|--⌫-|-⌫---|
ou iai esté mesconpains	-||-|----|--|-------|
nemelaissao umoiestut	-|-|-----|-⌫|--|----|
trestous lesdieusqu	-------|--|----|-|
auienttroué	-----|-----|
lesont deliuré s	--|--|--------⌫|
etcillesenfuitetenterre	-|--|--|-----|-|------|
derier s la	------⌫|-|
ci teetenser re	--⌫-|-|-----⌫-|
auleuou li auoitdistdieus	-|--|-|-|----|---|----|
deprintenssa n	-|-------||-⌫|
eta eufr atresis an uint	-||----⌫---|-||-|---|
etrachelquigrosserefu	-|-----|--|-----|---|
print amourirpourfruit	----||-----|---|----|
e tla bai lleasse ureel	-⌫|-|---⌫--|----⌫---||
siliadistn edo ute r pas	-|-||---|-⌫|--⌫---⌫|--|
carzz filmaintenantauera s	--|-|--|---------|-----⌫|
leip ourla	--|-⌫--|-|
decelanfa nt	-|--|----⌫-|
lais soitle	----⌫---|-|
pourcelapelle ets i lenonme	---|-||-----|-|-⌫|-|----|
ben oni q ui	---⌫--|-⌫-|
c on filzquiend oulourestne z	-⌫-|---|--|-|-⌫-----|--|--⌫|
beiaminlaiacobnonmé	------|||----|-----|
don quesmorte enfu rachel	---⌫---|----|-|-|-----|
enlauoie seue li eest	-|-|---|----⌫--⌫|--|
quan behtl e emma innee t conduit	-|-|-----⌫-⌫-|--⌫---|-⌫|------|
eufrate nonmee	------|-----|
etiacobsimestet sis elle	-|----|-|---|-|-|-⌫---|
fosseunelec tre	----|--|---⌫--|
etestens euelie	-|--|---⌫-----|
ra chel manmou rs m ag rans	--⌫---||-----⌫-|-⌫|-⌫---|
iacobgen réoutyyfilz	----|---⌫--|--|-|---|
lifillyesymeonrube n leui	-|--|--|-----|----⌫|---|
iuda sysacarzabulon	----⌫|-----|------|
rache liosepbeni am in sont	-----⌫|----|----⌫--⌫-|---|
li filbalerachel pucelle	-|--|---|-----|------|
danneptalin tanteno ut elle	--|-------|---|-|-⌫-|---|
lifil zelph epucellel ye	-|--|-----⌫|------|-⌫-|
gadet aser don	--|-|---|--|
fu m ul tlie	-|-⌫--⌫|--|
etysaac peresiacob	-|----|----|----|
emplistson tans	------|--|---|
et sif umors	-|-|-⌫|---|
yyyy an sicilauoi t	-|-|--⌫|---|----⌫|
quanti lfu mors sepel is fu	----|-⌫|-|---|-----⌫-|-|
dele srachelen leu	----⌫|-----|-|--|
cum natureeu stbon euré	--|-----|--⌫-|---⌫----|
iac obdeyyanfensbiennez	---⌫-|-|-|-----|---|--|
quedefan m e squ e de pucelles	--|-|---⌫-⌫-⌫|--⌫|-|-------|
sioutma ini emainte belle	-|--|--⌫---⌫|-----|----|
maintebiauteoutens	-----|-----|--|--|
mul tplus gent	---⌫|---|---|
carla biautes deson ui saig e	--|-|------|-|--|--⌫----⌫|
tous lesautres nercitetmate	---|--|-----|-----|-|---|
parnon fuapele ́siosep	--|--|-|-----⌫-|----|
si co n iaidistnés	-|--⌫||-|---|---|
onpuet di recest lucifer	-|---|--⌫-||--|------|
qui deuant	--|-----|
l esouloirapert	-⌫|------|----|
lisoul aus	-|----⌫--|
lese stoilleslalun eausis	--|-⌫-------|-|---⌫|----|
parsaclartep ar sabiaute	--|-|-----|-⌫-|-|-----|
ainsit iose ppar	-----|----⌫|--|
t restouscesfreresso rmontoit	-⌫------|--|-----|--⌫-------|
dela bi autequanlui	-|-|--⌫---|-|-|--|
enautresbien s etrauilla	-|-----|---|-⌫|-------|
natureq uantdi euslescrea	-----|-⌫---|--⌫--|--|---|
maisa cestuiatoutdon ne ́	---||-----||---|---⌫--⌫|
quanquell e auoitde	-----|---⌫|----|-|
tantfulargeenenbellir	---|-|----|-|-------|
et de biautet a nt lano blist	-|-|-----|-⌫-⌫-||---⌫----|
q ue po urefun outque don ner	-⌫-|--⌫--|-||--|--|---⌫--|
anul honm e plusgr antbia ut e	|--|----⌫|---|--⌫--|---⌫--⌫|
tantleli ma tan tlepolit	---|-|--⌫-|---⌫|-|----|
quenulle taichena en li	--|----|-----|||-|-|
uice nedelaidure	---|-|-|------|
ainsisbella formé	-----|--|||-----|
seieweil loer sa biaute	-|-|---|---|-|-----|
deiosepets adignite	-|----|-|-⌫|------|
bou che ue rmoilleiouedelis	---⌫--|--⌫------|---|-|--|
lesi exresplan dissans	--|-⌫-|-------⌫------|
etcharpuresa ns n ull e	-|---|---|--⌫-|-⌫---⌫|
p anceeneste sansuillenai ge	-⌫----|----|---|--------⌫-|
sabouieste le slis	-|-------|--⌫|--|
r es a mbl e	-⌫--⌫-⌫---⌫|
quisuntpursansme sleu reensamble	--|---|--|---|--⌫----⌫-|-------|
sa lumiere ran ttelcla r te	-|------|---⌫|--|---⌫-⌫-|
cumestoilleq ui luittrescler	--|-------|-⌫-|---|---|---|
sid entquisuntbien	-|-⌫--|--|---|---|
ayuoir eblan csunt samblé	|-----⌫|----⌫|---|------|
enluis e mer u oille	-|--|-⌫|---⌫-⌫----|
celleafourmé tel creature	|---||------|--|-------|
asabiaute auefist	|-|-----|--|---|
roubeque cesperes li fist	----|--|--|----|-|---|
qui fut ainteenla	--|-|-⌫----|-|-|
samblantaroseetaro uieur	-------||---|-||--⌫----|
eniureeensancdepois son	------|-|---|-|----⌫--|
que muri cenonmersueton	--|----⌫-|-----|---|-|
f rangesparpiesosfrisie zdor	-⌫-----|--|---|--------⌫||-|
li afait cesperesiacob	-||---|--|----|----|
quiiusquatalon li	--|----||----|-|
si frereeno ntm ult gran t enuie	-|----|-|-⌫-|-⌫--|----⌫|----|
pourleperequita ntlanmoi t	---|-|---|--|--⌫-||-----⌫|
plusque aus	---|--|--|
tou scar il auoit	---⌫|--|-|----|
ensauielless e enge n ré	-|-|--------⌫|----⌫-⌫--|
auoiten grant chierte	----|-|----|------|
l i frereen ont s i	-⌫|----|-|--|-⌫|
grantenuie	----|----|
queparzz pou	--|--|-|--|
que nelocient	--|-||-----|
maispar tansp o urron tbien	---|--|---|-⌫-⌫-----⌫|---|
que lord uelweilreno uueler	--|--|-⌫--|---|----⌫-----|
cumiosep eust	--|----|---|
yy y yan sampl is	-|-⌫|--⌫|----⌫-|
oucesfrerespaissoi t	-|--|-----|-------⌫|
enfensbale etfilzzelphe	-----|---|-|---|-----|
cuisesperesauoitg enré	--|--|----|----|-⌫----|
etils esfreres a ncusa	-|-|-⌫-|-----|-⌫----|
peredezzgr antmal	---|-|-|--⌫--|--|
iosep lian fessonia	----|-|--⌫--|----|
qu eli sa mbl o itqueilmoisson n e	--⌫|-|--⌫---⌫-⌫-|--|-|-------⌫-⌫|
e ten zzchampgerbe slio it	-⌫|-|-|----|-----⌫|---⌫-|
etcesfre resou luiauoit	-|--|---⌫--|-|--|----|
quiaueclui ger bes	--|---|--|---⌫--|
siennegerbeaourient	-----|----|-------|
e t ancli nient	-⌫|-----⌫----|
de uantses freres	--⌫---|--|-----|
aeuscedi st	|--|-|--⌫-|
etce conta	-|-|----|
frereresp ondentuoir	----|----⌫-----|---|
don cneserastu nostrerois	---⌫|-|----|-|-----|---|
ounos sumisatoi	-|--|----||--|
queta ouriens sic onme roi	--||-⌫------|-|-⌫---|--|
icist son g es cestep arole	----|---⌫-⌫-|----|-⌫----|
gr anthainea e usenorte	--⌫--|----||-⌫-|-----|
haineontco ns u	----|--|--⌫--⌫|
queio s epferontsouffrirdu r	--|--⌫-⌫-|-----|-------|--⌫|
zzau t re s ongeua soniant	-|--⌫-⌫-|-⌫---|-|------|
quasesfreres ua	-||--|-----|-|
rac ontant	---⌫-----|
oiés frere etantandés	----|----|-|--------|
zzaut resongequ ai gardé	-|---⌫-|----|-|-|-----|
ilm esambloitqu elisouloirs	-|-⌫|-------|--⌫|-|-------|
etla lunemoiaouroit	-|-|---|--|------|
etauec c e	-|---|-⌫|
yyestoilles	-|--------|
sam blequemoiaourerweillent	---⌫--|--|--|-----|-------|
q uantlifrereloientparler	-⌫---|-|----||----|-----|
de dans lor	--⌫---|--|
cueren sont nauré	---|-|---|-----|
si pansentqu	-|------|-|
ill i feront	-|-⌫|-----|
se il puelle nt	-|-|------⌫-|
e nnu ll e	-⌫|--⌫--⌫|
ioseplian fesau per euint	----|-|--⌫--|-|---⌫|---|
ets ongeliaredist	-|-⌫---|-||-----|
etsi frere	-|-|----|
furentpresant	-----|------|
queque lia loit	-----|-|-⌫---|
cec ontant	-|-⌫-----|
peres entenquequ eondor moit	----|----|-----⌫|-|---⌫---|
a mon uissongesappa roit	|--|--|-----|----⌫---|
il mesamb le	-|-|----⌫-|
que lisoula u s	--|-|-----⌫-⌫|
enclinoit amoisescrinsblo us	--------||--|--|----|---⌫-|
et laluneetyyestoill es	-|-|---|-|-|-------⌫-|
amoiaourerap paroil le nt	|--|-----|--⌫------⌫--⌫-|
e tmaourentnan	-⌫||------||-|
b iaustres dous peres	-⌫---|---|---|----|
saiges et pies	-----|-|---|
multaesmeu	---||----|
i cesteuois	-⌫----|---|
tous lesfreresen	---|--|-----|-|
gra ns iro is	---⌫-|---⌫-|
l iperes leb lasma	-⌫|----|-|-⌫----|
cistso ngesq uewel t	---|--⌫---|-⌫-|---⌫|
biausfilz lalunee tli	----|---|-|---|-⌫|-|
qu it a ourront	--⌫||-⌫------|
seseront no s	-|-----|--⌫|
ieetta mere q uitaourron s	-|-|-|---|-⌫-||-------⌫|
ettifrer esontles	-|-|----⌫|---|--|
n est pas meruoilles	|--|--|---------|
pourla pa rolesunt doupere	---|-|--⌫---|---|--|---|
liyyanfantenireenmere	-|-|-----|-|--|-----|
sien sont ciencuer	-|-|---|-|-|---|
liferon t sueffrir d urt e	-|-----⌫|-------|-⌫---⌫|
et lor peresiertuerites	-|--|---||---|------|
l iyy anfantuont enpa itu re	-⌫|-|-----|---|-|--⌫---⌫-|
en ga r d erb e st e sfu l or cure	-|--⌫-⌫-⌫-|-⌫-⌫--⌫-⌫|-|-⌫-|---|
s ansioseps isansontale ́	-⌫--|----|-⌫||-|---|---⌫|
enchanspo urlorberbis garder	-|----|--⌫-|--|-----|-----|
ensichen firent grantdemore	-|-----|-----|----|-----|
iosep iaco b n eg ardel	----|----⌫|-⌫|-⌫---||
a apeléet distbia us	|-----|-|---|---⌫-|
que fort un eaassis	--|----⌫--⌫||----|
ettesfrer eset l or ber bis	-|--|----⌫-|-|-⌫-|---⌫--|
pourcoin osentsa reuenir	---|--||----|-|------|
uat a nbiaus	-||-⌫|----|
filzettantenquier	---|-|---|------|
que tusaiche sconmantlor	--|-|------⌫|------|--|
et no s bestesc onmantlori ert	-|--⌫|-----|-⌫-----|--|-⌫--|
lianfes aupere	-|----|-|---|
muetdehe br on	---|-|--⌫--⌫-|
ensichenu int	-|-----|-⌫--|
haiia co bn ouuerras mais	--|--⌫--⌫||-|-----|---|
si t auragr ant doulourpourtrait	-||---|--⌫--|------|--------|
iememeruoi l qu antne laco les	-|-|------⌫|--⌫--|-||---⌫--|
carn o u uerras n e st pasfri uole	--||-⌫|-----||-⌫-|--|---⌫---|
sili aurontmalfait si f rere	-|-|-----|--|---|-|-⌫---|
e tla roi ne	-⌫|-|---⌫-|
l auoutriere	|---------|
sesfreresquiert n	--|-----|-----||
es tr euuemi	-|--⌫---|-|
mais zzpro udonmea ueu ainqui	---|-|---⌫-----||--|-----|
a cuiildis taués ue u	|--|-|---⌫|----|--⌫|
mesfrerespaitreencelleu	--|-----|-----|-|--|--|
cil lirespont endotaim	--|-|------|-|-----|
en sunt aléoulorberbis	-|---|---|-|--|-----|
poure nqu e rremillo rpa iture	---|-⌫---⌫-⌫--|-----⌫|--⌫----|
ce st einont ilplus cure	--⌫--⌫-||--|-|---|---|
do nc iosepsest	--⌫-|----||--|
acheminés	---------|
endot aimenesta ntr és	-|---⌫--|-|--|-⌫---⌫--|
frer euoientla n fant	----⌫|-----||-⌫-⌫---|
loins leuont esgard ent	----|-|---|------⌫--|
sipar l oient trestuitansa mble	-|---⌫-⌫----|-------|----⌫---|
sidistchacunsqueuos	-|---|------|--|--|
e ns amble	-⌫|-⌫----|
uoi sil esongeou r	--|-|-⌫|-------⌫|
maintenantorapparra bien	---------|-|------|---|
quesisongeliprofeitront	--|-|----|-|----------|
alonsor totet	----|-|--|-|
etanost repere	-||----⌫-|---|
qu eunebestel atue ́	--⌫|--|----|||---⌫|
sero ns deliur é	----⌫-|------⌫-|
sinediraplusqu	-|-|---|---|-|
i lsoitsires	-⌫|---|----|
desornostousetait empire	----|--|---|-|--|-----|
une de no spa nr ons	--|-|--⌫|--⌫--⌫--|
toutmaintenantet loccirrons	---|---------|-||--------|
etsacot eitainderons	-|-|---⌫||---------|
s id ironsqu eauons	-⌫|-⌫----|--⌫|----|
ain sis an sai ngla nté	---⌫--|--⌫---⌫----⌫---|
dune bestequi latué	|--|----|--|||---|
sonfil parpiecesdeuoré	--|--|--|-----|------|
sera ainsisselee	---|-----|----|
desloiautesetfolee	----------|-|----|
hefrereceadist	-|----|-||---|
uosne feré spas c est	--|-|-----⌫|--|-⌫--|
c e s tuostre ssanset uostre cha rs	|-⌫-⌫|------⌫|---|-|-----|---⌫-|
ceste choseneferéspas	----|----|-|-----|--|
ennon dieu c edist mal uait ies	-|--|---|-⌫|---|---⌫----⌫--|
pourl uisonmes tuitmisarrier	---|-⌫-|-----|---|--|-----|
cestliioiau s	|--|-|-----⌫|
deno stre pe re	-|--⌫---|--⌫-|
et cessonges quip lusnosneur e	-|--|-----|--|-⌫--|--|----⌫|
qui dis tquenoslanclinerons	--|---⌫|--|--||----------|
e tsiser ien ttre stuit	-⌫|-|---⌫---⌫|---⌫----|
mieusm elairoied epecier	----|-⌫|------|-⌫------|
quen eleuois se escorchier	--|-⌫|-|----⌫-|---------|
ainsiss econbatoitbaras	-----|-⌫|--------|----|
fo iset uertu s d el	--⌫-|-|-----⌫|-⌫||
autrep art	----|-⌫--|
qua ntceschoseso it	---⌫-|--|-----|-⌫-|
que d isoientli autreanfant	--|-⌫------|-|----|-----|
sipan soitiosep deliure r	-|---⌫---|----|-------⌫|
desm ainss e sfreres si a	--|-⌫---|-⌫-⌫|-----|-||
cid is t a	-|-⌫--⌫||
eus o rentandés	--|-⌫|--------|
courr ousa paisan tés	-----⌫--|-⌫------⌫---|
n econchio nsnos mai nsbiaufrere	-⌫|-------⌫-|--|---⌫-|---|----|
nostresanses tetnos tres frere s	-----|---|--⌫|-|---⌫---|-----⌫|
la bellefacede lanfen t	-|----|---|-||-----⌫|
montrequel ali e nsespairnant	-----|--||---⌫-⌫-|---------|
fra ternitespi t iesanm ours	---⌫-------|--⌫-⌫--|---⌫---|
no sd esfantquene	--⌫|-⌫-----|--|-|
bi ennosmon tresasim ple	--⌫-|--|---⌫--|-|---⌫--|
quenou touchi enscest freres	--||-|------⌫--||--|-----|
sa sainteui esans nu l	-|-----|--⌫|---|--⌫|
m on tr eq ue neloci ens pa s	-⌫--⌫--⌫|-⌫-|-||---⌫--|--⌫|
senosestien sdurconmeroches	-|--|------⌫|--|----|-----|
sideueriensa mo lirores	-|--------|-⌫--⌫--|---|
quantuo ions	----|--⌫---|
sibeliouancel	-|--|-------|
l anmoursmonperenosf reres e st	|------|--|---|--|-⌫----|-⌫-|
unecitern e	--|------⌫|
enc ieneest metons le la	---⌫---|--|-----|-|-|
en cellefossesimourra	-|----|----|-|-----|
etain cis nel ocirro ns	-|---⌫--|-||------⌫-|
neneconch ironspasnos	-|-|-----⌫----|--|--|
desoncorsbeldeso ncorssaint	-|--|---|--|-|--⌫|---|----|
donque sli anfeslesa pro che	------⌫|-|----|--|-⌫---⌫--|
ch ascun sli tire	--⌫-----⌫|-|---|
chascun s lecroche	-------⌫|-|-----|
et die ntle	-|---⌫-|-|
nos s eraseigno r	--|-⌫--|------⌫|
rub en redist freremer ci	---⌫-|-----|----|---⌫-|
n ociésfrere	|-----|----|
une citerned an tiquite	--|------||--⌫------|
pointdaigue niadeuerte	----||----||||-|----|
s iso itlai anstantost gete ́ s	-⌫|--⌫-|---⌫--|------|----⌫-⌫|
pourdieu f rerenelociés	---|---|-⌫---|-||-----|
dieussouuerain squitrestout	----|---------⌫|--|-------|
lauangencede uospa n roit	-|-------|-|--|--⌫-⌫---|
a lauoi sruben obei rent	|-|---⌫|----|----⌫---|
entour lui uontsilesa isiren t	-----|--|---|-|-|--⌫------⌫|
de laco stelont des n u e ́	-|-|--⌫--||--|---⌫-⌫-⌫-⌫|
qu ecesperesa uoi touuré	--⌫|--|----|-⌫---⌫|-----|
toutmaintenantlanuon t m ener	---|---------||-|---⌫|-⌫---|
l ontaualé	|--|-----|
queonqueslanfes	--|-----||----|
m otnedist	-⌫-|-|---|
orgisiéslason g iés fontcil	-|------|-|---⌫-⌫---|---|--|
maisde semainne ned irez	---|-|-------|-|-⌫---|
quesires den o ssere ́s	--|----|-|-⌫-⌫|----⌫-|
rub en d illuecquess edepart	---⌫-||---------|-⌫|-----|
carquerreu a enautrepart	--|-----|-⌫|-|----|---|
aces best esmeillorpaiture	|--|----⌫-|------|------|
quedel anfantauoi t grant	--|-||-----|----⌫|----|
conmantlepourroitdeliurer	------|-|-------|-------|
d es mainsse sfr eres	-⌫-|----|--⌫|--⌫---|
lef istmes treenlafosse	-|-⌫--|---⌫--|-|-|----|
elluecqu es se repo se	--------⌫-|-|----⌫-|
iu squessi frere en soiental é	--⌫----|-|----|-|-----|--⌫-|
enautreleupourpaitur er	-|----|--|---|------⌫-|
d on creuanraau	-⌫--⌫|------|-|
puisru ben	---|--⌫--|
ainsis pansoitq uillegarroit	-----|------|-⌫|-|-|------|
de lamo rtsee strepouoit	-|-|--⌫-|-|-⌫---|-----|
etal or p ere lemanroit	-||-⌫-|-⌫--|-|------|
donques rubenen esta lé s	------|----|-|--|-⌫---⌫|
quib ienl e cuide	--|-⌫--|-⌫|----|
auoirsauué	----|-----|
l i autredesieusnésesont	-⌫|----|---------|-|---|
cardefainmuerentet siss esont	--|-|---|------|-|--|-⌫|---|
apoignes or entil	|------|--⌫--|-|
q uant z zmarcheans illuecques uient	-⌫---|-⌫|--------|---------|----|
quiamenientcham os	--|-------|----⌫-|
char giés	----⌫----|
despicer ie	|-------⌫-|
aromat iens	------⌫---|
etenesgipte descen d ien t	-|-|------|------⌫-⌫---⌫|
iu dasquiestoitzzdes freres	--⌫--|--|-----|-|--|-----|
p rintetdistmifre re	-⌫---|-|---|-|---⌫-|
dieus a nos	----||--|
bienconcillié	---|---------|
zzacheterre sencest	-|---------⌫|-|---|
l eu uie nt	-⌫-|---⌫-|
biaues pairnon sa la nfant	---|--⌫-------⌫|||-⌫----|
uendonsl eetsis oit se rians	------|-⌫|-|-|-⌫--|--⌫----|
mieu suautq uan a iensd e largent	----⌫|---|-⌫|-|-⌫---|-⌫||-----|
quelocienscestn ostre san s	--||-----||--|-⌫----|---⌫|
quenosp rofeit e se loci on s	--|--|-⌫------⌫|-||---⌫--⌫|
et senossam ortrese lons	-|-|--|-|-⌫--|----⌫---|
nost re freres estp itieaions	----⌫-|-----|--|-⌫---|----|
meudrec hoseestqueleu andiens	-----|-⌫---|--|--|-|-⌫------|
queno snosmains enconchiens	--|--⌫|--|----|-|--------|
nostrefrere sestet nostre chars	-----|-----⌫|--|-|-----|----|
selociens nosferiens mal	-||-----|--|------|--|
c hascunsde ausace obe i st	-⌫------|-|--||-|---⌫-⌫-|
ac heteorq uiuint	--⌫-----|-⌫-|---|
et iudass etrahistauant	-|----|-⌫|------|----|
e t disto iéss eignormarcheant	-⌫|---|-⌫---|-⌫-----|--------|
en celle fosse a zz enfant	-|----|----||-|-----|
uoulésache ter	------|----⌫--|
nos leuandronsse	--|-|-------|-|
biausestetbien a meneuis	----|--|-|---|-⌫------|
etbienaperspou r rois	-|---|----|---⌫|---|
li marche ant son taproc hié	-|------⌫--|---⌫|-----⌫---|
lanfa nto nt	|----⌫-|-⌫-|
fait d oupuissachier	---|-⌫-|---|------|
etiudassilorauandu	-|----|-|--||----|
yypi ecesdargentn an	-|--⌫---||-----||-|
ihe sus ua ndus	---⌫--|--⌫---|
deiud asiosepuan dus fu	-|---⌫-|----|---⌫--|-|
cil iu dasqui iose puandist	--|--⌫--|--|----⌫|------|
neuandi stm ie	-|-----⌫-|-⌫-|
ihesucrist	---------|
yyp ieces fuihesus	-|-⌫----|-|-----|
e t iosepyys icon dieu plut	-⌫|----|-|-⌫|--|---|---|
onle seignor p lusua ndr e	-|-|------|-⌫--|--⌫---⌫|
quele sergentsiconmoi	--|-|------|-|--|--|
plusprecious estoit li sires	---|-------|-----|-|----|
qu e li serge ns nan	--⌫|-|-----⌫-||-|
dout e ́smi e	----⌫-⌫-|--⌫|
lifrere d onc ret enu	-|----|-⌫--|---⌫--|
uned escotesetocis on t	--|-⌫-|----|-|---|--⌫|
cheuroil etdousanc	-------|-|--|---|
onttaintel acostelanfant	--|-----|-⌫|----||-----|
silan porte rontalorpe re	-||--⌫-----⌫---||--|--⌫-|
etlidiront quebesteanmere	-|-|-----|--|----|-----|
atuésonbe l	|---|--|--⌫|
l aissiénec uirne	-⌫------|-|-⌫--|-|
maisque lacos tedeloufree	------|-|---⌫-|--------|
en cor lauoitilengoulee	--⌫--||----|-|-------|
ancourrimes dessaisi r	-|--------|--------⌫|
acesoum esquecefuil	|-|----⌫-|--|-|-|-|
quetrou u ames	--|----⌫-⌫---|
que fu l acos te	--|-|-⌫|---⌫-|
qu e lifai soiesainsism igno te	--⌫|-|---⌫----|-----|-⌫----⌫-|
quiestoitoffraisiedor	--|-----|--------||-|
don ilestoita insis	--|-|-----|-⌫----|
ai nsisf aitconl	--⌫---|-⌫--|--||
etd illuec ques s ansont tourné	-||------⌫---||-|---|------|
ru benr eto urné	--⌫--|-⌫---⌫----|
au pui sp ouriosep t rairef uer	-|---⌫|-⌫--|----|-⌫----|-⌫--|
newol tquilfu stmors	-|---⌫|-|-|--⌫-|---|
frerefaiti lbia uscorsetgens	----|---|-⌫|---⌫-|---|-|---|
frereresponties tezlaia ns	----|------|---⌫--|----⌫-|
laiansies tuc arresp onfrere	-----|--|-|-⌫-|----⌫-|----|
etbiausl a nmours mon pere	-|----||-⌫-----|--|---|
iosepsetaitq uin i fumi	----|-|---|-⌫-|||-|-|
donques rubenpansaen li	------|----|----|-|-|
cer tesmifrerel on toc i s	---⌫--|-|----||--⌫|--⌫-⌫|
bien ontfrere	---|--|----|
de fr e relafraternite	-|--⌫-⌫-|-|---------|
pourp itiequetairene pout	---|-⌫---|--|----|-|---|
de cue r delainguedist tel doul our	-|---⌫|-|------|---|--|----⌫--|
printagaim anter	----||----⌫----|
p ourson iosepq u	-⌫--|--|----|-⌫|
ilnatroué	-|||-----|
e tde laingu eteu ss ons sonner	-⌫|-|------⌫|---⌫|-⌫--|-----|
helasse moiqueferai	-|----|--|--|----|
perisestlanfessesai ie	----|--||----|-|--|-|
ci lanfes c ilanfescil	--⌫|----|-⌫-|----|--|
cuimes pe resanmoitt ant cil	--|--|--⌫--|-----|-⌫--|--|
helassemoique feraiie	-|----|--|--|----|-|
peri sestl anfe sc e s aiie	----⌫|--||----⌫|-⌫|-⌫-|-|
etmes s ansi ci llu cif er	-|--|-⌫--|-⌫--⌫|--⌫---⌫-|
coul o u rsdelai ticil iose p	----⌫-⌫-⌫-|-|---⌫|---|----⌫|
biausfrereione s	----|----|----⌫|
hebiaus f rere	-|----|-⌫---|
i ouaus mon pere que pourraif ere	-⌫----|--|---|--|------|-⌫--|
