e nhaute scrieou	-⌫|---|-⌫----|-|
esttantpenés	--|---|-----|
etcorsacorsporra aluiioster	-|---||---|----||--|-----|
liamas sors faitsa gent	-|----⌫---|---|-|---|
iu liien fai t de ua ntluiape ller	--⌫----|---⌫|--⌫--⌫-|--|---⌫---|
cesnonslifuchaingiés etremués	--|---|-|-|---------|-|------|
co rsabresf udes	--⌫------|-⌫|--|
sa rrasins n omés	--⌫------|-⌫----|
distl amas sorbi axamis corsabre s	---||----⌫--|--⌫-|---|--------⌫|
ieuo u sconmen tm oriflan beaporter	-|--⌫-⌫|------⌫||-------⌫-||-----|
toutemagentconduireetchaeler	----|-|---|-------|-|------|
resp onti e ferai uos tregr et	----⌫--|-⌫|----|---⌫--|--⌫-|
seietruis homequidemeresoitnés	-|-|----|---|--|-|---|---|---|
senelu ousrens	-|-||-⌫--|---|
mortetenprisonés	---|-|----------|
faussoiésuous	---|-----|---|
seuou s nemaf ole ́s	-|---⌫|-||--⌫---⌫-|
distlamassor biax am isbie nferés	---||------|---|--⌫-|---⌫|-----|
axmsoiés uousconm ende ́s	|-|-----|---|----⌫----⌫-|
uousp uisseet	---|-⌫----|-|
garire tsauuer	----|-⌫|-----|
en iul iienot moltboncheua llier	-|---⌫---|-|---|--|-----⌫----|
en painimen an	-|------||-|
etpri styy d etosmiex prisiés	-|---⌫-|-|-⌫|--|---|-------|
uersla citeprennentacheuauchier	---|-|---|-------||----------|
quantx m lesanui t aproc hier	----|-⌫|--|-|--⌫|-----⌫---|
corsubleen pristaar aisnier	-------|-|----||--⌫------|
faitesuos gensen to r	-----|--|---|--⌫--⌫|
auuec moiuain gne nt	----|--|----⌫---⌫-|
cil ba che lerligier	--|--⌫---⌫--|-----|
il uuelle nt lesterreschaslaingier	-|------⌫-|--|-----|-----------|
ainsquil sepuisse ntd euantlesmurslogi er	-----|-|-|------⌫-|-⌫----|--|---|----⌫-|
c este uenueconpa r rontilm olt chier	-⌫---|----|-----⌫-⌫---|-|-⌫--|----|
etdi s t corsublesmoltu ousenuuelproier	-|--⌫-⌫|--------|---|-⌫--|-|---|-----|
lorsfai tsagentets erreretrain gi er	---|---⌫|-|---|-|-⌫----|-|----⌫--⌫-|
fors sen is sirentdusquayy	---||-|--⌫-----|----||-|
xmles g uie et sauaris li	-|--|-⌫--|-|------|-|
iuliiens uint poi g nantso rzzdestri er	-------|---|---⌫-⌫---|--⌫|-|------⌫-|
et fu armersdaubercet	-|-|-----||-----|-|
d ya ume chier	|--⌫--|----|
deboneespe e	-|---|----⌫|
etdeh iaumed	-|-|-⌫----||
dr oite la h ans tede pomier	--⌫---|-|-⌫---⌫-|-|-----|
sacouret urefud	-|------⌫--|-||
u npa ilemo l tchier	-⌫|--⌫--|--⌫-⌫|----|
agr antmeruelle porsai lloit	|--⌫--|-------|------⌫----|
sondestrier	--|-------|
bienr esanbloitle sien pere xm	---|-⌫--------|-|---|---|-|
xmle uoi t	-|-|---⌫|
pristsoiameruillie r	----|--||---------⌫|
dedens soncuerleconm e nce a p risier	-----|--|---|-|----⌫-⌫--||-⌫-----|
il l an appe lle sauarilegueri er	--⌫|-|----⌫--|-----|-|-----⌫-|
bi axni ersdi st ilu eés con	--⌫-|--⌫--|--⌫-|-|-⌫---|--|
belcheual lier	--|------⌫---|
cil lestsibon com ilmonstrele	|--⌫|--|-|--|--|-|------|-|
ilna sibonsorla	-|||-|--|--|-|
chapedelci el	----|--|--⌫-|
p leust adieulepered ro i turier	-⌫----||---|-|---|-⌫--⌫-⌫-----|
con quisleusse al esp eed	---⌫---||----|||---⌫-||
siquilnefustnaurés neenp iriés	-|-|-|-|---|------|-|---⌫-----|
siselaissast	-|-|-------|
leueretbaptisier	----|-|--------|
plus l ameroie que nulle rien	---||------|--|----|---|
o rnelairoiepornule riendelciel	-⌫|-|------|--|---|---|--|---|
qu en e me	--⌫|-⌫|-|
uoiseanue r slui essaier	----|----⌫-⌫|--|------|
ledest r ier broichedese sper ons dormier	-|----⌫-⌫--|------|--|-⌫----⌫--||-|---|
etiuli iensce stuerslui	-|----⌫---||-⌫-|---|--|
adr e cier	---⌫-⌫---|
gransc opssedon entese scusuerniciés	----|-⌫--|-|---⌫--|-|-⌫---|---------|
des os les bocles ontfr ais etperciés	---⌫-|--|-----|--|--⌫--|-|-------|
f ors haubers or entporent	-⌫--|------|--⌫--|-----|
de smaillier	--⌫--------|
maisd elorslancesfon t	---|-⌫|---|-----|---⌫|
l esescus pe rcier	-⌫-|----|--⌫----|
si ontlesbransis nel ementsaic hié s	-|--|--|----|--⌫---⌫----|----⌫----⌫|
aupereconmenceacha s ploier	-|---|-------||---⌫-⌫-----|
li baro nfurent co raiious ethar di	-|----⌫|-----|--⌫------|-|---⌫-|
r equierent asbransdac ierfor b i	-⌫--------|-|----||--⌫--|---⌫-⌫|
etxm a i uliiene nua i	-|-||-⌫-----|-⌫---⌫|
desorsonelmezzg rant copleferi	----|--|---|-|-⌫---|--|-|---|
l iau me liaenbar rétet	|---⌫-|-||-----⌫---|-|
deuer s se nest r e l espee	-----⌫|--⌫----⌫-⌫||----|
yytrain c hedelaubercqu	-|-----⌫-⌫-|-||-----|-|
desorlah a inchealachar	----|-|-⌫-⌫----||-|---|
gransyydoi es	----|-|---⌫-|
litrain chaetfen di	-|-----⌫--|-|---⌫-|
quan tiuliie nslespe e	----⌫|------⌫-||----⌫|
en charsenti	-|---|----|
tra it soi ari ere carlecop ligainchit	---⌫-|--|---⌫--|--|-|--|-|-------|
demaltalenttres tr anblaetfremit	-|--------|----⌫--⌫----|-|-----|
li sen s doucorsliest	-|---⌫|--|---|-|--|
montés el	------|-|
es pee xmenferi	--⌫--|-|-|---|
tra inc hae t fendi	---⌫---⌫-|-⌫|----|
sorle cheuallicopslidescendi	--|-|-----|-|---|-|-------|
lecollitrainc h eet	-|--|-|------⌫-⌫|-|
bernesonsc hai	--------|-⌫--|
plus quil pot tos t	---|-|-|--|---⌫|
enestantresa illis	-|-----|----⌫----|
uintuersxm et	---|---|-|-|
xmc ontreli	-|-⌫----|-|
granscops se d onents orlesescus	----|---|-|-⌫----|-⌫-|--|----|
que ill es	--|-|-⌫-|
o ntetfendus	-⌫-|-|-----|
et cro issis	-|---⌫----|
etchascunsd iaxfuenselco rsb l e mis	-|-------||--|-|--|-|--⌫-|-⌫-⌫-⌫--|
bien sed eussen testre charnesami	---|-|-⌫------⌫|----|------|--|
liz zestp eres et liautres	-|-⌫|--|-⌫---|-|-|-----|
bienseconbatent liy yua ssalu aillans	---|-|--------|-|-⌫|--⌫---|-⌫------|
e tlesyy os smaintenan t	-⌫|--|-|-||---------⌫|
iu liiensdone b er nier z z	--⌫-----|---|-⌫--⌫---|-⌫|
eti uliienremo nterentsag ent	-|-⌫-----|----⌫------|-|-⌫--|
ilt intlespeeuaitferirboidant	-|-⌫--||----|---|----|------|
t este anyy moitietlifent	-⌫---|-|-|------|-|---|
mortlet rebuche en la press eplusgr an t	---|-|-⌫------|-|-|-----⌫|---|--⌫--⌫|
parceluicopo t puis pai nneplusgrant	--|----|--|-⌫|---|---⌫--|---|----|
ertfrere corsuble lamirant	--|----|-------||------|
roisdec arsaudeoumolt othardement	---|-|-⌫------|-|---|-|--------|
lunsocitl autreal	|--|---||----|||
espeeforbie	----|-----|
xm ilf ierta lespeeforbie	-|-|-⌫---|||----|-----|
et sauarisleslui	-|------|--|--|
fiertcadoerso r l	----|-----|--⌫||
de sciquesdensleporfentet	--⌫----|-|---|-|------|-|
mo rt letr ebucheahauteuoiscescrie	--⌫-|-|--⌫-----||----|---||-----|
malu a isesgens nostrediexuousmaudie	----⌫-⌫---|---|-----|---|---|-----|
icesteterren au rois i ordeuouie	-----|----||--⌫---|-⌫-|-|-|--|
li ro iscors ubles lauratotesa	-|--⌫-|----⌫----||---|---|-|
iuliensloituersluipointpar	------||--|---|--|----|--|
g ra ntcop li do ne quilne le spargne	-⌫--⌫-|--|-|--⌫-|-|-|-||-⌫------|
de strierle	--⌫-----|-|
trebucheetguie	-------|-|---|
puis l esaisitpa rliaumede pauie	---|-⌫|-----|--⌫||----|-|----|
etsauarisa	-|------||
haut e uoi ss	----⌫|---⌫||
onclesxmor ai mesti erd	-----|-|-|-|-----⌫-||
secoré smoipord ieule fil	-------⌫|--|--|-⌫--|-|--|
celle p arolen a pas xm	----|-⌫----|||--|-|
xm pre nt sauari	-|---⌫-|-----|
car desagentotl afor ce	--|-|-|---|-|-⌫|---⌫-|
enmainnentlico rsdi eulesmau die	---------|-|--⌫-|--⌫-|--|---⌫--|
zzsarrasins	-|--------|
le pristxmadire	-|----|-||---|
uost re con painsestliurésama rtire	----⌫-|---⌫----|--|------||--⌫----|
paie nlenmainnentsenfero nt	----⌫||---------||-|----⌫-|
loriustice	--|------|
xmlentent tosli sensli frem ie	-||-----|--|-|---|-|----⌫-|
iltintlespe ea	-|---||----⌫||
yypoinsenpoingnie	-|----|---------|
c uiill ataintmoltestco rtesa	-⌫-|--|-----|---|--|--⌫--|-|
desrontlap resse delagentp ainie	------|-|-⌫----|-|-|---|-⌫----|
sauaritru euemaint e nant	-----|---⌫--|-----⌫-⌫---|
ba illiétliazz d est rierdorquanie	--⌫------|-||-|-⌫---⌫---||-------|
sau ari ares cous licuen s xm	---⌫--||---⌫---|-|----⌫|-|
il f iert etde lespeed a ci er	-|-⌫---|-|-||----||-⌫--⌫-|
iuliienu oit dautrepart chasploier	------|-⌫--||----|---|---------|
droitc el l epartsepr entaadrecier	----|-⌫--⌫-⌫|---|-|--⌫--||-------|
d esor son elmeli	-⌫---|--|---|-|
copp a ie r	--|-⌫-⌫--⌫|
siquillifistenbarer et	-|-|-|-|---|------|-|
forsfula ma i lle delblanchaubercdoblier	---|-|-|--⌫-⌫--|--|----|------|------|
lebrancc onuintco ntr eualaglacier	-|----|-⌫-----|--⌫---⌫---||------|
yymaillestrai nche delblanch a u berc	-|------|----⌫---|--|----|-⌫-⌫-⌫---|
lacharli train chepardeso sle br aier	-|---|-|-----⌫--|--|----⌫|-|--⌫---|
quele charnalenfistiusabaissier	--|-|------|-|---|--|--------|
desciquaterreconu intl e brancg l aci er	------||----|----⌫--|-⌫|----|-⌫-⌫---⌫-|
xmferi de les peed	-|---|-||--⌫--||
desagra ntforceil mis taubranchaucier	-|-|---⌫-|----|-|---⌫|-|----|------|
gransfulicopsquantui nta u deschargier	----|-|-|---|----|--⌫-|-⌫|----------|
l iau me lifistenbarere t percier	|---⌫-|-|---|------|-⌫|------|
pardeuersd estrecour ut li bra nsd acie r	--|-----|-⌫----|----⌫-|-|---⌫-||----⌫|
a ce stuicopl eus t	|--⌫---|--||---⌫|
ild amaigiét	-|-⌫--------|
mi enesci ant d un	--⌫-|----⌫--||-|
desbrasraonnie ́t	--|---|-------⌫-|
mais cesbons brans br isae nyy xxx	---|--|---|----|--⌫--|-⌫|-|--|
etcescheuax estoluitreb uc hiés	-|--|-----|--||--|----⌫--⌫----|
carpar lecor sertenyylexplaie ́ s	--|--|-|---⌫|--|-|-|--|-----⌫-⌫|
moltfier ement	---|----⌫----|
laapressét	||--------|
pard roiteforcelia li aume esraigi e ́t	--|-⌫----|----|-|||-⌫---|-------⌫-⌫-|
etiuliiensl	-|-------||
a alaubercsaichi ét	|||-----|------⌫--|
ancontre terre	-------|----|
a xmsaichi ét	|-|------⌫--|
parzz petit nel	--|-|----|-||
aiu strebuchie ́t	|--⌫|---------⌫-|
maislic uensc estpa r effort	---|-|-⌫---||--|--⌫|-----|
redrecié s	---------⌫|
soriuliien conme ncea chasp loier	--|------|-----⌫--||-----⌫----|
i lnot n is armedequo isep uist	-⌫||-|-⌫-|---|-|---⌫|-|-⌫---|
tints onescutqui	---|-⌫-|----|--|
a or fu tai lliés	|-|-|---⌫-----|
ensonuisaige	-|--|------|
zzsigrantcop lan fier	-|-|----|--||-|---|
queli es cu sbrisa an	--|-|--⌫--⌫|----|-|
maisne li uaut la montedundenier	---|-|-|---|-|----||-|-----|
quepar saforcele prist li	--|--|-|----|-|----|-|
a sa ma isnielal iurét	|-|--⌫----|||-⌫-----|
etchergiét	-|--------|
bat ant lenmainnent desoszz	---⌫--||---------|----|-|
etleren d irent	-|-|---⌫-⌫----|
lorsingnor	--|------|
droiturier	---------|
ahaut euoisco nmenc ent ah uchier	|----⌫|---|--⌫-----⌫--||-⌫-----|
parxmsireueés cile	--|-|---|----|-|-|
cheuallier	---------|
quiaton fr ereociset detrainchiét	--||--|--⌫--|---|-|------------|
roiboidantqu itantuous	--|------|--⌫|---|---|
auoitchier	----|----|
corsublesloitni otquecorrecier	--------||--|||-|--|--------|
asauo is cl ereconmencaa	|-|--⌫-|--⌫--|-------||
faites letos ten	-----|-|---⌫|-|
m a c hartregitier	-⌫|-⌫-----|-----|
fir en tquantennont	---⌫--⌫|----|--|--|
zz grantc herchantliontaucol	-|----|-⌫-------|-|--|-|--|
lienfes pleurenese set concillier	-|----|-----|-|-|--|---------|
redois aconter	-----|------|
deber n ier	-|---⌫-⌫--|
quiseconba tel grantestorp la ingnier	--|-|-----⌫|-|----|----|-⌫--⌫------|
decor des torna li	-|---⌫--|----|-|
enconbri ers	--------⌫--|
plusde yyen fi renttrebuc hier	---|-|-|-|--⌫---|------⌫---|
yy des autres ma lem entenpiri er	-|--|-----|--⌫---⌫--|------⌫-|
qui enbataille n auron t	--|-|-------||-----⌫|
iamais mestier	-----|------|
liau tr efuientl e chanpconuint laissier	-|--⌫--⌫|-----|-⌫|----|------|-------|
quant paiensaurent	----|----|------|
quei uliiens fupris	--|-⌫------|-|---|
tornentm oltformententrepr is	------|-⌫--|------|-------⌫-|
lazzsarrasinsdit	||-|--------|--|
parxm uous es tesmalbaillis	--|-|---|--⌫--|---------|
mors sont uostrematé s et	---|---|-----|-----⌫|-|
desco nfis	-----⌫---|
etcorsabr esdedensla	-|-------⌫-|-----|-|
char tre mis	----⌫--|--|
zzgr antq uiestfornis	-|--⌫--|-⌫-|--|-----|
quenulleri ensned urecontreli	--|----|--⌫--|-|-⌫--|-----|-|
lamass orloitsorz zcheual	|-----⌫-||--|--|-⌫|-----|
lescut auc olsiaz zespiet	|----|-|-⌫-|-||-⌫|-----|
e s uousxme t saroute quiuint	-⌫|---|-|-⌫|-|----|--|---|
tresdeuantlui uait	---|-----|--|---|
zz paienfe r ir	-|----|--⌫-⌫-|
dusques arconsletr aincha etfendi	----|-|-----|-|--⌫-----|-|----|
etlecheual	-|-|-----|
trainc hiét p ar mi	------⌫----|-⌫--⌫-|
amassorsa lecont e	-------||-|----⌫|
etuoitlecopquausarrasinferi	-|---|-|--|-|-|-------|---|
de l apaor	-|-⌫|---|
fuformentesbahis	-|------|------|
n atendist	|-------|
pl ustostqu il pot	--⌫-|---|-|-|--|
enl a fuiecest	-|-⌫|---||--|
et xm l anchauc eparair	-|-||-------⌫|--|--|
quant n ele	----|-⌫|-|
potconsiuir ne ferir	--|-------|-|----|
iletsag ent se sontelretor mis	-|-|-|-⌫--|-|---|-|----|--|
sont lores chacpar lechanp	|--|--|--⌫---|--|-|----|
yy cheu alliersi lontpris	-|----⌫------|-⌫|--|---|
en la citesen entret	-|-|---||-|-----|
par l oi s ir	--|-⌫--⌫-⌫-|
sontlorgaaingdeuant	|--|--|-----|-----|
leroiparti	-|--|----|
priso ns dedensla chartre m is	-----⌫-|-----|-|------|-⌫-|
li r ois corsublesxm a raisonmist	-|-⌫--|--------|-||-----|---|
crestiiens frere	---------|----|
m olt iers prexet gentis	-⌫--|---|---|-|-----|
molt parasbienacuité	---|--|-|---|------|
setu nefus sesparxmle	-|-|-|---⌫--|--|-|-|
i efus sem o r shonn is	-⌫|---⌫-|-⌫-⌫-⌫|----⌫-|
etmalbaillis	-|---------|
e t mi paien refussentmalb a i lli s	-⌫|-|----|--------|----⌫-⌫-⌫---⌫|
mesregnesescilliésetho nis	--|-----|---------|-|--⌫--|
par s e ultoncor sen	--|-⌫-⌫-|--|---⌫|-|
suii e gar an dis	--|-⌫|---⌫--⌫--|
seoruol o ie s	-|-|---⌫-⌫--⌫|
demorer auuecmi	------|----|-|
tonmon roiaumetepar tira par mi	--|--|------|-|---⌫---|---⌫-|
cites aurasetchas tiaxatenir	----|----|-|----⌫---||----|
pourestantcon	-----|---|--|
etdist xmpor	-|---|-|--|
au trechose	--⌫--|----|
quantasaintgilefuide	----||----|---|--|-|
uostregentpris	-----|---|---|
e tsarr asinmore ntloiétetpris	-⌫|----⌫---||---⌫-|-----|-|---|
et a uosmo ren t	-||--||-⌫---⌫|
pres entét ettramis	----⌫-----|-|-----|
e tuous meuste senuostr epr ison mis	-⌫|---||-----⌫|-|-----⌫|--⌫---|--|
ded en sla uille a uoiezzpetitfil	---⌫--⌫|-|----|-⌫---|-|----|--|
notquetier	|-|--|---|
iorqued emere na s qui	--|--|-⌫|---|--⌫-⌫--|
ca u ins a	-|-⌫--||
uou spornouelleoir	---⌫|--|------|--|
seme saués adirequil de uint	-|-|-----||---|-|-|--⌫---|
lemecelés mie	-|-|-----|--|
na n nibiau frereparmo n dieu	--⌫-⌫-|---|----|--|--⌫|---|
nes aiouest ne certesquil	-|-⌫-|-|--|-|-----|-|-|
ententp leuredes	-----|-⌫----|--|
iex deluis	--|--|--|
puisenapell eso nneueutsauari	---|-|-----⌫|--⌫|-----|-----|
biaxnie rs disti l	---|---⌫-|---|-⌫|
or u aitde mal enpis	-|-⌫--|-|--|-|--|
se neltrouonsnouss onmesmal baill is	-|-||------|---|-⌫----|---⌫-----⌫-|
distsauarisie ne uous	---|------|-|-|---|
quiermentir	----|-----|
lesprisonsfaites de la ch artre issir	--|------|-----|-|-|--⌫----|----|
carie anuuella iustice ueir	--|-|-|---|-|------|---|
corsublestotauostreplaisir	--------|--||-----|------|
zzann i aa	-|--||||
grantma l nas qu i til	----|--⌫|---⌫--⌫-⌫|-|
q uibo idantmonfr e re maocis	-⌫-|--⌫----|--|--⌫-⌫-|||---|
ie do i sxmetapolin	-|--⌫-⌫|-|-|-----|
ieleferaide	-|-|----|-|
m ale mort	-⌫--|---|
trestoutl ordieune	-------||-|---|-|
lep orr oi t	-|-⌫---⌫--⌫|
liroiscors ublesapella salatre	-|---|----⌫----|-----|------|
celuiqui ade	----|--||-|
lachartre lescles	-|------|--|---|
lesp rison iers deu antmoia menés	--|-⌫-----⌫---|---⌫--|--|-⌫-----|
etcisre s p ont auost reuo lente	-|--|--⌫-⌫-⌫--||----⌫-|--⌫----|
adont les adela chart re ietés	----|--||-|-|-----⌫-|-----|
deuantcorsuble furent tui ta m e nét	-----|-------|-----|---⌫|-⌫-⌫-⌫---|
lorsacorsublesiuliien	---||--------|------|
uassaldistiltrop	-----|---|-|---|
dist iul iie ns ielocist o tdegret	---|---⌫---⌫-|-||---|-⌫-⌫|-|---|
carcil peus t il	--||-|----⌫|-|
m eust afolét	|---|------|
ets im eusto cisc	-|-⌫||---|-⌫--||
plus chieraiiequelai edecopé	---|----|-|-|--||--⌫|------|
queil m eustocisneafolét	--|-||---|---|-|------|
seillestmor s	-|--|--|---⌫|
il n est passeus tués	-||--|--|---|----|
et di stliroismar lo sa st es pence r	-|--⌫-|-|---|--||-⌫--⌫--⌫-|-----⌫|
ieluousferaimoltbienguerredoner	-||---|----|---|---|----------|
lorsap ellasonp reuostysoret	---|--⌫---|--|-⌫-----|-----|
faimezz forchesorcelt ertre	--|-|-|-----|--|--|-⌫----|
ce pautonniermain ten antme	-|---------|----⌫---⌫--|-|
etcilre sponttota uo	-|--|--⌫----|--||-|
sau arisaiuliienresgardét	---⌫---||------|---------|
sonpere san b lemiexqu omequi	--|---|---⌫-⌫-|---|-|--|--|
soit né s	---|---⌫|
decorsdeuisetde	-|---|-|--|-|-|
boucheetdenes	-----|-|-|--|
xmsononc lelasauar is monstré	-|--|---⌫-|||-----⌫-|-------|
esgardéssireporsa intech ar ite	--------|---|--|--⌫---|--⌫--⌫--|
concispaiens est	--|--|-----|--|
gr ansetf igur e ́ s	--⌫--|-|-⌫----⌫-⌫-⌫|
etdist x mbiaxniersuoirdit	-|---|-⌫|---|----|---|--|
ci luesquist	|-⌫|-------|
auquesilfesis t malasses	-----|-|-----⌫|--|----|
resanble que homequi soitne ́s	-------|--|---|--|---|--⌫-|
decorsdeu isetde	-|---|-|-⌫-|-|-|
bo c heetdenes	--⌫-⌫-|-|-|--|
xmlententsil	-||-----|-||
ana re sgard ét	-||--⌫-----⌫--|
dedenssoncu er l a form ent enamét	-----|--|--⌫-|||----⌫--|------|
derierlui g ard euoit	-----|--|-⌫---⌫|---|
zzu iellartplorer	-|-⌫------|-----|
ce scheuiaxronpreetcesdrasdessir er	--⌫|------|-----|-|--|---|------⌫-|
etxm liprista demander	-|-|-|----||-------|
porquoi faisdu elplusquec il autreper	--|---|---|--⌫-|---|--|-⌫-|----|--|
etilrespontbien leuous sai conter	-|-|------|---|-|---|--|-----|
iaiceione ho meet norrit	|-|-|---|--⌫-|-|-----|
uerraideuant	-----|-----|
etdistxmorm edisuerite	-|---|-|-|-⌫|--|-----|
setu enmenstes iors	-|-|-|---|--|---|
est aiornés	--|-------|
s e uoir endi s	-⌫|---|-|--⌫|
tuserasrespassés	-|----|---------|
es tcetesf is	--⌫|-|--|-⌫-|
asletuen genrét	-|-|-|--⌫------|
nanniluoirsireparsaintec harit e	-----|---|---|--|-----|-⌫-----⌫|
quan tnous	----⌫|---|
cor um es sor lacrestiien te	---⌫--⌫-|--|-|---------⌫-|
gastamesle regnet	-------|-|-----|
l a lepresimes trestotenma illolét	-⌫|-|-------|------|----⌫-------|
tantleuisbelqui lmenprist	---|-|--|--|-|-⌫||-|----|
grantpites	----|----|
ainc nele uos	---|-|-|--|
nourir laifait etteniren chierte	-----||-|---|-|----|-|------|
naqueyy moisqueil fu	||--|-|---|--|-|-|
p uis azz roi en	-⌫--||-|--|-|
bat ai lle maté	---⌫--⌫--|----|
onques n anu ottenirles herites	-----||-|-⌫-|----|--|------|
ains mado ne etrest otel	---|||--⌫--⌫|-----⌫--||
porcesui ie d olenset	--|-|--|-|-⌫----|-|
quant ie leuoismen eratel uite	----|-|-|---|---⌫-||--|---|
quan t xm oitdes onui l la	----⌫|-|--|-|-⌫-|--⌫|-|
lors atelio ie	---||--|--⌫-|
conquesmaisnannot t el	|-----|---||--|-|-⌫-|
mai s p orpaiensnel apasdem onstre ́	---⌫|-⌫-|-----|-|||--|---⌫------⌫|
corsu blea xmape ll ét	-----⌫--||-|---⌫--⌫--|
sire fai t	---|---⌫|
i lor oiésmo n xxx	-⌫|-|----|--⌫|--|
seruit uous	-----|---|
aiamon branc ac erét	-||--|----|--⌫----|
oruuelz zdonqueuousle me donés	-|---|-⌫|--|--|---|-|-|-----|
etdist cor subles	-|---|---⌫-----|
debo neuol ent e	-|--⌫-|---⌫---⌫|
nechosequiiau oussoituee ́	-|----|--|-|-⌫--|---|---⌫|
don ionsn e marches citesne	---⌫---|-⌫|------|----|-|
fe rm etes	--⌫--⌫---|
etdist xmailloraimonpencer	-|---|-|-----|-|--|-----|
ie uousdeman tcel u iell ar trasoté	-|---|-----⌫|--|-⌫----⌫--⌫|------|
ione homequ e uo us pendredeués	---|---|--⌫|--⌫-|-----|-----|
lirois l ententsi	-|---||-----|-|
a lechief crolét	|-|----|------|
illirespontteld onm as	-|-|------|--|-⌫-||-|
ieseussetoncu eretton	-|-----|--|--⌫-|-|--|
n e l te d onasse porzzroiaute	-⌫||-|-⌫-----|--|-|------|
seulporitant queledo n	---|--|----|--|-|--⌫|
s illau oit	|--|--⌫--|
mortdemimonxxx	---|---|--|--|
tedonroie de	-|------|-|
boneu o l ente	---|-⌫-⌫-⌫---|
e tdistxmyyme rciset gr es	-⌫|---|-|-|--⌫---|-|--⌫-|
estuersiuli ienalés	--|---|----⌫--|----|
illidemandeamisdontestesnés	-|-|------|---|---|----|---|
etcisre spontdecordesla cite	-|--|--⌫----|-|-----|-|---|
s onfil mapelle	-⌫-|--||-----|
cisuiellar sra s oté s	--|-------⌫|--⌫-⌫----⌫|
maissis conmepere ienele puisam e r	---|--|----|---|-|-|-|---|--⌫-⌫|
etsima lan	-|-|||--|
mai ntesfois	---⌫---|---|
rep rouét	---⌫-----|
que ieestoiedescrestiie nsn és	--|-|-----|--|--------⌫-|-⌫--|
xm lententparfontasospirét	-||-----|------||--------|
puisd ist en	---|-⌫--|-|
basquil n efuesco utés	--|-|-|-⌫|-|----⌫----|
pard ieu biaufix	--|-⌫--|---|--|
on uous d it ue rite	-|---|-⌫-|--⌫---|
aicetmot li fistles fe rs oster	|---|--|-|---|--|--⌫-|----|
puislan rapelleco n iaoirpor r és	---||-|------|--⌫|-|--|---⌫-⌫--|
sarrasin frere	-------|----|
ne mesoitpascelét	-|-|---|--|-----|
uoroieses t rebaptisi és	------|--⌫-⌫-|-------⌫--|
et leué s	-|-----⌫|
u oroiesture noierleti en d e	-⌫-----|-|--⌫----|-|--⌫-|-⌫|
xm etapolinterua gantetiupe	-|-|-----|-----⌫---|-|---|
i hesuqui en	-⌫---|--|-|
c ro i sfu	-⌫--⌫-⌫|-|
terrepor le	----|--|-|
p uep lesauuer	-⌫---⌫-|-----|
se tule uuelsseruir	-|-|-|----|-----|
etho norer	-|--⌫----|
ieteferai gariretrespasser	-|-|----|----|-|--------|
distiulii ens	---|-----⌫--|
iecuitu ousme	-|---|-⌫--|-|
ce dit esuo u spor moi espoenter	-|---⌫-|--⌫-⌫|--|--|--------|
et neporqu antiendir aiuer ite	-|-------⌫--||-|---⌫-|---⌫--|
simaist diexiene	-||---|---|-|-|
xmre spontc ertes	-|--⌫----|-⌫----|
an sainsfonsfustesbaptis iés et	-|----|---|-----|------⌫---|-|
auba ptisier iu l iiensapellés	-|--⌫------|--⌫-⌫----|-------|
cestesmes fix demachar engenrés	|----|--|--|-|-|---|--------|
xml oi t c est	-||--⌫||--|
enh autescri és	-|-⌫--|-----⌫--|
hed i exaide quantmon	-|-⌫-⌫-|---|----|--|
pereaitroue ́t	---|-|-----⌫-|
que mais neuis desleureque	--|---|-|--|--||---|--|
ilsentrabrassentparm oltgrans	-||------------|--|-⌫--|----|
anbedexpleurentdeioieetdep ite	------|-------|-|---|-|-|-⌫--|
l eroi corsubleaxmape llé	-⌫|--|-------||-|---⌫---|
sir e f a i t ilmoltm estbienx xx	---⌫|-⌫-⌫-⌫|-|---||--|---|-⌫-|
ce queroi e	-|------⌫|
aiicirecourét	-|--|--------|
fixs iu oircondie x	--|-⌫|-⌫--|--|---⌫|
e t distliroisbienesploitiét aués	-⌫|---|-|---|---|----------|----|
mafaitcor recie ́t et iré	||---|---⌫-----⌫-|-|---|
orli soi ttousli	-|-|---⌫|---|-|
me f fais pardon és	--⌫-⌫---|------⌫--|
sire enu ers moi	---|---⌫--|--|
enmon pa i ssui form e nt desir e ́s	-|--|--⌫-⌫|--|----⌫-⌫-|-----⌫-⌫-|
congietmen	------||-|
uoraige ra ler	----|-|--⌫--|
e tdis tli	-⌫|---⌫|-|
rois auostreuol ent e	---||-----|---⌫---⌫|
lir oi s lifis t deson	-|-⌫--⌫|-|---⌫|-|--|
auoir doner	----|----|
d or etdarg entb i en yysosmie r s	|-|-||---⌫--|-⌫-⌫-|-|------⌫-⌫|
cheuaxdegardelia	-----|-|----|-||
etconuoier a totmilturs	-|-------|-⌫--|--|---|
etilmeismesle conuoiaasses	-|-|------|-|------|----|
aude partir le prist a ape lle r	-|--⌫-----|-|----||---⌫---⌫|
crestiiens frere moltiersiantix e t	---------|----|---|---|-----|-⌫|
t u ettesfisu ouspoésb ienuanter	-⌫|-|--|--|-⌫--|----|-⌫--|-----|
li millors estesde	-|------|----|-|
la crest iien te	-|-----⌫----⌫-|
porgra nt faisd armesoffrir etendurer	--|---⌫-|---||---|------|-|------|
