#MET A# TextURI	----⌫-|------|
Al exisP RI	--⌫-----⌫-|
Traie ntsensus sialasque la press e.	-----⌫-||-|--|-|------|-|-----⌫-|
u ellentu nonlelaissent me t re	-⌫-----||--|-|-------|--⌫-⌫-|
Aen cen siersao ires	|--⌫---⌫----||-⌫---|
cam d elabres	---⌫-⌫------|
reuestent encapes e ten aubes.	--------|-|----|-⌫|-|-----|
corsm eten t	---|-⌫----⌫|
s arcude ma rbre.	-⌫---|-|--⌫----|
Do retda rgent	|-⌫|-||-⌫----|
f u l isarcus parés	-⌫|-⌫|-----|-----|
U cel saint	|--|----|
corsu e ulent	---|-⌫-⌫----|
met reetpose r	---⌫-|-|----⌫|
S i lenfouir e nt	-⌫||-------⌫-⌫-|
auiue poest é.	|---|-----⌫--|
Pleure lipulesd eR omelacité	-----|-|----|-⌫|-⌫--|-|----|
Sosi ésna home	-|--⌫--|||---|
quis p ui st reconforter.	--||-⌫--⌫-|-----------|
Oreauo n s dire	--|---⌫-⌫|---|
dupéreet de	-|----|-|-|
E tde l espou sec omme illereg retérent.	-⌫|-||-----⌫-|-⌫---|-|-|---⌫---------|
i ot cinc cens	|-|---|---|
larmes plo rées.	-----|---⌫-----|
Quantsourla	----|---|-|
terenen porentmais	---||-|-----|---|
uellen t u non lelaissentenfou ir.	------⌫||--|-|-------|-----⌫--|
Pre ndentcongié	---⌫----|------|
au cors saintAles sis	-|---|----|----⌫--|
Biaussir e	----|---⌫|
péreaies denou smerc i	----|---|-|---⌫|----⌫|
A tonsignournoussoies bo insplaidi s.	|--|------|---|----|--⌫--|------⌫-|
ua sentlip u le set	-||--|-|-⌫-⌫--⌫|-|
Etlapuceleonquesnedeseuré rent.	-|-|-----|-----|-|--------⌫----|
Ensam blefurentdusquaDeuen alér ent.	-----⌫--|-----|----||--|-|-----⌫---|
Pageu01P260	----------|
Lorcom paignieestboine et hounerée	--|---⌫------|--|----|-|--------|
Pour cel sain t homeont lor amessauue ́es.	---|--|----⌫|---|--|--|---|-----⌫---|
Com bon esoeures Diexetcombonseru ice	--|---⌫-|-----|---|-|--|--|----⌫--|
Fistcilsainshomenc este	---|--|----|--|-|-⌫---|
mortel uie	-----|--|
amedegloi re ra empli e	--|-|----⌫-|--⌫-----⌫|
Quantqu e ueut an enestunpo int	----|--⌫|---|||-|--|-|--⌫--|
Ens orqueto ut etsiuoitDiu m eisme	---⌫-------⌫-|-|-|---|--|-⌫----|
[SainsAlexisestel ciel sansdout ance	-----|-----|--|-|---|---|----⌫---|
En sembleo Dieuen lacompaigne as	--⌫-----||---|-|-|--------|-|
Etla pucele dontilsef istestrange	-|-|-----|---|-|-|-⌫--|-------|
Or sont priuéensamble sontl or a ̂me s.	-|---|-----|-------|---|-⌫-|-⌫---⌫-|
Or sontenglores an snulerepen tan ce	-|---|-|----|-⌫--⌫|---|-----⌫---⌫-|
Illuec co nuersent e t	-----|--⌫-------|-⌫|
silise ntlor salmes	-|----⌫-|--|-----|
sai direco mmelo rioieestgrande .	--|---|--⌫--|--⌫|---|--|------⌫|
E lascait i scomsome sencombré	-⌫--|----⌫-⌫|--|----⌫|--------|
Queporron s diretropso mme sap ressé	--|------⌫|---|---|--⌫---⌫|--⌫-----|
Pour nospeciéssomm es tout	---|--|------|----⌫-|---|
La droit e uoie nousfo n t	-|-----⌫|---|---|--⌫-⌫|
entroublier	----------|
Par cel sainthomedeuoumes ralume r.	--|--|----|---|-------|------⌫-|
Tenons si gnourcelsainthom eenmemo ir e	-----|--⌫----|--|----|---⌫|-|----⌫--⌫|
Çoulipri onsdetousma ls	---|-|---⌫--|-|---|--⌫-|
nousasoille.	---|-------|
