#META#TextURI C leomHas	-----|------|-⌫------|
#META#DEAFhttp//www .deaf-p age.de/fr/b ibl/bib99c.php# CleomHas	-----|---|---------⌫-------⌫-----------⌫---------------⌫-------|
#META#TL Cleom.	-----|-|-----|
#ME TA#F EW	---⌫--|-⌫-|
#META#ARLIMAhttps//www.arlima.net/ad/adenet_le_roi.html#cle	-----|-----|----------------------------------------------|
#META#AuthorAd en etleR oi	-----|-----|--⌫--⌫-|-|-⌫-|
# ME T A#AuthorBorn1240	-⌫--⌫-⌫-|---------|---|
#META# AuthorBo rnAmbc	-----|--------⌫----||
#META#AuthorDied1300	-----|---------|---|
#META# AuthorDi edAmbc	-----|--------⌫----||
#META#AuthorFl1	-----|--------|
#META# AuthorF l2	-----|-------⌫-|
#M ET A #uIAFhttps //uiaf.o rg/uiaf/215956894 /	--⌫--⌫-⌫|---|-----⌫--------⌫-----------------⌫|
#META#TextTitleLirouma ns	-----|--------|-|-----⌫-|
deCléomad ès	-|--------⌫--|
Que chascu nss ene smerueillo it.	--|------⌫-||-|-⌫----------⌫--|
Po u parloit onse	--⌫|------|-|-|
Tant parestoitdegrantrenon	---|--|-----|-|----|----|
Pag eu01P0 12	---⌫------⌫-|
Sens honnour uallouret	---|------|------|-|
Hum ilitépiti é largece	---⌫-----|----⌫-|------|
D ebonnairete ́cour t oisie	-⌫-----------⌫|----⌫-⌫----|
Ottou siour sensa compaignie.	-|---⌫|----⌫|-|-|----------|
Ha rdiset deseürcorage	--⌫---|-|-|----|-----|
Fumoult etde	-|----|-|-|
fier uass elag e.	---|----⌫----⌫-|
Liuroidontieci	-||--|---|-|-|
Firentquemusart etquefol	-----|--|-----|-|--|--|
Quimonstrè rentleur cruauté	--|--------⌫---|---|-------|
Àh omedesi grant bonté.	-|-⌫--|-|-|----|------|
fi ste nuie l amale	--⌫-|-⌫---|-⌫|---|
Q uienenfer m ainte	-⌫-|-|----|-⌫----|
am eauale.	--⌫|-----|
Parenuieenprentons ouuent	--|----|------|-|-⌫-----|
Ce dontontr op	-|---|-|--⌫-|
tar dse repen t.	---⌫|-|-----⌫-|
Cilroi toutens a mble iu rèrent	--|--|---|---⌫-⌫---|--⌫------|
So rMarcadigasassamblère nt	--⌫|---------|-----------⌫-|
Moult long ueme nt leguerrièrent	----|----⌫----⌫-|-|-----------|
sa gent moul ttraueillèrent	-|---|----⌫|-------------|
Etlifir entmaint grant d amage.	-|-|---⌫--|----|----|-⌫-----|
ho mdegr antuas selag e	--⌫|-|--⌫--|---⌫-----⌫|
Se tintcontresesanemi s.	-|---|-----|--|-----⌫-|
Mai s moultl	---⌫|----||
orentar rieremis	----|--⌫----|--|
De saterre kessi llieorent	-|-|----||----⌫---|----|
Dou pisli firentque	--|--|-|-----|--|
il poren t	-|-----⌫|
T ou t liuroisansnul	-⌫--⌫|-||--|---|--|
Niregardo ientdroitne tort	-|-------⌫---|----|-|---|
Carmoultauoientgrantdesir	--|----|------|----|----|
Del eur uo lenté acomplir.	-|-⌫--|--⌫-----|--------|
E tquantroisMarcadiga suit	-⌫|----|---|---------⌫|--|
Q uillifaisoient tel	-⌫|-|-|--------|--|
Quesaterreà	--|-|----|-|
es silmetoie nt	--⌫--|------⌫-|
poureg entdestruisoien t	----|-⌫--|------------⌫|
Page u01P013	----⌫------|
Sachiezque moult prè sli tou choit.	------|--|----|----⌫|-|---⌫-----|
Mai[s]partout est renepouoit	-----|------|---⌫-|-|-----|
Car det o utes pa rs lassailloient	--|-|-⌫-⌫---|--⌫-||-----------|
Cilcinc roiquileguerrioient .	--|---|--|--|-|-----------⌫|
Mai ntesfo is leuruint	---⌫---|--⌫-|---|---|
au d euant	-|-⌫----|
Mainteenuayeforte etgr ant	-----|-----|----|-|--⌫--|
LeurfistM arc adigass o uu ent	---|---|-⌫---⌫-----|-⌫-⌫--⌫--|
C armoultdeffend oitaigreme n t	-⌫-|----|-------⌫--|-------⌫-⌫|
L ui etsagent	-⌫-|-|-|---|
Comcheu alierspreuseteslis.	--|----⌫-----|----|-|-----|
Un message	-|------|
a s urois transmist	-⌫||---|--------|
Etd e parluisauoirleurfist	-|-⌫|--|--|-----|---|---|
Kà Id au scombat re uorroit	|-|||--⌫|------⌫-|------|
Leque lquei l miexlorp lairoit	-|---⌫|--|-⌫|---|--|-⌫------|
Ouau plus uail lantd elorgent	-|-|---|----⌫---|-⌫|--|---|
Cors à cors etp ar tel cou uent	---|-|---|-|-⌫-|--|---⌫---|
Que s ecilàcui	--|-⌫|--|-|--|
c om batroi t	-⌫--⌫------⌫|
armes leconquer oit	----|-|-------⌫--|
K Espa igne lairoità	|----⌫---|------|-|
to usiours	--⌫-|----|
Ne mais niseroitsesretours	-|---|||-----|--|------|
Etsecilest par	-|-|--|--|--|
lui conqui s	--|------⌫|
Quiluois entfors deso np ays .	-|-|----⌫--|---|-|--⌫|-⌫---⌫|
Cep ourquoitelchose	-|-⌫--|---|--|----|
Cefupourlapiti é	-|-|---|-|----⌫-|
D es agentquiluoitessill ier	-⌫|-⌫|---|-|-|---|------⌫--|
Ne na pouo irdel ad recier	-|||----⌫-|--|--⌫-----|
Car moultauoien t grantpouoi r	--|----|------⌫|----|-----⌫|
Cil uro ice	--||--⌫|-|
sac hiezdeuoir.	---⌫---|-|----|
Quantliroicemantent endirent	----|-|--|-|---|---⌫-------|
Leur auantagep asne uirent	---|-------|-⌫-|-|-----|
tr opestoituaillans	--⌫-|-----|-------|
RoisMar cadigas etpoi ssans.	---|---⌫------|-|---⌫-----|
Etpourceli ontreman dé	-|---|-|-|--|-----⌫--|
Pageu01P 014	--------⌫--|
Ques ebatailleàiournommé	--|-⌫|-------|-|---|-----|
ueut prendre à	---|------|-|
Quechascunsdauss etenraquois	--|-------||--|-⌫|----|----|
Etqueriensne liforferont	-|--|----|-|-|--------|
Dusquesa ̀ tantque	------|-⌫|---|--|
il uen ront	-|---⌫---|
T outdroitau	-⌫--|----|-|
iourdela ba t ail le	---|-|-|--⌫-⌫---⌫-|
Carbiencuident	--|---|------|
q ue celoruaille	-⌫-|-|--|-----|
troi stansde gentauo ient	----⌫|---|-|---|---⌫---|
QuetoutliEspaignoln estoient.	--|---|-|--------||--------|
Marcadigasl eurremanda	---------|-⌫--|------|
iour se com batra	---|-|---⌫----|
Àa uscesachent	-|-⌫-|-|------|
parue rte ́.	--|--⌫---⌫-|
Do nnéeenfu laseürté	--⌫----|-|-|-|-------|
Siqueamb esII	-|--|---⌫-|-|
lesp ar ties	--|-⌫--⌫---|
Sentinrenttrèsbien apaiie s .	|-|------|----|---|------⌫-⌫|
En telpoin t i luec de morèren t	-|--|----⌫|-⌫---|--⌫--------⌫|
Etl esnouuelessenalèrent	-|-⌫-|-------||-|-------|
Enmaint paystantq uilauint	-|----|---|---|-⌫|-|----|
QueàClé omade ̀s	--|-|----⌫-----⌫-|
Lano uue le. Là il manoit	-|--⌫---⌫--|--|-|-----|
El roia umedeFrance dro it .	-|----⌫--|-|-----|---⌫--⌫|
Quant c elen ouuele oy ot	----|-⌫--|-⌫-----|-|-|
Auplus tost queil	-|---|---|--|-|
onqu e s p ot	----⌫-⌫|-⌫-|
S e smut p ouralercele part	|-⌫---|-⌫--|---|---|---|
Kàenu is q uitteroitsapart	|-|---⌫-|-⌫--------|-|---|
Dedeffe ndrecedont deuoit	-|-----⌫---|-|---|-----|
Estresir es quantDie uplairo it.	----|---⌫-|----|---⌫|------⌫--|
Iecroi ka ins	-|---||-⌫--|
si p oudans	-|-⌫-||--|
Selonclepo i ntde celuitan s	-----|-|--⌫-⌫-|-|----|---⌫|
Eüst telforce	----|--|----|
com cilo t	--|--|-⌫|
QueXX[et] uanssansplusn ot.	--|-|---||--|---|---||--|
Page u01P01 5	----⌫------⌫|
A dontertp ourenfé stenus	-⌫---|--|-⌫--|-----⌫|----|
Cilquin auoitXXXa nsouplu s.	--|--||----|--|-⌫-|-|---⌫-|
Detous ieus o ù	-|---|---|-⌫-|
apartenoit	---------|
Forceet uigourtous c eaus p ass oit	----|-|-----|---|-⌫---|-⌫---⌫--|
Q u idetelieuse ntremet oient.	-⌫-⌫|-|--|--||-⌫-------⌫-----|
Liplusourmoul tsemeruelloient	-|------|----⌫|-|-----------|
Qu eilquisi ioe sne sest oit	--⌫|-|--|-|---⌫---⌫|---⌫--|
et tel uigourauo it.	-|--|-----|---⌫--|
Àpai ne s	-|---⌫--⌫|
trouuaston nu lui	-------|-|--⌫--|
Plusbelneplusa pe rt	---|--|-|---|-⌫--⌫-|
Cléomadèstantesplo it a	----------|---|-----⌫--⌫|
Qu i l u int enEspaigne droit là	-|-⌫|-⌫--|-|-------|----|--|
O ùliroissesperes es toit.	-⌫-|-|---|--|----|--⌫----|
Etq uant Marc a di gasleuoi t	-|-⌫---|----⌫-⌫--⌫--|-|---⌫|
Sauo ir pou ezgrant ioie	----⌫-|---⌫-|----|---|
Et quantsesfi exsalué lot	-|----|--|--⌫-|-----||-|
Ains ic om ilapartenoi t	----⌫|-⌫-|-|---------⌫|
Commecilquito utbie n sauoit	----|--|--|--⌫-|---⌫|-----|
Droit uers	----|---|
samèresen ala	-|----||-|--|
Li ets es sere urssalu a.	-|-|-⌫-|----⌫--|----⌫-|
L àendroit fu	-⌫-|------|-|
bienlesachiez	---|-|------|
Souuent ac oléset b aisiés.	------|--⌫----|-|-⌫-------|
Moulttrès granti oie	----|----|----|-⌫--|
lifaisoient	-|--------|
K enloncta nsueü	|-|---|--⌫-|---|
nel auoient.	-||-------|
Desauenu e grantioieorent	-|-|----⌫|----|---|----|
C il doupaysquan t	-⌫-|--|---|----⌫|
il le sore nt.	-|-|----⌫--|
Q uantleur damoiselontueü	-⌫---|---|-------|--|---|
Sibelsig e nt	-|--|-|-⌫-⌫-|
siparc reu ̈	-|--|-⌫---⌫|
Sicourtois et	-|-------|-|
siafaitié	-|-------|
moulten furentlié.	----|-|-----|----|
QuantClé o madè sson pointuit	----|----⌫-⌫-----⌫|--|----|--|
De parler a ̀sonpe readit	-|-----|-⌫|--|--⌫-||--|
Pageu01P 016	--------⌫--|
Queilleface ch eualier.	--|-|-|---|--⌫-------|
ne s eueutplus targier	-|-⌫|---|---|------|
Que cheualier s ne soitsan s fai lle	--|---------⌫|-|---|---⌫|---⌫--|
Carestre ueutà laba taille	--|----|---|-|-|--⌫-----|
Ce nelai roi tpour	-|-|---⌫---⌫|---|
tout la u oir	---||-⌫-⌫--|
Conliporroitrame nteuoir.	|-|-|------|----⌫-------|
Ma rcadigasli	--⌫-------|-|
d e b at oit	-⌫-⌫-⌫--⌫--|
Pou rc equetropioesnes estoit	---⌫|-⌫|--|---|------|-----|
Etcildistb i en c ertain ement	-|--|---|-⌫-⌫-|-⌫------⌫----|
Que che ualiersout réement	--|---⌫------|---⌫-------|
Serad edensce leiourn ée	---|-⌫----|--⌫-|-----⌫--|
Quela grant bataille e s tnommée	--|-|----|-------|-⌫-⌫|------|
Et dist bienqu	-|---|---|-|
Pourpl ain ualdor	---|--⌫--|--||-|
sonl idonnoi t.	|-|-⌫|------⌫-|
Sachiezkauroiu int moultà	------||-|--|-⌫--|----|-|
Quantuitlabonneuolenté	----|--|-|----|-------|
Queses fiexauoitdebien faire.	--|--|---|----|-|---|-----|
N elenuol tplusd i re	-⌫||-|---⌫|---|-⌫-⌫-|
contrai re	-------⌫-|
Ainsd istcheualier	---|-⌫--|--------|
Puisquetel uolen téen a	---|--|--|-----⌫--|-||
Parsi kenconuentliar oit	--|-||-|------|-|--⌫--|
Queu erslesbo n sl argesseroit	--|-⌫--|--|--⌫-⌫|-⌫----|-----|
Car grans princesnepuetauoir	--|----|------|-|---|----|
Tre ̀s haute h onno urta nt aitd	---⌫-|----|-⌫----⌫-|--⌫-|--||
S ilnes et lesbons	|-|-|-⌫-|--|---|
Et dousien	-|--|---|
large ment donner	-----⌫---|-----|
uaut riensprinces eschars	---|----|------|------|
Silauoit dorcharch iéM chars.	|-|----||-|------⌫--||-----|
Cléom adèsauant p assa	------⌫----|----|-⌫---|
Etli d is tq ue	-|-|-⌫--⌫|-⌫-|
largessera	-----|---|
Ornesesmaitde	-|-||-----|-|
Carillitenr abienconue nt.	--|-|-|----⌫|---|-----⌫--|
Pageu01P017	----------|
Biaus fiexdist-ilDi exuouse n	----|---|------|--⌫-|---|-⌫|
Etuou stieng neenla	-|---⌫|-----⌫-|-|-|
d roit e uoie	-⌫----⌫|---|
Desbo n shonnore r	--|--⌫-⌫|-------⌫|
Et de leur	-|-|---|
seruicemerir.	------|-----|
Tantos tfist liroiscommand er	------⌫|---|-|---|-------⌫-|
Queonfeïsttostarrée r	--|-|-----|---|------⌫|
Cot es dedrasd oret	---⌫-|-|---||-|-|
Pou rtro iscen s	---⌫|---⌫-|---⌫|
cheualiersnouuiaus	---------|-------|
Etcha s cun a rmes etd estrier	-|---⌫-⌫--|-⌫---|-|-⌫------|
ueutc o nl eur	---||-⌫|-⌫--|
faceappa reillier	---|----⌫-------|
Pouram ourdecek ado uber	---|--⌫--|-|-||---⌫---|
ueutsonfill	---|--|---|
et armes donn er.	-|----|----⌫--|
Tostfulabesoignea rréée	---|-|-|-------|-⌫------|
Puis queliroislot	---|--|-|---||-|
commandée.	----------|
Cheualierfu rent au	--------|--⌫---|-|
tie rsiour.	---⌫-|----|
S achie z que maintegranthonn our	-⌫-----⌫|--|-----|----|----⌫--|
Yot faiteetma intdon	|-|----|-|--⌫--|--|
ifuren tpasoublié	|-----⌫|--|------|
A ins ifuren t bi enensaison	-⌫--||-----⌫|--⌫-|-|-----|
Donn éyot	----⌫-||-|
maintric hedo n.	----|---⌫-|--⌫-|
Lafes tefuetbe le	-|---⌫-|-|-|--⌫-|
Et l iio urs aloitap rochant	-|-⌫|--⌫--|----|--⌫------|
Q ue labataillees trede uoit.	-⌫-|-|-------|--⌫--|--⌫----|
Dambe s IIpa rs uinren t là droit	|----⌫|-|--⌫-|------⌫|--|----|
Oùestredeu oit labata ille.	--|----|---⌫--|-|----⌫----|
Lac iéyo tmainteuentail le	---⌫--||-⌫|-----|-------⌫-|
Et ma intefort	-|--⌫---|---|
br oigneendossée	--⌫----|--------|
Si otm ainte t renchant	-|-|-⌫----|-⌫-------|
Etmaint hia umecl er	-|----|---⌫--|--⌫-|
relu isa nt	----⌫---⌫-|
Et mainteens aignef lamboiant	-|-----|---⌫----|-⌫--------|
Etmai ntetargeetmaintescu	-|---⌫--|----|-|----|---|
Et maintelance	-|-----|----|
Pageu0 1P 01 8	------⌫--⌫--⌫|
Etma intdartet	-|--⌫--|---|-|
mai ntroit espie r	---⌫-|---|-----⌫|
Etmaintgauelot pour lancier	-|----|------|---|------|
Maint cheualierr icheet poi ssant	----|--------|-⌫---|-|---⌫----|
Y otetmaint cheualcorant.	|-|-|----|-----|------|
C léomad es so rIdestrier	-⌫-------⌫-|--⌫||-------|
Séoitfi n[et]for tetlegier	-----|--⌫|---|---⌫|-|-----|
Lesarmessonpere àlabel	--|----|--|---|-|----|
Portoitquimoultli	------|--|----|-|
sirentb el	-----|-⌫-|
Et estoient	-|-------|
dunue rtdyaspre	|-|--⌫-|------|
Lilabel etmoult tro uuoit aspre	-|----|-|----|---⌫----|----|
Lecheualsorquoiil séoi t	-|-----|--|---|-|-----⌫|
Siàpoin t	-|-|----⌫|
afren ése stoit	-----⌫--|-⌫----|
Que tournansestoitàs on	--|-------|-----|-|-⌫-|
Et mouuanstoutàu olenté.	-|------|---|-|-⌫-------|
En armesert mo ultbien se ́an s	-|----|--|--⌫--|---|--⌫---⌫|
Etgrac ieusetauena ns.	-|----⌫---|-|-----⌫--|
Aperserte t amaneuis .	----|--|-⌫|--------⌫|
Sachi ez nel	-----⌫-|--|
uitpasàenuis	--|--|-|----|
Ses per es maismoultli	--|---⌫-|---|----|-|
La maniere k enlui au oit	-|------||-|--|--⌫--|
Carmou ltert bienaparissant	--|---⌫-|--|---|---------|
Ken l u ia uro it homeuaillant.	|-|-⌫-⌫|-⌫---⌫-|---|--------|
Se sbataillesaord enées	--⌫|--------||---⌫-----|
Marcadigas et arr é ées.	---------|-|---⌫--⌫----|
Trois b atailles fistd e sa gent	----|-⌫-------|---|-⌫|-|---|
Moultlesorde na belet gent	----|--|----⌫-|--|-|---|
Bienetà droitleurdeuisa	---|-|-|----|---|-----|
C o mment luneaprèslautreira.	-⌫-⌫----||--|-----||----|---|
En c ha scunebataillealoit	-|-⌫--⌫----|-------|----|
Debien faire	-|---|----|
les semo nnoit.	--|----⌫-----|
Enla premiereson	-|-|-------|--|
To utauiséementlefi st	--⌫-|----------|-|--⌫-|
Carbien à sonsamblantue ́oit	--|---|-|--|-------|--⌫---|
Pageu 01P019	-----⌫-----|
Quesescuer sà honnourbaoit.	--|--|----⌫|-|------|-----|
Moulttre ̀sàdroitlecha stia .	----|---⌫-|-|----|-|---⌫----⌫|
Bi a usf iex	--⌫-⌫-|-⌫--|
faitil or ip arra	---|-|-||-⌫---|
S ehuimonst errés que cestuoirs	-⌫|--|-----⌫-----|--||--|----|
Qu edEspaigne soiezdr oish oi rs.	--⌫||-------|----|--⌫--|-⌫--⌫--|
Clé omadès li resp ond it.	----⌫------|-|----⌫---⌫--|
Sire faitil ieuous	---|---|-|-|---|
Queie feraitoutmon pouoir	--|-|----|---|--|-----|
Queonm etiengnepouruostre	--|-|-⌫|------|---|-----|
Carse ie fazbie non di ra	--|-|-|--|---⌫|-|--⌫-|
Ce st uostre fiexquifai t	|-⌫-|-----|---|--|---⌫|
Etse aut re choseen faisoie	-|-|---⌫-|----|-|------|
pasàdroitne seroie.	--|-|----|-|------|
Et pource me uo rra ipener	-|---|-|-|--⌫---⌫|----|
De n ondetelpere	-|-⌫-|-|--|---|
sauu e r .	----⌫-⌫-⌫|
dou cheuauch ier	--|--------⌫--|
Etdesanemis aprochier	-|--|-----|--------|
Cariespo ir quebien deffe n drons	--||----⌫-|--|---|-----⌫-⌫----|
Lonnourq ue no u stenir deuons.	|-----|-⌫-|--⌫-⌫|----|------|
Qua nt Marc adigasl ente ndi	---⌫-|----⌫-----||----⌫--|
Tre stousli	---⌫----|-|
cue rslene sioï.	---⌫-||-|-⌫-----|
Quantde sonfill ot tel	----|-|--|---|-|--|
Silen otioi enot pastort.	|-|-|-|---⌫||-|--|----|
cheuauchassent	-------------|
L epas sorf rainetsipe n sassent	-⌫|--|--|-⌫---|-|-|--⌫-⌫------|
Quecil quiper tso n	--|--|--|---⌫|--⌫|
Parlasc heté	--|----⌫----|
faitgrantfolage	---|----|-----|
Fole ment sesontemba tu	----⌫---|-|---|----⌫-|
Cilqui cisontseurnous	--|--|-|---|---|---|
Cars eur n osdroit nousdeffend ons	--|-⌫--|-⌫-|----|---|-------⌫--|
Porquoi Dieuen ayde auons	--|---|---|-|---|----|
Pageu01 P020	-------⌫---|
Etendeffendant son pays	-|-|---------|--|---|
Doitchascun sh om ual oirausX	---|-------⌫|-⌫-|---⌫--|--||
Ouplus c e u o us di ie por	-|---|-⌫|-⌫-⌫-|-|-|--|
Aubes oingdoitlibi e ns	-|---⌫---|---|-|--⌫-⌫-|
Chasc unsaitseüre esperance	-----⌫--|--|-----|--------|
CarDiexse rae nnostre	--|---|--⌫-|-⌫|-----|
Ains is agen tamonnestoit	----⌫|-⌫|---⌫|----------|
Marcadigaset	---------|-|
cheuauchoit	----------|
Enco nroio rdene ́ em ent.	-|--⌫---|-⌫-----⌫-⌫--⌫---|
Mou ltcheuauchoie ntno blement.	---⌫-|-----------⌫-|--⌫-------|
Fo li o3 u	--⌫--⌫--⌫|
Cefuàune m atiné e.	-|-|-|--|-⌫------⌫-|
Mainteensaign e	-----|-------⌫|
desuolep ée	--------⌫--|
Yotau uentet	|-|-|---|-|
maintpe non	----|--⌫--|
maint escu maint bl a zon	----|---|----|--⌫-⌫--|
Etmai n trichehiaumeluis ant	-|---⌫-⌫|----|-----|----⌫--|
Etmaintcheualierdesirant	-|----|--------|-------|
Dacroistre lenonlor	|--------|-|--|--|
E t d aquerrenon de	-⌫||------|--|-|
Dedeffendr eleur herite ́s	-|--------⌫|---|------⌫-|
Sambl oitchascu nsentalentés.	-----⌫--|------⌫-|-----------|
Sageme ntetb el ch e uauchoi ent	------⌫-|-|-⌫-|--⌫-⌫-------⌫--|
Comgentqui d	--|---|--||
armesd uitestoien t	----|-⌫--|-------⌫|
Les batailleslune aprèsl autre	--|--------||--|-----||----|
Lep etit pasla nce sorfautre	-|-⌫---|--|--⌫--|--|-----|
Escusasco ulshiaumeslaciez.	----|-|--⌫--|------|------|
Enlau ant b atailleestoitchiez	-||--⌫--|-⌫------|-----|----|
Cléomadèscuimoulttardoit	----------|--|----|------|
Quelestour s	--||------⌫|
assa mblé snestoit.	----⌫-----⌫||------|
Laseconde après luis iuant	-|------|-----|--|-⌫----|
Menerentdoifr ereuai ll ant.	-------|--|--⌫--|---⌫--⌫---|
auoitnonFercatas	----|--|-------|
Page u0 1P021	----⌫--⌫----|
EtliautresHely adas.	-|-|-----|----⌫----|
Bel etp reuetloialestoie nt .	--|-|-⌫--|-|----|------⌫--⌫|
Deguerr eambeduim oult sa uoient.	-|-----⌫|------|-⌫---|--⌫------|
L i unsportoit	-⌫|--|------|
ar mesuermeille s	--⌫--|---------⌫|
ÀI Iblanchesp assansoueil les	-|-⌫|-------|-⌫-----|-----⌫--|
teleslesport oi t	----|--|----⌫--⌫|
Maisquelabiaus	---|--|------|
bleu siauoit	----⌫||----|
Qu imoult très bieniauenoient.	--⌫|----|----|---||---------|
Li duifreremoul tsentram oient	-|--|----|----⌫||------⌫----|
Dont n efaisoientpas f olage	---|-⌫|--------|--|-⌫----|
qu itienent celusage	--⌫|------|--|----|
F ontquesageet	-⌫--|--|---|-|
comauisé.	--|------|
Souuent en ontestébl asmé	------|-|--|----|--⌫----|
Fre r e quantilsede scordoient	---⌫-⌫|----|-|-|--⌫---------|
Etencoredemainferoi ent.	-|-----|-----|-----⌫---|
Bi enendoiu en testre mainsfort	--⌫-|-|----⌫--⌫|----|----|---|
Fre requantne sont	---⌫-|----|-|---|
dun acort .	|-|-----⌫|
Enla rrie ̀r eba taille fu	-||-⌫----⌫--⌫|--⌫-----|-|
Marcadigasqui tantual u	---------|--|---|---⌫|
Quenush om	--|--|-⌫-|
pouoit plus ualoir.	-----|---|------|
Oruous uorra ia men t euoir	-|---|-----⌫|-⌫---⌫-⌫----|
Decea usquisont àlautre	-|---⌫-|--|---|-||----|
e notqu i bien	-⌫|-|--⌫|---|
seurcorantdest rier.	---|-----|----⌫----|
Mainteb aniere	-----|-⌫-----|
Iueïssiezet mainteensaigne.	|--------|-|-----|--------|
aus m on stre	--|-⌫--⌫---|
lautreeten saigne	|----|-|--⌫-----|
Lagent Marcadi gasuenir.	-|---|-------⌫--|-----|
L orsueïss ie zl es rensfremir.	-⌫--|------⌫--⌫|-⌫-|---|------|
ubatai l le sfaitesau oient	|-----⌫-⌫--⌫|-----|--⌫----|
Pageu 01P0 22	-----⌫----⌫-|
uers Ma rcadi gasaprochoient	---|--⌫-----⌫--|----------|
L epasset rengiéet	-⌫|-----|------|-|
Maisn a ienco r pas	---||-⌫|----⌫|--|
Qui le s ub ataill esguioit.	--|--⌫||-⌫------⌫-|------|
Chascunsdes	-------|--|
roi s uneenauoit.	---⌫|--|-|-----|
Lapremi e re	-|-----⌫-⌫-|
ot Garsian is.	-|-------⌫--|
Ci lestoit moult entalentis	--⌫|-----|----|---------|
DeceausdEspaigne faire	-|----||-------|----|
roisd e Portin gal.	---|-⌫|------⌫---|
Certla bataill eou	|--|-|-------⌫|-|
chie fdeuant.	----⌫|------|
Espaigno luontmoult	--------⌫|---|----|
man eça nt	---⌫----⌫-|
Etmoultleu r	-|----|---⌫|
tardekas s emblé	----||--⌫-⌫-----|
Ne son t à a u setaiousté.	-|---⌫|-|-⌫-⌫|-|--------|
Seürementuont aprochant	---------|---|--------|
LesEsp aignosetmoult iu rant	--|---⌫-----|-|----|--⌫---|
Ques illestru euent	--||-|--|---⌫----|
n iertpasgas.	|---|--|---|
Maruire nt	--|----⌫-|
roiMa rcadigas.	--|--⌫--------|
Plain erentdout rageusbo ban t .	----|----||---⌫-----|--⌫---⌫-⌫|
L autrebat ailleaprèssiuant	|----|---⌫----|-----|-----|
M e n oit li	-⌫-⌫-⌫--|-|
roisBondars liGris.	---|------|-|----|
De Gascoigneert nés etnorris	-|--------|--|---|-|-----|
Et sien es toi t	-|-|-|--⌫---⌫|
roisclamés.	---|-------|
Cestoitdet ousli m iexmo ntés.	|-----|-|-⌫--|-|-⌫--|--⌫-----|
cheual liartséoit	-----|----|-----|
Telquemeilleurn econuenoit	--|--|-------|-⌫|--------|
Carfins ertet	--|---|--|-|
seüret fors.	----|-|----|
combatreco rsàcors	-------|--⌫-|-|---|
meillour cheual	-------|-----|
N e trouuas ton en nul e terre.	-⌫|-------⌫|-|-|---⌫|-----|
Latiercebataille guia	-|-----|-------|---|
