#META# TextURIP erc e u alKu	-----|------|-⌫---⌫-⌫-⌫---|
#META#DEA Fn od ata	-----|---⌫|-⌫--⌫--|
#M ETA#FEW	--⌫---|--|
#META#ARLIMAhttps/ / www .arlima .net/ad/chretien_de_troyes.html# g r a	-----|-----|------⌫-⌫---⌫-------⌫--------------------------------⌫-⌫-⌫|
#META#AuthorChrétiendeTr o yes	-----|-----|--------|-|--⌫-⌫--|
#META#AuthorBorn	-----|---------|
#ME TA#AuthorBornAmb	---⌫--|------------|
#ME TA#A uthorDied	---⌫--|-⌫--------|
#META#AuthorDie dA mb	-----|---------⌫--⌫-|
#ME TA# Aut horFl1	---⌫--|---⌫-----|
#META#AuthorFl2	-----|--------|
#META# TextTitlePerceual	-----|--------|-------|
#MET A# TextSubtit leLe	----⌫-|----------⌫-|-|
#M ETA# Textuols	--⌫---|-------|
#META# TextSub i rom an c e	-----|-------⌫|---⌫--⌫-⌫|
#M ETA# TextDomlit	--⌫---|------|--|
#M ETA#Tr a nslationf alse	--⌫---|--⌫-⌫-------|-⌫---|
#META#Collection	-----|---------|
#META#Colle ct ionNo	-----|-----⌫--⌫----|
# META#TextDescARL u e rsoctos yllabi ques à	-⌫----|----------|-⌫-⌫-|-----⌫------⌫---|-|
a not aice le ore	-⌫|-||---⌫-|--|
quelel euoit	-|--|-⌫|---|
car comemer equi mout ainme	--|---|---⌫|--|---|----|
cortc ontre	---|-⌫----|
luietsilecla inme	--|-|-|-|---⌫---|
Biaxfilzbiaxfilzplus	---|---|---|---|---|
de.c.foiz .	----|----⌫|
moutaeste ́de stro iz	---||----⌫|--⌫----⌫-|
m escuerspor	-⌫-|----|--|
uos tre demoree.	---⌫--|-------|
e s téacoree	-⌫-⌫--|-----|
siqu eparp omortenesui .	-|--⌫|--|-⌫|----|-|---⌫|
O u a uezu ostan testéhu i	-⌫|-⌫--|-⌫-|---⌫|----|--⌫|
—Oud ameI e	|-|-⌫--|-⌫|
leuo s dira i	-|--⌫|----⌫|
moutbien q ueia n	---|---|-⌫-|-||
anman tirai	-|---⌫----|
que ieaimoutgrantioieeüe	--|-|-|---|----|---|---|
du nech oseq uei aiueüe.	|-⌫-|--⌫--|-⌫-||-|-----|
Mer enesolie zu osdire	---⌫|-|-----⌫|-⌫-|---|
queli engeDeu nostre sire	--|-|---|--|-----|---|
son tsi tresbel c	---⌫|-|---|--||
onquesNature	-----|-----|
— B ia xfil zancorledi gebien.	|-⌫--⌫|---⌫|----|-|-|-|----|
Ieldisp or u oi ret	--|--|-⌫-|-⌫--⌫|-|
dianc or es.	-|---⌫--⌫--|
—Tei siezmere	|---⌫---|---|
Ne ui geores	-|-|-|---|
be leschosesqui sont	--⌫--|-----|--|---|
quipar la GasteFores tuon t	--|--|-|----|-----⌫|---⌫|
Ilso ntpl us b el sicong e cuit	-|--⌫-|--⌫-|-⌫-|-|--|-⌫|---|
neque sienge tuit.	-|--|-|---|----|
(362d.393)	---------|
Lamereantresesbrazle	-|---|----|--|---|-|
etdit Biaxfilza	-|--|---|---||
Deu t eran t	--|-⌫|---⌫|
grantpeordetoi.	----|---|-|---|
Tuas ueüsicon	-|-|---|-|--|
lesenges donla gent	--|----|--|-|---|
seplaignen t	-|--------⌫|
qui ocïentquanquila taig nent.	--|------|-----|-|-⌫----⌫----|
—u oir non ai mere	|-⌫--|--|-|---|
Cheual ie rdi ̈ent quilont	------⌫--⌫|--⌫---|-|-|--|
Lameresepasme acest mot	-|---|-|----||---|--|
qantc heualierno merli	---|-⌫-------|--⌫--|-|
Etquant elefu redreciee	-|----|--|-|--------|
si distconfa mec orr eciee	-|---|--|--⌫-|-⌫---⌫----|
Halasse con sui malbaillie	-|----|--|--|--|------|
B i axdolzfilzdecheu alerie	-⌫-⌫-|---|---|-|----⌫-----|
uoscuido ie sibieng arder	--|-----⌫-|-|---|-⌫----|
oïss iezpar ler	-----⌫--|---⌫--|
nequeianul nanueïs siez	-|--|-|--||-|-----⌫---|
Che ualiersest rede u ̈ssiez	---⌫------|---⌫-|--⌫-⌫-----|
b iax filz seD amedeu pleüst	-⌫--|---|-|-⌫-----|------|
queuostre pereuoseüs t	--|-----|---|--|----⌫|
gardé etuozautre s am is.	-----|-|--|-----⌫|--⌫--|
N otcheuali e rdeuo str e*pris	|-|-------⌫-⌫|-|--⌫---⌫-|---|
tant redoténe tant	---|------|-|---|
biax filzconuostreperes fu	---|---|--|-----|----|-|
antotesles Islesdemer.	-|----|--|----|-|---|
uospoezbienuan ter	--|---|---|---⌫--|
queuosned eche ez derien	--|--|-|-⌫----⌫-|-|---|
desonlinagene delmie n	-|--|-----|-|--|---⌫|
queiefuidecheualiers nee	--|-|--|-|---------|--|
desmellorsdecestecontree.	--|------|-|----|-------|
EsIs l es demerno t linage	-|--⌫-⌫-|-|--||-⌫|-----|
meillo rd elmienanmon aa ge	------⌫|-⌫-|---|-|--|--⌫-|
mesl i mellor	--|-⌫|-----|
sontde cheü	---|--⌫----|
sestbienanplusorsle us seü	|--|---|-|------|--⌫-|---|
quelesmes cheancesaui enent	--|--|---⌫-------|---⌫----|
asprodomesq uisema intienent	-|-------|-⌫-|-|--⌫--------|
agrantenor	|----|---|
pr oes ce.	--⌫---⌫--|
M aluestiezhonte ne peresce	-⌫--------|----|-|------|
n echietp asc arele	-⌫|----|-⌫-|-⌫-|--|
me slesbonsdec heoirest uet.	--⌫|--|---|---⌫----|---⌫---|
uostreperessi nel sauez	-----|----|-|--|----|
fu p arm iles ianbesna urez	-|-⌫---⌫|--|-----|--⌫---|
sique il mahaigna delcor s .	-|--|-|-------|--|---⌫-⌫|
S agranzter reses	-⌫|----|---⌫-|--|
g ra nz tresors	-⌫--⌫-|------|
(362 e .43 7)	----⌫-⌫---⌫-|
queilauoi t c ome	--|-|----⌫|-⌫--|
ala totaperdicion	--|--||--------|
sicheïangrantpour eté.	-|----|-|----|----⌫----|
Apourietde se ri té	-----|-|--⌫--⌫--⌫--|
ete ssilliéfurentatort	-|-⌫-------|-----||---|
li prodomeap r éssa mort	-|------|--⌫-⌫--|-|---|
Uthe rpandr agon quimorz f u	----⌫------⌫---|--|---|-⌫|
etpereslebo nroiArtu.	-|----|-|--⌫|--|----|
L esterresfurent essillie es	-⌫-|-----|-----|--------⌫-|
et les pouresgenz auilliees	-|--|-----|---|--------|
sisanfoïquipoir*pot.	-||-|---|--|----|---|
uostreper es	-----|---⌫-|
cest man oir ot	---|---⌫--|-|
iciance stefores tgaste	--|-|--⌫--|-----⌫|----|
nepot foïr	-|--|----|
caragrant haste	--||----|----|
a nli tiereaporter sef ist	-⌫|--⌫----|------|-|-⌫--|
quaill orsn esotouil	-|----⌫--|-⌫|--|-|-|
Etu os qu ipetiz	-|-⌫-|--⌫|----|
.ii. moutbiax	---|---|---|
fr eresaueiez.	--⌫---|------|
P e ti z esteiez	-⌫-⌫--⌫|------|
alei ta nz	----⌫--⌫-|
poau eiez p lus de.ii.anz.	-|--⌫---|-⌫--|-----|---|
Qa ntgrantfuren t uos tre duifrer e	--⌫-|----|-----⌫|---⌫--|--|----⌫|
au los etau cons oillor	-|--|-|-|----⌫--|--|
alerenta .ii. corz reax	------|-⌫---|---|---|
porauo irar me s etcheuax.	--|---⌫-|--⌫--⌫|-|------|
Auro idEsc aualon ala	-|--⌫||---⌫-----|--|
liainznezetta nts eruila	-|------|-|--⌫-|-⌫---|-|
q uech eu a l iers fu	-⌫-|--⌫--⌫-⌫-⌫---|-|
Etliautre squip uis	-|-|-----⌫|--|-⌫--|
fuau r oiBandeGoremet.	-|-|-⌫-|--|-|-------|
An.i. ior and uil iuaslet	----|--|---⌫-|-⌫|-----|
adobéetcheualier furent	-----|-|--------|-----|
etan .i.iormeïsmesmurent	-|--⌫--|--|-------|-----|
por reuenira lor repeire	--|------||--|------|
queioiemeuol oientfei re	--|---|-|---⌫----|---⌫-|
etlorperequi	-|--|---|--|
puisnesuit	---|--|--|
quasarmesfurentdesconfit.	-|-|----|-----|---------|
Asarmesfurent mort andui	-|----|-----|---|----|
do niai gr antd ueletgran t	--⌫||-|--⌫--|-⌫--|-|----⌫|
Delainznéauindrent meruoil les	-||------|--------|-------⌫--|
qu el i cor bele t l e scorn oille s	--⌫|-⌫|---⌫--|-⌫|-⌫-⌫|----⌫-----⌫|
anbedeuslesialzlorcre uerent.	-------|--|---|--|---⌫------|
Ensilage nt m or zles troueren t.	---|-|--⌫-|-⌫--⌫|--|--------⌫-|
Deldueldes f ilz morutlipe re	--|---|--|-⌫--|----|-|--⌫-|
ai uiemou t	-|--|---⌫|
(362f. 481)	------⌫---|
soffertepui sq ueilf u morz .	-------|---⌫|-⌫-|-|-⌫|----⌫|
uosestei eztoz li c o nforz	--|-----⌫-|--|-|-⌫-⌫----|
queieauoieettoz li biens	--|-|----|-|--|-|----|
auoitplusdesmie ns.	----|---|--|---⌫--|
Ri enplusnem au o i t	--⌫-|---|-||--⌫-⌫-⌫|
D exless iee	-⌫-|----⌫--|
dontiefuss eioianzetliee .	---|-|----⌫|-----|-|----⌫|
Liuasle zantan tmou tpeti t	-|-----⌫|-----⌫|---⌫|----⌫|
acequesa m ere li dit.	|-|--|-|-⌫--|-|---|
Amangier fetilmedon ez .	|------|--|-|-|---⌫--⌫|
Nesa id ecoi m	-|--⌫|-⌫|--||
mes moutiroieuolantiers	--|---|----|---------|
auroiq uifetlesc heuali ers	-|--|-⌫-|--|--|-⌫------⌫--|
et gii raicui	-|||-⌫--|--|
qu ilanp oist.	-|-|-|-⌫----|
Lamere tantcon	-|---|---|--|
illilo ist	-|-|--⌫--|
leretient etsi lese iorne	-|------|-|-|-|--⌫----|
s ili apa roilleetato rne	-⌫|-|---⌫-----|-|---⌫--|
deche ne uazgrosse	-|---⌫--⌫--|-----|
et braiesfei tes a laguise	-|-----|---⌫--||-|----|
deGale sou l anfetansanb le	-|----⌫|-||-|--|------⌫-|
braieset chauc esce	-----|-|-----⌫-|-|
etsiot cot e etchap eron	-|-|-|---⌫|-|----⌫---|
de cuirdecerfclosan uir o n.	-|---|-|---|---|--⌫---⌫-⌫-|
E nsi lamerelatorna.	-⌫--|-|---||------|
Trois ior ze inzplus nid emo ra	----|---⌫|-⌫--|---|||-⌫---⌫-|
quepl usniotmestier	--|--⌫-|||-|------|
Lorsotlameredueles t range	---|-|-|---|---|--⌫-⌫----|
se lbei se et acoleanplor ant	--⌫|---⌫-|-|----|-|----⌫--|
mou tgrant	---⌫|----|
bi ax fil zq uant aler uosanuoi .	--⌫-|---⌫|-⌫---|---|--|-|---⌫|
uos irez a la	--|---||-|
s ili direz quarmesuos doint.	-⌫|-|----|-|----|--|-----|
De con tredi tni	-|---⌫-----⌫|||
aura poi nt	---|---⌫-|
qu illesuosdonrabien le	-|-|--|--|----|---|-|
Mesq ua ntil uandraalessai	--|-⌫--⌫-|-|-----|||----|
dar mesport ercomanti ertdo nq ues	|--⌫--|----⌫-|-----|-⌫--|--⌫--⌫--|
Ce qu euosnefeï stes onques	-|--⌫|--|-|----⌫---|-----|
neautrui ne lueïstes faire	-|-----|--⌫|-------|----|
coman t ansauroiz achief	-----⌫|-|------||----|
M alueisementuoirece dot.	-⌫----------|----|-|---|
Malseroizafeitiezde lto t	--|-----|-------|--⌫|--⌫|
ne n es t meruoille ce	-||--⌫|--------|-|
me st ui s	|-⌫-|--⌫|
sannesetce	|-|-|--|-|
quannaapris.	-|-|||-----|
Mesmeruoillee stquantannaprant	--|--------|-⌫-|----|-||-----|
( 363a526)	-⌫-------|
Biausfilz .i .sa n	----|----⌫--⌫|--⌫|
uosuuelap ra ndre	--|---|--⌫--⌫---|
ou iluosfetmout bon	-|-|--|--|---|--|
et siluosplest aretenir	-||-|--|----||------|
granzbie nsuos	----|---⌫-|--|
anporrauenir .	-|----|-----⌫|
Cheualiersseroiz ius q ua po	---------|-----|---⌫-⌫||-|
filzseDeu plestetiele lo.	---|-|--|----|-|-|-|--|
S euo str ouezne presne loing	-⌫|--⌫|--⌫---|-|---|-|----|
dam equidaï e aitbe soing	---⌫|--||---⌫|--|--⌫----|
nepuceledescon se ll iee	-|-----|------⌫--⌫--⌫--|
lauostreaïeaparelliee	-|-----|---|---------|
lor soi tseles uosan requier ent	--|---⌫||---|--|-|-------⌫--|
quetote s enors i af ierent.	--|----⌫|----||--⌫------|
Qui asd ameseno r ne	--|-|-⌫---|---⌫|-|
lasoee norsdoit	-|--|-⌫---|---|
estremor te.	----|---⌫--|
Dame se tpucelesseruez	----⌫|-⌫|------|-----|
sis eroi zpartot en orez	-|-⌫----⌫|-----|--⌫---|
etseuosaucuneanproiez	-|-|--|-----|-|-----|
gard ez queuos ne	----⌫-|--|--|-|
nefetesrienqui	-|----|---|--|
lidesplei se.	-|-------⌫--|
Dep uceleamout	-|-⌫----||---|
quil abeise	--|-⌫|----|
beis ieru os	----⌫--|-⌫-|
lesore plu suosan de sfa nt	-|----⌫---⌫|--|-|--⌫---⌫-|
se lessier	-|------|
leuolez por	-|----|--|
Et s eleaenel	-||--||---|
o us a ceintureou aumosniere	-⌫|||-------|-|---------|
sepa r a morouparpro i ere	-|--⌫|-⌫--|-|--|---⌫-⌫--|
le uosdonebonm iert e tbel	-|--|---|--||---|-⌫|--|
q ue uosa np ortoizson	-⌫-|--|-⌫|-⌫-----|--|
Del anelprandre uosdo in gié	-||---|------|--|--⌫-|---|
etdelaumosni erecongié.	-|-||-------⌫--|-------|
Biax fi lzancor uos	---|--⌫-|----|--|
uueldireel	---|---|-|
i aan che minneano stel	-⌫|-|---⌫--|-|-|-⌫---|
na iezlongueme ntconpaig non	|-⌫--|--------⌫-|-------⌫--|
dem a ndiezso nnon	---⌫-⌫----|--⌫|--|
lenonsachieza	-|--|------||
l a parso m e	-⌫|-----⌫-⌫|
carpar lenon	--|--|-|--|
con u istan	---⌫-⌫--|-|
Biax filzasprodomespa rlez	---|---|-|-------|--⌫---|
auoecles prodomes alez	----|--|-------|---|
pro domeneforuoientmie	---⌫---|-|--------|--|
tienent lorco npaignie.	------|--|--⌫--------|
rien uos uu elproier	---|--|--⌫-|-----|
ygli seet an mostie r	----⌫-|-|-|------⌫|
alezproi erNost reSeig nor	---|----⌫-|----⌫-|----⌫--|
doi ntioieeten or	---⌫-|---|-|--⌫-|
( 363b.569)	-⌫--------|
etsiuosidoint co n tenir	-|-|--||----|--⌫-⌫----|
qu a bonefinpuissiez uen ir.	-||---|--|-------|---⌫--|
f e tilqu e e stigl ise	-⌫-⌫|-|--⌫|-⌫-|---⌫--|
—Unsle usouanfetle	|--|--⌫-|-|-|--|-|
cel ui quicielet ter re fist	---⌫-|--|---|-|---⌫-|---|
ethomes et	-|----|-|
— Etmostiersqu	|-|-------|-|
es t—I ce meïsm e	--⌫||-⌫-|------⌫|
unemeison belee t saintis me	--|-----|---|-⌫|-------⌫-|
plain decorssainzet	----|-|---|----|-|
d e tresors.	-⌫|-------|
Sisacre fielanle	||-----⌫--||-|-|
Iesucri st l a prophetesainte	-------⌫-|-⌫|-------|-----|
Que Giufirenthonte mainte.	--|--|-----|----|------|
Trai ̈zfuet iugiez	----⌫-|-|-|-----|
sisofriangoisse	-|----|-------|
hom ese tpor	---⌫-|-⌫|--|
quananferal oient	-|-|----|--⌫----|
pa rt oientdescors	--⌫--⌫----|--|---|
etil le sangita	-|-|--⌫|-|---|
puis fors.	---|----|
Cilfua l est aicheliez	--|-|||---⌫----|---|
batuzetpuisc r ocefie z	----|-|---|-⌫-⌫------⌫|
etporta corone	-|----|-----|
desp ines .	|---⌫----⌫|
P o roïrmesses etmati nes	-⌫-⌫|---|-----|-|----⌫--|
etporcelseigno r aorer	-|--|--|------⌫|----|
uoslo giéaumost ieraler.	--|-|---|-|----⌫--|----|
gemo ut uol antiers	-|--⌫-|---⌫------|
es i glises	-|-⌫-----|
etesmostiers	-|-|-------|
uaslezdo r en aua nt.	-----||-⌫|-|---⌫--|
E nsileuosme t ancouant .	-⌫--|-|--|--⌫|-|------⌫|
o t plus dedemore	-⌫|---|-|-----|
congiéprant e t	------|----|-⌫|
lamereplore	-|---|----|
et saseleli fuia	-|-|---|-|-|-|
ala gui se	|-|---⌫-|
de Galoisfua pa relliez	-|-----|-|-⌫--⌫------|
unsreuelinsau oitchauciez	--|-------|--⌫--|-------|
etpa rtotlaouil alo it	-|--⌫---|-|-|-|---⌫-|
. i ii.iaueloz	-⌫-⌫--|------|
po rtersol oit.	--⌫---|---⌫---|
Ses iauelozanuo ltpo rter	--|------|-|--⌫-|--⌫---|
mes.ii.lanfistsa mere	------||-|---|-|---|
quetrops anb last	--|---|-⌫---⌫---|
sieüst ele	-|----|--|
f et toz trois	-⌫-|--|----|
moutu ol antierssilpo ï stest re .	---|-⌫--⌫------||-|--⌫--⌫-|---⌫--⌫|
Uner eorteansam ainde stre	--|-⌫----|-|-|-⌫--|--⌫---|
portap orson cheualferir.	----|-⌫-|--|-----|-----|
Plorantle beise	------|-|----|
audepartir	-|-------|
(36 3c. 6 13)	---⌫---⌫-⌫--|
lamerequi mo utchier	-|---|--|--⌫-|----|
etprieDeuqueill auoit.	-|---|--|--|-||-----|
Biaxfilzfet	---|---|--|
eleD ex uosdoint	--|-⌫-|--|----|
ioie pl usquilne meremoint	---|--⌫-|-|-|-|-|------|
a nquelqueleuqueuosailliez.	-⌫|------|--|--|--|-------|
uaslezfu e sloigniez	-----|-|-⌫--------|
le gietd unep ierre menue	-|---||--|-⌫----|----|
etuit cheüe	-|--|-----|
samereauchie f delpont arriere	-|---|-|----⌫|--|---|------|
et iutpasmeeantel meniere	-|--|-----|-|--|------|
c ons elefust cheüe	-⌫-||--|---|-----|
E t c ilceing ledelareort e	-⌫|-⌫-|-----⌫-|-|-|-----⌫|
sonc haceor p armilacr ope	--|-⌫-----|-⌫---|-|--⌫--|
p asne çope	-⌫-|-|----|
an portegrant aleür e	-|----|----|------⌫|
parmilag rantforest oscu re	----|-|-⌫---|-----|----⌫-|
etcheualcha deslemati n	-|--------|--|-|----⌫|
tantqueliiorzuinta decl in.	---|--|-|---|---||----⌫--|
fo restce lenuitiut	--⌫---|--⌫-|---|--|
tantqueliiorzc l ers	---|--|-|---|-⌫-⌫--|
chant desoiselez	----|--|------|
selieue etmonte liuaslez	-|----|-|----|-|-----|
sa au cheu alchie r	||-|----⌫------⌫|
tantquei luit.i.tref	---|--|-⌫|-----|---|
anu ne pr aerie bel e	-|-⌫-|--⌫----|---⌫|
lez l adoiz	--|-⌫|---|
dunefontenele.	|--|---------|
Litrezfugran z a	-|---|-|----⌫||
grant meruoille	----|--------|
lunepartiefume ruoi lle*	|--|-----|-|--⌫----⌫---|
autre fu dorfroisbande e	----|-||------|-----⌫|
lune partiefudor ee	|--|-----|-|---⌫-|
Anl aigleferoit lisolauz	-||----|-----|-|-----|
quimout luisoit	--|---|------|
clerset uermauz	----|-|------|
si reluisoienttuitli	-|----------|---|-|
del anlum inement del tré .	-||-----⌫------|--|----⌫|
Anto r letrefalareonde	----⌫|-|---||-|-----|
quiesto i t liplu sbiaxdel mon de	--|----⌫-⌫|-|---⌫|---|--|---⌫-|
au oit.ii.ramees fui llie e s	--⌫------|-----|---⌫----⌫-⌫|
etl oigesgalesches dreciees .	-|-⌫----|--------|--------⌫|
Liuaslezuers le trefala	-|-----|---|-|---|--|
etdistainzq ue iluenist la	-|---|---|-⌫-|-|-----|-|
D ex c iuoi geuostremeison.	-⌫-|-⌫|--|-|-----|------|
Or fero ie iemespr is o n	-|----⌫-|-|-----⌫--⌫-⌫|
seaorer neuosaloie.	-|----|-|--|-----|
uoirdistm a m ere	---|---|-⌫|-⌫--|
(363d .657)	-----⌫----|
qui me dist quemeisons	--|-|---|--|------|
la plusbelec hose qui soit	-|---|---|-⌫---|--|---|
et me d istqueia netrouass e	-|-|-⌫--|--|-|-|-------⌫|
mo stier qu aorerni tornasse	--⌫----|-|----|||-------|
leCriator ancuiie	-|------|-|--|-|
Ielira ipro i er parm a foi	-||---⌫|---⌫-⌫-|--|-⌫|--|
quil medointancuiamangier	-|-|-|----|----||------|
anauroie grant mestier.	-|-----|----|-------|
Lorsuientau tr ef seltrueue oue rt	---|----|-|--⌫-|--|-----|---⌫-|
tref. i. litcouert	-----⌫-|--|-----|
duneco s tede	|--|--⌫-⌫-|-|
paisle et uoit	-----|-|---|
ellittotesole gisoit	-|--|---|---|-----|
unedam eiseleandormie	--|---⌫-----|-------|
toteseules anzconpaigni e	---|----|-⌫--|---------⌫|
aleese r e nt s espuceles	----|-⌫-⌫-⌫-|-⌫-|------|
porcoillirfloretes n ou eles	--|------|-------|-⌫--⌫---|
trefionchi er uoloient	---|------⌫-|-------|
e nsicon fere le	-⌫--|--|---|-|
soloien t.	-------⌫-|
Qantliuaslez	---|-|-----|
el tref a ntra	-|---|-⌫---|
sescheuax siforts	--|-----|-|---||
que ladameiselel oï	--|-|--------||--|
s isesueil laet tressaill i.	-⌫||------⌫-|-|---------⌫-|
Et li uas le zqu inicesfu	-|-|---⌫--⌫|--⌫|----|-|
dist Pucele	---|-----|
ieuos s alu	-|--|-⌫--|
siconma mere	-|--|-|---|
l emapri st.	-⌫||----⌫--|
Mameremanseignae t	-|---||-------|-⌫|
que lespuceles	--|--|------|
anquelque leuquelestrou asse.	-|------|--|--|--|----⌫----|
de peortr anble	-|---|--⌫----|
porleuaslet quifolli	--|-|-----|--|--|-|
tientporfole prouee	----|--|---|-----|
decequ il la s oletro uee.	-|-|-|-|||-⌫--|---⌫---|
ua slez fetel etie ntauo ie.	--⌫---|--|--⌫|---⌫|-|--⌫--|
Fuiquemesa m is ne	--|--|--|-⌫-⌫-|-|
—Ei nzuosbeiserai	|--⌫-|--|-------|
parmonchief	--|--|----|
fetliu aslezcuiquilsoit	--|-|-⌫----|--|-|-|---|
quemamerele manseigna.	--|-|---|-||--------|
—I euoirnete	|-⌫|---|-|-|
beiseréia	-------|-|
pucelequ eiepu iss e.	-----|--⌫|-|--⌫---⌫-|
Fui q ue mesamisnete	--|-⌫-|--|---|-|-|
Li uaslezau oitle sbraz	-|-----|--⌫--|--⌫|---|
sil anbracemoutni cemant	-||------|---|--⌫-----|
carilnelsotfereautrema nt	--|-|--|--|---|-------⌫-|
(363e.701)	---------|
mistla soz lui totees tandue	---|-|--|--|---|--⌫-----|
et celesestmout	-|---||--|---|
d esfandu e	-⌫-------⌫|
etdeganc hi quanqu elepot	-|------⌫-|-----|--|--|
mesdesfan sse	--|------⌫--|
mestier n iot	------|||-|
uasle z an.i.randon	-----⌫|----|-----|
labe isauolsistel e	-|--⌫--|------|--⌫|
.xx . f o izsicon licontesdi t	---⌫|-⌫-⌫-|-|--|-|-----|--⌫|
ta nt cunanelanson	--⌫-||-|---|-|--|
a une esm eraude	|--|---⌫-----|
mo utclere.	--⌫-|-----|
quanuostre doilanel preïsse	-|-|-----|--||---|-------|
mes que pl us ri e n	--|--|--⌫-|--⌫-⌫|
neuosfeïsse.	-|--|-------|
lan el iel	|--⌫-|--|
uuel auoi r.	---|----⌫-|
anelnaur as tuia u oir	---||---⌫-|-|-|-⌫--|
fetlapuc eleb ienlesaiches	--|-|---⌫--|-⌫--|-|------|
s aforced eldoi	||----|-⌫-|--|
nelmaraiches.	--||--------|
Liu asl ezparla mainla p r ant	-|-⌫---⌫-|--|-|---|-|-⌫-⌫--|
a forceledoili estant	|----|-|--|-|-----|
s ialanelanson doi pris	-⌫|||---|-|--|--|---|
suendoi m eïsmes	---|--|-⌫------|
etditPucelebienaiez	-|--|-----|---|---|
Orman ir a i gebie npaie z	-||-|--⌫-⌫|-|---⌫|----⌫|
etmoutmei llo rb eisieruosfet	-|---|---⌫---⌫|-⌫-----|--|--|
que chanbe riereque il	--|------⌫----|--|-|
la meisonm amere	-|-----|-⌫|---|
que n auezpaslaboicheamere .	--||---|--|-|-----|-----⌫|
Celeplore etdistau u aslet	---|----|-|---|-|-⌫----|
Nanporter pasmonanel e t	|-|-----|--|--|----⌫-⌫|
seroiemalbaillie	-----|--|------|
perdroiesla u ie	--------|-|-⌫-|
tardastie lte promet.	------|--⌫|-|------|
a soncu er	|--|--⌫-|
rien nuledece	---|---|-|-|
mesdeceq ue ieüné ot	--|-|-|-⌫-|------|-|
mor oitdefa ina	---⌫--|-|--⌫-||
Unbocel trueue	-|----|-----|
plai ndeuin	----⌫|-|--|
et.i.henapdargentselonc	----|----||-----|-----|
sor.i. tro sselde	-----|---⌫---|-|
unet oaille	--|-⌫-----|
blanc heetnueue.	-----⌫-|-|-----|
Illa sozlieueetdesoztrueue	-|-|-------|-|----|-----|
.iii. bonspastezde	----|---|-----|-|
cheur elfr es	-----⌫-|--⌫-|
Nelienuiapa s cistmes	-|-|----|--⌫|---|--|
fain quif orm entlangoisse	---|--|-⌫---⌫--||-------|
.i.d espastez deua nt lui	--|-⌫-|-----|----⌫-|--|
(363f.745)	---------|
e tman iue pargr anttalant	-⌫|---⌫--|--|--⌫--|-----|
et uerseanla	-|----|-|-|
co pedar gent	--⌫-||--⌫---|
quinestoitpastroblez	--||-----|--|------|
souant et agranztr ez	-----|-||----|--⌫-|
etditPuce le c istpasté	-|--|----⌫-|-⌫--|-----|
neser ont huiparmoigasté.	-|---⌫--|--|--|--|------|
uenez m ang ierilsontmout buen.	----|-⌫---⌫--|-|---|---|----|
Asezaurachasc unsdelsuen	---|---|-----⌫--|--|---|
sianremand ra.i.antier.	-|-|------⌫----|------|
Etcel eploreandemantier	-|---⌫|----|----------|
queque cillapr ieet	-----|--|-|--⌫-|-|
q uecele.i.motnelirespont	-⌫-|------|--|-|-|------|
ladameiseleainzplor efort	-|--------|---|----⌫|---|
mo ut dureme nt	--⌫-|------⌫-|
sespoinzde t ort.	--|----|--⌫-⌫---|
Et cilmaniatant con lui plot	-|--|----|---|--|--|---|
e tbut ta ntqueasezen ot.	-⌫|--|--⌫-|--|---|-|--|
L orspr istcongiétotmaintenant	-⌫--|--⌫--|------|--|---------|
si rec ouri	-|---⌫---|
l e remenant	-⌫|-------|
etcomanda aDe uceli	-|------||--⌫|---|
cu isessa luzpoi ntnabe li.	--⌫|--|--⌫--|---⌫-||---⌫--|
Dex u os sa utfetil	--|-⌫-|--⌫-|--|-|
neuosenuitil mie	-|--|----|-|--|
d euostreanelque ieanport	-⌫|-----|---|--|-|-|---|
