formElnondelperee t	---|-|--|--|---|-⌫|
s onuentre.	-⌫-|-----||
E tporcefe tl	-⌫|--|-|--⌫||
enune demandese	-|--|------|-|
uneseruequi e stgrossedenfantest	--|----|--|-⌫-|-----||-----|--|
franchisefranchieet eleestaprézrameneeen	--------|-------|-|--|--|-----|------|-|
seruage etenfante tantconmeeleestserue	------|-|------|---|----|--|--|----|
sauoirmonseli enfez es ts er s	-----|--|-|-|----|--⌫|-⌫--⌫|
oufr an z EtMarceauspreuequeil	-|--⌫--⌫|-|-------|----|--|-|
carilsos f ist àcelui quiestel	--|-|---⌫-⌫--|-|----|--|--|-|
uentr esame rea ̀	-----⌫|-|--⌫-|-⌫|
cequeil naissefranz que	-|--|-|-----|----|--|
sameref ufranc hee n aucu nte n z tantque	-|---|-⌫|-----⌫-|-⌫|----⌫|--⌫-⌫|---|--|
e lele port aetse	-⌫-|-|----⌫|-|-|
cees tuoi rs.	-|--⌫|---⌫-||
nestdontnaturel ment	---|---|-------⌫---|
fr anzcenelinuistrienzquesamerefu	--⌫--|-|-|-|----|----|--|-|---|-|
puisfu francecaril aesté	---|-|-----|--|-||----|
so uent establ iqu eli fran chiseme nz	--⌫---|------⌫|--⌫|-|----⌫-------⌫-|
merene nuist po i nt	---|-|----|--⌫-⌫-|
à lanaturelfran ch is e au fil	-|-|------|----⌫--⌫--⌫|-|--|
Cisttit resestde cels	---|---⌫--|--|-|---|
quio nt e sté fr anchi.	--|-⌫-|-⌫---|--⌫----||
Cilsuntfranchide dro iturel seruagesuntramen éà franc hise	--|---|------|-|---⌫-----|------|---|-----⌫-|-|-----⌫---|
car franchisemen zestdon sdefranchise.	--|------------⌫|--|---⌫|-|--------||
T antco nme	-⌫--|--⌫--|
aucunsest en s er uage iles tsozm isà	-----|--|-|-⌫--⌫---|-|--⌫|----⌫-|-|
a ̀ lapo e sté dautru i et	-⌫|-|--⌫-⌫---||-----⌫|-|
quantilestfranchisilestd el iu re ́s dautrui main	----|-|--|-------|-|--|-⌫--⌫--⌫--⌫-||-----|---|
et dautrui	-||-----|
po estéetcest e chose uintd eldroit	--⌫----|-|----⌫|----|---|-⌫-|----|
Carporce quetuit li ho me	--|--|-|--|---|-|--⌫-|
naissoientfrancparl edr oitnatu rel	---------|----|--|-⌫|--⌫--|----⌫--|
len nesauoit	|-|-|-----|
riendefranchisementdésque	---|-|------------|---|--|
ilnesto itpointdese ruages	-||----⌫-|----|-|--⌫-----|
Mes puisque seruagez uinta ua nt	--|---|--|-------|---|-⌫--⌫-|
par ledroit asgenz lib e ne fissesde fra nchisement ui nt	--|-|----|-|---|-|-⌫-⌫--⌫-----|-|---⌫---------|--⌫-|
Etia soit cequetuit home f uissent apelé	-|-|---|-|--|---|---|-⌫------|-----|
premierementfra ncpar .i.	-----------|---⌫-|--|--|
non troizmenie rez	--|----|-----⌫--|
d o mez conme nc ierentàestrep arledroit asgenz	|-⌫--|-----⌫--⌫-----|-|----|-⌫-|-|----|-|---|
cesuntlifran ce tliserfet cilqui	-|---|-|----⌫|-⌫|-|---|-|--|--|
su ntfranchiquiontlessiéàest reserf.	--⌫-|------|--|--|------|-|---⌫-|---||
Franchise mensest	---------⌫---|--|
dont faizem	---|---|-|
p lusorsmani e res	-⌫-----|----⌫-⌫--|
s untfranchiparles	-⌫--|------|--|--|
sai nz e stablisemensdedenz lessain te seglyses ou	---⌫-|-⌫-----------|-----|--|----⌫--⌫|------|-|
deu an tleiugeporaucunedroite	---⌫--⌫|-|---|--|-----|-----|
causeouentreamis	----|-|----|---|
ou pa r lei tresoupar testamen t	-|--⌫|---⌫---|-|--|--------⌫|
ouparaucuneau tredareniereuolenté.	-|--|-----|--⌫--|--------|-------||
Efranch isepuet aparteniràserfen plu sorsautresmenieres	|------⌫--|---|--------|-|---|-|---⌫---|-----|-------|
qui suntestablipar les	--|---|------|--|--|
enc ienze stablis emens etpar leznoz.	---⌫---|-⌫-------⌫----|-|--|--|--||
Li serfsuelenttoz	-|---|------|--|
iorsestrefranchi	---|----|------|
par l orseign ors siq ue ilp uent estrefranchi	--|-⌫-|-----⌫--|-|-⌫-|-|-⌫---|----|------|
ent repazc ee st	-|-⌫----|-⌫|-⌫-|
quantlisir ez uad unle ua	----|-|---⌫-|-||-|--⌫||
autresiconme quant li pr euost	----|-|----|----|-|--⌫----|
u is conteoulii u ge seuont bain gnierou	-⌫--⌫----|-|-|-⌫-⌫-|-|---|----⌫----|-|
qu antiluontautheatre por	--⌫--|-|---|-|------|--|
regarder les geuz	-------|--|---|
Li estasà celzquies to ie nt franchi	-|----|-|---|--|--⌫--⌫--⌫-|------|
soloitestrepartisen .iii.	-----|----|-----|-|----|
partiezcarcilquiestoi entfranc higaegnoientaucune	------|--|--|--|-----⌫--|-----⌫-|---------|-----|
foisl agreignor franchise et lap luzdr oi tu r eletest oient	---|-⌫|-------|--------|-|-|-⌫--|--⌫--⌫--⌫-⌫-|-|---⌫----|
f etdr oitement francetli autreau oient menor	-⌫-|--⌫-------|----|-|-|----|--⌫----|----|
fr a nchiseetes toientap elélat inqui estoientfra ncen	--⌫-⌫-----|-|--⌫-----|--⌫---|---⌫-|--|-------|---⌫-|-|
leuruiee t à la mortreue noie nten	---|--|-⌫|-|-|---|----⌫----⌫-|-|
seruage liautreauoientencor menorfranchise	------|-|----|------|----|----|--------|
quiestoient serftout el orui e et	--|-------|---|----⌫|-⌫-|--⌫|-|
àlamort est o ientfranc	-|-|---|---⌫-⌫---|----|
Et i ceste darenierecondi ctionz e stremeseet	-|-⌫----|--------|-----⌫-----|-⌫-|-----|-|
desac ost umeeparm oltlonc	-----⌫---⌫---|--|-⌫--|---|
tanzetlinonsdes	---|-|-|---|--|
latin sn est	-----⌫||--|
pasmoltus éze t	--|---|--⌫--|-⌫|
por c euue tnostrepitiésa croistre	--|-⌫|---⌫|-----|------|-⌫-------|
touteschoses e t ramener lesàmillorestat et	-----|-----|-⌫|------|--|-|-----|----|-|
amendac epar	-----|-⌫|--|
teu z establisemenset	---⌫|------------|-|
leramenae nlancienestat.	-|-----|-⌫||-----|----||
Quarde ́sconme ncem en s	---|--⌫-|-----⌫----⌫--⌫|
del acitédeRom e apartenoitfranchiseuneetsimple	-|-⌫|----|-|---⌫|---------|--------|--|-|-----|
ceestcele me es mesqueli franchiserres auoit	-|--|---|--⌫--⌫--|--|-|------------|----|
fors quecil	---|--|--|
quiest fra nchisn	--|--|---⌫----||
es t pas nature lmentfr anz.	--⌫|--|------⌫----|--⌫--||
misarri ere	--|----⌫--|
lamenierede franc hisequi ne	-|------|-|-----⌫---|--|-|
uientde uantàla mortparnostre	----|--⌫---|-|-|---|--|-----|
e stablisementq uenozfeimesen trenozdecisition	-⌫-----------|-⌫-|--|-----|--⌫--|--|---------|
decision sparcoin oz apaisanme sleses trisdelauer	--------⌫|--|--|-⌫-|---------⌫|--|--⌫---|-|----|
en l anc i endroit	-||---⌫-⌫-|----|
amoneste mentdeTr ibunian haumehauthommequesta in questeurde	--------⌫---|-|--⌫------|----|---|----|------⌫-|-------|-|
nostre sai nt paléz et noz amendanmesparl	-----|---⌫-|-----|-|--|---------|--||
amonest ementàcel	-------⌫----|-|--|
meismez questeuren.i.	------|-------|-|--|
autreestablissem ent	----|-----------⌫--|
entre lesemperials	----|--|--------|
e st ab lisemenztoute	-⌫--⌫--⌫-------|----|
lamanie red elafranchi sea ̀cels qu is unt apelé	-|-----⌫-|-⌫|-|-------⌫-|-⌫|---|--⌫|-⌫--|-----|
Etnozotroianmesq uetuitci lqui on t	-|--|---------|-⌫-|---|--⌫|--|--⌫|
e s te ́franchiaiente n terrine franchises a nzfair enul edeuise	-⌫-⌫--⌫|------|----|-⌫-⌫------|--------|-⌫-⌫-|----⌫|---⌫|-----|
de l eageàcelui quiestfranch is nede	-||---|-|----|--|--|------⌫-|-|-|
ce luiquilefranchist ne	--⌫--|--|-|--------|-|
delamanie re	-|-|-----⌫-|
de franchisement si	-|------------|-|
co n melensoloitfaireçaen arriere	--⌫-⌫-||-|-----|----|--|-|------|
etsi iaio stanmesplusorsmenierespar	-|-||---⌫------|------|-------|--|
coifranchise	--|--------|
puiseestredo n eeàserf.	----|----|--⌫-⌫-|-|---||
Ci s ttitresestquenusnefra nchi se sessers	--⌫-⌫|-----|--|--|--|-|---⌫----⌫-|--|---|
po r greue r	--⌫|-----⌫|
sesc reanciers .	--|-⌫--------||
Nep orq uantil n el istpasàchascun quiuuet	-|-⌫---⌫---|-|-⌫|-⌫--|--|-|------|--|---|
franchir serfqueille	-------|---|--|-|-|
franchi se carcilquifranchistserfpor greu er sez	-------⌫-|--|--|--|--------|---|--|----⌫-|--|
crean ciersetp ortolir	-----⌫----|-|-⌫-|----|
la lordeitene	-|--|----|-|
fetrien car	--|---|--|
laloizen peesche te lfra nchise .	-|---|--⌫------|--⌫|---⌫-----||
seignorqui n a de	------|--|||-|
coi pa ier ce qu il doit	--|--⌫--|-|-|-|---|
que ilfac e ens o ntestamen tde	--|-|---⌫|-|-⌫-⌫|--------⌫|-|
sonserfsono ir	--|---|--|-⌫-|
et lidointfranchisesi	-|-|----|--------|-|
quelisers soitfranzet	--|-|---|---|----|-|
soit oirsseuset	---|---|---|-|
necessai res senus a ut resn estoirs	--------⌫--|-|--|-⌫--⌫--||--|---|
testam entou senusn estescrisàestreoirs	------⌫--|-|-|--||--|-----|-|----|---|
ouse cilqui estescrisn estpas	-|-|--|--|--|-----||--|--|
o irs p oraucunecause	-⌫--|-⌫-|-----|----|
Etc ea est épar droit porue u en lal oi	-|-⌫||---⌫-|--|----|-----⌫|-|-|-⌫-|
se deueroitd e uoit	-|-------|-⌫-⌫---|
moltbienpr endre gar d e quelipoure homeà	---|---|--⌫----|---⌫-⌫|--|-|----|---|-|
quinusneuoloitestreoirsfeissentd	--|--|-|-----|----|---|-------||
un delorsersloroirsnecessairequi	-|-|--|---|--|---|---------|-||
feis tsati factionas creanciersouseilne le	----⌫|----⌫------|-|---------|-|-|-|-|-|
faisoitl icre anciersu endissentelnon	------|-⌫|---⌫------|-⌫--------|-|--|
dels erf leschos ez deler itageque tors	--|-⌫--|--|----⌫-|-||--⌫----|--|---|
nesoit fezau	-|---|--|-|
Etcemeesmesestdrois	-|-|------|--|----|
seli s ersestfez oirs	-|-|-⌫--|--|--|---|
sanzfranch ise.	---|------⌫--||
N ostre establis semensco nmandecen e stm ieta nt	-⌫----|--------⌫-----|--⌫-----|-||-⌫-|-⌫-|--⌫-|
so lem ent elseignorqui nade coi	--⌫---⌫--|-|------|--|||-|--|
paierses detez	----|--|----|
mes generalmentpar noueleraiso n dumanitési que i l	--|----------|--|-----|-----⌫||-------|-|--|-⌫|
apere que franchiseliap arteigneparlescriture	----|--|--------|-|--⌫-------|--||--------|
ap ertpa zque li	--⌫--|--⌫|--|-|
uoucistquecilqueileslut	------|--|--|--|-|----|
à estresonoirremainsis t sers	-|----|--|--|---------⌫|---|
porcequeile ntr e laisaàd oner	----|--|-|-⌫---⌫-⌫----|-|-⌫---|
lafr anchiseet que n uznefust sez	-|--⌫------|-|--|-⌫-|-|---|--|
Il apertq ue ci lfranchi sesonserf	-|----|-⌫-|--⌫|-------⌫-|--|---|
p or g reuersescreancie rsna de coip aier	-⌫-|-⌫----|--|--------⌫-|||-|--|-⌫---|
detez eltenzque illefranchis t	----|-|---|--|-|-|--------⌫|
ousetbienqueil naura	-|--|---|--|-||---|
de coi paier quantilau ra donné les	-|--|----|----|-|--⌫-|-----|--|
fran chisses.	----⌫------||
N eporquant il	-⌫|-------|-|
a pe rtmielzqueilsoituerite ́s	-⌫--⌫-|----|--|-|---|------⌫-|
quelafranchise nestpasem paiechie	--|-|--------||--|--|--⌫-------|
se cil quifranch istle s	-|--|--|------⌫--|--⌫|
acorage degreuerses	|-----|-|-----|--|
cr eancie rs iasoitc eq ue ce que ila	--⌫------⌫-|-|---|-⌫|-⌫-|-|--|-||
nesosf ise bie nascreancierscaril auientsouentque	-|----⌫--|---⌫|-|---------|--|-|-----|-----|--|
lihomequidentauo ir pl us que ilnont	-|---|------|---⌫-|--⌫-|--|-||--|
Noz en tendo nsdonsquel a	--|--⌫-----⌫-|---|--|-⌫|
franchisee st lorsempaiechiequant li	--------|-⌫-|---|---------|----|-|
creanci ersuntgr euéen	-------⌫-|---|--⌫---|-|
lunemanier eetenlautre cee stqu ant	|--|------⌫|-|-||----|-|-⌫-|--⌫--|
cilq u i fran chistsezsers	--|-⌫-⌫|----⌫----|--|---|
lefetparant ation antancion ant ant ionde	-|--|--|---⌫----|--------|---⌫---⌫--|-|
greu er se screanciers e tceque ila	----⌫-|--⌫|---------|-⌫|-|--|-||
ne puetpaz sosfir e à	-|---|--|------⌫|-|
pai er sesd e tez.	---⌫-|--|-⌫-⌫--||
Iln estp as otr oiéen	-||--|-⌫-|---⌫---|-|
seignorquia mainsde.xx.	------|--||----|-|---|
anzse droite	--|-|-----|
ca usedefra nchir l en	--⌫--|-|---⌫----||-|
p rouee pa r deuantleiuge.	-⌫----|--⌫|-----|-|---||
L ez droi tes causes	-⌫-|----⌫--|-----|
d efranchiseme nt suntce s t essi c onme se aucuns	-⌫|-----------⌫-|---|--⌫-⌫-⌫-|-|-⌫---|-|-----|
fran chi sonpere ou	----⌫--|--|---|-|
sam ere ouso n fil	-|-⌫--|-|--⌫|--|
ousafille ou	-|-|----|-|
ou s asuernaturelet	-|-⌫|---|------|-|
t outescesmani eres defranch isement	-⌫----|--|----⌫---|-|------⌫------|
puent auenirquan tli sirez fetsonoir	----|-----|----⌫|-|----|--|--|--|
def ilàson serfcarlo rsest li	-|-⌫-|-|--|---|--|--⌫-|--|-|
au filouqua ntaucun enfa nt de	-|--|-|---⌫-|----|----⌫-|-|
s aseruec a r lorsest l i	-⌫|----|-⌫-⌫|---|--|-⌫|
fi lzs ers	--⌫-|-⌫--|
Encoriailautr es d roi t e scaus esdefranch isementsi	----|||-|----⌫-|-⌫---⌫-⌫-⌫|----⌫-|-|------⌫------|-|
conm eseaucunsfranchistson	----⌫|-|-----|--------|--|
m est reousa	-⌫---⌫-|-|-|
norriceouceluiquilanorri	------|-|----|--|||----|
oucelui queil anorriou	-|----|--|-||----|-|
celidecuilaitil	---|-|--|---|-|
ae stéalaitié zou.i.	|-⌫---|--------⌫|-|--|
de ses sers porfaire	-|--|---|--|----|
en sonprocur ateurouunede	-|--|------⌫----|-|--|-|
ses serues porprendre	--|-----|--|------|
laà f ame port a nt queilla	-|-|-⌫--|--|-⌫-⌫-|--|-|-|
pr eigneà famede dens .ui.	--⌫----|-|---|--⌫---|---|
mo izsedroitecau sene	--⌫-|-|-----|---⌫-|-|
lenp eeche et secilquiestfr a nchis	|---⌫----|-|-|--|--|--|--⌫-⌫----|
porestreprocurateurn	--|----|----------||
amai nz de	|---⌫-|-|
anzquantile stfranchis.	--|----|-|-⌫-|-------||
Etpuiz quela cau sede l	-|---|--|-|---⌫-|--⌫|
franchisement estunefoi sproue e	------------|--|--|---⌫|-----⌫|
ele nesoitpasrapeleequeleso itouue raieou	--|-|---|--|------|----|--⌫-|-|--⌫---|-|
Etpo rce qu ecertainemaniereestoit	-|--⌫|-|--⌫|-------|------|-----|
es tabliedefra nchira s	--⌫-----|-|---⌫----|-⌫|
seignorsqui ont mai nzde.x xu.	-------|--|--|---⌫-|-|--⌫--|
anzilauenoitqueci lquiauoitaconp l i	--|-|------|--|--⌫|--|----|-----⌫-⌫|
.x x iiii .	--⌫-⌫----⌫|
an zdeagepouoitfa iretestamente testab liro iret	--⌫||---|-----|--⌫--|--------|-⌫|-----⌫--|-⌫-|-|
fair elezetnon	----⌫|--|-|--|
p orqu ant se ila uoit mainsde.xx .	-⌫----⌫--|-|-|-⌫---|----|-|---⌫|
anzil nepooit	--|-|-|----|
p asdonerfran chisea ̀ sonserf .	-⌫-|----|----⌫----|-⌫|--|---||
Mescenedeuoitpasestre sosfert que	--|-|-|-----|--|----|------|--|
c ilà qui	-⌫-|-|--|
liordenementde tozsez biensestoientotroie ́n epeust	-|---------|-|--|--|----|-------|------⌫|-⌫|----|
pasen son testamentd oner	--|-|--|--------|-⌫---|
franc hiseà.i.	-----⌫---|-|--|
de s es sers.	-|-⌫-|---||
Etporcenoz lor	-|--|-|--|--|
otroio nsqueil o rdonent enlo rdarrai nniereuol enté lor	------⌫-|--|-|-⌫------|-|--⌫|------⌫-----|---⌫----|--|
ser sa utressiconmelorautresch osez et queillor	---⌫|-⌫------|----|--|-----|--⌫---|-|--|-|--|
p uisse nt doner	-⌫-----⌫-|----|
fran chise.	----⌫----||
M aispor ce	-⌫--|--|-|
que franchise es t	--|--------|--⌫|
unechosequine	--|----|--|-|
puet estreprisieetporcequ el ianciendes fandoient que	---|----|-----|-|----|--⌫|-⌫|-----|---⌫--------|--|
nuznepeustdonerfranch iseà sonserfseil	--|-|----|----|------⌫--|-|--|---|-|-|
n eust ac onpli.xx.	|---|--⌫----|---|
e slisonz noz	-⌫------|--|
loruoie e nune manie reet notroionzpas	--|---|-⌫|--|-----⌫-|-||-------|--|
quia mainsd e .x x.	--||----|-⌫|--⌫-|
anzqueil dointe n son testamentfranchise	--|--|-|----|-⌫|--|--------|--------|
à sonserf	-|--|---|
seilna aconpli.xuii.	-|-|||------|-----|
ansetil n es tentrés el	--|-|-||--⌫|------|-|
disuitime.	--------||
Etdésq ueli	-|---|-⌫-|-|
ancie n o troi entà	-----⌫|-⌫----⌫--|-|
celzquiestoie ntente leagequ e	---|--|------⌫-|-|--⌫|---|--⌫|
il proposasse n ta utr uicauseen iugem ent noz n eueonz pas	-|----------⌫-⌫|-⌫---⌫-|----|-|-----⌫--|--|-⌫|----|--|
por coilestablece de	--|--||--------|-|
lor iugementnelordoieaidi ertantq ueilpuissent	--|-------|-|--|---|----⌫-|---|-⌫-|-|-------|
ueniràd onerfran chisea ̀lors ers.	----|-|-⌫---|----⌫----|-⌫|--|-⌫--||
Cisttitres est defr anchirs e rs	---|-----|--|-|--⌫-----|-⌫-⌫-|
entestam ent.	-|------⌫--||
Certa ine mesuredef ranchirserfent e stament fu	-----⌫--|-----|-|-⌫------|---|-|-⌫-⌫------|-|
establien laloique .i.	------|-|-|--|--|--|
qui auoitnon	--|----|--|
E t esto it	-⌫|----⌫-|
ainsi sapelézà la samblancedo u	-----⌫|------|-|-|--------|--⌫|
chien qui s e	----|--|-⌫|
gistenlapaille s ine	---|-|-|-----|-⌫|-|
puetmen gierneilneuuetsosfri r quelesuaches	---|---⌫---|-|-|-|---|------⌫|--|--|-----|
enmanius sent quiuolentiersen	-|------⌫---|--|---------|-|
mani assent.	----⌫-----||
Carautressi estoitil	--|-------|-----|-|
de celeloiqui	-|---|--|--|
nesos froit pasq ueli	-|---⌫----|--|-⌫-|-|
siresquinepo oit retenir sez sers apr ezsa	----|--|-|--⌫--|------|--|---|---⌫-|-|
mor t lordonastfranchiseàtoz	---⌫|--|-----|--------|-|--|
E tnoziuionz quecellelois	-⌫|--|-----|--|----|---|
tota batue po rce qu eeleenpeesche	--|-⌫----|--⌫|-|--⌫|--|--------|
les fr anchise s	--|--⌫-------⌫|
etest enuieuse carce	-|--|-------|--|-|
estoitchose	-----|----|
ass ez c ontraire àhum anitéque li	---⌫-|-⌫-------|-|---⌫-----|--|-|
uifneu ssentp ooir defranc hirtote lor	--||--⌫----|-⌫---|-|-----⌫--|---|--|
maisniese aucunedr oitechausecausen empee chastla	------|-|-----|--⌫---|-----|----||-----⌫----|-|
franchise etcilpooirsfust tolu zà celz qui	--------|-|--|-----|---|----⌫|-|---|--|
seiugierentmue re nt.	-|--------|---⌫--⌫-||
Ciuientu ne autre diuisions	-|----|-⌫-|----|--------|
de ladroitureaspersones .	-|-|-------|-|-------||
Aprésu ient uneau tre	-----|-⌫---|--|--⌫--|
