#META# Text URI Cliges	-----|----⌫--|-----|
#META#DEAFno data	-----|---|--⌫---|
#ME TA # TL	---⌫--⌫|-|
#ME TA#FEW	---⌫--|--|
#META#A RLIMAhttps/ /www .arlima.net/ad/ chretien_de_troyes.html#cli	-----|-⌫----|------⌫----⌫---------------⌫--------------------------|
#META# Autho rC h rétiend eTroyes	-----|-----⌫|-⌫-⌫------|-⌫|-----|
#META #Autho rBorn	-----⌫|-----⌫----|
#M ETA#AuthorBornAmb	--⌫---|------------|
#MET A#Aut horDied	----⌫-|---⌫------|
#META#Autho rD iedA mb	-----|-----⌫--⌫----⌫-|
#MET A#A uthorFl1	----⌫-|-⌫-------|
#ME T A#AuthorFl2	---⌫-⌫-|--------|
#META #Tex tTitleCli gès	-----⌫|---⌫-----|---⌫---|
#META# TextSub t itle	-----|-------⌫-⌫---|
#M ETA# Textuo ls	--⌫---|------⌫-|
#META#TextSub iromance	-----|-------⌫|------|
#META#TextDom	-----|------|
#META#Translation	-----|----------|
#M ETA#Collection	--⌫---|---------|
#META#Collect i onNo	-----|-------⌫-⌫---|
# ME TA#TextDescA RL uer soctosyllabiquesa ̀	-⌫--⌫--|---------⌫-|---⌫|--------------|-⌫|
Moutuuelq uel	---|---|-⌫-||
enuosie nort	-|--||-⌫---|
Comfrancuaslet etsage etdolz.	--|----|-----|-|---|-|----|
Trop auezesté age nol z	---|---|----||--⌫---⌫|
Rele uezsusieluoscomant	----⌫--|--|--|--|-----|
Etsoi ezdes ore	-|---⌫-|--|--|
Dema cort etdemespriue z	-|-|---|-|-|--|-----⌫|
portestesariuez.	---|----|------|
Atantselie ue ntli Gr ezois	----|-|---⌫--⌫-|-|--⌫----|
Liéson tquantsi	---|---⌫|----|-|
lesalirois	--||-|---|
Deboneiremant retenuz.	------------|-------|
Bi enes tAlixa ndresuenuz	--⌫-|--⌫|-----⌫----|----|
uuelle ne faut	-----|-|---|
Nanlacor t nabaronsihaut	|-|-|---⌫|||----|-|---|
Quibeln el apialtetacuelle.	--|--|-⌫||-----|-|-------|
Etcilq u ipasnes anorguelle	-|--|-⌫-⌫|--|-||-|-------|
N eplus n a n estnobles ne	-⌫|---||-⌫|--|-----|-|
Amonseign orGauuainsacointe	|--------⌫-|------||------|
Et asautresparunet	-|-|-----|--|-|-|
Moutsefet amera chascun	---|-|--|---||------|
Nesmessire Gauuainstan tl aimme	--|------|-------|---⌫||----|
Q uami etconpaignonleclai mme .	-⌫|--|-|---------|-|----⌫---⌫|
uilec hiés.i.borioi s	---|-⌫----|--|------⌫|
Orentpriso ste l	----|---|-⌫---⌫|
li Grez ois	-|----⌫--|
Lemeillorqu ilporen tauoir.	-|------|-|-|-----⌫|-----|
Alixandresot gr antauoir	---------|-|--⌫--|----|
D e Costantinobl eaporte ́	-⌫|------------⌫|------⌫|
Ace queliotcomandé	|-|--|-|-|-------|
Li emperereet	-|-------|-|
conseillié	----------|
Quesoncuereüs t	--|--|---|----⌫|
esue illié	----⌫-----|
Abien doneret a	|---|----|-||
uold rasortoteri en ant endre.	----⌫-|--|---|--⌫-|---⌫-----|
Moutiantant etmet gr ant	---||-----|-|--|--⌫--|
Beleuieason ostel mainne	---|--||--|----|-----|
Etlargemantdon eet	-|--------|---⌫|-|
Sicoma sarichesce	-|--||-|-------|
Etsi consescuersl en	-|-|--|--|----||-|
consoille.	---------|
Trestotela cor zs	-------|-|---⌫||
anmeruoille	-|--------|
O ucequeil	-⌫|-|--|-|
despant est	------|--|
Quildonea tozcheuaxde	-|-|---||--|-----|-|
Quede sat erre otame ne z .	--|-|-|-⌫---|-|---⌫--⌫-⌫|
Tants estAl ix andrespenez	---||--|--⌫--⌫-----|----|
E ttan tfet parsonbel seruise	-⌫|---⌫|--|--|--|--|------|
Que moutl aimmeli	--|---||----|-|
roiset pr ise	---|-|--⌫--|
Etli b aro netla reïne.	-|-|-⌫---⌫|-|-|------|
Li roisAr tusan	-|---|--⌫--|-|
cel termine	--|------|
uostan Bretaig ne pass er.	---|-|-------⌫-|----⌫--|
Toz s esbarons fist	--|-⌫-|-----|---|
Po r consoilquerreetdemand er	--⌫|------|-----|-|------⌫-|
Acuiilp orr acomander	|--|-|-⌫---⌫|-------|
Ei ngleterret antquil reuein gne	--⌫--------|-⌫--|-|-|------⌫--|
Qu ianpes lag art et mainteingne .	--⌫|-|--|-|-⌫--|-|-----------⌫|
Parle conso ildetozan sanble	--|-|-----⌫-|-|--|--⌫-----|
Fucomand eece me sanble	-|------⌫-|-|-|-----|
A u conte Angrésde	-⌫|----|------|-|
Guinesores	---------|
Cari l necu idoient ancores	--|-⌫|-|--⌫------|------|
Quil eüstbaron plus defoi	-|-|----|----|---|-|--|
An tot elaterrele	-|---⌫|-|----|-|
Qantcil tintlaterrean sa main	---|--|---|-|----|-|-|---|
Liroi sArtusmut	-|---⌫|----|--|
La reïn eetses	-|-----⌫|-|--|
da meiseles .	--⌫--------⌫|
An Bretaign eoent l esnoueles	-|--------⌫|---|-⌫-|------|
Queliroisuientetsibaron	--|-|---|----|-|-|----|
Mout f on tgrantioie liBr eton .	---|-⌫--⌫|----|---|-|--⌫----⌫|
Enlane f ou	-|-|--⌫|-|
lirois passa	-|---|----|
uasletnepucelen	-----|-|-----||
Fors Alixandreseuleman t	---|--------|--------⌫|
Et lareïne	-|-|-----|
uoirema nt	-------⌫-|
Iamen aSoredamo rs	|----⌫|--------⌫-|
Q uidesda igneu seesto itdamors	-⌫-|-----⌫-----⌫-|----⌫-||----|
auoitoïparler	----|--|-----|
D omequele	|--|-|--|
deignastamer	-------|---|
Tante u ̈st bi auté neproesce	---|-⌫-⌫--|--⌫----|-|------|
Ne seignorienehautesce.	-|--------|-|--------|
Etneporq u antl a damei sele	-|------⌫-⌫--|-⌫|-----⌫---|
Estoitta nt auenanzetbele	-----|--⌫-|------|-|---|
deu ̈stdamorsaprandre	---⌫--||----|-------|
p le üstace	-⌫--⌫---||-|
Mesonquesn	--|-----||
iuol t met re antante.	|---⌫|---⌫-|-------|
OrlaferaAmors	-|-|---|----|
Et moutsecuidebienuangier	-|---|-|----|---|------|
Del grant org uel	--|----|---⌫--|
etdeld a ngier	-|--|-⌫-⌫----|
Quelelia t oziorz	-|--|-||-⌫-|---|
aAmors dro itassen e e	|----|---⌫-|-----⌫-⌫|
Elcuerlade son dartferue.	-|---|||-|--|---|-----|
Souantpali stsouant tressue	-----|----⌫-|-----|------|
Etmaugrésuenamerlestuet.	-|------|---|---||------|
Agrantpoinnetenir	|----|-----|----|
Queu ersAlix andrenesg ar t	--|-⌫--|----⌫----||---⌫--⌫|
Moutli estuetquelesegart	---|-|-----|-|--|-|---|
DemonseignorGauuainsonfre re .	-|---------|------|--|---⌫--⌫|
Chieremanta ch atee t	---------|-⌫--⌫--|-⌫|
S ongrantorgueletsondesdaing.	-⌫-|----|-----|-|--|--------|
Amorsliachaufé	----|-||------|
Quimoutleschaufeetmout linuist.	--|---||-------|-|---|-|-----|
O rl iest boenetor linu ist	-⌫|-⌫|--|---|-|-|-|--⌫--|
Orleuia l tet or	-|-|---⌫-⌫|-|-|
Sesia lzdetr aïso ne ncuse	--|--⌫-|-|--⌫-----⌫|-⌫----|
Et d it Oeluos maueztraïe	-|-⌫-|--|--||---|-----|
P aruosmamescuersan ha ïe	-⌫-|--|||--|----|--⌫--⌫--|
Quimesoloitest r edefoi.	--|-|-----|---⌫-⌫|-|---|
Ormegrieuece que ie	-|-|-----|-|--|-|
GrieueNelfet	-----|--|--|
ençois mes iet	------|-|-⌫--|
Et segeuoir ienqui me gri et	-|-|-|--|-⌫--|--|-|---⌫-|
Don naigemesialz	--||-|-|--|---|
Bienmeseroitforcefaillie	---|-|-----|----|------|
Etpomedeuroieprisier	-|-|-|------|------|
Senespooie	-|--|----|
Et feireautrepartesgarde r.	-|----|----|---|-------⌫-|
Einsi me por ra ibieng arder	----|-|---⌫--⌫|---|-⌫----|
D Amorquiius tisi erme ui alt	|---|--|---⌫----⌫-|-|--⌫--|
Carc uiialzn euoitcue rsne di alt	--|-⌫-|---|-⌫|---|---⌫-|-|--⌫--|
uoirie n nemaniert.	--|---⌫|-||-|----|
p rie ilne re quie rt	-⌫--|-|-|--⌫----⌫-|
Ameraileges ilnemaimme	-----|-|-||-|-||----|
Sesab iaut ezmesialzr eclaimme	-|-|-⌫----⌫-|--|---|-⌫-------|
E tmio el uoien t lereclaim	-⌫|-|-⌫-|-----⌫|-|------|
porce que gel aim	--|-|--|-||--|
Nenilcar ceseroitmançonge.	----|--|-|-----|---------|
Por cen ailan moi ch alonge	--|-|||-|-|--|--⌫-----|
nemai nsnipuetclamer	-|---⌫-|||---|-----|
L an nepuetpas desialzamer.	|-|-|---|--|--|---|----|
m ontd onc	|--|-⌫--|
f orfetmio el	-⌫----|-|-⌫-|
esgardent cequ eieuoe l	--------|-|--⌫|-|---⌫|
Quexcorpes etq uel tortont il	---|-----|-|-⌫--|---|--|-|
Doil esangeblas mer Neni l.	--|-⌫-|-|-|----⌫--|----⌫-|
CuidoncMoiquilesaien	--|---|--|--|--|-|-|
Mioela nule rien n	-|--||---|---||
S a uc uerneplest	|-⌫|-⌫--|-|----|
etatalante.	-|--------|
Choseq ui mefei ̈st	----|-⌫-|-|---⌫--|
Nedeü st me s c uerspasuol oir.	-|----⌫-|--⌫|-⌫---|--|---⌫---|
Sauolente zmefet	-|-------⌫|-|--|
DoloirP ar foidon csuiie	-----|-⌫-|--|---⌫|--|-|
Qan t parlui uoelcequi	---⌫|--|--|---|-|--|
uola ntezdonmeu aignee nuis	----⌫---|--|-|-⌫----|-⌫---|
bienoste rseiepuis.	---|----⌫|-|-|----|
Fol equ ai iedit	---⌫|-|-|-|--|
Doncporr o ieiemout	---|----⌫-⌫-|-|---|
Sedemo i p uissanc e n	-|-|--⌫|-⌫-------⌫||
Cu idem oi Amorsmetre	--⌫--|-⌫-|----|----|
Quilesautres sialt desueie r	--|--|-----|----|-------⌫|
Aut ruil i couient aueier	---⌫--|-⌫|------|-----|
Carien e su i	--|-|-⌫|--⌫|
derien a lui	-|---||--|
I aniserain	-⌫|||----||
onquesnifui	-----|||--|
N e ianame raisacointance .	-⌫|-||---⌫--||----------⌫|
Ensia soi meïsmestan ce	---||--|-------|---⌫-|
Uneoreaim mee t autrehet.	--|--|---⌫-|-⌫|----|---|
Tant se do te	---|-|--⌫-|
quele neset	-|--|-|--|
Lequelliuai lle mialzaprandre.	-|---|-|---⌫--|----||-------|
uersAmorsse	---|----|-|
cuide de sfandre	----|--⌫------|
l iamestier	-⌫||------|
des fanse.	---⌫-----|
Dexcorneset	--||-|-|--|
queu erslipanse	--|-⌫--|-|----|
A lixandresd e l autrepa r t	-⌫--------|-⌫||----|--⌫-⌫|
Amors igauman t lor	----|-------⌫|--|
Telliureisoncom	--|--------|--|
il lordoit.	-|--|----|
Moutlifetbien reisonetdroit	---|-|--|---|-----|-|----|
Ca rl i u nslautre	--⌫|-⌫|-⌫-||----|
aimmeetcouoite.	----|-|-------|
Ceste am ors est l eax	----|--⌫--|--|-⌫--|
et droit e.	-|-----⌫-|
Qu eluol an té chas cunseüst	--⌫-|---⌫--⌫--|----⌫---|----|
ce l euialt	--⌫-⌫|----|
Necel ed ecoi cilse dialt.	-|---⌫|-⌫|--|--|-|-----|
La re i ̈ne garde san prant	-|--⌫-⌫--|----||-|----|
Quil unet lautr euoi t	--||-|-||----⌫|---⌫|
Descol orer etanpalir	------⌫---|-|------|
Nesetdoncepuetauenir	-|--|--|-|---|-----|
Nen e setporc oii lle	-|-⌫|--|--|-⌫-|-⌫|-|
Forsque por la merouilsont.	---|--|--|-|--|-|-|----|
Espoirbien s anaparceüst	-----|---||-|---------|
Selamersnela	-|-|---|-|-|
Meslam ersl an gingneetdeçoit	--|-|-⌫--||--⌫-----|-|------|
Siquanlamer	-|-|-|-|--|
m e rsontetd	-⌫-⌫|---|-||
Etd a mors ui entli max	-||-⌫---|--⌫--|-|--|
questient.	---|-----|
Etdeces troisnese t	-|-|--|----|-|--⌫|
f orsquelamer	-⌫--|--|-|--|
Carli duiletierzl i ancu s ent	--|-|--|-|----|-⌫|----⌫-⌫--|
dui s escuse nt	--||------⌫-|
forfetsontantechié.	-----|---|---------|
Souantc o npe re au trui	-----|-⌫-⌫---⌫-|--⌫---|
Texqui niacorp es ne t ort.	--|--||||----⌫-|-|-⌫---|
E insilarei ̈nemoutfort	-⌫---|-|---⌫--|---|---|
Lam erancorpeetsila	-|-⌫-|------|-|-|-|
Mes a to rt l imet sus	--||--⌫-|-⌫|--|--|
le b l asme	-|-⌫-⌫---|
Car lamersniarienforfet.	--|-|---||||---|------|
Mouta Soredamorsmaltre t	---||---------|--|---⌫|
estla nesue nue.	--|-|--|--⌫---|
Del r oiestbi en	--|-⌫-|--|--⌫-|
choseseüe	----|----|
CarliBreto ngrant ioieanfirent	--|-|-----⌫|----|---|-|-----|
E tmout uolant iersl eseruirent	-⌫|---|------⌫---|-⌫|--------|
Comelorseignordroiturier.	---|--|------|----------|
DelroiArtusparlerne quier	--|--|----|-----|-|----|
Acestefo izpluslon guemant	|----|--⌫-|---|---⌫------|
E inçoismor roizdir e comant	-⌫------||--⌫---|---⌫|-----|
Amorsles.ii. amanz trauaille	----|--|---|----|--------|
uerscuiila	---|--|-||
pris ebataille .	----⌫|--------⌫|
Alixandres aimm e	---------|----⌫|
etd esirre	-|-⌫-----|
Celiporcu iamors opire	---|--|--⌫|---|-⌫----|
Mesilnesetnene	--|-|-|--|-|-|
maintmale n aur a	----|--|-⌫|---⌫|
Etma intenuipor lisoffert.	-|--⌫--|---|--|-|-------|
amorla r eï n esert	---|-|-⌫---⌫-⌫|---|
Etlespuc eles d e lacha nbre	-|--|---⌫---|-⌫|-|---⌫---|
Mescelidon plus	--|---|--|---|
li re manbre	-|--⌫-----|
Nose aparler	|--|------|
ne are snier .	-|---⌫-----⌫|
Sele osas tuers lui desre sn ier	|--|----⌫|---|--|-----⌫--⌫--|
Le droitq u e elei cuide auoir	-|----|-⌫-⌫|--||----|----|
uolanti ers lifeïst sauoi r	-------⌫--|-|-----|-----⌫|
Mes elenosene ne	--|--||--|-|-|
Et ceq ueli uns lau treuoit	-|-|-⌫-|-|--||--⌫--|---|
n a npuet direnefeire	|-⌫|---|---|-|----|
Lortorne mout	--|----|---|
agran tco ntraire	|----⌫|--⌫------|
Et l amorsacroistet alume	-||----|------|-|----|
Me s detozaman zes t	--⌫|-|--|----⌫|--⌫|
Que u ol antierspeissentlorialz	--|-⌫--⌫------|-------|--|---|
De sgardersiln epueen t	|-⌫------||-|-⌫|-----⌫|
Etcuident por	-|------|--|
cequ il l orpl est	-|-|-|-⌫-|--⌫--|
Ce dontamors acro istet nest	-|---|----|----⌫--|-|---|
Quai dier lor	-|--⌫---|--|
Totausi c oncil quisecuist	--|---|-⌫-|--|--|-|----|
Quiau feus	--|-|--||
aproc he eta coste	-----⌫-|-|-⌫----|
Estcil qu iarrieres s anost e.	--|--|--⌫|-------||-|---⌫-|
Adéscroistl	----|-----||
amorsetsimonte	----|-|-|----|
Mesli unsa de	--|-|--||-|
l au tre hon te	|--⌫--|---⌫-|
cueureetc ̧ o ilechasc uns	-----|-|-⌫-⌫-⌫--|-----⌫--|
Si qu annan p ert flamen e	-|-|-||-|-⌫--|----|-⌫|
Delcharbonqui	--|------|--|
est soz lacendre.	--|--|-|------|
Porc enestpas lachalorsmandre	--|-⌫||--|--|-|------|-----|
Einc ̧ oisdurela c halorsplus	----⌫-⌫--|---|-|-⌫-----|---|
Desozla cendrequedesus.	----|-|-----|--|-----|
Mout sonta nduiangrant en goisse	---|---|-⌫---|-|----|--⌫-----|
E tporce qu	-⌫|--|-|-|
ann ele sconoi sse	-|-⌫|--⌫|-----⌫--|
Ne lorcon plaint e naparçoiue	-|--|---⌫------⌫||---------|
Estuetchascu nqueildeçoiue	-----|------⌫|--|-|-------|
Parfaus san bl ant	--|---|---⌫--⌫--|
tot esle sgenz .	---⌫-|--⌫|----⌫|
Mes lanuite stla plainte	--|-|---|-⌫-|-|------|
Que chascunsfetalui	--|-------|--||--|
meïsmes .	--------⌫|
D Alixandreuosdi raip rimes	|--------|--|--⌫--|-⌫----|
Comantil seplaintetdemante.	-----|-|-|-----|-|-------|
A morsc elilirep re sant e	-⌫---|-⌫--|-|---⌫--⌫----⌫|
Por cuisesant	--|--|-|---|
sifortg reué	-|---|-⌫----|
Q ue deson cuer la	-⌫-|-|--|---|||
Nenel lessea n litreposer	-|--|----|-⌫|--|------|
Tant lideli te	---|-|----⌫-|
ar emanbrer	|-⌫-------|
L abiauté	-⌫|------|
et lacontenanc e	-|-|---------⌫|
Celiou n a pointdesperance	---|-|||----||--------|
Queiabien s l a n doie	--|-|----⌫||-⌫|---|
Por fol fetilmepuistenir.	--|--|--|-|-|---|-----|
Por fol uo i remantsuig efo s	--|--|--⌫-⌫-----|--|-⌫|--⌫|
Qant ceque	---|-|--|
Cartostmetorneroitapis.	--|---|-|--------||---|
Anfo lieaimonpansermis	-|--⌫--|-|--|-----|--|
Doncmecouientil mialz panser	---|-|------|-|----|-----|
Quefol mefeïsseapeler.	--|--|-|------|------|
Ian iertseüceque [.. .] uuel	-||---|---|-|--|---⌫-|---|
Tant celerai ced o n	---|------|-|-⌫-⌫|
sau rai deme s dolo rs	---⌫--|-|--⌫|----⌫-|
Aïd e querre	----⌫|-----|
Fosest qui sant	--|--|--|---|
anfermeté	---------|
Qui nan quiertaïdeetsanté	--||-|-----|----|-|-----|
Seilla puettrouer nul l eu.	-|-|-|---|-----|--|-⌫--|
cuidefe ire	----|--⌫--|
Etpor quer rece	-|---⌫----⌫-|-|
queiluial t	--|-|----⌫|
Qui porchacedomil	--|-------|--|-|
nelecu idet rouer	-|-|--⌫--|-⌫----|
iroitconsoil	----|------|
Ilsetraueillero it	-|-|-----------⌫-|
Ies antle mienmalsigreuain	-|-⌫--|-|---|--|-|------|
Queian ana uraig aris on	--|-||-|-⌫---|-⌫----⌫-|
Parmecinene parpoison	--|-----|-|--|-----|
Neparherbenep ar r acine.	-|--|----|-|-⌫-|-⌫-----|
Achascunmalnapas	|------|--|||--|
Limi e nsestsia nracinez	-|--⌫-⌫-|--|-|-⌫-------|
Qui lne p uet est remecinez.	-|-⌫|-|-⌫--|---⌫-|-------|
Nep uetIecuitqueiai	-|-⌫--|-|---|--||-|
Desq u e prime s	--|-⌫-⌫|-----⌫|
cestm alsanti	---|-⌫-|----|
Se losas semo streretdire	-||----⌫-|--⌫----|-|---|
Poïsseie parl erau mir e	------|-|----⌫-|-|---⌫|
Quid e totmeporroit eidier.	--|-⌫|--|-|------|------|
M esmoutmestgriefaempleidier	-⌫-|---||--|----||---------|
Espoirni daignero it	-----|||--------⌫-|
Nenulloie rnanuoldroit	-|--|----⌫||-|-------|
Doncn est meru oillesemesmai	---||--|----⌫----|-||----|
Car mout aim alet	--|---|-|-⌫-|-|
Quexmax ceestquimeiustise	---|--|-|--|--|-|------|
lado l orsmest pri se.	-|--⌫-⌫--||--|---⌫--|
NelsaiSifaz.	--|--|-|---|
I elcuitsauoi r	-⌫-|---|-----⌫|
C estmalmefetAmorsauoir.	-⌫--|--|-|--|----|-----|
ComantSet doncAmorsmalf air e	-----|--|---|----|--|-⌫---⌫|
Donnestil dolzetdebonai re	--||--|-|---|-|-------⌫-|
I e cuidoieque il neüst	-⌫|------|--|-||----|
EnAmor rien quib o en nefust	-|---|---|--|-⌫-⌫-|-|---|
Mesiel a imoutfelon	--|-||-⌫|---|----|
ne l aesproué	-|||-------|
Deq uexieusAmorssant re met.	-|-⌫--|---|----||---⌫--⌫---|
Fosestquide uerslui semet	--|--|--|--⌫---|--|-|--|
Quil uialt toz iorz greuerles suens.	-|-|----|--|---|-----|--|-----|
Parfois es geusne st mi e	--|--|-⌫-|---||-⌫-|--⌫|
Maluésioerse fet a lui	------|---|-|--||--|
Iecuit qu ilmefer aenui.	-|---|-|-|-|---⌫|----|
Q uef erai doncR etrerai man	-⌫-|-⌫---|---|-⌫------||-|
Ie cuitque iefe r oie sa n	-|---|--|-|--⌫-⌫--|--⌫|
Mesnesaicomant ie le	--|-|--|-----|-|-|
SAmorsmechastieetmenace	|----|-|------|-|-----|
Poraprandr eetpo r	--|-------⌫|-|--⌫|
anseignier	---------|
Do iiemonmestredesda ign ier	--⌫|-|--|-----|-----⌫---⌫--|
s onmestre desdain gne	-⌫-|-----|-------⌫--|
C eq u A m or sm	-⌫|-⌫|-⌫-⌫--⌫||
Doiiegarder e tmaintenir	--|-|-----|-⌫|--------|
Gran z biens m an por roit auenir.	----⌫|----||-|---⌫---|------|
Mes tro pme	--|---⌫|-|
batice m esmai e.	--|--||-----⌫-|
Ianipe rt il ne copne plaie	-|||--⌫-|-|-|--|-|----|
Etsim an plaing. Don	-|-||-|------|--|
n aigetort	|-|-|---|
Nenilquilmanaurésifort	----|-|-|||-----|-|---|
Queiu squau	--|--⌫--|-|
c uerma sonda rttrait	-⌫--|||--|--⌫-|----|
Mesnelap a s a l uire trait.	--|-|||-⌫-⌫||-⌫-|--⌫-----|
Comantl e t adonctrait	-----|-⌫|||---|----|
Qantla plaieneper tdefor s	---|-|----|-|---⌫|-----⌫|
Cemedir assauoirleuuel	-|-|---⌫-|-----|-|---|
Com ant le	---⌫--|-|
t ailt retPar	||-|-⌫--|--|
Par l ue l Si ne	--||--⌫|-|-|
let a cr eué	-|||--⌫---|
A lu el nem ail	||-⌫-|-|||-|
[...]greué	----|-----|
Mesaucu er	--|-|--⌫-|
for m ant.	---⌫-⌫---|
Ormedidoncreison comant	-|-|-|---|-----|-----|
Lidarzestparmi l ue l pa ssez	-|---|--|----||--⌫|--⌫---|
Q uil nan estbl e ciez	-⌫|-||-|--|--⌫-⌫---|
nequassez.	-|-------|
Selida rzparm il uel iantre	-|-|--⌫-|----⌫||--||----|
Licuer s porcois andialt e luan tre	-|----⌫|--|--||-|----|-⌫|---⌫--|
Quelii alzausi	--|-|-⌫--|---|
nes andi alt	-||-|--⌫--|
Qui lepre miercopan requialt	--|-|---⌫---|--|-|-------|
Decesaige bienreis onran d re	-|-|--|-|---|----⌫-|---⌫-⌫-|
Li ialznasoi nderienantandr e	-|---|||---⌫|-|---|-------⌫|
n e puetfeirea n ulfue r	-⌫|---|----||-⌫-|---⌫|
Mesc e stli mer eors	--||-⌫-|-|---⌫---|
Etpar ce mireortrespasse	-|--|-|-----|--------|
Siqu ilne blescene ne quasse	-|-|-|-|-----|-|-|-----|
licuersestespris.	-|----|--|------|
Doncest licuersel uantre mis	---|--|-|----|-|-----|--|
A usiconla chandoileesprise	-⌫--|--|-|--------|------|
Est dedan zlalenternemis e.	--|-----⌫|-|-------|---⌫-|
Se l achando ileand epartez	-|-⌫|------⌫--|-|-⌫------|
Ia n anistra nuleclarte z	-||-|----|---|------⌫|
Mestant conla c hand oiledure	--|---|--|-|-⌫----⌫---|---|
N eestpasla l anterne	-⌫|--|--|-|-⌫------|
Etlafla mequi	-|-|---⌫-|--|
dedanz l u i st	-----|-⌫-⌫-⌫-|
N elanpire	-⌫||-----|
Aut resiestdela uerri ne	---⌫---|--|-|-|-----⌫-|
Ianiertsiforzn ea nterin e	-||---|-|---|-⌫|-⌫------⌫|
Queliraisd elsoloi l nipast	--|-|---|-⌫-|-----⌫|||---|
San zcequederien n e laquast	---⌫|-|--|-|---|-⌫|-|----|
uoir ressiclersn i ert	----⌫--|-|----||-⌫--|
Seautrecl ar tez nesifiert	-|----|--⌫--⌫--|-|||----|
Q ueparle s uenuoiel	-⌫-|--|-|-⌫--|---||
Cemeïsme s	-|-------⌫|
sachiezdesialz	------|--|---|
Etdeluoirreet	-|--|-----|-|
del a lant erne	-|-⌫|----⌫---|
Caresia lzs efiertlaluisern e	--|-|--⌫-|-⌫|----|-|-------⌫|
Ouli cuersse remireet uoit	-|-|----|-|-----|-|---|
Lal umierequex queleso it	-|-⌫-----|---|-|--|--⌫-|
Si uoit maintesoe ures di uerses	-|---|------|--⌫---|--⌫-----|
Les unesuerz	--|---|---|
les a utresperses	--|-⌫----|-----|
L uneuermoille etlautrebloe	|--|--------|-||----|---|
lautr e loe	|----⌫|--|
autrechiere.	----|------|
Mestiexlimostrebelechiere	--|---|-|-----|---|-----|
El mireor quan till	-|-----|----⌫|-||
traïsts i lnes	------||-⌫|-||
mien s mont de c eü	----⌫||--|--⌫-⌫--|
Caranl uiames	--|-|-⌫-||--|
cue rsueü	---⌫-|---|
. I.raidon	-⌫-|--|--|
ie suianconbr ez	-|--|-------⌫-|
Qui dedanz	--|-----|
Etporluimestme sc uers failliz.	-|--|--||--|--⌫|-⌫---|-------|
ma lbail liz	--⌫-----⌫--|
Qui por monanemi	--|--|--|----|
Reterlepuisde	----|-|---|-|
mo utuers moimesp ris.	--⌫-|---|--|----⌫---|
Iecuidoieauoir	-|------|----|
troisa mis	----|-⌫--|
M oncueretmes	-⌫-|---|-|--|
.ii . ialzansanble	---⌫|---|-------|
Mes ilmeheentce mesanble.	--|-|-|----|-|-|------|
HaDexou sontmesmiami	-|--|-|---|--|-|--|
Qantci s t.i ii.sontmianem i	---|--⌫-⌫|--⌫--|---|-|----⌫|
Quidem oi sont etsim	--|-|-⌫-|---|-|-||
Miser gent an moi trop se	-|---⌫---|-|--|---|-|
Qui toteloruolanté font	--|---|--|-------|---|
Etdela moiepoint nefont.	-|-|-|---|----|-|----|
Orsaigebiendeuer ité	-|--|-|---|-|---⌫---|
q uimont deserité	-⌫-||--|--------|
Q uamo rsde	-⌫|---⌫-|-|
boenseignor pe ri st	---|------|--⌫--⌫-|
Parmalué ss erge n t quil no rrist.	--|------⌫|-⌫----⌫-⌫|-|-|--⌫-----|
Quima luéssergent aconpaigne	--|--⌫----|------|---------|
faillirqu iln es anplaigne	------|-|-|-⌫||-|------|
Quanqu ilaue i gnetosto u t ar t.	-----|-|---⌫-⌫--|---|-⌫|-⌫--⌫-|
Oruosreparleraideldart	-|--|---------|--|---|
Q ui mes tco m andezet bailliez	-⌫-||--⌫|--⌫-⌫----|-|-------|
Comantil estfez ettailliez.	-----|-|--|--|-|--------|
M e s ie dotmo utq uege ni	-⌫-⌫|-|--|--⌫-|-⌫-|-|||
Ca rtan tenest	--⌫|---⌫|-|--|
