#ME TA# TextURIAigarB	---⌫--|------|-----|
#META# DEAFhttp//www.deaf-p age.de/bi bl/ bib99a .php#AigarB	-----|---|----------------⌫---------⌫---⌫------⌫----------|
#ME TA#FEW	---⌫--|--|
#META#ARLIMAhttps// ww w.arlima.net/ad/aigar_et_maurin . html	-----|-----|-------⌫--⌫-------------------------------⌫-⌫---|
#ME TA#Au thor	---⌫--|--⌫---|
#META#AuthorBorn	-----|---------|
#META# AuthorB ornAmb	-----|-------⌫-----|
#META#Au thorDied	-----|--⌫-------|
#META#AuthorDiedAmb	-----|------------|
#MET A#AuthorFl1	----⌫-|--------|
#MET A# Au tho rFl2	----⌫-|--⌫---⌫---|
#META# TextTitle Aiga ret	-----|--------|----⌫|-|
#META # TextSubtitle	-----⌫|-----------|
# ME TA#T extuols	-⌫--⌫--|-⌫------|
#META# Tex tSubiepic	-----|---⌫----|---|
#META#Text Dom lit	-----|----⌫--|--|
#META #Translati onfalse	-----⌫|---------⌫-|----|
#META#Coll ection	-----|----⌫-----|
#META#CollectionNo	-----|-----------|
# META#TextDescARLuersdécasyl labique s rép artisenlaissesmono rimes	-⌫----|----------|---|--------⌫-------⌫|----⌫----|-|------|----⌫----|
#META#TextDe scuers	-----|------⌫-----|
#META#Te xtDa teARL12e	-----|--⌫----⌫----|--|
#META# TextD ateAdi	-----|-----⌫-----|
#META#TextDateMin1 166	-----|----------|-⌫--|
#M ETA# TextDa teMax	--⌫---|------⌫----|
# META# EdEditor Alfred	-⌫----|-------|-----|
#META#EdP l ac e	-----|---⌫-⌫--⌫|
#META#E dPublisherRomanischeF orschungen	-----|-⌫---------|---------|-⌫---------|
#META#Eduol14	-----|----|-|
#META#EdYear1903	-----|-----|---|
#ME TA#EdPages1 -102	---⌫--|------|-⌫---|
#META#MsBase	-----|-----|
#META#MsOther	-----|------|
#ME TA#MsN u m1	---⌫--|---⌫-⌫||
#META#MsDateARL	-----|--------|
#ME TA# MsDateAdi	---⌫--|--------|
#M ETA# Formu	--⌫---|---||
#META#Complete true	-----|-------|---|
#META# NoWords	-----|------|
#M ETA#NoLines	--⌫---|------|
#META# DialAuthocci tan	-----|-------|----⌫--|
# META # D ia lS cribe	-⌫----⌫|-⌫--⌫--⌫----|
#META #ScanURLhttps//archi u e .org/ d etai ls/romanisc heforsch14franu oft	-----⌫|------|------------⌫-⌫-⌫-----⌫-⌫----⌫-----------⌫---------------⌫--|
#MET A# ScanURIOther	----⌫-|-----------|
# META# ArkID ark/13960/t93 77i81 z	-⌫----|----|-------------⌫-----⌫|
#ME TA#Lccn I D	---⌫--|----⌫-⌫|
#META# Oc lcI D	-----|--⌫---⌫|
#MET A# We bAuth or Dau id	----⌫-|--⌫-----⌫-|---⌫-|
I osephWr isley	-⌫----|--⌫----|
uants ei f erirma nt enantpels es cus	---|-⌫-|-⌫---|--⌫--⌫----|---|--⌫--|
E ablor bransde lor espades nus	|-|--|----|-|--|------|--|
Trencent lorcairesdelame se d	-------|--|-----|-|----⌫|||
Tal cent ni caientcunsnoner	--|---|||-----||--|--|-|
lidois quantcis	-|---|----|--|
plaisersobus	----|-|----|
D elasuerm eilles quelai perdent	-⌫|--|----⌫-----|--|--|------|
Ed e lasbla ncesquiira ntmo lt	|-⌫|--|---⌫---|--||--⌫-|--⌫-|
Maurinsca ual ie	------|--⌫---⌫-|
e s abatailleadu s	|-⌫|-------|---⌫|
Edelaieslorei sAigarsuengus.	|----|-|-|---⌫|-----|------|
Ba issent los	--⌫-----|--|
la ncesels gonfanonsuosus	--⌫---|--|--------|----|
Lor b liso ns trenc entlor	--|-⌫----⌫-|-----⌫--|--|
osbers nanmenus.	-----||-|-----|
le npainsMaurins lo	|-⌫-----|------|-|
uielscanus	----|----|
Kansdo s los	|-----⌫|--|
caingleselpoi trail	-------|-|---⌫----|
Eperla cropeneslofus	|--|-|----||-|-|--|
Maist osenpesre mas en	---|-⌫-|-|--|--⌫--|-|
Ere fu t oscobrase	--|-|-⌫-|-----||
Aiqu estestoresmolt	----⌫--|----|-|---|
bonconb atu s	--|----⌫---⌫|
N on eraonteM aurinsh ui mais u encus.	-⌫-|-||---|-⌫-----|-⌫-|---|-⌫-----|
Quantlire ialuirentquelreisfu i os	----|-|--⌫--|-----|---|---|-|-⌫-|
Persamaisnadefud urementescos	--|-|-------|-|-⌫------|----|
Laii amb e-a-t erreMil elod usdAu ros	--|-⌫---⌫-----⌫---|---⌫|-|-⌫-||--⌫--|
Loreicob reitelliart balç a nt	-|--|---⌫---|-|----|-----⌫-⌫-|
Posuira sfaire tantcopmirauillos	--|----⌫|----|---|--|---------|
Ta ntblanc hosbercetante lmet reros	--⌫-|----|------||---|-⌫--|-⌫----|
E tan tdon zilde srocatuer goig nos	|---⌫|---⌫--|--⌫-----|---⌫----⌫--|
Tant a stefr ai tedontu ant uerscel	---|-⌫--|--⌫--⌫-|---|-⌫--|---|--|
Parmi l apresseuai	----|-⌫|-----|--|
Bertranspesanços	-------|--------|
traite quifoalrei	-----|--|-|-|--|
De s treis Ia usbers a	--⌫|----|--⌫-----||
manesmors los dos	----|---|--|--|
mor tAustreget le ngignos.	---⌫|--------||-⌫-------|
ESic arsuenc	|---⌫--|---|
Lironbrios	----|----|
E uaitferir Raterde MontSimos	|---|----|----|-|---|----|
Un conest abledelaco rtcaba illos	-|------⌫---|-|-|--⌫-|----⌫----|
Mortl ecrabenteelprat	---|-⌫|-------|-|---|
quifo erbos.	--|-|-----|
PosdisMaurindos mosco ntrarios	--|--|-----|--|--|--⌫-------|
uiels beubanc er s so brance rs orguillos	----|-------⌫--⌫|--⌫------⌫-|--------|
Ancuis e resue nc use uergo i gnos.	----|-⌫-⌫--|--⌫--⌫-||-----⌫-⌫----|
uielsqui c reitconseilde	----|--|-⌫---|------|-|
De grantri c esesnesd euenc s ofraitos.	-|----|--⌫-⌫---||---⌫----|-⌫--------|
K ileslorueiuenir pausas	-⌫|--|--|--|----|-----|
