Cifenistl aui e sainte	-|-----|-⌫|--⌫|-----|
u ani tézet de pa rti ro itdese sgenz	-⌫---⌫---|-|--⌫--⌫---⌫--⌫-|-|--⌫|---|
Elenauoit talen tquele i demorastplus	--||----|-----⌫|-|--||-------|---|
carele nauoit	--|--||----|
c urede lauanitédumonde	-⌫--|-|-|------|-|----|
Cristmistoutsoncuer	----|--|---|--|---|
Elene uost mieauoirlagrantp lantédesmax	--|-|---|--|----|-|----|-⌫-----|--|--|
que limondesnorrist carilgrie uentet	--|-|-----|------|--|-|----⌫---|-|
pourrissentceulzqui	----------|----|--|
lesa in ment	--|-⌫--⌫---|
Elene uos t mieestre leurcompaingneelesacompa ing na	--|-|---⌫|--|----|---|---------|--||------⌫---⌫-|
IIpucelles	-|-------|
IIpucelle sontr ece u telecompaingniequi	-|-------⌫|--|-⌫---⌫|---|----------|--|
est plainne ded ouçorquantli	--|------|-|-⌫-----|----|-|
Esperizlaengardequ i mainne	------|||-|----|--⌫|-----|
etc on duittouz ceulz quienbiensemaintie nnent	-|-⌫--⌫---|---|----|--|-|---|-|-------⌫----|
Eles sont uenuesa l	---|---|-----|||
Chartres ca r elesueulen t es tresacreeset	-------|--⌫|---|------⌫|--⌫--|------|-|
ben eoiteset seueulent ten i r	---⌫-----|-|-|------|---⌫-⌫|
C ile uesquesestoitplainsdegr antbont éz et	-⌫-|-⌫------|-----|-----|-|--⌫--|----⌫--|-|
Quantl isain shonslesdut	----|-⌫|----⌫|---|--|--|
sacrerelessesmure nt a alere n	-----|---||------⌫-||---|-⌫|
re lygionsicommeilestoiten	--⌫-----|-|----|-|-----|-|
us etencoustume que l enneealoit	-|-|-|-------|--||----|----|
premierementetmenoit auoec luilesplus	-----------|-|-----|----|--|--|---|
sag esseloncc e queelesontd	---⌫-|-----|-⌫|--|---|--||
Gene uie uesa resta por ce quele ne uouloit	----⌫---⌫-||-⌫----|--|-|-|--|-|------|
ale r pre mier eman tcar humilitéq ui	---⌫|---⌫----⌫----⌫|--|--------|-⌫-|
enson cue r estoi t f ichieene	-|--|---⌫|-----⌫|-⌫-----|-|
Ele e s toit plai nnedesigrant bontéquele	--|-⌫-⌫---|----⌫--|-|-|----|-----|-|--|
ne pou oit ferenule	-|---⌫--|---|---|
Quan t li e uesques la	----⌫|-|-⌫------|-|
u it ileno tmout gran tioi eet	-⌫-|-|-|-⌫|---|----⌫|---⌫|-|
lidistOa ncelle	-|---||-⌫-----|
Cristu ierg ebeneoiteuous deuéz	----|-⌫----⌫|-------|---|-----|
auantest re sacree	----|---⌫-|-----|
et sacree estes uouspieçaet	-|-----|----|---|-----|-|
ele lid istet raconta sicommesaint	--|-|-⌫--|-|------|-|----|----|
G ermainliot fe t	-⌫-----|-|-|--⌫|
El e estoitlamainneeetsifudonneea	--⌫|-----|-|------|-|-|-|-----||
Dieupremieremant	---|-----------|
ui liquesfe tgran t	--⌫-----|--⌫|----⌫|
ioie de luicar	---|-|--|--|
bien setquel i	---|--|--|-⌫|
Esperiz sestenlui ares téz etque	------||--|-|--|----⌫---|-|--|
ele estoit pla inned e	--|-----|---⌫---|-⌫|
biene tdes a grace	---|-⌫|-|-⌫|----|
e nno ura moutpourlasaint e é	-⌫---⌫--|---|---|-|-----⌫-⌫-|
dontele esto it pl ainne	---|--|----⌫-|--⌫----|
Ladamoisellesanz plusd edemeure	-|---------|---|---|-⌫|------|
a pr isc ongiéa	|--⌫-|-⌫-----||
l euesqu e	|------⌫|
etaudeparti r	-|-|-------⌫|
s entrepr ierentmout doucemantqu eil souuenista lun	|-------⌫-----|---|--------|--⌫|-|--------|||-|
Ilauintchos e quelamort	-|----|----⌫|--|-|---|
qu itoutmate etbrisecommecele qu inulleriens	--⌫|---|---|-|----|----|---|--⌫|----|----|
nesp argne to llialapuc el e sonpere et	|---⌫----|--⌫--||-|---⌫--⌫|--|---|-|
Il moururent endui sicom meil durent	-|--------|----|-|---⌫-|-|-----|
etcelequiplainees toit du	-|---|--|-----|--⌫---|-|
Esperitiertd eulzremeseorpheline	------|---||---|-----|--------|
Elenesto itmieo rpheli necareleauoita	--||----⌫-|--|-⌫------⌫-|--|--|----||
amilegl orieusro isqui l iestoitdouz	--|-|--⌫-----|--⌫-|--|-⌫|-----|---|
e t am iables	-⌫|--⌫-----|
Elea moit d e loial	--|-⌫---|-⌫|----|
Damedieusanz trich erieetlete no itchier	-------|---|-----⌫---|-|-|--⌫--⌫-|----|
Eles eniert	--||-|---|
Parisap résce queses	----|--⌫---|-|--|--|
am isf ur entmorzsi	--⌫-|-⌫--⌫--|---|-|
com meie truis	---⌫-|-|----|
Ele souffri	--|------|
puis maintespainnes	---|------|------|
po url amour	--⌫-||----|
E le ot to uz iourz	-⌫-|-|--⌫-|----|
Di euson co uragetan tqueune g rant maladie laprist	--⌫-|--|--⌫----|---⌫|--|--|-⌫---|------|-|----|
qui liafoibloia moutlecors	--|-|--------|---|-|---|
Me s ele ne	--⌫|--|-|
liplaissoi tp oint le sperit que	-|--------⌫|-⌫---||-⌫-----|--|
e leneleustfortetroideet plain	-⌫-|-||---|---|-|----|-|----|
Toutson eff o rssi	---|--|---⌫-⌫-|-|
Cilforz maxestoitapelézp allazinqu i	--|---|--|-----|------|-⌫------|--⌫|
si ladestrai ngnoitforment etlitoloit l aforcedu	-|-|-------⌫-----|------|-|-|-----|-⌫|----|-|
cor s et de t ouzses me mbrez	---⌫|-|-|-⌫--|--|--⌫----|
Mes l iesperizne	--|-⌫|------|-|
desc onfizcareles ostrooita	----⌫----|--|--||-------||
donnoitquil itenoitlesperit enioiesi	------|--|-⌫|-----||------|-|---|-|
crutasséz	---|-----|
pl usenbonte ́	--⌫-|-|-----⌫|
quelle nauoitfetdeuant	-|---||----|--|-----|
enfermetélidura	---------|-|---|
estoireraconte	------|------|
Quantlipereschastie	----|-|----|------|
sonfuilzde sa follieilla doitbienles sier	--|----|-|-|-----|-|-|---|---|---⌫---|
carno us sauonsbienuera ieme nt queilbat	--|--⌫-|-----|---|----⌫----⌫-|--|-|--|
etchas toie celuidon til u eult	-|----⌫---|----|---⌫|-|-⌫---|
auoi rioieet	----⌫|---|-|
li fuilzsed oitc ha stoiertant	-|----|-|-⌫--|-⌫--⌫-----|---|
queil soit ac ordéason	--|-|---|--⌫----||--|
Einsi seb ati	----|-|-⌫--|
ce l e etchastoia	--⌫-⌫|-|-------|
et men adure uie deson cors	-|---⌫|---|--|-|--|---|
Ele fu tantmal adeco ma	--|-|---|---⌫--|--⌫||
Damedie uplot	-------⌫|---|
Etquant eleot recouuree	-|----|--|-|--------|
santésic o uuin tque ele fust menee	-----|-|-⌫-⌫----⌫|--|--|---|----|
l aouioieestoitabandon nee	-⌫|-|---|-----|-------⌫--|
auoient de seruiqu il fussentsauf	------|--⌫----|-|-|------|---|
ilueissent	-|-------|
Ei nsint le nmena unang e	--⌫----||-⌫----|-|---⌫|
ensein gnaencorep lusqu	------⌫--|-----|-⌫--|-|
elesotetuit	--|--|-|--|
ledampnementetle	-|---------|-|-|
to urmentquecil	--⌫-----|--|--|
seufren t qui sontdampné z	-------⌫|--|---|-------⌫|
Leursfez leurso nt iluecmeriz etele	----|--|---|--⌫-|----|----|-|--|
uitsicommelescr ip ture letesmoingnemaintesacreechose	--|-|----||----⌫--⌫---|-|---------|-----|-----|----|
e tm a inteape r te c oncience li a	-⌫|-⌫-⌫---|---⌫-⌫-|-⌫-------|-||
Damedie udemoustreea sséz plusquelesgens	-------⌫|---------|-⌫----|---|--|--|---|
Damedieu necroientn e	-------|-|------|-⌫|
porroient c ro ire	--------|-⌫--⌫--|
Apre ́ sauintque	----⌫-⌫|----|--|
u alentinsdontlafins	-⌫-------|---|-|---|
fupui s moutbon equifu	-|---⌫|---|---⌫|--|-|
fuilzauricheempereor	----|-|----|-------|
Theodosi euint	--------⌫|---|
moutcointementa	---|---------||
Paris co mmec il	----|--⌫--|-⌫-|
quie st oitmoutdehau t esgensmes	--|-⌫--⌫--|---|-|---⌫-⌫-|---|--|
ne p orqua nt ilestoitdemoutfolcorage	--⌫-⌫-----⌫-|-|-----|-|---|--|-----|
T u itc ilquiioieporentfe reuin drent	-⌫-⌫-|-⌫-|--|---|-----|--⌫-|---⌫----|
ualentinsa	--------||
Et il dem andaetenquista	-|-|---⌫---|-|------||
ceulsquien contreliuindrentpre mierema ntqueil	----|--|--⌫-----|-|-------|---⌫-------⌫-|--|-|
lidientla uie	-|----|-|--|
de la beneoiteuierg esauoir	-|-|-------|-----⌫|-----|
mo n sele iertsiplainned ebontécomm e	--⌫||--|---|-|------|-⌫|-----|----⌫|
direet co nter	---|-|--⌫---|
E tcilrespon n en t	-⌫|--|------⌫-⌫--⌫|
Sirenousauons bien encueretentale nt	---|---|----|---|-|---|-|-|----⌫-|
que nous d ions ceque	--|---|-⌫---|-|--|
nous ensa uons	---|-|--⌫---|
Deceste chose iertchascunsmoutliézet li	-|----|----|---|-------|---|----|-|-|
peuplesq ui	------|-⌫-|
er tapareillié z de	--⌫|-----------⌫|-|
abess ier lesbiens etdesmauxhauci er e t	-----⌫--|--|----|-|--|---|-----⌫-|-⌫|
leuerlid ist etfeten tenda nt	----|-|-⌫--|-|--|--⌫-----⌫-|
qu e sabont éce leur sa mbleest oi t	--⌫|-|----⌫-|-|---|--⌫---|---⌫--⌫|
assézmendre	-----|-----|
que laseuen	--|-|---||
Ilsacorder enta luitouz e nsamblemes	-||-------⌫--||--|---|-⌫------|--|
itant ia qu ele doit	----|||-|--|---|
miex estreblasmee	---|----|------|
Icilquicestechose li dis oie nt	---|--|----|----|-|---⌫---⌫-|
sau oientp etit	---⌫----|-⌫---|
Elen auoit cur edu	--||----|---⌫|-|
l os dumo n dequeele	-⌫-|-|--⌫-⌫-|--|--|
sauoit bienq uetui tcilest oie nt	-----|---|-⌫-|---⌫|--|---⌫---⌫-|
confonduzquiimetoien t leu r cure carsi c onl	--------|--||-------⌫|---⌫|---|--|-|-⌫-||
Es cripturen ous dist	--⌫-------|-⌫--|---|
Dieuueultparuenirnepuet ser uiraumonde	---|----|-------|-|---|---⌫--|-|----|
et porc ehetelelemonde	-|--|-⌫|--|--|-|----|
Endem entiers quil	-----⌫------|-|-|
parloienteinsie tqueilcontoientlaferedela	--------|----|-⌫|--|-|--------||----|-|-|
puceleuint saint	-----|---|----|
Germai n a	------⌫||
Br etaingneouilauoitestéet	--⌫-------|-|-|----|----|-|
l enliauoitracontéq uesa mie estoiten	|-|-|----|-------|-⌫-||-⌫--|-----|-|
uintdroit a lo stel oueleestoit si la	---|----|||-⌫---|-|--|-----|-|-|
s a luedecuer e t encline	-⌫-⌫--|-|---|-⌫|------|
Madouceamie feti lqu efaitesuous	-|----|---|--|-⌫|--⌫|-----|---|
Diteslemoigen t ilpucel e	----|-|--|---⌫-⌫-|-----⌫|
Co mmant uousailpuisesté	--⌫----|---||-|---|----|
que iemeparti deuous	--|-|-|----|-|---|
Sir efet eleiai puise u	---⌫|--|--||-|---|-⌫|
ceque ieuouloie	-|--|-|------|
Nule riensnem	---|----|-||
greuéneonquespuis n e me faill irien s	-----|-|-----|---|-⌫|-|-----⌫|----⌫|
Damedieu ma pu isdonéceque	-------|||--⌫-|----|-|--|
es toit me stiers	--⌫---|--⌫-----|
Etauousc omantailpuisestéqueuous	-||---|-⌫----||-|---|----|--|---|
Bretai n gne etqueuo us passatesdelalamer	------⌫-⌫--|-|--|--⌫-|-------|---|-|--|
Belefillefet il bien	---|----|--|-|---|
Dieu merci	---|----|
Lipeuples quiiluec estoi t semerueilla plus	-|------|--|----|-----⌫|-|--------|---|
rie ns quiau monde fustdeceque	---⌫-|--|-|----|---|-|-|--|
i l lasaluoitentelmaniereetqueilli	-⌫|-|------|-|--|------|-|--|-|-|
fesoit si biau se mbl ant	-----|-|---|--⌫---⌫--|
Quantli s ains honso t fet es	----|-|-⌫---|---|-⌫|---⌫||
oroisonil leura re treten plour an tle commence mantde	------|-|---||--⌫---|-|-----⌫--⌫|-|--------⌫---|-|
Leslermesli uind r entde sieulzcouran z et c heïrent	--|-----|-|----⌫-⌫--|--⌫|----|------⌫|-|-⌫-------|
sasistrentent orluipoure scout er	|--------|---⌫-|--|---|-⌫-----⌫-|
etoï rla uiedeladamoiselle que	-|---⌫|-|--|-|-|---------|--|
il nauoiento nq ues	-||------|-⌫--⌫--|
Illeurcon taetdescouuri	-|---|---⌫-|-|--------|
t oute lauiede la	-⌫---|-|--|-|-|
uiergee t en q uelemaniere il	-----|-⌫|-|-⌫---|------|-|
latrouaqu an tilariua	-|----|--⌫--⌫|-|----|
Nentuerr e et	--------⌫|-|
com menti l	---⌫---|-⌫|
aperçutqu e leauoit receule	-------|-|-⌫-|----|----|-|
co ntadechief en chi ef	--⌫--|-|----|-|---⌫-|
que i lnendou ta	--|-⌫||-|---⌫-|
deriens nuleei nsicomme	-|----|---|--⌫--|----|
i lprist aterrele	-⌫|----||----|-|
denier que il li mistau c ol	-----|--|-|-|---|-|-⌫-|
Etn o us deuo ns biencroireq uece e st	-|-⌫-⌫-|----⌫-|---|-----|-⌫-|-|-⌫-|
choseuoireet bienapparissanzq ue	----|----|-|---|----------|-⌫-|
lideniers nousest	-|------|---|--|
gu aranzque	--⌫----|--|
si commesa	-|----|-|
uienou s deuise il e stencore	--|---⌫|-----|-|-⌫-|-----|
dedensleglyse	-----||-----|
Qua nt saint	---⌫-|----|
Ge rmai not toutce contéetdistau sgens ce	--⌫----⌫|-|---|-|-----|-|---|--⌫|---|-|
quilli plotchas cu nsse	-|-|-|---|----⌫--⌫-|-|
de parti di luecquesetilmeesme sdau trepart	--⌫----||-⌫-------|-|-|------⌫||--⌫--|---|
Etnouel equipoin t	-|-----⌫|--|----⌫|
nesei orne	-|---⌫---|
es tuenuea	--⌫|----||
Pa riset sileurfetlensauoi rqueli	--⌫--|-|-|---|--||-|-----⌫|--|-|
Ar clesueut auoir	--⌫---|---|----|
toutelacon trees iens ont les ge nz m out	----|-|---⌫---|-⌫|-|-⌫--|--|--⌫-|-⌫--|
Cha scu ns redo utemoutlesmauueses	---⌫---⌫-|----⌫--|---|--|-------|
genz qui uienn entseureulzsiu oldrent	---|--|-----⌫--|---|---|-|-⌫------|
os te rtout leur auo ire t	--⌫--⌫|---|---|---⌫-|-⌫|
porter enaut res citéz	-----|-|---⌫--|-----|
Il uold r ent lauilleles si er et	-|----⌫-⌫--|-|----|---⌫--⌫-|-|
guerpir por l apaorquilore ntduroi	------|--|-⌫|---|-|-|---⌫-|-|--|
A r cle et enc ele paourou i le stoient	-⌫-⌫--|-|-|-⌫--|----|-|-⌫|-⌫------|
dont ilauoient doutance	---|-|------|-------|
Geneuieue aus bonesdamesdelacité etaus	--------|--|----|----|-|-|----|-|--|
encien nessil eu ramoutdo ucement	------⌫--|-|-⌫--⌫||---|--⌫------|
proié et dist	-----|-|---|
D ames fet ele oresco utézie uousdiraicomm ent	-⌫---|--|--|-|----⌫----|-|---|----|----⌫--|
uous porro izuoz ami s sau ueretuozse ingne urs	---|-----⌫-|--|---⌫|---⌫--|-|--|--⌫-----⌫--|
guaren tiretsa uuerdemort	------⌫--|-|--⌫---|-|---|
Efforcié zuousdeieuneretdedonneraumosnes	---------⌫|---|-|-----|-|-|-----|-------|
au smesagier s	--⌫|--------⌫|
Carcilq uiauspouresdonn es	--|--|-⌫-|--|-----|----⌫||
aumosneilacroi stusu re	------|-|-----⌫-|---⌫-|
e nu e r s	-⌫--⌫-⌫-⌫|
D ieu deboncuer etde	-⌫--|-|--|---|-|-|
Soiéziour	-----|---|
etnuit aumoustier	-|---|-|-------|
Faitesd ecuer	-----|-⌫|---|
affl iction s etproie re set o r o isonsen telm aniereque	----⌫------⌫|-|-----⌫--⌫|-|-⌫-⌫-⌫----|-|--|-⌫-----|--|
Diexe ntendeuoz	---|-⌫-----|--|
prieresetquiuousdeliure etdeffende	------|-|-||---|------|-|-------|
de la mauuaise genten	-|-|-------|---|-|
telmaniere quelen neuous trauaillen e meste	--|------|--||-|-|---|--------|-⌫|----|
uoshe nneu rs en bien	--|--⌫----⌫-|-|---|
Apréscequ ele otainsi	-----|-|-|--|-|----|
lesdame samones teeselese mont lesse ingneurse t	--|----⌫|------⌫---|--|--⌫---|--|--⌫-------|-⌫|
prie de bien fere	---|-|---|---|
Seingneursfetele ceseramout g rantfollie se	---------|--|--|-|---|---|-⌫---|-----|-|
uou sguer pissiézla uille	---⌫|----⌫-------|-|----|
Rem an éz a toutuoshenne urscarsach i é z	---⌫--⌫--|-⌫---|--|-----⌫--|--|----⌫-⌫--⌫|
certainnement iecroique	------------|-|---|--|
uousfero izquesages	---|----⌫-|--|----|
auézf ianceen	----|-⌫----|-|
Damedi euuou snauro iz	------⌫-|---⌫||----⌫-|
iagardenedoutanc edenuleriens qui ma luous	-|----|-|-------⌫|-|---|----|--|--⌫|---|
puise fereetb iensachiézseuousu ous	----|---|-|-⌫--|-------|-|---|-⌫--|
metézenlui	-----|-|--|
iluous serae t fermete ́zettourzetsi	-|---|---|-⌫|-------⌫-|-|----|-|-|
con fondratouz uozanemisentelmaniere queian e	---⌫-----|---|--|-----|-|--|------|--|-|-⌫|
serois conq u iz pareulz	-----|----⌫-⌫-|--|---|
Dau idnou s	---⌫-|---⌫|
tesmoingnequ e	---------|--⌫|
Diexquitouta	---|--|---||
mainenclosne garde la	---|-----|-|----|-|
ci t e ́ p ornoiantue illentlesg ardes	--⌫-⌫-⌫|-⌫-|-----|--⌫-----|--|-⌫----|
Mes li borioisorent	--|-|------|----|
m ou tg rantd esp itde	-⌫--⌫|-⌫---|-⌫---⌫-|-|
ele leu rdist e t dientq uelenest	--|---⌫|---|-⌫|----|-⌫|--||--|
pasu eritableetqu eleleurtostle	--|-⌫-------|-|-|--|---|---|-|
bie nafereetqu eilaen	---⌫||---|-|--⌫|-||-|
luifauxepr op heite	--|----|--⌫--⌫----|
Touzlipuepless aun a entour luiet	---|-|------||---⌫|-----|--|-|
prennent co nseilqueil enfe ronttant	-------|--⌫----|--|-|-|--⌫---|---|
onten lafin esgardéqu	--|-|-|--|-------|-|
est ret our ment ee delet t ourmentetuilain	---⌫-|-⌫---⌫----⌫-|-|--|-⌫------|-|-----|
ou lapidee	-|------|
mortqui nului	---|--|----|
espargneuintad roiteuresi con	-------|---||-⌫---|---|-|--|
eled utetp ristsaint	--|-⌫-|-|-⌫---|----|
Auc erroi z et fu misenparadisauoecles	---⌫-----⌫|-|-|--|-|------|----|--|
Etunarced iacre qu iesto itnézd	-|-|-----⌫----|--⌫|----⌫-|---||
Auc eurreetmou testoitlouéz uintapré s	---⌫----|-|---⌫|-----|-----|---|-----⌫|
P a ris t out droit	-⌫-⌫--|-⌫--|----|
laoulaui erge	-|-|-|--⌫---|
Germ ainli auoitdistes toit	----⌫--|-|----|---|--⌫---|
I l liauoitdistqueeleesto itbonneui e rg e	-⌫|-|----|---|--|--|----⌫-|----|--⌫-⌫--⌫|
et sai ntee t	-|---⌫--|-⌫|
est oitgarn ie	---⌫--|----⌫-|
d e pl use urs bontézsiu eultconcil quiest	-⌫|--⌫---⌫--|------|-|-⌫---|--|--|--|--|
f ermeencre a nc ede lu i	-⌫---|-|---⌫-⌫--⌫|-|--⌫|
estre mou ta cointes	----|---⌫|-⌫------|
M esd unecho se	-⌫-||--|---⌫-|
semerueillemoutque	-|--------|---|--|
touzli mondeslialieueblasm e	---|-|-----|-|-----|-----⌫|
s ide mande	-⌫|--⌫----|
porquo ice e stq uilson ts i apareilliéz	--|---⌫|-|-⌫-|-⌫|-|---⌫|-⌫|-----------|
dema lfere	-|--⌫|---|
El elires pont aceetdistquece	--⌫|-|---⌫---||-|-|---|--|-|
estpourleurs mençonges	--|---|----|---------|
Se ingneursfetiluousnest esm iesages	--⌫-------|--|-|---||---⌫-|-⌫-|----|
qui auézt el ragee mprise qui uo ulézdestraindrece le	--|----|-⌫-|---|-⌫-----|--|--⌫----|----------|--⌫-|
quitent auous sau ueret uo usaprent lebien	--|---||---|---⌫--|-|--⌫-|-----|-|---|
etensaingne	-|--------|
Mes ledeable et uo strepec hi éuoussemonnenttout p lainnement	--|-|-----|-|--⌫---|---⌫--⌫-|---|--------|---|-⌫---------|
de uous dampne r	-|---|------⌫|
C r iéz merci a	-⌫-⌫---|----||
Damedieuetsiuous	-------|-|-|---|
fu iéz que l ideablesquiiusquesci uou s a	--⌫---|--|-⌫|------|--|------|-|---⌫||
conduizneuous destruiseici	------|-|---|--------|--|
Destorn ézu ous qu ilneuou s	-------⌫--|-⌫--|-|-|-|---⌫|
uousuouliéz	---|-------|
Damedieu corrouci erquiuo uliézempirierson nouue l	-------|--------⌫-|--|--⌫-----|-------|--|-----⌫|
temp leporlatres grant	----⌫-|--|-|---|----|
desloialtédont uous e st e s plains	----------|---|---|-⌫--⌫-⌫|-----|
Sachiézquillidesplest mout	-------|-|-|-|-------|---|
Geneuieue q u iests amieets	--------|-⌫-⌫|--||---|-||
