quipetit semepetitquielt	--|----|---|----|-----|
ma i s ieo	--⌫-⌫|--|
sai bienque	--|---|--|
gor nemanz de grooltad non	---⌫-----|-|-----|-|--|
habealsirefait l a	-|---|---|---|-⌫|
multestuostrep arole bele	---|--|-----|-⌫----|---|
mu lta ue z ditquecurtois	--⌫-|-⌫--⌫|--|--|------|
sach e deuli	----⌫|--|-|
quantuosprod homelappellastes	----|--|----⌫---||----------|
o nquesma isuoirne p arlastes	-⌫----|--⌫-|---|-|-⌫-------|
qu i lest prodh ome	-|-⌫|--|-----⌫-||
sanztricher	---|------|
iceouos pusbien	---|--|--|---|
esachez qu eieosuis a	|-----|--⌫|--|--|-⌫|
mais i eonel uimoutad gra n t	---|-⌫-|-||-|---|-|---⌫-⌫|
e certespuisque uos meustes	|-----|------|--|------|
deuostr eostelne	-|-----⌫|----|-|
pl u s p rodhomemien	--⌫-⌫|-⌫------|---|
multleostel emultriant	---|-|----||---|----|
uos fi stqu il	--|--⌫-|-|-|
lesoutfa i re	-|---|--⌫-⌫-|
cumprodhomee	--|-------||
pussanz e a ssezriches	------||-⌫---|-----|
m aiscaienz nadquecink mic hes	-⌫--|-----||-|--|---|---⌫--|
queunsoncles	--|--|-----|
q uiestpri ors	-⌫-|--|---⌫--|
mu lt seintz home reli gious	--⌫-|-----|--||----⌫----|
men uoia anuitpu rsuper	|--⌫---|----|--⌫|----|
unb oceltut plainzdeui n	-|-⌫---|--|-----|-|--⌫|
deuitaillen a dpl usca enz	-|-------||-⌫|--⌫-|--⌫--|
fors un scheuerolsquem is erganz	---|--⌫|--------|--|-⌫|-⌫-----|
occistelbois dunesete	-----|-|---||--|---|
atantcomandequ elenmette	----|------|--⌫|--|----|
les tablese	--|-----||
e lesfure n t mises	-⌫--|----⌫-⌫|----|
genz alsoper	---|-|----|
al mangierou tm out petit sis	-|------|--⌫|-⌫--|----|--|
maisparmul t g ranttalent fu	---|--|---⌫|-⌫---|-----|-|
a presmangiersedepartirent	-⌫---|------|-|----------|
cilremistrentq uisendormi rent	--|---------|-⌫-||-------⌫---|
qui l autrenuit ueillié	--||----|---|-------|
ci lsenissirent q uideuoient	--⌫||-|-------|-⌫-|-------|
lanuitpar le	-|---|--|-|
chastel ueil ler	------|----⌫--|
serg antfurentecheualer	----⌫--|-----||-------|
cinkantequi lanuitueillerent	-------|--|-|---|---------|
eliautrese	|-|----|-|
tr auaillerent	--⌫----------|
delur oste multbi encochier	-|--|---|---|--⌫-|------|
beals draz	----|---|
oo reiller moutch ier	|-⌫------|---|--⌫--|
e couertour bon sur	|--------|--|--|
cilquid elcochersentremist	--|--|-⌫-|-----||--------|
t restu t lai s ee tut	-⌫-----⌫||--⌫-⌫||--|
que homsache deuiseren	--|--|----|------|-|
out licheu alers cele	--|-|----⌫----|---|
fors quesulementlededuit	----⌫--|-------|-|-----|
delapucel e sil	-|-|-----⌫||-|
ou dedamesilenseust	-|-|---||-|-|----|
ne n sauoi toncor e	|-⌫|-----⌫|-----⌫|
ne n epensoit ne	-|-⌫|------|-|
sisen dormi t auque spartens	-||--⌫-----⌫|-----⌫|--|---|
quilne stoi tde	-|-||-⌫----⌫|-|
ri ene npurpen s	--⌫-|-⌫|------⌫|
la pucelepasnerep ose	-|-----|--|-|---⌫--|
quien sachambrees teitenc l ose	--|-|-|------|--⌫---|---⌫-⌫--|
cil dort adesecele	--|---|---||---|
q u eenlin	-⌫-⌫|-|-||
a d nul e de fense	-⌫|---⌫|--⌫----|
dune b atail l equel	|--|-⌫-----⌫-⌫|--||
mult setrestornemout tressalt	---|-|--------|---|-------|
multsedegetteese	---|-|------||-|
unmantelcurt des oie engre ine	-|-----|---|-|-⌫--|-|---⌫--|
ad afublésursachemise	-|------|--|-|------|
sisestenauenture	-||--|-|-------|
cum hardieecorag ous e	--|-----||-----⌫---⌫|
einzse pe nsequeeleirra	---|-|--⌫--|--|--|---|
ason ostee sidirra	|--|---||-|----|
deson afaire	-|--|-----|
lorse stdesonl itdepartie	---|-⌫-|-|--|-⌫-|-------|
h ors delachambre	-⌫--|-|-|------|
tielpour ad que tuitli	---|---|-|--|---|-|
li tremblente lachar li siu e	-|--------||-|---|-|---⌫|
plorante delachambreissue	------||-|-|------|----|
e uiental lite cilsedort	|----|-|--||--|-|---|
eplur eesuspire mult	|----⌫||------|---|
aclinesisagenoille	-----|-||--------|
eplures i que elelimoille	|----|-⌫|--|--|-|-----|
de sesla rmesto telaface	-|--|--⌫---|--⌫-|-|---|
n adhar dementquep lusen face	|-|---⌫-----|--|-⌫--|-|---|
tantadplureeque	---|-|-----|--|
cilsesueille	--||-------|
sisesbaitmulte meru eille	-||-----|---||----⌫----|
desafacequ	-|-|---|-|
il s e n tmoillie	-|-⌫-⌫-⌫|------|
e uitcel i age noilli e	|--|---⌫|---⌫------⌫|
deuantson litquiletenoit	-----|--|--|--|-|-----|
par le colenbracez estroit	--|-|--|-------|------|
etantdecurteisiefi st	|---|-|--------|--⌫-|
qu eentre sesbra z	--⌫|----|--|---⌫|
lare prist	-|--⌫----|
mai nt enante	---⌫--⌫----||
uerss oil a trait	---|-⌫-|-⌫|----|
queuosplait	--|--|----|
e stes uos uenueci	-⌫---|--|----|-|
hagen tilscheualersm erci	-|---⌫---|--------|-⌫---|
purde uuos prie pur sonfi l	--|--⌫|--|--||--|--|--⌫|
que uosnemeiez	--|--|-||---|
p u rceosiieosuiciuenue	-⌫-⌫|--|-|--|--|-|----|
e nsi queieosu ipresdenue	-⌫--|--|--|--⌫|---|-|--|
ieon i pensaionquesf oli e	--|||-----|-----|-⌫---⌫|
nemaluaiste	-|--------|
neuilainie	-|-------|
i lnade lmonderien	-⌫||-|-⌫|----|---|
tan tdolentenet antch a i tiue	---⌫|------|-|-⌫--|--⌫-⌫-⌫---|
queieonesoiepl usdol ente	--|--|-|---|--⌫-|---⌫---|
riensqueieoai ne matalente	----|--|--|-|-||-------|
queon ques	--|--⌫---|
nuliour sanz malnefu i	--|---|---|--|-|--⌫|
queieoneuerrai	--|--|-|-----|
iame snuit	----⌫|---|
forssulement	---|-------|
celed anuit	---||----|
neiourforsceli	-|---|---|---|
encoismocciraide ma	-----||------|-|-|
de treiscentzcheualersede dis	-|----|----|--------||-|--|
dont cist chastealsesteitgarnis	---|---|--------|-----|-----|
nemestremi sq ue cin quante	-||--|----⌫|-⌫-|---⌫-----|
deuscen zedi smeins	---|---⌫||--⌫|----|
desessante	-|-------|
