#ME TA#TextURIErecF	---⌫--|------|----|
#META#DE AFh t tp//www.deaf-page.d e/ fr/bib l/b ib99e. php#ErecF	-----|--⌫-|-⌫-⌫-------------------⌫--⌫------⌫---⌫------⌫--------|
#META#TLErec	-----|-|---|
#MET A#FEW	----⌫-|--|
#META#ARLIMAhttps//www.a r li ma.net/ad/chretien_de_ tr o yes.html#ere	-----|-----|------------⌫-⌫--⌫----------------------⌫--⌫-⌫-----------|
#META# AuthorChrétiende Tr oye s	-----|-----|--------|-|--⌫---⌫|
# META#Author B or n1 130	-⌫----|------⌫-⌫--⌫|-⌫--|
#META#AuthorB ornAmbc	-----|-------⌫-----||
#META# AuthorDied 1180	-----|---------|---|
#META #Auth orDie dA mba	-----⌫|----⌫-----⌫--⌫-||
#META#AuthorFl1	-----|--------|
# META # AuthorFl2	-⌫----⌫|--------|
# META#TextTitle Ericet	-⌫----|--------|---|-|
#META# TextSubtitl e	-----|-----------⌫|
#ME TA#Textuols	---⌫--|-------|
#META# Text S ubi	-----|----⌫-⌫--|
#META #TextDoml it	-----⌫|------|-⌫-|
# META#Translation	-⌫----|----------|
#META#C ollection	-----|-⌫--------|
#M ETA#CollectionNo	--⌫---|-----------|
#META#Text DescARLuersoctosyllabiquesa ̀rim es	-----|----⌫------|---|--------------|-⌫|---⌫-|
#META#TextDescuers 8	-----|-----------||
#META# Tex tDa teARL117 0	-----|---⌫---⌫----|---⌫|
#META# TextDateAdi 1170	-----|----------|---|
#META#TextDateMin	-----|----------|
#META# TextDateMa x	-----|----------⌫|
# META#EdEditorFoerst erWendel in	-⌫----|-------|------⌫-|------⌫-|
#META#EdPlaceHall e	-----|------|----⌫|
#META# EdPub lisher	-----|-----⌫-----|
#META# Eduol	-----|----|
#META# EdYear	-----|-----|
#META# EdPages	-----|------|
#META#MsBaseH[ P8]	-----|-----|--⌫--|
#META # MsOther	-----⌫|------|
#META# MsNu m1 3	-----|----⌫|-⌫|
# META#M s Date ARL	-⌫----|-⌫-⌫----⌫--|
#META#MsDateAdi	-----|--------|
#META#For mu	-----|---⌫||
#META#Com pl ete true	-----|---⌫--⌫--|---|
#META#NoWords39059	-----|------|----|
#META# No Li nes 6 956	-----|--⌫--⌫--|-⌫--|
# META #DialAuth	-⌫----⌫|-------|
#META#Dial S cribe	-----|----⌫-⌫----|
#META #ScanURL	-----⌫|------|
Tant quil uindrent a un	---|-|-|-------||-|
M ou tbien	-⌫--⌫|---|
seantetfortetbel	----|-|---|-|--|
P armilaportea ntrent	-⌫---|-|----|-⌫-----|
totdr oit.	--|--⌫---|
E l ch astelmout gra n tioie auoit	-⌫|--⌫----|---|---⌫-⌫|---|----|
Decheualiers	-|---------|
etdepucele s	-|-|------⌫|
Carmoutania uoitde	--|---|-||-⌫---|-|
Li un peissoi entpar l es rues	-|-|-------⌫--|--|-⌫-|---|
Espreuiers etf au consdemues.	---------|-|-⌫--⌫---|-|----|
Etlia utreaportoientfors	-|-|-⌫---|---------|---|
T erciausosto rsmu etsors .	-⌫------|----⌫-|-|-|----⌫|
ie ue ntdautrepa rt	--⌫--⌫-||----|--⌫-|
Oualamine oua hasart	-||-|---|-||-----|
Cilase schasetcilastab les.	--|-|-⌫----|-|--|-|---⌫---|
Ligarçondeua ntcez estable s	-|------|----⌫-|--|-------⌫|
Torch e ntle scheuausetestrillent.	-----⌫-⌫-|--⌫|------|-|----------|
Lesdame s eschan b ress atillent.	--|----⌫|-|----⌫-⌫--||--------|
Des iloin gcome ilueniruoient	-|-⌫|----⌫|---|-|----|-----|
L e cheual ier quilconoissoient	-⌫|------⌫--|-|-|-----------|
Son nain e t sapuce leo soi	--|---|-⌫|-|----⌫-||--|
Ancont relui	------⌫-|--|
uonttroiettr oi.	---|---|-|--⌫--|
Tuitleconioentetsaluent	---|-|-------|-|------|
Mes contre Erecneserem uent	--|-----|---|-|-|---⌫---|
Quilnelec onoissoientpas.	-|-|-|-|-⌫----------|---|
Erecuasiuanttotlepas	---|-|-----|--|-|--|
Par lechastellecheualier	--|-|------|-|--------|
T an tque il le uitherb erg ier.	-⌫--⌫|--|-|-|--|----⌫---⌫---|
Quantiluit	----|-|--|
fu herbergiez	-|---------|
Formant an fuioianzet liez.	------|-|-|-----|-|----|
Un petites t	-|----|--⌫|
auantpassez	----|-----|
Et uitges ir sorun sdegrez	-|--|---⌫-|--|--⌫|-----|
U nuauassordauquesdeiorz	-⌫|-------||-----|-|---|
Mesm out estoitpo uresacorz.	--|-⌫--|-----|--⌫--|-|----|
Biaushones toitchenuzet blans	----|--|--⌫---|-----|-|----|
Debo n ei reiantis et frans.	-|--⌫|--⌫-|-----|-|-----|
I l uec e stoi ttozseusassis	-⌫-⌫--|-⌫----⌫|--|---|----|
Bienressanb loi tqu	---|-------⌫---⌫|-|
ilfustpansi s.	-|---|-----⌫-|
Erecpansaqu eiles toit	---|----|--⌫|-|--⌫---|
Pr eudon tost	--⌫----|---|
leherbergeroit.	-|------------|
Parmi lap orteantre anla co rt	----|-|-⌫---|----|-|-|--⌫-|
L iua uassorscontre licort.	-⌫|--⌫------|-----|-|----|
AinzquEr ecl ieüstdit	---|-|--⌫-|-⌫|----|--|
Li uauas sor s	-|-----⌫---⌫|
saluélot.	-----||--|
Biaus sire fetilbien ueigniez	----|---|--|-|---|-------|
Seomo iherbergierdeigniez	-||--⌫|---------|-------|
uezlostelapar elliéci.	--||----|----⌫-----|--|
Erecr espontuostr emerci	---|-⌫-----|-----⌫|----|
su ic ̧a uenuzpo r	--⌫|-⌫-|----|--⌫|
Mestier aianuitm esd ostel.	------|-|----|-⌫-||-----|
Lisir emeïsmes	-|---⌫|-------|
Parlaresneapréslui	--|-|----|-----|--|
Asonos tegrant enorfet.	|--|--⌫-|----|---|---|
Li uauassors	-|--------|
safa meapele	-|--⌫-|----|
fillequimout fubele	----|--|---|-|---|
Quia nun o ureorouro ient	--|-⌫|-|-⌫----|----⌫---|
Mesnesai quel	--|-|--|---|
oeurefei soient.	----|---⌫------|
an estforsissue	-|--|---|----|
Etsafille q u ifu uestue	-|-|----|-⌫-⌫|-|-----|
Dune chemise parp anzlee	|--|------|--|-⌫--|--|
D el iblanche	-⌫--⌫|------|
Unblancchainseot	-|----|------|-|
uestudessus	----|-----|
Nauoit robenemains ne	|----|---|-|----|-|
Mes tantestoitli chainses uiez	--|---|-----|-|-------|---|
Queascotes estoitperciez.	--|-|----|-----|-------|
Po ureestoitlarobedefors	--⌫--|-----|-|---|-----|
M esdessozestoitbia us li cors.	-⌫-|-----|-----|---⌫-|-|----|
MOUTestoit	---|-----|
lapucelei ante	-|-----|-⌫---|
Cartoteiotmi sesantante	--|---||-|--⌫-||------|
Naturequifaite lauoit .	-----|--|----||-----⌫|
Elemeïsme san estoit	--|------||-|-----|
Plus decinc çanz f oiz merue l liee	---|-|---|----|-⌫--|-----⌫-⌫---|
Comantunesolefoiiee	-----|--|---|-----|
Tan tbelec hos e feiresot	---⌫|---|-⌫---⌫|----|--|
Nepuistant penernesepot	-|---|---|----|-|-|--|
poï stsoness anpleire	----⌫-|--|---⌫-------|
Annuleguisec ont refeire .	-|---|----|-⌫---⌫-------⌫|
Decestitesmoingne	-|----|---------|
Quonques si belecreature	-|-----|-|---|-------|
Nefuueü eantot	-|-|----⌫|-|--|
Poruoir uos d iqu	--|---|--|-⌫|-|
Iseuzlablonde	----|-|-----|
N ot tantlescrin ssorsneluisanz	|-|---|--|----⌫|---|-|------|
Queace stinef u neanz.	--||--⌫--|-|-⌫|-----|
Pluso tq ue	---|-⌫|-⌫-|
nestlaflo rs	|--|-|---⌫-|
Cl eret blanclefront etle	--⌫-|-|----|-|----|-|-|
Sor labla nchorpar gra ntmeruoille	--|-|---⌫----|--|---⌫-|--------|
colorfre schee t	----|---⌫---|-⌫|
uer moi lle	---⌫---⌫--|
QueNat ure liotdone e	--|---⌫--|-|-|----⌫|
fac e anluminee.	---⌫|---------|
Lioelsi grantclarté randoient	-|--|-|----|------|--------|
Qued eusestoile sr essanblo i e nt.	--|-⌫--|-------⌫|-⌫--------⌫-⌫-⌫--|
Onq uesDeus nesotfeire	---⌫--|---|-|--|----|
Lenesl aboc he	-|--|-⌫|---⌫-|
nelesiauz.	-|--|----|
Quediroie desabiauté	--|-----|-|-|------|
celeparuerité	---|--|------|
feitep or e s g arde r	----|-⌫-|-⌫-⌫-⌫----⌫|
Quanl i se	-|-|-⌫|-|
poï stanmirer	----⌫-|-|----|
Aussicomeanunmireor .--	----|---|-|-|------⌫--|
Issue estoi t deloureor	----|-----⌫|-||-----|
Quante lelecheualieruoit	----|-⌫-|-|--------|---|
Qu e onquesmesueüna uoit	--⌫|-----|--|---||-⌫---|
Unpetitarriere sestut	-|----|------||----|
Por cequ elen elec onut.	--|-|-|--|-⌫|-|-⌫----|
uergoingneanotet	---------|-|-|-|
Erec dautrepart s esbas	---||----|---||----|
Quanta nlis igra nt b i auté uit	----|-⌫|-|-⌫|---⌫-|-⌫-⌫----|--|
E tliuauassorslidit	-⌫|-|--------|-|--|
Beledouce fille prenez	---|----|----|-----|
Ces t ch e ual.etsi lemen ez	---⌫|--⌫-⌫---|-|-|-|---⌫-|
Anceleest able a uueclesmiens .	-|---|---⌫---|-⌫---|--|-----⌫|
Gar dezqui lne li failleriens.	---⌫--|-|-⌫|-|-|-----|-----|
Ostez lilas eleetle	----|-|-|-⌫--|-|-|
Si lid onezauainneet fain.	-|-|-⌫---|------|-|----|
Conreez l ee t estrilliez	------|-⌫|-⌫|---------|
il soitbien aparelliez.	-|---|---|----------|
LApucelepran tlecheual	-|-----|----⌫|-|-----|
Silideslacelepeitra l	-|-|------|-|------⌫|
Lefr ainetl asel eli	-|--⌫--|-|-⌫|---⌫|-|
Or ali cheuausmou t	-||-|------|---⌫|
Moutbienet bels anantr emet.	---|---|-|--||-|----⌫----|
Elchiefunc h euoistr e li me t	-|----|-|-⌫-⌫-------⌫|-|--⌫|
Bien le torch eestrille et conroi e	---|-|-----⌫|-------|-|------⌫|
Ala mangeoire le loie	|-|--------|-|---|
Etsi li met fainetauain ne	-|-|-|--|---|-|-----⌫-|
De uantassez nouele	--⌫---|----|-----|
e ts ainne	-⌫|-⌫----|
Puis re uint	---|--⌫---|
a sonperearr i ere.	|--|---|---⌫-⌫---|
Cill idi st	--|-⌫|--⌫-|
Bele fillec hiere	---|----|-⌫----|
Pr enez parla ma i n	--⌫---|--|-|--⌫-⌫|
cestseig nor	---|----⌫--|
Siliportezmout	-|-|-----|---|
grantenor.	----|----|
Par la m ainlan men ez	--|-|-⌫--||-|---⌫-|
La pucele netarda	-|-----|-|----|
ne stoitmie uilainne	|-⌫----|--|-------|
Parlamainc o ntre mon tlanmai nn e.	--|-|---|-⌫-⌫---|---⌫||-|---⌫--⌫-|
estoit deuant alee	-----|-----|---|
Q ui lameison ota tornee.	-⌫-|-|-----|-|-⌫------|
Coutes porpoin teset tapiz	-----|-------⌫--|-|----|
Otesta nd uzdess orlesliz	-|----⌫--⌫-|----⌫-|--|--|
Ouil sesont	-|-|-|---|
assis tuitt roi	----|---|-⌫--|
Er ecet seso steslezsoi	--⌫-|-|--|-⌫---|--|--|
Etlapucel e dautre part .	-|-|-----⌫||----|----⌫|
Lefeus mout clerdeuantausart.	-|---|---|---|-----|--|---|
Liuauassorsseriantnauoit	-|--------|------||----|
F ors un tot seulquileseruoit	-⌫--|-|--|---|--|-|------|
Nechan berier ene	-|----⌫------⌫|-|
meschi ne.	------⌫--|
C il atornoit	-⌫-|-------|
anlacuisine	-|-|------|
P orle soperc har	-⌫-|-|----|-⌫--|
et oisiaus	-|------|
a to rner fumoutisnia us.	-⌫--⌫---|-|---|-----⌫--|
B ie n sotap are llierettost	-⌫--⌫|--|--⌫---⌫----|-|---|
charanesseuoisia us anrost.	---|-|----|-----⌫-|-|----|
Quantl emangierotatorné	----|-⌫|------|-|------|
an li o tcomandé	-|-|-⌫|-------|
L eue lordo n eadeus bacins.	|--|--|--⌫-⌫||---|------|
T ables etnapespains e tuins	-⌫----|-|----|----|-⌫|---|
Fu t ost ap ar elliez	-|-⌫--|--⌫--⌫-----|
ausoperass is .	-|----|---⌫--⌫|
T restot quanquemes tierslor	-⌫-----|------|---⌫----|--|
Ont aloru olantéeü.	--||--|-⌫------|---|
Quant aloreise	----||--|---|
orentsopé	----|----|
Etd es tablesfurent leué	-|-⌫-|-----|-----|----|
Erec mistsonos tea	---|---|--|--⌫-||
Quisireestoi tdel a meison.	--|---|-----⌫|-|-⌫|------|
Ditesmoibiaus	----|--|----|
ostesfet il	----|--|-|
Detantp oure robeet s i uil	-|---|-⌫---|---|-|-⌫|--|
Porquestuostr e fille	--|-|--|-----⌫|----|
Quit an tparest bele et	--|-⌫--⌫|--|--|---|-|
Biausamisfetliuauassors	----|---|--|-|--------|
Pouretezfetmal as plusors	-------|--|--|-|------|
Etau tressife teleamoi.	-|--⌫-----|--⌫|--||---|
M outmepoisequantiela uoi	-⌫--|-|----|----|-|-|--|
At orneesi p ouremant	--⌫----|-|-⌫-------|
Nen ai pooirque ie lamant.	-||-|----|--|-||-----|
Tantaiesté toz io rz	---|-|----|--|--⌫-|
T otean ai	-⌫--|-|-|
perduema terre	-----|-|----|
Etang agie ́eetuand ue.	-|---⌫----⌫-|-|----⌫--|
Etneporquantbienfust uest ue	-|---------|---|---|----⌫-|
Se sofris sequelepreï st	-|------⌫-|-|--|-----⌫-|
T ot ce quandoner li	-⌫-|-|-|-|----|-|
cestchastel	---|------|
Leüstuestuebien	|----|-----|---|
Et si li feïs t toz	-|-|-|-----⌫|--|
se sbuen s	--⌫|----⌫|
Queleestsa	-|--|--|-|
niec ee t il es t c ue ns	----⌫|-⌫|-|--⌫|-⌫--⌫-|
Ne nab ar onancestpaïs	-|||-⌫--⌫-|-|---|----|
Tan t soit ric hesnepoe stis	---⌫|---|---⌫--|-|---⌫---|
Qui n el eu ̈sta fame prise	--|-⌫||--⌫--||---|----|
uolantierstota madeuise	---------|--||-|-----|
Mesiatantan co rmell o rpoin t	--||----|--⌫--⌫|----⌫-⌫|----⌫|
Qu eDeusgreignorenorlid oint	--⌫|---|-------|---|-|-⌫---|
Qu eauanturec ̧aamain t	--⌫|-------|-⌫-|-----⌫|
Ou roi ouconte quil an maint.	-|--|-|----|--||-|-----|
Ad onssozc ielne roi neconte	|-⌫--|--|-⌫--|-|--|-|----|
Qui e üstdema fil l ehont e	--|-⌫---|-|-|---⌫-⌫|----⌫|
Qui tant par	--|---|--|
meruoi lle	------⌫--|
Qu an nep uet	-|-|-|-⌫--|
trouersa paroille	-----|-|-------|
Moutest belemesmiauzassez	---|--|---|--|----|----|
u aut se ssauoirsq uesa	-⌫--|--⌫|------|-⌫-|-|
Onqu es Deusne	----⌫-|---|-|
f ist rientants age	-⌫--|---|---|-⌫--|
Ne qui tantfustdefranc corage.	-|--|---|---|-|----|------|
Quant iea idelezmoi	----|-|-⌫|----|--|
Totlemontne prisunebille.	--|-|---|-|---|--|-----|
Cestmesdeduiz cestm esd ep or z	|--|--|-----||--|-⌫-|-⌫--⌫--⌫|
Ce st messolaz	|-⌫-|--|----|
cestm es co nforz	|--|-⌫-|--⌫----|
mesauoirsc est mestre sorz.	--|-----||--|--|---⌫----|
aimtantr iencome	--|---|-⌫--|---|
QUANTErecotto tes c ou té	----|---|-|--⌫|--⌫-⌫--⌫--|
Q uanque sesos tes aconte ́	-⌫-----|--|--⌫--||-----⌫|
Silidemande quillidie	-|-|------|-|-|-|--|
do ntestoit	--⌫-|-----|
teuscheu alerie	---|----⌫-----|
cestchastel estoitu enu e	---|------|-----|-⌫---⌫|
Qu i lniauoi tsi pourerue	-|-⌫|||----⌫|-|----|--|
N efustplainnede cheualiers	-⌫|---|------|-|---------|
Etdedames et d	-|-|----|-||
No steltantpour ene	|-⌫---|---|----⌫|-|
Etli uaua ssors li a dit	-|-|----⌫----|-||--|
Biausamisce sont	----|---|-|---|
Decestpaïscianuiron	-|---|----|-|------|
Ettuitliiuene	-|---|-|----|
etliche nu	-|-|---⌫-|
Aunefestesontuenu	|--|----|---|---|
Qui ancest	--|-|---|
ch a steliert demai n	--⌫-⌫---|---|-----⌫|
Porcesontli o stelsiplain.	--|-|---|-|-⌫---|-|-----|
au rademaing ran t b ruit	--⌫-|-----|-⌫---⌫|-⌫---|
Quantilseront assanblétuit	----|-|-----|--------|---|
C ar deuanttres totel a iant	-⌫-|-----|----⌫---|-⌫|---|
Ier tsorune pe rch ed	---⌫|--|--|--⌫---⌫||
Unsespreuiersmoutbiaus assis	--|---------|---|----|----|
Oudecincmues o ude sis	-|-|---|---|-⌫|-|--|
Limiaudrequ	-|------|-|
Quilespreuieru oudraauoir	--||--------|-⌫----|----|
Auoirlicouand raamie	----|-|------⌫-|---|
Beleet sa g e sanz	---|-|--⌫-⌫|---|
Sil iache ualier tantos	|-|||---⌫-----|---|-|
Quiuuel le le priset	--|----⌫-|-|---|-|
plusbelede sre snier	---|---|--⌫---⌫----|
S amie feral espreu ier	|---|---||------⌫--|
Deuant toz	-----|--|
a lap ercheprandr e	|-|-⌫----|------⌫|
Sautr eneli osedeff an dre.	|----⌫|-|-|--|----⌫--⌫---|
Ice stecostumemaint iene nt	---⌫--|------|-----⌫----⌫-|
c hascun aniu ienent	-⌫-----|-||-⌫-----|
Ap r e ́s lid it Erec	--⌫-⌫-⌫-|-|-⌫-|---|
Bi ausoste sn euos enuit	--⌫--|----⌫|-⌫|--|----|
Mesditesm oise u ossauez	--|----|-⌫-|-|-⌫-|----|
Quiest l i cheualiers ar mez	--|--|-⌫|---------|--⌫--|
ar mes dazuretdor	--⌫--||---|-||-|
cideuantpassa or	-|-----|----|-|
L ezl ui une	-⌫-|-⌫-|--|
pucelecointe	-----|-----|
Quimoutpre sde	--|---|---⌫|-|
luiest oitiointe	--|---⌫--|-----|
Etde uan taus un nain boçu .	-|--⌫---⌫|--|-|---|-----⌫|
Lors aliostes respondu	---||-|----|-------|
Cest c ilq uia ura	|--|-⌫-|-⌫-|-⌫--|
lesp reui er	|---⌫----⌫-|
San zcontreditdecheualier.	---⌫|--------|-|---------|
Necuit quenusauant	-|---|--|--|----|
Ian iaura neco pneplaie.	-|||---|-|--⌫|-|-----|
Pa rdeuxanzlail i aeü	--⌫|---|--|||-|-⌫|--|
Qu onqueschala n gi ez ne l ifu	-|-----|-----⌫-⌫--⌫-|-|-⌫|-|
ilancoreoanla	-|-----|--|||
Atoziorzdesresniél	|--|---|---------||
Iamesnie rtanzqueilne l	-|--||--⌫-|--|--|-|-||
Quite sa nzba t ailleetsanz plet.	----|--⌫-|--⌫-⌫----|-|---|----|
Erecresponteneslepas	---|------|--------|
Celcheualierie nel aimpas.	--|--------|-|-||--|---|
Sach iezse iearm es auoie	----⌫--|-|-|---⌫-|----|
Le spreuier licha l angero i e.	|-⌫-------|-|---⌫-⌫------⌫-⌫-|
B iausostesparuost refranchis e	-⌫---|----|--|----⌫-|--------⌫|
Par guerredon etparserui se	--|--------|-|--|-----⌫-|
uospri que uosm ec o nselliez	--|--|--|--|-⌫|-⌫-⌫-------|
Tan t queiesoi eap arelliez	---⌫|--|-|---⌫|--⌫-------|
a rmesuiezounoueles	-⌫---|---|-|------|
Nemechautou	-|-|----|-|
l ei desoubeles.	-⌫--⌫--|-|-----|
Etcili respontcome fran s	-|-|-|------|---|----⌫|
Ia mar anser oizan	-|--|-|---⌫--|-|
Armes buenes	----|-----|
et belesai	-|----|-|
Queuo l a ntiersuos	--|--⌫-⌫-⌫-----|--|
pre sterai.	---⌫------|
li hauberstr esliz	-|------|--⌫----|
Quiantrecin cc ̧ anzfu esliz.	--|----|---⌫|-⌫-⌫--|-|-----|
Ch au cesaimout	--⌫--⌫--|-|---|
buen esetchieres	----⌫-|-|------|
C l e res e tbelesetlegieres.	-⌫-⌫-⌫--|-⌫|----|-|--------|
Lihiaume ses tetb r un setbiaus	-|------⌫|--⌫|-|-⌫-⌫--⌫|-|----|
E tliescuz	-⌫|-|----|
fresetnoui aus.	---|-|----⌫---|
Lecheuallespe eet	-|-----||----⌫|-|
T otuos p re stera isanz dotance	-⌫-|--|-⌫--⌫-----⌫|---|------|
Q ue iarie nsnan s eraa	-⌫-|-|---⌫-||-|-⌫--||
Lauostrem erci bia usd ouz	-|-----|-⌫---|---⌫-|-⌫--|
M esiene qu i ermellor espee	-⌫-|-|-|--⌫-⌫-|-----|----|
Quecelequeiaiaportee	--|---|--||-|------|
Ne cheualau t requelemie n	-|-----|--⌫-⌫-|--|-|---⌫|
Deceluim eideraiie	-|----||------|-|
sorep lusmepre stez	-----⌫--|-|---⌫---|
q ueciertmou tgranzbontez.	-⌫-||---|---⌫|----|------|
Mes an coru osuuelquer re	--|--⌫--|-⌫-|---|----⌫-|
randrai guerredon	------|--------|
S e Deusdone queie	-⌫|---|---|--|-|
man a ille	|-|-⌫---|
Ato t lenorde	---⌫||---|-|
la bataille.	-|--------|
Etcil lirespont franch emant	-|--|-|------|------⌫----|
De man de z to t seürem en t	--⌫---⌫--⌫|--⌫|-------⌫--⌫|
uostrep leisir coman tq u ilaut	-----|-⌫-----|-----⌫|-⌫|-|--|
Riensquei e aien e uos f aut.	----|--|-⌫|--|-⌫|--|-⌫---|
LorsdistErecque lespreuier	---|---|---|--||--------|
uiautparsa	----|--|-|
filledesresn ier	----|-------⌫--|
uoir niaura pucele	---|||---|-----|
Qu ilaçantismepartsoit	--⌫|-|--------|---|---|
E tse il auu ecluilanmainne	-⌫|-|-|---⌫-|--||-|-----|
Reison auradr oiteet certainne	-----|---|--⌫---|-|--------|
Dedes re snieret	-|---⌫--⌫----|-|
demos tre r	-|---⌫---⌫|
a ndoitle spre u ierpo rter.	-⌫|---||-⌫----⌫-⌫--|--⌫----|
Puisdis tS ir euosne sa uez	---|---⌫|-⌫--⌫|--|-|--⌫--|
Quelosteh erbergiéauez	---|---|-⌫--------|---|
Dequel afeire et dequeli an t.	-|---|-----|-|-|---|-⌫--⌫-|
dunricheroipu issan t	|-|----|--|--⌫-----⌫|
Mes p er eli roisLaca non	--|-⌫--⌫|-|---|--||--|
E recmapelent liBret on.	-⌫--||------|-|----⌫--|
cortalroi Ar tu sui	---|-|--|--⌫-|--|
este ́troisanzalui .	----⌫|----|--||---⌫|
Iene sa i san cesteco ntr e e	-|-|--⌫||-|----|--⌫---⌫-⌫|
uin t onquesnul erenomee	---⌫|-----|---⌫|------|
Ne demonperene de moi	-|-|--|---|-|-|--|
Mes i euos promet etotroi	--|-⌫|--|-----|-|----|
Seuosd arm esm	-|--||---⌫-||
a parell iez	-⌫------⌫--|
Etuostref ill eme	-|-----|-⌫---⌫|-|
Demaina le spre uier	-----|||-⌫----⌫---|
conque rre	------⌫--|
Queie l an	--|-||-|
man ra ianmaterre	---⌫--⌫|-|-|----|
S eDeuslauictoiremedone	-⌫|---|-|-------|-|---|
feraiporter corone	----|-----|-----|
Si ertreïnede trois	|-⌫--|-----|-|----|
Ha biaussire est	-|----|---|--|
QuErecl ifiz	-|---|-⌫|--|
Lac es t esuo s	--|--⌫-⌫-|--⌫|
C esuiiefetil a es tros .	-⌫|--|-|--|-||--⌫----⌫|
Liostesmout	-|----|---|
s anesioï	|-|-----|
EtdistBien	-|---|---|
auomes oï	-----|--|
Deuos par ler	-|--|---⌫--|
ancestpaïs.	-|---|-----|
Or uosa im as sez plus	-|--|-⌫-|--⌫--|---|
C armou test espreuzet hardiz.	-⌫-|---⌫|---⌫-|----|-|------|
Iademoiniroiz escondiz	-|-|--||----|-------|
Tota u ostreco mandemant	--||-⌫----|--⌫--------|
Mabel e fille uosp resant.	-|---⌫|----|--|-⌫------|
Maintenantlapristp arlepoin g.	---------|-|----|-⌫-|-|----⌫-|
Tenezfet ilielauosdoing .	----|--|-|-|-|--|-----⌫|
Ereclieem ant larec ̧ut.	---|-----⌫--|-|---⌫---|
quanquilliestu t.	-----|-|-|----⌫-|
Grantioiefont tuit p arleanz	----|---|---|---|-⌫-|----|
Moutanest li	---|-|--|-|
p erei oian z	-⌫--|-⌫----⌫|
Etlamereplo rede	-|-|---|---⌫-|-|
La puce lesist	-|----⌫-|---|
Mes mou testo it ioia nzetliee	--|---⌫|----⌫-|----⌫-|-|---|
queli iereotroi iee	--|-|---|-----⌫--|
Porcequepreuziereetcortoi s	--|-|--|----|---|-|------⌫|
Etbie nsauoit qu il	-|---⌫|-----|-|-|
seroitro is	-----|--⌫-|
meïsme enoree	------|-----|
Ri cher eïne coronee.	--⌫--|-⌫----|-------|
Mo ut orentcelenuituellié	--⌫-|----|---|---|------|
Li litfurentapa r ellié	-|--|-----|---⌫-⌫-----|
drasetdecoutes	---|-|-|-----|
Ata ntfa il l irentlesparole s	|--⌫-|--⌫--⌫-⌫----|--|------⌫|
Lieeman tseuontcouchier	-------⌫|-|---|-------|
Erecdor mipo cele	---|---⌫-|-|---|
Lande m a inluésque l aubecrieue	|----⌫-⌫-⌫-|----|--||---|-----|
Isnelemantettost se	---------|-|---|-|
Etses ostes	-|--|----|
ans anbleo lu i.	---⌫----||--⌫-|
Aumo stier	-|--⌫----|
uontorerandui	---|---|----|
Etfiren t des ai nt	-|-----⌫|-|-⌫--⌫-|
Mes sechante raun	---⌫-|------⌫||-|
L ofrande noblier entmie.	|------||------⌫--|---|
Quant ilo rent	----|-|-⌫---|
lam esse oïe	-|-⌫---|---|
Andui anclinenta l au tel	----|--------|||--⌫--|
anre peirenta	-|--⌫------||
Er ectard a	--⌫-|----⌫|
moutla bataille	---|-|-------|
Le sarmes quiertetlan	--⌫|----|-----|-||-|
li b aille.	-|-⌫-----|
La pucele meïsmelar me	-|-----|------||--⌫-|
niot f etcharaie	||-|-⌫-|------|
Lacelil es ch auces defer	---|-|-⌫-|--⌫----|-|--|
Et queustac orroie	-|-----||-⌫-----|
Hauberc li uest debuen emai lle	------|-|---|-|----⌫|---⌫--|
Ets ilila celauantaille.	-|-⌫|-|--⌫-|-|---------|
Le hi aumebr un	-|--⌫---|--⌫-|
limet elchief	-|--|-|----|
Mout larmebien	---||---|---|
dechiefanchie f.	-|----|-|----⌫-|
Au costélespee	-|-----||----|
Puis comande qua nli	---|------|-|-⌫|-|
Son cheual	--|-----|
Susestsaill izdeterre	--|--|-----⌫-|-|----|
Lapuce le aporte lescu	-|----⌫-|-----||---|
Et lala n cequiro ide fu	-|-|--⌫-⌫-|--|--⌫--|-|
Lescu lib a illeetil le prant	|---|-|-⌫-⌫---|-|-|-|----|
Parla guigeasonlecollepant.	--|-|----||--|-|--|-|----|
lira el poingmise	-|-|-|----|---|
Cil l adeuerslare stue l pri se.	--|||-----||---⌫----⌫|---⌫--|
Puisdistauuauassorian til	---|---|-|-------|---⌫--|
Biaussiresil	----|---||-|
uos plestfetil	--|----|--|-|
Fei tesuos t ref ille atorner	---⌫--|---⌫-⌫-|-⌫---|------|
esp reuierlanuuel mene r	---⌫-----||-|---|----⌫|
Siconuosm auezcouenant.	-|--|--||---|--------|
Liuauassorsfist	-|--------|---|
maintenant	---------|
Anse ler unpalefroi	----⌫--|-|-------|
Onques nele mist andelai.	-----|-|-|---|-|-----|
Del her noisaparl er	--|---⌫---||----⌫-|
Carlagranzpoureteznelet	--|-|----|-------|-|--|
uauassorses toitpla ins.	--------|--⌫---|---⌫---|
Lasele fumise	-|---|-|---|
etlifrai ns.	-|-|----⌫--|
D eslieeetd esafub lee	-⌫-----|-|-⌫------⌫--|
puce le susmontee	----⌫-|--|-----|
Quide rienne s anfi st proiier.	--|-|---|-||-|--⌫-|-------|
Erecniuostplu sdelaiier	---|||---|---⌫|-------|
u adele zlui ancoste	-⌫|----⌫|--|-|----|
Anmain n ela	-|----⌫-⌫|-|
fil lesonost e.	---⌫-|--|---⌫-|
