anceltans quelimostier	-|--|---|--|-|------|
quara la lies c e dechosesterrienesest e ss ambleetote	---||-|----⌫-⌫|-|-----|--------|--|-⌫--⌫-----|---|
do lo rsquarlorrichescessi sunt siso ufrai t ouseset	--⌫--⌫-|---|--|--------|-|---|-|--⌫-----⌫-⌫----|-|
lo rautesces la	--⌫|-------|-|
tre s grantsubiection.	---⌫|----|---------||
poroittouz le smau s reconterne que dammesdeuins les	-----|---|--⌫|---⌫|-------|--⌫---⌫--|--|-----|--|
ensegneporasezco intesparoles quildist	------|--|---|--⌫----|------|-|-|---|
touz li mondesc edi ste stmaluais	---|-|-----|-⌫|--⌫-|-⌫-|------|
cartotes leschos e squ isonto u mo nde	--|----|--|----⌫-⌫|--⌫|---|-⌫|--⌫--|
sontcouoit i se	---|------⌫-⌫-|
dela cha ret cil	-|-|---⌫|-|--|
la ueluntededeuuiurai pa rdurabl ement .	-|------|-|--|-----|--⌫-------⌫----||
roys por la ueluntede de u plus parfect ement	---|--|-|------|-|--⌫|---|-------⌫----|
aem plirhaiiedeguerpi totesterrieneschosesetme	---⌫---|--|-|-------|----|--------|-----|-|-|
suis acompeigniezatex qui deu aim mentet	---|-----------||--|--|--|---⌫---|-|
fontsauelunte.	---|-|------||
ces tienge	--|---|-|
aparanzetaf rereset	|-----|-||-⌫----|-|
aami set mesui seloigniezdece s	|---⌫|-|-|---⌫|--------|-|--⌫|
qu iiadisfurentmiami .	--⌫|----|-----|-|--||
ienedimie queie	-|-|-|--|--|-|
namassemontlorc ompaignie parsiqui seruisent	|-----|---|--|-⌫--------|--|-|-||--------|
loucr iatourmespu esq uil nelou ueilent	--|--⌫-----|--|--⌫---⌫|-|-|--|------|
seruir ieuoilmi e lzqu	-----|-|---|--⌫-⌫-|-|
ils eperdent senzmoiquauocm oi.	-|-⌫|------|---|--|-|---|-⌫-||
quantli seins honsoutces chosesditessi fu	----|-|----|---|--|--|-----|----|-|-|
liroys s ie scommeuzdi re et	-|---|-⌫|-⌫-------||-⌫-|-|
demaulta lantquileu st granttelant	-|------⌫---|-|-|--⌫-|----|-----|
de lut ormanter	-|-|-⌫-------|
s i nel ais a stpor enoretp or	-⌫|-|-⌫---⌫-⌫-|--|---|-|-⌫-|
lanobiliteou	-|-------|-|
auoitueu .	----|--||
lorssilidis t	---|-|-|---⌫|
laschatis en	--|-----|-|
tantdemani erestesore siu giezq ui	---|-|----⌫---||-|---⌫|--⌫---|-⌫-|
guard euoudroitpandre atoutes t e sfolesparoles	-----⌫|-------|-----||-----|-⌫-⌫|----|------|
mesespoir tuesen	--|-----|-|-|-|
ceste desueri e	----|-------⌫|
cheuz poraucu neaue nture	----|--|----⌫-|---⌫----|
quege nesa m iecar	--|-|-|-|-⌫-|--|
il semble q uetuaies	-|-----|-⌫-|-|---|
la lang ue agusie por	-|----⌫-|-----|--|
m oi con t raliere t fair e	-⌫-|---⌫-⌫-----|-⌫|----⌫|
ent endrecesfablesue i nnesetmaluaises	---⌫----|--|-----|--⌫-⌫---|-|--------|
m es seie n	-⌫-|-|-||
euse auc onmencema ntdet araison p romisque	---|-|-⌫---------⌫-|-|-⌫|-----|-⌫----|--|
geestero ie demoiireiete	-|------⌫-|-|--|--|-|-|
feisseorandroitaardoir	-----|--------|------|
mespuesque ensintestqueiet	--|------|-----|--|--|-||
ai outro ié ilme	-|-----⌫--|-|-|
couient ores soffrirt anuai eetpo rce	------|---|------||-----⌫|-|--⌫|-|
meism esque ie	-----⌫-|--|-|
tantamé caiener riers.	---|---|--|-|--⌫----||
tan fu dema ter resi	|-|-|-|-|---⌫-|-|
quegemesne teuo iecar	--|-|--|-|-|--⌫-|--|
se tuesiemes trouezge teferaimorirde	-|-|-|----|-----|-|-|----|----|-|
atantsa nalali seinzhons el	----||-⌫|--|-|----|---|-|
de ssermon t t ristesdece	--⌫---|---⌫|-⌫-----|-|-|
euoit soufert.	----|------||
etencores oufritil chascu ni or	-|-----|-⌫-----|-|------⌫|-⌫-|
martyreensaconsciancecontrelespoest esetles	------|-|-|---------|-----|--|-----⌫-|-|--|
p rinces deten eb res.	-⌫-----|-|---⌫--⌫--||
etporceschoses f u li roys plusqu erociezuers	-|--|--|-----|-⌫|-|---|---|--⌫------|---|
lescre stieinsnomeemant uerslesmoyne squ iln euoit	--|---⌫------|--------|---|--|-----⌫|-|-||----|
on quesmesest éet plusen fist	--⌫---|--|---⌫-|-|---|-|---|
eno re rle sydoleset	---⌫--⌫|--⌫|-----|-|
leseuesquexdestamp les.	--|-------|--|----⌫--||
ansintcom me	-----|---⌫-|
c esteerro ret en	-⌫---|----⌫|-|-|
ces tenicit e	---⌫-|-----⌫|
siauintqu il outzz t resb iaulfil si	-|----|-|-|--|-|-⌫--|-⌫---|--|-|
que tucil quil o	--|-|--|--|-⌫|
uo ioient dis oie ntq ueonques nauoientu eusi	--⌫-----|---⌫---⌫-|-⌫-|-----||------|-⌫-|-|
belanf a nt ne siplesant .	--|---⌫-⌫-|-|-|------||
liroysanout	-|---|-|--|
teilioieq uilli	---|---|-⌫|-|-|
estoitbienauis	-----|---|---|
que r ie ns n epouroitqu oro ucier .	--|-⌫--⌫-|-⌫|------|--⌫---⌫----||
etfist lanf antapeler	-|---||---⌫--|-----|
iosaphat et puissen	-------|-|---||-|
alaiautampl e desydolespour	---|-|-----⌫|--|-----|---|
sa crifiercommecilquin e	--⌫------|----|--|--|-⌫|
q uenoissoitmi eceluquil anf antli auoitdoné	-⌫---------|--⌫|---|--||---⌫--|-|----|----|
a quiildeustoff rir sacrifice	|--|-|----|---⌫--|--------|
e sperite l.	-⌫-------⌫||
ein z entandilesmerci z	---⌫|------|--|-----⌫|
sor des et mu eset c omman daique	---⌫--|-|--⌫-|-|-⌫-----⌫--|--|
desat erreu enis sentsacrifier	-|-|-⌫---|-⌫----⌫---|--------|
por la ioie de la nfant	--|-|---|-||-⌫----|
il fistasa mblersigrant pue plequil	-|---|---⌫----|-|----|---⌫--|-|-|
n enestoitnus	|-|-----|--|
nonbre rquituit aporterent	------⌫|--|---|---------|
diue rses m anieresdes acre fi ces li unstoriausl iautre smoutons	----⌫---|-⌫------|-|-⌫----⌫--⌫--|-|--|------|-⌫|-----⌫|------|
chascunssel o nccequ il e stoit	-------|---⌫-⌫-|-|-|-|-⌫----|
ore nt tu istsacrificéetlaco r zq ue	---⌫-|--⌫--|---------|-|-|--⌫-⌫|-⌫-|
liroy s au oisttenue mont grant dustdepar tirsi	-|---⌫|--⌫---|----|---|----|---|-----⌫--|-|
n io utonque sne hau tnebas	||-⌫-|-----⌫|-|---⌫|-|--|
ne petitne	-|----|-|
grantqu e liroys lidonast	----|--⌫|-|---|-|-----|
biauldonachasc unselonccequilestoit	----|--||-----⌫-|-----|-|-|-|-----|
e ntrelesautresquia celefesteau oientestési	-⌫---|--|-----|--||---|----|--⌫----|----|-|
a uoirant oryy	-⌫---|---⌫-|-|
tuitsauoientdastronomieet	---|-------||---------|-|
li roys uin taeuset lorconmanda et	-|---|---⌫||--|-|--|-------|-|
pria quechascunsdeistso naui sde	---|--|-------|----|--⌫|---⌫|-|
lenfant quinezestoitqu ex	|-----|--|--|-----|--⌫-|
h onsilseroitet que l uie ilmanroit	-⌫--|-|-----|-|---⌫|--|-|------|
qua ntchascunsout ancerchié cequil	---⌫-|-------|--|---------|-|-|-|
anpou t sa uoir	-|---⌫|--⌫---|
porforc ed astr o n omie	--|----⌫||----⌫-⌫-⌫---|
siuindrentau	-|-------|-|
si lidistrent	-|-|-------|
queli anfesquinezestoit s er oit	--|-|----|--|--|-----|-⌫--⌫--|
g ranzanric h escesetem poissa ncee tq ui ltrespasseroit	-⌫---|-|---⌫-⌫----|-|-|------⌫--|-⌫|-⌫|-⌫|------------|
touzlesroys	---|--|---|
quideuant luiauoi entest é.	--|-----|--|----⌫--|---⌫-||
li un sd esastrono mieinsliplussaige sde	-|--⌫|-⌫-|-------⌫-----|-|---|-----⌫|-|
touz distauroysi com mefor ce	---|---|-|--|-|---⌫-|---⌫-|
dastr onomie	|----⌫-----|
etlicou rsdeses t oilesmensegne	-|-|---⌫-|--|--⌫-⌫----||------|
lia nfesquinezn e seraimieantonregn e	-|-⌫---|--|--|-⌫|----|--|-|--|----⌫|
ta nt melordo u	--⌫-|----|--⌫|
t uenq ue nusnep ou roit deuiser .	-⌫--|-⌫-|--|-|-⌫--⌫---|------||
etsi c ust bien	-|-|-⌫--|---|
q ui l r eceur aice le r eligi on	-⌫|-⌫|-⌫-----⌫-|--⌫-|-⌫-----⌫-|
descre stieins q ue tuastouz iors	--|---⌫------|-⌫-|-|-|---|---|
ice schoses distli	---⌫|-----|---|-|
ast ronomi einsaur oy ausiconme fist ia disbalaam nonmie	---⌫------⌫---|-|-⌫-|---|----|---|--⌫--|-----|--|--|
porueraieastronomiemes laueluntezde	--|-----|---------|--|-|-------|-|
nostresegnorqui ansintdemo str eporses	-----|-----|--|-----|----⌫---⌫|--|--|
aduersaire smeinzbiens q uisu nta auenir	----------⌫|----|----|-⌫-|--⌫-||-----|
porcouqu eli mauluaixaient	--|--|--⌫|-|-------|----|
moin s descu sationde ce	----⌫||----⌫-----|-|-|
quilnef ontlo ub ienpuisq uilmeisme	-|-|-|-⌫--|--⌫|-⌫--|-----⌫|-|-----|
louprofe cient.	--|-----⌫----||
parolesmeismes	------|------|
fuliroysm ontq uorociez et mont	-|-|---|-⌫--|-⌫-------|-|---|
tristes etporlapaour	------|-|--|-|----|
quilan n o ut	-|-|-||-⌫-|
fis tdehorscele c itefe reun montriche	---⌫|-----|---|-⌫--|--⌫-|-|---|----|
pela iseti f istfaire	----⌫-|-||-⌫--|----|
chembre s mout bele s e tilequesf istmetrel	-------⌫|---|----⌫|-⌫|------|-⌫--|----||
en fan tet norir.	--⌫---⌫|-|----||
e tquan til s outaleret	-⌫|----⌫|-|-⌫--|---|-|
pale retentendre	----⌫|-|-------|
baillamin istreset serganzpo r	-----|---⌫-----|-|------|--⌫|
luigarderetserui r	--|-----|-|-----⌫|
lor conmandasichierconilauoientlor	--|-------|-|----|--|-|------|--|
corsqu ilgardesi e ntl an fant s ipresqu	---|-|-|-------⌫-⌫-||--⌫---|-⌫|---|-|
il noist ia	-||---|-|
neneueist an cestsiecle chose	-|-|----|-|---|-----|----|
que corocier loupeust	--|-------|--|----|
oist iapa rler dem ort ned euiellene de	---|-|--⌫---|-|-⌫--|-|-⌫|-----|-|-|
maladienepourete ne dautre	------|-|------|-||----|
s aliesceterrienne	-⌫|-----|--------|
amenu sier et qu i l	-----⌫---|-|-|-⌫|
li meissent au d euant t oteschoses	-|-------|-|-⌫----|-⌫---|-----|
plais a nze t delitaubles	-----⌫-⌫-|-⌫|----------|
siquep arce perdistl epanseedescho ses	-|--|-⌫-|-|------|-⌫|-----|--|---⌫--|
qui sont aauenir.	--|---||-----||
totesau treschoseslorco mmandai quilnoi stde l	----|--⌫---|-----|--|--⌫------|-|-||--⌫-|--⌫|
nonihesuchristpa rlerc arde	--|----|-----|--⌫---|-⌫-|-|
c e estoitil	-⌫|-----|-|
plusendoute qued autreschoses	---|-|----|--||-----|-----|
portantque	--|---|--|
liastronomieins l e nauoitdi st.	-|------------||-⌫|----|--⌫-||
conmandaiancore s	--------|------⌫|
liroysqueseauc unsdes se rga nsch eo it	-|---|--|-|---⌫--|--|--⌫---⌫-|--⌫--⌫-|
en nulemanierede	-|---|------|-|
maladieq ue cilan	------|-⌫-|--|-|
fu tlor s ostezet	--⌫|---⌫|----|-|
q ueun sa u tressein se th aistiezifust remis	-⌫-|--⌫|-⌫-⌫---|----⌫|-⌫|-⌫------||---|----|
ens onleuporcequ ea	-|-⌫-|--|--|-|--⌫||
iosaphat nefust	-------|-|---|
leuanitez deceste fr ailleuiedescouerte	-|------|-|----|--⌫----|--|---------|
ensintordena ili roys afere	-----|------⌫|-|---||---|
uea nzneueoit pas	---⌫-|-|----|--|
ne lioianznentendoit	-|-|----||--------|
apres ces chose s oyli	----|--|-----⌫|-|-|
roysparle r de cresti ainsqui estoien tan	---|-----⌫|-|------⌫---|--|-------⌫|-|
saterredon il cudaiqu	-|----|--|-|----|-|
ilnieustnulremes .	-|||---|--|----||
silesfit touz	-|--|--|---|
d estr u i re et occirreasonpouoiret si	-⌫----⌫-⌫-⌫-|-|------||--|-----|-|-|
anu oia sesl etresatouzsesbailliz desaterre	---⌫--|--|-⌫----||---|--|------|-|-|----|
e t s i conmandaquetotesa	-⌫|-⌫|-------|--|---|-|
terre fustdedan zle s yy	----|---|-----⌫|--⌫|-|
iorzqu il auoien tses	---|-|-|------⌫|--|
letresueues fust deliureedetouz les crestiains	-----|----|---|-------|-|---|--|---------|
nulaprescesyy iorz quilfus t lors	--|----|--|-|---|-|-|---⌫|---|
occiset ars.	----|-|--||
antre ces choses	----|--|-----|
au intune auantureporquoili roysfu plus	--⌫--|--|-------|--|---|-|---|-|---|
co rrouci ezuer s	--⌫------⌫-|---⌫|
les crest ieins quiln	--|-----⌫----|-|-||
auoitonques	----|-----|
me sesté car liu nsde s es	--⌫|----|--|-|-⌫-|-|-⌫-|
baronscilquipluse stoit amezet	-----|--|--|---|-⌫----|---|-|
pr i uezdel u iamoit etdoutoitnostresegnori hesucrist	--⌫-⌫--|-|-⌫-⌫|----|-|------|-----|-----|-⌫---|----|
etmont dessieroit	-|---|---------|
ses c onmandemanz mesquouertem antlefa coitporla paour	--|-⌫----------|--|---------⌫--|-|--⌫---|--|-|----|
il a uint que liroysal aun	-|-⌫---|--|-|---|--⌫|-|
ior enboischaci er etme nai au ocluise schaceors	--|-|---|-----⌫-|-|--⌫--|--⌫-|--|--⌫|-------|
etcepr odomedo nge uosai	-|-|--⌫----|--⌫|-|--|-|
s icommecil	-⌫|----|--|
prodomeestoit porlauel untenostre segnordep artizdesa	------|-----|--|-|---⌫---|-----|-----|---⌫----|-|-|
c ompaignieet cheuauchoittouzsousparloub oi ssi	-⌫--------|-|----------|---|---|--|--|-⌫--⌫|-|
trouai en l	-----|-||
espox de la	----|-|-|
for es t unpourehom e gi sant	---⌫--⌫|-|----|---⌫|--⌫---|
queunebeste au oit b leciéel	--|--|----|--⌫--|-⌫-----|-|
poure s honsuis t cel upas serpor	-----⌫|---|---⌫|---⌫|---⌫--|--|
de uantluysilipri aipor de u qu il	--⌫---|--|-|-|---⌫-|--|--⌫|-|-|
sar estatet qu	|--⌫----|-|-|
il eust mercideluiet p itiedesa mes s aise	-|---|----|-|--|-|-⌫---|-|-|---⌫-⌫---|
et qu illo u po rtast	-|-|-|--⌫|--⌫----|
a nsamaiso n .	-⌫|-|-----⌫||
etsilidistquebien seustil ques	-|-|-|---|--|---|----|-|--||
ille fasoi t l en auen droitancore.	-|-|-----⌫||-|----⌫----|-----||
li p rodo ns lirespo ndigetemanraian	-|-⌫----⌫-|-|-----⌫--|-|-|-----|-|
ta m a ison etsi te troueuera icequeme stierste	-|-⌫-⌫---|-|-|-|---------⌫|-|--|--⌫-----|-|
di quelbiensme pouroit uenirdet oi.	-|---|----|-|------|----|-|-⌫-||
li pouureslirespondie tdistie suisuns	-|------|-|-------|-⌫|---|-|---|--|
hon smires	---⌫|----|
deparolesquar s	-|------|---||
aucuinsestoi ttristesou mellés oucor ociez	------|-----⌫|------|-|------|-|---⌫----|
asonsegnorporaucunemauuaisepar ol e	|--|-----|--|-----|-------|---⌫--⌫|
ges ap u eraie	-|-⌫-|-⌫----|
medecinepor luigar i r.	-------|--|--|---⌫-⌫||
li prodons	-|------|
tinttout ce	---|---|-|
ausico nmea tr ufem espor	---|--⌫--||--⌫--|-⌫-|--|
lam orde de um enaice	|--⌫-|-|--⌫|-⌫---|-|
po uurehomea n sa maisonetp ristde	--⌫---|---|-⌫|-|-----|-|-⌫---|-|
luimon t gran tconroietli t rouai quanquemesti er s	--|---⌫|----⌫|-----|-|-|-⌫----|------|-----⌫--⌫|
nedemorai gaires apresces chosesqueli	-|------|-----|----|--|-----|--|-|
mau uai x anuiousdeloste lle roy quimo nt	---⌫---⌫|------|-||----⌫|-|--|--|--⌫-|
auo ient grantanuiesuerceprodome	---⌫---|----|----|---|-|------|
uin drentaur oy ets ilid istrentsire cil c u	---⌫----|-|-⌫-|-|-⌫|-|-⌫------|---|--|-⌫|
granthenorporteeetcel e	----|----|-----|-|---⌫|
amor mostre en ai	---|------⌫||-|
mieseulemantdespi télamor	--|--------|-----⌫--||---|
einsdespist auoclecultiuementde	---|------|---|-|----------|-|
nos d exett ient la	--|-⌫-|-|-⌫---|-|
cre ancedescr estieins.	---⌫---|--|--⌫-------||
por quo iilanuandraian core s mon t	--|---⌫|-|--------|--⌫----⌫|---⌫|
grant maux anos treregne quariliraid eceuant lou	----|---||---⌫--|----|---|-|---|-⌫------|--|
puep lee t le	----⌫-|-⌫|-|
fa i stconsentir aladeslea ute.	--⌫-⌫-|--------||-|------⌫--||
etse uosuol ezespro uer sece	-|-|--|---⌫-|-----⌫--|-|-|
as tuoirssilape lez	--⌫|----|-||---⌫--|
aconsoil etsi	|------|-|-|
liditesqueuosuolezdeguerpil ac reance den os	-|----|--|--|----|-------|-⌫|-⌫-----|-|-⌫-|
dexetdeu enircres tieins etpandrel abit	--|-|---⌫---|----⌫-----|-|-----||---|
d elordremonia lqueuosaueztoziors	-⌫||----|-----⌫|--|--|---|--|---|
a us i c ommese	-⌫--⌫|-⌫---|-|
uosuos repa ntiezde maulqueuos	--|--|----⌫----|-|---|--|--|
lor a uezfait	--|-⌫--|---|
essaiezsioure zqui uosrespondrai.	------|-|----⌫|-||--|---------||
li traitorquicesc hose scontoientau roy	-|------|--|--|-⌫----⌫|--------|-|--|
cono issoie ntsi b ien loul oiaulc uer	----⌫------⌫-|-|-⌫--|--|-⌫----|-⌫--|
douprod ome q u ilsauoient b ienque	--|----⌫--|-⌫|-|-------|-⌫--|--|
lorsqueliroysliauroit	------|-|---|-|-----|
ceschosesdites queildonroitlemello r	--|-----|----|--|-|------|-|-----⌫|
conseil qu ilpouroit ces e roit quil	------|-|-|------|-|-⌫-⌫---|-|-|
m enast son bon conmancem ant afinetquilne	-⌫----|--|--|---------⌫--||--|-|-|-|-|
laissastsonproposema nt decheoir.	-------|--|---------⌫-|-------||
etpenseren tque liroyslestan droit	-|--------⌫|--|-|---|--|---⌫----|
a uoir d isanz mesli roys nestoit	|---|-⌫----|--|-|---||-----|
mieen d outequecil	--|-|-⌫---|--|--|
prodons nelamastdebon	------|-||----|-|--|
cuertantcommeilpouoit e tsauoit et	---|---|----|-|-----|-⌫|-----|-|
po rc etint iltot afausete	--⌫|-⌫|---|-|--||------|
etamancon ge	-||------⌫-|
cequeci l liconterent .	-|--|--⌫|-|--------||
mesporlord es leaute se pansaqu	--|--|--|-⌫--⌫-----|-|----|-|
ill es airoitsi	-||--⌫-----|-|
co nme ill iauoi entloué .	--⌫--|-|-⌫|----⌫--|----||
donilaui nt q uilapelai	--|-|---⌫-|-⌫|-|-----|
celuiaconseiletl id isthea d oulz	----||------|-|-⌫|-⌫--|--|-⌫---|
a mis donc ne tesouientil des maus q ue ge	-⌫--|---|-|-|------|-|--|---|-⌫-|-|
aifaitme int efoizas	-|---|--⌫---⌫|---|-|
rel ig ious moi nesetesau trescrestieins	---⌫--⌫---|---⌫--|-|-|--⌫---|---------|
se uoil bienque t usaiges	-|---|---|--|-⌫|-----|
repantde boncueret	-----|-|--|---|-|
q ueiebeea receuoi rlaloy q ue	-⌫-|-|--||-------⌫|-|--|-⌫-|
lic restieinprooichentq uartu meismessezbienque	-|-⌫-------|---------|-⌫--|-|------|--|---|--|
quantlana itantuesc uencest	----|--|-⌫|---|----⌫|-|---|
sieclesecouient ilamor ir etqueualent	-----|-|------|-||---⌫-|-|--|-----|
donc les aises nelesrichesces terrienes	---|--|----|-|--|--------|--------|
couienttotap erdrea u n copsanz	------|--||-⌫----||-⌫|--|---|
recoureretiaibienoidirequelaplus	-------|-||-|---|-|---|--|-|---|
droiteuoie d aler au	-----|---||---|-|
uer aideupor guaheinnierlauiepard u rab le siest	---⌫-|--|--|----------|-|--|----⌫-⌫---⌫-|-|--|
renoiertote s l esch o se s terrienneset	------|----⌫|-⌫-|--⌫-⌫--⌫|---------|-|
amerdetoutsoncu er lesc elestiaux .	---|-|---|--|--⌫-|--|-⌫--------||
ortedirai qu ege f e r aisedeuendra	-|-|----|--⌫|-|-⌫-⌫-⌫-|-|-------|
